id	region	floor	monster_level	monsterLowUp	monsterMidUp	monsterBossUp	monsterHardBossUp	rewardUp	status
34	2	14	468	1,1.29;2,0.86;3,8.9947	1,1.29;2,0.86;3,9.89	1,1.43;2,0.86;3,10.582	1,1.43;2,0.86;3,10.582	0.34	1
35	2	15	473	1,1.34;2,0.85;3,10.3455	1,1.34;2,0.85;3,11.38	1,1.49;2,0.85;3,11.495	1,1.49;2,0.85;3,11.495	0	1
36	2	16	478	1,1.4;2,0.84;3,11.3157	1,1.4;2,0.84;3,12.45	1,1.56;2,0.84;3,12.573	1,1.56;2,0.84;3,12.573	0.38	1
37	2	17	484	1,1.47;2,0.83;3,12.8997	1,1.47;2,0.83;3,14.19	1,1.63;2,0.83;3,14.333	1,1.63;2,0.83;3,14.333	0.4	1
38	2	18	489	1,1.53;2,0.82;3,14.4837	1,1.53;2,0.82;3,15.93	1,1.7;2,0.82;3,16.093	1,1.7;2,0.82;3,16.093	0.42	1
39	2	19	494	1,1.6;2,0.81;3,16.0281	1,1.6;2,0.81;3,17.63	1,1.78;2,0.81;3,17.809	1,1.78;2,0.81;3,17.809	0.44	1
40	2	20	490	1,1.67;2,0.84;3,18.5625	1,1.67;2,0.84;3,20.42	1,1.86;2,0.84;3,20.625	1,1.86;2,0.84;3,20.625	0	1
41	3	1	400	1,0.72;2,1;3,0.7	1,0.72;2,1;3,0.77	1,0.8;2,1;3,1	1,0.8;2,1;3,1	0	1
42	3	2	405	1,0.76;2,0.99;3,0.819	1,0.76;2,0.99;3,0.9	1,0.84;2,0.99;3,1.17	1,0.84;2,0.99;3,1.17	0.1	1
43	3	3	410	1,0.78;2,0.98;3,0.938	1,0.78;2,0.98;3,1.03	1,0.87;2,0.98;3,1.34	1,0.87;2,0.98;3,1.34	0.12	1
44	3	4	415	1,0.82;2,0.96;3,1.064	1,0.82;2,0.96;3,1.17	1,0.91;2,0.96;3,1.52	1,0.91;2,0.96;3,1.52	0.14	1
45	3	5	421	1,0.86;2,0.95;3,1.4	1,0.86;2,0.95;3,1.54	1,0.96;2,0.95;3,1.75	1,0.96;2,0.95;3,1.75	0	1
46	3	6	426	1,0.9;2,0.94;3,1.76	1,0.9;2,0.94;3,1.94	1,1;2,0.94;3,2.2	1,1;2,0.94;3,2.2	0.18	1
47	3	7	431	1,0.94;2,0.93;3,2.392	1,0.94;2,0.93;3,2.63	1,1.04;2,0.93;3,2.99	1,1.04;2,0.93;3,2.99	0.2	1
48	3	8	436	1,0.98;2,0.92;3,2.728	1,0.98;2,0.92;3,3	1,1.09;2,0.92;3,3.41	1,1.09;2,0.92;3,3.41	0.22	1
49	3	9	442	1,1.03;2,0.91;3,3.12	1,1.03;2,0.91;3,3.43	1,1.14;2,0.91;3,3.9	1,1.14;2,0.91;3,3.9	0.24	1
50	3	10	447	1,1.07;2,0.9;3,4.148	1,1.07;2,0.9;3,4.56	1,1.19;2,0.9;3,4.88	1,1.19;2,0.9;3,4.88	0	1
51	3	11	452	1,1.13;2,0.89;3,4.9215	1,1.13;2,0.89;3,5.41	1,1.25;2,0.89;3,5.79	1,1.25;2,0.89;3,5.79	0.28	1
52	3	12	457	1,1.17;2,0.88;3,6.0775	1,1.17;2,0.88;3,6.69	1,1.3;2,0.88;3,7.15	1,1.3;2,0.88;3,7.15	0.3	1
53	3	13	463	1,1.22;2,0.87;3,6.494	1,1.22;2,0.87;3,7.14	1,1.36;2,0.87;3,7.64	1,1.36;2,0.87;3,7.64	0.32	1
54	3	14	468	1,1.29;2,0.86;3,8.177	1,1.29;2,0.86;3,8.99	1,1.43;2,0.86;3,9.62	1,1.43;2,0.86;3,9.62	0.34	1
55	3	15	473	1,1.34;2,0.85;3,9.405	1,1.34;2,0.85;3,10.35	1,1.49;2,0.85;3,10.45	1,1.49;2,0.85;3,10.45	0	1
56	3	16	478	1,1.4;2,0.84;3,10.287	1,1.4;2,0.84;3,11.32	1,1.56;2,0.84;3,11.43	1,1.56;2,0.84;3,11.43	0.38	1
57	3	17	484	1,1.47;2,0.83;3,11.727	1,1.47;2,0.83;3,12.9	1,1.63;2,0.83;3,13.03	1,1.63;2,0.83;3,13.03	0.4	1
58	3	18	489	1,1.53;2,0.82;3,13.167	1,1.53;2,0.82;3,14.48	1,1.7;2,0.82;3,14.63	1,1.7;2,0.82;3,14.63	0.42	1
59	3	19	494	1,1.6;2,0.81;3,14.571	1,1.6;2,0.81;3,16.03	1,1.78;2,0.81;3,16.19	1,1.78;2,0.81;3,16.19	0.44	1
60	3	20	490	1,1.67;2,0.84;3,16.875	1,1.67;2,0.84;3,18.56	1,1.86;2,0.84;3,18.75	1,1.86;2,0.84;3,18.75	0	1
61	4	1	400	1,0.72;2,1;3,0.7	1,0.72;2,1;3,0.77	1,0.8;2,1;3,1	1,0.8;2,1;3,1	0	1
62	4	2	405	1,0.76;2,0.99;3,0.819	1,0.76;2,0.99;3,0.9	1,0.84;2,0.99;3,1.17	1,0.84;2,0.99;3,1.17	0.1	1
63	4	3	410	1,0.78;2,0.98;3,0.938	1,0.78;2,0.98;3,1.03	1,0.87;2,0.98;3,1.34	1,0.87;2,0.98;3,1.34	0.12	1
64	4	4	415	1,0.82;2,0.96;3,1.064	1,0.82;2,0.96;3,1.17	1,0.91;2,0.96;3,1.52	1,0.91;2,0.96;3,1.52	0.14	1
65	4	5	421	1,0.86;2,0.95;3,1.4	1,0.86;2,0.95;3,1.54	1,0.96;2,0.95;3,1.75	1,0.96;2,0.95;3,1.75	0	1
66	4	6	426	1,0.9;2,0.94;3,1.76	1,0.9;2,0.94;3,1.94	1,1;2,0.94;3,2.2	1,1;2,0.94;3,2.2	0.18	1
67	4	7	431	1,0.94;2,0.93;3,2.392	1,0.94;2,0.93;3,2.63	1,1.04;2,0.93;3,2.99	1,1.04;2,0.93;3,2.99	0.2	1
68	4	8	436	1,0.98;2,0.92;3,2.728	1,0.98;2,0.92;3,3	1,1.09;2,0.92;3,3.41	1,1.09;2,0.92;3,3.41	0.22	1
69	4	9	442	1,1.03;2,0.91;3,3.12	1,1.03;2,0.91;3,3.43	1,1.14;2,0.91;3,3.9	1,1.14;2,0.91;3,3.9	0.24	1
70	4	10	447	1,1.07;2,0.9;3,4.148	1,1.07;2,0.9;3,4.56	1,1.19;2,0.9;3,4.88	1,1.19;2,0.9;3,4.88	0	1
71	4	11	452	1,1.13;2,0.89;3,4.9215	1,1.13;2,0.89;3,5.41	1,1.25;2,0.89;3,5.79	1,1.25;2,0.89;3,5.79	0.28	1
72	4	12	457	1,1.17;2,0.88;3,6.0775	1,1.17;2,0.88;3,6.69	1,1.3;2,0.88;3,7.15	1,1.3;2,0.88;3,7.15	0.3	1
73	4	13	463	1,1.22;2,0.87;3,6.494	1,1.22;2,0.87;3,7.14	1,1.36;2,0.87;3,7.64	1,1.36;2,0.87;3,7.64	0.32	1
74	4	14	468	1,1.29;2,0.86;3,8.177	1,1.29;2,0.86;3,8.99	1,1.43;2,0.86;3,9.62	1,1.43;2,0.86;3,9.62	0.34	1
75	4	15	473	1,1.34;2,0.85;3,9.405	1,1.34;2,0.85;3,10.35	1,1.49;2,0.85;3,10.45	1,1.49;2,0.85;3,10.45	0	1
76	4	16	478	1,1.4;2,0.84;3,10.287	1,1.4;2,0.84;3,11.32	1,1.56;2,0.84;3,11.43	1,1.56;2,0.84;3,11.43	0.38	1
77	4	17	484	1,1.47;2,0.83;3,11.727	1,1.47;2,0.83;3,12.9	1,1.63;2,0.83;3,13.03	1,1.63;2,0.83;3,13.03	0.4	1
78	4	18	489	1,1.53;2,0.82;3,13.167	1,1.53;2,0.82;3,14.48	1,1.7;2,0.82;3,14.63	1,1.7;2,0.82;3,14.63	0.42	1
79	4	19	494	1,1.6;2,0.81;3,14.571	1,1.6;2,0.81;3,16.03	1,1.78;2,0.81;3,16.19	1,1.78;2,0.81;3,16.19	0.44	1
80	4	20	490	1,1.67;2,0.84;3,16.875	1,1.67;2,0.84;3,18.56	1,1.86;2,0.84;3,18.75	1,1.86;2,0.84;3,18.75	0	1
81	5	1	400	1,0.72;2,1;3,0.7	1,0.72;2,1;3,0.77	1,0.8;2,1;3,1	1,0.8;2,1;3,1	0	1
82	5	2	405	1,0.76;2,0.99;3,0.819	1,0.76;2,0.99;3,0.9	1,0.84;2,0.99;3,1.17	1,0.84;2,0.99;3,1.17	0.1	1
83	5	3	410	1,0.78;2,0.98;3,0.938	1,0.78;2,0.98;3,1.03	1,0.87;2,0.98;3,1.34	1,0.87;2,0.98;3,1.34	0.12	1
84	5	4	415	1,0.82;2,0.96;3,1.064	1,0.82;2,0.96;3,1.17	1,0.91;2,0.96;3,1.52	1,0.91;2,0.96;3,1.52	0.14	1
85	5	5	421	1,0.86;2,0.95;3,1.4	1,0.86;2,0.95;3,1.54	1,0.96;2,0.95;3,1.75	1,0.96;2,0.95;3,1.75	0	1
86	5	6	426	1,0.9;2,0.94;3,1.76	1,0.9;2,0.94;3,1.94	1,1;2,0.94;3,2.2	1,1;2,0.94;3,2.2	0.18	1
87	5	7	431	1,0.94;2,0.93;3,2.392	1,0.94;2,0.93;3,2.63	1,1.04;2,0.93;3,2.99	1,1.04;2,0.93;3,2.99	0.2	1
88	5	8	436	1,0.98;2,0.92;3,2.728	1,0.98;2,0.92;3,3	1,1.09;2,0.92;3,3.41	1,1.09;2,0.92;3,3.41	0.22	1
89	5	9	442	1,1.03;2,0.91;3,3.12	1,1.03;2,0.91;3,3.43	1,1.14;2,0.91;3,3.9	1,1.14;2,0.91;3,3.9	0.24	1
90	5	10	447	1,1.07;2,0.9;3,4.148	1,1.07;2,0.9;3,4.56	1,1.19;2,0.9;3,4.88	1,1.19;2,0.9;3,4.88	0	1
91	5	11	452	1,1.13;2,0.89;3,4.9215	1,1.13;2,0.89;3,5.41	1,1.25;2,0.89;3,5.79	1,1.25;2,0.89;3,5.79	0.28	1
92	5	12	457	1,1.17;2,0.88;3,6.0775	1,1.17;2,0.88;3,6.69	1,1.3;2,0.88;3,7.15	1,1.3;2,0.88;3,7.15	0.3	1
93	5	13	463	1,1.22;2,0.87;3,6.494	1,1.22;2,0.87;3,7.14	1,1.36;2,0.87;3,7.64	1,1.36;2,0.87;3,7.64	0.32	1
94	5	14	468	1,1.29;2,0.86;3,8.177	1,1.29;2,0.86;3,8.99	1,1.43;2,0.86;3,9.62	1,1.43;2,0.86;3,9.62	0.34	1
95	5	15	473	1,1.34;2,0.85;3,9.405	1,1.34;2,0.85;3,10.35	1,1.49;2,0.85;3,10.45	1,1.49;2,0.85;3,10.45	0	1
96	5	16	478	1,1.4;2,0.84;3,10.287	1,1.4;2,0.84;3,11.32	1,1.56;2,0.84;3,11.43	1,1.56;2,0.84;3,11.43	0.38	1
97	5	17	484	1,1.47;2,0.83;3,11.727	1,1.47;2,0.83;3,12.9	1,1.63;2,0.83;3,13.03	1,1.63;2,0.83;3,13.03	0.4	1
98	5	18	489	1,1.53;2,0.82;3,13.167	1,1.53;2,0.82;3,14.48	1,1.7;2,0.82;3,14.63	1,1.7;2,0.82;3,14.63	0.42	1
99	5	19	494	1,1.6;2,0.81;3,14.571	1,1.6;2,0.81;3,16.03	1,1.78;2,0.81;3,16.19	1,1.78;2,0.81;3,16.19	0.44	1
100	5	20	490	1,1.67;2,0.84;3,16.875	1,1.67;2,0.84;3,18.56	1,1.86;2,0.84;3,18.75	1,1.86;2,0.84;3,18.75	0	1
101	6	1	400	1,0.72;2,1;3,0.7	1,0.72;2,1;3,0.77	1,0.8;2,1;3,1	1,0.8;2,1;3,1	0	1
102	6	2	405	1,0.76;2,0.99;3,0.819	1,0.76;2,0.99;3,0.9	1,0.84;2,0.99;3,1.17	1,0.84;2,0.99;3,1.17	0.1	1
103	6	3	410	1,0.78;2,0.98;3,0.938	1,0.78;2,0.98;3,1.03	1,0.87;2,0.98;3,1.34	1,0.87;2,0.98;3,1.34	0.12	1
104	6	4	415	1,0.82;2,0.96;3,1.064	1,0.82;2,0.96;3,1.17	1,0.91;2,0.96;3,1.52	1,0.91;2,0.96;3,1.52	0.14	1
105	6	5	421	1,0.86;2,0.95;3,1.4	1,0.86;2,0.95;3,1.54	1,0.96;2,0.95;3,1.75	1,0.96;2,0.95;3,1.75	0	1
106	6	6	426	1,0.9;2,0.94;3,1.76	1,0.9;2,0.94;3,1.94	1,1;2,0.94;3,2.2	1,1;2,0.94;3,2.2	0.18	1
107	6	7	431	1,0.94;2,0.93;3,2.392	1,0.94;2,0.93;3,2.63	1,1.04;2,0.93;3,2.99	1,1.04;2,0.93;3,2.99	0.2	1
108	6	8	436	1,0.98;2,0.92;3,2.728	1,0.98;2,0.92;3,3	1,1.09;2,0.92;3,3.41	1,1.09;2,0.92;3,3.41	0.22	1
109	6	9	442	1,1.03;2,0.91;3,3.12	1,1.03;2,0.91;3,3.43	1,1.14;2,0.91;3,3.9	1,1.14;2,0.91;3,3.9	0.24	1
110	6	10	447	1,1.07;2,0.9;3,4.148	1,1.07;2,0.9;3,4.56	1,1.19;2,0.9;3,4.88	1,1.19;2,0.9;3,4.88	0	1
111	6	11	452	1,1.13;2,0.89;3,4.9215	1,1.13;2,0.89;3,5.41	1,1.25;2,0.89;3,5.79	1,1.25;2,0.89;3,5.79	0.28	1
112	6	12	457	1,1.17;2,0.88;3,6.0775	1,1.17;2,0.88;3,6.69	1,1.3;2,0.88;3,7.15	1,1.3;2,0.88;3,7.15	0.3	1
113	6	13	463	1,1.22;2,0.87;3,6.494	1,1.22;2,0.87;3,7.14	1,1.36;2,0.87;3,7.64	1,1.36;2,0.87;3,7.64	0.32	1
114	6	14	468	1,1.29;2,0.86;3,8.177	1,1.29;2,0.86;3,8.99	1,1.43;2,0.86;3,9.62	1,1.43;2,0.86;3,9.62	0.34	1
115	6	15	473	1,1.34;2,0.85;3,9.405	1,1.34;2,0.85;3,10.35	1,1.49;2,0.85;3,10.45	1,1.49;2,0.85;3,10.45	0	1
116	6	16	478	1,1.4;2,0.84;3,10.287	1,1.4;2,0.84;3,11.32	1,1.56;2,0.84;3,11.43	1,1.56;2,0.84;3,11.43	0.38	1
117	6	17	484	1,1.47;2,0.83;3,11.727	1,1.47;2,0.83;3,12.9	1,1.63;2,0.83;3,13.03	1,1.63;2,0.83;3,13.03	0.4	1
118	6	18	489	1,1.53;2,0.82;3,13.167	1,1.53;2,0.82;3,14.48	1,1.7;2,0.82;3,14.63	1,1.7;2,0.82;3,14.63	0.42	1
119	6	19	494	1,1.6;2,0.81;3,14.571	1,1.6;2,0.81;3,16.03	1,1.78;2,0.81;3,16.19	1,1.78;2,0.81;3,16.19	0.44	1
120	6	20	490	1,1.67;2,0.84;3,16.875	1,1.67;2,0.84;3,18.56	1,1.86;2,0.84;3,18.75	1,1.86;2,0.84;3,18.75	0	1
