id	effectType	effectNum	targetType	targetNum	quality	showType	effectiveTime	photoId	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
12178010	5	9110011	2	4	3	921	1	32:maze_item_icon_1015	1	攻击助剂	攻擊助劑	Attack Booster	攻撃薬剤	공격 보조제	สารเสริมพลังโจมตี	全队基础攻击力提升25%，持续1场战斗	全隊基礎攻擊力提升25%，持續1場戰鬥	Team's Base ATK +25%. Lasts for 1 battle.	チームの攻撃力＋25%。戦闘が終わるまで持続する。	팀 전체 기본 공격력 +25%, 단 1회 전투 시에만 지속된다	ATK​ พื้นฐาน​ของ​ทั้ง​ทีม​เพิ่มขึ้น​ 25%​ เป็นเวลา​ 1​ รอบ​การต่อสู้​
12178011	5	9110012	2	4	4	921	1	32:maze_item_icon_1016	1	攻击喷雾	攻擊噴霧	Attack Boost Spray	攻撃スプレー	공격 스프레이	สเปรย์เพิ่มพลังโจมตี	全队基础攻击力提升42%，持续1场战斗	全隊基礎攻擊力提升42%，持續1場戰鬥	Team's Base ATK +42%. Lasts for 1 battle.	チームの攻撃力＋42%。戦闘が終わるまで持続する。	팀 전체 기본 공격력 +42%, 단 1회 전투 시에만 지속된다	ATK​ พื้นฐาน​ของ​ทั้ง​ทีม​เพิ่มขึ้น​ 42%​ เป็นเวลา​ 1​ รอบ​การต่อสู้​
12178012	5	9110021	2	4	3	921	1	32:maze_item_icon_1017	1	防御助剂	防禦助劑	Defense Booster	防御薬剤	방어 보조제	สารเสริมพลังป้องกัน	全队基础防御力提升25%，持续1场战斗	全隊基礎防禦力提升25%，持續1場戰鬥	Team's Base DEF +25%. Lasts for 1 battle.	チームの防御力＋25%。戦闘が終わるまで持続する。	팀 전체 기본 방어력 +25%, 단 1회 전투 시에만 지속된다	DEF​ พื้นฐาน​ของ​ทั้ง​ทีม​เพิ่มขึ้น​ 25%​ เป็นเวลา​ 1​ รอบ​การต่อสู้​
12178013	5	9110022	2	4	4	921	1	32:maze_item_icon_1018	1	防御喷雾	防禦噴霧	Defense Boost Spray	防御スプレー	방어 스프레이	สเปรย์เสริมพลังป้องกัน	全队基础防御力提升42%，持续1场战斗	全隊基礎防禦力提升42%，持續1場戰鬥	Team's Base DEF +42%. Lasts for 1 battle.	チームの防御力＋42%。戦闘が終わるまで持続する。	팀 전체 기본 방어력 +42%, 단 1회 전투 시에만 지속된다	DEF​ พื้นฐาน​ของ​ทั้ง​ทีม​เพิ่มขึ้น​ 42%​ เป็นเวลา​ 1​ รอบ​การต่อสู้​
12178014	5	9110031	2	4	3	921	1	32:maze_item_icon_1007	1	生命助剂	生命助劑	Health Booster	HP薬剤	HP 보조제	สารเสริมพลังชีวิต	全队基础生命值提升25%，持续1场战斗	全隊基礎生命值提升25%，持續1場戰鬥	Team's Base HP +25%. Lasts for 1 battle.	チームの最大HP＋25%。戦闘が終わるまで持続する。	팀 전체 기본 HP +25%, 단 1회 전투 시에만 지속된다	HP​ พื้นฐาน​ของ​ทั้ง​ทีม​เพิ่มขึ้น​ 25%​ เป็นเวลา​ 1​ รอบ​การต่อสู้​
12178015	5	9110032	2	4	4	921	1	32:maze_item_icon_1008	1	生命喷雾	生命噴霧	Health Boost Spray	HPスプレー	HP 스프레이	สเปรย์เสริมพลังชีวิต	全队基础生命值提升42%，持续1场战斗	全隊基礎生命值提升42%，持續1場戰鬥	Team's Base HP +42%. Lasts for 1 battle.	チームの最大HP＋42%。戦闘が終わるまで持続する。	팀 전체 기본 HP +25%, 단 1회 전투 시에만 지속된다	HP​ พื้นฐาน​ของ​ทั้ง​ทีม​เพิ่มขึ้น​ 42%​ เป็นเวลา​ 1​ รอบ​
12178016	5	9110041	2	4	3	921	1	32:maze_item_icon_1021	1	暴击助剂	爆擊助劑	Critical Booster	会心薬剤	크리티컬 보조제	สารเสริมคริติคอล	全队暴击率提升25%，持续1场战斗	全隊爆擊率提升25%，持續1場戰鬥	Team's CRIT Rate +25%. Lasts for 1 battle.	チームの会心率＋25%。戦闘が終わるまで持続する。	팀 전체 크리티컬율 +25%, 단 1회 전투 시에만 지속된다	อัต​ราค​ริ​ติ​คอ​ล​ของ​ทั้ง​ทีม​เพิ่มขึ้น​ 25%​ เป็นเวลา​ 1​ รอบ​การต่อสู้​
12178017	5	9110042	2	4	4	921	1	32:maze_item_icon_1022	1	暴击喷雾	爆擊噴霧	Critical Boost Spray	会心スプレー	크리티컬 스프레이	สเปรย์เสริมคริติคอล	全队暴击率提升42%，持续1场战斗	全隊爆擊率提升42%，持續1場戰鬥	Team's CRIT Rate +42%. Lasts for 1 battle.	チームの会心率＋42%。戦闘が終わるまで持続する。	팀 전체 크리티컬율 +42%, 단 1회 전투 시에만 지속된다	อัต​ราค​ริ​ติ​คอ​ล​ของ​ทั้ง​ทีม​เพิ่มขึ้น​ 42%​ เป็นเวลา​ 1​ รอบ​การต่อสู้​
12178018	5	9110051	2	4	3	921	1	32:maze_item_icon_1023	1	爆伤助剂	爆傷助劑	Critical DMG Booster	会心ダメージ薬剤	폭열 대미지 보조제	สารเสริมดาเมจคริ	全队暴伤值提升25%，持续1场战斗	全隊暴傷值提升25%，持續1場戰鬥	Team's CRIT DMG +25%. Lasts for 1 battle.	チームの会心ダメージ＋25%。戦闘が終わるまで持続する。	팀 전체 크리티컬 대미지 +25%, 단 1회 전투 시에만 지속된다	ดา​เม​จค​ริ​ของ​ทั้ง​ทีม​เพิ่มขึ้น​ 25%​ เป็นเวลา​ 1​ รอบ​การต่อสู้​
12178019	5	9110052	2	4	4	921	1	32:maze_item_icon_1024	1	爆伤喷雾	爆傷噴霧	CRIT DMG Boost Spray	会心ダメージスプレー	폭열 대미지 스프레이	สเปรย์เสริมดาเมจคริ	全队暴伤值提升42%，持续1场战斗	全隊暴傷值提升42%，持續1場戰鬥	Team's CRIT DMG +42%. Lasts for 1 battle.	チームの会心ダメージ＋42%。戦闘が終わるまで持続する。	팀 전체 폭열 대미지 확률 +42%, 단 1회 전투 시에만 지속된다	ดา​เม​จค​ริ​ของ​ทั้ง​ทีม​เพิ่มขึ้น​ 42%​ เป็นเวลา​ 1​ รอบ​การต่อสู้​
12178020	5	9110061	2	4	3	921	1	32:maze_item_icon_1025	1	暴抗助剂	暴抗助劑	Critical RES Booster	会心回避率薬剤	크리티컬 저항 보조제	สารเสริมต้านทานคริ	全队暴击抗性提升25%，持续1场战斗	全隊爆擊抗性提升25%，持續1場戰鬥	Team's CRIT RES +25%. Lasts for 1 battle.	チームの会心回避率＋25%。戦闘が終わるまで持続する。	팀 전체 크리티컬 저항 +25%, 단 1회 전투 시에만 지속된다	ต้าน​ทา​นค​ริ​ติ​คอ​ล​ของ​ทั้ง​ทีม​เพิ่มขึ้น​ 25%​ เป็นเวลา​ 1​ รอบ​การต่อสู้​
12178021	5	9110062	2	4	4	921	1	32:maze_item_icon_1026	1	暴抗喷雾	暴抗噴霧	CRIT RES Boost Spray	会心回避率スプレー	크리티컬 저항 스프레이	สเปรย์เสริมต้านทานคริ	全队暴击抗性提升42%，持续1场战斗	全隊爆擊抗性提升42%，持續1場戰鬥	Team's CRIT RES +42%. Lasts for 1 battle.	チームの会心回避率＋42%。戦闘が終わるまで持続する。	팀 전체 크리티컬 저항 +42%, 단 1회 전투 시에만 지속된다	ต้าน​ทา​นค​ริ​ติ​คอ​ล​ของ​ทั้ง​ทีม​เพิ่มขึ้น​ 42%​ เป็นเวลา​ 1​ รอบ​การต่อสู้​
12178022	5	9110071	2	4	4	921	1	32:maze_item_icon_1027	1	增伤助剂	增傷助劑	DMG Increase Booster	ダメージアップ薬剤	최종 대미지 보조제	สารเสริมดาเมจ	全队最终伤害提升35%，持续1场战斗	全隊最終傷害提升35%，持續1場戰鬥	Team's Final DMG +35%. Lasts for 1 battle.	チームの最終ダメージ＋35%。戦闘が終わるまで持続する。	팀 전체 최종 대미지 +35%, 단 1회 전투 시에만 지속된다	ดา​เม​จ​สุดท้าย​ของ​ทั้ง​ทีม​เพิ่มขึ้น​ 35%​ เป็นเวลา​ 1​ รอบ​การต่อสู้​
12178023	5	9110072	2	4	5	921	1	32:maze_item_icon_1028	1	增伤喷雾	增傷噴霧	DMG Increase Boost Spray	ダメージアップスプレー	최종 대미지 스프레이	สเปรย์เสริมดาเมจ	全队最终伤害提升60%，持续1场战斗	全隊最終傷害提升60%，持續1場戰鬥	Team's Final DMG +60%. Lasts for 1 battle.	チームの最終ダメージ＋60%。戦闘が終わるまで持続する。	팀 전체 최종 대미지 +60%, 단 1회 전투 시에만 지속된다	ดา​เม​จ​สุดท้าย​ของ​ทั้ง​ทีม​เพิ่มขึ้น​ 60%​ เป็นเวลา​ 1​ รอบ​การต่อสู้​
12178024	5	9110081	2	4	4	921	1	32:maze_item_icon_1029	1	减伤助剂	減傷助劑	DMG Reduction Booster	被ダメージダウン薬剤	대미지 감면 보조제	สารเสริมลดดาเมจ	全队伤害减免提升35%，持续1场战斗	全隊傷害減免提升35%，持續1場戰鬥	Team's DMG Reduction +35%. Lasts for 1 battle.	チームの被ダメージ軽減＋35%。戦闘が終わるまで持続する。	팀 전체 대미지 감면 35%, 단 1회 전투 시에만 지속된다	อัตรา​ลด​ดา​เม​จ​ของ​ทั้ง​ทีม​เพิ่มขึ้น​ 35%​ เป็นเวลา​ 1​ รอบ​การต่อสู้​
12178025	5	9110082	2	4	5	921	1	32:maze_item_icon_1030	1	减伤喷雾	減傷噴霧	DMG Reduction Boost Spray	被ダメージダウンスプレー	대미지 감면 스프레이	สเปรย์เสริมลดดาเมจ	全队伤害减免提升60%，持续1场战斗	全隊傷害減免提升60%，持續1場戰鬥	Team's DMG Reduction +60%. Lasts for 1 battle.	チームの被ダメージ軽減＋60%。戦闘が終わるまで持続する。	팀 전체 대미지 감면 65%, 단 1회 전투 시에만 지속된다	อัตรา​ลด​ดา​เม​จ​ของ​ทั้ง​ทีม​เพิ่มขึ้น​ 60%​ เป็นเวลา​ 1​ รอบ​การต่อสู้​
12178026	7	0	2	4	5	921	1	32:maze_item_icon_1034	1	多多益善	多多益善	More the Merrier	多多益益弁ず	다다익선	ยิ่งมากยิ่งดี	击退怪物关卡后，可以多选择1个圣物，该效果生效1次	擊退怪物關卡後，可以多選擇1個聖物，該效果生效1次	After beating a monster stage, you can choose one more Relic. This effect will take effect once.	敵を倒した後、追加で聖物を1個選択できる。当該効果は1回のみ発動可能。	스테이지 내에서 몬스터 처치 후, 몬스터를 1마리 더 선택할 수 있으며, 해당 효과는 1회만 효력을 발휘한다.	หลังจาก​ขับไล่​มอนสเตอร์​ใน​ด่าน​แล้ว​ สามารถ​เลือก​ริ​ลิ​ค​ได้​อีก​ 1​ ชิ้น​ (​เกิด​ผลได้​แค่​ 1​ ครั้ง​)​
