Id	team	quality	AddType	buffId	generateFloor	photoId	region	probability	lableId	recCard	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
12177037	201	1	0	9100763	1,2,3,4,6,7,8,9,11,12,13,14,16,17,18,19	30:maze_buff_icon_20311	2	60	3		1	强化	強化	Enhance	強化	강화	เสริมพลัง	【诅咒】【点燃】【余震】【流血】伤害提升20%	【詛咒】【點燃】【餘震】【流血】傷害提升20%	Increases Curse, Burning, Aftershock, and Bleeding DMG by 20%.	敵に付与した「呪詛」、「燃焼」、「余震」、「出血」によるダメージ＋20%	[저주] [점화] [여진] [출혈] 대미지 +20%	[​คำสาป​]​ [​ไฟไหม้​]​ [​อาฟเตอร์ช็อก​]​ [​เลือด​ไหล​]​ ดา​เม​จ​เพิ่มขึ้น​ 20%​
12177038	202	1	0	9100764	1,2,3,4,6,7,8,9,11,12,13,14,16,17,18,19	30:maze_buff_icon_20661	2	60	3		1	顺势	順勢	Follow the Trend	威勢	좋은 추세	ตามสถานการณ์	生命值高于80%时，造成间接伤害提升20%	生命值高於80%時，造成間接傷害提升20%	When your HP is higher than 80%, deal 20% more Indirect DMG.	HPが80%の場合、敵に与える間接ダメージ＋20%	HP 80% 이상일 때, 간접 대미지 +20%	เมื่อ​ HP​ สูง​กว่า​ 80%​ จะ​สร้าง​ดา​เม​จ​ต่อเนื่อง​เพิ่มขึ้น​ 20%​
12177039	203	1	0	9100765	1,2,3,4,6,7,8,9,11,12,13,14,16,17,18,19	30:maze_buff_icon_20391	2	60	3		1	先机	先機	Preemptive Edge	機先	기선	ได้เปรียบ	前三个回合造成的间接伤害提升20%	前三個回合造成的間接傷害提升20%	In the first 3 turns, increases Indirect DMG dealt by 20%.	戦闘開始後３ターン、敵に与える間接ダメージ＋20%	세 번째 턴까지, 간접 대미지 +20%	ใน​ 3​ เทิร์น​แรก​จะ​สร้าง​ดา​เม​จ​ต่อเนื่อง​เพิ่มขึ้น​ 20%​
12177040	204	1	0	9100766	1,2,3,4,6,7,8,9,11,12,13,14,16,17,18,19	30:maze_buff_icon_20621	2	60	3		1	酷刑	酷刑	Cruel Infliction	拷問	가혹한 형벌	ทรมาน	【诅咒】的回合数+1	【詛咒】的回合數+1	[Curse]'s duration +1 turn.	【呪詛】持続ターン数＋1	[저주]의 턴 수 +1	จำนวน​เทิร์น​ของ​ [​คำสาป​]​ +1​
12177041	205	1	0	9100767	1,2,3,4,6,7,8,9,11,12,13,14,16,17,18,19	30:maze_buff_icon_20321	2	60	3		1	衰弱	衰弱	Enfeeble	衰弱	쇠약	อ่อนแอ	敌方目标处于【诅咒】状态时，造成伤害降低20%	敵方目標處於【詛咒】狀態時，造成傷害降低20%	When an enemy is Cursed, their DMG is reduced by 20%.	敵が【呪詛】状態にある場合、味方に与えるダメージ−20%	적이 [저주] 상태일 경우, 아군에게 부여하는 대미지 -20%	เมื่อ​เป้าหมาย​อยู่​ใน​สถานะ​ [​คำสาป​]​ ดา​เม​จ​ที่​สร้าง​จะ​ลดลง​ 20%​
12177042	206	1	0	9100768	1,2,3,4,6,7,8,9,11,12,13,14,16,17,18,19	30:maze_buff_icon_20011	2	60	3		1	顺势	順勢	Follow the Trend	威勢	좋은 추세	ตามสถานการณ์	造成间接伤害后，攻击力提升18%，持续2回合	造成間接傷害後，攻擊力提升18%，持續2回合	After dealing Indirect DMG, increase ATK by 18% for 2 turns.	敵に間接ダメージを与えた後、攻撃力＋18%、2ターン持続。	간접 대미지 부여 후, 2턴 동안 공격력 +18%	หลัง​ส​ร้า​งา​เม​จ​ต่อเนื่อง​ ATK​ เพิ่มขึ้น​ 18%​ ต่อเนื่อง​ 2​ เทิร์น​
12177043	207	1	0	9100769	1,2,3,4,6,7,8,9,11,12,13,14,16,17,18,19	30:maze_buff_icon_20421	2	60	3		1	猛攻	猛攻	Fierce Assault	猛攻	맹공	โจมตีรุนแรง	造成间接伤害后，造成间接伤害提升3%，持续3回合，可叠加99层	造成間接傷害後，造成間接傷害提升3%，持續3回合，可疊加99層	After dealing Indirect DMG, increase Indirect DMG by 3% for 3 turns. Stacks up to 99 times.	敵に間接ダメージを与えた後、対象が受ける間接ダメージ＋3%（3ターン持続、最大99スタックまで）。	간접 대미지 부여 후, 3턴 동안 간접 대미지 +3%, 99스택 중첩 가능	หลัง​สร้าง​ดาเมจ​ต่อเนื่อง ​จะสร้าง​ดาเมจ​ต่อเนื่อง​เพิ่มขึ้น ​3% ​เป็นเวลา ​3 เทิร์น ​ซ้อนทับได้ ​99 ชั้น​
12177044	208	1	0	9100770	1,2,3,4,6,7,8,9,11,12,13,14,16,17,18,19	30:maze_buff_icon_20791	2	60	3		1	腐蚀	腐蝕	Corrosion	腐蝕	부식	กัดกร่อน	造成伤害后，目标受到间接伤害提升1.5%，持续3回合，可叠加99层	造成傷害後，目標受到間接傷害提升1.5%，持續3回合，可疊加99層	After dealing damage, the target will receive 1.5% more Indirect DMG for 3 turns. Stacks up to 99 times.	敵に間接ダメージを与えた後、対象が受ける間接ダメージ＋1.5%（3ターン持続、最大99スタックまで）。	대미지 부여 후, 3턴 동안 간접 대미지 +1.5%, 99스택 중첩 가능	หลังสร้างดาเมจ ​ดาเมจ​ต่อเนื่อง​ที่​เป้าหมาย​ได้รับ​จะ​เพิ่มขึ้น ​1.5% ​เป็นเวลา ​3 เทิร์น ​ซ้อนทับ​ได้ 99 ชั้น​
12177045	209	2	0	9100772	1,2,3,4,6,7,8,9,11,12,13,14,16,17,18,19	30:maze_buff_icon_20082	2	60	3		1	嗜血之心	嗜血之心	Heart of the Predator	血に渇く心	피에 굶주린 마음	หัวใจแห่งแวมไพร์	如果回合结束时造成了持续伤害，恢复我方全体15%最大生命值	如果回合結束時造成了持續傷害，恢復我方全體15%最大生命值	When you deal DoT at the end of a turn, heal all allies for 15% of their max HP.	ターン終了時、敵に持続ダメージを与えた場合、味方全体の最大HP15%分を回復する。	턴 종료 시 지속 대미지를 부여했을 경우, 모든 아군에게 최대 HP 15%에 해당하는 치유 효과 부여	หาก​สร้าง​ดา​เม​จ​ต่อเนื่อง​ขณะ​สิ้นสุด​เทิร์น​ จะ​ฟื้นฟู​ 15%​ ของ​ MaxHP​ ให้​แก่​ฝ่าย​เรา​ทั้งหมด​
12177046	210	2	0	9100773	1,2,3,4,6,7,8,9,11,12,13,14,16,17,18,19	30:maze_buff_icon_20831	2	60	3		1	真实打击	真實打擊	True Strike	トゥルーストライク	정확한 타격	โจมตีจริง	造成间接伤害后，额外按35%攻击力造成【真实伤害】	造成間接傷害後，額外按35%攻擊力造成【真實傷害】	After dealing Indirect DMG, inflict an additional 35% of ATK as True DMG.	敵に間接ダメージを与えた後、追加で攻撃力35%の【直撃ダメージ】を与える。	간접 대미지 부여 후, 추가로 공격력의 35%에 해당하는 [고정 대미지] 부여	หลัง​สร้าง​ดา​เม​จ​ต่อเนื่อง​ จะ​สร้าง​ [​ดา​เม​จ​จริง​]​ เพิ่มเติม​ เป็น​จำนวน​ 35%​ ของ​ ATK​
12177047	211	2	0	9100774	1,2,3,4,6,7,8,9,11,12,13,14,16,17,18,19	30:maze_buff_icon_20842	2	60	3		1	诅咒之力	詛咒之力	Power of Curse	呪詛の力	저주의 힘	พลังคำสาป	回合开始时，我方攻击力最高的战斗员对敌方全体施加1层【诅咒】	回合開始時，我方攻擊力最高的戰鬥員對敵方全體施加1層【詛咒】	At the start of a turn, the allied Combatant with the highest ATK inflicts 1 stack of [Curse] on all enemies.	毎ターン開始時、攻撃力の最も高い味方が敵全体に1スタックの「呪詛」を付与する	턴 시작 시, 공격력이 가장 높은 아군이 모든 적에게 [저주] 1스택 부여	เมื่อ​เริ่ม​เทิร์น​ ตัวละคร​ฝ่าย​เรา​ที่​มี​ ATK​ สูงสุด​จะ​ทำให้​ศัตรู​ได้รับ​สถานะ​ [​คำสาป​]​ 1​ ชั้น​
12177048	212	2	0	9100775	1,2,3,4,6,7,8,9,11,12,13,14,16,17,18,19	30:maze_buff_icon_20771	2	60	3		1	抢占先机	搶佔先機	First Strike	先取り	기회 선점	ช่วงชิงโอกาส	每回合首次对敌方造成伤害后，对随机敌方单体按目标携带【诅咒】单回合伤害量的30%造成一次间接伤害	每回合首次對敵方造成傷害後，對隨機敵方單體按目標攜帶【詛咒】單回合傷害量的30%造成一次間接傷害	When dealing damage to enemies for the first time on each turn, deals one instance of Indirect DMG to one random enemy equal to 30% of damage dealt by their Curse in one turn.	毎ターン初めて敵にダメージを与えるたびに、対象に付与されている「呪詛」のヒットダメージの30％に応じて、ランダムな敵単体に間接ダメージを与える	매 턴 적에게 첫 대미지 부여 후, 랜덤 1명의 적에게 해당 적이 단일 턴에서 [저주]를 보유 중인 상태로 적용되는 대미지의 30%에 해당하는 간접 대미지 부여	หลัง​สร้าง​ดาเมจ​แก่ศัตรู​เป็น​ครั้งแรก​ใน​แต่ละ​เทิร์น ​จะ​สุ่มสร้าง​ดาเมจ​ต่อเนื่อง ​1 ครั้ง​แก่​ศัตรู​เป้าเดี่ยว ​เป็นจำนวน ​30% ​ของ​ปริมาณ​ดาเมจ​ของ​เป้าหมาย​ที่​ติด​สถานะ ​[คำสาป] ​ได้รับ​ใน​หนึ่งเทิร์น​
12177049	213	2	0	9100776	1,2,3,4,6,7,8,9,11,12,13,14,16,17,18,19	30:maze_buff_icon_20541	2	60	3		1	诅咒聚集	詛咒聚集	Blight Assembly	呪詛集中	저주 축적	สะสมคำสาป	回合开始时，造成间接伤害提升15%，可叠加	回合開始時，造成間接傷害提升15%，可疊加	At the start of a turn, increases Indirect DMG by 15%. This effect is stackable.	毎ターン開始時、敵に与える間接ダメージ＋15%（スタック可能）	턴 시작 시, 간접 대미지 +15%, 중첩 가능	เมื่อ​เริ่ม​เทิร์น​ จะ​สร้าง​ดา​เม​จ​ต่อเนื่อง​เพิ่มขึ้น​ 15%​ สามารถ​ซ้อนทับ​ได้​
12177050	214	3	0	9100777	4,5,9,10,15,19	30:maze_buff_icon_20551	2	5	3		1	诅咒触发	詛咒觸發	Blight Surge	呪詛発動	저주 발동	ปล่อยคำสาป	对敌方使用奥义技能造成伤害前，对随机敌方单体按目标携带【诅咒】剩余所有回合伤害量的40%造成一次间接伤害	對敵方使用奧義技能造成傷害前，對隨機敵方單體按目標攜帶【詛咒】剩餘所有回合傷害量的40%造成一次間接傷害	Before dealing damage with Ultimate to enemies, deals one instance of Indirect DMG to one random enemy equal to 40% of the total DMG of their Curse in its remaining turns.	SP技を発動してダメージが発生する前に、対象に付与されている「呪詛」の残りのヒットダメージの40%に応じて、ランダムな敵単体に間接ダメージを与える	적에게 필살기 스킬 사용 전, 랜덤 1명의 적에게 해당 적이 남은 모든 턴에서 [저주]를 보유 중인 상태로 적용되는 대미지의 40%에 해당하는 간접 대미지 부여	ก่อนใช้​สกิล​อัลติเมท​สร้าง​ดาเมจ​แก่ศัตรู ​จะสุ่ม​สร้าง​ดาเมจ​ต่อเนื่อง ​1 ครั้ง​แก่​ศัตรู​เป้าเดี่ยว ​เป็นจำนวน ​40% ​ของ​ปริมาณ​ดาเมจ​ของ​เป้าหมาย​ที่ติด​สถานะ ​[คำสาป] ​จะ​ได้รับ​ในเทิร์น​ที่เหลือ​ทั้งหมด​
12177051	215	3	0	9100778	4,5,9,10,15,19	30:maze_buff_icon_20681	2	5	3		1	痛苦折磨	痛苦折磨	Misery Lash	蹂躙	고통	เจ็บปวดทรมาน	敌方目标被施加持续伤害效果时，获得一层【折磨】，当拥有10层【折磨】时，被施加【眩晕】2回合；当拥有20层【折磨】时，清除20层【折磨】并扣除自身30%最大生命值	敵方目標被施加持續傷害效果時，獲得一層【折磨】，當擁有10層【折磨】時，被施加【眩暈】2回合；當擁有20層【折磨】時，清除20層【折磨】並扣除自身30%最大生命值	When an enemy target is afflicted with DoT, they gain a stack of "Torment." Upon reaching 10 stacks, the target will be "Stunned" for 2 turns; at 20 stacks, remove all stacks of "Torment" and the target loses 30% of their max HP.	敵に持続ダメージを与えた時、敵に1スタックの【蹂躙】を付与する。敵は10スタックの【蹂躙】を付与される時、2ターン間【スタン】される；敵は20スタックの【蹂躙】を付与される時、【蹂躙】は解除される。同時に敵自身の最大HP−30%	적이 지속 대미지 적용 시, 자신에게 [고통] 1스택 적용, [고통] 10스택 중첩 시, 2턴 동안 [스턴] 적용. [고통] 20스택 중첩 시, [고통] 20스택 제거 및 자체 최대 HP -30%	เมื่อ​เป้าหมาย​ฝ่ายศัตรู​ถูก​เพิ่ม​เอฟเฟกต์​ดาเมจ​ต่อเนื่อง ​จะได้รับ ​[ทรมาน] ​1 ชั้น ​เมื่อมี ​[ทรมาน] ​10 ชั้น ​จะติด​สถานะ ​[มึนงง] ​2 เทิร์น ​เมื่อมี ​[ทรมาน] ​20 ชั้น ​จะลบล้าง ​[ทรมาน] ​20 ชั้น​ และ​หักลบ ​MaxHP ​ของ​ตัวเอง​ลง ​30%​
12177052	216	3	0	9100779	4,5,9,10,15,19	30:maze_buff_icon_20821	2	5	3		1	无尽诅咒	無盡詛咒	Endless Curse	無限呪詛	무한 저주	คำสาปที่ไม่สิ้นสุด	造成间接伤害后，对目标额外施加1层【诅咒】，持续2回合	造成間接傷害後，對目標額外施加1層【詛咒】，持續2回合	After dealing Indirect DMG, inflict 1 additional stack of [Curse] for 2 turns.	敵に間接ダメージを与えた後、追加で1スタックの【蹂躙】を付与する（2ターン持続）。	간접 대미지 부여 후, 2턴 동안 목표에게 [저주] 1스택 부여	หลัง​สร้าง​ดา​เม​จ​ต่อเนื่อง​ จะ​เพิ่ม​ [​คำสาป​]​ เพิ่มเติม​ 1​ ชั้น​แก่​เป้าหมาย​ ต่อเนื่อง​ 2​ เทิร์น​
12177053	217	3	0	9100780	4,5,9,10,15,19	30:maze_buff_icon_20831	2	5	3		1	二次诅咒	二次詛咒	Echo of Curse	二次呪詛	2차 저주	คำสาป	敌方被施加【诅咒】时，对自己施加1层【诅咒】	敵方被施加【詛咒】時，對自己施加1層【詛咒】	When an enemy is "Cursed," inflict 1 stack of "Curse" on yourself.	敵に【呪詛】を付与する時、自身にも1スタックの【呪詛】を付与する。	적이 [저주] 상태 적용 시, 자신에게 [저주] 1스택 부여	เมื่อ​ศัตรู​ถูก​ทำให้​ติด​สถานะ​ [​คำสาป​]​ จะ​ทำการ​ติด​สถานะ​ [​คำสาป​]​ กับ​ตัวเอง​ 1​ ชั้น​
12177127	601	1	0	9200114	1,2,3,4,6,7,8,9,11,12,13,14,16,17,18,19	30:maze_buff_icon_20781	2	60	6		1	强化	強化	Enhance	強化	강화	เสริมพลัง	战斗开始时，我方“红茶”获得2层【强化子弹】	戰鬥開始時，我方“紅茶”獲得2層【強化子彈】	At the start of battles, allied "Black Tea" gains 2 stacks of [Boosted Ammo].	戦闘開始時、味方の「紅茶」に【強化弾丸】を2スタック付与する	전투 시작 시, 아군의 "홍자"가 [탄약 강화] 2스택 획득	เมื่อ​เริ่ม​ต่อสู้​ "​แบล็ก​ที​"​ ของ​ฝ่าย​เรา​จะ​ได้รับ​ [​กระสุน​เสริม​พลัง​]​ 2​ ชั้น​
12177128	602	1	0	9200115	1,2,3,4,6,7,8,9,11,12,13,14,16,17,18,19	30:maze_buff_icon_20361	2	60	6		1	扩容	擴容	Expansion	弾丸拡充	확장	เพิ่มความจุ	获得【强化子弹】时，额外获得1层【强化子弹】，每回合至多1次	獲得【強化子彈】時，額外獲得1層【強化子彈】，每回合至多1次	When gaining [Boosted Ammo], gains an additional stack, up to 1 time per turn.	【強化弾丸】が付与された時、【強化弾丸】のスタック数は追加で＋1（ターンごとに最大1回まで）	[탄약 강화] 획득 시, 추가로 1스택의 [탄약 강화]를 획득하고, 매 턴마다 최대 1회 획득	เมื่อได้รับ ​[กระสุนเสริมพลัง] ​จะได้รับ ​[กระสุนเสริมพลัง] ​เพิ่มเติม​อีก ​1 ชั้น ​มากสุด ​1 ครั้ง ​ต่อเทิร์น​
