id	region	group	floor	level_num	next_level	map_line	status
47	2	1	7	2	1;2,3	Line_2_3_0	1
48	2	1	8	3	1;1,2;2	Line_3_2_2	1
49	2	1	9	2	1;1	Line_2_1_0	1
50	2	1	10	1	1,2,3	Line_1_3_0	1
51	2	1	11	3	1;1,2;2	Line_3_2_2	1
52	2	1	12	2	1,2;2,3	Line_2_3_2	1
53	2	1	13	3	1;1,2;2	Line_3_2_2	1
54	2	1	14	2	1;1	Line_2_1_0	1
55	2	1	15	1	1,2	Line_1_2_0	1
56	2	1	16	2	1,2;2,3	Line_2_3_2	1
57	2	1	17	3	1;1,2;2	Line_3_2_2	1
58	2	1	18	2	1,2;2,3	Line_2_3_2	1
59	2	1	19	3	1;1;1	Line_3_1_0	1
60	2	1	20	1			1
61	2	2	1	1	1,2,3	Line_1_3_0	1
62	2	2	2	3	1;1,2;2	Line_3_2_2	1
63	2	2	3	2	1,2;2,3	Line_2_3_2	1
64	2	2	4	3	1;1;1	Line_3_1_0	1
65	2	2	5	1	1,2,3	Line_1_3_0	1
66	2	2	6	3	1;2;3	Line_3_3_0	1
67	2	2	7	3	1;1,2;2	Line_3_2_2	1
68	2	2	8	2	1,2;3	Line_2_3_1	1
69	2	2	9	3	1;1;1	Line_3_1_0	1
70	2	2	10	1	1,2,3	Line_1_3_0	1
71	2	2	11	3	1;1,2;2	Line_3_2_2	1
72	2	2	12	2	1,2;2,3	Line_2_3_2	1
73	2	2	13	3	1;1;2	Line_3_2_1	1
74	2	2	14	2	1;1	Line_2_1_0	1
75	2	2	15	1	1,2,3	Line_1_3_0	1
76	2	2	16	3	1;2;2	Line_3_2_0	1
77	2	2	17	2	1,2;2,3	Line_2_3_2	1
78	2	2	18	3	1;1,2;2	Line_3_2_2	1
79	2	2	19	2	1;1	Line_2_1_0	1
80	2	2	20	1			1
81	3	1	1	1	1,2	Line_1_2_0	1
82	3	1	2	2	1,2;2,3	Line_2_3_2	1
83	3	1	3	3	1;1,2;2	Line_3_2_2	1
84	3	1	4	2	1;1	Line_2_1_0	1
85	3	1	5	1	1,2	Line_1_2_0	1
86	3	1	6	2	1,2;2,3	Line_2_3_2	1
87	3	1	7	3	1;1,2;2	Line_3_2_2	1
88	3	1	8	2	1,2;2,3	Line_2_3_2	1
89	3	1	9	3	1;1;1	Line_3_1_0	1
90	3	1	10	1	1,2	Line_1_2_0	1
91	3	1	11	2	1,2;2,3	Line_2_3_2	1
92	3	1	12	3	1;1,2;2	Line_3_2_2	1
93	3	1	13	2	1,2;2,3	Line_2_3_2	1
94	3	1	14	3	1;1;1	Line_3_1_0	1
95	3	1	15	1	1,2,3	Line_1_3_0	1
96	3	1	16	3	1;1,2;2	Line_3_2_2	1
97	3	1	17	2	1,2;3	Line_2_3_1	1
98	3	1	18	3	1;1,2;2	Line_3_2_2	1
99	3	1	19	2	1;1	Line_2_1_0	1
100	3	1	20	1			1
101	3	2	1	1	1,2,3	Line_1_3_0	1
102	3	2	2	3	1;1,2;2	Line_3_2_2	1
103	3	2	3	2	1,2;2,3	Line_2_3_2	1
104	3	2	4	3	1;1;1	Line_3_1_0	1
105	3	2	5	1	1,2,3	Line_1_3_0	1
106	3	2	6	3	1;1,2;2	Line_3_2_2	1
107	3	2	7	2	1;2,3	Line_2_3_0	1
108	3	2	8	3	1;1,2;2	Line_3_2_2	1
109	3	2	9	2	1;1	Line_2_1_0	1
110	3	2	10	1	1,2	Line_1_2_0	1
111	3	2	11	2	1,2;2,3	Line_2_3_2	1
112	3	2	12	3	1;1,2;2	Line_3_2_2	1
113	3	2	13	2	1;2	Line_2_2_0	1
114	3	2	14	2	1;1	Line_2_1_0	1
115	3	2	15	1	1,2,3	Line_1_3_0	1
116	3	2	16	3	1;2;2	Line_3_2_0	1
117	3	2	17	2	1,2;2,3	Line_2_3_2	1
118	3	2	18	3	1;1,2;2	Line_3_2_2	1
119	3	2	19	2	1;1	Line_2_1_0	1
120	3	2	20	1			1
121	4	1	1	1	1,2,3	Line_1_3_0	1
122	4	1	2	3	1;1,2;2	Line_3_2_2	1
123	4	1	3	2	1,2;2,3	Line_2_3_2	1
124	4	1	4	3	1;1;1	Line_3_1_0	1
125	4	1	5	1	1,2,3	Line_1_3_0	1
126	4	1	6	3	1;1,2;2	Line_3_2_2	1
127	4	1	7	2	1,2;2,3	Line_2_3_2	1
128	4	1	8	3	1;1,2;2	Line_3_2_2	1
129	4	1	9	2	1;1	Line_2_1_0	1
130	4	1	10	1	1,2	Line_1_2_0	1
131	4	1	11	2	1,2;2,3	Line_2_3_2	1
132	4	1	12	3	1;1,2;2	Line_3_2_2	1
133	4	1	13	2	1;2,3	Line_2_3_0	1
134	4	1	14	3	1;1;1	Line_3_1_0	1
135	4	1	15	1	1,2	Line_1_2_0	1
136	4	1	16	2	1,2;2,3	Line_2_3_2	1
137	4	1	17	3	1;1,2;2	Line_3_2_2	1
138	4	1	18	2	1,2;2,3	Line_2_3_2	1
139	4	1	19	3	1;1;1	Line_3_1_0	1
140	4	1	20	1			1
141	4	2	1	1	1,2,3	Line_1_3_0	1
142	4	2	2	3	1;1,2;2	Line_3_2_2	1
143	4	2	3	2	1,2;3	Line_2_3_1	1
144	4	2	4	3	1;1;1	Line_3_1_0	1
145	4	2	5	1	1,2,3	Line_1_3_0	1
146	4	2	6	3	1;2;2	Line_3_2_0	1
147	4	2	7	2	1,2;2,3	Line_2_3_2	1
148	4	2	8	3	1;1;2	Line_3_2_1	1
149	4	2	9	2	1;1	Line_2_1_0	1
150	4	2	10	1	1,2	Line_1_2_0	1
151	4	2	11	2	1,2;2,3	Line_2_3_2	1
152	4	2	12	3	1;1,2;2	Line_3_2_2	1
153	4	2	13	2	1,2;2,3	Line_2_3_2	1
154	4	2	14	3	1;1;1	Line_3_1_0	1
155	4	2	15	1	1,2	Line_1_2_0	1
156	4	2	16	2	1,2;2,3	Line_2_3_2	1
157	4	2	17	3	1;1,2;2	Line_3_2_2	1
158	4	2	18	2	1,2;2,3	Line_2_3_2	1
159	4	2	19	3	1;1;1	Line_3_1_0	1
160	4	2	20	1			1
161	5	1	1	1	1,2	Line_1_2_0	1
162	5	1	2	2	1;2,3	Line_2_3_0	1
163	5	1	3	3	1;1,2;2	Line_3_2_2	1
164	5	1	4	2	1;1	Line_2_1_0	1
165	5	1	5	1	1,2,3	Line_1_3_0	1
166	5	1	6	3	1;1,2;2	Line_3_2_2	1
167	5	1	7	2	1,2;2,3	Line_2_3_2	1
168	5	1	8	3	1;1,2;2	Line_3_2_2	1
169	5	1	9	2	1;1	Line_2_1_0	1
170	5	1	10	1	1,2,3	Line_1_3_0	1
171	5	1	11	3	1;1,2;2	Line_3_2_2	1
172	5	1	12	2	1,2;2,3	Line_2_3_2	1
173	5	1	13	3	1;1,2;2	Line_3_2_2	1
174	5	1	14	2	1;1	Line_2_1_0	1
175	5	1	15	1	1,2	Line_1_2_0	1
176	5	1	16	2	1,2;2,3	Line_2_3_2	1
177	5	1	17	3	1;1,2;2	Line_3_2_2	1
178	5	1	18	2	1,2;2,3	Line_2_3_2	1
179	5	1	19	3	1;1;1	Line_3_1_0	1
180	5	1	20	1			1
181	5	2	1	1	1,2,3	Line_1_3_0	1
182	5	2	2	3	1;1,2;2	Line_3_2_2	1
183	5	2	3	2	1,2;2,3	Line_2_3_2	1
184	5	2	4	3	1;1;1	Line_3_1_0	1
185	5	2	5	1	1,2	Line_1_2_0	1
186	5	2	6	2	1,2;2,3	Line_2_3_2	1
187	5	2	7	3	1;1,2;2	Line_3_2_2	1
188	5	2	8	2	1,2;3	Line_2_3_1	1
189	5	2	9	3	1;1;1	Line_3_1_0	1
190	5	2	10	1	1,2,3	Line_1_3_0	1
191	5	2	11	3	1;1,2;2	Line_3_2_2	1
192	5	2	12	2	1,2;2,3	Line_2_3_2	1
193	5	2	13	3	1;1,2;2	Line_3_2_2	1
194	5	2	14	2	1;1	Line_2_1_0	1
195	5	2	15	1	1,2,3	Line_1_3_0	1
196	5	2	16	3	1;1,2;2	Line_3_2_2	1
197	5	2	17	2	1,2;2,3	Line_2_3_2	1
198	5	2	18	3	1;1,2;2	Line_3_2_2	1
199	5	2	19	2	1;1	Line_2_1_0	1
200	5	2	20	1			1
201	6	1	1	1	1,2	Line_1_2_0	1
202	6	1	2	2	1,2;2,3	Line_2_3_2	1
203	6	1	3	3	1;1;2	Line_3_2_1	1
204	6	1	4	2	1;1	Line_2_1_0	1
205	6	1	5	1	1,2,3	Line_1_3_0	1
206	6	1	6	3	1;2;3	Line_3_3_0	1
207	6	1	7	3	1;1,2;2	Line_3_2_2	1
208	6	1	8	2	1,2;2,3	Line_2_3_2	1
209	6	1	9	3	1;1;1	Line_3_1_0	1
210	6	1	10	1	1,2	Line_1_2_0	1
211	6	1	11	2	1;2,3	Line_2_3_0	1
212	6	1	12	3	1;1,2;2	Line_3_2_2	1
213	6	1	13	2	1,2;2,3	Line_2_3_2	1
214	6	1	14	3	1;1;1	Line_3_1_0	1
215	6	1	15	1	1,2,3	Line_1_3_0	1
216	6	1	16	3	1;1,2;2	Line_3_2_2	1
217	6	1	17	2	1,2;2,3	Line_2_3_2	1
218	6	1	18	3	1;2;2	Line_3_2_0	1
219	6	1	19	2	1;1	Line_2_1_0	1
220	6	1	20	1			1
221	6	2	1	1	1,2,3	Line_1_3_0	1
222	6	2	2	3	1;1,2;2	Line_3_2_2	1
223	6	2	3	2	1,2;2,3	Line_2_3_2	1
224	6	2	4	3	1;1;1	Line_3_1_0	1
225	6	2	5	1	1,2,3	Line_1_3_0	1
226	6	2	6	3	1;1,2;2	Line_3_2_2	1
227	6	2	7	2	1,2;2,3	Line_2_3_2	1
228	6	2	8	3	1;1,2;2	Line_3_2_2	1
229	6	2	9	2	1;1	Line_2_1_0	1
230	6	2	10	1	1,2	Line_1_2_0	1
231	6	2	11	2	1,2;2,3	Line_2_3_2	1
232	6	2	12	3	1;1,2;2	Line_3_2_2	1
233	6	2	13	2	1,2;2,3	Line_2_3_2	1
234	6	2	14	3	1;1;1	Line_3_1_0	1
235	6	2	15	1	1,2,3	Line_1_3_0	1
236	6	2	16	3	1;1,2;2	Line_3_2_2	1
237	6	2	17	2	1;2,3	Line_2_3_0	1
238	6	2	18	3	1;1,2;2	Line_3_2_2	1
239	6	2	19	2	1;1	Line_2_1_0	1
240	6	2	20	1			1
