id	storyId	groupId	people	headIcon	jumpId	choiceOneType	choiceOneId	choiceOneJumpId	type1	reward1	rewardNum1	choiceTwoType	choiceTwoId	choiceTwoJumpId	type2	reward2	rewardNum2	choiceThreeType	choiceThreeId	choiceThreeJumpId	type3	reward3	rewardNum3	chapterBg	end	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	choiceOne	choiceOne_zh_TW	choiceOne_en_UK	choiceOne_ja_JP	choiceOne_ko_KR	choiceOne_th_TH	choiceTwo	choiceTwo_zh_TW	choiceTwo_en_UK	choiceTwo_ja_JP	choiceTwo_ko_KR	choiceTwo_th_TH	choiceThree	choiceThree_zh_TW	choiceThree_en_UK	choiceThree_ja_JP	choiceThree_ko_KR	choiceThree_th_TH
10	2	2				1		7	1	12178020	1	1		5	4	12177907	1	1		3	2	0	0.3	57:dialg_bg_32		1							一阵激烈的打斗声打破了商业街的宁静。我迅速赶到现场，只见蒙面男性猫族正与一群傀化物战斗。他身手矫健，但敌人数量众多，显然有些力不从心……	一陣激烈的打鬥聲打破了商業街的寧靜。我迅速趕到現場，只見蒙面男性貓族正與一群傀化物戰鬥。他身手矯健，但敵人數量眾多，顯然有些力不從心……	The peaceful ambiance of the commercial street shatters with the sound of intense combat. I swiftly arrive at the scene, witnessing a masked male Felinian engaged in a desperate struggle against a group of Anomalies. Despite his agility, the sheer number of enemies overwhelms him, and he appears to be in a challenging predicament...	戦闘の激声が商店街の静寂を破り、現場には覆面の男性フェリニアンスが傀の大群と戦っていた。彼は腕前があるが、数に圧倒されて苦しんでいるようだった。	격렬한 싸움 소리가 상점가의 평화를 깨뜨렸다. 나는 신속하게 현장으로 이동했는데, 얼굴을 가린 남성 캣족이퍼펫들과 전투 중이었다. 움직임이 매우 가벼웠는데, 적의 숫자가 너무 많아서 힘에 부치는 모양이었다…	เสียง​การต่อสู้​อย่าง​ดุเดือด​ดัง​ขึ้น​ ฉัน​รีบ​ไป​ยัง​ที่เกิดเหตุ​ พบ​ชาย​ปิดหน้า​เผ่า​แมว​กำลัง​ต่อสู้​กับ​กลุ่ม​หุ่นเชิด​ แม้​เขา​จะ​ว่องไว​ แต่​จำนวน​ศัตรู​มากเกินไป​ ทำให้​เขา​ดูเหมือน​เริ่ม​จะ​เหนื่อย​...​	配合节奏，一起战斗！	配合節奏，一起戰鬥！	Follow his rhythm and fight together!	ともに戦おう！	리듬에 맞춰 같이 싸우자!	ตาม​จังหวะ​และ​ต่อสู้​ร่วมกัน​!​	鲁莽冲锋	魯莽衝鋒	Act recklessly.	無謀に突進する	맹목적인 공격	บุกแบบไม่คิดหน้าคิดหลัง	伺机而动	伺機而動	Wait for the right moment to act.	頃合いを見極めて動く	기회를 노림	รอโอกาสโจมตี
11	2	3			4																			57:dialg_bg_32		1							因担心打乱战斗节奏，我们只在战局旁提供远程辅助。终于，最后一个傀化物倒下，对方利落收刀。	因擔心打亂戰鬥節奏，我們只在戰局旁提供遠端輔助。終於，最後一個傀化物倒下，對方俐落收刀。	Afraid of disrupting the battle's flow, we offer remote support from the sidelines. Finally, the last Anomaly collapses, and he deftly sheaths his sword.	戦況をむやみに乱さないよう、私たちは離れたところから遠距離支援をするしかなかった。ついに最後の傀が倒れると、男は慣れた手つきで武器をしまった。	전투 흐름을 깨지 않으려고 우리는 조금 떨어진 곳에서 원격으로 지원했다. 마지막 퍼펫이 쓰러지고, 상대방은 칼을 칼집에 집어넣었다	เพราะ​กลัว​จะ​รบกวน​จังหวะ​การต่อสู้​ เรา​จึง​ให้การ​สนับสนุน​จาก​ระยะไกล​ ในที่สุด​ หุ่นเชิด​ตัว​สุดท้าย​ก็​ถูก​จัดการ​ และ​ชาย​คน​นั้น​ก็​เก็บ​อาวุธ​																		
12	2	4																						57:dialg_bg_32	1	1							他沉默地递来一盒东西，是谢礼吗？嗯？这是——夏日绵绵甜品店……？	他沉默地遞來一盒東西，是謝禮嗎？嗯？這是——夏日綿綿甜品店……？	Silently, he hands me a box. Is it a token of gratitude? Hmm? It's from... the Summer Fluffy?	彼は無言で何かが入った箱を手渡してきた。それはお礼だろうか？ん？これは――「夏のふわふわ菓子屋」…？	그는 아무 말도 없이 뭔가를 건넸다. 선물인가? 음? 이건——썸머 달콤 디저트...?	เขา​ยื่น​กล่อง​บางอย่าง​มา​ให้​เงียบ​ ๆ​ นี่​เป็น​ของ​ขอบคุณ​ใช่ไหม​?​ หืม​?​ นี่​มัน​...​กล่อง​จา​กร้าน​ขนมหวาน​ซัมเมอร์ฟลัฟฟี​เหรอ​?​																		
13	2	5			6																			57:dialg_bg_32		1							不能眼看着他陷入危险，我果断冲入战局。	不能眼看著他陷入危險，我果斷沖入戰局。	I can't stand by and watch him fall into danger, so I rush into the fray.	男が危険にさらされるのを指をくわえて見ていられなかったので、思いきって戦闘に加わった。	그가 위험에 빠지는 걸 지켜볼 수 없어서, 나는 과감하게 전투에 뛰어들었다	ฉัน​ทน​มอง​เขา​ตกอยู่ในอันตราย​ไม่​ได้​ ตัดสินใจ​พุ่ง​เข้าสู่​การต่อสู้​ทันที​																		
14	2	6																						57:dialg_bg_32	1	1							「退后，小心。」蒙面猫族及时调转攻势，但刚刚被击退的傀化物趁着这个空档重新纠缠上来，我们陷入苦战……	「退後，小心。」蒙面貓族及時調轉攻勢，但剛剛被擊退的傀化物趁著這個空檔重新糾纏上來，我們陷入苦戰……	"Step back and stay cautious." The masked Felinian swiftly changes tactics, but the just-defeated Anomalies seize the moment to swarm us again, plunging us into a hard fight...	「下がれ、危険だ」覆面のフェリニアンスは即座に反撃を開始したが、その隙を突いて傀たちが再び襲い掛かり、苦戦することになった……	「뒤로 물러, 조심해.」복면을 쓴 캣족은 즉각적으로 공격 자세를 취했지만, 방금 전 해치웠던 퍼펫이 이 기회를 이용해 다시 공격해왔고, 우리는 다시 고전했다…	"​ถอย​ไป​ ระวัง​"​ ชาย​เผ่า​แมว​คน​นั้น​เปลี่ยน​จังหวะ​การ​โจมตี​ แต่​หุ่นเชิด​ที่​เพิ่ง​ถูก​ต้าน​ไว้​ได้​ ใช้​จังหวะ​นี้​เข้ามา​โจมตี​อีกครั้ง​ทำให้​เรา​ต้อง​เผชิญหน้า​กับ​สถาน​การ​ที่​ยาก​ลำ​บา​ก.​..​																		
15	2	7			8																			57:dialg_bg_32		1							我仔细观察战局在合适的时机加入战斗，与蒙面猫族并肩作战。我们配合默契，迅速击退了傀化物的进攻。	我仔細觀察戰局在合適的時機加入戰鬥，與蒙面貓族並肩作戰。我們配合默契，迅速擊退了傀化物的進攻。	I carefully observe the battle and join in at the opportune moment, fighting side by side with the masked Felinian. With seamless cooperation, we swiftly repel the Anomalies' assault.	戦況を慎重に観察し、適切なタイミングで戦闘に加わり、覆面のフェリニアンスと共闘した。二人の息がぴったり合い、傀化物の攻撃を素早く撃退した。	나는 전투 상황을 주시하다가 적절한 시기에 전투에 합류했다. 복면을 쓴 캣족의 옆에서 전투했다. 우리는 함께 작전을 이끌고, 퍼펫의 공격을 빠르게 물리쳤다	ฉัน​เฝ้า​สังเกตการณ์​ต่อสู้​อย่าง​ระมัดระวัง​ และ​เข้า​ร่วมใน​เวลา​ที่​เหมาะสม​ ต่อสู้​เคียงข้าง​ชาย​เผ่า​แมว​อย่าง​ลงตัว​ และ​สามารถ​ต้าน​การ​โจมตี​ของ​หุ่นเชิด​ได้​อย่าง​รวดเร็ว​																		
16	2	8																						57:dialg_bg_32	1	1							他沉默地递来几件装备，是谢礼吗？嗯？这是——闪金财团出品……？	他沉默地遞來幾件裝備，是謝禮嗎？嗯？這是——閃金財團出品……？	Silently, he hands me a few pieces of equipment. Is this a token of thanks? Hmm? They're... produced by the Spangler Inc...	彼は無言でいくつかの装備を手渡してきた。それはお礼の品だろうか？ん？これは――「スパングラー財団製」…？	그는 아무 말도 없이 뭔가를 건넸다. 선물인가? 음? 이건——골드 재단의 제품…?	เขา​ยื่น​อุปกรณ์​บางอย่าง​มา​ให้​ นี่​เป็น​คำขอบคุณ​ใช่ไหม​?​ หืม​?​ นี่​มัน​...​สินค้า​จาก​กลุ่ม​ทุน​โกลด์​แค​ท​...?​																		
17	3	1			2																			57:dialg_bg_224		1							「这家拉面店只在凌晨开业，吃了面的人不是获得了极度的幸运，就是极度的不幸……」走到这家拉面店旁，我想起了有关它的传说。	「這家拉麵店只在淩晨開業，吃了面的人不是獲得了極度的幸運，就是極度的不幸……」走到這家拉麵店旁，我想起了有關它的傳說。	"This ramen shop only opens in the early morning. Those who eat the ramen either experience extreme luck or extreme misfortune..." Walking past this ramen shop, memories of the legends associated with it flood my mind.	「このラーメン屋は深夜しか営業していない。ここのラーメンを食べた人は、極端な幸運と不運のどちらかになるんだ……」ラーメン屋の前に到着すると、ふとこの店にまつわる噂を思い出した。	"이 라면 가게는 새벽에만 영업한다. 이 라면을 먹는 사람들은 엄청난 행운을 얻거나 엄청난 불운을 겪게 된다......" 그 라면 가게 쪽으로 걸어가며 나는 이 이야기가 머릿속에 떠올랐다	"​ร้าน​ราเม็ง​แห่ง​นี้​จะ​เปิด​เฉพาะ​หลัง​เที่ยงคืน​เท่านั้น​ ผู้​ที่​ได้​ลอง​ชิม​ราเม็ง​จะ​ได้​พบ​กับ​โชคดี​แบบ​สุดขั้ว​ หรือไม่​ก็​โชคร้าย​แบบ​สุดโต่ง​..."​ เมื่อ​เดิน​ถึง​ข้างๆ​ ร้าน​ราเม็ง​ ฉัน​ก็​นึกถึง​ตำนาน​เกี่ยวกับ​ร้าน​นี้​ขึ้น​มา​																		
18	3	2				1		5	2	0	0.3	1		3	4	12177909	1	1		7	1	12178006	1	57:dialg_bg_224		1							「这家拉面店只在凌晨开业，吃了面的人不是获得了极度的幸运，就是极度的不幸……」走到这家拉面店旁，我想起了有关它的传说。	「這家拉麵店只在淩晨開業，吃了面的人不是獲得了極度的幸運，就是極度的不幸……」走到這家拉麵店旁，我想起了有關它的傳說。	"This ramen shop only opens in the early morning. Those who eat the ramen either experience extreme luck or extreme misfortune..." Walking past this ramen shop, memories of the legends associated with it flood my mind.	「このラーメン屋は深夜しか営業していない。ここのラーメンを食べた人は、極端な幸運と不運のどちらかになるんだ……」ラーメン屋の前に到着すると、ふとこの店にまつわる噂を思い出した。	"이 라면 가게는 새벽에만 영업한다. 이 라면을 먹는 사람들은 엄청난 행운을 얻거나 엄청난 불운을 겪게 된다......" 그 라면 가게 쪽으로 걸어가며 나는 이 이야기가 머릿속에 떠올랐다	"​ร้าน​ราเม็ง​แห่ง​นี้​จะ​เปิด​เฉพาะ​หลัง​เที่ยงคืน​เท่านั้น​ ผู้​ที่​ได้​ลอง​ชิม​ราเม็ง​จะ​ได้​พบ​กับ​โชคดี​แบบ​สุดขั้ว​ หรือไม่​ก็​โชคร้าย​แบบ​สุดโต่ง​..."​ เมื่อ​เดิน​ถึง​ข้างๆ​ ร้าน​ราเม็ง​ ฉัน​ก็​นึกถึง​ตำนาน​เกี่ยวกับ​ร้าน​นี้​ขึ้น​มา​	偷偷试一试……	偷偷試一試……	Maybe I'll try it...	こっそり試しす…	조용히 시도해보자......	แอบลองสักครั้งหนึ่ง...	毕竟是巡逻……	畢竟是巡邏……	I'm on patrol, after all...	パトロール中だし…	어차피 순찰 중이니까…	กำลัง​ลาดตระเวน​อยู่​นี่​นะ​...​	好奇地观察……	好奇地觀察……	Observing with curiosity...	興味深く観察する…	궁금해서 관찰했다…	มองด้วยความสงสัย...
19	3	3			4																			57:dialg_bg_224		1							我正准备离开。店里忽然走出一对顾客，其中一位脸色煞白。「这味道好恶心！」「哈哈是你运气不好，我那碗可好吃了！」	我正準備離開。店裡忽然走出一對顧客，其中一位臉色煞白。「這味道好噁心！」「哈哈是你運氣不好，我那碗可好吃了！」	Just as I'm about to leave, a pair of customers exit the shop, one of them with a pale face. "That tasted horrible!" "Haha, it's just your bad luck. Mine was great!"	その場を離れようとすると、2人組の客が店から出てきた。一人は顔色が青ざめ、「吐きそうになった！」と叫び、もう一人は「運が悪かっただけさ。こっちのは美味しかったんだぞ！」と笑った。	나는 이제 가려고 했는데, 가게에서 갑자기 두 명의 손님이 나왔다. 그 중 한 명은 얼굴이 창백했다. 「진짜 맛없어!」「하하, 넌 운이 정말 안 좋나보네, 난 정말 맛있었는데!」	ฉัน​กำลังจะ​เดิน​จากไป​ จู่ๆ​ มี​ลูกค้า​สอง​คน​เดิน​ออก​มาจาก​ร้าน​ หนึ่ง​ใน​นั้น​หน้า​ซีดเผือด​ "​รสชาติ​แย่มาก​!"​ "​ฮ่า​ ๆ​ นาย​โชคร้าย​เอง​ แต่​ชาม​ของ​ฉัน​อร่อย​สุด​ ๆ​!"​																		
20	3	4																						57:dialg_bg_224	1	1							原来是有一半概率吃到难吃的拉面啊。按照我的运气……真庆幸没有尝试！	原來是有一半機率吃到難吃的拉麵啊。按照我的運氣……真慶倖沒有嘗試！	So, there's a 50% chance of getting distasteful ramen. Given my luck... I'm glad I didn't try it!	半分の確率でまずいラーメンを出されてしまうってわけか。自分の運を考えてみれば……試さなくて良かった!	이게 바로 절반의 확률로 맛없는 라면을 먹는 거였네. 내 운이라면... 먹어보지 않아서 다행이야!	ที่แท้​มีโอกาส​ครึ่งหนึ่ง​ที่จะ​เจอ​ราเม็ง​รสชาติ​แย่​!​ ด้วย​ดวง​ของ​ฉัน​...​โชคดี​จริงๆ​ ที่​ไม่​ได้​ลอง​!​																		
21	3	5			6																			57:dialg_bg_224		1							我直接下单了招牌拉面。面端来后，我迫不及待地夹起飘香的面条向口中送去。瞬间，一股怪味溢满口腔，我几乎快昏死过去。	我直接下單了招牌拉麵。面端來後，我迫不及待地夾起飄香的麵條向口中送去。瞬間，一股怪味溢滿口腔，我幾乎快昏死過去。	I decide to order their signature ramen. As soon as the ramen hits the table, I dive in, slurping up the fragrant noodles. Suddenly, a strange flavor overwhelms my senses, nearly causing me to pass out.	特製ラーメンを注文した。運ばれてきたラーメンは食欲をそそるにおいを漂わせていた。さっそくすすってみると、一瞬にして口の中に異臭が充満し、危うく気を失いそうになった。	나는 바로 대표 메뉴인 라면을 주문했다. 라면이 나오자마자, 내가 바로 맛있는 면을 집어 입에 넣었어. 순식간에 이상한 맛이 입안에 가득 퍼졌고, 나는 거의 기절할 뻔했다	ฉัน​ตัดสินใจ​สั่ง​ราเม็ง​สูตร​เด็ด​ของ​ร้าน​ เมื่อ​ราเม็ง​มา​ นรี​บ​ตัก​เส้น​หอมกรุ่น​เข้า​ปาก​ทันที​ แต่​ทันใดนั้น​ รสชาติ​ประหลาด​ก็​เอ่อล้น​ไป​ทั่ว​ปาก​จน​แทบจะ​สลบ​ค้า​ถ้วย​ราเม็ง​																		
22	3	6																						57:dialg_bg_224	1	1							缓过一阵后，才看到菜单的一行小字「招牌拉面——有一半概率吃到怪味款」。	緩過一陣後，才看到功能表的一行小字「招牌拉麵——有一半機率吃到怪味款」。	After quite a moment, I finally come back to my senses and notice a small line of text on the menu: "Signature Ramen - 50% chance of strange taste."	ほどなくして、メニューの横に並んでいる小さな文字列がが目にった。「特製ラーメン：半分の確率で異臭仕様を提供」	잠시 후에 정신을 차리고 나서야, 메뉴에 적힌 한 줄의 작은 글씨를 봤다 「대표 메뉴- 라면——절반의 확률로 이상한 맛이 날 수 있음」	หลังจาก​พักฟื้น​อยู่​ครู่หนึ่ง​ ฉัน​ถึง​ได้​เห็น​ตัวหนังสือ​เล็ก​ ๆ​ บน​เมนู​ ‘​ราเม็ง​สูตร​เด็ด​—​มีโอกาส​ครึ่งหนึ่ง​ที่จะ​ได้​ชิม​รสชาติ​ประหลาด​’​																		
23	3	7			8																			57:dialg_bg_224		1							我移步拉面店内，仔细研究后看到菜单的一行小字「招牌拉面——有一半概率吃到怪味款」。	我移步拉麵店內，仔細研究後看到功能表的一行小字「招牌拉麵——有一半機率吃到怪味款」。	I step into the ramen shop and carefully peruse the menu. There, I find a small line of text: "Signature Ramen - 50% chance of strange taste."	店に入り、よく調べてみると、メニューに書いてあった小さな文字が目に入った。「特製ラーメン：半分の確率で異臭仕様を提供」	나는 라면 가게로 이동해서 메뉴를 주의 깊게 살펴봤다. 거기에는 한 줄의 작은 글씨가 있었는데 「대표 메뉴- 라면——절반의 확률로 이상한 맛이 날 수 있음」이라고 적혀 있었다	ฉัน​เดิน​เข้าไป​ใน​ร้าน​ราเม็ง​ ดู​เมนู​อย่าง​ละเอียด​ และ​เห็น​ตัวหนังสือ​เล็ก​ๆ​ ที่​เขียน​ไว้​ว่า​ "​ราเม็ง​สูตร​เด็ด​—​มีโอกาส​ครึ่งหนึ่ง​ที่จะ​ได้​ชิม​รสชาติ​ประหลาด​"​																		
24	3	8																						57:dialg_bg_224	1	1							按照我的运气多半会……算了，还是尝试店里的其他口味吧！	按照我的運氣多半會……算了，還是嘗試店裡的其他口味吧！	Knowing my luck, it's probably... Well, I'll try other flavors in the shop!	自分の運勢ではおそらく……まあ、ほかのメニューにしよう！	내 운이면... 그럴 수도 있겠지... 어쨌든 다른 맛도 한번 시켜보자!	ตาม​ดวง​ของ​ฉัน​แล้ว​ ส่วนใหญ่​คงจะ​...​ ช่างเถอะ​ ลอง​รสชาติ​อื่น​ของ​ร้าน​ดีกว่า​!​																		
