id	activityId	taskContentType	taskContentId	taskContenNum	rewardId	rewardNum	openType	openParameter	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
18	3	1803	0	500	4190001	500			1	累计获得500点活跃度	累計獲得500點活躍度	Get 500 Activeness Pts in total.	活躍度が累計で500に達する	활약도 누적 500pt 획득	ได้รับ​ค่า​แอ็ก​ที​ฟ​ครบ​ 500​ แต้ม​
19	3	1803	0	1000	9000027	10			1	累计获得1000点活跃度	累計獲得1000點活躍度	Get 1000 Activeness Pts in total.	活躍度が累計で1000に達する	활약도 누적 1000 획득	ได้รับ​ค่า​แอ็ก​ที​ฟ​ครบ​ 1,000​ แต้ม​
20	3	1803	0	1500	5200011	40			1	累计获得1500点活跃度	累計獲得1500點活躍度	Get 1500 Activeness Pts in total.	活躍度が累計で1500に達する	활약도 누적 1500pt 획득	ได้รับ​ค่า​แอ็ก​ที​ฟ​ครบ​ 1500​ แต้ม​
21	3	1803	0	2000	4190004	1000			1	累计获得2000点活跃度	累計獲得2000點活躍度	Get 2000 Activeness Pts in total.	活躍度が累計で2000に達する	활약도 누적 2000pt 획득	ได้รับ​ค่า​แอ็ก​ที​ฟ​ครบ​ 2,000​ แต้ม​
22	4	1803	0	200	9000027	10			1	累计获得200点活跃度	累計獲得200點活躍度	Get 200 Activeness Pts in total.	活躍度が累計で200に達する	활약도 누적 200pt 획득	ได้รับ​ค่า​แอ็ก​ที​ฟ​ครบ​ 200​ แต้ม​
23	4	1803	0	500	4190001	500			1	累计获得500点活跃度	累計獲得500點活躍度	Get 500 Activeness Pts in total.	活躍度が累計で500に達する	활약도 누적 500pt 획득	ได้รับ​ค่า​แอ็ก​ที​ฟ​ครบ​ 500​ แต้ม​
24	4	1803	0	1000	9000027	10			1	累计获得1000点活跃度	累計獲得1000點活躍度	Get 1000 Activeness Pts in total.	活躍度が累計で1000に達する	활약도 누적 1000 획득	ได้รับ​ค่า​แอ็ก​ที​ฟ​ครบ​ 1,000​ แต้ม​
25	4	1803	0	1500	5200011	40			1	累计获得1500点活跃度	累計獲得1500點活躍度	Get 1500 Activeness Pts in total.	活躍度が累計で1500に達する	활약도 누적 1500pt 획득	ได้รับ​ค่า​แอ็ก​ที​ฟ​ครบ​ 1500​ แต้ม​
26	4	1803	0	2000	4190004	1000			1	累计获得2000点活跃度	累計獲得2000點活躍度	Get 2000 Activeness Pts in total.	活躍度が累計で2000に達する	활약도 누적 2000pt 획득	ได้รับ​ค่า​แอ็ก​ที​ฟ​ครบ​ 2,000​ แต้ม​
27	5	1803	0	200	9000027	10			1	累计获得200点活跃度	累計獲得200點活躍度	Get 200 Activeness Pts in total.	活躍度が累計で200に達する	활약도 누적 200pt 획득	ได้รับ​ค่า​แอ็ก​ที​ฟ​ครบ​ 200​ แต้ม​
28	5	1803	0	500	4190001	500			1	累计获得500点活跃度	累計獲得500點活躍度	Get 500 Activeness Pts in total.	活躍度が累計で500に達する	활약도 누적 500pt 획득	ได้รับ​ค่า​แอ็ก​ที​ฟ​ครบ​ 500​ แต้ม​
29	5	1803	0	1000	9000027	10			1	累计获得1000点活跃度	累計獲得1000點活躍度	Get 1000 Activeness Pts in total.	活躍度が累計で1000に達する	활약도 누적 1000 획득	ได้รับ​ค่า​แอ็ก​ที​ฟ​ครบ​ 1,000​ แต้ม​
30	5	1803	0	1500	5200011	40			1	累计获得1500点活跃度	累計獲得1500點活躍度	Get 1500 Activeness Pts in total.	活躍度が累計で1500に達する	활약도 누적 1500pt 획득	ได้รับ​ค่า​แอ็ก​ที​ฟ​ครบ​ 1500​ แต้ม​
31	5	1803	0	2000	4190004	1000			1	累计获得2000点活跃度	累計獲得2000點活躍度	Get 2000 Activeness Pts in total.	活躍度が累計で2000に達する	활약도 누적 2000pt 획득	ได้รับ​ค่า​แอ็ก​ที​ฟ​ครบ​ 2,000​ แต้ม​
32	6	1803	0	200	5200011	10			1	累计获得200点活跃度	累計獲得200點活躍度	Get 200 Activeness Pts in total.	活躍度が累計で200に達する	활약도 누적 200pt 획득	ได้รับ​ค่า​แอ็ก​ที​ฟ​ครบ​ 200​ แต้ม​
33	6	1803	0	500	5200011	20			1	累计获得500点活跃度	累計獲得500點活躍度	Get 500 Activeness Pts in total.	活躍度が累計で500に達する	활약도 누적 500pt 획득	ได้รับ​ค่า​แอ็ก​ที​ฟ​ครบ​ 500​ แต้ม​
34	6	1803	0	1000	5200011	30			1	累计获得1000点活跃度	累計獲得1000點活躍度	Get 1000 Activeness Pts in total.	活躍度が累計で1000に達する	활약도 누적 1000 획득	ได้รับ​ค่า​แอ็ก​ที​ฟ​ครบ​ 1,000​ แต้ม​
35	6	1803	0	1500	5200011	40			1	累计获得1500点活跃度	累計獲得1500點活躍度	Get 1500 Activeness Pts in total.	活躍度が累計で1500に達する	활약도 누적 1500pt 획득	ได้รับ​ค่า​แอ็ก​ที​ฟ​ครบ​ 1500​ แต้ม​
36	6	1803	0	2000	5200011	50			1	累计获得2000点活跃度	累計獲得2000點活躍度	Get 2000 Activeness Pts in total.	活躍度が累計で2000に達する	활약도 누적 2000pt 획득	ได้รับ​ค่า​แอ็ก​ที​ฟ​ครบ​ 2,000​ แต้ม​
