id	costItem	costNum	deck	rate	rules	lockDemand	rawardLimit	reward	rewardNum	dropRate	showReward	draw	head	headframe	status	title	title_zh_TW	title_en_UK	title_ja_JP	title_ko_KR	title_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	lines	lines_zh_TW	lines_en_UK	lines_ja_JP	lines_ko_KR	lines_th_TH
107	9000053	10	5930022,5930019,5940004,5930010,5950005;	10	21	20	40	5950001;5940003;3000029;9030006	1;1;190;10	100;100;200;50	5950001;5940003	107008	6200001	6220010	1	牌手	牌手	Player	選手	카드 플레이어	การ์ดไฟต์เตอร์	伊德	伊德	Idego	イード	에이드	เอ็ด	就当做是放松的棋局吧，戒骄戒躁。	就當做是放鬆的棋局吧，戒驕戒躁。	Let's just consider this a nice, casual game session—no need to get all worked up or cocky, right?	ただの気晴らしの対局だと思えばいいさ。驕らず、焦らずに行こうか。	편안하게 하자고. 자만도 조급함도 필요없어.	ถือว่า​เล่น​เพื่อ​ผ่อนคลาย​แล้วกัน​ อย่า​หลงตัวเอง​นัก​เลย​
108	9000053	10	5930022,5930019,5940004,5960002,5950005;	10	21;8	22	40	5950002;5940003;3000029;9030006	1;1;205;10	100;100;200;50	5950002;5940003	114008	6200001	6220010	1	牌王	牌王	King of Cards	王者	카드킹	เจ้าแห่งการ์ด	云沛	雲沛	Yunpei	雲沛	운비	หยุนเพ่ย	姐姐刚才说过，调查官的实力不会令我失望。	姐姐剛才說過，調查官的實力不會令我失望。	So my sister tells me your skills are bound to impress me, Inspector.	調査官はがっかりさせませんと、姉が言っていました。	언니 말로는 조사관의 실력은 실망시키지 않는다고 했어.	พี่สาว​บอก​ฉัน​มา​ค่ะ​ ว่า​ฝีมือ​ของ​คุณ​ผู้ตรวจการ​จะ​ไม่​ทำให้​ฉัน​ผิดหวัง​
109	9000053	10	5940009,5920001,5930015,5930009,5930011;5920014,5940009,5920001,5930015,5930009;	10;10	6	38	100	5950002;5940004;3000029;9030006	1;1;220;10	100;100;200;50	5950002;5940004	102008	6200001	6220010	1	牌手	牌手	Player	選手	카드 플레이어	การ์ดไฟต์เตอร์	艾可	艾可	Echo	アイコ	에코	เอคโค	艾可是不会手下留情的哦！看招！	艾可是不會手下留情的哦！看招！	Hah, don't think I'm gonna go easy on you! Take this!	アイコの実力を見せてやる〜手加減なんかしないからにゃ！	에코는 봐주지 않을 거다냥! 승부다!	เอ​ค​โค​ไม่​ออม​มือ​ให้​หรอก​นะคะ​!​ มาเจอ​กันหน่อย​​!​
110	9000053	10	5940002,5930022,5950003,5930007,5940012;5940002,5950002,5930015,5920007,5960002;	10;10	6;7	30	100	5950003;5940004;3000029;9030006	1;1;235;10	100;100;200;50	5950003;5940004	127008	6200001	6220010	1	牌王	牌王	King of Cards	王者	카드킹	เจ้าแห่งการ์ด	祈	祈	Qi	祈	기	ฉี	可以把赌注……换成你本人吗？	可以把賭注……換成你本人嗎？	Say, think we could up the stakes a bit... maybe make you the prize?	賭けの対象を…調査官自身に変えてもいいのかしら？	판돈은... 당신 본인으로 걸면 안 되겠소?	เปลี่ยน​เงินเดิมพัน​เป็น​...​ตัว​คุณ​ได้​ไหม​?​
111	9000053	10	5960003,5950003,5940001,5940012,5930021;5960001,5940003,5950001,5940006,5930021;5960003,5950001,5940003,5940012,5940004;	10;10;10	22	42	100	5950003;5940005;3000029;9030006	1;1;250;10	100;100;200;50	5950003;5940005	104003	6200001	6220010	1	牌手	牌手	Player	選手	카드 플레이어	การ์ดไฟต์เตอร์	南弥生	南彌生	Minami	南 弥生	미나미	มินามิ	别紧张呢调查官，我会奉陪到底的。	別緊張呢調查官，我會奉陪到底的。	No need to be nervous, Inspector. I'll stick with you till the end of this round.	そんなに緊張しないで、調査官。最後まで付き合ってあげるわ。	긴장하지 마 조사관, 내가 계속 같이해줄 테니까.	ไม่ต้อง​ตื่นเต้น​นะ​คุณ​ผู้ตรวจการ​ ฉัน​จะ​อยู่​เป็นเพื่อน​คุณ​เอง​
112	9000053	10	5960002,5950006,5940004,5940010,5940012;5960004,5950006,5950007,5940001,5940003;	10;10	22;8	48	100	5960001;5940005;3000029;9030006	1;1;300;10	50;100;250;50	5960001;5940005	144001	6200001	6220010	1	牌王	牌王	King of Cards	王者	카드킹	เจ้าแห่งการ์ด	千术	千術	Trixie	千術	트릭시	ทริกซี่	前辈，确定要挑战小千吗？	前輩，確定要挑戰小千嗎？	You sure you wanna take on me, Senior?	先輩、本気で千ちゃんに挑戦するつもりですか？	우리 선배님, 진짜로 트릭시한테 도전하고 싶은 거야?	รุ่นพี่​ คิดจะ​สู้​กับ​หนูทริก​คนนี้​จริงๆ​ เหรอคะ​?​
113	9000053	10	5960002,5950006,5940004,5930008,5910003;	10	5	48	100	5950004;5920006;3000029;9030006	1;1;300;10	50;100;250;50	5950004;5920006	102008	6200001	6220010	1	牌手	牌手	Player	選手	카드 플레이어	การ์ดไฟต์เตอร์	艾可	艾可	Echo	アイコ	에코	เอคโค	让艾可看看调查官对规则的理解程度吧！	讓艾可看看調查官對規則的理解程度吧！	Let's see how well you know the rules!	調査官がルールをどれぐらい把握しているかアイコに見せてみよう！	에코가 조사관을 시험해 보겠어!	ให้เอคโค​ได้เห็น​หน่อย​ว่า​ผู้ตรวจการ​เข้าใจ​กติกา​มาก​แค่​ไหน​!​
114	9000053	10	5960004,5950006,5940004,5940010,5930017;	10	19	48	100	5950004;5920007;3000029;9030006	1;1;300;10	50;100;250;50	5950004;5920007	102008	6200001	6220010	1	牌手	牌手	Player	選手	카드 플레이어	การ์ดไฟต์เตอร์	艾可	艾可	Echo	アイコ	에코	เอคโค	让艾可看看调查官对规则的理解程度吧！	讓艾可看看調查官對規則的理解程度吧！	Let's see how well you know the rules!	調査官がルールをどれぐらい把握しているかアイコに見せてみよう！	에코가 조사관을 시험해 보겠어!	ให้เอคโค​ได้เห็น​หน่อย​ว่า​ผู้ตรวจการ​เข้าใจ​กติกา​มาก​แค่​ไหน​!​
115	9000053	10	5960004,5950005,5940003,5940010,5940012;	10	19;4	48	100	5950005;5920008;3000029;9030006	1;1;300;10	50;100;250;50	5950005;5920008	102008	6200001	6220010	1	牌手	牌手	Player	選手	카드 플레이어	การ์ดไฟต์เตอร์	艾可	艾可	Echo	アイコ	에코	เอคโค	让艾可看看调查官对规则的理解程度吧！	讓艾可看看調查官對規則的理解程度吧！	Let's see how well you know the rules!	調査官がルールをどれぐらい把握しているかアイコに見せてみよう！	에코가 조사관을 시험해 보겠어!	ให้เอคโค​ได้เห็น​หน่อย​ว่า​ผู้ตรวจการ​เข้าใจ​กติกา​มาก​แค่​ไหน​!​
116	9000053	10	5960004,5950006,5940004,5940010,5930017;	10	19;7	48	100	5950005;5920009;3000029;9030006	1;1;300;10	50;100;250;50	5950005;5920009	102008	6200001	6220010	1	牌手	牌手	Player	選手	카드 플레이어	การ์ดไฟต์เตอร์	艾可	艾可	Echo	アイコ	에코	เอคโค	让艾可看看调查官对规则的理解程度吧！	讓艾可看看調查官對規則的理解程度吧！	Let's see how well you know the rules!	調査官がルールをどれぐらい把握しているかアイコに見せてみよう！	에코가 조사관을 시험해 보겠어!	ให้เอคโค​ได้เห็น​หน่อย​ว่า​ผู้ตรวจการ​เข้าใจ​กติกา​มาก​แค่​ไหน​!​
117	9000053	10	5920001,5920013,5930005,5930013,5950006;	10	2;21	48	100	5950006;5920010;3000029;9030006	1;1;300;10	50;100;250;50	5950006;5920010	102008	6200001	6220010	1	牌手	牌手	Player	選手	카드 플레이어	การ์ดไฟต์เตอร์	艾可	艾可	Echo	アイコ	에코	เอคโค	让艾可看看调查官对规则的理解程度吧！	讓艾可看看調查官對規則的理解程度吧！	Let's see how well you know the rules!	調査官がルールをどれぐらい把握しているかアイコに見せてみよう！	에코가 조사관을 시험해 보겠어!	ให้เอคโค​ได้เห็น​หน่อย​ว่า​ผู้ตรวจการ​เข้าใจ​กติกา​มาก​แค่​ไหน​!​
118	9000053	10	5920001,5920013,5930005,5930013,5950006;5920003,5930016,5930005,5930013,5950008;	10;10	2;21;7	48	100	5950006;5920011;3000029;9030006	1;1;300;10	50;100;250;50	5950006;5920011	102008	6200001	6220010	1	牌手	牌手	Player	選手	카드 플레이어	การ์ดไฟต์เตอร์	艾可	艾可	Echo	アイコ	에코	เอคโค	让艾可看看调查官对规则的理解程度吧！	讓艾可看看調查官對規則的理解程度吧！	Let's see how well you know the rules!	調査官がルールをどれぐらい把握しているかアイコに見せてみよう！	에코가 조사관을 시험해 보겠어!	ให้เอคโค​ได้เห็น​หน่อย​ว่า​ผู้ตรวจการ​เข้าใจ​กติกา​มาก​แค่​ไหน​!​
119	9000053	10	5920003,5920015,5930008,5930012,5960003;	10	1;21	48	100	5950007;5920012;3000029;9030006	1;1;300;10	50;100;250;50	5950007;5920012	102008	6200001	6220010	1	牌手	牌手	Player	選手	카드 플레이어	การ์ดไฟต์เตอร์	艾可	艾可	Echo	アイコ	에코	เอคโค	让艾可看看调查官对规则的理解程度吧！	讓艾可看看調查官對規則的理解程度吧！	Let's see how well you know the rules!	調査官がルールをどれぐらい把握しているかアイコに見せてみよう！	에코가 조사관을 시험해 보겠어!	ให้เอคโค​ได้เห็น​หน่อย​ว่า​ผู้ตรวจการ​เข้าใจ​กติกา​มาก​แค่​ไหน​!​
120	9000053	10	5920003,5920015,5930005,5930013,5950006;5920006,5920012,5930006,5930012,5950005;	10;10	1;21;4	48	100	5950007;5920013;3000029;9030006	1;1;300;10	50;100;250;50	5950007;5920013	102008	6200001	6220010	1	牌手	牌手	Player	選手	카드 플레이어	การ์ดไฟต์เตอร์	艾可	艾可	Echo	アイコ	에코	เอคโค	让艾可看看调查官对规则的理解程度吧！	讓艾可看看調查官對規則的理解程度吧！	Let's see how well you know the rules!	調査官がルールをどれぐらい把握しているかアイコに見せてみよう！	에코가 조사관을 시험해 보겠어!	ให้เอคโค​ได้เห็น​หน่อย​ว่า​ผู้ตรวจการ​เข้าใจ​กติกา​มาก​แค่​ไหน​!​
999901			5910003,5910005,5910006,5910009,5910010;	10	1	0	0						6200001	6220010	1	测试员	測試員	Tester		测试员	ผู้ทดสอบ	二明牌	二明牌	Dual View	ツーオープン	오픈딜(2)	เผยไพ่สองใบ						
999902			5910003,5910005,5910006,5910009,5910010;	10	2	0	0						6200001	6220010	1	测试员	測試員	Tester		测试员	ผู้ทดสอบ	三明牌	三明牌	Triple View	スリーオープン	오픈딜(3)	เผยไพ่สามใบ						
999903			5910003,5910005,5910006,5910009,5910010;	10	3	0	0						6200001	6220010	1	测试员	測試員	Tester		测试员	ผู้ทดสอบ	全明牌	全明牌	Full Visibility	オールオープン	오픈딜(all)	เผยไพ่ทั้งหมด						
999904			5910003,5910005,5910006,5910009,5910010;	10	4	0	0						6200001	6220010	1	测试员	測試員	Tester		测试员	ผู้ทดสอบ	混乱	混亂	Disorder	カオス	혼란	สลับ						
999905			5910003,5910005,5910006,5910009,5910010;	10	5	0	0						6200001	6220010	1	测试员	測試員	Tester		测试员	ผู้ทดสอบ	王牌杀手	王牌殺手	Ace Snipe	エースキラー	에이스 킬러	นักล่าเอซ						
999906			5910003,5910005,5910006,5910009,5910010;	10	6	0	0						6200001	6220010	1	测试员	測試員	Tester		测试员	ผู้ทดสอบ	同类强化	同類強化	Type Boost	タイプアセンド	동일유형 강화	เสริมพลังประเภทเดียวกัน						
999907			5910003,5910005,5910006,5910009,5910010;	10	7	0	0						6200001	6220010	1	测试员	測試員	Tester		测试员	ผู้ทดสอบ	交换	交換	Card Exchange	スワップ	교환	แลกเปลี่ยน						
999908			5910003,5910005,5910006,5910009,5910010;	10	8	0	0						6200001	6220010	1	测试员	測試員	Tester		测试员	ผู้ทดสอบ	秩序	秩序	Order	コスモス	질서	ลำดับ						
999909			5910003,5910005,5910006,5910009,5910010;	10	9	0	0						6200001	6220010	1	测试员	測試員	Tester		测试员	ผู้ทดสอบ	逆转	逆轉	Reverse	リバース	역전	พลิกสถานการณ์						
999910			5910003,5910005,5910006,5910009,5910010;	10	10	0	0						6200001	6220010	1	测试员	測試員	Tester		测试员	ผู้ทดสอบ	同类弱化	同類弱化	Type Weakening	タイプディセンド	待定翻译内容同类弱化	ความอ่อนแอ​ของ​ประเภท​เดียวกัน​						
999911			5910003,5910005,5910006,5910009,5910010;	10	11	0	0						6200001	6220010	1	测试员	測試員	Tester		测试员	ผู้ทดสอบ	万圣节强化	萬聖節強化	待处理翻译万圣节强化		핼러윈 유형의 마크를 가진 배틀카드는 전투 시작 시 네 변의 수치가 +1	เสริมพลังฮาโลวีน						
999912			5910003,5910005,5910006,5910009,5910010;	10	12	0	0						6200001	6220010	1	测试员	測試員	Tester		测试员	ผู้ทดสอบ	万圣节超强化	萬聖節超強化	待处理翻译万圣节超强化		수영복 유형의 마크를 가진 배틀카드는 전투 시작 시 네 변의 수치가 +1	เสริมพลังพิเศษฮาโลวีน						
999913			5910003,5910005,5910006,5910009,5910010;	10	13	0	0						6200001	6220010	1	测试员	測試員	Tester		测试员	ผู้ทดสอบ	泳装强化	泳裝強化	待处理翻译泳装强化		웨딩 유형의 마크를 가진 배틀카드는 전투 시작 시 네 변의 수치가 +1	เสริมพลังชุดว่ายน้ำ						
999914			5910003,5910005,5910006,5910009,5910010;	10	14	0	0						6200001	6220010	1	测试员	測試員	Tester		测试员	ผู้ทดสอบ	泳装超强化	泳裝超強化	待处理翻译泳装超强化		일상 유형의 마크를 가진 배틀카드는 전투 시작 시 네 변의 수치가 +1	เสริม​พลัง​พิเศษ​ชุดว่ายน้ำ​						
999915			5910003,5910005,5910006,5910009,5910010;	10	15	0	0						6200001	6220010	1	测试员	測試員	Tester		测试员	ผู้ทดสอบ	花嫁强化	花嫁強化	待处理翻译花嫁强化		待定翻译内容花嫁强化	เสริมพลังเจ้าสาว						
999916			5910003,5910005,5910006,5910009,5910010;	10	16	0	0						6200001	6220010	1	测试员	測試員	Tester		测试员	ผู้ทดสอบ	花嫁超强化	花嫁超強化	待处理翻译花嫁超强化		待定翻译内容花嫁超强化	เสริมพลังพิเศษเจ้าสาว						
999917			5910003,5910005,5910006,5910009,5910010;	10	17	0	0						6200001	6220010	1	测试员	測試員	Tester		测试员	ผู้ทดสอบ	日常强化	日常強化	待处理翻译日常强化		待定翻译内容日常强化	เสริมพลังทั่วไป						
999918			5910003,5910005,5910006,5910009,5910010;	10	18	0	0						6200001	6220010	1	测试员	測試員	Tester		测试员	ผู้ทดสอบ	日常超强化	日常超強化	待处理翻译日常超强化		待定翻译内容日常超强化	เสริมพลังพิเศษทั่วไป						
999919			5910003,5910005,5910006,5910009,5910010;	10	19	0	0						6200001	6220010	1	测试员	測試員	Tester		测试员	ผู้ทดสอบ	同数	同數	Matching	セイム	동수	เลขเหมือน						
999920			5910003,5910005,5910006,5910009,5910010;	10	20	0	0						6200001	6220010	1	测试员	測試員	Tester		测试员	ผู้ทดสอบ	同数连锁	同數連鎖	Matching Synergy	セイムコンボ	동수 연결	คอมโบเลขเหมือน						
999921			5910003,5910005,5910006,5910009,5910010;	10	21	0	0						6200001	6220010	1	测试员	測試員	Tester		测试员	ผู้ทดสอบ	加算	加算	Addition	プラス	가산	บวกเพิ่ม						
999922			5910003,5910005,5910006,5910009,5910010;	10	22	0	0						6200001	6220010	1	测试员	測試員	Tester		测试员	ผู้ทดสอบ	加算连锁	加算連鎖	Addition Synergy	プラスコンボ	가산 연결	คอมโบบวกเพิ่ม						
