id	group	upType	upParam	upStar	upBuff	status
42	2020	1	156008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
43	2020	1	157008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
44	2021	1	158008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
45	2021	1	102005	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
46	2022	1	149008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
47	2022	1	143008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
48	2022	1	122008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
49	2023	1	162008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
50	2023	1	163008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
51	2024	1	132008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
52	2024	1	101002	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
53	2025	1	802008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
54	2025	1	803001	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
55	2026	1	144001	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
56	2026	1	127001	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
57	2027	1	164008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
58	2027	1	155008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
59	2028	1	123008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
60	2028	1	133008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
61	2029	1	119008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
62	2029	1	104007	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
63	2030	1	145008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
64	2030	1	103005	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
65	2031	1	165008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
66	2031	1	135002	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
67	2032	1	144002	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
68	2032	1	103017	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
69	2032	1	123008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
70	2033	1	151008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
71	2033	1	150008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
72	2033	1	109002	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
73	2034	1	170008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
74	2034	1	102013	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
75	2035	1	169008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
76	2035	1	104002	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
77	2036	1	103011	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
78	2036	1	171008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
79	2037	1	172008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
80	2037	1	106005	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
81	2038	1	172008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
82	2038	1	102010	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
