id	animeId	inTime	outTime	fadeIn	fadeOut	status	subtitle	subtitle_zh_TW	subtitle_en_UK	subtitle_ja_JP	subtitle_ko_KR	subtitle_th_TH
10	CS_plot_1002051	22420	25370	0	0	1	你才讨厌吧，倒是和我们正面对话啊！	你才討厭吧，倒是和我們正面對話啊！	You're the annoying one! Why don't you have a proper conversation with us?	やだってなによ、隠れてないで姿を見せなさい！	너야 말로 짜증나, 아무튼 우리랑 제대로 얘기해!	แก​ต่างหาก​ที่​น่า​โมโห​ มา​คุย​ต่อหน้า​พวกเรา​สิ​!​
11	CS_plot_1002051	25540	29450	0	0	1	瞧不起人嘛？快说，之前的傀是不是你搞的鬼？	瞧不起人嗎？快說，之前的傀是不是你搞的鬼？	Looking down on us, huh? Tell us, did you have anything to do with the last Anomaly incident?	バカにしないでよね？さあ吐きなさい。この前の傀もあなたの仕業なんでしょ？！	누굴 바보로 알아? 빨리 말해, 예전 그 퍼펫은 너가 만든 거 아니야?	ดู​ถูกกัน​เหรอ​?​ หุ่นเชิด​ก่อนหน้านี้​เป็น​ฝีมือ​ของ​แก​ใช่​มั้ย​?​
12	CS_plot_1002051	29560	32430	0	0	1	现在……可不能说……	現在……可不能說……	I... I can't say anything... not now.	今は……言えない……	지금은... 말할 수 없다...	ตอนนี้​...​ยัง​บอก​ไม่​ได้​หรอก​นะ​...​
13	CS_plot_1002051	32510	37520	0	0	1	没礼貌的小鬼，我还想和大家来场感人的初遇呢，都被你破坏了！	沒禮貌的小鬼，我還想和大家來場感人的初遇呢，都被你破壞了！	You're a rude little one. I was trying to have a memorable first encounter with you, but you ruined it!	お行儀の悪いガキね。みんなとの感激の初対面が、おかげで台無しよ。	예의 없는 꼬맹아, 모두와의 감동적인 첫만남을 기대했는데, 너 때문에 다 망쳤잖아!	ไอ้​เจ้า​เด็ก​ไร้​มารยาท​!​ ฉัน​อยาก​เปิดตัว​ครั้งแรก​กับ​ทุกคน​แบบ​น่าประทับใจ​ซะ​หน่อย​ โดน​แก​ทำลาย​ซะ​ย่อยยับ​เลย​!​
14	CS_plot_1002051	38020	42580	0	0	1	无论你是什么，速战速决吧！不要耽误彼此的时间。	無論你是什麼，速戰速決吧！不要耽誤彼此的時間。	Whatever you are, let's make it quick! Don't waste each other's time.	誰であろうと、かかってきなさい。お互いの時間を無駄にしないで。	뭐가 어떻게 됐든, 속전속결이야! 서로 시간낭비 하지 말자.	ไม่​ว่า​แก​จะ​เป็น​อะไร​ รีบ​มา​สู้​กัน​ดีกว่า​!​ อย่า​มัว​พล่าม​ให้​เสียเวลา​
15	CS_plot_1002051	44030	45560	0	0	1	虽然并不想这样	雖然並不想這樣	Though I don't want it to be this way,	不本意だけど……	이렇게 될 줄은 몰랐지만	ถึง​จะ​ไม่​ได้​อยาก​ให้​เป็น​แบบนี้​
16	CS_plot_1002051	46430	48360	0	300	1	但我可不能让他们就这么过去……	但我可不能讓他們就這麼過去……	I can't just let them go like that...	そう安々と通らせるわけにはいけないんだ。	그들을 이렇게 보낼 수는 없어...	แต่​ฉัน​คง​ให้​พวกเขา​ผ่าน​ไป​แบบนี้​ไม่​ได้​...​
17	CS_plot_1002070	10160	15250	500	500	1	当回忆重现，命运的那一个片段	當回憶重現，命運的那一個片段	lt's the subtlety in life that passes by again	It's the subtley in life that passes by again	추억이 운명의 한 조각을 다시 써내려 갈 때	เมื่อ​ภาพ​ความทรงจำ​ปรากฏ​ขึ้น​อีกครั้ง​ ฉาก​ส่วน​นั้น​ของ​โชคชะตา​
18	CS_plot_1002070	16170	21110	500	500	1	幸福的心愿，如烟花绽放于夜空消散	幸福的心願，如煙花綻放於夜空消散	Where the happiness we longed to hold is slipping right away	where the happiness we longed to hold is slipping right away	행복한 소망은 밤하늘 불꽃처럼 흩어져 버리네	ความปรารถนา​แห่ง​ความสุข​ สลาย​หาย​ไป​เหมือน​ดั่ง​ดอกไม้ไฟ​ที่​ปล่อย​ขึ้นไป​บน​ท้องฟ้า​
19	CS_plot_1002070	22150	27240	500	500	1	当掌心轻触指尖，寻找属于你的温暖	當掌心輕觸指尖，尋找屬於你的溫暖	l'm holding on to you and l don't want to let you go	I'm holding on to you and I don't want to let you go	너만의 온기를 찾아 손끝이 손바닥을 스칠 때	เมื่อ​ฝ่ามือ​สัมผัส​ปลายนิ้ว​ ค้นหา​ความอบอุ่น​ที่​เป็น​ของ​เธอ​
20	CS_plot_1002070	28240	32230	500	300	1	请握紧我，直到永远	請握緊我，直到永遠	l need you here forever	I need you here forever	나를 꼭 잡아줘, 이 세상이 끝날 때까지	จับมือ​ฉัน​ไว้​ให้​แน่น​ ไป​จน​ชั่วนิรันดร์​
21	CS_plot_1002070	34250	39230	500	500	1	当无人听见，在拥挤人潮的孤单	當無人聽見，在擁擠人潮的孤單	There are times you feel alone when no one's listening	There are times you feel alone When no one's listening	붐비는 인파 속 외로움을 아무도 듣지 못할 때	ไม่​มี​ใคร​ได้ยิน​ ความโดดเดี่ยว​ท่ามกลาง​ผู้คน​แออัด​
22	CS_plot_1002070	40190	45260	500	500	1	我大声呼喊，祈祷你心有所感	我大聲呼喊，祈禱你心有所感	Just remember l am here for you to take your pain away	Just remember I am here for you to take your pain away	내가 소리쳐 부를게, 네가 들을 수 있도록	ฉัน​ตะโกน​เสียงดัง​ อธิษฐาน​ตาม​ความปรารถนา​ของ​เธอ​
23	CS_plot_1002070	46190	52020	500	500	1	一路上荆棘蔓延，请让我的歌声相伴	一路上荊棘蔓延，請讓我的歌聲相伴	My voice will guide your way and heal the wounds that you have made	My voice will guide your way and heal the wounds that you have made	네가 가는 길이 가시밭길이라면, 내 노래가 함께하게 해줘	หนทาง​ที่​เต็มไปด้วย​ขวากหนาม​ ได้​โปรด​ให้​เสียงเพลง​ของ​ฉัน​อยู่​เคียงข้าง​คุณ​
24	CS_plot_1002070	52100	57040	500	500	1	拥抱最真实的你，每个瞬间	擁抱最真實的你，每個瞬間	Wrap you in my arms so you can stay the same	Wrap you in my arms so you can stay the same	모든 순간 가장 진실한 너를 안을 수 있게	โอบกอด​ตัวตน​ที่​แท้จริง​ที่สุด​ของ​เธอ​ ใน​ทุกๆ​ ช่วงเวลา​
25	CS_plot_1004113_03	4110	7200	500	500	1	对不起 我还没勇气	對不起 我還沒勇氣	Sometimes we only want to see	Sometimes we only want to see	미안해, 난 아직 용기가 없어	ขอโทษ​นะ​ ฉัน​ยัง​ไม่​มี​ความกล้า​
26	CS_plot_1004113_03	8150	11160	500	500	1	相信这就是结局	相信這就是結局	what we all want to believe	What we all want to believe 	이것이 마지막이라 믿어	เชื่อว่านี่ก็คือจุดจบ
27	CS_plot_1004113_03	12080	17160	200	500	1	痛苦地 剥离 灵魂深处的你	痛苦地 剝離 靈魂深處的你	to neglect the pain that lives inside our soul	To neglect the pain that lives inside our soul	영혼 깊은 곳에 있는 너와 고통스럽게 이별하겠지	ฉีก​ออกจาก​ส่วนลึก​ของ​จิตวิญญาณ​อย่าง​คุณ​ อย่าง​เจ็บปวด​
28	CS_plot_1004113_03	19010	22100	500	500	1	我将远走奔赴天际	我將遠走奔赴天際	Beneath the sky where I will be	Beneath the sky where I will be 	나는 머나먼 길을 떠나 하늘로 갈 거야	ฉัน​จะ​วิ่ง​ไป​ให้​ไกล​สุดขอบฟ้า​
29	CS_plot_1004113_03	23170	26150	500	500	1	追随你 目之所及	追隨你 目之所及	hoping you are watching me	Hoping you are watching me	네 시선이 머무는 곳을 따라	จะ​ติดตาม​เธอ​ ไป​ทุกหน​แห่ง​
30	CS_plot_1004113_03	27100	31130	500	200	1	拥抱那永不消逝的月光	擁抱那永不消逝的月光	cause you're the reason I still watch the moon	Cause you're the reason I still watch the moon	영원히 사라지지 않는 달빛을 끌어안고	โอบกอด​แสงจันทร์​ที่​ไม่​มี​วัน​จางหาย​
31	CS_plot_1004113_03	31230	32200	200	500	1	将我照亮	將我照亮	shine the night	Shine the night	나를 비춰줘	ส่องแสงให้ฉัน
32	CS_plot_1004113_03	33240	37130	500	500	1	若梦里有你的踪迹	若夢裡有你的蹤跡	If I could find you in my dreams	If I could find you in my dreams	꿈속에 너의 흔적이 있다면	หาก​ใน​ฝัน​มี​ร่องรอย​ของ​เธอ​
33	CS_plot_1004113_03	38100	40260	500	300	1	我甘愿为你沉溺	我甘願為你沉溺	I'd be quick to fall asleep	I'd be quick to fall asleep	기꺼이 꿈속에 빠져들 거야	ฉัน​ยินดี​ที่จะ​จมดิ่ง​เพื่อ​เธอ​
34	CS_plot_1004113_03	41200	46290	300	500	1	最怕醒来 只有我 还留在原地	最怕醒來 只有我 還留在原地	but I wake up to find myself right here alone	But I wake up to find myself right here alone	깨어났을 때, 그곳에 나만 있는 게 가장 두려워	กลัว​ที่สุด​คือ​ตื่นขึ้น​มา​ มี​เพียง​ฉัน​ ที่​ยัง​คงอยู่​ที่​เดิม​
35	CS_plot_1004113_03	48030	50110	500	300	1	时光永不停息	時光永不停息	I can't turn back the time	I can’t turn back the time	세월은 절대로 멈추지 않아	กาลเวลาไม่เคยหยุดพัก
36	CS_plot_1004113_03	51070	55040	300	200	1	记忆中的你却一如往昔	記憶中的你卻一如往昔	so I cherish you as memories	So I cherish you as memories	기억 속의 그대는 여전하네	เธอ​ที่อยู่​ใน​ความทรงจำ​กลับ​เหมือนเดิม​ไม่​เปลี่ยนแปลง​
37	CS_plot_1004113_03	55260	58140	200	300	1	铭刻在我心底	銘刻在我心底	and keep you in my heart	And keep you in my heart	내 마음속 깊이 새겨줘	สลักอยู่ในใจของฉัน
38	CS_plot_1004113_03	59100	65030	300	300	1	爱的印记 天空的轮廓	愛的印記 天空的輪廓	A shade of love that paints the sky	A shade of love that paints the sky	사랑의 기억, 하늘의 윤곽	ร่องรอย​แห่ง​รัก​ เค้าโครง​ของ​ท้องฟ้า​
39	CS_plot_1004113_03	66500	69220	300	500	1	将我们拥有的过往染色	將我們擁有的過往染色	colors a life we had, a life we shared	Colors a life we had a life we've shared	우리의 지난날에 색을 칠해	ทำให้​อดีต​ของ​พวกเรา​ย้อม​ไป​ด้วย​สีสัน​
40	CS_plot_1004113_03	70240	74110	300	300	1	爱与希望开出花朵	愛與希望開出花朵	with hopeful dreams and memories	With hopeful dreams and memories	사랑과 희망이 꽃피우네	ความรัก​และ​ความหวัง​บานสะพรั่ง​
41	CS_plot_1004113_03	74120	80270	500	500	1	爱的印记 我无处可躲	愛的印記 我無處可躲	A shade of love of you leave behind	A shade of love of you leave behind	사랑의 기억속에, 나는 숨을 곳이 없어	ร่องรอย​แห่ง​รัก​ ฉัน​ไม่​ที่​ให้​หนี​อีกต่อไป​
42	CS_plot_1004113_03	80280	84200	300	500	1	你留在我心中的枷锁	你留在我心中的枷鎖	is a piece of you that's left in me	Is a piece of you that‘s left in me	그대가 내 마음속에 남긴 족쇄	ห่วง​โซ​ที่​เธอ​ทิ้ง​ไว้​ใน​ใจ​ฉัน​
43	CS_plot_1004113_03	84210	94130	300	1200	1	沉默地执着 我永远不会挣脱	沉默地執著 我永遠不會掙脫	a piece of you that I cherish in my heart	A piece of you that I cherish in my heart	조용한 집착을, 나는 영원히 벗어날 수 없어	ความมุ่งมั่น​อัน​เงียบงัน​ ฉัน​ไม่​มี​วัน​หลุดพ้น​
44	CS_plot_1004113_01	7070	8130	0	0	1	要爆炸了！	要爆炸了！	It's going to explode!	爆発するわよ！	폭발한다!	จะระเบิดแล้ว!
45	CS_plot_1004113_02	1	5100	500	300	1	抱歉，非天，爸爸妈妈要去做一件很重要的事情。	抱歉，非天，爸爸媽媽要去做一件很重要的事情。	Sorry, Asura. We are going to do something very important.	ごめんね、アスラ、父さんと母さんは大事なことをしに行くんだ。	미안해, 아수라. 아빠 엄마는 중요한 일을 처리하러 가야해.	ขอโทษ​ด้วย​นะ​ อา​สึ​ระ​ พ่อ​กับ​แม่​ต้อง​ไป​ทำ​ธุระ​สำคัญ​
53	CS_plot_1004113_02	7000	9130	300	500	1	你一定要好好活下去！	你一定要好好活下去！	You must live a good life!	ちゃんと生きてて！	넌 반드시 잘 살아가야 한다!	หนู​จะ​ต้อง​มีชีวิต​ที่​ดี​ต่อไป​นะ​!​
54	CS_plot_1004113_02	10200	14000	300	500	1	父亲，母亲，你们到底去了哪里。	父親，母親，你們到底去了哪裡。	Father, Mother, where are you?	お父さん、お母さん、一体どこにいってしまったんだろう。	아빠, 엄마, 도대체 어디 가시는 거예요.	คุณพ่อ​ คุณแม่​ จะ​ไป​ไหน​กัน​เหรอ​
59	CS_plot_1007070	2000	2290	0	0	1	赫墨斯	赫墨斯	Hermes	ヘルメス	헤르메스	เฮอร์เมส
60	CS_plot_1007070	2600	3200	0	0	1	停车！	停車！	Stop the car!	止まれ！	멈춰라!	หยุดรถ!
61	CS_plot_1007070	4120	5600	300	0	1	嘿！需要帮忙吗？	嘿！需要幫忙嗎？	Hey! Need any help?	ヘィ！困ってるのか？	헤이! 도와줄까?	เฮ้​!​ ต้องการ​ความช่วยเหลือ​มั้ย​?​
62	CS_plot_1007070	6150	7490	0	0	1	需要……爆米花吗？	需要……爆米花嗎？	How about... some popcorn?	ポップコーン……食べる？	팝콘... 필요해?	ต้อง​กา​ร.​..​ป๊อบ​คอร์น​มั้ย​?​
64	CS_plot_1007070	8110	11040	0	0	1	吃点爆米花就会好哦！	吃點爆米花就會好哦！	Having some popcorn might lift your spirits!	ポップコーンを食べたら元気になれるよ！	팝콘 좀 먹으면 괜찮아질 거야!	กิน​ป๊อบ​คอร์น​สักหน่อย​ก็​ดีขึ้น​แล้ว​ล่ะ​!​
65	CS_plot_1007070	13000	15220	0	0	1	下去看看吧	下去看看吧	Go take a look.	様子を見に行こう	가서 한번 보자.	ลงไปดูหน่อยเถอะ
66	CS_plot_1007070	20150	22280	0	300	1	你们……怎么会在这里	你們……怎麼會在這裡	You... what are you doing here?	どうして……君たちもいるんだ？	너희들... 어떻게 여기에	พวก​เธอ​...​ทำไม​ถึง​อยู่​ที่นี่​ได้​
67	CS_plot_1006010	0	5000	200	300	1	数年后，在这片废墟之上，一座新的希望之城诞生了。	數年後，在這片廢墟之上，一座新的希望之城誕生了。	Years later, on these ruins, a new city of hope was born.	数年後、この廃墟の上に、新たな希望の都市が誕生しました。	몇 년 뒤, 이 폐허는 새로운 희망의 도시로 탈바꿈했다.	หลาย​ปี​ต่อมา​ บน​ซากปรักหักพัง​แห่ง​นี้​ ได้​ถือกำเนิด​เมือง​แห่ง​ความหวัง​ใหม่​ขึ้น​มา​
68	CS_plot_1006010	5800	9290	200	200	1	人类科学家卡尔森与猫族先知家族后裔娜卡达成共识。	人類科學家卡爾森與貓族先知家族後裔娜卡達成共識。	Human scientist Carlson reached an agreement with Naka, the descendant of the Feline Prophet Clan.	人間の科学者であるカルソンは、フェリニアンスの預言者一族の末裔であるナカと合意に達し、	인류인 과학자 칼슨과 캣족 선지자 가문의 후예인 나카는 뜻을 합쳤다.	คาร์​ล​สัน​ นักวิทยาศาสตร์​ชาว​มนุษย์​ ได้​บรรลุ​ข้อตกลง​ร่วมกับ​นา​กะ​ ผู้​สืบเชื้อสาย​จาก​ตระกูล​ผู้​พยากรณ์​แห่ง​เผ่า​แมว​
69	CS_plot_1006010	10050	13250	200	200	1	明白只有两族联合才能对抗傀化	明白只有兩族聯合才能對抗傀化	They realized that only by uniting the two races could they combat the Affliction.	傀化に対抗するには、2つの氏族の協力しかないと確信しました。	두 종족이 연합을 이루어야만 퍼펫화에 대항할 수 있다는 것을 두 사람은 깨달았다.	มี​เพียง​การ​ร่วมมือ​กัน​ของ​ทั้งสอง​เผ่า​เท่านั้น​ที่จะ​สามารถ​ต่อกร​กับ​หุ่นเชิด​ได้​
70	CS_plot_1006010	14000	17220	200	200	1	他们决定携手共创一座无与伦比的新城市。	他們決定攜手共創一座無與倫比的新城市。	They decided to join forces and create an unparalleled new city.	やがて人間とフェリニアンスは、空前の新都市を作るために力を合わせることにしました。	그들은 손을 잡고 전에 없던 새로운 도시를 만들기로 다짐했다.	พวกเขา​ตัดสินใจ​จับมือ​ร่วมกัน​สร้าง​เมือง​แห่ง​ใหม่​ที่​ไม่​มี​ใคร​สามารถ​เปรียบเทียบ​ได้​
71	CS_plot_1006010	18000	20270	200	200	1	一座人类与猫族能够共存的理想城市。	一座人類與貓族能夠共存的理想城市。	An ideal city where humans and Felinians can coexist.	人間とフェリニアンスが共存できる、理想的な都市。	인류와 캣족이 공존할 수 있는 이상적인 도시를.	เมือง​ใน​ฝัน​ที่​มนุษย์​กับ​เผ่า​แมว​สามารถ​อยู่​ร่วมกัน​ได้​
72	CS_plot_1006010	21170	23050	0	400	1	——新海市	——新海市	Catto City	——それこそが、新海市です！	——뉴오션 시티	—แคทโตะ ซิตี้
73	CS_plot_1006130	1080	5100	200	200	1	凭什么……	憑什麼……	Why...?	どうして……	무슨 근거로...	ได้ยังไงกัน...
74	CS_plot_1006130	6000	12170	200	200	1	打死你这个杂种，野狗就该呆在野狗应该去的地方，滚出利兹丹姆！	打死你這個雜種，野狗就該呆在野狗應該去的地方，滾出利茲丹姆！	I'm going to beat the skin off your back! You should know your place. Get out of Leidsdam!	クソ野郎！野良犬は野良犬のいるべき場所にいろ、リーズダムから出てけ！	이 망할 잡종 녀석, 들개면 들개답게 네가 있을 곳으로 돌아가! 리즈덤에서 썩 꺼져라!	ฉัน​จะ​อัด​แก​ให้​เละ​เลย​ หมา​จรจัด​ก็​ต้อง​อยู่​ใน​ที่​ที่​มัน​ควรจะ​อยู่​ ออก​ไป​จาก​ลิ​ซแดนม์​ซะ​!​
75	CS_plot_1006130	14020	22200	200	200	1	给我起来！看你那窝囊样子，是不是跟你爸学的？哈哈哈哈！	給我起來！看你那窩囊樣子，是不是跟你爸學的？哈哈哈哈！	Get up! Look at you, such a pitiful sight, just like your father! Haha!	立ち上がれ！おい、この負け犬の顔を見ろ！その顔はてめぇのオヤジから教わったのか？ハハハハハ。	일어나! 네 그 형편없는 꼬락서니는 네 부모한테 배웠냐? 하하하하!	ลุกขึ้น​มา​เดี๋ยวนี้​!​ ดูท่าทาง​ที่​ขี้ขลาด​ของ​แก​สิ​ เรียน​มาจาก​พ่อ​แก​มา​ใช่ไหม​?​ ฮ่า​ฮ่า​ฮ่า​ฮ่า​!​
76	CS_plot_1006130	23020	31000	200	200	1	知道你妈怎么死的吗？就是被你拖累的！活该，谁让她嫁给你爸，嫁给外人，丢死人了！	知道你媽怎麼死的嗎？就是被你拖累的！活該，誰讓她嫁給你爸，嫁給外人，丟死人了！	Do you know how your mother died? It's because of you! That good-for-nothing ended up marrying your father. Anyone who marries an outsider is dead to us.	てめぇのおふくろが死んだのはてめぇのせいだ。ざまあみろ！てめぇのオヤジ、あの部外者と結婚しやがって、自業自得だ！	네 엄마가 어떻게 죽었는지 아냐? 너 때문이다! 꼴 좋군, 누가 그 여자를 시집 보냈는지, 창피한 줄 알아라!	รู้​รึเปล่า​ว่า​แม่​ของ​แก​ตาย​ได้​ยังไง​?​ เพราะ​แก​เป็น​ภาระ​ยังไง​ล่ะ​!​ สมน้ำหน้า​ ใคร​ใช้​ให้​นัง​นั่น​ไป​แต่งงาน​กับ​คนนอก​ล่ะ​ น่าขายหน้า​ชะมัด​!​
77	CS_plot_1006130	32050	39070	200	200	1	他怎么不动了，不会被打死了吧？这臭小子好像是维托老大罩的人，怎么办？	他怎麼不動了，不會被打死了吧？這臭小子好像是維托老大罩的人，怎麼辦？	Why isn't he moving? Could he be dead from the beating? It looks like Boss Vito took care of him. What should we do?	おい、こいつ動かねぇぞ。死んだのか？こいつはヴィト様んとこのだって聞いたが、どうする？	저 녀석 왜 안움직이냐, 죽은 건 아니겠지? 이 자식 비토 어르신네 사람인 거 같은데, 어떡하지?	ทำไม​เขา​ไม่​ขยับ​เลย​ล่ะ​ หรือว่า​จะ​ตาย​แล้ว​?​ เจ้า​นี่​ดูเหมือน​จะ​เป็น​เด็ก​ของ​หัวหน้า​วิ​โต้​นะ​ ทำ​ยังไง​ดี​ล่ะ​?​
78	CS_plot_1006130	39900	48130	200	200	1	呸！维托组长根本瞧不上这种渣滓。告诉你们吧，就是他老人家让我试试这小子成色的。	呸！維托組長根本瞧不上這種渣滓。告訴你們吧，就是他老人家讓我試試這小子成色的。	Bah! Chieftain Vito doesn't even bother with trash like him. Let me tell you, it was Chief Vito himself who asked me to test this kid's worth.	チッ、ヴィト様がこんなクズに目をくれるもんか！実は、こいつを試せと言ったのはヴィト様だ。	퉷! 비토 팀장은 이런 놈 신경도 안 써. 알려주자면, 그 어르신이 나더러 이놈 싹수 좀 시험해 보라고 한 거야.	ถุย​!​ หัวหน้า​วิ​โต้​ไม่​สน​ขยะ​แบบนี้​หรอก​ จะ​บอก​ให้​นะ​ หัวหน้า​นั่นแหละ​ที่​สั่ง​ให้​ฉัน​ทดสอบ​ไอ้​หนู​นี่​ดู​ว่า​จะ​เก่ง​สัก​แค่​ไหน​
79	CS_plot_1006130	49000	55000	200	100	1	本来还以为是什么硬茬，结果连还手都不敢，没意思，我们走吧！	本來還以為是什麼硬茬，結果連還手都不敢，沒意思，我們走吧！	I thought there might be something, but he couldn't even put up a fight. This is no fun. Let's move on.	少しは根性があると思ったけど、手を出す勇気すらなかったな。つまんねー、もう帰ろう！	뭐라도 되는 놈인 줄 알았더니, 재미없게 반격도 못하는 놈일 줄이야. 가자!	ตอนแรก​ก็​คิด​ว่า​จะ​เก่ง​สัก​แค่​ไหน​ ปรากฏ​ว่า​ไม่​กล้า​แม้แต่​จะ​สู้​กลับ​ น่าเบื่อ​ พวกเรา​ไป​กัน​เถอะ​!​
80	CS_plot_1006130	55170	60000	200	200	1	不用管他吗？不会真的出人命吧？	不用管他嗎？不會真的出人命吧？	Just leave him alone? What if something serious happens?	ほっといて大丈夫？マジ死んだらどうすんだよ？	신경 안 써도 돼? 저러다 진짜 죽는 거 아냐?	ไม่ต้อง​สน​งั้น​เหรอ​?​ คง​ไม่​ได้​ตาย​จริง​หรอก​ใช่ไหม​?​
81	CS_plot_1006130	61000	68000	200	200	1	那又怎样，死人而已，就算他不死也会被维托族长赶出利兹丹姆的…我们快走吧！	那又怎樣，死人而已，就算他不死也會被維托族長趕出利茲丹姆的…我們快走吧！	I don't care. Just another dead person. Even if he survives, Chieftain Vito will kick him out of Leidsdam... Let's go!	なんだ、こんなクズ、たとえ死ななかったとしても、こいつはヴェト様にリーズダムから追い出されるだろ、さっさと行こう！	그러면 어때, 사람 하나 죽었을 뿐인데, 안 죽었어도 비토 어르신이 리즈덤에서 쫒아낼 텐데... 빨리 가자!	ถ้า​ตาย​แล้ว​มัน​จะ​ทำไม​ ก็​แค่​คนตาย​ ถึง​มัน​ไม่​ตาย​มัน​ก็​โดน​หัวหน้า​วิ​โต้​ไล่​ออกจาก​ลิ​ซแดนม์​อยู่ดี​...​รีบ​ไป​กัน​เถอะ​
83	CS_plot_1006130	70140	76120	200	200	1	为什么……我不是杂种……我不是…野狗…	為什麼……我不是雜種……我不是…野狗…	Why... I'm not a bastard... I'm not... a stray dog...	どうして……俺は……野良犬なんか…じゃねぇ…	어째서... 난 잡종이 아니야... 난... 들개가... 아니라고...	ทำไม​กัน​...​ฉัน​ไม่​ใช่​...​ฉัน​ไม่​ใช่​...​หมา​จรจัด​ซะ​หน่อย​...​
84	CS_plot_1006130	78000	86000	200	100	1	我会变强的，等着吧，我一定会变得很厉害，我要让你们所有人都羡慕！	我會變強的，等著吧，我一定會變得很厲害，我要讓你們所有人都羡慕！	I will become stronger, just you wait. I will become amazing and make everyone envy me!	俺はもっと強くなる。待ってろ。 強くなって、お前らの手の届かない存在になるんだ！	기다려라, 난 반드시 성공해서, 엄청나게 성공해서서, 너희들 모두 부러워하게 할 거야!	ฉัน​จะ​ต้อง​แข็งแกร่ง​ขึ้น​ รอ​ก่อน​เถอะ​ ฉัน​จะ​เก่ง​ขึ้น​อย่าง​แน่นอน​ แล้ว​พวก​แก​จะ​ต้อง​อิจฉา​ฉัน​
