id	resourcePath	describe	status
73	Arts/Diaryicon/Caticon	手账猫咪头像	1
74	Arts/Diaryicon/Postcard	手账明信片	1
75	Arts/Prefab	世界boss主界面入口模型	1
76	Arts/ChapterRes/Favor	好感度的表情	1
77	Arts/Emoji	PVP的表情	1
78	Arts/Icons/CardHead	定时副本入口头像	1
79	Prefabs/Directional	定时副本入口模型	1
80	Arts/ChapterRes/DisplayItem	剧情物品贴图	1
81	Arts/Prefab_home	home模型	1
82	bs_export	bs数据	1
83	Arts/Prefab_home	通用模型	1
84	Arts/Textures/Invest	首充奖励资源	1
85	UIAtlas/Common	卡牌稀有度图片资源	1
86	Arts/Icons/Challenge	风暴挑战资源	1
87	UIAtlas/Main	主界面按钮图标	1
88	Arts/Role/Resonance	角色共鸣图标	1
89	Timeline/Home	主界面场景timeline	1
90	Arts/Role/Biglihui	新的2048立绘上传	1
91	Arts/Textures/TeamBg	编队界面	1
92	Arts/Instance/PassCard	pass卡界面	1
93	Arts/Prefab_home	喝咖啡料理	1
94	Arts/IllustratedHandbookProfile/teamrole	图鉴角色图	1
95	Arts/Instance/Fishing	钓鱼背景图	1
96	Scenes/Directional/Matertial	定时副本入口材质	1
97	Arts/Model_change	猫咪贴图路径	1
98	Arts/Prefab_cat/Prefab_catparts	猫咪部件路径	1
99	Arts/Icons/CatHome	猫咪道具路径	1
100	Arts/Prefab_cat	猫咪盲盒路径	1
101	Arts/Prefab_cat/Prefab_cat_timeline	猫咪TL动作路径	1
102	Arts/Textures/Activity	运营活动图标	1
103	Arts/Icons/Train	训练关卡图标	1
104	Arts/Icons/Task	主线任务的图标	1
105	Arts/Icons/HomeLabel	通用的侧页标签	1
106	Spine/Prefab/MainQuestHead	剧情头像图标	1
107	Arts/Icons/Cultivate	养成背景	1
108	Arts/Prefab/FishRod	鱼竿资源	1
109	Arts/Textures/UIBg	探险背景	1
110	Arts/Role/equip/Copy	装备副本入口	1
111	Arts/Icons/Guide	猫屋的图集入口	1
112	UIAtlas/PreDownload	预下载	1
113	UIAtlas/MediumPt	PT本小头像	1
114	Arts/Textures/MediumPt	PT本立绘	1
115	Arts/Icons/Bamboo	竹林本资源	1
116	Arts/IllustratedHandbookProfile/teamrolebg	猫头与小人头资源	1
117	Arts/Icons/PreDownloadRole	预下载人物	1
118	AnimationController/Animator_home_idle	喝咖啡状态机	1
119	UIAtlas/Common2	探险宝箱图标	1
120	Arts/Icons/musicCover	音乐封面资源上传	1
121	Arts/Icons/Directional	定向作战新资源	1
122	Arts/Icons/LadderCompetion	天梯竞技场配图	1
123	Arts/Icons/NightCatInstanceBuff	暗夜活动的图吧增加	1
124	Arts/Textures/FightMapAction	活动图片	1
125	Spine/Prefab/SpineEmoji	PVP的表情预制体	1
126	Arts/Textures/AdvancedTraining	高端副本	1
127	Prefabs/PlayerDynamic/PlayerHead	动态头像	1
128	Prefabs/PlayerDynamic/PlayerHeadFrame	动态头像框	1
129	UIAtlas/FastRelief	装备本入口品质颜色资源	1
130	UIAtlas/CultivateOversea/Main	被动技能生效场合表	1
131	Arts/Icons/HomeLabel	背包页签图标（背包表）	1
132	UIAtlas/Action	行动界面UI资源	1
133	Arts/Prefab/MainQuestMap/Prefab	行动界面区域地图资源	1
134	Arts/Icons/Action	行动界面图标资源	1
135	UIAtlas/Common2	装备套装图标	1
136	Arts/Prefab_human	调查官模型1	1
137	Arts/Prefab_lobby	调查官模型2	1
138	Arts/Icons/CatArts	原图鉴-猫咪立绘--血统猫种表--亲缘页签用到	1
139	UIAtlas/ActionAreaMap1	一级地图icon	1
140	Spine/Prefab/ActionMap_Role	商人spine动画路劲	1
141	UIAtlas/Common2	海外新职业图标	1
142	UIAtlas/OverseaManage/Takeout	外卖列表icon	1
143	Arts/Scene_coffee	家具prefab资源	1
144	Arts/Icons/Goods	家具icon资源	1
145	Arts/Textures/Illustbook	图鉴-专有名词资源、区域背景图资源	1
146	UIAtlas/OverseaManage/Renova	家具UI资源	1
147	UIAtlas/CultivateOversea/AttributeIcon	经营技能图标	1
148	Arts/Icons/MainQuestHead	新版剧情头像图标	1
149	Arts/Prefab_home/Prefab_runtime_item	客人模型资源	1
150	Arts/Textures/Activity/MidFestival12000201	双旦活动资源	1
151	UIAtlas/ActivityVersion11000301	版本热点集合页资源	1
152	UIAtlas/SnowFestival/121501/Task	冰雪节资源	1
153	UIAtlas/ActionDarkDream	噩梦回响资源	1
154	UIAtlas/HomeScreen	海外春节资源1	1
155	Arts/Textures/SpringFestival	海外春节资源2	1
156	Arts/Textures/HomeView	合约入口图资源	1
157	Arts/Textures/OpenLattice	喵屋纸箱小白头	1
158	Arts/Textures/Hotpoint	版本热点角色合集页1图标	1
159	Timeline/Prefab/gacha_clothing	时装抽奖tl路径	1
160	RuntimeController/Animator_home_idle	春节状态机路径	1
161	Arts/Icons/GachaponSkin	时装卡池主界面入口	1
162	Arts/Icons/Gachapon	福袋卡池用资源	1
163	Arts/Textures/Activity/Luckybag/12001201	福袋卡池用资源2	1
164	Arts/Textures/Activity/DreamAdventures12000801	食契活动资源	1
165	UIAtlas/ActivityCakeShop/Operate	猫娘乐园资源	1
166	UIAtlas/ResidentEvent/Privilege	特权用资源	1
167	Arts/Icons/Skin	时装限定标签	1
168	Arts/Textures/OverseaClubLeisure	社团猫车竞速资源	1
169	Arts/Textures/Homeland	战略强化资源	1
170	UIAtlas/Homeland/Talent	战略强化切页	1
171	UIAtlas/ActivityDreamAdventuresBlending	食契活动合唱功能用资源	1
172	Arts/Icons/ActivityCakeShop	烹饪用-1期	1
173	Arts/Textures/ActivityCakeShop	猫娘乐园UI资源	1
174	Arts/Textures/Resident	噩梦回响PASS卡	1
175	Arts/Textures/triggerGiftBag	触发礼包立绘	1
176	Arts/Icons/Main	猫娘乐园C标	1
177	UIAtlas/ActivityDreamAdventuresBlending	食契合唱团子用资源路径	1
178	Arts/Textures/OverseaClubLeisure/Gvg	GVG建筑头像资源	1
179	Arts/Model/Monster/20039/material	社团神兽一阶段资源	1
180	Arts/Textures/Player2D	个人信息模板	1
181	Arts/Textures/Activity/ActivityEntry	入职福利资源	1
182	Materials/ClubFeedCat	神兽洗练部位资源路径	1
183	Arts\Icons\ActivityCrisisContract	怪谈事件簿	1
184	UIAtlas/Player2d	变性道具	1
185	Arts/Textures/OverseaStore	时装限时商店活动	1
186	Arts/Textures/Activity/OverseaParkour12001801	微缩世界副本资源1	1
187	Arts/Icons/ActivityRunning	微缩世界副本资源2	1
188	Arts/Role/PokerCard	战牌玩法	1
189	UIAtlas/ActivityMonopoly	掷骰向前冲--进化之路大富翁玩法BUFF	1
190	Arts/Textures/BeginnerEvent	loading缩略图	1
191	Arts/Textures/ActivityJapaneseLevel	和风副本资源	1
192	Arts/Textures/ActivityJapaneseLevel/Entry	和风副本商店背景图	1
193	Arts/Textures/Activity/MidFestival12000202	佣兵副本资源	1
194	Arts/Textures/Activity/ActivityMourn12002501	爬塔换皮本资源	1
195	Arts/Icons/GachaponSkin/GachaponSkinBlend	时装秀场立绘	1
196	Arts/Textures/Activity/ActivityMoutain/11300302	远山来贺背景图	1
197	UIAtlas/ActivityMountain/11300302/Operate	远山来贺烹饪	1
198	Spine/ActivityPtSpine/PtRolePrefab	pt本spine	1
199	Arts/Icons/ActivityMountain/11300302	烹饪buff图标	1
200	Arts/Textures/ActivityMountain/11300302	远山来贺boss背景图	1
201	Arts/Textures/BeginnerAssemble	新手集合页跳转小图	1
202	Arts/Textures/Activity/MidFestival12000203	泼水节副本资源	1
203	Arts/Textures/Activity/MidFestival12000204	报社副本资源	1
204	Arts/Textures/Activity/MidFestival12000205	流浪猫之家副本资源	1
205	Arts/Textures/Activity/MidFestival12000206	心愿烟火之夏副本资源	1
206	Arts/Icons/ActivityMountain/11300303	周年庆烹饪图标	1
207	UIAtlas/ActivityMountain/11300303/Operate	周年庆烹饪图标	1
208	Arts/Textures/ActivityMountain/11300303		1
209	Arts/Textures/Activity/Monopoly	投掷向前冲-界面图资源	1
210	UIAtlas/ActivityMidFestival/12000207	一千朵彼岸花副本资源	1
211	Arts/Textures/Activity/MidFestival12000207	一千朵彼岸花副本资源2	1
212	Arts/Textures\Activity/MidFestival12000208	终电残响副本资源	1
213	UIAtlas/ActivityMidFestival/12000208	终电残响副本资源2	1
