id	grade	starPVP	headPortrait	headFrame	playerLevel	ranksId	fraction	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	playerName	playerName_zh_TW	playerName_en_UK	playerName_ja_JP	playerName_ko_KR	playerName_th_TH
35	4	1	6200001	6200002	48	20006	2500	1	B	B	B	B	B	B	栔栔栔	烏拉拉	Qiqiqi	松崎	벅벅	ฉีฉีฉี
36	4	1	6200001	6200002	52	20036	2500	1	B	B	B	B	B	B	养肾铨	小鳥胃	KidneyProtector	みやぎさわ	양신전	บำรุงไต
37	4	1	6200001	6200002	52	20006	2500	1	B	B	B	B	B	B	彩妹在哪呢	彩妹在哪呢	WheresCai	彩ちゃん	아야메는 어디에	น้องฉายอยู่ที่ไหน
38	4	1	6200001	6200002	52	20038	2500	1	B	B	B	B	B	B	老丈	老丈	YaPapa	ジジィ	노인	พ่อตา
39	4	1	6200001	6200002	52	20038	2500	1	B	B	B	B	B	B	屬蠱	頭蚊子DD	ZhuPot	花鳥風月	사카코	ต้องมนต์
40	4	1	6200001	6200002	52	20006	2500	1	B	B	B	B	B	B	雲鹤子	雲鶴子	CloudDuck	急火女	쿠모코	ลูกกระเรียนเมฆา
41	5	1	6200001	6200002	52	20041	3000	1	A	A	A	A	A	A	灵雅丽	靈雅麗	Elegentia	レディアン	미야비	หลิงยาลี่
42	5	1	6200001	6200002	52	20041	3000	1	A	A	A	A	A	A	龙黎夏	龍黎夏	DracoSum	伝説の神龍	레나츠	หลงลี่เซี่ย
43	5	1	6200001	6200002	52	20043	3000	1	A	A	A	A	A	A	橋本没有菜	橋本沒有菜	HashEadeNona	橋本	굶는 하시모토	ฮาชิโมโตะไม่มีอาหาร
44	5	1	6200001	6200002	52	20044	3000	1	A	A	A	A	A	A	逐晴	逐晴	SunChaser	宇宙海賊水晶	치쿠하	จู้ฉิง
45	5	1	6200001	6200002	52	20006	3000	1	A	A	A	A	A	A	阿九·	阿九	No.9	丸久氏	아구·	อาจิ๋ว·
46	5	1	6200001	6200002	52	20046	3000	1	A	A	A	A	A	A	徘徊留恋与挣扎	徘徊留戀與掙扎	ConfusionLove	jjhpwi	미련한 몸부림	ลังเล อาลัย และดิ้นรน
47	5	1	6200001	6200002	52	20006	3000	1	A	A	A	A	A	A	炒饭王！	炒飯王	FriedRice!	炒飯王	볶음밥킹!	ราชาข้าวผัด!
48	5	1	6200001	6200002	52	20048	3000	1	A	A	A	A	A	A	点地梅	開張六	Ume	ウメ	봄맞이 꽃	พลัมแต้มพื้น
49	5	1	6200001	6200002	52	20048	3000	1	A	A	A	A	A	A	英超特工000	英超特工000	EPLSuper000	スパイー000	비밀 요원 000	สายลับพรีเมียร์ลีก000
50	5	1	6200001	6200002	52	20006	3000	1	A	A	A	A	A	A	把我留在大雨天	把我留在大雨天	LeaveInRain	今日も雨か	나 홀로 소나기	ปล่อย​ข้า​ไว้​ใน​วันที่​ฝน​ตกหนัก​
51	6	1	6200001	6200002	65	20051	3500	1	S	S	S	S	S	S	小思宇	小思宇	Syuuuu	苗代	코모에	เสี่ยวซืออี้
52	6	1	6200001	6200002	65	20051	3500	1	S	S	S	S	S	S	清尘醉	清塵醉	DustyWater	犠牲インク	키요시	ดื่มด่ำในธุลีบริสุทธิ์
53	6	1	6200001	6200002	65	20053	3500	1	S	S	S	S	S	S	何以顾惜	何以顧惜	Whatyamean	ああああ	What a pity!	เหตุใดจึงต้องหวงแหน
54	6	1	6200001	6200002	65	20054	3500	1	S	S	S	S	S	S	神秘...	神西西	Mystery...	海中風景	신비...	ลึกลับ...
55	6	1	6200001	6200002	65	20006	3500	1	S	S	S	S	S	S	秀坊在逃富婆	秀坊在逃	RunawayPrincess	ごきげんよう	도망친 아가씨	คุณนายที่หนีจากโรงแสดง
56	6	1	6200001	6200002	65	20056	3500	1	S	S	S	S	S	S	阿陌。	阿陌	Abai	まさよし	아모	อาม่อ
57	6	1	6200001	6200002	65	20006	3500	1	S	S	S	S	S	S	Maaax	Maaax	Maaax	Maaax	Maaax	Maaax
58	6	1	6200001	6200002	65	20058	3500	1	S	S	S	S	S	S	滨茳	濱茳	Binjiang	ジェームズ	하마사키	ปินเจียง
59	6	1	6200001	6200002	65	20058	3500	1	S	S	S	S	S	S	鋱US	鋱US	TeaUS	梅幸茶二つ橋	테르븀US	เทอร์เบียม US
60	6	1	6200001	6200002	65	20006	3500	1	S	S	S	S	S	S	一个留不夏	一個留不夏	NotASingleOne	リンドー	여름나기	ไม่เหลือใครสักคน
