id	group	unlockId	taskContentType	taskContentId	taskContenNum	reward	rewardNum	openType	openParameter	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
12	2	0	7	3000003	100000	9000025	1			1	累计消耗100000新海币	累計消耗100000新海幣	Spend 100,000 Catto Coins in total.	累計で100000新海コインを消費する	뉴오션 코인 누적 100000 소모	ใช้​เหรียญ​แค​ทโตะ​สะสม​ 100,000​ เหรียญ​
13	2	0	1803		150	9000025	1	301		1	每日活跃度达到150点	每日活躍度達到150點	Reach 150 Daily Activeness.	活躍度が150に達する	일일 활약도 150 달성	ค่า​แอ็ก​ที​ฟ​รายวัน​ถึง​ 150​ แต้ม​
14	2	0	1101	6	3	9000025	1	224		1	通关任意难度经验副本3次	通關任意難度經驗副本3次	Complete any EXP Stage 3 times.	EXPステージを3回クリアする	랜덤 난이도 EXP 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​ EXP​ ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
15	2	0	1101	4	3	9000025	1	283		1	通关任意难度芯片副本3次	通關任意難度晶片副本3次	Complete any Chip Stage 3 times.	チップステージを3回クリアする	랜덤 난이도 칩 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​ชิป​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
16	2	0	1101	5	3	9000025	1	223		1	通关任意难度粒子副本3次	通關任意難度粒子副本3次	Complete any Particle Stage 3 times.	粒子ステージを3回クリアする	랜덤 난이도 파티클 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​อนุภาค​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
17	2	0	1101	1	3	9000025	1	288		1	通关任意难度装备副本3次	通關任意難度裝備副本3次	Complete any Equipment Stage 3 times.	装備ステージを3回クリアする	랜덤 난이도 장비 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​อุปกรณ์​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
18	2	0	601	1	5	9000025	1	601		1	进行5次召唤	進行5次召喚	Make 5 summons.	召喚を5回行う	소환 5회 진행	รับสมัคร 5 ครั้ง
19	2	0	1416		10	9000025	1	511		1	制作10个任意料理	製作10個任意料理	Create any food 10 times.	任意の料理を10個製作する	요리 10개 제작	ทำอาหาร​แบบ​ใด​ก็ได้​ 10​ รายการ​
20	2	0	1403		5	9000025	1	517		1	完成5个外卖订单	完成5個外賣訂單	Complete 5 delivery orders.	出前を5回完了する	배달 주문 5건 완료	ส่งสำเร็จ 5 ออเดอร์
21	3	0	7	3000004	200	9000025	1	0		1	消耗200点情绪	消耗200點情緒	Spend 200 Pathos.	エモーションを200消費する	이모션 200 소모	ใช้พาโธส 200 แต้ม
22	3	0	7	3000003	100000	9000025	1			1	累计消耗100000新海币	累計消耗100000新海幣	Spend 100,000 Catto Coins in total.	累計で100000新海コインを消費する	뉴오션 코인 누적 100000 소모	ใช้​เหรียญ​แค​ทโตะ​สะสม​ 100,000​ เหรียญ​
23	3	0	1803		150	9000025	1	301		1	每日活跃度达到150点	每日活躍度達到150點	Reach 150 Daily Activeness.	活躍度が150に達する	일일 활약도 150 달성	ค่า​แอ็ก​ที​ฟ​รายวัน​ถึง​ 150​ แต้ม​
24	3	0	1101	6	3	9000025	1	224		1	通关任意难度经验副本3次	通關任意難度經驗副本3次	Complete any EXP Stage 3 times.	EXPステージを3回クリアする	랜덤 난이도 EXP 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​ EXP​ ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
25	3	0	1101	4	3	9000025	1	283		1	通关任意难度芯片副本3次	通關任意難度晶片副本3次	Complete any Chip Stage 3 times.	チップステージを3回クリアする	랜덤 난이도 칩 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​ชิป​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
26	3	0	1101	5	3	9000025	1	223		1	通关任意难度粒子副本3次	通關任意難度粒子副本3次	Complete any Particle Stage 3 times.	粒子ステージを3回クリアする	랜덤 난이도 파티클 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​อนุภาค​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
27	3	0	1101	1	3	9000025	1	288		1	通关任意难度装备副本3次	通關任意難度裝備副本3次	Complete any Equipment Stage 3 times.	装備ステージを3回クリアする	랜덤 난이도 장비 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​อุปกรณ์​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
28	3	0	601	1	5	9000025	1	601		1	进行5次召唤	進行5次召喚	Make 5 summons.	召喚を5回行う	소환 5회 진행	รับสมัคร 5 ครั้ง
29	3	0	1416		10	9000025	1	511		1	制作10个任意料理	製作10個任意料理	Create any food 10 times.	任意の料理を10個製作する	요리 10개 제작	ทำอาหาร​แบบ​ใด​ก็ได้​ 10​ รายการ​
30	3	0	1403		5	9000025	1	517		1	完成5个外卖订单	完成5個外賣訂單	Complete 5 delivery orders.	出前を5回完了する	배달 주문 5건 완료	ส่งสำเร็จ 5 ออเดอร์
31	4	0	7	3000004	200	9000025	1	0		1	消耗200点情绪	消耗200點情緒	Spend 200 Pathos.	エモーションを200消費する	이모션 200 소모	ใช้พาโธส 200 แต้ม
32	4	0	7	3000003	100000	9000025	1			1	累计消耗100000新海币	累計消耗100000新海幣	Spend 100,000 Catto Coins in total.	累計で100000新海コインを消費する	뉴오션 코인 누적 100000 소모	ใช้​เหรียญ​แค​ทโตะ​สะสม​ 100,000​ เหรียญ​
33	4	0	1803		150	9000025	1	301		1	每日活跃度达到150点	每日活躍度達到150點	Reach 150 Daily Activeness.	活躍度が150に達する	일일 활약도 150 달성	ค่า​แอ็ก​ที​ฟ​รายวัน​ถึง​ 150​ แต้ม​
34	4	0	1101	6	3	9000025	1	224		1	通关任意难度经验副本3次	通關任意難度經驗副本3次	Complete any EXP Stage 3 times.	EXPステージを3回クリアする	랜덤 난이도 EXP 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​ EXP​ ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
35	4	0	1101	4	3	9000025	1	283		1	通关任意难度芯片副本3次	通關任意難度晶片副本3次	Complete any Chip Stage 3 times.	チップステージを3回クリアする	랜덤 난이도 칩 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​ชิป​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
36	4	0	1101	5	3	9000025	1	223		1	通关任意难度粒子副本3次	通關任意難度粒子副本3次	Complete any Particle Stage 3 times.	粒子ステージを3回クリアする	랜덤 난이도 파티클 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​อนุภาค​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
37	4	0	1101	1	3	9000025	1	288		1	通关任意难度装备副本3次	通關任意難度裝備副本3次	Complete any Equipment Stage 3 times.	装備ステージを3回クリアする	랜덤 난이도 장비 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​อุปกรณ์​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
38	4	0	601	1	5	9000025	1	601		1	进行5次召唤	進行5次召喚	Make 5 summons.	召喚を5回行う	소환 5회 진행	รับสมัคร 5 ครั้ง
39	4	0	1416		10	9000025	1	511		1	制作10个任意料理	製作10個任意料理	Create any food 10 times.	任意の料理を10個製作する	요리 10개 제작	ทำอาหาร​แบบ​ใด​ก็ได้​ 10​ รายการ​
40	4	0	1403		5	9000025	1	517		1	完成5个外卖订单	完成5個外賣訂單	Complete 5 delivery orders.	出前を5回完了する	배달 주문 5건 완료	ส่งสำเร็จ 5 ออเดอร์
