id	sceneId	camera	cameraDirection	battleCamera	battleCameraDirection	superCamera	superCameraDirection	superBattleCamera	superBattleCameraDirection	Switchover	uiWeight	superUiWeight	battleWeight	superBattleWeight	roleDirection	monsterDirection	directionFocus	sky	sceneEffect	sceneCam	enemyAoe	enemyAoeRotation	teamAoe	teamAoeRotation	roleSummon	roleSummonDirection	enemySummon	enemySummonDirection	catPosition	catDirection	rolePosition	enemyPosition	sceneCenter	view	voiceId	blockIndex	surroundingsId	enterCamera	enterSound	whetherBoss	cameraFuse	catEndCam	Limit	teamBg	regionBg	lateUpdateScript	ifRepertory	catEnd	towerScript	enemyLightDirection	status	address1	address1_zh_TW	address1_en_UK	address1_ja_JP	address1_ko_KR	address1_th_TH	address2	address2_zh_TW	address2_en_UK	address2_ja_JP	address2_ko_KR	address2_th_TH
10901	fightmap09	7.53;3.5;14.74	15.4;207.36;0	5.89;1.97;13.72	6.870001;192.82;0	7.53;3.5;14.74	15.4;207.36;0	5.89;1.97;13.72	6.870001;192.82;0	0.2	0.1	0.1	15	15	0;-158.67;0	0;0;0	5.45;0;13.82	1	0	600001	2.81;0;0.99	0;0;0	4.2;0;9.76	0;0;0	8.22;0;7.502093	0;202;0	-3.39;0;6.18	0;20;0	8.16;0;6.1	0;286;0	-1.75,0,9.62;0,13.72,0;9.75,0,1.452093,0;7.51,0,1.92,0;5.36,0,1.83,0;3.16,0,1.4,0	-2.59,0,2.7;0,3.11,0;12.01,0,-1.524945,0;7.69,0,-1.773118,0;3.15,0,-1.28,0;-1.3,0,0.07278576,0	3.76;0;5.46	57.22092	bgm_battle_09		0	0		0	0	-0.88;1.53;-2,0;9.46;0	3;3;6.5;1.2	91:fightmap09	91:BG_fightmap09		1	0,0,0;0,0,0			1	功能	功能	Feature	機能	기능	ฟังก์ชัน	竹林副本	竹林副本	Bamboo Forest	竹林ステージ	대나무 숲 던전	ดันเจี้ยนป่าไผ่
10902	fightmap09	7.53;3.5;14.74	15.4;207.36;0	5.89;1.97;13.72	6.870001;192.82;0	7.53;3.5;14.74	15.4;207.36;0	5.89;1.97;13.72	6.870001;192.82;0	0.2	0.1	0.1	15	15	0;-158.67;0	0;0;0	5.45;0;13.82	1	0	600001	2.81;0;0.99	0;0;0	4.2;0;9.76	0;0;0	8.22;0;7.502093	0;202;0	-3.39;0;6.18	0;20;0	8.16;0;6.1	0;286;0	-1.75,0,9.62;0,13.72,0;9.75,0,1.452093,0;7.51,0,1.92,0;5.36,0,1.83,0;3.16,0,1.4,0	-2.59,0,2.7;0,3.11,0;12.01,0,-1.524945,0;7.69,0,-1.773118,0;3.15,0,-1.28,0;-1.3,0,0.07278576,0	3.76;0;5.46	57.22092	bgm_battle_09		0	0		0	0	-0.88;1.53;-2,0;9.46;0	3;3;6.5;1.2	91:fightmap09	91:BG_fightmap09		1	0,0,0;0,0,0			1	功能	功能	Feature	機能	기능	ฟังก์ชัน	竹林副本	竹林副本	Bamboo Forest	竹林ステージ	대나무 숲 던전	ดันเจี้ยนป่าไผ่
11001	fightmap1010	5.96;3.53;17.2	16.50001;209.5;0	3.9;1.88;16.31	6.73;193.14;0	5.96;3.53;17.2	14.2;-150;0	3.9;1.88;16.31	6.73;193.14;0	0.2	0.1	0.1	15	15	0;-158.67;0	0;0;0	3.82;0;17.48	1	0	600001	0.24;0;2.46	0;0;0	2.59;0;11.87	0;0;0	6.6;0;9.582093	0;202;0	-3.39;0;6.18	0;20;0	8.16;0;6.1	0;286;0	-4,0,11.7;0,12.05,0;10.38,0,1.452093,0;7.73,0,1.88,0;5.36,0,1.85,0;2.73,0,1.46,0	-5,0,4.41;0,6.55,0;13.4,0,-1.524945,0;8.25,0,-1.773118,0;2.78,0,-1.184777,0;-2.54,0,0.07278576,0	1.56;0;7.36	57.22092	bgm_battle_10		0	0		0	0	-0.88;1.53;-2,0;9.46;0	3;3;6.5;1.2	91:fightmap10	91:BG_fightmap10		1	0,0,0;0,0,0			1	竹林活动	竹林活動	Bamboo Forest Event	竹林イベント	대나무 숲 이벤트	กิจกรรมป่าไผ่	竹林副本	竹林副本	Bamboo Forest	竹林ステージ	대나무 숲 던전	ดันเจี้ยนป่าไผ่
11002	fightmap1010	5.96;3.53;17.2	16.50001;209.5;0	3.9;1.88;16.31	6.73;193.14;0	5.96;3.53;17.2	14.2;-150;0	3.9;1.88;16.31	6.73;193.14;0	0.2	0.1	0.1	15	15	0;-158.67;0	0;0;0	3.82;0;17.48	1	0	600001	0.24;0;2.46	0;0;0	2.59;0;11.87	0;0;0	6.6;0;9.582093	0;202;0	-3.39;0;6.18	0;20;0	8.16;0;6.1	0;286;0	-4,0,11.7;0,12.05,0;10.38,0,1.452093,0;7.73,0,1.88,0;5.36,0,1.85,0;2.73,0,1.46,0	-5,0,4.41;0,6.55,0;13.4,0,-1.524945,0;8.25,0,-1.773118,0;2.78,0,-1.184777,0;-2.54,0,0.07278576,0	1.56;0;7.36	57.22092	bgm_battle_10		0	0		0	0	-0.88;1.53;-2,0;9.46;0	3;3;6.5;1.2	91:fightmap10	91:BG_fightmap10		1	0,0,0;0,0,0			1												
11003	fightmap2010	5.96;3.53;17.2	16.50001;209.5;0	3.9;1.88;16.31	6.73;193.14;0	5.96;3.53;17.2	14.2;-150;0	3.9;1.88;16.31	6.73;193.14;0	0.2	0.1	0.1	15	15	0;-158.67;0	0;0;0	3.82;0;17.48	1	0	600001	0.24;0;2.46	0;0;0	2.59;0;11.87	0;0;0	6.6;0;9.582093	0;202;0	-3.39;0;6.18	0;20;0	8.16;0;6.1	0;286;0	-4,0,11.7;0,12.05,0;10.38,0,1.452093,0;7.73,0,1.88,0;5.36,0,1.85,0;2.73,0,1.46,0	-5,0,4.41;0,6.55,0;13.4,0,-1.524945,0;8.25,0,-1.773118,0;2.78,0,-1.184777,0;-2.54,0,0.07278576,0	1.56;0;7.36	57.22092	bgm_battle_10		0	0		0	0	-0.88;1.53;-2,0;9.46;0	3;3;6.5;1.2	91:fightmap10	91:BG_fightmap10		1	0,0,0;0,0,0			1												
11004	fightmap4010	5.96;3.53;17.2	16.50001;209.5;0	3.9;1.88;16.31	6.73;193.14;0	5.96;3.53;17.2	14.2;-150;0	3.9;1.88;16.31	6.73;193.14;0	0.2	0.1	0.1	15	15	0;-158.67;0	0;0;0	3.82;0;17.48	1	0	600001	0.24;0;2.46	0;0;0	2.59;0;11.87	0;0;0	6.6;0;9.582093	0;202;0	-3.39;0;6.18	0;20;0	8.16;0;6.1	0;286;0	-4,0,11.7;0,12.05,0;10.38,0,1.452093,0;7.73,0,1.88,0;5.36,0,1.85,0;2.73,0,1.46,0	-5,0,4.41;0,6.55,0;13.4,0,-1.524945,0;8.25,0,-1.773118,0;2.78,0,-1.184777,0;-2.54,0,0.07278576,0	1.56;0;7.36	57.22092	bgm_battle_10		0	0		0	0	-0.88;1.53;-2,0;9.46;0	3;3;6.5;1.2	91:fightmap10	91:BG_fightmap10		1	0,0,0;0,0,0			1												
11101	fightmap11	5.96;3.53;17.2	16.50001;209.5;0	3.9;1.88;16.31	6.73;193.14;0	5.96;3.53;17.2	14.2;-150;0	3.9;1.88;16.31	6.73;193.14;0	0.2	0.1	0.1	15	15	0;-158.67;0	0;0;0	4.31;0;19.66	1	0	600001	0;0;2.46	0;0;0	2.9;0;11.59	0;0;0	6.6;0;9.582093	0;202;0	-3.39;0;6.18	0;20;0	8.16;0;6.1	0;286;0	-4,0,11.7;0,15.2,0;10.38,0,1.452093,0;7.8,0,1.82,0;5.36,0,1.82,0;2.73,0,1.34,0	-5,0,4.41;0,6.55,0;12.47,0,-1.524945,0;7.75,0,-1.773118,0;3.06,0,-1.23,0;-1.6,0,0.07278576,0	1.56;0;7.36	57.22092	bgm_battle_Storms_eye		0	0		0	0	-0.88;1.53;-2,0;9.46;0	3;3;6.5;1.2	91:fightmap11	91:BG_fightmap11		1	0,0,0;0,0,0			1	南港区	南港區	Southport	南港区	사우스포트	เขตทะเลใต้	小红帽场景	小紅帽場景	Little Red Riding Hood	赤ずきんのシーン	빨간 망토 씬	ฉากหนูน้อยหมวกแดง
11201	fightmap12	7.7;4.44;18.6	13.41001;203.6;0	5.37;2.2;15.85	8.78002;190.67;0	7.7;4.44;18.6	13.41001;203.6;0	5.37;2.2;15.85	8.78002;190.67;0	0.2	0.1	0.1	15	0	0;-158.67;0	0;0;0	4.4;0;18.14	1	0	600001	3.12;0;2.46	0;0;0	4.17;0;11.06	0;0;0	8;0;8.972093	0;202;0	-3.39;0;6.18	0;20;0	8.16;0;6.1	0;286;0	-2.08,0,11.09;0,11.5,0;9.86,0,1.452093,0;7.58,0,1.82,0;5.36,0,1.79,0;3.17,0,1.37,0	-3.14,0,4.63;0,6.55,0;11.79,0,-1.524945,0;8.41,0,-1.81,0;4.48,0.04,-1.5,0;1.16,0,-0.59,0	3.4;0;7.05	57.219795	bgm_plot_reasoning01		0	0		0	0	-0.88;1.53;-2,0;9.46;0	3;3;6.5;1.2	91:fightmap12	91:BG_fightmap12		1	0,0,0;0,0,0			1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	新街道-夜	新街道-夜	New Street - Night	新市街-夜	신시가지 - 밤	ถนนสายใหม่ - กลางคืน
11202	fightmap1012	7.7;4.44;18.6	13.41001;203.6;0	5.37;2.2;15.85	8.78002;190.67;0	7.7;4.44;18.6	13.41001;203.6;0	5.37;2.2;15.85	8.78002;190.67;0	0.2	0.1	0.1	15	0	0;-158.67;0	0;0;0	4.4;0;18.14	1	0	600001	3.12;0;2.46	0;0;0	4.17;0;11.06	0;0;0	8;0;8.972093	0;202;0	-3.39;0;6.18	0;20;0	8.16;0;6.1	0;286;0	-2.08,0,11.09;0,11.5,0;9.86,0,1.452093,0;7.58,0,1.82,0;5.36,0,1.79,0;3.17,0,1.37,0	-3.14,0,4.63;0,6.55,0;11.79,0,-1.524945,0;8.41,0,-1.81,0;4.48,0.04,-1.5,0;1.16,0,-0.59,0	3.4;0;7.05	57.219795	bgm_plot_reasoning01		0	0		0	0	-0.88;1.53;-2,0;9.46;0	3;3;6.5;1.2	91:fightmap12	91:BG_fightmap12		1	0,0,0;0,0,0			1												
11203	fightmap2012	7.7;4.44;18.6	13.41001;203.6;0	5.37;2.2;15.85	8.78002;190.67;0	7.7;4.44;18.6	13.41001;203.6;0	5.37;2.2;15.85	8.78002;190.67;0	0.2	0.1	0.1	15	0	0;-158.67;0	0;0;0	4.4;0;18.14	1	0	600001	3.12;0;2.46	0;0;0	4.17;0;11.06	0;0;0	8;0;8.972093	0;202;0	-3.39;0;6.18	0;20;0	8.16;0;6.1	0;286;0	-2.08,0,11.09;0,11.5,0;9.86,0,1.452093,0;7.58,0,1.82,0;5.36,0,1.79,0;3.17,0,1.37,0	-3.14,0,4.63;0,6.55,0;11.79,0,-1.524945,0;8.41,0,-1.81,0;4.48,0.04,-1.5,0;1.16,0,-0.59,0	3.4;0;7.05	57.219795	bgm_plot_reasoning01		0	0		0	0	-0.88;1.53;-2,0;9.46;0	3;3;6.5;1.2	91:fightmap12	91:BG_fightmap12		1	0,0,0;0,0,0			1												
11401	fightmap14	5.96;3.53;17.2	16.50001;209.5;0	3.9;1.88;16.31	6.73;193.14;0	5.96;3.53;17.2	14.2;-150;0	3.9;1.88;16.31	6.73;193.14;0	0.2	0.1	0.1	15	15	0;-158.67;0	0;0;0	3.82;0;17.48	1	0	600001	0.24;0;2.46	0;0;0	2.59;0;11.87	0;0;0	6.6;0;9.582093	0;202;0	-3.39;0;6.18	0;20;0	8.16;0;6.1	0;286;0	-4,0,11.7;0,12.05,0;10.38,0,1.452093,0;7.73,0,1.88,0;5.36,0,1.85,0;2.73,0,1.46,0	-5,0,4.41;0,6.55,0;13.4,0,-1.524945,0;8.25,0,-1.773118,0;2.78,0,-1.184777,0;-2.54,0,0.07278576,0	1.56;0;7.36	57.22092	bgm_role_telang_blood		0	0		0	0	-0.88;1.53;-2,0;9.46;0	3;3;6.5;1.2	91:fightmap14	91:BG_fightmap14		1	0,0,0;0,0,0			1	凛北区	凜北區	Boreala	凛北区	노스 타운	เขตโบเรียร่า	足球场景	足球場景	Soccer Field	サッカーシーン	축구 씬	ฉากสนามฟุตบอล
11501	fightmap15	6.89;3.5;16.41	14.7;204.5;0	5.6;1.88;15.17	6.73;193.14;0	6.89;3.5;16.41	14.7;204.5;0	5.6;1.88;15.17	6.73;193.14;0	0.2	0.1	0.1	15	15	0;-158.67;0	0;0;0	5.3;0;18.5	1	0	600001	2.3;0;0.4	0;0;0	4.42;0;11.12	0;0;0	8.35;0;8.572093	0;202;0	-3.39;0;6.18	0;20;0	8.16;0;6.1	0;286;0	-2.25,0,10.69;0,12.05,0;10.38,0,1.452093,0;7.73,0,1.88,0;5.36,0,1.85,0;2.73,0,1.46,0	-2.55,0,2.7;0,6.55,0;13.4,0,-1.524945,0;8.25,0,-1.773118,0;2.78,0,-1.184777,0;-2.54,0,0.07278576,0	2.95;0;6.27	57.22092	bgm_battle_01		0	0		0	0	-0.88;1.53;-2,0;9.46;0	3;3;6.5;1.2	91:fightmap15	91:BG_fightmap15		1	0,0,0;0,0,0			1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	商业街	商業街	Commercial Street	繁華街	상가	ถนนการค้า
11599	fightmap15	6.89;3.5;16.41	14.7;204.5;0	5.6;1.88;15.17	6.73;193.14;0	6.89;3.5;16.41	14.7;204.5;0	5.6;1.88;15.17	6.73;193.14;0	0.2	0.1	0.1	15	15	0;-158.67;0	0;0;0	5.3;0;18.5	1	0	600001	2.3;0;0.4	0;0;0	4.42;0;11.12	0;0;0	8.35;0;8.572093	0;202;0	-3.39;0;6.18	0;20;0	8.16;0;6.1	0;286;0	-2.25,0,10.69;0,12.05,0;10.38,0,1.452093,0;7.73,0,1.88,0;5.36,0,1.85,0;2.73,0,1.46,0	-2.55,0,2.7;0,6.55,0;13.4,0,-1.524945,0;8.25,0,-1.773118,0;2.78,0,-1.184777,0;-2.54,0,0.07278576,0	2.95;0;6.27	57.22092	bgm_battle_01		0	0		0	0	-0.88;1.53;-2,0;9.46;0	3;3;6.5;1.2	91:fightmap15	91:BG_fightmap15		1	0,0,0;0,0,0			1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	商业街	商業街	Commercial Street	繁華街	상가	ถนนการค้า
11502	fightmap1015	6.89;3.5;16.41	14.7;204.5;0	5.6;1.88;15.17	6.73;193.14;0	6.89;3.5;16.41	14.7;204.5;0	5.6;1.88;15.17	6.73;193.14;0	0.2	0.1	0.1	15	15	0;-158.67;0	0;0;0	5.3;0;18.5	1	0	600001	2.3;0;0.4	0;0;0	4.42;0;11.12	0;0;0	8.35;0;8.572093	0;202;0	-3.39;0;6.18	0;20;0	8.16;0;6.1	0;286;0	-2.25,0,10.69;0,12.05,0;10.38,0,1.452093,0;7.73,0,1.88,0;5.36,0,1.85,0;2.73,0,1.46,0	-2.55,0,2.7;0,6.55,0;13.4,0,-1.524945,0;8.25,0,-1.773118,0;2.78,0,-1.184777,0;-2.54,0,0.07278576,0	2.95;0;6.27	57.22092	bgm_battle_01		0	0		0	0	-0.88;1.53;-2,0;9.46;0	3;3;6.5;1.2	91:fightmap15	91:BG_fightmap15		1	0,0,0;0,0,0			1												
11901	fightmap19	6.4;4.1;16.8	18.32;209.3;0	4.7;2.3;15.8	9.700001;194.7;0	6.4;4.1;16.8	18.32;209.3;0	4.7;2.3;15.8	9.700001;194.7;0	0.2	0.1	0.1	15	15	0;-158.67;0	0;0;0	5.16;0;19.52	1	0	600001	1.3;0;2.46	0;0;0	3.36;0;11.45	0;0;0	7.33;0;9.142093	0;202;0	-3.39;0;6.18	0;20;0	8.16;0;6.1	0;286;0	-3.27,0,11.26;0,13.92,0;10.38,0,1.452093,0;7.79,0,1.82,0;5.36,0,1.85,0;2.73,0,1.46,0	-3.7,0,4.41;0,6.55,0;11.81,0,-1.524945,0;7.32,0,-1.773118,0;3.22,0,-1.44,0;-1.1,0,-0.39,0	2.21;0;6.87	57.22092	Rockit Gaming - No Emotion T=85		0	0		0	0	-0.88;1.53;-2,0;9.46;0	3;3;6.5;1.2	91:fightmap19	91:BG_fightmap19		1	0,0,0;0,0,0			1	功能	功能	Feature	機能	기능	ฟังก์ชัน	定向副本-蓝	定向副本-藍	Set Stage - Blue	定向ステージ・青	일반 던전 - 블루	ดัน​เจี้ยน​เฉพาะทาง​ -​ สีน้ำเงิน​
