id	talentId	level	attAddTypeId	param1	param2	param3	attAddNum	buffId	costItem	costNum	combat	status	descrp	descrp_zh_TW	descrp_en_UK	descrp_ja_JP	descrp_ko_KR	descrp_th_TH
10	1010102	5	1	1	2		0.05	60201001_5	4119001	3	16	1	红色情绪战斗员克制伤害提升_num_	紅色情緒戰鬥員克制傷害提升_num_	Counter DMG dealt by Red Pathos Combatant +_num_	レッド属性の戦闘員の有利属性ダメージ＋_num_	레드 이모션 전투원 역상성 대미지 +_num_	ดา​เม​จ​ชนะ​ทาง​ของ​ตัวละคร​พา​โธส​แดง​ +_num_​
11	1010103	1	1	3	1		0.01	60301001_1	4119001	1	6	1	蓝色情绪战斗员克制伤害提升_num_	藍色情緒戰鬥員克制傷害提升_num_	Counter DMG dealt by Blue Pathos Combatant +_num_	ブルー属性の戦闘員の有利属性ダメージ＋_num_	블루 이모션 전투원 역상성 대미지 +_num_	ดา​เม​จ​ชนะ​ทาง​ของ​ตัวละคร​พา​โธส​น้ำเงิน​ +_num_​
12	1010103	2	1	3	1		0.02	60301001_2	4119001	1	9	1	蓝色情绪战斗员克制伤害提升_num_	藍色情緒戰鬥員克制傷害提升_num_	Counter DMG dealt by Blue Pathos Combatant +_num_	ブルー属性の戦闘員の有利属性ダメージ＋_num_	블루 이모션 전투원 역상성 대미지 +_num_	ดา​เม​จ​ชนะ​ทาง​ของ​ตัวละคร​พา​โธส​น้ำเงิน​ +_num_​
13	1010103	3	1	3	1		0.03	60301001_3	4119001	2	12	1	蓝色情绪战斗员克制伤害提升_num_	藍色情緒戰鬥員克制傷害提升_num_	Counter DMG dealt by Blue Pathos Combatant +_num_	ブルー属性の戦闘員の有利属性ダメージ＋_num_	블루 이모션 전투원 역상성 대미지 +_num_	ดา​เม​จ​ชนะ​ทาง​ของ​ตัวละคร​พา​โธส​น้ำเงิน​ +_num_​
14	1010103	4	1	3	1		0.04	60301001_4	4119001	2	14	1	蓝色情绪战斗员克制伤害提升_num_	藍色情緒戰鬥員克制傷害提升_num_	Counter DMG dealt by Blue Pathos Combatant +_num_	ブルー属性の戦闘員の有利属性ダメージ＋_num_	블루 이모션 전투원 역상성 대미지 +_num_	ดา​เม​จ​ชนะ​ทาง​ของ​ตัวละคร​พา​โธส​น้ำเงิน​ +_num_​
15	1010103	5	1	3	1		0.05	60301001_5	4119001	3	16	1	蓝色情绪战斗员克制伤害提升_num_	藍色情緒戰鬥員克制傷害提升_num_	Counter DMG dealt by Blue Pathos Combatant +_num_	ブルー属性の戦闘員の有利属性ダメージ＋_num_	블루 이모션 전투원 역상성 대미지 +_num_	ดา​เม​จ​ชนะ​ทาง​ของ​ตัวละคร​พา​โธส​น้ำเงิน​ +_num_​
16	1010201	1	2	2	1		0.01	60202001_1	4119001	2	9	1	战斗员被红色情绪克制伤害减少_num_	戰鬥員被紅色情緒克制傷害減少_num_	Counter DMG received from Red Pathos Combatant -_num_	不利属性・レッドの敵から受けるダメージ−_num_	전투원의 레드 이모션 역상성으로 인한 대미지 -_num_	​ดาเมจ​ชนะทาง​พาโธส​แดง​ที่​ตัวละคร​ได้​รับ​ -_num_
17	1010201	2	2	2	1		0.02	60202001_2	4119001	2	14	1	战斗员被红色情绪克制伤害减少_num_	戰鬥員被紅色情緒克制傷害減少_num_	Counter DMG received from Red Pathos Combatant -_num_	不利属性・レッドの敵から受けるダメージ−_num_	전투원의 레드 이모션 역상성으로 인한 대미지 -_num_	​ดาเมจ​ชนะทาง​พาโธส​แดง​ที่​ตัวละคร​ได้​รับ​ -_num_
18	1010201	3	2	2	1		0.03	60202001_3	4119001	3	18	1	战斗员被红色情绪克制伤害减少_num_	戰鬥員被紅色情緒克制傷害減少_num_	Counter DMG received from Red Pathos Combatant -_num_	不利属性・レッドの敵から受けるダメージ−_num_	전투원의 레드 이모션 역상성으로 인한 대미지 -_num_	​ดาเมจ​ชนะทาง​พาโธส​แดง​ที่​ตัวละคร​ได้​รับ​ -_num_
19	1010201	4	2	2	1		0.04	60202001_4	4119001	3	21	1	战斗员被红色情绪克制伤害减少_num_	戰鬥員被紅色情緒克制傷害減少_num_	Counter DMG received from Red Pathos Combatant -_num_	不利属性・レッドの敵から受けるダメージ−_num_	전투원의 레드 이모션 역상성으로 인한 대미지 -_num_	​ดาเมจ​ชนะทาง​พาโธส​แดง​ที่​ตัวละคร​ได้​รับ​ -_num_
20	1010201	5	2	2	1		0.05	60202001_5	4119001	4	25	1	战斗员被红色情绪克制伤害减少_num_	戰鬥員被紅色情緒克制傷害減少_num_	Counter DMG received from Red Pathos Combatant -_num_	不利属性・レッドの敵から受けるダメージ−_num_	전투원의 레드 이모션 역상성으로 인한 대미지 -_num_	​ดาเมจ​ชนะทาง​พาโธส​แดง​ที่​ตัวละคร​ได้​รับ​ -_num_
21	1010202	1	2	1	3		0.01	60302001_1	4119001	2	9	1	战斗员被蓝色情绪克制伤害减少_num_	戰鬥員被藍色情緒克制傷害減少_num_	Counter DMG received from Blue Pathos Combatant -_num_	不利属性・ブルーの敵から受けるダメージ−_num_	전투원의 블루 이모션 역상성으로 인한 대미지 -_num_	​ดาเมจ​ชนะ​ทาง​พาโธส​น้ำเงิน​ที่​ตัวละคร​ได้​รับ​ -_num_
22	1010202	2	2	1	3		0.02	60302001_2	4119001	2	14	1	战斗员被蓝色情绪克制伤害减少_num_	戰鬥員被藍色情緒克制傷害減少_num_	Counter DMG received from Blue Pathos Combatant -_num_	不利属性・ブルーの敵から受けるダメージ−_num_	전투원의 블루 이모션 역상성으로 인한 대미지 -_num_	​ดาเมจ​ชนะ​ทาง​พาโธส​น้ำเงิน​ที่​ตัวละคร​ได้​รับ​ -_num_
23	1010202	3	2	1	3		0.03	60302001_3	4119001	3	18	1	战斗员被蓝色情绪克制伤害减少_num_	戰鬥員被藍色情緒克制傷害減少_num_	Counter DMG received from Blue Pathos Combatant -_num_	不利属性・ブルーの敵から受けるダメージ−_num_	전투원의 블루 이모션 역상성으로 인한 대미지 -_num_	​ดาเมจ​ชนะ​ทาง​พาโธส​น้ำเงิน​ที่​ตัวละคร​ได้​รับ​ -_num_
24	1010202	4	2	1	3		0.04	60302001_4	4119001	3	21	1	战斗员被蓝色情绪克制伤害减少_num_	戰鬥員被藍色情緒克制傷害減少_num_	Counter DMG received from Blue Pathos Combatant -_num_	不利属性・ブルーの敵から受けるダメージ−_num_	전투원의 블루 이모션 역상성으로 인한 대미지 -_num_	​ดาเมจ​ชนะ​ทาง​พาโธส​น้ำเงิน​ที่​ตัวละคร​ได้​รับ​ -_num_
25	1010202	5	2	1	3		0.05	60302001_5	4119001	4	25	1	战斗员被蓝色情绪克制伤害减少_num_	戰鬥員被藍色情緒克制傷害減少_num_	Counter DMG received from Blue Pathos Combatant -_num_	不利属性・ブルーの敵から受けるダメージ−_num_	전투원의 블루 이모션 역상성으로 인한 대미지 -_num_	​ดาเมจ​ชนะ​ทาง​พาโธส​น้ำเงิน​ที่​ตัวละคร​ได้​รับ​ -_num_
26	1010203	1	2	3	2		0.01	60102001_1	4119001	2	9	1	战斗员被绿色情绪克制伤害减少_num_	戰鬥員被綠色情緒克制傷害減少_num_	Counter DMG received from Green Pathos Combatant -_num_	不利属性・グリーンの敵から受けるダメージ－−_num_	전투원의 그린 이모션 역상성으로 인한 대미지 -_num_	​ดาเมจ​ชนะ​ทาง​พาโธส​เขียว​ที่​ตัวละคร​ได้​รับ​ -_num_
27	1010203	2	2	3	2		0.02	60102001_2	4119001	2	14	1	战斗员被绿色情绪克制伤害减少_num_	戰鬥員被綠色情緒克制傷害減少_num_	Counter DMG received from Green Pathos Combatant -_num_	不利属性・グリーンの敵から受けるダメージ－−_num_	전투원의 그린 이모션 역상성으로 인한 대미지 -_num_	​ดาเมจ​ชนะ​ทาง​พาโธส​เขียว​ที่​ตัวละคร​ได้​รับ​ -_num_
28	1010203	3	2	3	2		0.03	60102001_3	4119001	3	18	1	战斗员被绿色情绪克制伤害减少_num_	戰鬥員被綠色情緒克制傷害減少_num_	Counter DMG received from Green Pathos Combatant -_num_	不利属性・グリーンの敵から受けるダメージ－−_num_	전투원의 그린 이모션 역상성으로 인한 대미지 -_num_	​ดาเมจ​ชนะ​ทาง​พาโธส​เขียว​ที่​ตัวละคร​ได้​รับ​ -_num_
29	1010203	4	2	3	2		0.04	60102001_4	4119001	3	21	1	战斗员被绿色情绪克制伤害减少_num_	戰鬥員被綠色情緒克制傷害減少_num_	Counter DMG received from Green Pathos Combatant -_num_	不利属性・グリーンの敵から受けるダメージ－−_num_	전투원의 그린 이모션 역상성으로 인한 대미지 -_num_	​ดาเมจ​ชนะ​ทาง​พาโธส​เขียว​ที่​ตัวละคร​ได้​รับ​ -_num_
30	1010203	5	2	3	2		0.05	60102001_5	4119001	4	25	1	战斗员被绿色情绪克制伤害减少_num_	戰鬥員被綠色情緒克制傷害減少_num_	Counter DMG received from Green Pathos Combatant -_num_	不利属性・グリーンの敵から受けるダメージ－−_num_	전투원의 그린 이모션 역상성으로 인한 대미지 -_num_	​ดาเมจ​ชนะ​ทาง​พาโธส​เขียว​ที่​ตัวละคร​ได้​รับ​ -_num_
31	1010301	1	3	1			0.004		4119001	6	12	1	初始品质为R的战斗员提供的助战位加成提升_num_	初始品質為R的戰鬥員提供的助戰位加成提升_num_	Assist Bonus provided by the Combatant with an initial Grade of R +_num_	レアリティRの戦闘員からのサポートボーナス＋_num_	태생 등급이 R인 전투원이 제공하는 서포터 버프 +_num_	โบนัส​ช่อง​ซัพพอร์ต​ของ​ตัวละคร​ที่​มีระดับ​เริ่มต้น​ R​ +_num_​
32	1010301	2	3	2			0.004		4119001	6	18	1	初始品质为SR的战斗员提供的助战位加成提升_num_	初始品質為SR的戰鬥員提供的助戰位加成提升_num_	Assist Bonus provided by the Combatant with an initial Grade of SR +_num_	レアリティSRの戦闘員からのサポートボーナス＋_num_	태생 등급이 SR인 전투원이 제공하는 서포터 버프 +_num_	โบนัส​ช่อง​ซัพพอร์ต​ของ​ตัวละคร​ที่​มีระดับ​เริ่มต้น​ SR​ +_num_​
33	1010301	3	3	3			0.004		4119001	8	23	1	初始品质为SSR的战斗员提供的助战位加成提升_num_	初始品質為SSR的戰鬥員提供的助戰位加成提升_num_	Assist Bonus provided by the Combatant with an initial Grade of SSR +_num_	レアリティSSRの戦闘員からのサポートボーナス＋_num_	태생 등급이 SSR인 전투원이 제공하는 서포터 버프 +_num_	โบนัส​ช่อง​ซัพพอร์ต​ของ​ตัวละคร​ที่​มีระดับ​เริ่มต้น​ SSR​ +_num_​
34	1010401	1	1	2	3		0.01	60101002_1	4119001	4	14	1	绿色情绪战斗员克制伤害提升_num_	綠色情緒戰鬥員克制傷害提升_num_	Counter DMG dealt by Green Pathos Combatant +_num_	グリーン属性の戦闘員の有利属性ダメージ＋_num_	그린 이모션 전투원 역상성 대미지 +_num_	ดา​เม​จ​ชนะ​ทาง​ของ​ตัวละคร​พา​โธส​เขียว​ +_num_​
35	1010401	2	1	2	3		0.02	60101002_2	4119001	4	21	1	绿色情绪战斗员克制伤害提升_num_	綠色情緒戰鬥員克制傷害提升_num_	Counter DMG dealt by Green Pathos Combatant +_num_	グリーン属性の戦闘員の有利属性ダメージ＋_num_	그린 이모션 전투원 역상성 대미지 +_num_	ดา​เม​จ​ชนะ​ทาง​ของ​ตัวละคร​พา​โธส​เขียว​ +_num_​
36	1010401	3	1	2	3		0.03	60101002_3	4119001	5	28	1	绿色情绪战斗员克制伤害提升_num_	綠色情緒戰鬥員克制傷害提升_num_	Counter DMG dealt by Green Pathos Combatant +_num_	グリーン属性の戦闘員の有利属性ダメージ＋_num_	그린 이모션 전투원 역상성 대미지 +_num_	ดา​เม​จ​ชนะ​ทาง​ของ​ตัวละคร​พา​โธส​เขียว​ +_num_​
37	1010401	4	1	2	3		0.04	60101002_4	4119001	5	33	1	绿色情绪战斗员克制伤害提升_num_	綠色情緒戰鬥員克制傷害提升_num_	Counter DMG dealt by Green Pathos Combatant +_num_	グリーン属性の戦闘員の有利属性ダメージ＋_num_	그린 이모션 전투원 역상성 대미지 +_num_	ดา​เม​จ​ชนะ​ทาง​ของ​ตัวละคร​พา​โธส​เขียว​ +_num_​
38	1010401	5	1	2	3		0.05	60101002_5	4119001	6	38	1	绿色情绪战斗员克制伤害提升_num_	綠色情緒戰鬥員克制傷害提升_num_	Counter DMG dealt by Green Pathos Combatant +_num_	グリーン属性の戦闘員の有利属性ダメージ＋_num_	그린 이모션 전투원 역상성 대미지 +_num_	ดา​เม​จ​ชนะ​ทาง​ของ​ตัวละคร​พา​โธส​เขียว​ +_num_​
39	1010402	1	1	1	2		0.01	60201002_1	4119001	4	14	1	红色情绪战斗员克制伤害提升_num_	紅色情緒戰鬥員克制傷害提升_num_	Counter DMG dealt by Red Pathos Combatant +_num_	レッド属性の戦闘員の有利属性ダメージ＋_num_	레드 이모션 전투원 역상성 대미지 +_num_	ดา​เม​จ​ชนะ​ทาง​ของ​ตัวละคร​พา​โธส​แดง​ +_num_​
40	1010402	2	1	1	2		0.02	60201002_2	4119001	4	21	1	红色情绪战斗员克制伤害提升_num_	紅色情緒戰鬥員克制傷害提升_num_	Counter DMG dealt by Red Pathos Combatant +_num_	レッド属性の戦闘員の有利属性ダメージ＋_num_	레드 이모션 전투원 역상성 대미지 +_num_	ดา​เม​จ​ชนะ​ทาง​ของ​ตัวละคร​พา​โธส​แดง​ +_num_​
41	1010402	3	1	1	2		0.03	60201002_3	4119001	5	28	1	红色情绪战斗员克制伤害提升_num_	紅色情緒戰鬥員克制傷害提升_num_	Counter DMG dealt by Red Pathos Combatant +_num_	レッド属性の戦闘員の有利属性ダメージ＋_num_	레드 이모션 전투원 역상성 대미지 +_num_	ดา​เม​จ​ชนะ​ทาง​ของ​ตัวละคร​พา​โธส​แดง​ +_num_​
42	1010402	4	1	1	2		0.04	60201002_4	4119001	5	33	1	红色情绪战斗员克制伤害提升_num_	紅色情緒戰鬥員克制傷害提升_num_	Counter DMG dealt by Red Pathos Combatant +_num_	レッド属性の戦闘員の有利属性ダメージ＋_num_	레드 이모션 전투원 역상성 대미지 +_num_	ดา​เม​จ​ชนะ​ทาง​ของ​ตัวละคร​พา​โธส​แดง​ +_num_​
43	1010402	5	1	1	2		0.05	60201002_5	4119001	6	38	1	红色情绪战斗员克制伤害提升_num_	紅色情緒戰鬥員克制傷害提升_num_	Counter DMG dealt by Red Pathos Combatant +_num_	レッド属性の戦闘員の有利属性ダメージ＋_num_	레드 이모션 전투원 역상성 대미지 +_num_	ดา​เม​จ​ชนะ​ทาง​ของ​ตัวละคร​พา​โธส​แดง​ +_num_​
44	1010403	1	1	3	1		0.01	60301002_1	4119001	4	14	1	蓝色情绪战斗员克制伤害提升_num_	藍色情緒戰鬥員克制傷害提升_num_	Counter DMG dealt by Blue Pathos Combatant +_num_	ブルー属性の戦闘員の有利属性ダメージ＋_num_	블루 이모션 전투원 역상성 대미지 +_num_	ดา​เม​จ​ชนะ​ทาง​ของ​ตัวละคร​พา​โธส​น้ำเงิน​ +_num_​
45	1010403	2	1	3	1		0.02	60301002_2	4119001	4	21	1	蓝色情绪战斗员克制伤害提升_num_	藍色情緒戰鬥員克制傷害提升_num_	Counter DMG dealt by Blue Pathos Combatant +_num_	ブルー属性の戦闘員の有利属性ダメージ＋_num_	블루 이모션 전투원 역상성 대미지 +_num_	ดา​เม​จ​ชนะ​ทาง​ของ​ตัวละคร​พา​โธส​น้ำเงิน​ +_num_​
46	1010403	3	1	3	1		0.03	60301002_3	4119001	5	28	1	蓝色情绪战斗员克制伤害提升_num_	藍色情緒戰鬥員克制傷害提升_num_	Counter DMG dealt by Blue Pathos Combatant +_num_	ブルー属性の戦闘員の有利属性ダメージ＋_num_	블루 이모션 전투원 역상성 대미지 +_num_	ดา​เม​จ​ชนะ​ทาง​ของ​ตัวละคร​พา​โธส​น้ำเงิน​ +_num_​
47	1010403	4	1	3	1		0.04	60301002_4	4119001	5	33	1	蓝色情绪战斗员克制伤害提升_num_	藍色情緒戰鬥員克制傷害提升_num_	Counter DMG dealt by Blue Pathos Combatant +_num_	ブルー属性の戦闘員の有利属性ダメージ＋_num_	블루 이모션 전투원 역상성 대미지 +_num_	ดา​เม​จ​ชนะ​ทาง​ของ​ตัวละคร​พา​โธส​น้ำเงิน​ +_num_​
48	1010403	5	1	3	1		0.05	60301002_5	4119001	6	38	1	蓝色情绪战斗员克制伤害提升_num_	藍色情緒戰鬥員克制傷害提升_num_	Counter DMG dealt by Blue Pathos Combatant +_num_	ブルー属性の戦闘員の有利属性ダメージ＋_num_	블루 이모션 전투원 역상성 대미지 +_num_	ดา​เม​จ​ชนะ​ทาง​ของ​ตัวละคร​พา​โธส​น้ำเงิน​ +_num_​
49	1010501	1	2	2	1		0.01	60202002_1	4119001	5	16	1	战斗员被红色情绪克制伤害减少_num_	戰鬥員被紅色情緒克制傷害減少_num_	Counter DMG received from Red Pathos Combatant -_num_	不利属性・レッドの敵から受けるダメージ−_num_	전투원의 레드 이모션 역상성으로 인한 대미지 -_num_	​ดาเมจ​ชนะทาง​พาโธส​แดง​ที่​ตัวละคร​ได้​รับ​ -_num_
50	1010501	2	2	2	1		0.02	60202002_2	4119001	5	25	1	战斗员被红色情绪克制伤害减少_num_	戰鬥員被紅色情緒克制傷害減少_num_	Counter DMG received from Red Pathos Combatant -_num_	不利属性・レッドの敵から受けるダメージ−_num_	전투원의 레드 이모션 역상성으로 인한 대미지 -_num_	​ดาเมจ​ชนะทาง​พาโธส​แดง​ที่​ตัวละคร​ได้​รับ​ -_num_
51	1010501	3	2	2	1		0.03	60202002_3	4119001	6	32	1	战斗员被红色情绪克制伤害减少_num_	戰鬥員被紅色情緒克制傷害減少_num_	Counter DMG received from Red Pathos Combatant -_num_	不利属性・レッドの敵から受けるダメージ−_num_	전투원의 레드 이모션 역상성으로 인한 대미지 -_num_	​ดาเมจ​ชนะทาง​พาโธส​แดง​ที่​ตัวละคร​ได้​รับ​ -_num_
52	1010501	4	2	2	1		0.04	60202002_4	4119001	6	38	1	战斗员被红色情绪克制伤害减少_num_	戰鬥員被紅色情緒克制傷害減少_num_	Counter DMG received from Red Pathos Combatant -_num_	不利属性・レッドの敵から受けるダメージ−_num_	전투원의 레드 이모션 역상성으로 인한 대미지 -_num_	​ดาเมจ​ชนะทาง​พาโธส​แดง​ที่​ตัวละคร​ได้​รับ​ -_num_
53	1010501	5	2	2	1		0.05	60202002_5	4119001	7	43	1	战斗员被红色情绪克制伤害减少_num_	戰鬥員被紅色情緒克制傷害減少_num_	Counter DMG received from Red Pathos Combatant -_num_	不利属性・レッドの敵から受けるダメージ−_num_	전투원의 레드 이모션 역상성으로 인한 대미지 -_num_	​ดาเมจ​ชนะทาง​พาโธส​แดง​ที่​ตัวละคร​ได้​รับ​ -_num_
54	1010502	1	2	1	3		0.01	60302002_1	4119001	5	16	1	战斗员被蓝色情绪克制伤害减少_num_	戰鬥員被藍色情緒克制傷害減少_num_	Counter DMG received from Blue Pathos Combatant -_num_	不利属性・ブルーの敵から受けるダメージ−_num_	전투원의 블루 이모션 역상성으로 인한 대미지 -_num_	​ดาเมจ​ชนะ​ทาง​พาโธส​น้ำเงิน​ที่​ตัวละคร​ได้​รับ​ -_num_
55	1010502	2	2	1	3		0.02	60302002_2	4119001	5	25	1	战斗员被蓝色情绪克制伤害减少_num_	戰鬥員被藍色情緒克制傷害減少_num_	Counter DMG received from Blue Pathos Combatant -_num_	不利属性・ブルーの敵から受けるダメージ−_num_	전투원의 블루 이모션 역상성으로 인한 대미지 -_num_	​ดาเมจ​ชนะ​ทาง​พาโธส​น้ำเงิน​ที่​ตัวละคร​ได้​รับ​ -_num_
56	1010502	3	2	1	3		0.03	60302002_3	4119001	6	32	1	战斗员被蓝色情绪克制伤害减少_num_	戰鬥員被藍色情緒克制傷害減少_num_	Counter DMG received from Blue Pathos Combatant -_num_	不利属性・ブルーの敵から受けるダメージ−_num_	전투원의 블루 이모션 역상성으로 인한 대미지 -_num_	​ดาเมจ​ชนะ​ทาง​พาโธส​น้ำเงิน​ที่​ตัวละคร​ได้​รับ​ -_num_
57	1010502	4	2	1	3		0.04	60302002_4	4119001	6	38	1	战斗员被蓝色情绪克制伤害减少_num_	戰鬥員被藍色情緒克制傷害減少_num_	Counter DMG received from Blue Pathos Combatant -_num_	不利属性・ブルーの敵から受けるダメージ−_num_	전투원의 블루 이모션 역상성으로 인한 대미지 -_num_	​ดาเมจ​ชนะ​ทาง​พาโธส​น้ำเงิน​ที่​ตัวละคร​ได้​รับ​ -_num_
58	1010502	5	2	1	3		0.05	60302002_5	4119001	7	43	1	战斗员被蓝色情绪克制伤害减少_num_	戰鬥員被藍色情緒克制傷害減少_num_	Counter DMG received from Blue Pathos Combatant -_num_	不利属性・ブルーの敵から受けるダメージ−_num_	전투원의 블루 이모션 역상성으로 인한 대미지 -_num_	​ดาเมจ​ชนะ​ทาง​พาโธส​น้ำเงิน​ที่​ตัวละคร​ได้​รับ​ -_num_
59	1010503	1	2	3	2		0.01	60102002_1	4119001	5	16	1	战斗员被绿色情绪克制伤害减少_num_	戰鬥員被綠色情緒克制傷害減少_num_	Counter DMG received from Green Pathos Combatant -_num_	不利属性・グリーンの敵から受けるダメージ－−_num_	전투원의 그린 이모션 역상성으로 인한 대미지 -_num_	​ดาเมจ​ชนะ​ทาง​พาโธส​เขียว​ที่​ตัวละคร​ได้​รับ​ -_num_
60	1010503	2	2	3	2		0.02	60102002_2	4119001	5	25	1	战斗员被绿色情绪克制伤害减少_num_	戰鬥員被綠色情緒克制傷害減少_num_	Counter DMG received from Green Pathos Combatant -_num_	不利属性・グリーンの敵から受けるダメージ－−_num_	전투원의 그린 이모션 역상성으로 인한 대미지 -_num_	​ดาเมจ​ชนะ​ทาง​พาโธส​เขียว​ที่​ตัวละคร​ได้​รับ​ -_num_
61	1010503	3	2	3	2		0.03	60102002_3	4119001	6	32	1	战斗员被绿色情绪克制伤害减少_num_	戰鬥員被綠色情緒克制傷害減少_num_	Counter DMG received from Green Pathos Combatant -_num_	不利属性・グリーンの敵から受けるダメージ－−_num_	전투원의 그린 이모션 역상성으로 인한 대미지 -_num_	​ดาเมจ​ชนะ​ทาง​พาโธส​เขียว​ที่​ตัวละคร​ได้​รับ​ -_num_
62	1010503	4	2	3	2		0.04	60102002_4	4119001	6	38	1	战斗员被绿色情绪克制伤害减少_num_	戰鬥員被綠色情緒克制傷害減少_num_	Counter DMG received from Green Pathos Combatant -_num_	不利属性・グリーンの敵から受けるダメージ－−_num_	전투원의 그린 이모션 역상성으로 인한 대미지 -_num_	​ดาเมจ​ชนะ​ทาง​พาโธส​เขียว​ที่​ตัวละคร​ได้​รับ​ -_num_
63	1010503	5	2	3	2		0.05	60102002_5	4119001	7	43	1	战斗员被绿色情绪克制伤害减少_num_	戰鬥員被綠色情緒克制傷害減少_num_	Counter DMG received from Green Pathos Combatant -_num_	不利属性・グリーンの敵から受けるダメージ－−_num_	전투원의 그린 이모션 역상성으로 인한 대미지 -_num_	​ดาเมจ​ชนะ​ทาง​พาโธส​เขียว​ที่​ตัวละคร​ได้​รับ​ -_num_
64	1010601	1	3	1			0.005		4119001	12	18	1	初始品质为R的战斗员提供的助战位加成提升_num_	初始品質為R的戰鬥員提供的助戰位加成提升_num_	Assist Bonus provided by the Combatant with an initial Grade of R +_num_	レアリティRの戦闘員からのサポートボーナス＋_num_	태생 등급이 R인 전투원이 제공하는 서포터 버프 +_num_	โบนัส​ช่อง​ซัพพอร์ต​ของ​ตัวละคร​ที่​มีระดับ​เริ่มต้น​ R​ +_num_​
