talentId	type	floor	location	preId	preLevel	iconType	icon	map_line	systemId	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	nameDes	nameDes_zh_TW	nameDes_en_UK	nameDes_ja_JP	nameDes_ko_KR	nameDes_th_TH
1010403	3	4	3	1010301	1	0	169:talent_restrain	Line_3_3_0		1	克制增强·蓝II	克制增強·藍II	Counter Boost - Blue II	有利属性アップ･ブルーII	상성 증가·블루II	เสริมพลังพาโธส·น้ำเงิน II	对红色情绪克制加成	對紅色情緒克制加成	Counter Bonus against Red Pathos.	レッド属性に対する有利アップ	레드 이모션에 대한 상성 증가	โบนัสชนะทางพาโธสสีแดง
1010501	3	5	1	1010401	1	0	169:talent_restrain	Line_3_1_0		1	被红克制降低II	被紅克制降低II	Red Pathos Counter Down II	有利属性ダウン･レッドII	레드 이모션에 의한 역상성 디버프II	แพ้ทางสีแดงลดลง II	受红色情绪克制降低	受紅色情緒克制降低	DMG taken from Red Pathos enemies reduced.	レッド属性による有利ダウン	레드 이모션에 의한 역상성 디버프	แพ้ทางพาโธสสีแดงลดลง
1010502	3	5	2	1010402	1	0	169:talent_restrain	Line_3_1_0		1	被蓝克制降低II	被藍克制降低II	Blue Pathos Counter Down II	有利属性ダウン･ブルーII	블루 이모션에 의한 역상성 디버프II	แพ้ทางสีน้ำเงินลดลง II	受蓝色情绪克制降低	受藍色情緒克制降低	DMG taken from Blue Pathos enemies reduced.	ブルー属性による有利ダウン	블루 이모션에 의한 역상성 디버프	การแพ้ทางพาโธสสีน้ำเงินลดลง
1010503	3	5	3	1010403	1	0	169:talent_restrain	Line_3_1_0		1	被绿克制降低II	被綠克制降低II	Green Pathos Counter Down II	有利属性ダウン･グリーンII	그린 이모션에 의한 역상성 디버프II	แพ้ทางสีเขียวลดลง II	受绿色情绪克制降低	受綠色情緒克制降低	DMG taken from Green Pathos enemies reduced.	グリーン属性による有利ダウン	그린 이모션에 의한 역상성 디버프	การแพ้ทางพาโธสสีเขียวลดลง
1010601	3	6	1	1010501;1010502;1010503	1;1;1	1	169:talent_relation	Line_1_3_0		1	助战提升II	助戰提升II	Assist Bonus II	サポートボーナスII	서포터 버프II	ซัพพอร์ตเพิ่มขึ้น II	助战位属性加成	助戰位屬性加成	The Assist Combatants will get stats bonus.	支援属性アップ	서포터 속성 버프	โบนัสคุณสมบัติช่องซัพพอร์ต
1010701	3	7	1	1010601	1	0	169:talent_restrain	Line_3_3_0		1	克制增强·绿III	克制增強·綠III	Counter Boost - Green III	有利属性アップ･グリーンIII	상성 증가·그린III	เสริมพลังพาโธส·เขียว III	对蓝色情绪克制加成	對藍色情緒克制加成	Counter Bonus against Blue Pathos.	ブルー属性に対する有利アップ	블루 이모션에 대한 상성 증가	โบนัสชนะทางพาโธสสีน้ำเงิน
1010702	3	7	2	1010601	1	0	169:talent_restrain	Line_3_3_0		1	克制增强·红III	克制增強·紅III	Counter Boost - Red III	有利属性アップ･レッドIII	상성 증가·레드III	เสริมพลังพาโธส·แดง III	对绿色情绪克制加成	對綠色情緒克制加成	Counter Bonus against Green Pathos.	グリーン属性に対する有利アップ	그린 이모션에 대한 상성 증가	โบนัสชนะทางพาโธสสีเขียว
1010703	3	7	3	1010601	1	0	169:talent_restrain	Line_3_3_0		1	克制增强·蓝III	克制增強·藍III	Counter Boost - Blue III	有利属性アップ･ブルーIII	상성 증가·블루III	เสริมพลังพาโธส·น้ำเงิน III	对红色情绪克制加成	對紅色情緒克制加成	Counter Bonus against Red Pathos.	レッド属性に対する有利アップ	레드 이모션에 대한 상성 증가	โบนัสชนะทางพาโธสสีแดง
1010801	3	8	1	1010701	1	0	169:talent_restrain	Line_3_1_0		1	被红克制降低III	被紅克制降低III	Red Pathos Counter Down III	有利属性ダウン･レッドIII	레드 이모션에 의한 역상성 디버프III	แพ้ทางสีแดงลดลง III	受红色情绪克制降低	受紅色情緒克制降低	DMG taken from Red Pathos enemies reduced.	レッド属性による有利ダウン	레드 이모션에 의한 역상성 디버프	แพ้ทางพาโธสสีแดงลดลง
1010802	3	8	2	1010702	1	0	169:talent_restrain	Line_3_1_0		1	被蓝克制降低III	被藍克制降低III	Blue Pathos Counter Down III	有利属性ダウン･ブルーIII	블루 이모션에 의한 역상성 디버프III	แพ้ทางสีน้ำเงินลดลง III	受蓝色情绪克制降低	受藍色情緒克制降低	DMG taken from Blue Pathos enemies reduced.	ブルー属性による有利ダウン	블루 이모션에 의한 역상성 디버프	การแพ้ทางพาโธสสีน้ำเงินลดลง
1010803	3	8	3	1010703	1	0	169:talent_restrain	Line_3_1_0		1	被绿克制降低III	被綠克制降低III	Green Pathos Counter Down III	有利属性ダウン･グリーンIII	그린 이모션에 의한 역상성 디버프III	แพ้ทางสีเขียวลดลง III	受绿色情绪克制降低	受綠色情緒克制降低	DMG taken from Green Pathos enemies reduced.	グリーン属性による有利ダウン	그린 이모션에 의한 역상성 디버프	การแพ้ทางพาโธสสีเขียวลดลง
1010901	3	9	1	1010801;1010802;1010803	1;1;1	1	169:talent_relation	Line_1_3_0		1	助战提升III	助戰提升III	Assist Bonus III	サポートボーナスIII	서포터 버프III	ซัพพอร์ตเพิ่มขึ้น III	助战位属性加成	助戰位屬性加成	The Assist Combatants will get stats bonus.	支援属性アップ	서포터 속성 버프	โบนัสคุณสมบัติช่องซัพพอร์ต
1011001	3	10	1	1010901	1	0	169:talent_restrain	Line_3_3_0		1	克制增强·绿IV	克制增強·綠IV	Counter Boost - Green IV	有利属性アップ･グリーンIV	상성 증가·그린IV	เสริมพลังพาโธส·เขียว IV	对蓝色情绪克制加成	對藍色情緒克制加成	Counter Bonus against Blue Pathos.	ブルー属性に対する有利アップ	블루 이모션에 대한 상성 증가	โบนัสชนะทางพาโธสสีน้ำเงิน
1011002	3	10	2	1010901	1	0	169:talent_restrain	Line_3_3_0		1	克制增强·红IV	克制增強·紅IV	Counter Boost - Red IV	有利属性アップ･レッドIV	상성 증가·레드IV	เสริมพลังพาโธส·แดง IV	对绿色情绪克制加成	對綠色情緒克制加成	Counter Bonus against Green Pathos.	グリーン属性に対する有利アップ	그린 이모션에 대한 상성 증가	โบนัสชนะทางพาโธสสีเขียว
1011003	3	10	3	1010901	1	0	169:talent_restrain	Line_3_3_0		1	克制增强·蓝IV	克制增強·藍IV	Counter Boost - Blue IV	有利属性アップ･ブルーIV	상성 증가·블루IV	เสริมพลังพาโธส·น้ำเงิน IV	对红色情绪克制加成	對紅色情緒克制加成	Counter Bonus against Red Pathos.	レッド属性に対する有利アップ	레드 이모션에 대한 상성 증가	โบนัสชนะทางพาโธสสีแดง
1011101	3	11	1	1011001	1	0	169:talent_restrain	Line_3_1_0		1	被红克制降低IV	被紅克制降低IV	Red Pathos Counter Down IV	有利属性ダウン･レッドIV	레드 이모션에 의한 역상성 디버프IV	แพ้ทางสีแดงลดลง IV	受红色情绪克制降低	受紅色情緒克制降低	DMG taken from Red Pathos enemies reduced.	レッド属性による有利ダウン	레드 이모션에 의한 역상성 디버프	แพ้ทางพาโธสสีแดงลดลง
1011102	3	11	2	1011002	1	0	169:talent_restrain	Line_3_1_0		1	被蓝克制降低IV	被藍克制降低IV	Blue Pathos Counter Down IV	有利属性ダウン･ブルーIV	블루 이모션에 의한 역상성 디버프IV	แพ้ทางสีน้ำเงินลดลง IV	受蓝色情绪克制降低	受藍色情緒克制降低	DMG taken from Blue Pathos enemies reduced.	ブルー属性による有利ダウン	블루 이모션에 의한 역상성 디버프	การแพ้ทางพาโธสสีน้ำเงินลดลง
1011103	3	11	3	1011003	1	0	169:talent_restrain	Line_3_1_0		1	被绿克制降低IV	被綠克制降低IV	Green Pathos Counter Down IV	有利属性ダウン･グリーンIV	그린 이모션에 의한 역상성 디버프IV	แพ้ทางสีเขียวลดลง IV	受绿色情绪克制降低	受綠色情緒克制降低	DMG taken from Green Pathos enemies reduced.	グリーン属性による有利ダウン	그린 이모션에 의한 역상성 디버프	การแพ้ทางพาโธสสีเขียวลดลง
1011201	3	12	1	1011101;1011102;1011103	1;1;1	1	169:talent_relation	Line_1_3_0		1	助战提升IV	助戰提升IV	Assist Bonus IV	サポートボーナスIV	서포터 버프IV	ซัพพอร์ตเพิ่มขึ้น IV	助战位属性加成	助戰位屬性加成	The Assist Combatants will get stats bonus.	支援属性アップ	서포터 속성 버프	โบนัสคุณสมบัติช่องซัพพอร์ต
1011301	3	13	1	1011201	1	0	169:talent_restrain	Line_3_3_0		1	克制增强·绿V	克制增強·綠V	Counter Boost - Green V	有利属性アップ･グリーンV	상성 증가·그린V	เสริมพลังพาโธส·เขียว V	对蓝色情绪克制加成	對藍色情緒克制加成	Counter Bonus against Blue Pathos.	ブルー属性に対する有利アップ	블루 이모션에 대한 상성 증가	โบนัสชนะทางพาโธสสีน้ำเงิน
1011302	3	13	2	1011201	1	0	169:talent_restrain	Line_3_3_0		1	克制增强·红V	克制增強·紅V	Counter Boost - Red V	有利属性アップ･レッドV	상성 증가·레드V	เสริมพลังพาโธส·แดง V	对绿色情绪克制加成	對綠色情緒克制加成	Counter Bonus against Green Pathos.	グリーン属性に対する有利アップ	그린 이모션에 대한 상성 증가	โบนัสชนะทางพาโธสสีเขียว
1011303	3	13	3	1011201	1	0	169:talent_restrain	Line_3_3_0		1	克制增强·蓝V	克制增強·藍V	Counter Boost - Blue V	有利属性アップ･ブルーV	상성 증가·블루V	เสริมพลังพาโธส·น้ำเงิน V	对红色情绪克制加成	對紅色情緒克制加成	Counter Bonus against Red Pathos.	レッド属性に対する有利アップ	레드 이모션에 대한 상성 증가	โบนัสชนะทางพาโธสสีแดง
1011401	3	14	1	1011301	1	0	169:talent_restrain	Line_3_1_0		1	被红克制降低V	被紅克制降低V	Red Pathos Counter Down V	有利属性ダウン･レッドV	레드 이모션에 의한 역상성 디버프V	แพ้ทางสีแดงลดลง V	受红色情绪克制降低	受紅色情緒克制降低	DMG taken from Red Pathos enemies reduced.	レッド属性による有利ダウン	레드 이모션에 의한 역상성 디버프	แพ้ทางพาโธสสีแดงลดลง
1011402	3	14	2	1011302	1	0	169:talent_restrain	Line_3_1_0		1	被蓝克制降低V	被藍克制降低V	Blue Pathos Counter Down V	有利属性ダウン･ブルーV	블루 이모션에 의한 역상성 디버프V	แพ้ทางสีน้ำเงินลดลง V	受蓝色情绪克制降低	受藍色情緒克制降低	DMG taken from Blue Pathos enemies reduced.	ブルー属性による有利ダウン	블루 이모션에 의한 역상성 디버프	การแพ้ทางพาโธสสีน้ำเงินลดลง
1011403	3	14	3	1011303	1	0	169:talent_restrain	Line_3_1_0		1	被绿克制降低V	被綠克制降低V	Green Pathos Counter Down V	有利属性ダウン･グリーンV	그린 이모션에 의한 역상성 디버프V	แพ้ทางสีเขียวลดลง V	受绿色情绪克制降低	受綠色情緒克制降低	DMG taken from Green Pathos enemies reduced.	グリーン属性による有利ダウン	그린 이모션에 의한 역상성 디버프	การแพ้ทางพาโธสสีเขียวลดลง
1011501	3	15	1	1011401;1011402;1011403	1;1;1	1	169:talent_relation	Line_1_3_0		1	助战提升V	助戰提升V	Assist Bonus V	サポートボーナスV	서포터 버프V	ซัพพอร์ตเพิ่มขึ้น V	助战位属性加成	助戰位屬性加成	The Assist Combatants will get stats bonus.	支援属性アップ	서포터 속성 버프	โบนัสคุณสมบัติช่องซัพพอร์ต
1011601	3	16	1	1011501	1	0	169:talent_restrain	Line_3_3_0		1	克制增强·绿VI	克制增強·綠VI	Counter Boost - Green VI	有利属性アップ･グリーンVI	상성 증가·그린VI	เสริมพลังพาโธส·เขียว VI	对蓝色情绪克制加成	對藍色情緒克制加成	Counter Bonus against Blue Pathos.	ブルー属性に対する有利アップ	블루 이모션에 대한 상성 증가	โบนัสชนะทางพาโธสสีน้ำเงิน
1011602	3	16	2	1011501	1	0	169:talent_restrain	Line_3_3_0		1	克制增强·红VI	克制增強·紅VI	Counter Boost - Red VI	有利属性アップ･レッドVI	상성 증가·레드VI	เสริมพลังพาโธส·แดง VI	对绿色情绪克制加成	對綠色情緒克制加成	Counter Bonus against Green Pathos.	グリーン属性に対する有利アップ	그린 이모션에 대한 상성 증가	โบนัสชนะทางพาโธสสีเขียว
1011603	3	16	3	1011501	1	0	169:talent_restrain	Line_3_3_0		1	克制增强·蓝VI	克制增強·藍VI	Counter Boost - Blue VI	有利属性アップ･ブルーVI	상성 증가·블루VI	เสริมพลังพาโธส·น้ำเงิน VI	对红色情绪克制加成	對紅色情緒克制加成	Counter Bonus against Red Pathos.	レッド属性に対する有利アップ	레드 이모션에 대한 상성 증가	โบนัสชนะทางพาโธสสีแดง
1011701	3	17	1	1011601	1	0	169:talent_restrain			1	被红克制降低VI	被紅克制降低VI	Red Pathos Counter Down VI	有利属性ダウン･レッドVI	레드 이모션에 의한 역상성 디버프VI	แพ้ทางสีแดงลดลง VI	受红色情绪克制降低	受紅色情緒克制降低	DMG taken from Red Pathos enemies reduced.	レッド属性による有利ダウン	레드 이모션에 의한 역상성 디버프	แพ้ทางพาโธสสีแดงลดลง
1011702	3	17	2	1011602	1	0	169:talent_restrain			1	被蓝克制降低VI	被藍克制降低VI	Blue Pathos Counter Down VI	有利属性ダウン･ブルーVI	블루 이모션에 의한 역상성 디버프VI	แพ้ทางสีน้ำเงินลดลง VI	受蓝色情绪克制降低	受藍色情緒克制降低	DMG taken from Blue Pathos enemies reduced.	ブルー属性による有利ダウン	블루 이모션에 의한 역상성 디버프	การแพ้ทางพาโธสสีน้ำเงินลดลง
1011703	3	17	3	1011603	1	0	169:talent_restrain			1	被绿克制降低VI	被綠克制降低VI	Green Pathos Counter Down VI	有利属性ダウン･グリーンVI	그린 이모션에 의한 역상성 디버프VI	แพ้ทางสีเขียวลดลง VI	受绿色情绪克制降低	受綠色情緒克制降低	DMG taken from Green Pathos enemies reduced.	グリーン属性による有利ダウン	그린 이모션에 의한 역상성 디버프	การแพ้ทางพาโธสสีเขียวลดลง
1020101	1	1	1			0	169:talent_atk	Line_3_1_0		1	攻击提升I	攻擊提升I	ATK Boost I	攻撃力アップI	공격력 증가I	เพิ่ม ATK I	攻击力提升	攻擊力提升	ATK Boost	攻撃力アップ	공격력 증가	ATK เพิ่มขึ้น
1020102	1	1	2			0	169:talent_def	Line_3_1_0		1	防御提升I	防禦提升I	DEF Boost I	防御力アップI	방어력 증가I	เพิ่ม DEF I	防御力提升	防禦力提升	DEF Boost	防御力アップ	방어력 증가	DEF เพิ่มขึ้น
1020103	1	1	3			0	169:talent_health	Line_3_1_0		1	生命提升I	生命提升I	HP Boost I	最大HPアップI	HP 증가I	เพิ่ม HP I	生命值提升	生命值提升	HP Boost	最大HPアップ	HP 증가	HP เพิ่มขึ้น
1020201	1	2	1	1020101;1020102;1020103	1;1;1	1	169:talent_critDamagePoint	Line_1_3_0		1	暴伤提升I	爆傷提升I	CRIT DMG Boost I	会心ダメージアップI	크리티컬 대미지 증가I	เพิ่มดาเมจคริติคอล I	暴击伤害提升	爆擊傷害提升	CRIT DMG Boost	会心ダメージアップ	크리티컬 대미지 증가	ดาเมจคริติคอลเพิ่มขึ้น
1020401	1	3	1	1020201	1	0	169:talent_atk	Line_3_1_0		1	攻击提升II	攻擊提升II	ATK Boost II	攻撃力アップII	공격력 증가II	เพิ่ม ATK II	攻击力提升	攻擊力提升	ATK Boost	攻撃力アップ	공격력 증가	ATK เพิ่มขึ้น
1020402	1	3	2	1020201	1	0	169:talent_def	Line_3_1_0		1	防御提升II	防禦提升II	DEF Boost II	防御力アップII	방어력 증가II	เพิ่ม DEF II	防御力提升	防禦力提升	DEF Boost	防御力アップ	방어력 증가	DEF เพิ่มขึ้น
1020403	1	3	3	1020201	1	0	169:talent_health	Line_3_1_0		1	生命提升II	生命提升II	HP Boost II	最大HPアップII	HP 증가II	เพิ่ม HP II	生命值提升	生命值提升	HP Boost	最大HPアップ	HP 증가	HP เพิ่มขึ้น
1020501	1	4	1	1020401;1020402;1020403	1;1;1	1	169:talent_critDamagePoint	Line_1_2_0		1	暴伤提升II	爆傷提升II	CRIT DMG Boost II	会心ダメージアップIII	크리티컬 대미지 증가II	เพิ่มดาเมจคริติคอล II	暴击伤害提升	爆擊傷害提升	CRIT DMG Boost	会心ダメージアップ	크리티컬 대미지 증가	ดาเมจคริติคอลเพิ่มขึ้น
1020601	1	5	1	1020501	1	0	169:talent_invasion	Line_2_1_0	2003	1	协力战增伤	協力戰增傷	Invasion DMG Boost	協同作戦ダメージアップ	협력전 대미지 증가	เพิ่มดาเมจผนึกกำลัง	协力战伤害加成	協力戰傷害加成	Grants bonus DMG in the Invasion.	協同作戦ダメージアップ	협력전 대미지 버프	โบนัสดาเมจผนึกกำลัง
1020602	1	5	2	1020501	1	0	169:talent_invasion	Line_2_1_0	2003	1	协力战生存	協力戰生存	Invasion Survival	協同作戦生存	협력전 생존	อยู่รอดในผนึกกำลัง	协力战受伤降低	協力戰受傷降低	Reduces DMG taken in the Invasion.	協同作戦被ダメージダウン	협력전 적용 대미지 감소	ลดดาเมจที่ได้รับในผนึกกำลัง
1020701	1	6	1	1020601;1020602	1;1	1	169:talent_clanBus	Line_1_2_0	4005	1	猫猫骰子I	貓貓骰子I	Whisker Dice I	サイコロI	냥냥 주사위I	ลูกเต๋าแมว I	猫猫巴士骰子重置次数	貓貓巴士骰子重置次數	Dice's reset chances in Urban Whisker Chase.	ニャンコバスサイコロリセット回数	냥냥 버스 주사위 초기화 횟수	จำนวนครั้งการรีเซ็ตลูกเต๋ารถบัสเหมียว
1020801	1	7	1	1020701	1	0	169:talent_worldBoss	Line_2_1_0	14	1	首领增伤	首領增傷	Boss DMG Boost	BOSSダメージアップ	보스 대미지 증가	เพิ่มดาเมจบอส	世界首领伤害加成	世界首領傷害加成	Increases DMG to World Bosses.	ワールドBOSSダメージアップ	월드 보스 부여 대미지 증가	โบนัสดาเมจเวิลด์บอส
1020802	1	7	2	1020701	1	0	169:talent_worldBoss	Line_2_1_0	14	1	首领生存	首領生存	Boss Survival	BOSS生存	보스 생존	อยู่รอดจากบอส	世界首领受伤降低	世界首領受傷降低	Reduces DMG taken from World Bosses.	ワールド被ダメージダウン	월드 보스 적용 대미지 감소	ลดดาเมจที่ได้รับจากเวิลด์บอส
1020901	1	8	1	1020801;1020802	1;1	1	169:talent_clanBus	Line_1_2_0	4005	1	猫猫骰子II	貓貓骰子II	Whisker Dice II	サイコロII	냥냥 주사위II	ลูกเต๋าแมว II	猫猫巴士骰子重置次数	貓貓巴士骰子重置次數	Dice's reset chances in Urban Whisker Chase.	ニャンコバスサイコロリセット回数	냥냥 버스 주사위 초기화 횟수	จำนวนครั้งการรีเซ็ตลูกเต๋ารถบัสเหมียว
1021001	1	9	1	1020901	1	0	169:talent_nightmare	Line_2_2_0	2019	1	噩梦回响增伤I	噩夢迴響增傷I	Nightmare's Call Boost I	悪夢回想ダメージアップI	나이트메어 대미지 증가I	DMG+ เสียงสะท้อน I	噩梦回响伤害加成	噩夢迴響傷害加成	Damage boost in Nightmare's Call.	悪夢回想ダメージアップ	나이트메어 대미지 버프	โบนัสดาเมจเสียงสะท้อนฝันร้าย
1021002	1	9	2	1020901	1	0	169:talent_nightmare	Line_2_2_0	2019	1	噩梦回响生存I	噩夢迴響生存I	Nightmare's Call Survival	悪夢回想生存I	나이트메어 생존I	รอดตายในเสียงสะท้อน I	噩梦回响受伤降低	噩夢迴響受傷降低	Reduces DMG taken in Nightmare's Call.	悪夢回想被ダメージダウン	나이트메어 적용 대미지 감소	ลดดาเมจที่ได้รับในเสียงสะท้อนฝันร้าย
1021101	1	10	1	1021001	1	0	169:talent_nightmare	Line_2_1_0	2019	1	噩梦回响增伤II	噩夢迴響增傷II	Nightmare's Call Boost II	悪夢回想ダメージアップII	나이트메어 대미지 증가II	DMG+ เสียงสะท้อน II	噩梦回响伤害加成	噩夢迴響傷害加成	Damage boost in Nightmare's Call.	悪夢回想ダメージアップ	나이트메어 대미지 버프	โบนัสดาเมจเสียงสะท้อนฝันร้าย
1021102	1	10	2	1021002	1	0	169:talent_nightmare	Line_2_1_0	2019	1	噩梦回响生存II	噩夢迴響生存II	Nightmare's Call Survival II	悪夢回想生存II	나이트메어 생존II	อยู่รอดในเสียงสะท้อน II	噩梦回响受伤降低	噩夢迴響受傷降低	Reduces DMG taken in Nightmare's Call.	悪夢回想被ダメージダウン	나이트메어 적용 대미지 감소	ลดดาเมจที่ได้รับในเสียงสะท้อนฝันร้าย
1021201	1	11	1	1021101;1021102	1;1	1	169:talent_PVP	Line_1_2_0	2017	1	幻影特训上限	幻影特訓上限	Master Duel Limit	ファントム特訓上限	팬텀 특훈장 상한	ขีดจำกัดแฟนธอม	幻影特训证上限	幻影特訓證上限	Maximum Master Duel Tickets.	ファントム特訓券上限	팬텀 특훈 입장권 상한	ขีดจำกัดพาสแฟนธอม
1021301	1	12	1	1021201	1	0	169:talent_clanBoss	Line_2_2_0	4004	1	社团特训增伤I	社團特訓增傷I	Clan Campaign Boost I	ギルド特訓ダメージアップI	클럽 트레이닝 대미지 증가I	DMG+ ฝึกพิเศษชมรม I	社团特训中伤害加成	社團特訓中傷害加成	DMG boost in Clan Campaigns.	ギルド特訓ダメージアップ	클럽 트레이닝 대미지 버프	โบนัสดาเมจในการฝึกพิเศษของชมรม
1021302	1	12	2	1021201	1	0	169:talent_clanBoss	Line_2_2_0	4004	1	社团特训生存I	社團特訓生存I	Clan Campaign Survival I	ギルド特訓生存I	클럽 트레이닝 생존I	อยู่รอดในฝึกพิเศษชมรม I	社团特训中受伤降低	社團特訓中受傷降低	Reduces DMG taken in Clan Campaigns.	ギルド特訓被ダメージダウン	클럽 트레이닝 적용되는 대미지 감소	ลดดาเมจในการฝึกพิเศษของชมรม
1021401	1	13	1	1021301	1	0	169:talent_clanBoss	Line_2_1_0	4004	1	社团特训增伤II	社團特訓增傷II	Clan Campaign Boost II	ギルド特訓ダメージアップII	클럽 트레이닝 대미지 증가II	DMG+ ฝึกพิเศษชมรม II	社团特训中伤害加成	社團特訓中傷害加成	DMG boost in Clan Campaigns.	ギルド特訓ダメージアップ	클럽 트레이닝 대미지 버프	โบนัสดาเมจในการฝึกพิเศษของชมรม
1021402	1	13	2	1021302	1	0	169:talent_clanBoss	Line_2_1_0	4004	1	社团特训生存II	社團特訓生存II	Clan Campaign Survival II	ギルド特訓生存II	클럽 트레이닝 생존II	อยู่รอดในฝึกพิเศษชมรม II	社团特训中受伤降低	社團特訓中受傷降低	Reduces DMG taken in Clan Campaigns.	ギルド特訓被ダメージダウン	클럽 트레이닝 적용되는 대미지 감소	ลดดาเมจในการฝึกพิเศษของชมรม
1021501	1	14	1	1021401;1021402	1;1	1	169:talent_PVP		2007	1	幻影斗技上限	幻影鬥技上限	Phantom Clash Limit	ファントム闘技上限	팬텀 투기장 상한	ขีดจำกัดแฟนธอมอารีน่า	幻影斗技证上限	幻影鬥技證上限	Maximum Phantom Clash Tickets.	ファントム闘技券上限	팬텀 투기장 입장권 상한	ขีดจำกัดพาสแฟนธอมอารีน่า
1030101	2	1	1			0	169:talent_order	Line_2_1_0	3003	1	外卖增产I	外賣增產I	Delivery Boost I	出前報酬UPI	배달 획득량 증가I	กำไรส่งอาหาร+ I	外卖奖励产出加成	外賣獎勵產出加成	Delivery reward bonus.	出前報酬増加	배달 보상 획득량 증가	โบนัสผลผลิตรางวัลส่งอาหาร
1030102	2	1	2			0	169:talent_order	Line_2_1_0	3003	1	外卖增效I	外賣增效I	Delivery Efficiency I	出前効率UPI	배달 효율 상승I	ส่งอาหาร+ I	外卖员消耗心情值降低	外賣員消耗心情值降低	Reduces delivery's Mood cost.	気分値消費減少	배송원 이모션 파워 소모 감소	ใช้ค่าสภาพจิตใจของไรเดอร์ลดลง
