id	chapter	monsteType	unlockNum	level	exp	cardExp	proposalLevel	costItem	costNum	costNumLose	SceneId	rounds	roleNun	status	label	label_zh_TW	label_en_UK	label_ja_JP	label_ko_KR	label_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	effect	effect_zh_TW	effect_en_UK	effect_ja_JP	effect_ko_KR	effect_th_TH
303020	303	1	303010	0	28	0	210000	3000004	10	0	72303	8	4	1	3-2	3-2	3-2	3-2	3-2	3-2	困难3-2	困難3-2	Hard 3-2	HARD3-2	하드3-2	ยาก 3-2	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
303030	303	1	303020	0	28	0	210000	3000004	10	0	73803	8	4	1	3-3	3-3	3-3	3-3	3-3	3-3	困难3-3	困難3-3	Hard 3-3	HARD3-3	하드3-3	ยาก 3-3	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
303040	303	3	303030	0	56	0	240000	3000004	20	0	75901	8	4	1	3-4	3-4	3-4	3-4	3-4	3-4	困难3-4	困難3-4	Hard 3-4	HARD3-4	하드3-4	ยาก 3-4	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
304010	304	1	303040	0	32	0	250000	3000004	10	0	73403	8	4	1	4-1	4-1	4-1	4-1	4-1	4-1	困难4-1	困難4-1	Hard 4-1	HARD4-1	하드4-1	ยาก 4-1	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
304020	304	1	304010	0	32	0	250000	3000004	10	0	76201	8	4	1	4-2	4-2	4-2	4-2	4-2	4-2	困难4-2	困難4-2	Hard 4-2	HARD4-2	하드4-2	ยาก 4-2	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
304030	304	1	304020	0	48	0	250000	3000004	10	0	73404	8	4	1	4-3	4-3	4-3	4-3	4-3	4-3	困难4-3	困難4-3	Hard 4-3	HARD4-3	하드4-3	ยาก 4-3	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
304040	304	3	304030	0	32	0	280000	3000004	20	0	70803	8	4	1	4-4	4-4	4-4	4-4	4-4	4-4	困难4-4	困難4-4	Hard 4-4	HARD4-4	하드4-4	ยาก 4-4	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
305010	305	1	304040	0	32	0	290000	3000004	10	0	70402	8	4	1	5-1	5-1	5-1	5-1	5-1	5-1	困难5-1	困難5-1	Hard 5-1	HARD5-1	하드5-1	ยาก 5-1	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
305020	305	1	305010	0	64	0	290000	3000004	10	0	71401	8	4	1	5-2	5-2	5-2	5-2	5-2	5-2	困难5-2	困難5-2	Hard 5-2	HARD5-2	하드5-2	ยาก 5-2	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
305030	305	1	305020	0	36	0	290000	3000004	10	0	70403	8	4	1	5-3	5-3	5-3	5-3	5-3	5-3	困难5-3	困難5-3	Hard 5-3	HARD5-3	하드5-3	ยาก 5-3	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
305040	305	3	305030	0	36	0	310000	3000004	20	0	71402	8	4	1	5-4	5-4	5-4	5-4	5-4	5-4	困难5-4	困難5-4	Hard 5-4	HARD5-4	하드5-4	ยาก 5-4	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
306010	306	1	305040	0	32	0	320000	3000004	10	0	71403	8	4	1	6-1	6-1	6-1	6-1	6-1	6-1	困难6-1	困難6-1	Hard 6-1	HARD6-1	하드6-1	ยาก 6-1	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
306020	306	1	306010	0	64	0	320000	3000004	10	0	73405	8	4	1	6-2	6-2	6-2	6-2	6-2	6-2	困难6-2	困難6-2	Hard 6-2	HARD6-2	하드6-2	ยาก 6-2	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
306030	306	1	306020	0	36	0	320000	3000004	10	0	73805	8	4	1	6-3	6-3	6-3	6-3	6-3	6-3	困难6-3	困難6-3	Hard 6-3	HARD6-3	하드6-3	ยาก 6-3	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
306040	306	3	306030	0	36	0	340000	3000004	20	0	73901	8	4	1	6-4	6-4	6-4	6-4	6-4	6-4	困难6-4	困難6-4	Hard 6-4	HARD6-4	하드6-4	ยาก 6-4	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
307010	307	1	306040	0	54	0	350000	3000004	10	0	71101	8	4	1	7-1	7-1	7-1	7-1	7-1	7-1	困难7-1	困難7-1	Hard 7-1	HARD7-1	하드7-1	ยาก 7-1	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
307020	307	1	307010	0	36	0	350000	3000004	10	0	75301	8	4	1	7-2	7-2	7-2	7-2	7-2	7-2	困难7-2	困難7-2	Hard 7-2	HARD7-2	하드7-2	ยาก 7-2	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
307030	307	1	307020	0	36	0	350000	3000004	10	0	75302	8	4	1	7-3	7-3	7-3	7-3	7-3	7-3	困难7-3	困難7-3	Hard 7-3	HARD7-3	하드7-3	ยาก 7-3	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
307040	307	3	307030	0	72	0	370000	3000004	20	0	71102	8	4	1	7-4	7-4	7-4	7-4	7-4	7-4	困难7-4	困難7-4	Hard 7-4	HARD7-4	하드7-4	ยาก 7-4	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
308010	308	1	307040	0	40	0	380000	3000004	10	0	80701	8	4	1	8-1	8-1	8-1	8-1	8-1	8-1	困难8-1	困難8-1	Hard 8-1	HARD8-1	하드8-1	ยาก 8-1	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
308020	308	1	308010	0	40	0	380000	3000004	10	0	80707	8	4	1	8-2	8-2	8-2	8-2	8-2	8-2	困难8-2	困難8-2	Hard 8-2	HARD8-2	하드8-2	ยาก 8-2	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
308030	308	1	308020	0	60	0	380000	3000004	10	0	80710	8	4	1	8-3	8-3	8-3	8-3	8-3	8-3	困难8-3	困難8-3	Hard 8-3	HARD8-3	하드8-3	ยาก 8-3	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
308040	308	3	308030	0	40	0	400000	3000004	20	0	80711	8	4	1	8-4	8-4	8-4	8-4	8-4	8-4	困难8-4	困難8-4	Hard 8-4	HARD8-4	하드8-4	ยาก 8-4	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
