id	type	listImageId	listImageB	listImageS	image	desc	head	weather	bgm	music	plotIdGroup1	taskPlotId	taskPlotEndId	plotIdGroup2	plotIdWave1	plotIdEndWave1	plotIdWave2	plotIdEndWave2	plotIdWave3	plotIdEndWave3	plotIdGroup3	plotIdRound	plotIdRounds	status	address1	address1_zh_TW	address1_en_UK	address1_ja_JP	address1_ko_KR	address1_th_TH	address2	address2_zh_TW	address2_en_UK	address2_ja_JP	address2_ko_KR	address2_th_TH
101060	2	01_06	29:story_list_01_06	29:story_list_01_06	57:dialg_bg_16	1001061	1;101008;102008;108008;20023;1028;1029	1			0	0	0		1001061	1001064;1001063	0	0	0	0	0	1	1001062	1	南港区	南港區	Southport	南港区	사우스포트	เขตทะเลใต้	街道	街道	Street	ストリート	거리	ถนน
101070	3	01_07	29:main_task_story	29:main_task_story	57:main_task_bg	0	1;101008;102008;108008	1	bgm_story01_inter		0	0	0		0	0	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
101080	2	01_08	29:story_list_01_08	29:story_list_01_08	57:dialg_bg_13	1001081	1;101008;102008;108008;20023	1	bgm_plot_trust01		0	0	0		1001081	1001083	0	0	0	0	0	0	0	1	南港区	南港區	Southport	南港区	사우스포트	เขตทะเลใต้	街道	街道	Street	ストリート	거리	ถนน
101090	2	01_09	29:story_list_01_09	29:story_list_01_09	57:story_cg_150_1	1001091	1;101008;102008;108008;20023	1			0	0	0		1001091	0	0	1001093	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
101100	1	01_10	29:story_list_01_10	29:story_list_01_10	57:story_cg_119_1	1001101	1;101008;102008;108008;20023	1	bgm_op_dream		0	0	0	1001101	0	0	0	0	0	0		0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
101101	2	02_01	29:story_list_02_01	29:story_list_02_01	57:story_cg_127_1	1002011	1;108008;20035;20020	1			0	0	0		1002011	0	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
101102	3	01_07	29:main_task_story	29:main_task_story	57:main_task_bg	0	1;101008;102008;108008	1			0	0	0		0	0	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
101110	3	02_02	29:main_task_story	29:main_task_story	57:main_task_bg	0	1;101008;102008;108008	1			0	0	0		0	0	0	0	0	0		0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
101111	3	01_07	29:main_task_story	29:main_task_story	57:main_task_bg	0	1;101008;102008;108008	1			0	0	0		0	0	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
101120	3	02_03	29:main_task_story	29:main_task_story	57:main_task_bg	0	1;101008;102008;108008	1	bgm_plot_trust01		0	0	0		0	0	0	0	0	0		0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	柴郡猫乐园	柴郡貓樂園	The Cheshire Cat Park	チェシャ猫ランド	체셔 캣 랜드	สวนสนุกเชสเชียร์
101170	2	02_08	29:story_list_02_08	29:story_list_02_08	57:dialg_bg_327	1002081	1;101008;102008;108008	1	bgm_op_strange		0	0	0	0	1002081	1002083	0	0	0	0		0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	柴郡猫乐园	柴郡貓樂園	The Cheshire Cat Park	チェシャ猫ランド	체셔 캣 랜드	สวนสนุกเชสเชียร์
101180	2	02_09	29:story_list_02_09	29:story_list_02_09	57:dialg_bg_340	1002091	1;101008;102008;108008;129008;20004	1	bgm_plot_trust01		0	0	0	0	1002091	1002093	0	0	0	0		0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	柴郡猫乐园	柴郡貓樂園	The Cheshire Cat Park	チェシャ猫ランド	체셔 캣 랜드	สวนสนุกเชสเชียร์
101190	2	02_10	29:story_list_02_10	29:story_list_02_10	57:story_cg_053_9	1002100	1;101008;102008;108008;129008;20035	1	bgm_universal_survey01		0	0	0	0	1002100	0	0	0	0	0		0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
102010	4	03_01	29:story_list_01_01	29:story_list_01_01	57:dialg_bg_335	1003010	1;101008;102008;108008	1			0	1003010	0		0	0	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
102020	3	03_02	29:main_task_story	29:main_task_story	57:main_task_bg	0	1;101008;102008;108008	1			0	0	0		0	0	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
102050	3	03_05	29:main_task_story	29:main_task_story	57:main_task_bg	0	1;101008;102008;108008	1			0	0	0	0		0	0	0	0	0	0	0	0	1	中心区	中心區	Central District	中央区	센트럴 타운	เขตศูนย์กลาง	暴风眼训练大厅	暴風眼訓練大廳	StormEye Training Hall	ストームアイ訓練場	스톰아이 트레이닝 홀	โถงฝึกใหญ่สตอร์มอาย
102060	3	01_07	29:main_task_story	29:main_task_story	57:main_task_bg	0	1;101008;102008;108008	1	bgm_battle_BF04		0	0	0		0	0	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
102070	2	03_08	29:story_list_03_08	29:story_list_03_08	57:story_cg_045_1	1003071	1;101008;102008;108008;115008;20023	1	bgm_bg_gx_tower01		0	0	0		1003071	0	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
102080	2	03_09	29:story_list_03_09	29:story_list_03_09	57:dialg_bg_28	1003081	1;101008;102008;108008;115008;20023	1	bgm_universal_songforyou		0	0	0		1003081	1003083	0	0	0	0	0	0	0	1	中心区	中心區	Central District	中央区	센트럴 타운	เขตศูนย์กลาง	情绪干预中心	情緒干預中心	Emotion Remedy Center	エモーションリメディセンター	이모션 컨트롤 센터	ศูนย์เยียวยาพาโธซิส
102090	2	03_10	29:story_list_03_10	29:story_list_03_10	57:story_cg_153_1	1003091	1;101008;102008;103008;108008;20023	1			0	0	0		1003091	0	0	0	0	0	0	0	0	1	中心区	中心區	Central District	中央区	센트럴 타운	เขตศูนย์กลาง	情绪干预中心	情緒干預中心	Emotion Remedy Center	エモーションリメディセンター	이모션 컨트롤 센터	ศูนย์เยียวยาพาโธซิส
102100	3	03_11	29:main_task_story	29:main_task_story	57:main_task_bg	0	1;101008;102008;108008	1			0	0	0		0	0	0	0	0	0	0	0	0	1	中心区	中心區	Central District	中央区	센트럴 타운	เขตศูนย์กลาง	情绪干预中心	情緒干預中心	Emotion Remedy Center	エモーションリメディセンター	이모션 컨트롤 센터	ศูนย์เยียวยาพาโธซิส
102110	3	03_12	29:main_task_story	29:main_task_story	57:main_task_bg	0	1;101008;102008;108008	1			0	0	0		0	0	0	0	0	0	0	0	0	1	中心区	中心區	Central District	中央区	센트럴 타운	เขตศูนย์กลาง	情绪干预中心	情緒干預中心	Emotion Remedy Center	エモーションリメディセンター	이모션 컨트롤 센터	ศูนย์เยียวยาพาโธซิส
102130	3	03_14	29:main_task_story	29:main_task_story	57:main_task_bg	0	1;101008;102008;108008	1	bgm_role_qi		0	0	0		0	0	0	0	0	0	0	0	0	1	中心区	中心區	Central District	中央区	센트럴 타운	เขตศูนย์กลาง	情绪干预中心	情緒干預中心	Emotion Remedy Center	エモーションリメディセンター	이모션 컨트롤 센터	ศูนย์เยียวยาพาโธซิส
102140	2	03_15	29:story_list_03_15	29:story_list_03_15	57:story_cg_123_1	1003141	1;127008;136008	1	bgm_plot_trust01		0	0	0		1003141	0	0	1003143	0	0	0	0	0	1	中心区	中心區	Central District	中央区	센트럴 타운	เขตศูนย์กลาง	情绪干预中心	情緒干預中心	Emotion Remedy Center	エモーションリメディセンター	이모션 컨트롤 센터	ศูนย์เยียวยาพาโธซิส
102150	2	03_16	29:story_list_03_16	29:story_list_03_16	57:story_cg_154_1	1003151	1;101008;102008;108008;20023	1	bgm_plot_taskstar01		0	0	0		1003151	0	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
102160	2	03_17	29:story_list_03_17	29:story_list_03_17	57:story_cg_155_1	1003161	1;101008;102008;104008;108008;121008;4006	1			0	0	0		1003161	1003163	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
102161	3	01_07	29:main_task_story	29:main_task_story	57:main_task_bg	0	1;101008;102008;104008;108008	1			0	0	0		0	0	0	0	0	0	0	0	0	1	南港区	南港區	Southport	南港区	사우스포트	เขตทะเลใต้	街道	街道	Street	ストリート	거리	ถนน
102170	3	04_01	29:main_task_story	29:main_task_story	57:main_task_bg	0	1;101008;102008;104008;108008	1			0	0	0			0	0	0	0	0	0	0	0	1	南港区	南港區	Southport	南港区	사우스포트	เขตทะเลใต้	街道	街道	Street	ストリート	거리	ถนน
102180	3	04_02	29:main_task_story	29:main_task_story	57:main_task_bg	0	1;101008;102008;104008;108008	1			0	0	0			0	0	0	0	0	0	0	0	1	南港区	南港區	Southport	南港区	사우스포트	เขตทะเลใต้	街道	街道	Street	ストリート	거리	ถนน
102190	3	04_03	29:main_task_story	29:main_task_story	57:main_task_bg	0	1;101008;102008;104008;108008	1			0	0	0			0	0	0	0	0	0	0	0	1	南港区	南港區	Southport	南港区	사우스포트	เขตทะเลใต้	街道	街道	Street	ストリート	거리	ถนน
102210	2	04_05	29:story_list_04_05	29:story_list_04_05	57:story_cg_156_1	1004051	1;101008;102008;104008;108008	1			0	0	0		1004051	1004053	0	0	0	0	0	0	0	1	南港区	南港區	Southport	南港区	사우스포트	เขตทะเลใต้	街道	街道	Street	ストリート	거리	ถนน
102211	3	04_06	29:main_task_story	29:main_task_story	57:main_task_bg	0	1;101008;102008;104008;108008	1			0	0	0			0	0	0	0	0	0	0	0	1	南港区	南港區	Southport	南港区	사우스포트	เขตทะเลใต้	街道	街道	Street	ストリート	거리	ถนน
102220	3	04_07	29:main_task_story	29:main_task_story	57:main_task_bg	0	1;101008;102008;104008;108008	1	bgm_plot_trust01		0	0	0			0	0	0	0	0	0	0	0	1	南港区	南港區	Southport	南港区	사우스포트	เขตทะเลใต้	街道	街道	Street	ストリート	거리	ถนน
102250	2	04_10	29:story_list_04_10	29:story_list_04_10	57:story_cg_120_1	1004091	1;101008;102008;104008;108008;110008;141008	1	bgm_universal_survey01		0	0	0		1004091	1004093	0	0	0	0	0	0	0	1	南港区	南港區	Southport	南港区	사우스포트	เขตทะเลใต้	白猫侦探社	白貓偵探社	Furrmeow Detectives	白猫探偵社	화이트캣 탐정사무소	สำนักงานนักสืบไวท์แคท
102260	2	04_11	29:story_list_04_11	29:story_list_04_11	57:dialg_bg_338	1004101	1;101008;102008;104008;108008	1			0	0	0		1004101	1004103	0	0	0	0	0	0	0	1	南港区	南港區	Southport	南港区	사우스포트	เขตทะเลใต้	白猫侦探社	白貓偵探社	Furrmeow Detectives	白猫探偵社	화이트캣 탐정사무소	สำนักงานนักสืบไวท์แคท
102261	3	01_07	29:main_task_story	29:main_task_story	57:main_task_bg	0	1;101008;102008;104008;108008	1	bgm_op_strange		0	0	0		0	0	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
102270	2	04_12	29:story_list_04_12	29:story_list_04_12	57:dialg_bg_266	1004111	1;101008;102008;104008;108008	1			0	0	0		1004111	0	0	1004113	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
102310	3	04_16	29:main_task_story	29:main_task_story	57:main_task_bg	0	1;101008;102008;104008;108008	1	bgm_bg_gx_tower01		0		0		0	0	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	五城广场	五城廣場	Quintupolis Plaza	五城広場	펜타폴리스	จัตุรัสควินซ์
103001	2	04_15	29:story_list_04_15	29:story_list_04_15	57:dialg_bg_224	1004141	1;101008;102008;104008;108008	1	bgm_plot_trust01		0	0	0		1004141	1004143	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	五城广场	五城廣場	Quintupolis Plaza	五城広場	펜타폴리스	จัตุรัสควินซ์
103010	2	05_01	29:story_list_05_01	29:story_list_05_01	57:story_cg_158_1	1005011	1;101008;102008;103008;108008;20023	1			0	0	0	0	1005011	1005013	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
103030	3	05_03	29:main_task_story	29:main_task_story	57:main_task_bg	0	1;101008;102008;108008	1			0	0	0	0	0	0	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
103040	3	05_04	29:main_task_story	29:main_task_story	57:main_task_bg	0	1;101008;102008;108008	1			0	0	0	0	0	0	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
103050	3	05_05	29:main_task_story	29:main_task_story	57:main_task_bg	0	1;101008;102008;108008	1			0	0	0	0	0	0	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
103060	3	05_06	29:main_task_story	29:main_task_story	57:main_task_bg	0	1;101008;102008;108008	1	bgm_plot_trust01		0	0	0	0	0	0	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
103070	2	05_07	29:story_list_05_07	29:story_list_05_07	57:story_cg_157_1	1005071	1;101008;102008;108008	1	bgm_plot_trust01		0	0	0		1005071	1005073	0	0	0	0	0	0	0	1	南港区	南港區	Southport	南港区	사우스포트	เขตทะเลใต้	星光儿童福利院	星光兒童福利院	Starlight Orphanage	児童養護施設スターライト	홀리라이트 아동 복지 센터	สถานสงเคราะห์​สตาร์​ไช​น์​
103080	4	05_08	29:story_list_05_08	29:story_list_05_08	57:story_cg_053_10	1005080	1;101008;102008;104008;108008;120008;20023	1	bgm_bg_gx_tower01		0	0	0	1005080	0	0	0	0	0	0	0	0	0	1	南港区	南港區	Southport	南港区	사우스포트	เขตทะเลใต้	工厂	工廠	Factory	工場	공장	โรงงาน
103090	2	05_09	29:story_list_05_09	29:story_list_05_09	57:story_cg_161_1	1005091	1;102008;104008;108008;130008	1	bgm_story01_inter		0	0	0		1005091	1005093	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
103100	2	05_10	29:story_list_05_10	29:story_list_05_10	57:story_cg_113_1	1005101	1;101008;102008;103008;104008;108008;20023;20035	1			0	0	0	0	1005101	0	0	0	0	0	0	0	0	1	南港区	南港區	Southport	南港区	사우스포트	เขตทะเลใต้	星光儿童福利院	星光兒童福利院	Starlight Orphanage	児童養護施設スターライト	홀리라이트 아동 복지 센터	สถานสงเคราะห์​สตาร์​ไช​น์​
103110	3	05_11	29:main_task_story	29:main_task_story	57:main_task_bg	0	1;101008;102008;104008;108008	1	bgm_plot_evil01		0	0	0	0	0	0	0	0	0	0	0	0	0	1	南港区	南港區	Southport	南港区	사우스포트	เขตทะเลใต้	星光儿童福利院	星光兒童福利院	Starlight Orphanage	児童養護施設スターライト	홀리라이트 아동 복지 센터	สถานสงเคราะห์​สตาร์​ไช​น์​
103140	2	05_14	29:story_list_05_14	29:story_list_05_14	57:story_cg_162_1	1005141	1;101008;102008;103008;104008;108008	1	bgm_universal_survey01		0	0	0	0	1005141	1005143	0	0	0	0	0	0	0	1	南港区	南港區	Southport	南港区	사우스포트	เขตทะเลใต้	星光儿童福利院	星光兒童福利院	Starlight Orphanage	児童養護施設スターライト	홀리라이트 아동 복지 센터	สถานสงเคราะห์​สตาร์​ไช​น์​
103150	2	05_15	29:story_list_05_15	29:story_list_05_15	57:dialg_bg_334	1005151	1;101008;102008;103008;104008;108008;20023;20035;20020	1			0	0	0	0	1005151	1005153	0	0	0	0	0	0	0	1	南港区	南港區	Southport	南港区	사우스포트	เขตทะเลใต้	街道	街道	Street	ストリート	거리	ถนน
103170	3	05_17	29:main_task_story	29:main_task_story	57:main_task_bg	0	1;101008;102008;104008;108008	1			0	0	0	0	0	0	0	0	0	0	0	0	0	1	南港区	南港區	Southport	南港区	사우스포트	เขตทะเลใต้	街道	街道	Street	ストリート	거리	ถนน
103180	3	05_18	29:main_task_story	29:main_task_story	57:main_task_bg	0	1;101008;102008;104008;108008	1			0	0	0	0		0	0	0	0	0	0	0	0	1	南港区	南港區	Southport	南港区	사우스포트	เขตทะเลใต้	街道	街道	Street	ストリート	거리	ถนน
103190	3	05_19	29:main_task_story	29:main_task_story	57:main_task_bg	0	1;101008;102008;104008;108008	1	bgm_op_strange		0	0	0	0	0	0	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
103200	2	05_20	29:story_list_05_20	29:story_list_05_20	57:story_cg_164_1	1005201	1;101008;108008	1	bgm_bg_gx_tower01		0	0	0		1005201	0	0	0	0	0	0	0	0	1	中心区	中心區	Central District	中央区	센트럴 타운	เขตศูนย์กลาง	情绪干预中心	情緒干預中心	Emotion Remedy Center	エモーションリメディセンター	이모션 컨트롤 센터	ศูนย์เยียวยาพาโธซิส
103210	2	05_21	29:story_list_05_21	29:story_list_05_21	57:story_cg_165_1	1005211	1;101008	1	bgm_bg_gx_tower01		0	0	0		1005211	0	0	0	0	0	0	0	0	1	中心区	中心區	Central District	中央区	센트럴 타운	เขตศูนย์กลาง	情绪干预中心	情緒干預中心	Emotion Remedy Center	エモーションリメディセンター	이모션 컨트롤 센터	ศูนย์เยียวยาพาโธซิส
103220	4	05_22	29:story_list_05_22	29:story_list_05_22	57:story_cg_121_1	1005220	1;101008;20023;20035	1			0	0	0	1005220	0	0	0	0	0	0	0	0	0	1	中心区	中心區	Central District	中央区	센트럴 타운	เขตศูนย์กลาง	情绪干预中心	情緒干預中心	Emotion Remedy Center	エモーションリメディセンター	이모션 컨트롤 센터	ศูนย์เยียวยาพาโธซิส
103230	3	05_23	29:main_task_story	29:main_task_story	57:main_task_bg	0	1;101008	1	bgm_universal_survey01		0	0	0	0		0	0	0	0	0	0	0	0	1	中心区	中心區	Central District	中央区	센트럴 타운	เขตศูนย์กลาง	情绪干预中心	情緒干預中心	Emotion Remedy Center	エモーションリメディセンター	이모션 컨트롤 센터	ศูนย์เยียวยาพาโธซิส
103250	4	05_25	29:story_list_05_25	29:story_list_05_25	57:story_cg_167_1	1005251	1;101008;102008;108008;110008	1	bgm_world_boss		0	0	0	1005251	0	0	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
103260	2	05_26	29:story_list_05_26	29:story_list_05_26	57:story_cg_168_1	1005261	1;101008;102008;103008;20023;20035	1	bgm_op_strange		0	0	0	0	1005261	0	0	1005263	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
104010	1	06_01	29:story_list_06_01	29:story_list_06_01	57:story_cg_171_1	1006010	1	1			0	0	0	1006010	0	0	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
104020	3	06_02	29:main_task_story	29:main_task_story	57:main_task_bg	0	1;108008	1			0	0	0	0	0	0	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
104030	3	06_03	29:main_task_story	29:main_task_story	57:main_task_bg	0	1;108008	1	bgm_bg_gx_tower01		0	0	0	0	0	0	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
104040	2	06_04	29:story_list_06_04	29:story_list_06_04	57:story_cg_172_1	1006041	1;101008;102008;104008;108008	1	bgm_story01_inter		0	0	0	0	1006041	1006043	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
104050	2	06_05	29:story_list_06_05	29:story_list_06_05	57:story_cg_116_6	1006051	1;101008;102008;104008;108008;20023	1			0	0	0	0	1006051	0	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
104060	3	06_06	29:main_task_story	29:main_task_story	57:main_task_bg	0	1;101008;102008;104008;108008	1	bgm_op_strange		0	0	0	0	0	0	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
