id	task	chapter	monsteType	type	monsterShow	unlockNum	level	teamlevel	costNum	costNumLose	exp	cardExp	battleRules	proposalLevel	costItem	SceneId	rounds	petLineup	roleRestrictions	roleNun	powerMin	powerRatioTeamID	status	label	label_zh_TW	label_en_UK	label_ja_JP	label_ko_KR	label_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
102100	101	103	1	3		102090	0	0	0	0	0		1	16000	3000004	10801	99	0	0	4	0	11	1	3-8	3-8	3-8	3-8	3-8	3-8	厨艺钻研	廚藝鑽研	Culinary Research	料理の腕を磨く	요리 연구	วิจัยอาหาร
102110	206	103	1	3		102100	0	0	0	0	0		1	16000	3000004	10801	99	0	0	4	0	11	1	3-9	3-9	3-9	3-9	3-9	3-9	心意相通	心意相通	Minds in Sync	通じ合う心	마음이 통하다	ใจเชื่อมถึงกัน
102130	207	103	1	3		102110	0	0	0	0	0		1	17000	3000004	10801	99	0	0	4	0	11	1	3-10	3-10	3-10	3-10	3-10	3-10	战力提升	戰力提升	Power Boost	戦闘力を高める	전투력 증가	เพิ่มพลัง
102140	0	103	3	2		102130	0	0	14	1	15	300	12	20000	3000004	75901	99	0	0	4	0	15	1	3-11	3-11	3-11	3-11	3-11	3-11	梦女郎	夢女郎	Lady from the Dream	夢での出会い	꿈속의 여인	สาวในความฝัน
102150	0	104	1	2		102140	0	0	9	1	10	200	1	20000	3000004	73401	99	0	0	4	0	11	1	4-1	4-1	4-1	4-1	4-1	4-1	调查重启	調查重啟	Investigation Restart	調査再起動	조사 재시작	เริ่มสืบสวนอีกครั้ง
102160	0	104	1	2		102150	0	0	9	1	10	200	1	20000	3000004	73402	99	10216	0	4	0	11	1	4-2	4-2	4-2	4-2	4-2	4-2	老朋友	老朋友	Old Friend	旧友	옛 친구	เพื่อนเก่า
102161	104	104	1	3		102160	0	0	0	0	0		1	21800	3000004	10801	99	0	0	4	0	11	1	4-3	4-3	4-3	4-3	4-3	4-3	外卖送餐	外賣送餐	Food Delivery	出前	배달	เดลิเวอรี่
102170	209	104	1	3		102161	0	0	0	0	0		1	21800	3000004	10801	99	0	0	4	0	11	1	4-4	4-4	4-4	4-4	4-4	4-4	猫球制作	貓球製作	Cato Creation	ガト製作	냥냥볼 제작	สร้างแคทบอล
102180	210	104	1	3		102170	0	0	0	0	0		1	21800	3000004	10801	99	0	0	4	0	11	1	4-5	4-5	4-5	4-5	4-5	4-5	该工作了	該工作了	Time for Work	仕事の時間だ	일할 시간이야	ได้เวลาทำงาน
102190	211	104	1	3		102180	0	0	0	0	0		1	21800	3000004	10801	99	0	0	4	0	11	1	4-6	4-6	4-6	4-6	4-6	4-6	猫球培养	貓球培養	Cato Training	ガト育成	냥냥볼 육성	พัฒนาแคทบอล
102210	0	104	1	2		102190	0	0	9	1	10	200	12	22800	3000004	73403	99	0	0	4	0	11	1	4-7	4-7	4-7	4-7	4-7	4-7	记忆回环	記憶回環	Loop of Memory	記憶の輪	기억 회귀	ลูปความทรงจำ
102211	212	104	1	3		102210	0	0	0	0	0		1	23800	3000004	10801	99	0	0	4	0	11	1	4-8	4-8	4-8	4-8	4-8	4-8	沉入梦境	沉入夢境	Into the Dream	夢に沈む	꿈결에 잠기다	ดิ่งสู่ห้วงความฝัน
102220	213	104	1	3		102211	0	0	0	0	0		1	23800	3000004	10801	99	0	0	4	0	11	1	4-9	4-9	4-9	4-9	4-9	4-9	战力提升	戰力提升	Power Boost	戦闘力を高める	전투력 증가	เพิ่มพลัง
102250	0	104	1	2		102220	0	0	9	1	10	200	1	23800	3000004	76201	99	0	0	4	0	11	1	4-10	4-10	4-10	4-10	4-10	4-10	白猫侦探社	白貓偵探社	Furrmeow Detectives	白猫探偵社	화이트캣 탐정사무소	สำนักงานนักสืบไวท์แคท
102260	0	104	1	2		102250	0	0	9	1	10	200	12	23800	3000004	73404	99	10221	0	4	0	11	1	4-11	4-11	4-11	4-11	4-11	4-11	被遗忘的过去	被遺忘的過去	Forgotten Past	忘れられた過去	잊혀진 과거	อดีตที่ถูกลืม
102261	214	104	1	3		102260	0	0	9	1	10	200	1	26800	3000004	10801	99	0	0	4	0	11	1	4-12	4-12	4-12	4-12	4-12	4-12	战斗员突破	戰鬥員突破	Ascension	戦闘員突破	전투원 돌파	ปลดลิมิตตัวละคร
102270	0	104	3	2		102261	0	0	14	1	15	300	12	26800	3000004	70803	99	0	0	4	0	16	1	4-13	4-13	4-13	4-13	4-13	4-13	绪能乱流	緒能亂流	Pathos Whirl	エネルギーの乱流	이모션 에너지 폭주	พลังงานพาโธสปั่นป่วน
102310	215	105	1	3		102270	0	0	0	0	0		1	27800	3000004	10801	99	0	0	4	0	11	1	5-1	5-1	5-1	5-1	5-1	5-1	训练挑战	訓練挑戰	Training Challenge	訓練挑戦	훈련 도전	ความท้าทายในการฝึก
103001	0	105	1	2		102310	0	0	9	1	10	200	1	27800	3000004	70402	99	0	0	4	0	11	1	5-2	5-2	5-2	5-2	5-2	5-2	工厂怪谈	工廠怪談	Factory Paranormals	工場怪談	공장 괴담	เรื่องประหลาดโรงงาน
103010	0	105	1	2		103001	0	0	9	1	10	200	1	27800	3000004	72203	99	0	0	4	0	11	1	5-3	5-3	5-3	5-3	5-3	5-3	甜梦	甜夢	Sweet Dreams	甘い夢	달콤한 꿈	ฝันหวาน
103030	106	105	1	3		103010	0	0	0	0	0		1	29300	3000004	30101	99	0	0	4	0	11	1	5-4	5-4	5-4	5-4	5-4	5-4	外卖送餐	外賣送餐	Food Delivery	出前	배달	เดลิเวอรี่
103040	302	105	1	3		103030	0	0	0	0	0		1	29300	3000004	20401	99	0	0	4	0	11	1	5-5	5-5	5-5	5-5	5-5	5-5	时装提升	時裝提升	Outfit Upgrade	外観育成	스킨 레벨업	อัปเกรดคอสตูม
103050	303	105	1	3		103040	0	0	0	0	0		1	29300	3000004	10801	99	0	0	4	0	11	1	5-6	5-6	5-6	5-6	5-6	5-6	餐厅升级	餐廳升級	Cafe Upgrade	レストランレベルアップ	카페테리아 레벨업	อัปเกรดคาเฟ่
103060	304	105	1	3		103050	0	0	0	0	0		1	29300	3000004	10801	99	0	0	4	0	11	1	5-7	5-7	5-7	5-7	5-7	5-7	餐厅装修	餐廳裝修	Cafe Decoration	インテリア	인테리어	ตกแต่งร้าน
103070	0	105	1	2		103060	0	0	9	1	10	200	1	29300	3000004	71401	99	0	0	4	0	11	1	5-8	5-8	5-8	5-8	5-8	5-8	避难所	避難所	The Sanctuary	避難所	피난소	ที่หลบภัย
103080	208	105	1	4		103070	0	0	0	0	0		1	29300	3000004	10701	99	0	0	4	0	11	1	5-9	5-9	5-9	5-9	5-9	5-9	再次约定	再次約定	The Commitment Renewed	再びの約束	다시 약속	นัดกันอีกครั้ง
103090	0	105	1	2		103080	0	0	9	1	10	200	1	29300	3000004	70403	99	10309	0	4	0	11	1	5-10	5-10	5-10	5-10	5-10	5-10	好与坏	好與壞	Good or Bad	良いことと悪いこと	좋고 나쁨	ความดีและความชั่ว
103100	0	105	3	2		103090	0	0	9	1	10	200	12	30800	3000004	71402	99	0	0	4	0	11	1	5-11	5-11	5-11	5-11	5-11	5-11	伙伴	夥伴	Partners	仲間	동료	คู่หู
103110	305	106	1	3		103100	0	0	0	0	0		1	31800	3000004	10801	99	0	0	4	0	11	1	6-1	6-1	6-1	6-1	6-1	6-1	佩戴装备	佩戴裝備	Gear Up	装備着用	착용 장비	ติดตั้งอุปกรณ์
103140	0	106	1	2		103110	0	0	9	1	10	200	1	31800	3000004	71403	99	10314	0	4	0	11	1	6-2	6-2	6-2	6-2	6-2	6-2	背叛	背叛	Betrayal	裏切り	배신	ทรยศ
103150	0	106	1	2		103140	0	0	9	1	10	200	1	32800	3000004	73405	99	0	0	4	0	11	1	6-3	6-3	6-3	6-3	6-3	6-3	仇敌	仇敵	Adversary	宿敵	원수	คู่อริ
103170	306	106	1	3		103150	0	0	0	0	0		1	33800	3000004	10801	99	0	0	4	0	11	1	6-4	6-4	6-4	6-4	6-4	6-4	装备强化	裝備強化	Gear Enhancement	装備強化	장비 강화	ตีบวกอุปกรณ์
103180	307	106	1	3		103170	0	0	0	0	0		1	33800	3000004	12301	99	0	0	4	0	11	1	6-5	6-5	6-5	6-5	6-5	6-5	装备强化	裝備強化	Gear Enhancement	装備強化	장비 강화	ตีบวกอุปกรณ์
103190	308	106	1	3		103180	0	0	0	0	0		1	34800	3000004	10801	99	0	0	4	0	11	1	6-6	6-6	6-6	6-6	6-6	6-6	装备强化	裝備強化	Gear Enhancement	装備強化	장비 강화	ตีบวกอุปกรณ์
103200	0	106	1	2		103190	0	0	9	1	10	200	1	34800	3000004	73804	99	0	0	4	0	11	1	6-7	6-7	6-7	6-7	6-7	6-7	秘密基地	秘密基地	Secret Base	秘密基地	아지트	ฐานลับ
103210	0	106	1	2		103200	0	0	9	1	10	200	1	34800	3000004	73805	99	0	0	4	0	11	1	6-8	6-8	6-8	6-8	6-8	6-8	深埋地下	深埋地下	Buried Deep	地下深くに	매장된 것들	ฝังลึกใต้ดิน
103220	301	106	1	4		103210	0	0	0	0	0		1	35800	3000004	10801	99	0	0	4	0	11	1	6-9	6-9	6-9	6-9	6-9	6-9	逃离	逃離	Escape	脱出	탈출	หลบหนี
103230	309	106	1	3		103220	0	0	0	0	0		1	35800	3000004	10801	99	0	0	4	0	11	1	6-10	6-10	6-10	6-10	6-10	6-10	训练挑战	訓練挑戰	Training Challenge	訓練挑戦	훈련 도전	ความท้าทายในการฝึก
103250	205	106	1	4		103230	0	0	0	0	0		1	35800	3000004	10801	99	0	0	4	0	11	1	6-11	6-11	6-11	6-11	6-11	6-11	模糊的线索	模糊的線索	Vague Clues	曖昧な手がかり	흐릿한 단서	เบาะแสคลุมเครือ
103260	0	106	3	2		103250	0	0	14	1	15	300	12	36800	3000004	73901	99	0	1	4	0	17	1	6-12	6-12	6-12	6-12	6-12	6-12	兔子先生的告别	兔子先生的告別	Mr. Rabbit's Farewell	さようなら、うさぎさん	미스터래빗의 작별인사	คำอำลาของ\nคุณกระต่าย
104010	0	107	1	1		103260	0	0	9	1	10	200	1	36800	3000004	20401	99	0	0	4	0	11	1	7-1	7-1	7-1	7-1	7-1	7-1	纯白者	純白者	Lightveil	純白者	퓨어화이트	ผู้ปลอดพาโธซิส
104020	401	107	1	3		104010	0	0	0	0	0		1	36800	3000004	10801	99	0	0	4	0	11	1	7-2	7-2	7-2	7-2	7-2	7-2	离岛空运	離島空運	Air Express	離島空便	항공 운송	ขนส่งทางอากาศ
104030	402	107	1	3		104020	0	0	0	0	0		1	36800	3000004	10801	99	0	0	4	0	11	1	7-3	7-3	7-3	7-3	7-3	7-3	小费商店	小費商店	Tips	心付け	팁 상점	ร้านค้าทิป
104040	0	107	1	2		104030	0	0	9	1	10	200	1	36800	3000004	72204	99	0	0	4	0	11	1	7-4	7-4	7-4	7-4	7-4	7-4	信任危机	信任危機	Crisis of Trust	信頼の危機	믿음의 위기	วิกฤตศรัทธา
104050	0	107	1	2		104040	0	0	9	1	10	200	1	36800	3000004	72205	99	0	0	4	0	11	1	7-5	7-5	7-5	7-5	7-5	7-5	抉择	抉擇	Choice	選定	선택	ทางเลือก
104060	403	107	1	3		104050	0	0	0	0	0		1	38800	3000004	30301	99	0	0	4	0	11	1	7-6	7-6	7-6	7-6	7-6	7-6	战力提升	戰力提升	Power Boost	戦闘力を高める	전투력 증가	เพิ่มพลัง
104070	0	107	1	2		104060	0	0	9	1	10	200	1	38800	3000004	72304	99	0	0	4	0	11	1	7-7	7-7	7-7	7-7	7-7	7-7	遗留的心愿	遺留的心願	A Lingering Wish	残された願い	남겨진 소원	ความปรารถนาที่ถูกทิ้ง
104080	0	107	1	2		104070	0	0	9	1	10	200	1	38800	3000004	71101	99	0	0	4	0	11	1	7-8	7-8	7-8	7-8	7-8	7-8	陷阱	陷阱	The Trap	罠	함정	กับดัก
104090	0	107	3	2		104080	0	0	9	1	10	200	12	40800	3000004	71102	99	0	0	4	0	18	1	7-9	7-9	7-9	7-9	7-9	7-9	喘息	喘息	Respite	息切れ	숨 돌리기	หอบ
104100	404	107	1	3		104090	0	0	0	0	0		1	42800	3000004	30301	99	0	0	4	0	11	1	7-10	7-10	7-10	7-10	7-10	7-10	战力提升	戰力提升	Power Boost	戦闘力を高める	전투력 증가	เพิ่มพลัง
104110	405	107	1	3		104100	0	0	0	0	0		1	42800	3000004	20401	99	0	0	4	0	11	1	7-11	7-11	7-11	7-11	7-11	7-11	协力战	協力戰	Invasion	協同作戦	협력전	ผนึกกำลัง
104120	406	107	1	3		104110	0	0	0	0	0		1	42800	3000004	10701	99	0	0	4	0	11	1	7-12	7-12	7-12	7-12	7-12	7-12	战力提升	戰力提升	Power Boost	戦闘力を高める	전투력 증가	เพิ่มพลัง
104130	0	107	1	2		104120	0	0	9	1	10	200	1	44800	3000004	75301	99	0	0	4	0	11	1	7-13	7-13	7-13	7-13	7-13	7-13	反转	反轉	Tide Turn	逆転	반전	พลิกผัน
104140	0	107	1	2		104130	0	0	9	1	10	200	1	44800	3000004	75302	99	0	0	4	0	11	1	7-14	7-14	7-14	7-14	7-14	7-14	威胁与抉择	威脅與抉擇	Threat and Choice	脅威と選択	위협과 선택	คำขู่และการตัดสินใจ
104150	407	107	1	3		104140	0	0	0	0	0		1	44800	3000004	10801	99	0	0	4	0	11	1	7-15	7-15	7-15	7-15	7-15	7-15	垂钓时刻	垂釣時刻	Time to Fish	釣りの瞬間	낚시 시간	ช่วงเวลาตกปลา
104151	408	107	1	3		104150	0	0	0	0	0		1	44800	3000004	10801	99	0	0	4	0	11	1	7-16	7-16	7-16	7-16	7-16	7-16	厨艺钻研	廚藝鑽研	Culinary Research	料理の腕を磨く	요리 연구	วิจัยอาหาร
104160	0	107	1	2		104151	0	0	9	1	10	200	1	46800	3000004	70404	99	0	0	4	0	11	1	7-17	7-17	7-17	7-17	7-17	7-17	定时炸弹	定時炸彈	Time Bomb	時限爆弾	시한폭탄	ระเบิดเวลา
104170	0	107	1	2		104160	0	0	9	1	10	200	1	46800	3000004	70502	99	0	0	4	0	11	1	7-18	7-18	7-18	7-18	7-18	7-18	悲剧重演	悲劇重演	Tragedy Repeats	繰り返された悲劇	반복되는 비극	โศกนาฏกรรมซ้ำรอย
104180	0	107	3	2		104170	0	0	9	1	10	200	12	50800	3000004	70501	3	10418	0	4	0	18	1	7-19	7-19	7-19	7-19	7-19	7-19	未完成的约定	未完成的約定	Unfulfilled Promise	未完成の約束	지키지 못한 약속	สัญญาที่\nไม่สำเร็จ
104200	0	108	1	1		104180	0	0	0	0	0		1	50800	3000004	30301	99	0	0	4	0	11	1	8-1	8-1	8-1	8-1	8-1	8-1	成长的代价	成長的代價	The Price of Growth	成長の代償	성장의 대가	ราคาของการเติบโต
104270	0	108	1	2		104200	0	0	9	1	10	200	1	50800	3000004	71501	99	0	0	4	0	11	1	8-2	8-2	8-2	8-2	8-2	8-2	霸王餐	霸王餐	Dine and Dash	食い逃げ	무전취식	กินแล้วชักดาบ
104280	0	108	1	1		104270	0	0	0	0	0		1	50800	3000004	10801	99	0	0	4	0	11	1	8-3	8-3	8-3	8-3	8-3	8-3	伟大而平凡	偉大而平凡	Greatness in the Ordinary	偉大かつ平凡	위대함과 평범함	ยิ่งใหญ่แต่สามัญ
104290	0	108	3	2		104280	0	0	14	1	15	300	12	52800	3000004	70102	99	0	0	4	0	18	1	8-4	8-4	8-4	8-4	8-4	8-4	新的开始	新的開始	A New Beginning	新たな始まり	새로운 시작	การเริ่มต้นครั้งใหม่
105010	0	108	1	2		104290	0	0	9	1	10	200	1	54000	3000004	80701	99	0	0	4	0	11	1	8-5	8-5	8-5	8-5	8-5	8-5	留白	留白	Blank Space	余白	메모	เว้นว่าง
105030	501	108	1	3		105010	0	0	0	0	0		1	56000	3000004	10801	99	0	0	4	0	11	1	8-6	8-6	8-6	8-6	8-6	8-6	幻影特训场	幻影特訓場	Master Duel	ファントム特訓場	팬텀 특훈장	สนามซ้อมแฟนธอม
105050	0	108	1	2		105030	0	0	9	1	10	200	1	56000	3000004	80702	99	0	0	4	0	11	1	8-7	8-7	8-7	8-7	8-7	8-7	变数	變數	Variables	不安要素	변수	ตัวแปร
105060	0	108	1	2		105050	0	0	9	1	10	200	1	56000	3000004	80703	99	0	0	4	0	11	1	8-8	8-8	8-8	8-8	8-8	8-8	月朝颜	月朝顏	Dawn's Embrace	月朝顔	엘리니움 플로라	ว่านจันทรา
105061	0	108	1	2		105060	0	0	9	1	10	200	1	56000	3000004	80704	99	0	0	4	0	11	1	8-9	8-9	8-9	8-9	8-9	8-9	爱意或诅咒	愛意或詛咒	Love or Curse	愛か呪いか	사랑 또는 저주	ความรักหรือคำสาป
105070	0	108	3	2		105061	0	0	9	1	10	200	12	60000	3000004	80705	99	10507	0	4	0	19	1	8-10	8-10	8-10	8-10	8-10	8-10	再见，无瑕之花	再見，無瑕之花	Farewell, Flawless Flower	散り行く、無垢の花	티없이 맑은 꽃, 안녕	ลาก่อน บุปผาไร้รอย
105071	0	108	1	1		105070	0	0	0	0	0		1	62000	3000004	10801	99	0	0	4	0	11	1	8-11	8-11	8-11	8-11	8-11	8-11	咔哒、咔哒、咔哒	噹啷、噹啷、噹啷	Tick, Tick, Tick	カチッ、カチッ、カチッ	딸깍, 딸깍, 딸깍	กึกกัก กึกกัก กึกกัก
105090	0	108	1	2		105071	0	0	9	1	10	200	1	62000	3000004	80706	99	0	0	4	0	11	1	8-12	8-12	8-12	8-12	8-12	8-12	边缘者	邊緣者	An Outsider	周辺人	아웃사이더	ส่วนเกิน
105100	0	108	1	2		105090	0	0	9	1	10	200	1	62000	3000004	80707	99	0	0	4	0	11	1	8-13	8-13	8-13	8-13	8-13	8-13	任务下达	任務下達	Mission Issued	任務発令	미션 하달	มอบหมายภารกิจ
105110	502	108	1	3		105100	0	0	0	0	0		1	62000	3000004	10801	99	0	0	4	0	11	1	8-14	8-14	8-14	8-14	8-14	8-14	大召唤师	大召喚師	Master Summoner	大召喚士	대소환사	ซัมมอนเนอร์
105120	0	108	1	2		105110	0	0	9	1	10	200	1	62000	3000004	80708	99	0	0	4	0	11	1	8-15	8-15	8-15	8-15	8-15	8-15	摇摆不定的心	搖擺不定的心	A Mind Adrift	揺らぐ心	흔들리는 마음	ใจที่สั่นคลอน
105121	0	108	1	1		105120	0	0	0	0	0		1	62000	3000004	10801	99	0	0	4	0	11	1	8-16	8-16	8-16	8-16	8-16	8-16	调查，启动	調查，啟動	The Investigation Begins	調査、起動	조사, 시작	เริ่มตรวจสอบ
105130	0	108	1	2		105121	0	0	9	1	10	200	1	62000	3000004	80709	99	0	0	4	0	11	1	8-17	8-17	8-17	8-17	8-17	8-17	假面的贵族	假面的貴族	Behind the Facade	仮面の貴族	가면을 쓴 귀족	ชนชั้นสูงจอมปลอม
105131	0	108	1	2		105130	0	0	9	1	10	200	1	62000	3000004	80710	99	0	0	4	0	11	1	8-18	8-18	8-18	8-18	8-18	8-18	文字传递着何物？	文字傳遞著何物？	Whispers on the Page	文字が伝えるものは？	일기장에 적힌 비밀	ความหมายในอักษร
105140	0	108	3	2		105131	0	0	9	1	10	200	12	68000	3000004	80711	99	0	0	4	0	19	1	8-19	8-19	8-19	8-19	8-19	8-19	说着抱歉的人	說著抱歉的人	The Person Who Apologizes	謝る者	미안한 마음을 품고	คนที่พูดสำนึกผิด
105160	503	109	1	3		105140	0	0	0	0	0		1	70000	3000004	10801	99	0	0	4	0	11	1	9-1	9-1	9-1	9-1	9-1	9-1	外卖送餐	外賣送餐	Food Delivery	出前	배달	เดลิเวอรี่
105170	504	109	1	3		105160	0	0	0	0	0		1	70000	3000004	10801	99	0	0	4	0	11	1	9-2	9-2	9-2	9-2	9-2	9-2	餐厅升级	餐廳升級	Cafe Upgrade	レストランレベルアップ	카페테리아 레벨업	อัปเกรดคาเฟ่
105180	505	109	1	3		105170	0	0	0	0	0		1	70000	3000004	10801	99	0	0	4	0	11	1	9-3	9-3	9-3	9-3	9-3	9-3	时装提升	時裝提升	Outfit Upgrade	外観育成	스킨 레벨업	อัปเกรดคอสตูม
