id	type	listImageId	listImageB	listImageS	image	desc	head	weather	bgm	music	plotIdGroup1	taskPlotId	taskPlotEndId	plotIdGroup2	plotIdWave1	plotIdEndWave1	plotIdWave2	plotIdEndWave2	plotIdWave3	plotIdEndWave3	plotIdGroup3	plotIdRound	plotIdRounds	status
310030	3	04_03	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
310040	2	04_05	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
311010	3	04_06	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
311020	3	04_07	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_plot_trust01															1
311030	2	04_10	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_universal_survey01															1
311040	2	04_11	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
312010	3	01_07	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_op_strange															1
312020	2	04_12	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
312030	3	04_16	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_bg_gx_tower01															1
312040	2	04_15	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_plot_trust01															1
313010	2	05_01	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
313020	3	05_03	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
313030	3	05_04	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
313040	3	05_05	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
314010	3	05_06	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_plot_trust01															1
314020	2	05_07	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_plot_trust01															1
314030	1	05_08	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_bg_gx_tower01															1
314040	2	05_09	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_story01_inter															1
315010	2	05_10	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
315020	3	05_11	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_plot_evil01															1
315030	2	05_14	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_universal_survey01															1
315040	2	05_15	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
316010	3	05_17	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
316020	3	05_18	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
316030	3	05_19	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_op_strange															1
316040	2	05_20	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_bg_gx_tower01															1
