id	group	unlock	image	desc	plotId	rewardId	rewardNum	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
143	14	142		20115030	20115030	3000002;3000003	10;10000	1	牺牲	犧牲				
151	15	0		20116010	20116010	3000002;3000003	10;10000	1	打工人	打工人				
152	15	151		20116020	20116020	3000002;3000003	10;10000	1	负重前行	負重前行				
161	16	0		20117010	20117010	3000002;3000003	10;10000	1	未知污染	未知污染				
171	17	0		20118010	20118010	3000002;3000003	10;10000	1	第一本日记	第一本日記				
172	17	171		20118020	20118020	3000002;3000003	10;10000	1	第二本日记	第二本日記				
181	18	0		20106010	20106010	3000002;3000003	10;10000	1	暗巷魅影	暗巷魅影				
182	18	181		20106020	20106020	3000002;3000003	10;10000	1	茶前夜话	茶前夜話				
183	18	182		20106030	20106030	3000002;3000003	10;10000	1	鬼语怪谈	鬼語怪談				
184	18	183		20106040	20106040	3000002;3000003	10;10000	1	纠错之方	糾錯之方				
191	19	0		20119010	20119010	3000002;3000003	10;10000	1	快递	快遞				
192	19	191		20119020	20119020	3000002;3000003	10;10000	1	入局	入局				
201	20	0		20201010	20201010	3000002;3000003	10;10000	1	凌霄的邀请	淩霄的邀請				
202	20	201		20201020	20201020	3000002;3000003	10;10000	1	共赴揽月楼	共赴攬月樓				
203	20	202		20201030	20201030	3000002;3000003	10;10000	1	旧忆时光	舊憶時光				
204	20	203		20201040	20201040	3000002;3000003	10;10000	1	意料之外	意料之外				
211	21	0		20202010	20202010	3000002;3000003	10;10000	1	「圣女」	「聖女」				
212	21	211		20202020	20202020	3000002;3000003	10;10000	1	追逐白鸟的孩子	追逐白鳥的孩子				
213	21	212		20202030	20202030	3000002;3000003	10;10000	1	人造箱庭	人造箱庭				
214	21	213		20202040	20202040	3000002;3000003	10;10000	1	笼鸟之歌	籠鳥之歌				
221	22	0		20203010	20203010	3000002;3000003	10;10000	1	不和谐的办公室	不和諧的辦公室				
222	22	221		20203020	20203020	3000002;3000003	10;10000	1	布丁之旅	布丁之旅				
223	22	222		20203030	20203030	3000002;3000003	10;10000	1	焦糖布丁的味道	焦糖布丁的味道				
231	23	0		20204010	20204010	3000002;3000003	10;10000	1	巧遇	巧遇				
232	23	231		20204020	20204020	3000002;3000003	10;10000	1	看见	看見				
233	23	232		20204030	20204030	3000002;3000003	10;10000	1	恶意	惡意				
234	23	233		20204040	20204040	3000002;3000003	10;10000	1	如果	如果				
235	23	234		20204050	20204050	3000002;3000003	10;10000	1	约定	約定				
241	24	0		20205010	20205010	3000002;3000003	10;10000	1	被打断的计划	被打斷的計畫				
242	24	241		20205020	20205020	3000002;3000003	10;10000	1	秘密之石	秘密之石				
243	24	242		20205030	20205030	3000002;3000003	10;10000	1	并非独行	並非獨行				
251	25	0		20206010	20206010	3000002;3000003	10;10000	1	小巷中的祈悼	小巷中的祈悼				
252	25	251		20206020	20206020	3000002;3000003	10;10000	1	伊甸之果	伊甸之果				
253	25	252		20206030	20206030	3000002;3000003	10;10000	1	她的「荆棘」	她的「荊棘」				
254	25	253		20206040	20206040	3000002;3000003	10;10000	1	你会是「祂」吗？	你會是「祂」嗎？				
261	26	0		20207010	20207010	3000002;3000003	10;10000	1	童趣大作战！	童趣大作戰！				
262	26	261		20207020	20207020	3000002;3000003	10;10000	1	伊德的秘密	伊德的秘密				
263	26	262		20207030	20207030	3000002;3000003	10;10000	1	要保密哦！	要保密哦！				
264	26	263		20207040	20207040	3000002;3000003	10;10000	1	完美伪装？	完美偽裝？				
265	26	264		20207050	20207050	3000002;3000003	10;10000	1	完美伪装！	完美偽裝！				
266	26	265		20207060	20207060	3000002;3000003	10;10000	1	后话	後話				
271	27	0		20213010	20213010	3000002;3000003	10;10000	1	去餐厅路上的插曲	去餐廳路上的插曲				
272	27	271		20213020	20213020	3000002;3000003	10;10000	1	马不停蹄	馬不停蹄				
273	27	272		20213030	20213030	3000002;3000003	10;10000	1	紧急救援	緊急救援				
274	27	273		20213040	20213040	3000002;3000003	10;10000	1	沙滩上的小鱼们	沙灘上的小魚們				
281	28	0		20214010	20214010	3000002;3000003	10;10000	1	「女巫」	「女巫」				
282	28	281		20214020	20214020	3000002;3000003	10;10000	1	石头打不碎	石頭打不碎				
283	28	282		20214020	20214020	3000002;3000003	10;10000	1	赦免之行	赦免之行				
291	29	0		20208010	20208010	3000002;3000003	10;10000	1	自剖诊疗	自剖診療				
292	29	291		20208020	20208020	3000002;3000003	10;10000	1	噩梦的起点	噩夢的起點				
293	29	292		20208030	20208030	3000002;3000003	10;10000	1	起点亦是终点	起點亦是終點				
294	29	293		20208040	20208040	3000002;3000003	10;10000	1	无知即桎梏	無知即桎梏				
301	30	0		0	0	3000002;3000003	10;10000	1	0	0				
311	31	0		20210010	20210010	3000002;3000003	10;10000	1	求援电话	求援電話				
312	31	311		20210020	20210020	3000002;3000003	10;10000	1	忙碌的早晨	忙碌的早晨				
313	31	312		20210030	20210030	3000002;3000003	10;10000	1	意外事件	意外事件				
314	31	313		20210040	20210040	3000002;3000003	10;10000	1	加班未遂	加班未遂				
321	32	0		0	0	3000002;3000003	10;10000	1	0	0				
331	33	0		20211010	20211010	3000002;3000003	10;10000	1	密谋	密謀				
341	34	0		20212010	20212010	3000002;3000003	10;10000	1	尖塔之底	尖塔之底				
342	34	341		20212020	20212020	3000002;3000003	10;10000	1	嗤笑着高尚	嗤笑著高尚				
343	34	342		20212030	20212030	3000002;3000003	10;10000	1	槛中的野望	檻中的野望				
351	35	0		20301010	20301010	3000002;3000003	10;10000	1	交通事故	交通事故				
352	35	351		20301020	20301020	3000002;3000003	10;10000	1	美妙歌声	美妙歌聲				
361	36	0		20302010	20302010	3000002;3000003	10;10000	1	奇怪的游客	奇怪的遊客				
362	36	361		20302020	20302020	3000002;3000003	10;10000	1	美味的会议	美味的會議				
371	37	0		20303010	20303010	3000002;3000003	10;10000	1	突然出现的少女	突然出現的少女				
372	37	371		20303020	20303020	3000002;3000003	10;10000	1	合适的人选	合適的人選				
373	37	372		20303030	20303030	3000002;3000003	10;10000	1	两人的羁绊	兩人的羈絆				
381	38	0		20305010	20305010	3000002;3000003	10;10000	1	艾可连招！	艾可連招！				
382	38	381		20305020	20305020	3000002;3000003	10;10000	1	「虚假」的姐妹关系？	「虛假」的姐妹關係？				
383	38	382		20305030	20305030	3000002;3000003	10;10000	1	落雾	落霧				
391	39	0		20306010	20306010	3000002;3000003	10;10000	1	离职虚实	離職虛實				
392	39	391		20306020	20306020	3000002;3000003	10;10000	1	气味的记忆	氣味的記憶				
401	40	0		20307010	20307010	3000002;3000003	10;10000	1	潮涨	潮漲				
402	40	401		20307020	20307020	3000002;3000003	10;10000	1	潮落	潮落				
403	40	402		20307030	20307030	3000002;3000003	10;10000	1	暗流交汇	暗流交匯				
411	41	0		20308010	20308010	3000002;3000003	10;10000	1	蒸汽三岛	蒸汽三島				
421	42	0		20309010	20309010	3000002;3000003	10;10000	1	亲爱的尤莉亚	親愛的尤莉亞				
422	42	421		20309020	20309020	3000002;3000003	10;10000	1	宇称不守恒	宇稱不守恆				
431	43	0		20310010	20310010	3000002;3000003	10;10000	1	无望的诊断	無望的診斷				
432	43	431		20310020	20310020	3000002;3000003	10;10000	1	湮没的旧忆	湮沒的舊憶				
441	44	0		20311010	20311010	3000002;3000003	10;10000	1	无罪的平静	無罪的平靜				
442	44	441		20311020	20311020	3000002;3000003	10;10000	1	无言的羁绊	無言的羈絆				
451	45	0		20312010	20312010	3000002;3000003	10;10000	1	漫长等待	漫長等待				
452	45	451		20312020	20312020	3000002;3000003	10;10000	1	红发鬼	紅發鬼				
461	46	0		20313010	20313010	3000002;3000003	10;10000	1	意欲何为	意欲何為				
462	46	461		20313020	20313020	3000002;3000003	10;10000	1	希望如此	希望如此				
471	47	0		20403010	20403010	3000002;3000003	10;10000	1	玫瑰引路人	玫瑰引路人				
472	47	471		20403020	20403020	3000002;3000003	10;10000	1	消失的旧识	消失的舊識				
473	47	472		20403030	20403030	3000002;3000003	10;10000	1	冰山的一角	冰山的一角				
481	48	0		20314010	20314010	3000002;3000003	10;10000	1	免费的午餐	免費的午餐				
482	48	481		20314020	20314020	3000002;3000003	10;10000	1	观察报告	觀察報告				
491	49	0		20315010	20315010	3000002;3000003	10;10000	1	应知的真实	應知的真實				
492	49	491		20315020	20315020	3000002;3000003	10;10000	1	重要的决定	重要的決定				
493	49	492		20315030	20315030	3000002;3000003	10;10000	1	今日知我	今日知我				
501	50	0		20316010	20316010	3000002;3000003	10;10000	1	中途停下的特训	中途停下的特訓				
502	50	501		20316020	20316020	3000002;3000003	10;10000	1	加倍回报	加倍回報				
