index	id	desc	wave	wave1NpcId	wave1Level	wave1NpcType	classId	classUpDate	intiSp	maxSp	ai	skinId	attribute	hpCount	equipId	summonPool	summonLevel	enemyNum	summonPoolSpecial	summonLevelSpecial	halo	behavior	SceneList	wavefront	waveafter	waveInitAction	waveLoopAction	script	scriptState	MonsterDialogue	PlayerDialogue	victory	defeat	tips	bubble	status
4005204_1	4005204	竹林活动挑战本2-4	1	31016101;31005101;34021101;31015101;31011101	725;725;725;725;725	1;1;2;1;1		1,1;2,1;3,4.42	3;2;2;2;3				2;2;2;2;2			31015101	725	5														0	-1			1
4005205_1	4005205	竹林活动挑战本2-5	1	31016101;31005101;34021101;31015101;31011101	781;781;781;781;781	1;1;2;1;1		1,1;2,1;3,4.88	3;2;3;2;3				2;2;2;2;2			31015101	999	5														0	-1			1
4005301_1	4005301	竹林活动挑战本3-1	1	34009201	1645	2		1,0.65;2,1;3,4	0				3					3														0	-1			1
4005302_1	4005302	竹林活动挑战本3-2	1	34009201	1755	2		1,0.65;2,1;3,4.33	1				3					3														0	-1			1
4005303_1	4005303	竹林活动挑战本3-3	1	34009201	1865	2		1,0.65;2,1;3,4.69	2				3					3														0	-1			1
4005304_1	4005304	竹林活动挑战本3-4	1	34009201	1975	2		1,0.65;2,1;3,5.08	3				3					3														0	-1			1
4005305_1	4005305	竹林活动挑战本3-5	1	34009201	2085	2		1,0.65;2,1;3,5.5	4				3					3														0	-1			1
4000101_1	4000101	竹林活动剧情本1-1	1	31002101;31003101;31004101	288;288;288	1;1;1		1,1;2,1;3,1	0;0;0				1;1;1					3														0	-1		0	1
4000102_1	4000102	竹林活动剧情本1-2	1	31002101;31009101;31005101	334;334;334	1;1;1		1,1;2,1;3,1.02	0;0;0				2;1;2					3														0	-1	0	0	1
4000103_1	4000103	竹林活动剧情本1-3	1	31002101;31005101;31009101;31005101;31003101	232;232;232;232;232	1;1;1;1;1		1,1;2,1;3,1.5	0;0;0;0;0				3;2;1;2;3					5														0	-1	0	0	1
4000201_1	4000201	竹林活动剧情本2-1	1	31002101;31009101;31010101	449;449;449	1;1;1		1,1;2,1;3,1.06					3;2;3					5														0	-1	0	0	1
4000202_1	4000202	竹林活动剧情本2-2	1	31005101;31009101;31010101	507;507;507	1;1;1		1,1;2,1;3,1.08	1;1;1				4;4;4					3														0	-1	0	0	1
4000203_1	4000203	竹林活动剧情本2-3	1	31003101;31003101;31009101;31004101;31004101	348;348;348;348;348	1;1;1;1;1		1,1;2,1;3,1.1	1;1;1;1;1				5;5;5;5;5					5														0	-1	0	0	1
4000204_1	4000204	竹林活动剧情本2-4	1	31010101;31009101;31010101;31007101	474;474;474;474	1;1;1;1		1,1;2,1;3,2	1;0;0;0				4;4;4;4					4														0	-1	0	0	1
4000301_1	4000301	竹林活动剧情本3-1	1	31005101;31005101	476;476	1;1		1,1;2,1;3,2	1;2				3;2;2					2														0	-1	4000301	0	1
4000302_1	4000302	竹林活动剧情本3-2	1	31010101;31007101;31010101	676;676;676	1;1;1		1,1;2,1;3,1.17	0;0;0				3;3;1;3;3					3														0	-1	0	0	1
4000303_1	4000303	竹林活动剧情本3-3	1	31002101;31005101;31005101;31009101;31007101	405;405;405;405;405	1;1;1;1;1		1,1;2,1;3,1.19	0;0;0;0;0				2;2;3;3;3					5														0	-1	0	0	1
4000304_1	4000304	竹林活动剧情本3-4	1	31003101;31003101;31002101;31003101;31003101	450;450;450;450;450	1;1;1;1;1		1,1;2,1;3,1.21	0;1;0;1;0				3;1;1;1;3					5														0	-1	0	0	1
4000305_1	4000305	竹林活动剧情本3-5	1	31010101;31004101;31009101;31004101;31010101	439;439;439;439;439	1;1;1;1;1		1,1;2,1;3,2	0;0;0;0;1				3;2;2;2;3					5														0	-1	0	0	1
4000401_1	4000401	竹林活动剧情本4-1	1	31015101	679	2		1,2;2,1;3,3.5	4				3			31015101	679	5														0	-1	4000401	0	1
4000402_1	4000402	竹林活动剧情本4-2	1	31015101;31009101;31015101	742;742;742	1;1;1		1,1;2,1;3,1.28	0;0;0				3;3;3			31015101	742	5														0	-1	0	0	1
4000403_1	4000403	竹林活动剧情本4-3	1	31015101;31009101;31002101	748;748;748	1;1;1		1,1;2,1;3,1.31	0;0;0				1;1;1			31015101	748	5														0	-1	0	0	1
4000404_1	4000404	竹林活动剧情本4-4	1	31015101;31005101;31002101	765;765;765	1;1;1		1,1;2,1;3,1.33	0;0;0				2;2;2			31015101	765	5														0	-1	0	0	1
4000405_1	4000405	竹林活动剧情本4-5	1	31003101;31015101;31002101	789;789;789	1;1;1		1,1;2,1;3,2	0;1;0				3;3;3			31015101	789	5														0	-1	0	0	1
4000501_1	4000501	竹林活动剧情本5-1	1	31003101;31011101;31003101	820;820;820	1;1;1		1,1;2,1;3,1.39	1;2;2				5;2;1					5														0	-1	0	0	1
4000502_1	4000502	竹林活动剧情本5-2	1	31015101;31009101;31011101	783;783;783	1;1;1		1,1;2,1;3,1.41	1;2;2				2;2;1			31015101	783	5														0	-1	0	0	1
4000503_1	4000503	竹林活动剧情本5-3	1	31002101;31011101;31015101;31011101;31004101	479;479;479;479;479	1;1;1;1;1		1,1;2,1;3,1.44	0;0;0;0;0				1;1;3;1;1			31015101	479	5														0	-1	0	0	1
4000504_1	4000504	竹林活动剧情本5-4	1	31009101;31010101;31015101;31010101	604;604;604;604	1;1;1;1		1,1;2,1;3,1.47	3;2;1;1				3;2;1;3					6														0	-1	0	0	1
4000505_1	4000505	竹林活动剧情本5-5	1	31007101;31011101;31009101;31011101;31005101	783;783;783;783;783	1;1;1;1;1		1,1;2,1;3,2.5	3;2;0;2;3				3;2;1;3;3					5														0	-1	0	0	1
4000601_1	4000601	竹林活动剧情本6-1	1	31002101;31011101;31015101	841;841;841	1;1;1		1,1.5;2,1;3,2.53	3;1;1				3;3;3			31015101	841	5														0	-1	0	0	1
4000602_1	4000602	竹林活动剧情本6-2	1	31004101;31004101;31007101;31004101;31004101	666;666;666;666;666	1;1;1;1;1		1,1;2,1;3,1.56	0;0;0;0;0				2;3;3;3;2					5														0	-1	0	0	1
4000603_1	4000603	竹林活动剧情本6-3	1	31010101;31009101;31005101	852;852;852	1;1;1		1,1.5;5,1;3,3	1;0;1				2;2;2					5														0	-1	0	0	1
4000604_1	4000604	竹林活动剧情本6-4	1	31003101;31002101;31010101;31011101	666;666;666;666	1;1;1;1		1,1.5;2,1;3,2.5	1;2;1;3				1;2;3;2					4														0	-1	0	0	1
4000605_1	4000605	竹林活动剧情本6-5	1	31002101;31011101;31009101;31010101;31005101	666;666;666;666;666	1;1;1;1;1		1,1;2,1;3,2.5	1;0;0;0;1				2;1;1;1;3					5														0	-1	0	0	1
4000701_1	4000701	竹林活动剧情本7-1	1	31016101	1302	1		1,1.2;2,1;3,2	4				1					5														0	-1	0	0	1
4000702_1	4000702	竹林活动剧情本7-2	1	31002101;31016101;31009101	885;885;885	1;1;1		1,1;2,1;3,1.71	0;0;0				2;2;2					5														0	-1	0	0	1
4000703_1	4000703	竹林活动剧情本7-3	1	31011101;31016101;31003101	930;930;930	1;1;1		1,1;2,1;3,1.75	0;0;0				3;3;3					5														0	-1	0	0	1
4000704_1	4000704	竹林活动剧情本7-4	1	31015101;31016101;31015101	921;921;921	1;1;1		1,1;2,1;3,1.78	1;0;1				2;1;3			31015101	921	5														0	-1	0	0	1
4000705_1	4000705	竹林活动剧情本7-5	1	31002101;31011101;34021101;31016101;31004101	921;921;921;921;921	1;1;2;1;1		1,1.2;2,1;3,3	0;1;2;1;0				1;2;1;2;1					5														0	-1	0	0	1
4000801_1	4000801	竹林活动剧情本8-1	1	31004101;31005101;31005101;31004101	715;715;715;715	1;1;1;1		1,1;2,1;3,1.85	3;2;1;3				2;3;3;2					4														0	-1	0	0	1
4000802_1	4000802	竹林活动剧情本8-2	1	31010101;31011101;34009201;31011101;31010101	469;469;469;469;469	1;1;2;1;1		1,1;2,1;3,1.89	3;2;1;2;4				5;5;5;5;5			31015101	469	5														0	-1	0	0	1
4000803_1	4000803	竹林活动剧情本8-2	1	31016101;31015101;31002101	967;967;967	1;1;1		1,1;2,1;3,1.92	1;1;1				1;1;1			31015101	967	5														0	-1	0	0	1
4000804_1	4000804	竹林活动剧情本8-3	1	31015101;31003101;31004101;31002101;31015101	602;602;602;602;602	1;1;1;1;1		1,1;2,1;3,1.96	1;1;1;1;0				2;3;3;3;2			31015101	602	5														0	-1	0	0	1
4000805_1	4000805	竹林活动剧情本8-3	1	31011101;31009101;31005101;31010101	742;742;742;742	1;1;1;1		1,1;2,1;3,2.5	3;1;1;1				1;2;3;1					4														0	-1	0	0	1
50001_1	50001	世界BOSS-铠甲骑士绿	1	41040001;41040001;44031001;41040001;41040001	666;666;666;666;666	1;1;3;1;1		1,0.7;2,1.5;210,0.7;3,15					2;2;2;2;2	100				5				0										0	-1			1
50002_1	50002	世界BOSS-医生红	1	31059080;31059080;44180101;31059080;31059080	666;666;666;666;666	1;1;3;1;1		1,0.7;2,1.5;3,15					1;1;1;1;1	100				5			598010001	0										0	-1			1
50011_1	50011	世界BOSS-杰克皇红	1	44020001	666	3		1,1.5;2,0.7;209,0.5;3,15					1	100				1				1										0	-1			1
50031_1	50031	世界BOSS-竹笋悦悦蓝	1	44021001	666	3		3,15					3	100				1				1										0	-1			1
50041_1	50041	世界BOSS-兔子玩偶红	1	44015001	666	3		3,15					1	100				1				1										0	-1			1
50051_1	50051	世界BOSS-肖特朗蓝	1	48002001	666	3		3,15					3	100				1			10800201	1										0	-1			1
50061_1	50061	世界BOSS-佣兵蓝	1	34040193	666	3		3,15					3	100				1				1										0	-1			1
51001_1	51001	世界BOSS-铠甲骑士红	1	41040001;41040001;44031001;41040001;41040001	666;666;666;666;666	1;1;3;1;1		1,0.7;2,1.5;210,0.7;3,15					1;1;1;1;1	100				5				0										0	-1			1
51002_1	51002	世界BOSS-医生绿	1	31059080;31059080;44180101;31059080;31059080	666;666;666;666;666	1;1;3;1;1		1,0.7;2,1.5;3,15					2;2;2;2;2	100				5			598010001	0										0	-1			1
51011_1	51011	世界BOSS-杰克皇绿	1	44020001	666	3		1,1.5;2,0.7;209,0.5;3,15					2	100				1				1										0	-1			1
51031_1	51031	世界BOSS-竹笋悦悦红	1	44021001	666	3		3,15					1	100				1				1										0	-1			1
51041_1	51041	世界BOSS-兔子玩偶绿	1	44015001	666	3		3,15					2	100				1				1										0	-1			1
51051_1	51051	世界BOSS-肖特朗红	1	48002001	666	3		3,15					1	100				1			10800201	1										0	-1			1
52001_1	52001	世界BOSS-铠甲骑士蓝	1	41040001;41040001;44031001;41040001;41040001	666;666;666;666;666	1;1;3;1;1		1,0.7;2,1.5;210,0.7;3,15					3;3;3;3;3	100				5				0										0	-1			1
52002_1	52002	世界BOSS-医生蓝	1	31059080;31059080;44180101;31059080;31059080	666;666;666;666;666	1;1;3;1;1		1,0.7;2,1.5;3,15					3;3;3;3;3	100				5			598010001	0										0	-1			1
52011_1	52011	世界BOSS-杰克皇蓝	1	44020001	666	3		1,1.5;2,0.7;209,0.5;3,15					3	100				1				1										0	-1			1
52031_1	52031	世界BOSS-竹笋悦悦绿	1	44021001	666	3		3,15					2	100				1				1										0	-1			1
52041_1	52041	世界BOSS-兔子玩偶蓝	1	44015001	666	3		3,15					3	100				1				1										0	-1			1
52051_1	52051	世界BOSS-肖特朗绿	1	48002001	666	3		3,15					2	100				1			10800201	1										0	-1			1
50099_1	50099	泼水节世界boss	1	34052002	666	3		1,0.3;2,0.3;3,15	4	4			2	100		31052001;31053001	70;70	3				0										0	-1			1
12020101_1	12020101	PT活动副本	1	31045018;31045018	180;180	1;1		1,1;2,1;3,1.2					1;1					2				1										0	-1			1
12020102_1	12020102	PT活动副本	1	31045018;31045018;31045018	485;485;485	1;1;1		1,1;2,1;3,1.89					1;1;1					3				1										0	-1			1
12020103_1	12020103	PT活动副本	1	31045018;31045018;31045018	732;732;732	1;1;1		1,1.05;2,1;3,3.32					1;1;1					3				1										0	-1			1
12020104_1	12020104	PT活动副本	1	31045018;31045018;31045018;31045018	732;732;732;732	1;1;1;1		1,1.1;2,1;3,4.96					1;1;1;1					4				1										0	-1			1
12020105_1	12020105	PT活动副本	1	31045018;31045018;31045018;31045018	918;918;918;918	1;1;1;1		1,1.12;2,1;3,6.76					1;1;1;1					4				1										0	-1			1
12020106_1	12020106	PT活动副本	1	31045018;31045018;31044012;31045018;31045018	878;878;878;878;878	1;1;1;1;1		1,1.15;2,1;3,9.29					1;1;1;1;1					5				1										0	-1			1
12020201_1	12020201	PT活动副本	1	31044012	360	1		1,1;2,1;3,1					2					3				1										0	-1			1
12020202_1	12020202	PT活动副本	1	31044012;31044012	214;214	1;1		1,1;2,1;3,1					2;2					2				1										0	-1			1
12020203_1	12020203	PT活动副本	1	31045018;31045018	254;254	1;1		1,1;2,1;3,1					2;2					2				1										0	-1			1
12020204_1	12020204	PT活动副本	1	31045018;31045018;31045018	386;386;386	1;1;1		1,1;2,1;3,1.07					2;2;2					3				1										0	-1			1
120361011_1	120361011	临界重构第1期-区域1	1	34031004	1000	3	2106	1,2;2,10;3,100	1				1	5				3				0										0	-1			1
120361012_1	120361012	临界重构第1期-区域2	1	34031004	1000	3	2106	1,5;2,20;3,100	1				1	5				3				0										0	-1			1
120361013_1	120361013	临界重构第1期-区域3	1	34031004	1000	3	2106	1,10;2,40;3,100	1				1	5				3				0										0	-1			1
120361021_1	120361021	临界重构第1期-区域1	1	31009032;31012032;34031004;31030032;31002032	900;900;1000;900;900	1;1;3;1;1	2106;2106;2106;2106;2106	1,4;2,10;3,200	1;1;2;1;1				2;2;4;2;2	10				5				0										0	-1			1
120361022_2	120361022	临界重构第1期-区域2	1	31009032;31012032;34031004;31030032;31002032	900;900;1000;900;900	1;1;3;1;1	2106;2106;2106;2106;2106	1,8;2,20;3,200	1;1;2;1;1				2;2;4;2;2	10				5				0										0	-1			1
120361023_3	120361023	临界重构第1期-区域3	1	31009032;31012032;34031004;31030032;31002032	900;900;1000;900;900	1;1;3;1;1	2106;2106;2106;2106;2106	1,15;2,40;3,200	1;2;3;2;1				2;2;4;2;2	10				5				0										0	-1			1
120361031_1	120361031	临界重构第3期-区域1	1	34031004	1000	3	2106	1,2;2,10;3,200	2				5	10				5				0										0	-1			1
120361032_2	120361032	临界重构第3期-区域2	1	34031004	1000	3	2106	1,2;2,10;3,200	2				5	10				5				0										0	-1			1
120361033_3	120361033	临界重构第3期-区域3	1	34031004	1000	3	2106	1,2;2,10;3,200	3				5	10				5				0										0	-1			1
120361041_1	120361041	临界重构第4期-区域1	1	34015009;34015009;34015008;34015009;34015009	900;900;1000;900;900	1;1;3;1;1	2106;2106;2106;2106;2106	1,2;2,10;3,200	1;1;2;1;1				1;1;4;1;1	10		34015009	90	5				0										0	-1			1
120361042_2	120361042	临界重构第4期-区域2	1	34015009;34015009;34015008;34015009;34015009	900;900;1000;900;900	1;1;3;1;1	2106;2106;2106;2106;2106	1,2;2,10;3,200	1;1;2;1;1				1;1;4;1;1	10		34015009	90	5				0										0	-1			1
120361043_3	120361043	临界重构第4期-区域3	1	34015009;34015009;34015008;34015009;34015009	900;900;1000;900;900	1;1;3;1;1	2106;2106;2106;2106;2106	1,2;2,10;3,200	1;2;3;2;1				1;1;4;1;1	10		34015009	90	5				0										0	-1			1
100010_1	100010	教程1	1	31023001;31024001	190;170	1;1		2,1;3,1			monster/monster_op_01;monster/monster_op_02		2;2					2			1010001	1										0	-1			1
100010_2	100010	教程1	2	38010082	800	3		1,0.9;2,0.8;3,3					2	5				3			1010003	1										0	-1			1
100020_1	100020	教程2	1	31117008	800	2		1,1;2,0.8;3,3					3					3			1010003	1										0	-1			1
101010_1	101010	1—1	1	31026001;31026001;31026001	1;1;1	1;1;1		3,0.9			monster/monster_01_1st;monster/monster_01_3rd;monster/monster_01_3rd		2;3;2					3				0										0	-1	10101		1
101020_1	101020	1—2	1	31018001;31018001	3;3	1;1		3,0.9			monster/monster_01_1st;monster/monster_01_3rd;monster/monster_01_3rd		2;3					3				0										0	-1			1
101040_1	101040	1—4	1	31026001;34026001;31026001	3;8;4	1;1;1		1,1.25;3,0.7	0;3;0		monster/monster_01_1st;monster/monster_01_3rd;monster/monster_01_3rd		3;2;2					3			1010027	0										0	-1	10104		1
101050_1	101050	1—5	1	31026001;34025001	7;8	1;1		1,1.5;3,1.15			monster/monster_01_1st;monster/monster_34025001_01_2nd		3;2					3				0										0	-1			1
101060_1	101060	1—6	1	31028001;34025001;31029001	22;38;22	1;3;1		1,3;2,4;3,10			monster/monster_01_1st;monster/monster_34025001_01_2nd;monster/monster_01_3rd		3;2;2					3			1010054	0										10018	10001	10106		1
101080_1	101080	1—8	1	31028001;34025001;31029001	8;17;7	1;3;1		1,1.3;3,1.15	0;3;0		monster/monster_01_1st;monster/monster_34025001_01_2nd;monster/monster_01_3rd		3;2;2	5				3				0										0	-1	10108		1
101090_1	101090	2—1	1	31002001;31023001;31002001	10;10;10	1;1;1		1,0.4;3,0.5					1;1;1					3				1										0	-1			1
101090_2	101090	2—1	2	31023001;31024001;31023001	10;10;10	1;1;1		1,0.5;3,0.5					1;1;1					3				1										0	-1			1
101101_1	101101	2—3	1	31026001;31014001;31026001	13;90;18	1;1;1		1,0.8;3,0.9	0;3;0				3;2;2					3			1010030	0										0	-1			1
101170_1	101170	2—8	1	31102001;34026001;31104001	12;28;12	1;1;1		1,1.3;3,1.1	0;2;0				1;3;2					3			1010031	0										0	-1			1
101180_1	101180	2—9	1	31103001;31290081	23;29	1;1		1,1.05;3,1.25	0;1				3;2					3			1010027	0										0	-1			1
101190_1	101190	2—10	1	31102001;31290081;31103001	16;28;16	1;3;1		1,1.15;3,2.2	2;2;2				3;2;3	5				3			1010027	0										0	-1	10119		1
102070_1	102070	3—5	1	31150081	48	1		1,1.2;3,1.2					3					3				1										0	-1			1
102080_1	102080	3—6	1	31060001;31060001;31060001	48;50;48	1;1;1		3,1.1					3;2;3					3				1										0	-1			1
102090_1	102090	3—7	1	31060001;34041001;31060001	49;51;49	1;1;1		1,1.05;3,1.1					3;1;3					3				0										0	-1	10207		1
102140_1	102140	3—11	1	31058001;31018001;31058001	50;52;50	1;1;1		1,0.9;3,1.2					2;3;2					3				1										0	-1			1
102140_2	102140	3—11	2	31058001;31270081;31058001	50;55;50	1;3;1		1,1.1;3,2.1	2;3;2				2;3;1	5				3			1010026;1010027	0										0	-1	10214		1
102150_1	102150	4—1	1	31210081	58	1		1,1.2;3,1.2	2				3					3			1010027	1										0	-1			1
102160_1	102160	4—2	1	34006001	61	1		1,1.35;3,1.3					3					3				1										0	-1			1
102210_1	102210	4—7	1	31013001;34006001;31009001	58;60;58	1;1;1		1,1.35;3,1.2					3;3;2					3				1										0	-1			1
102250_1	102250	4—10	1	31046001;31016001;31046001;31016001;31046001	50;59;61;59;50	1;1;1;1;1		1,0.9;3,1					3;2;3;2;3					5				1										0	-1			1
102260_1	102260	4—11	1	31040001;31040001;31015001;31015001;31040001	53;62;63;62;53	1;1;1;1;1		1,0.9;3,1					3;3;2;2;3			31015001	64	5				1										0	-1			1
102270_1	102270	4—13	1	31026001;31016001;31026001	66;66;66	1;1;1		1,1.3;3,1.05					3;2;3					3				1										0	-1			1
102270_2	102270	4—13	2	31016001;34031011;31015001	65;90;65	1;3;1		1,1.7;3,2.3	2;3;2				3;2;1	5		31015001	78	5			1010008	0										0	-1	10227		1
103001_1	103001	5—2	1	31006016;34008001;31006016	73;73;73	1;1;1		1,1.2;3,0.8					2;3;2					3				1										0	-1			1
103010_1	103010	5—3	1	31013001;31013001;31013001;31013001;31013001	70;73;75;73;70	1;1;1;1;1		1,0.9;3,0.95					3;2;3;2;3					5				1										0	-1			1
103070_1	103070	5—8	1	31102001;34026001;31102001	77;79;77	1;1;1		1,1.2;3,1					3;2;3					3				1										0	-1			1
103090_1	103090	5—10	1	31104001;31102001;31102001	79;79;79	1;1;1		1,1.2;3,1					3;1;1					3				1										0	-1			1
103100_1	103100	5—11	1	34026001;34025001	76;76	1;1		1,1.65;3,1.3	1;1				3;2					2				1										0	-1	10310		1
103140_1	103140	6—2	1	31104001;34026001;31104001	99;99;99	1;1;1		1,1.2;3,1					3;3;3					3				1										0	-1			1
103150_1	103150	6—3	1	31104001;31104001;31104001	99;99;99	1;1;1		1,1.2;3,1					1;3;3					3				1										0	-1			1
103200_1	103200	6—7	1	31009001;31012001;31009001;31012001;31009001	95;98;100;98;95	1;1;1;1;1		1,0.9;3,0.95					2;2;3;3;3					5				1										0	-1			1
103210_1	103210	6—8	1	31060001;34041001;31060009	104;104;104	1;1;1		1,2;3,1					2;3;3					3				1										0	-1			1
103260_1	103260	6—12	1	31026001;31046011;31026001	100;100;100	1;1;1		1,1.05;3,1.2					3;2;3					3				1										0	-1			1
103260_2	103260	6—12	2	31024001;34025001;31046011	90;115;90	1;3;1		1,1.6;2,2.4;3,1.8	2;3;2				3;2;1	5				3			1010032	0										0	-1	10326		1
104040_1	104040	7—4	1	31002001;31003001;31004001	123;123;123	1;1;1		1,1.2;3,1					2;1;2					3				1										0	-1			1
104050_1	104050	7—5	1	34014001	124	1		1,1.3;3,1.5	2				3					3				1										0	-1			1
104070_1	104070	7—7	1	31017001;31056001;31017001;31056001;31017001	122;126;128;126;122	1;1;1;1;1		1,0.9;3,0.95					2;3;2;3;2					5				1										0	-1			1
104080_1	104080	7—8	1	31290081	132	1		1,1.2;3,1.8	2				2					3			1010027	1										0	-1			1
104090_1	104090	7—9	1	31004001;34006001;31002001	130;110;130	1;1;1		1,1.15;3,1.1					1;3;2					3				1										0	-1			1
