id	number	pic	bigPic	namePic	mapImage	BGM	movieQuest	movie	unlockNum	lastLevel	level	teamLevel	isHasSide	chapterRewardId	chapterRewardNum1	bigRewardId	bigRewardNum	headIconRewardId	status	diffName	diffName_zh_TW	diffName_en_UK	diffName_ja_JP	diffName_ko_KR	diffName_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	title1	title1_zh_TW	title1_en_UK	title1_ja_JP	title1_ko_KR	title1_th_TH	title2	title2_zh_TW	title2_en_UK	title2_ja_JP	title2_ko_KR	title2_th_TH	des	des_zh_TW	des_en_UK	des_ja_JP	des_ko_KR	des_th_TH
109	9	29:main_bg_8_s	35:main_bg_8		41:story_map_001				105140	106060	1		0	4190001;3000003;4100011	600;100000;100	4190001	600		1	普通	普通	Normal	普通	일반	ทั่วไป	城下之影	城下之影	Shadow of the City	街の影	도시의 그림자	เงาใต้เมือง	故事二	故事二	Story II	ストーリー2	STORY 2	เรื่องราวที่ 2	双城记	雙城記	Tale of Two Cities	二都物語	두 도시 이야기	บันทึกของ\nสองเมือง	营救行动开始……	營救行動開始……	The rescue operation begins now...	救出作戦開始......。	구출 작전이 개시되고......	เริ่มปฏิบัติการกู้ภัย...
110	10	29:main_bg_15_s	35:main_bg_15		41:story_map_001				106060	106251	1		0	4190001;3000003;4100011	600;110000;100	4190001	600		1	普通	普通	Normal	普通	일반	ทั่วไป	幕后之人	幕後之人	The Mastermind	黒幕	배후의 인물	ผู้ชักใย\nอยู่เบื้องหลัง	故事二	故事二	Story II	ストーリー2	STORY 2	เรื่องราวที่ 2	双城记	雙城記	Tale of Two Cities	二都物語	두 도시 이야기	บันทึกของ\nสองเมือง	前进！击败眼前的傀，为了带小曼回家而战斗吧！	前進！擊敗眼前的傀，為了帶小曼回家而戰鬥吧！	Onward! Defeat the Anomaly and fight to save Mandy!	前へ！ 目の前の人形を倒し、シャオマンを連れ帰るために戦う！	전진! 눈앞의 퍼펫을 물리치고 맨디를 집으로 데려다 주세요!	ลุย​!​ กำจัด​หุ่นเชิด​ที่อยู่​ตรงหน้า​ให้​ราบ​ สู้​เพื่อ​พา​แมน​ดี้​กลับ​ไป​กัน​เถอะ​!​
111	11	29:main_bg_9_s	35:main_bg_9		41:story_map_001				106251	107160	1		0	4190001;3000003;4100011	600;120000;100	4190001	600		1	普通	普通	Normal	普通	일반	ทั่วไป	光幕的彼界	光幕的彼界	Beyond the Curtain	光幕の彼方	빛의 장막 너머	อีกฝากฝั่ง\nของม่านแสง	故事二	故事二	Story II	ストーリー2	STORY 2	เรื่องราวที่ 2	双城记	雙城記	Tale of Two Cities	二都物語	두 도시 이야기	บันทึกของ\nสองเมือง	你接受了小曼母女的好意，并准备进入旧城区……	你接受了小曼母女的好意，並準備進入舊城區……	You gratefully accept Mandy and her mother's offer and are now prepared to venture into Oldtown...	シャオマンの母娘の親切を受け入れ、旧市街に入る準備をする。	맨디 모녀의 호의를 받아들이기로 결정하고, 구시가지로 진입할 준비를 하는데......	คุณ​ยอมรับ​น้ำใจ​ของ​สอง​แม่​ลูก​แมน​ดี้​แล้ว​ และ​เตรียมตัว​เข้าไป​ใน​เขตเมือง​โบราณ​...​
112	12	29:main_bg_16_s	35:main_bg_16		41:story_map_001				107160	108050	1		0	4190001;3000003;4100011	600;130000;100	4190001	600		1	普通	普通	Normal	普通	일반	ทั่วไป	旧事新伤	舊事新傷	Old Wounds, New Pain	新しい傷	지나간 일과 새로운 상처	แผลใหม่\nจากเรื่องเดิม	故事二	故事二	Story II	ストーリー2	STORY 2	เรื่องราวที่ 2	双城记	雙城記	Tale of Two Cities	二都物語	두 도시 이야기	บันทึกของ\nสองเมือง	深夜，你思考着在旧城区的遭遇……	深夜，你思考著在舊城區的遭遇……	In the late hours of the night, you reflect on the events that transpired in Oldtown...	深夜、あなたは旧市街での出会いに思いを馳せる......。	깊은 밤, 당신은 구시가지에서의 만남을 생각하고 있다......	กลางดึก​ คุณ​ครุ่นคิด​เกี่ยวกับ​การ​เผชิญหน้า​กับ​อันตราย​ที่​ใน​เขตเมือง​โบราณ​...​
113	13	29:main_bg_10_s	35:main_bg_10		41:story_map_001				108050	108251	1		0	4190001;3000003;6210003	600;140000;1	4190001	600	6210003	1	普通	普通	Normal	普通	일반	ทั่วไป	局中之人	局中之人	Players on a Board	渦中の人	남은 사람들	ผู้ที่อยู่ในแผน	故事二	故事二	Story II	ストーリー2	STORY 2	เรื่องราวที่ 2	双城记	雙城記	Tale of Two Cities	二都物語	두 도시 이야기	บันทึกของ\nสองเมือง	在他完全变成怪物之前，给予他解放吧……	在他完全變成怪物之前，給予他解放吧……	Grant him liberation before the monster completely consumes him...	彼が完全な怪物になる前に、彼に解放を与えよ......。	그가 완전히 퍼펫으로 변하기 전에 그를 해방시켜 주자......	ก่อนที่​เขา​จะ​กลายเป็น​สัตว์ประหลาด​โดย​สมบูรณ์แบบ​ ปล่อย​เขา​ให้​เป็นอิสระ​เถอะ​...​
114	14	29:main_bg_11_s	35:main_bg_11		41:story_map_001				108251	109170	1		0	4190001;3000003;4100011	600;150000;100	4190001	600		1	普通	普通	Normal	普通	일반	ทั่วไป	自深深处	自深深處	From the Depths	深淵より	깊은 곳으로부터	มาจากส่วนลึก	故事三	故事三	Story III	ストーリー3	STORY 3	เรื่องราวที่ 3	荆棘鸟（上）	荊棘鳥（上）	Thornbird (Part I)	いばらの鳥（前編）	가시나무새(상)	นกกิ่งหนาม (ตอนแรก)	在前往暴风眼总部述职的路上，两则怪谈吸引了众人的注意……	在前往暴風眼總部述職的路上，兩則怪談吸引了眾人的注意……	On your way to the StormEye HQ, two Paranormal stories capture everyone's attention...	ストームアイ本部に出頭する途中、2つの奇妙な物語が注目を集める......。	스톰아이 본부로 가는 길에 두 가지 괴담이 모두의 이목을 끌었다......	ระหว่างทาง​ไป​รายงาน​ที่​สำนักงานใหญ่​สตอร์ม​อาย​ ทั้งสอง​พูดคุย​เรื่อง​แปลก​ๆ​กัน​ ดึงดูด​ให้​ทุกคน​หันมา​สนใจ​
115	15	29:main_bg_12_s	35:main_bg_12		41:story_map_001				109170	110100	1		0	4190001;3000003;4100011	600;160000;100	4190001	600		1	普通	普通	Normal	普通	일반	ทั่วไป	留响空间	留響空間	Sensory Space	エコースペース	에코룸	ห้วงกังวาน	故事三	故事三	Story III	ストーリー3	STORY 3	เรื่องราวที่ 3	荆棘鸟（上）	荊棘鳥（上）	Thornbird (Part I)	いばらの鳥（前編）	가시나무새(상)	นกกิ่งหนาม (ตอนแรก)	并非只是灯光消失……四感被剥夺的现状让你们意识到……	並非只是燈光消失……四感被剝奪的現狀讓你們意識到……	It's not just the lights that vanish—your senses are completely deprived. You realize...	消えたのは明かりだけではない......四感が奪われている現状にあなたは気づいた......。	불빛이 사라졌을 뿐만 아니라...... 네 감각이 마비됐다는 건......	ไม่​ใช่​แค่​แสงไฟ​ที่​หาย​ไป​...​ สถานการณ์​ที่​ประสาทสัมผัส​ทั้ง​สี่​ถูก​พราก​ไป​ทำให้​พวกคุณ​ตระหนักถึง​...​
116	16	29:main_bg_13_s	35:main_bg_13		41:story_map_001				110100	110251	1		0	4190001;3000003;4100011	600;170000;100	4190001	600		1	普通	普通	Normal	普通	일반	ทั่วไป	镜中倒影	鏡中倒影	Reflection in the Mirror	鏡の中の反映	거울에 비친 그림자	เงาสะท้อน\nในกระจก	故事三	故事三	Story III	ストーリー3	STORY 3	เรื่องราวที่ 3	荆棘鸟（上）	荊棘鳥（上）	Thornbird (Part I)	いばらの鳥（前編）	가시나무새(상)	นกกิ่งหนาม (ตอนแรก)	你还是察觉到了，她对于某些事避而不谈……	你還是察覺到了，她對於某些事避而不談……	But you sense she's hiding something...	あなたはまだ、彼女があることについて話すのを避けていることに気づいている......	당신은 에코가 말하지 않은 것이 있다는 것을 눈치챘다......	คุณ​ก็​รู้สึก​ได้​ว่า​ เธอ​หลีกเลี่ยง​ที่จะ​ไม่​พูดถึง​เรื่อง​บางอย่าง​...​
117	17	29:main_bg_14_s	35:main_bg_14		41:story_map_001				110251	111171	1		0	4190001;3000003;6210004	600;180000;1	4190001	600	6210004	1	普通	普通	Normal	普通	일반	ทั่วไป	一曲终了	一曲終了	Finale of the Symphony	曲は終わった。	노래 한 곡이 끝났다	เมื่อเพลง\nบรรเลงจบ	故事三	故事三	Story III	ストーリー3	STORY 3	เรื่องราวที่ 3	荆棘鸟（上）	荊棘鳥（上）	Thornbird (Part I)	いばらの鳥（前編）	가시나무새(상)	นกกิ่งหนาม (ตอนแรก)	放下此前的遗憾，继续勇敢地走下去……这就是你的答案。	放下此前的遺憾，繼續勇敢地走下去……這就是你的答案。	Let go of past regrets. Face the future with bravery. That is your answer.	これまでの後悔を捨て、勇敢に前に進む...... これがあなたの答えです。	그동안의 아쉬움을 털어버리고 계속 용감하게 걸어가기로 했다...... 이게 당신의 대답이다.	ปล่อยวาง​ความเสียใจ​ใน​อดีต​ และ​เดินหน้า​ต่อไป​อย่าง​กล้าหาญ​...​ นี่​คือ​คำตอบ​ของ​คุณ​
118	18	29:main_bg_17_s	35:main_bg_17		41:story_map_001				111171	112050	1		0	4190001;3000003;4100032	600;190000;20	4190001	600		1	普通	普通	Normal	普通	일반	ทั่วไป	无尽梦魇	無盡夢魘	Never-ending Nightmare	終わりなき悪夢	끝없는 악몽	ฝันร้ายไม่รู้จบ	故事三	故事三	Story III	ストーリー3	STORY 3	เรื่องราวที่ 3	荆棘鸟（下）	荊棘鳥（下）	Thornbird (Part II)	いばらの鳥（後編）	가시나무새(하)	นก​กิ่ง​หนาม​ (​ตอน​ที่สอง​)​	在斐克医生口中，你的状况相当恶劣……	在斐克醫生口中，你的狀況相當惡劣……	Dr. Frek delivers grave news about your condition...	フェイク先生の話によると、あなたの状態は非常に悪い。	프렉 선생님의 말에 의하면, 당신은 상당히 심각한 모양이다...	จาก​คำพูด​ของ​คุณหมอ​ฟิค​ สภาพ​ของ​คุณ​ไม่​สู้​ดี​นัก​...​
119	19	29:main_bg_18_s	35:main_bg_18		41:story_map_001				112050	112242	1		0	4190001;3000003;6210019	600;200000;1	4190001	600	6210019	1	普通	普通	Normal	普通	일반	ทั่วไป	理想之城	理想之城	The Ideal City	理想の街	이상적인 도시	เมืองใน\nอุดมคติ	故事三	故事三	Story III	ストーリー3	STORY 3	เรื่องราวที่ 3	荆棘鸟（下）	荊棘鳥（下）	Thornbird (Part II)	いばらの鳥（後編）	가시나무새(하)	นก​กิ่ง​หนาม​ (​ตอน​ที่สอง​)​	此刻代表着暴风眼意志的你，向前迈出了坚定的一步……	此刻代表著暴風眼意志的你，向前邁出了堅定的一步……	Now imbued with the unwavering resolve of StormEye, you take a determined step forward...	今ストームアイを代表するあなたの背中を押し、確固たる一歩を踏み出させた。	지금 스톰아이의 의지를 대변하는 당신은, 앞을 향해 굳건한 발걸음을 내딛으려 한다...	ขณะนี้​ คุณ​ที่​เป็นตัวแทน​ความมุ่งมั่น​ของ​สตอร์ม​อาย​ ก้าว​ไป​ข้างหน้า​ด้วย​ความมั่นคง​...​
120	20	29:main_bg_20_s	35:main_bg_20		41:story_map_001				112242	120090	1		0	4190001;3000003;4100032	600;210000;20	4190001	600		1	普通	普通	Normal	普通	일반	ทั่วไป	未熄的心火	未熄的心火	Unquenched Flame	消えぬ心の炎	꺼지지 않는 분노	ไฟในหัวใจ\nที่ไม่มอดดับ	故事四	故事四	Story IV	ストーリー4	STORY4	เรื่องราวที่ 4	夜航者（上）	夜航者（上）	Night Wanderer (Part I)	夜の渡り者（前編）	밤의 항해자(상)	ผู้พเนจร\nยามราตรี\n(ตอนที่ 1)	站在了前所未有的高度，看到了很多事情，也明确了对于当下的厌恶，站在命运的十足路口，内心的火焰摇摆不定，将息未息。	站在了前所未有的高度，看到了很多事情，也明確了對於當下的厭惡，站在命運的十足路口，內心的火焰搖擺不定，將息未息。	From a unique vantage, you've come to despise the current state. At fate's crossroads, your inner flame flickers, nearly extinguished but still burning.	かつてない高みに登ったら、多くのものが見えてきた。そして、現在への嫌悪を露わにした。運命の分岐点に立ち、心の中の炎は揺れ動き、消えそうで消えない。	전례 없는 높이에 서서 많은 것을 보게 되었고, 현재에 대한 혐오를 명확히 하였다. 운명의 갈림길에 서서 마음속 불꽃이 흔들리고 있다.	​ยืน​อยู่​บน​จุด​สูงสุด​ที่​ไม่​เคย​มี​มา​ก่อน ​มอง​เห็น​หลาย​สิ่ง​หลาย​อย่าง ​และ​ได้​ตระหนัก​ถึง​ความ​น่า​สะอิดสะเอียน​เบื้อง​ล่าง​ ยืน​อยู่​ที่​ทาง​แยก​แห่ง​โชค​ชะตา​ เปลว​ไฟ​ใน​ใจ​สั่น​ไหว​อย่าง​ไม่​มั่นคง​ ไม่​มี​ท่าที​จะ​หยุด​นิ่ง​
121	21	29:main_bg_21_s	35:main_bg_21		41:story_map_001				120090	121080	1		0	4190001;3000003;4100032	600;220000;20	4190001	600		1	普通	普通	Normal	普通	일반	ทั่วไป	离群的羔羊	離群的羔羊	The Lone Lamb	迷える子羊	무리를 떠난 어린 양	ลูกแกะที่\nพลัดฝูง	故事四	故事四	Story IV	ストーリー4	STORY4	เรื่องราวที่ 4	夜航者（上）	夜航者（上）	Night Wanderer (Part I)	夜の渡り者（前編）	밤의 항해자(상)	ผู้พเนจร\nยามราตรี\n(ตอนที่ 1)	既是内心的离群，也表达真正的离开。逃离新海市区，来到离岛，传闻初现端倪。用抽离和短暂的沉沦，来发现从前没有看到的视角，从而寻找到再次出发的本心。	既是內心的離群，也表達真正的離開。逃離新海市區，來到離島，傳聞初現端倪。用抽離和短暫的沉淪，來發現從前沒有看到的視角，從而尋找到再次出發的本心。	Driven by a desire for freedom, you leave Catto City for Castaway Island, where whispers and new perspectives renew your purpose.	内なる離群の表しであり、本当の離脱も意味する。新海市区を逃れ、離島へ向かうと、噂の兆候が見えてくる。しばらく身を局外に置き、以前には見えなかった視点を取り入れることで、再出発の初心を見つけるのだ。	이는 마음의 고독을 표현함과 동시에 진정한 이탈을 의미한다. 신해 시내를 떠나 섬으로 도망쳐, 소문이 처음 드러났다. 분리와 잠깐의 침잠을 통해 이전에 보지 못했던 시각을 발견하고, 다시 출발할 본심을 찾는다.	เป็นการ​แยกตัว​ภายในใจ​ และ​ยัง​แสดงถึง​การ​จากไป​อย่าง​แท้จริง​ หลบหนี​จาก​เขตเมือง​แค​ทโตะ​ ซิตี้​ มา​จนถึง​เกาะ​นอก​ชายฝั่ง​ เริ่ม​มี​เบาะแส​ของ​ข่าวลือ​ปรากฏ​ให้​เห็น​ ใช้การ​ถอด​จิต​และ​ความตาย​ชั่วขณะ​ เพื่อ​หา​มุมมอง​ที่​ไม่​เคย​พบ​เจอ​มา​ก่อน​ และ​ค้นพบ​ความรู้สึก​ที่​แท้จริง​ใน​การ​ออกเดินทาง​อีกครั้ง​
122	22	29:main_bg_22_s	35:main_bg_22		41:story_map_001				121080	122090	1		0	4190001;3000003;4100032	600;230000;20	4190001	600		1	普通	普通	Normal	普通	일반	ทั่วไป	不祥的黑猫	不祥的黑貓	The Ominous Black Cat	不吉な黒猫	불길한 검은 고양이	แมวดำ\nอัปมงคล	故事四	故事四	Story IV	ストーリー4	STORY4	เรื่องราวที่ 4	夜航者（上）	夜航者（上）	Night Wanderer (Part I)	夜の渡り者（前編）	밤의 항해자(상)	ผู้พเนจร\nยามราตรี\n(ตอนที่ 1)	意外卷入变故。受责任驱使，开始调查。发现了不祥，而这个不祥却并非如人们所想的那样……	意外捲入變故。受責任驅使，開始調查。發現了不祥，而這個不祥卻並非如人們所想的那樣……	Unexpectedly caught in turmoil and driven by duty, you begin your investigation. An ominous sign is uncovered, holding secrets that elude the common eye...	異変に巻き込まれた。責任に駆られて調査を始める。不吉な兆しが現れたが、人々が思っていたものとかけ離れているようだ…	뜻밖에 변고에 휘말렸다. 책임감에 이끌려 조사를 시작한다. 불길한 징조를 발견하지만, 그것은 사람들이 생각하는 것과 다르다...	บังเอิญ​เข้าไป​เกี่ยวข้อง​กับ​เหตุการณ์​ที่​ไม่​คาดฝัน​ ด้วย​แรงผลักดัน​จาก​ความรับผิดชอบ​ จึง​เริ่มต้น​การสืบสวน​ พบ​สิ่ง​ที่​ไม่​เป็น​มงคล​ แต่​สิ่ง​ที่​ไม่​เป็น​มงคล​นี้​กลับ​ไม่​เป็นไป​ตามที่​ผู้คน​คิด​...​
