id	mapId	group	type	isSave	preconditionAutoKeys	showedEvents	gearCondition	disappearedRooms	showedRooms	skipTagWhenReload	customJobTagWhenAfter	customInfo	chest	show	icon	storyId	talkId	reward	rewardNum	rewardStory	regionId	end	isStoryHasBG	notes	status
10190	4	401	5.2-solved	1		6-battle		21	1;22;5;6		leaf_5			0											1
10191	4	401	6-battle	1		5.1-chest								1	155:spring_revealing_m418006.png						12140402				1
10192	4	401	5.1-chest	1		5.2-plot							1	1				9000023	100						1
10193	4	401	5.2-plot					22	1;23	23-condition				0		3007300							1		1
101931	4	401	23.1-PuzzleCustom		5.2-plot	23.1-gear;23.2-gear;23.3-gear;23.4-gear	23-condition							0											1
10194	4	401	23.1-gear				23-condition							1											1
10195	4	401	23.2-gear				23-condition							1											1
10196	4	401	23.3-gear				23-condition							1											1
10197	4	401	23.4-gear				23-condition							1											1
10198	4	401	7.2-failure											0											1
10199	4	401	7.2-solved	1		8-battle		22	23;7;8		leaf_7			0											1
10200	4	401	8-battle	1		7.1-chest								1	155:spring_revealing_m418006.png						12140404				1
10201	4	401	7.1-chest	1		7.2-plot							1	1				9000023	100						1
10202	4	401	7.2-plot					23	1;24	24-condition				0		3007310							1		1
102021	4	401	24.1-PuzzleCustom		7.2-plot	24.1-gear;24.2-gear;24.3-gear;24.4-gear	24-condition							0											1
10203	4	401	24.1-gear				24-condition							1											1
10204	4	401	24.2-gear				24-condition							1											1
10205	4	401	24.3-gear				24-condition							1											1
10206	4	401	24.4-gear				24-condition							1											1
10207	4	401	9.2-failure											0											1
10208	4	401	9.2-solved	1		10-battle		23	24;9;10		leaf_9			0											1
10209	4	401	10-battle	1		9.1-chest								1	155:spring_revealing_m30404101.png						12140405				1
10210	4	401	9.1-chest	1		1-boss							1	1				9000023	100	3007320			1		1
10211	4	401	1-boss	1								firstBoss		1	155:spring_revealing_m428006.png						12140406				1
10212	4	401	1-end	1	1-boss									0								1			1
10213	4	402	0-start	1		1-chest			0;1					0											1
10214	4	402	1-chest	1					0;1				1	0				9000023	100	3007340			1		1
10215	4	402	1-end	1	1-chest									0								1			1
