"JPL0_Summon_Tutorial_Free","Tutorial","1","Ten","None","","","","","","JPL0_Summon_Tutorial_Free_List","7000","2700","300","False","","","10000","","","","","","","SummonTab_Tutorial","Banner_Info_Tutorial","Banner_Bg_Tutorial","","1"
"JPL11_Summon_Normal_47Char","Normal","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","JPL11_Summon_Normal_47Char_List","7000","2700","300","True","","9700","300","","","","","","","SummonTab_Basic","Banner_Info_Basic","Banner_Bg_Basic","","999"
"JPL13_Summon_Normal_48Char","Normal","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","JPL13_Summon_Normal_48Char_List","7000","2700","300","True","","9700","300","","","","","","","SummonTab_Basic","Banner_Info_Basic","Banner_Bg_Basic","","999"
"JPL15_Summon_Normal_50Char","Normal","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","JPL15_Summon_Normal_50Char_List","7000","2700","300","True","","9700","300","","","","","","","SummonTab_Basic","Banner_Info_Basic","Banner_Bg_Basic","","999"
"JPL17_Summon_Normal_51Char","Normal","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","JPL17_Summon_Normal_51Char_List","7000","2700","300","True","","9700","300","","","","","","","SummonTab_Basic","Banner_Info_Basic","Banner_Bg_Basic","","999"
"JPL0_Summon_Pickup_Bell","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","JPL0_Summon_Pickup_Bell_List","7000","2700","230","True","","9700","230","Char_084_S01_G","70","True","","","","SummonTab_1weeks","Banner_Info_1weeks","Banner_Bg_1weeks","Video_1weeks_Pikup_1","5"
"JPL2_Summon_Pickup_Laura","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","JPL2_Summon_Pickup_Laura_List","7000","2700","230","True","","9700","230","Char_105_S01_B","70","True","","","","SummonTab_3weeks","Banner_Info_3weeks","Banner_Bg_3weeks","Video_3weeks_Pikup_1","5"
"JPL2_Summon_Pickup_Capeline","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","JPL2_Summon_Pickup_Capeline_List","7000","2700","230","True","","9700","230","Char_106_S01_R","70","True","","","","SummonTab_5weeks","Banner_Info_5weeks","Banner_Bg_5weeks","Video_5weeks_Pikup_1","6"
"JPL4_Summon_Pickup_Ingrid","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","JPL4_Summon_Pickup_Ingrid_List","7000","2700","230","True","","9700","230","Char_014_S01_D","70","True","","","","SummonTab_6weeks","Banner_Info_6weeks","Banner_Bg_6weeks","Video_Pickup_Ingrid","6"
"JPL4_Summon_Pickup_Eleonora","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","JPL4_Summon_Pickup_Eleonora_List","7000","2700","230","True","","9700","230","Char_104_S01_G","70","True","","","","SummonTab_8weeks","Banner_Info_8weeks","Banner_Bg_8weeks","Video_7weeks_Pikup_1","5"
"JPL7_Summon_Pickup_Rin","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","JPL7_Summon_Pickup_Rin_List","7000","2700","230","True","","9700","230","Char_083_S01_B","70","True","","","","SummonTab_Rin","Banner_Info_Rin","Banner_Bg_Rin","Video_Pickup_Rin","5"
"JPL7_Summon_Pickup_Scheherazade","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","JPL7_Summon_Pickup_Scheherazade_List","7000","2700","230","True","","9700","230","Char_038_S01_L","70","True","","","","SummonTab_Scheherazade","Banner_Info_Scheherazade","Banner_Bg_Scheherazade","Video_Pickup_Scheherazade","6"
"JPL9_Summon_Pickup_Snow","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","JPL9_Summon_Pickup_Snow_List","7000","2700","230","True","","9700","230","Char_097_S01_D","70","True","","","","SummonTab_Snow","Banner_Info_Snow","Banner_Bg_Snow","Video_9weeks_Pikup_1","5"
"JPL9_Summon_Pickup_Marie","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","JPL9_Summon_Pickup_Marie_List","7000","2700","230","True","","9700","230","Char_112_S01_B","70","True","","","","SummonTab_Marie","Banner_Info_Marie","Banner_Bg_Marie","Video_Pickup_Marie","6"
"JPL11_Summon_Pickup_Astia","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","JPL11_Summon_Pickup_Astia_List","7000","2700","230","True","","9700","230","Char_113_S01_B","70","True","","","","SummonTab_Astia","Banner_Info_Astia","Banner_Bg_Astia","Video_Pickup_Astia","5"
"JPL11_Summon_Pickup_Aria","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","JPL11_Summon_Pickup_Aria_List","7000","2700","230","True","","9700","230","Char_101_S01_B","70","True","","","","SummonTab_Aria","Banner_Info_Aria","Banner_Bg_Aria","Video_Pickup_Aria","6"
"JPL13_Summon_Pickup_Enoxia","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","JPL13_Summon_Pickup_Enoxia_List","7000","2700","230","True","","9700","230","Char_039_S01_G","70","True","","","","SummonTab_Enoxia","Banner_Info_Enoxia","Banner_Bg_Enoxia","Video_Pickup_Enoxia","5"
"JPL13_Summon_Pickup_Esmeralda","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","JPL13_Summon_Pickup_Esmeralda_List","7000","2700","230","True","","9700","230","Char_010_S01_B","70","True","","","","SummonTab_Esmeralda","Banner_Info_Esmeralda","Banner_Bg_Esmeralda","Video_Pickup_Esmeralda","6"
"JPL15_Summon_Pickup_Emma","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","JPL15_Summon_Pickup_Emma_List","7000","2700","230","True","","9700","230","Char_116_S01_R","70","True","","","","SummonTab_Emma","Banner_Info_Emma","Banner_Bg_Emma","Video_Pickup_Emma","5"
"JPL15_Summon_Pickup_JamieHook","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","JPL15_Summon_Pickup_JamieHook_List","7000","2700","230","True","","9700","230","Char_072_S01_R","70","True","","","","SummonTab_JamieHook","Banner_Info_JamieHook","Banner_Bg_JamieHook","Video_Pickup_JamieHook","6"
"Event_GuardianKnightFix_TenRoll","3GradeFix","1","Ten","Ticket","","","","Item_GachaTicket_GuardianKnightFix_TenRoll","GuardianKnightFixSummonPackage","Event_GuardianKnightFix_TenRoll_List","7000","2700","300","False","","","10000","","","","","","","SummonTab_GuardianKnightFix","Banner_Info_GuardianKnightFix","Banner_Bg_GuardianKnightFix","","7"
"Event_MageShooterFix_TenRoll","3GradeFix","1","Ten","Ticket","","","","Item_GachaTicket_MageShooterFix_TenRoll","MageShooterFixSummonPackage","Event_MageShooterFix_TenRoll_List","7000","2700","300","False","","","10000","","","","","","","SummonTab_MageShooterFix","Banner_Info_MageShooterFix","Banner_Bg_MageShooterFix","","8"
"JPL17_Summon_Pickup_Hilde_Christmas","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","JPL17_Summon_Pickup_Hilde_Christmas_List","7000","2700","230","True","","9700","230","Char_090_S02_G","70","True","","","","SummonTab_Hilde_Christmas","Banner_Info_Hilde_Christmas","Banner_Bg_Hilde_Christmas","Video_Pickup_Hilde_Christmas","5"
"JPL17_Summon_Pickup_Sharon_Christmas","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","JPL17_Summon_Pickup_Sharon_Christmas_List","7000","2700","230","True","","9700","230","Char_064_S02_G","70","True","","","","SummonTab_Sharon_Christmas","Banner_Info_Sharon_Christmas","Banner_Bg_Sharon_Christmas","Video_Pickup_Sharon_Christmas","6"
"JPL17_Summon_Free_100Roll","Normal","","Ten","Ticket","","","","Item_Ticket_Free_100Roll_GachaTicket_Event","","JPL17_Summon_Normal_51Char_List","7000","2700","300","True","","9700","230","","","","","","","SummonTab_Basic","Banner_Info_Basic","Banner_Bg_Basic","","999"
"JPL17_Summon_Free_100Roll","Normal","","Ten","Ticket","","","","Item_Ticket_Free_100Roll_GachaTicket_Event","","JPL17_Summon_Normal_51Char_List","7000","2700","300","True","","9700","230","","","","","","","SummonTab_Basic","Banner_Info_Basic","Banner_Bg_Basic","","999"
"01_Summon_Pickup_Bell","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","01_Summon_Pickup_Bell_List","7000","2700","230","True","","9700","230","Char_084_S01_G","70","True","","","","SummonTab_1weeks","Banner_Info_1weeks","Banner_Bg_1weeks","Video_1weeks_Pikup_1","5"
"02_Summon_Pickup_Laura","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","02_Summon_Pickup_Laura_List","7000","2700","230","True","","9700","230","Char_105_S01_B","70","True","","","","SummonTab_3weeks","Banner_Info_3weeks","Banner_Bg_3weeks","Video_3weeks_Pikup_1","5"
"03_Summon_Pickup_Capeline","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","03_Summon_Pickup_Capeline_List","7000","2700","230","True","","9700","230","Char_106_S01_R","70","True","","","","SummonTab_5weeks","Banner_Info_5weeks","Banner_Bg_5weeks","Video_5weeks_Pikup_1","6"
"04_Summon_Pickup_Ingrid","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","04_Summon_Pickup_Ingrid_List","7000","2700","230","True","","9700","230","Char_014_S01_D","70","True","","","","SummonTab_6weeks","Banner_Info_6weeks","Banner_Bg_6weeks","Video_Pickup_Ingrid","6"
"05_Summon_Pickup_Eleonora","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","05_Summon_Pickup_Eleonora_List","7000","2700","230","True","","9700","230","Char_104_S01_G","70","True","","","","SummonTab_8weeks","Banner_Info_8weeks","Banner_Bg_8weeks","Video_7weeks_Pikup_1","5"
"06_Summon_Pickup_Rin","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","06_Summon_Pickup_Rin_List","7000","2700","230","True","","9700","230","Char_083_S01_B","70","True","","","","SummonTab_Rin","Banner_Info_Rin","Banner_Bg_Rin","Video_Pickup_Rin","5"
"07_Summon_Pickup_Scheherazade","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","07_Summon_Pickup_Scheherazade_List","7000","2700","230","True","","9700","230","Char_038_S01_L","70","True","","","","SummonTab_Scheherazade","Banner_Info_Scheherazade","Banner_Bg_Scheherazade","Video_Pickup_Scheherazade","6"
"08_Summon_Pickup_Snow","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","08_Summon_Pickup_Snow_List","7000","2700","230","True","","9700","230","Char_097_S01_D","70","True","","","","SummonTab_Snow","Banner_Info_Snow","Banner_Bg_Snow","Video_9weeks_Pikup_1","5"
"09_Summon_Pickup_Marie","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","09_Summon_Pickup_Marie_List","7000","2700","230","True","","9700","230","Char_112_S01_B","70","True","","","","SummonTab_Marie","Banner_Info_Marie","Banner_Bg_Marie","Video_Pickup_Marie","6"
"10_Summon_Pickup_Astia","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","10_Summon_Pickup_Astia_List","7000","2700","230","True","","9700","230","Char_113_S01_B","70","True","","","","SummonTab_Astia","Banner_Info_Astia","Banner_Bg_Astia","Video_Pickup_Astia","5"
"11_Summon_Pickup_Aria","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","11_Summon_Pickup_Aria_List","7000","2700","230","True","","9700","230","Char_101_S01_B","70","True","","","","SummonTab_Aria","Banner_Info_Aria","Banner_Bg_Aria","Video_Pickup_Aria","6"
"12_Summon_Pickup_Enoxia","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","12_Summon_Pickup_Enoxia_List","7000","2700","230","True","","9700","230","Char_039_S01_G","70","True","","","","SummonTab_Enoxia","Banner_Info_Enoxia","Banner_Bg_Enoxia","Video_Pickup_Enoxia","5"
"13_Summon_Pickup_Esmeralda","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","13_Summon_Pickup_Esmeralda_List","7000","2700","230","True","","9700","230","Char_010_S01_B","70","True","","","","SummonTab_Esmeralda","Banner_Info_Esmeralda","Banner_Bg_Esmeralda","Video_Pickup_Esmeralda","6"
"14_Summon_Pickup_Emma","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","14_Summon_Pickup_Emma_List","7000","2700","230","True","","9700","230","Char_116_S01_R","70","True","","","","SummonTab_Emma","Banner_Info_Emma","Banner_Bg_Emma","Video_Pickup_Emma","5"
"15_Summon_Pickup_JamieHook","PickUp","","All","All","130","1300","Item_Ticket_GachaTicket","Item_Ticket_TenRoll_GachaTicket","","15_Summon_Pickup_JamieHook_List","7000","2700","230","True","","9700","230","Char_072_S01_R","70","True","","","","SummonTab_JamieHook","Banner_Info_JamieHook","Banner_Bg_JamieHook","Video_Pickup_JamieHook","6"
