"LobbyPanel","","Profile","","Ap:Gold:Dia","Mail:Notice:Menu",""
"UIBattleReadyPanelDungeon","","BackButton:Bg","HelpBtn_PartyFormation_Group","DungeonKey:Gold:Dia","Notice:Menu:Home",""
"ShopCoinGoldPanel","","BackButton:Bg","HelpBtn_CoinShop_Group","Gold","Notice:Menu:Home","Sfx_Bgm_Coinshop"
"ShopCoinMemoryPanel","","BackButton:Bg","HelpBtn_CoinShop_Group","MemoryCoin","Notice:Menu:Home","Sfx_Bgm_Coinshop"
"ShopCoinDungeonPanel","","BackButton:Bg","HelpBtn_CoinShop_Group","ExpeditionCoin","Notice:Menu:Home","Sfx_Bgm_Coinshop"
"ShopCoinTotalWarPanel","","BackButton:Bg","HelpBtn_CoinShop_Group","TotalWar_01","Notice:Menu:Home","Sfx_Bgm_Coinshop"
"ShopCoinArcanaPanel","","BackButton:Bg","HelpBtn_CoinShop_Group","ArcanaCoin","Notice:Menu:Home","Sfx_Bgm_Coinshop"
"ArenaPanel","","BackButton:Bg","HelpBtn_Arena_Group","ArenaTicket:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_Arena"
"EventAdventurePanel","","BackButton:Bg","HelpBtn_EventAdventure_Group","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_EventAdv_1st_Main"
"EventMissionPanel","","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_EventAdv_1st_Main"
"EventStoreEventAdventure_001_FlaskPanel","","BackButton:Bg","","Item_Coin_EventAdventure_001_Flask","Notice:Menu:Home","Sfx_Bgm_EventAdv_1st_Main"
"EventStoreEventAdventure_001_KeyPanel","","BackButton:Bg","","Item_Coin_EventAdventure_001_FlagPen","Notice:Menu:Home","Sfx_Bgm_EventAdv_1st_Main"
"EventStrategyStagePanel","","BackButton:Bg","","Item_EventAdventure_BossTicket","Notice:Menu:Home","Sfx_Bgm_EventAdv_1st_RaidStage"
"EventAdvnetureStagePanel","","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_EventAdv_1st_AdvStage"
"EventVotePanel","","BackButton:Bg","HelpBtn_EventAdventureGatcha_Group","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_EventAdv_1st_Vote"
"UIBattleReadyPanelArena","Arena_Title_AttackFormation","BackButton:Bg","HelpBtn_PartyFormation_Group","ArenaTicket:Gold:Dia","Notice:Menu:Home",""
"ShopCoinArenaPanel","","BackButton:Bg","HelpBtn_CoinShop_Group","ArenaCoin","Notice:Menu:Home","Sfx_Bgm_Coinshop"
"Special","","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_Coinshop"
"TaleStone","","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_Coinshop"
"Package","","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_Coinshop"
"BattlePassPanel","","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_Coinshop"
"StepUp","","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_Coinshop"
"SecretSafe","","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_Coinshop"
"StoryEpisodePanel","","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_Dashboard_Story"
"MemoryStoryPanel","","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_Dashboard_Story"
"EventStoryPanel","","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_Dashboard_Story"
"SubStoryPanel","","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_Dashboard_Story"
"UIBattleReadyPanelArenaDefense","Arena_Title_DefenseFormation","BackButton:Bg","HelpBtn_PartyFormation_Group","ArenaTicket:Gold:Dia","Notice:Menu:Home",""
