"Prologue_001_Wave1","TutorialMode","","Normal","Prologue_001","1","Environment_TutoBattle","Prologue_C024","1","Prologue_C591","1","Prologue_C024","1","","","","","","","","","","","",""
"AD_N_P1_002_005_Wave2","AdventureMode","","Normal","AD_N_P1_002_005","2","Environment_Adventure_Part1_NST2","CH2_F_C027R_G1","6","","","","","CH2_M_C528G_G1","6","","","","","CH2_B_C534R_G1","6","","","",""
"AD_N_P1_002_006_Wave1","AdventureMode","","Normal","AD_N_P1_002_006","1","Environment_Adventure_Part1_NST2","CH2_F_C027R_G1","7","","","","","CH2_M_C528G_G1","7","","","","","CH2_B_C530G_G1","7","","","",""
"AD_N_P1_002_006_Wave2","AdventureMode","","Normal","AD_N_P1_002_006","2","Environment_Adventure_Part1_NST2","CH2_F_C024G_G1","7","CH2_F_C024G_G1","7","","","CH2_M_C528G_G1","7","","","","","CH2_B_C025G_G1","7","","","",""
"AD_N_P1_002_007_Wave1","AdventureMode","","Normal","AD_N_P1_002_007","1","Environment_Adventure_Part1_NST2","CH2_F_C024G_G1","7","","","","","CH2_M_C528G_G1","7","","","","","CH2_B_C530G_G1","7","","","",""
"AD_N_P1_002_007_Wave2","AdventureMode","","Normal","AD_N_P1_002_007","2","Environment_Adventure_Part1_NST2","CH2_F_C024G_G1","7","CH2_F_C024G_G1","7","","","CH2_M_C046G_G1","7","","","","","CH2_B_C025G_G1","7","","","",""
"AD_N_P1_002_008_Wave1","AdventureMode","","Normal","AD_N_P1_002_008","1","Environment_Adventure_Part1_NST2","CH2_F_C045R_G1","7","","","","","CH2_M_C046G_G1","7","","","","","CH2_B_C534R_G1","7","","","",""
"AD_N_P1_002_008_Wave2","AdventureMode","","Normal","AD_N_P1_002_008","2","Environment_Adventure_Part1_NST2","CH2_F_C024G_G1","7","CH2_F_C024G_G1","7","","","CH2_M_C558G_G1","7","","","","","CH2_B_C025G_G1","7","","","",""
"AD_N_P1_002_009_Wave1","AdventureMode","","Normal","AD_N_P1_002_009","1","Environment_Adventure_Part1_NST2","CH2_F_C045R_G1","8","","","","","CH2_M_C046G_G1","8","","","","","CH2_B_C534R_G1","8","","","",""
"AD_N_P1_002_009_Wave2","AdventureMode","","Normal","AD_N_P1_002_009","2","Environment_Adventure_Part1_NST2","CH2_F_C045R_G1","8","CH2_F_C045R_G1","8","","","CH2_M_C527R_G1","8","","","","","CH2_B_C530G_G1","8","","","",""
"AD_N_P1_002_010_Wave1","AdventureMode","","Normal","AD_N_P1_002_010","1","Environment_Adventure_Part1_NST2","CH2_F_C024G_G1","8","CH2_F_C024G_G1","8","","","CH2_M_C057G_G1","8","","","","","CH2_B_C025G_G1","8","","","",""
"AD_N_P1_002_010_Wave2","AdventureMode","","Normal","AD_N_P1_002_010","2","Environment_Adventure_Part1_NST2","CH2_F_C051_G1","8","CH2_F_C024G_G1","8","","","CH2_M_C528G_G1","8","CH2_M_C057G_G1","8","","","","","","","",""
"AD_N_P1_002_011_Wave1","AdventureMode","","Normal","AD_N_P1_002_011","1","Environment_Adventure_Part1_NST2","CH2_F_C027G_G1","8","CH2_F_C027G_G1","8","","","CH2_M_C558G_G1","8","","","","","CH2_B_C025G_G1","8","","","",""
"AD_N_P1_002_011_Wave2","AdventureMode","","Normal","AD_N_P1_002_011","2","Environment_Adventure_Part1_NST2","CH2_F_C027R_G1","8","CH2_F_C027R_G1","8","","","CH2_M_C057G_G1","8","","","","","CH2_B_C530G_G1","8","","","",""
"AD_N_P1_002_012_Wave1","AdventureMode","","Normal","AD_N_P1_002_012","1","Environment_Adventure_Part1_NST2","CH2_F_C027R_G1","9","CH2_F_C027R_G1","9","","","CH2_M_C558G_G1","9","","","","","CH2_B_C025G_G1","9","","","",""
"AD_N_P1_002_012_Wave2","AdventureMode","","Normal","AD_N_P1_002_012","2","Environment_Adventure_Part1_NST2","CH2_F_C045R_G1","9","CH2_F_C045R_G1","9","CH2_F_C045R_G1","9","CH2_M_C558G_G1","9","","","","","CH2_M_C533R_G1","9","","","",""
"AD_N_P1_002_013_Wave1","AdventureMode","","Normal","AD_N_P1_002_013","1","Environment_Adventure_Part1_NST2","CH2_F_C045R_G1","9","CH2_F_C045R_G1","9","","","CH2_M_C527R_G1","9","","","","","CH2_B_C530G_G1","9","CH2_B_C534R_G1","9","",""
"AD_N_P1_002_013_Wave2","AdventureMode","","Normal","AD_N_P1_002_013","2","Environment_Adventure_Part1_NST2","CH2_F_C045R_G1","9","CH2_F_C045R_G1","9","CH2_F_C045R_G1","9","CH2_M_C527R_G1","9","CH2_M_C527R_G1","9","","","","","","","",""
"AD_N_P1_002_014_Wave1","AdventureMode","","Normal","AD_N_P1_002_014","1","Environment_Adventure_Part1_NST2","CH2_F_C024G_G1","9","CH2_F_C024G_G1","9","","","","","","","","","CH2_B_C025G_G1","9","CH2_M_C533R_G1","9","CH2_B_C025G_G1","9"
"AD_N_P1_002_014_Wave2","AdventureMode","","Normal","AD_N_P1_002_014","2","Environment_Adventure_Part1_NST2","CH2_F_C027R_G1","9","CH2_F_C027R_G1","9","","","CH2_M_C531R_G1","9","CH2_M_C531R_G1","9","","","CH2_B_C530G_G1","9","","","",""
"AD_N_P1_002_015_Wave1","AdventureMode","","Normal","AD_N_P1_002_015","1","Environment_Adventure_Part1_NST2","CH2_F_C045R_G1","10","CH2_F_C045R_G1","10","","","CH2_M_C527R_G1","10","","","","","CH2_B_C530G_G1","10","","","",""
"AD_N_P1_002_015_Wave2","AdventureMode","","Normal","AD_N_P1_002_015","2","Environment_Adventure_Part1_NST2","CH2_F_C045R_G1","10","CH2_F_C045R_G1","10","","","CH2_M_C080_G2","10","","","","","CH2_B_C052G_G1","10","","","",""
"AD_H_P1_002_001_Wave1","AdventureMode","","Normal","AD_H_P1_002_001","1","Environment_Adventure_Part1_HST2","CH2_F_C024G_G1","11","","","","","CH2_M_C528G_G1","11","","","","","CH2_B_C534R_G1","11","","","",""
"AD_H_P1_002_001_Wave2","AdventureMode","","Normal","AD_H_P1_002_001","2","Environment_Adventure_Part1_HST2","CH2_F_C027R_G1","11","","","","","CH2_M_C528G_G1","11","","","","","CH2_B_C534R_G1","11","","","",""
"AD_H_P1_002_002_Wave1","AdventureMode","","Normal","AD_H_P1_002_002","1","Environment_Adventure_Part1_HST2","CH2_F_C024G_G1","13","CH2_F_C024G_G1","13","","","CH2_M_C057G_G1","13","","","","","CH2_B_C025G_G1","13","","","",""
"AD_H_P1_002_002_Wave2","AdventureMode","","Normal","AD_H_P1_002_002","2","Environment_Adventure_Part1_HST2","CH2_F_C051_G1","13","CH2_F_C024G_G1","13","","","CH2_M_C528G_G1","13","CH2_M_C057G_G1","13","","","","","","","",""
"AD_H_P1_002_003_Wave1","AdventureMode","","Normal","AD_H_P1_002_003","1","Environment_Adventure_Part1_HST2","CH2_F_C045R_G1","15","CH2_F_C045R_G1","15","","","CH2_M_C527R_G1","15","","","","","CH2_B_C530G_G1","15","","","",""
"AD_H_P1_002_003_Wave2","AdventureMode","","Normal","AD_H_P1_002_003","2","Environment_Adventure_Part1_HST2","CH2_F_C045R_G1","15","CH2_F_C045R_G1","15","","","CH2_M_C080_G2","15","","","","","CH2_B_C052G_G1","15","","","",""
"AD_N_P1_003_001_Wave1","AdventureMode","","Normal","AD_N_P1_003_001","1","Environment_Adventure_Part1_NST3","CH3_F_C030B_G1","10","","","","","CH3_M_C558G_G1","10","","","","","CH3_B_C052G_G1","10","","","",""
"AD_N_P1_003_001_Wave2","AdventureMode","","Normal","AD_N_P1_003_001","2","Environment_Adventure_Part1_NST3","CH3_F_C030B_G1","10","","","","","CH3_M_C558G_G1","10","","","","","CH3_B_C052G_G1","10","","","",""
"AD_N_P1_003_002_Wave1","AdventureMode","","Normal","AD_N_P1_003_002","1","Environment_Adventure_Part1_NST3","CH3_F_C030B_G1","10","","","","","CH3_M_C558G_G1","10","","","","","CH3_B_C052G_G1","10","","","",""
"AD_N_P1_003_002_Wave2","AdventureMode","","Normal","AD_N_P1_003_002","2","Environment_Adventure_Part1_NST3","CH3_F_C030B_G1","10","","","","","CH3_M_C057G_G1","10","","","","","CH3_B_C052G_G1","10","","","",""
"AD_N_P1_003_003_Wave1","AdventureMode","","Normal","AD_N_P1_003_003","1","Environment_Adventure_Part1_NST3","CH3_F_C024G_G1","11","","","","","CH3_M_C046G_G1","11","","","","","CH3_B_C025G_G1","11","","","",""
"AD_N_P1_003_003_Wave2","AdventureMode","","Normal","AD_N_P1_003_003","2","Environment_Adventure_Part1_NST3","CH3_F_C024G_G1","11","","","","","","","","","","","CH3_B_C025G_G1","11","CH3_B_C025G_G1","11","",""
"AD_N_P1_003_004_Wave1","AdventureMode","","Normal","AD_N_P1_003_004","1","Environment_Adventure_Part1_NST3","CH3_F_C045R_G1","11","","","","","CH3_M_C046G_G1","11","","","","","CH3_B_C534R_G1","11","","","",""
"AD_N_P1_003_004_Wave2","AdventureMode","","Normal","AD_N_P1_003_004","2","Environment_Adventure_Part1_NST3","CH3_F_C045R_G1","11","CH3_F_C045R_G1","11","","","CH3_M_C046G_G1","11","","","","","CH3_B_C530G_G1","11","","","",""
"AD_N_P1_003_005_Wave1","AdventureMode","","Normal","AD_N_P1_003_005","1","Environment_Adventure_Part1_NST3","CH3_F_C045R_G1","11","","","","","CH3_M_C046G_G1","11","","","","","CH3_B_C052G_G1","11","","","",""
"AD_N_P1_003_005_Wave2","AdventureMode","","Normal","AD_N_P1_003_005","2","Environment_Adventure_Part1_NST3","CH3_F_C030B_G1","11","CH3_F_C030B_G1","11","","","CH3_M_C080_G1","11","","","","","","","","","",""
"AD_N_P1_003_006_Wave1","AdventureMode","","Normal","AD_N_P1_003_006","1","Environment_Adventure_Part1_NST3","CH3_F_C030B_G1","12","","","","","CH3_M_C558G_G1","12","","","","","CH3_B_C052G_G1","12","","","",""
"AD_N_P1_003_006_Wave2","AdventureMode","","Normal","AD_N_P1_003_006","2","Environment_Adventure_Part1_NST3","CH3_F_C030B_G1","12","","","","","CH3_M_C057G_G1","12","","","","","CH3_B_C052G_G1","12","","","",""
"AD_N_P1_003_007_Wave1","AdventureMode","","Normal","AD_N_P1_003_007","1","Environment_Adventure_Part1_NST3","CH3_F_C030B_G1","12","","","","","CH3_M_C558G_G1","12","","","","","CH3_B_C052G_G1","12","","","",""
"AD_N_P1_003_007_Wave2","AdventureMode","","Normal","AD_N_P1_003_007","2","Environment_Adventure_Part1_NST3","CH3_F_C030B_G1","12","","","","","CH3_M_C057G_G1","12","CH3_M_C057G_G1","12","","","CH3_B_C052G_G1","12","","","",""
"AD_N_P1_003_008_Wave1","AdventureMode","","Normal","AD_N_P1_003_008","1","Environment_Adventure_Part1_NST3","CH3_F_C030B_G1","12","","","","","CH3_M_C558G_G1","12","","","","","CH3_B_C052G_G1","12","","","",""
"AD_N_P1_003_008_Wave2","AdventureMode","","Normal","AD_N_P1_003_008","2","Environment_Adventure_Part1_NST3","CH3_F_C045R_G1","12","","","","","CH3_M_C046G_G1","12","CH3_M_C046G_G1","12","","","CH3_B_C530G_G1","12","","","",""
"AD_N_P1_003_009_Wave1","AdventureMode","","Normal","AD_N_P1_003_009","1","Environment_Adventure_Part1_NST3","CH3_F_C030B_G1","13","CH3_F_C030B_G1","13","","","CH3_M_C558G_G1","13","","","","","CH3_B_C052G_G1","13","","","",""
"AD_N_P1_003_009_Wave2","AdventureMode","","Normal","AD_N_P1_003_009","2","Environment_Adventure_Part1_NST3","CH3_F_C030B_G1","13","CH3_F_C030B_G1","13","","","","","","","","","CH3_B_C052G_G1","13","CH3_M_C533R_G1","13","",""
"AD_N_P1_003_010_Wave1","AdventureMode","","Normal","AD_N_P1_003_010","1","Environment_Adventure_Part1_NST3","CH3_F_C045R_G1","13","CH3_F_C045R_G1","13","","","CH3_M_C046G_G1","13","CH3_M_C046G_G1","13","","","","","","","",""
"AD_N_P1_003_010_Wave2","AdventureMode","","Normal","AD_N_P1_003_010","2","Environment_Adventure_Part1_NST3","CH3_F_C045R_G1","13","CH3_F_C098_G1","13","","","CH3_M_C527R_G1","13","","","","","CH3_B_C052G_G1","13","","","",""
"AD_N_P1_003_011_Wave1","AdventureMode","","Normal","AD_N_P1_003_011","1","Environment_Adventure_Part1_NST3","CH3_F_C030B_G1","13","CH3_F_C030B_G1","13","","","CH3_M_C558G_G1","13","","","","","CH3_B_C052G_G1","13","","","",""
"AD_N_P1_003_011_Wave2","AdventureMode","","Normal","AD_N_P1_003_011","2","Environment_Adventure_Part1_NST3","CH3_F_C030B_G1","13","CH3_F_C030B_G1","13","CH3_F_C030B_G1","13","CH3_M_C558G_G1","13","","","","","","","","","",""
"AD_N_P1_003_012_Wave1","AdventureMode","","Normal","AD_N_P1_003_012","1","Environment_Adventure_Part1_NST3","CH3_F_C030B_G1","14","CH3_F_C030B_G1","14","","","CH3_M_C046G_G1","14","","","","","CH3_B_C052G_G1","14","","","",""
"AD_N_P1_003_012_Wave2","AdventureMode","","Normal","AD_N_P1_003_012","2","Environment_Adventure_Part1_NST3","CH3_F_C045R_G1","14","CH3_F_C045R_G1","14","","","CH3_M_C527R_G1","14","","","","","CH3_B_C530G_G1","14","","","",""
"AD_N_P1_003_013_Wave1","AdventureMode","","Normal","AD_N_P1_003_013","1","Environment_Adventure_Part1_NST3","CH3_F_C030B_G1","14","CH3_F_C030B_G1","14","","","","","","","","","CH3_B_C052G_G1","14","CH3_M_C533R_G1","14","",""
"AD_N_P1_003_013_Wave2","AdventureMode","","Normal","AD_N_P1_003_013","2","Environment_Adventure_Part1_NST3","CH3_F_C024G_G1","14","CH3_F_C024G_G1","14","","","","","","","","","CH3_M_C533R_G1","14","CH3_B_C025G_G1","14","CH3_M_C533R_G1","14"
"AD_N_P1_003_014_Wave1","AdventureMode","","Normal","AD_N_P1_003_014","1","Environment_Adventure_Part1_NST3","CH3_F_C030B_G1","14","CH3_F_C030B_G1","14","CH3_F_C030B_G1","14","","","","","","","CH3_B_C052G_G1","14","CH3_M_C533R_G1","14","",""
"AD_N_P1_003_014_Wave2","AdventureMode","","Normal","AD_N_P1_003_014","2","Environment_Adventure_Part1_NST3","CH3_F_C045R_G1","14","CH3_F_C045R_G1","14","","","CH3_M_C527R_G1","14","CH3_M_C527R_G1","14","","","CH3_B_C530G_G1","14","","","",""
"AD_N_P1_003_015_Wave1","AdventureMode","","Normal","AD_N_P1_003_015","1","Environment_Adventure_Part1_NST3","CH3_F_C024G_G1","15","CH3_F_C024G_G1","15","","","CH3_M_C528G_G1","15","","","","","CH3_B_C530G_G1","15","","","",""
"AD_N_P1_003_015_Wave2","AdventureMode","","Normal","AD_N_P1_003_015","2","Environment_Adventure_Part1_NST3","CH3_F_C024G_G1","15","CH3_F_C024G_G1","15","","","CH3_M_C100_G2","15","","","","","CH3_B_C052G_G1","15","","","",""
"AD_H_P1_003_001_Wave1","AdventureMode","","Normal","AD_H_P1_003_001","1","Environment_Adventure_Part1_HST3","CH3_F_C045R_G1","16","","","","","CH3_M_C046G_G1","16","","","","","CH3_B_C052G_G1","16","","","",""
"AD_H_P1_003_001_Wave2","AdventureMode","","Normal","AD_H_P1_003_001","2","Environment_Adventure_Part1_HST3","CH3_F_C030B_G1","16","CH3_F_C030B_G1","16","","","CH3_M_C080_G1","16","","","","","","","","","",""
"AD_H_P1_003_002_Wave1","AdventureMode","","Normal","AD_H_P1_003_002","1","Environment_Adventure_Part1_HST3","CH3_F_C045R_G1","18","CH3_F_C045R_G1","18","","","CH3_M_C046G_G1","18","CH3_M_C046G_G1","18","","","","","","","",""
"AD_H_P1_003_002_Wave2","AdventureMode","","Normal","AD_H_P1_003_002","2","Environment_Adventure_Part1_HST3","CH3_F_C045R_G1","18","CH3_F_C098_G1","18","","","CH3_M_C527R_G1","18","","","","","CH3_B_C052G_G1","18","","","",""
"AD_H_P1_003_003_Wave1","AdventureMode","","Normal","AD_H_P1_003_003","1","Environment_Adventure_Part1_HST3","CH3_F_C024G_G1","20","CH3_F_C024G_G1","20","","","CH3_M_C528G_G1","20","","","","","CH3_B_C530G_G1","20","","","",""
