"Random_Dummy","Random_Dummy_Group","Random","2","5"
"Adventure_Normal_FirstReword_29","Adventure_Normal_FirstReword_29","Fixed","",""
"Adventure_Normal_FirstReword_30","Adventure_Normal_FirstReword_30","Fixed","",""
"Adventure_Normal_FirstReword_31","Adventure_Normal_FirstReword_31","Fixed","",""
"Adventure_Normal_FirstReword_32","Adventure_Normal_FirstReword_32","Fixed","",""
"Adventure_Normal_FirstReword_33","Adventure_Normal_FirstReword_33","Fixed","",""
"Adventure_Normal_FirstReword_34","Adventure_Normal_FirstReword_34","Fixed","",""
"Adventure_Normal_FirstReword_35","Adventure_Normal_FirstReword_35","Fixed","",""
"Adventure_Normal_FirstReword_36","Adventure_Normal_FirstReword_36","Fixed","",""
"Adventure_Normal_FirstReword_37","Adventure_Normal_FirstReword_37","Fixed","",""
"Adventure_Normal_FirstReword_38","Adventure_Normal_FirstReword_38","Fixed","",""
"Adventure_Normal_FirstReword_39","Adventure_Normal_FirstReword_39","Fixed","",""
"Adventure_Normal_FirstReword_40","Adventure_Normal_FirstReword_40","Fixed","",""
"Adventure_Normal_FirstReword_41","Adventure_Normal_FirstReword_41","Fixed","",""
"Adventure_Normal_FirstReword_42","Adventure_Normal_FirstReword_42","Fixed","",""
"Adventure_Normal_FirstReword_43","Adventure_Normal_FirstReword_43","Fixed","",""
"Adventure_Normal_FirstReword_44","Adventure_Normal_FirstReword_44","Fixed","",""
"Adventure_Normal_FirstReword_45","Adventure_Normal_FirstReword_45","Fixed","",""
"Adventure_Normal_FirstReword_46","Adventure_Normal_FirstReword_46","Fixed","",""
"Adventure_Normal_FirstReword_47","Adventure_Normal_FirstReword_47","Fixed","",""
"Adventure_Normal_FirstReword_48","Adventure_Normal_FirstReword_48","Fixed","",""
"Adventure_Normal_FirstReword_49","Adventure_Normal_FirstReword_49","Fixed","",""
"Adventure_Normal_FirstReword_50","Adventure_Normal_FirstReword_50","Fixed","",""
"Adventure_Normal_FirstReword_51","Adventure_Normal_FirstReword_51","Fixed","",""
"Adventure_Normal_FirstReword_52","Adventure_Normal_FirstReword_52","Fixed","",""
"Adventure_Normal_FirstReword_53","Adventure_Normal_FirstReword_53","Fixed","",""
"Adventure_Normal_FirstReword_54","Adventure_Normal_FirstReword_54","Fixed","",""
"Adventure_Normal_FirstReword_55","Adventure_Normal_FirstReword_55","Fixed","",""
"Adventure_Normal_FirstReword_56","Adventure_Normal_FirstReword_56","Fixed","",""
"Adventure_Normal_FirstReword_57","Adventure_Normal_FirstReword_57","Fixed","",""
"Adventure_Normal_FirstReword_58","Adventure_Normal_FirstReword_58","Fixed","",""
"Adventure_Normal_FirstReword_59","Adventure_Normal_FirstReword_59","Fixed","",""
"Adventure_Normal_FirstReword_60","Adventure_Normal_FirstReword_60","Fixed","",""
"Adventure_Normal_FirstReword_61","Adventure_Normal_FirstReword_61","Fixed","",""
"Adventure_Normal_FirstReword_62","Adventure_Normal_FirstReword_62","Fixed","",""
"Adventure_Normal_FirstReword_63","Adventure_Normal_FirstReword_63","Fixed","",""
"Adventure_Normal_FirstReword_64","Adventure_Normal_FirstReword_64","Fixed","",""
"Adventure_Normal_FirstReword_65","Adventure_Normal_FirstReword_65","Fixed","",""
"Adventure_Normal_FirstReword_66","Adventure_Normal_FirstReword_66","Fixed","",""
"Adventure_Normal_FirstReword_67","Adventure_Normal_FirstReword_67","Fixed","",""
"Adventure_Normal_FirstReword_68","Adventure_Normal_FirstReword_68","Fixed","",""
"Adventure_Normal_FirstReword_69","Adventure_Normal_FirstReword_69","Fixed","",""
"Adventure_Normal_FirstReword_70","Adventure_Normal_FirstReword_70","Fixed","",""
"Adventure_Normal_FirstReword_71","Adventure_Normal_FirstReword_71","Fixed","",""
"Adventure_Normal_FirstReword_72","Adventure_Normal_FirstReword_72","Fixed","",""
"Adventure_Normal_FirstReword_73","Adventure_Normal_FirstReword_73","Fixed","",""
"Adventure_Normal_FirstReword_74","Adventure_Normal_FirstReword_74","Fixed","",""
"Adventure_Normal_FirstReword_75","Adventure_Normal_FirstReword_75","Fixed","",""
"Adventure_Normal_FirstReword_76","Adventure_Normal_FirstReword_76","Fixed","",""
"Adventure_Normal_FirstReword_77","Adventure_Normal_FirstReword_77","Fixed","",""
"Adventure_Normal_FirstReword_78","Adventure_Normal_FirstReword_78","Fixed","",""
"Adventure_Normal_FirstReword_79","Adventure_Normal_FirstReword_79","Fixed","",""
"Adventure_Normal_FirstReword_80","Adventure_Normal_FirstReword_80","Fixed","",""
"Adventure_Normal_FirstReword_81","Adventure_Normal_FirstReword_81","Fixed","",""
"Adventure_Normal_FirstReword_82","Adventure_Normal_FirstReword_82","Fixed","",""
"Adventure_Normal_FirstReword_83","Adventure_Normal_FirstReword_83","Fixed","",""
"Adventure_Normal_FirstReword_84","Adventure_Normal_FirstReword_84","Fixed","",""
"Adventure_Normal_FirstReword_85","Adventure_Normal_FirstReword_85","Fixed","",""
"Adventure_Normal_FirstReword_86","Adventure_Normal_FirstReword_86","Fixed","",""
"Adventure_Normal_FirstReword_87","Adventure_Normal_FirstReword_87","Fixed","",""
"Adventure_Normal_FirstReword_88","Adventure_Normal_FirstReword_88","Fixed","",""
"Adventure_Normal_FirstReword_89","Adventure_Normal_FirstReword_89","Fixed","",""
"Adventure_Normal_FirstReword_90","Adventure_Normal_FirstReword_90","Fixed","",""
"Adventure_Normal_FirstReword_91","Adventure_Normal_FirstReword_91","Fixed","",""
"Adventure_Normal_FirstReword_92","Adventure_Normal_FirstReword_92","Fixed","",""
"Adventure_Normal_FirstReword_93","Adventure_Normal_FirstReword_93","Fixed","",""
"Adventure_Normal_FirstReword_94","Adventure_Normal_FirstReword_94","Fixed","",""
"Adventure_Normal_FirstReword_95","Adventure_Normal_FirstReword_95","Fixed","",""
"Adventure_Normal_FirstReword_96","Adventure_Normal_FirstReword_96","Fixed","",""
"Adventure_Normal_FirstReword_97","Adventure_Normal_FirstReword_97","Fixed","",""
"Adventure_Normal_FirstReword_98","Adventure_Normal_FirstReword_98","Fixed","",""
"Adventure_Normal_FirstReword_99","Adventure_Normal_FirstReword_99","Fixed","",""
"Adventure_Normal_FirstReword_100","Adventure_Normal_FirstReword_100","Fixed","",""
"Adventure_Normal_FirstReword_101","Adventure_Normal_FirstReword_101","Fixed","",""
"Adventure_Normal_FirstReword_102","Adventure_Normal_FirstReword_102","Fixed","",""
"Adventure_Normal_FirstReword_103","Adventure_Normal_FirstReword_103","Fixed","",""
"Adventure_Normal_FirstReword_104","Adventure_Normal_FirstReword_104","Fixed","",""
"Adventure_Normal_FirstReword_105","Adventure_Normal_FirstReword_105","Fixed","",""
"Adventure_Normal_FirstReword_106","Adventure_Normal_FirstReword_106","Fixed","",""
"Adventure_Normal_FirstReword_107","Adventure_Normal_FirstReword_107","Fixed","",""
"Adventure_Normal_FirstReword_108","Adventure_Normal_FirstReword_108","Fixed","",""
"Adventure_Normal_FirstReword_109","Adventure_Normal_FirstReword_109","Fixed","",""
"Adventure_Normal_FirstReword_110","Adventure_Normal_FirstReword_110","Fixed","",""
"Adventure_Normal_FirstReword_111","Adventure_Normal_FirstReword_111","Fixed","",""
"Adventure_Normal_FirstReword_112","Adventure_Normal_FirstReword_112","Fixed","",""
"Adventure_Normal_FirstReword_113","Adventure_Normal_FirstReword_113","Fixed","",""
"Adventure_Normal_FirstReword_114","Adventure_Normal_FirstReword_114","Fixed","",""
"Adventure_Normal_FirstReword_115","Adventure_Normal_FirstReword_115","Fixed","",""
"Adventure_Normal_FirstReword_116","Adventure_Normal_FirstReword_116","Fixed","",""
"Adventure_Normal_FirstReword_117","Adventure_Normal_FirstReword_117","Fixed","",""
"Adventure_Normal_FirstReword_118","Adventure_Normal_FirstReword_118","Fixed","",""
"Adventure_Normal_FirstReword_119","Adventure_Normal_FirstReword_119","Fixed","",""
"Adventure_Normal_FirstReword_120","Adventure_Normal_FirstReword_120","Fixed","",""
"Adventure_Normal_FirstReword_121","Adventure_Normal_FirstReword_121","Fixed","",""
"Adventure_Normal_FirstReword_122","Adventure_Normal_FirstReword_122","Fixed","",""
"Adventure_Normal_FirstReword_123","Adventure_Normal_FirstReword_123","Fixed","",""
"Adventure_Normal_FirstReword_124","Adventure_Normal_FirstReword_124","Fixed","",""
"Adventure_Normal_FirstReword_125","Adventure_Normal_FirstReword_125","Fixed","",""
"Adventure_Normal_FirstReword_126","Adventure_Normal_FirstReword_126","Fixed","",""
"Adventure_Normal_FirstReword_127","Adventure_Normal_FirstReword_127","Fixed","",""
"Adventure_Normal_FirstReword_128","Adventure_Normal_FirstReword_128","Fixed","",""
"Adventure_Normal_FirstReword_129","Adventure_Normal_FirstReword_129","Fixed","",""
"Adventure_Normal_FirstReword_130","Adventure_Normal_FirstReword_130","Fixed","",""
"Adventure_Normal_FirstReword_131","Adventure_Normal_FirstReword_131","Fixed","",""
"Adventure_Normal_FirstReword_132","Adventure_Normal_FirstReword_132","Fixed","",""
"Adventure_Normal_FirstReword_133","Adventure_Normal_FirstReword_133","Fixed","",""
"Adventure_Normal_FirstReword_134","Adventure_Normal_FirstReword_134","Fixed","",""
"Adventure_Normal_FirstReword_135","Adventure_Normal_FirstReword_135","Fixed","",""
"Adventure_Normal_FirstReword_136","Adventure_Normal_FirstReword_136","Fixed","",""
"Adventure_Normal_FirstReword_137","Adventure_Normal_FirstReword_137","Fixed","",""
"Adventure_Normal_FirstReword_138","Adventure_Normal_FirstReword_138","Fixed","",""
"Adventure_Normal_FirstReword_139","Adventure_Normal_FirstReword_139","Fixed","",""
"Adventure_Normal_FirstReword_140","Adventure_Normal_FirstReword_140","Fixed","",""
"Adventure_Normal_FirstReword_141","Adventure_Normal_FirstReword_141","Fixed","",""
"Adventure_Normal_FirstReword_142","Adventure_Normal_FirstReword_142","Fixed","",""
"Adventure_Normal_FirstReword_143","Adventure_Normal_FirstReword_143","Fixed","",""
"Adventure_Normal_FirstReword_144","Adventure_Normal_FirstReword_144","Fixed","",""
"Adventure_Normal_FirstReword_145","Adventure_Normal_FirstReword_145","Fixed","",""
"Adventure_Normal_FirstReword_146","Adventure_Normal_FirstReword_146","Fixed","",""
"Adventure_Normal_FirstReword_147","Adventure_Normal_FirstReword_147","Fixed","",""
"Adventure_Normal_FirstReword_148","Adventure_Normal_FirstReword_148","Fixed","",""
"Adventure_Normal_FirstReword_149","Adventure_Normal_FirstReword_149","Fixed","",""
"Adventure_Normal_FirstReword_150","Adventure_Normal_FirstReword_150","Fixed","",""
"Adventure_Normal_FirstReword_151","Adventure_Normal_FirstReword_151","Fixed","",""
"Adventure_Normal_FirstReword_152","Adventure_Normal_FirstReword_152","Fixed","",""
"Adventure_Normal_FirstReword_153","Adventure_Normal_FirstReword_153","Fixed","",""
"Adventure_Normal_FirstReword_154","Adventure_Normal_FirstReword_154","Fixed","",""
"Adventure_Normal_FirstReword_155","Adventure_Normal_FirstReword_155","Fixed","",""
"Adventure_Normal_FirstReword_156","Adventure_Normal_FirstReword_156","Fixed","",""
"Adventure_Normal_FirstReword_157","Adventure_Normal_FirstReword_157","Fixed","",""
"Adventure_Normal_FirstReword_158","Adventure_Normal_FirstReword_158","Fixed","",""
"Adventure_Normal_FirstReword_159","Adventure_Normal_FirstReword_159","Fixed","",""
"Adventure_Normal_FirstReword_160","Adventure_Normal_FirstReword_160","Fixed","",""
"Adventure_Normal_FirstReword_161","Adventure_Normal_FirstReword_161","Fixed","",""
"Adventure_Normal_FirstReword_162","Adventure_Normal_FirstReword_162","Fixed","",""
"Adventure_Normal_FirstReword_163","Adventure_Normal_FirstReword_163","Fixed","",""
"Adventure_Normal_FirstReword_164","Adventure_Normal_FirstReword_164","Fixed","",""
"Adventure_Normal_FirstReword_165","Adventure_Normal_FirstReword_165","Fixed","",""
"Adventure_Normal_FirstReword_166","Adventure_Normal_FirstReword_166","Fixed","",""
"Adventure_Normal_FirstReword_167","Adventure_Normal_FirstReword_167","Fixed","",""
"Adventure_Normal_FirstReword_168","Adventure_Normal_FirstReword_168","Fixed","",""
"Adventure_Normal_FirstReword_169","Adventure_Normal_FirstReword_169","Fixed","",""
"Adventure_Normal_FirstReword_170","Adventure_Normal_FirstReword_170","Fixed","",""
"Adventure_Normal_FirstReword_171","Adventure_Normal_FirstReword_171","Fixed","",""
"Adventure_Normal_FirstReword_172","Adventure_Normal_FirstReword_172","Fixed","",""
"Adventure_Normal_FirstReword_173","Adventure_Normal_FirstReword_173","Fixed","",""
"Adventure_Normal_FirstReword_174","Adventure_Normal_FirstReword_174","Fixed","",""
"Adventure_Normal_FirstReword_175","Adventure_Normal_FirstReword_175","Fixed","",""
"Adventure_Normal_FirstReword_176","Adventure_Normal_FirstReword_176","Fixed","",""
"Adventure_Normal_FirstReword_177","Adventure_Normal_FirstReword_177","Fixed","",""
"Adventure_Normal_FirstReword_178","Adventure_Normal_FirstReword_178","Fixed","",""
"Adventure_Normal_FirstReword_179","Adventure_Normal_FirstReword_179","Fixed","",""
"Adventure_Normal_FirstReword_180","Adventure_Normal_FirstReword_180","Fixed","",""
"Adventure_Normal_FirstReword_181","Adventure_Normal_FirstReword_181","Fixed","",""
"Adventure_Normal_FirstReword_182","Adventure_Normal_FirstReword_182","Fixed","",""
"Adventure_Normal_FirstReword_183","Adventure_Normal_FirstReword_183","Fixed","",""
"Adventure_Normal_FirstReword_184","Adventure_Normal_FirstReword_184","Fixed","",""
"Adventure_Normal_FirstReword_185","Adventure_Normal_FirstReword_185","Fixed","",""
"Adventure_Normal_FirstReword_186","Adventure_Normal_FirstReword_186","Fixed","",""
"Adventure_Normal_FirstReword_187","Adventure_Normal_FirstReword_187","Fixed","",""
"Adventure_Normal_FirstReword_188","Adventure_Normal_FirstReword_188","Fixed","",""
"Adventure_Normal_FirstReword_189","Adventure_Normal_FirstReword_189","Fixed","",""
"Adventure_Normal_FirstReword_190","Adventure_Normal_FirstReword_190","Fixed","",""
"Adventure_Normal_FirstReword_191","Adventure_Normal_FirstReword_191","Fixed","",""
"Adventure_Normal_FirstReword_192","Adventure_Normal_FirstReword_192","Fixed","",""
"Adventure_Normal_FirstReword_193","Adventure_Normal_FirstReword_193","Fixed","",""
"Adventure_Normal_FirstReword_194","Adventure_Normal_FirstReword_194","Fixed","",""
"Adventure_Normal_FirstReword_195","Adventure_Normal_FirstReword_195","Fixed","",""
"Adventure_Normal_FirstReword_196","Adventure_Normal_FirstReword_196","Fixed","",""
"Adventure_Normal_FirstReword_197","Adventure_Normal_FirstReword_197","Fixed","",""
"Adventure_Normal_FirstReword_198","Adventure_Normal_FirstReword_198","Fixed","",""
"Adventure_Normal_FirstReword_199","Adventure_Normal_FirstReword_199","Fixed","",""
"Adventure_Normal_FirstReword_200","Adventure_Normal_FirstReword_200","Fixed","",""
"Adventure_Normal_FirstReword_201","Adventure_Normal_FirstReword_201","Fixed","",""
"Adventure_Normal_FirstReword_202","Adventure_Normal_FirstReword_202","Fixed","",""
"Adventure_Normal_FirstReword_203","Adventure_Normal_FirstReword_203","Fixed","",""
"Adventure_Normal_FirstReword_204","Adventure_Normal_FirstReword_204","Fixed","",""
"Adventure_Normal_FirstReword_205","Adventure_Normal_FirstReword_205","Fixed","",""
"Adventure_Normal_FirstReword_206","Adventure_Normal_FirstReword_206","Fixed","",""
"Adventure_Normal_FirstReword_207","Adventure_Normal_FirstReword_207","Fixed","",""
"Adventure_Normal_FirstReword_208","Adventure_Normal_FirstReword_208","Fixed","",""
"Adventure_Normal_FirstReword_209","Adventure_Normal_FirstReword_209","Fixed","",""
"Adventure_Normal_FirstReword_210","Adventure_Normal_FirstReword_210","Fixed","",""
"Adventure_Normal_FirstReword_211","Adventure_Normal_FirstReword_211","Fixed","",""
"Adventure_Normal_FirstReword_212","Adventure_Normal_FirstReword_212","Fixed","",""
"Adventure_Normal_FirstReword_213","Adventure_Normal_FirstReword_213","Fixed","",""
"Adventure_Normal_FirstReword_214","Adventure_Normal_FirstReword_214","Fixed","",""
"Adventure_Normal_FirstReword_215","Adventure_Normal_FirstReword_215","Fixed","",""
"Adventure_Normal_FirstReword_216","Adventure_Normal_FirstReword_216","Fixed","",""
"Adventure_Normal_FirstReword_217","Adventure_Normal_FirstReword_217","Fixed","",""
"Adventure_Normal_FirstReword_218","Adventure_Normal_FirstReword_218","Fixed","",""
"Adventure_Normal_FirstReword_219","Adventure_Normal_FirstReword_219","Fixed","",""
"Adventure_Normal_FirstReword_220","Adventure_Normal_FirstReword_220","Fixed","",""
"Adventure_Normal_FirstReword_221","Adventure_Normal_FirstReword_221","Fixed","",""
"Adventure_Normal_FirstReword_222","Adventure_Normal_FirstReword_222","Fixed","",""
"Adventure_Normal_FirstReword_223","Adventure_Normal_FirstReword_223","Fixed","",""
"Adventure_Normal_FirstReword_224","Adventure_Normal_FirstReword_224","Fixed","",""
"Adventure_Normal_FirstReword_225","Adventure_Normal_FirstReword_225","Fixed","",""
"Adventure_Normal_FirstReword_226","Adventure_Normal_FirstReword_226","Fixed","",""
"Adventure_Normal_FirstReword_227","Adventure_Normal_FirstReword_227","Fixed","",""
"Adventure_Normal_FirstReword_228","Adventure_Normal_FirstReword_228","Fixed","",""
"Adventure_Normal_FirstReword_229","Adventure_Normal_FirstReword_229","Fixed","",""
"Adventure_Normal_FirstReword_230","Adventure_Normal_FirstReword_230","Fixed","",""
"Adventure_Normal_FirstReword_231","Adventure_Normal_FirstReword_231","Fixed","",""
"Adventure_Normal_FirstReword_232","Adventure_Normal_FirstReword_232","Fixed","",""
"Adventure_Normal_FirstReword_233","Adventure_Normal_FirstReword_233","Fixed","",""
"Adventure_Normal_FirstReword_234","Adventure_Normal_FirstReword_234","Fixed","",""
"Adventure_Normal_FirstReword_235","Adventure_Normal_FirstReword_235","Fixed","",""
"Adventure_Normal_FirstReword_236","Adventure_Normal_FirstReword_236","Fixed","",""
"Adventure_Normal_FirstReword_237","Adventure_Normal_FirstReword_237","Fixed","",""
"Adventure_Normal_FirstReword_238","Adventure_Normal_FirstReword_238","Fixed","",""
"Adventure_Normal_FirstReword_239","Adventure_Normal_FirstReword_239","Fixed","",""
"Adventure_Normal_FirstReword_240","Adventure_Normal_FirstReword_240","Fixed","",""
"Adventure_Hard_FirstReword_1","Adventure_Hard_FirstReword_1","Fixed","",""
"Adventure_Hard_FirstReword_2","Adventure_Hard_FirstReword_2","Fixed","",""
"Adventure_Hard_FirstReword_3","Adventure_Hard_FirstReword_3","Fixed","",""
"Adventure_Hard_FirstReword_4","Adventure_Hard_FirstReword_4","Fixed","",""
"Adventure_Hard_FirstReword_5","Adventure_Hard_FirstReword_5","Fixed","",""
"Adventure_Hard_FirstReword_6","Adventure_Hard_FirstReword_6","Fixed","",""
"Adventure_Hard_FirstReword_7","Adventure_Hard_FirstReword_7","Fixed","",""
"Adventure_Hard_FirstReword_8","Adventure_Hard_FirstReword_8","Fixed","",""
"Adventure_Hard_FirstReword_9","Adventure_Hard_FirstReword_9","Fixed","",""
"Adventure_Hard_FirstReword_10","Adventure_Hard_FirstReword_10","Fixed","",""
"Adventure_Hard_FirstReword_11","Adventure_Hard_FirstReword_11","Fixed","",""
"Adventure_Hard_FirstReword_12","Adventure_Hard_FirstReword_12","Fixed","",""
"Adventure_Hard_FirstReword_13","Adventure_Hard_FirstReword_13","Fixed","",""
"Adventure_Hard_FirstReword_14","Adventure_Hard_FirstReword_14","Fixed","",""
"Adventure_Hard_FirstReword_15","Adventure_Hard_FirstReword_15","Fixed","",""
"Adventure_Hard_FirstReword_16","Adventure_Hard_FirstReword_16","Fixed","",""
"Adventure_Hard_FirstReword_17","Adventure_Hard_FirstReword_17","Fixed","",""
"Adventure_Hard_FirstReword_18","Adventure_Hard_FirstReword_18","Fixed","",""
"Adventure_Hard_FirstReword_19","Adventure_Hard_FirstReword_19","Fixed","",""
"Adventure_Hard_FirstReword_20","Adventure_Hard_FirstReword_20","Fixed","",""
"Adventure_Hard_FirstReword_21","Adventure_Hard_FirstReword_21","Fixed","",""
"Adventure_Hard_FirstReword_22","Adventure_Hard_FirstReword_22","Fixed","",""
"Adventure_Hard_FirstReword_23","Adventure_Hard_FirstReword_23","Fixed","",""
"Adventure_Hard_FirstReword_24","Adventure_Hard_FirstReword_24","Fixed","",""
"Adventure_Hard_FirstReword_25","Adventure_Hard_FirstReword_25","Fixed","",""
"Adventure_Hard_FirstReword_26","Adventure_Hard_FirstReword_26","Fixed","",""
"Adventure_Hard_FirstReword_27","Adventure_Hard_FirstReword_27","Fixed","",""
"Adventure_Hard_FirstReword_28","Adventure_Hard_FirstReword_28","Fixed","",""
"Adventure_Hard_FirstReword_29","Adventure_Hard_FirstReword_29","Fixed","",""
"Adventure_Hard_FirstReword_30","Adventure_Hard_FirstReword_30","Fixed","",""
"Adventure_Hard_FirstReword_31","Adventure_Hard_FirstReword_31","Fixed","",""
"Adventure_Hard_FirstReword_32","Adventure_Hard_FirstReword_32","Fixed","",""
"Adventure_Hard_FirstReword_33","Adventure_Hard_FirstReword_33","Fixed","",""
"Adventure_Hard_FirstReword_34","Adventure_Hard_FirstReword_34","Fixed","",""
"Adventure_Hard_FirstReword_35","Adventure_Hard_FirstReword_35","Fixed","",""
"Adventure_Hard_FirstReword_36","Adventure_Hard_FirstReword_36","Fixed","",""
"Adventure_Hard_FirstReword_37","Adventure_Hard_FirstReword_37","Fixed","",""
"Adventure_Hard_FirstReword_38","Adventure_Hard_FirstReword_38","Fixed","",""
"Adventure_Hard_FirstReword_39","Adventure_Hard_FirstReword_39","Fixed","",""
"Adventure_Hard_FirstReword_40","Adventure_Hard_FirstReword_40","Fixed","",""
"Adventure_Hard_FirstReword_41","Adventure_Hard_FirstReword_41","Fixed","",""
"Adventure_Hard_FirstReword_42","Adventure_Hard_FirstReword_42","Fixed","",""
"Adventure_Hard_FirstReword_43","Adventure_Hard_FirstReword_43","Fixed","",""
"Adventure_Hard_FirstReword_44","Adventure_Hard_FirstReword_44","Fixed","",""
"Adventure_Hard_FirstReword_45","Adventure_Hard_FirstReword_45","Fixed","",""
"Adventure_Hard_FirstReword_46","Adventure_Hard_FirstReword_46","Fixed","",""
"Adventure_Hard_FirstReword_47","Adventure_Hard_FirstReword_47","Fixed","",""
"Adventure_Hard_FirstReword_48","Adventure_Hard_FirstReword_48","Fixed","",""
"Adventure_Normal_FixedReword","Adventure_Normal_FixedReword","Fixed","",""
"Adventure_Hard_FixedReword","Adventure_Hard_FixedReword","Fixed","",""
"Adventure_RandomReword_Equip_Level1_1","Adventure_RandomReword_Equip_Level1_1","Random","1","3"
"Adventure_RandomReword_Equip_Level1_2","Adventure_RandomReword_Equip_Level1_2","Random","1","3"
"Adventure_RandomReword_Equip_Level1_3","Adventure_RandomReword_Equip_Level1_3","Random","1","3"
"Adventure_RandomReword_Equip_Level1_4","Adventure_RandomReword_Equip_Level1_4","Random","1","3"
"Adventure_RandomReword_Equip_Level1_5","Adventure_RandomReword_Equip_Level1_5","Random","1","3"
"Adventure_RandomReword_Equip_Level1_6","Adventure_RandomReword_Equip_Level1_6","Random","1","3"
"Adventure_RandomReword_Equip_Level1_7","Adventure_RandomReword_Equip_Level1_7","Random","1","3"
"Adventure_RandomReword_Equip_Level1_8","Adventure_RandomReword_Equip_Level1_8","Random","1","3"
"Adventure_RandomReword_Equip_Level1_9","Adventure_RandomReword_Equip_Level1_9","Random","1","3"
"Adventure_RandomReword_Equip_Level1_10","Adventure_RandomReword_Equip_Level1_10","Random","1","3"
"Adventure_RandomReword_Equip_Level1_11","Adventure_RandomReword_Equip_Level1_11","Random","1","3"
"Adventure_RandomReword_Equip_Level1_12","Adventure_RandomReword_Equip_Level1_12","Random","1","3"
"Adventure_RandomReword_Equip_Level1_13","Adventure_RandomReword_Equip_Level1_13","Random","1","3"
"Adventure_RandomReword_Equip_Level1_14","Adventure_RandomReword_Equip_Level1_14","Random","1","3"
"Adventure_RandomReword_Equip_Level1_15","Adventure_RandomReword_Equip_Level1_15","Random","1","3"
"Adventure_RandomReword_Equip_Level2_1","Adventure_RandomReword_Equip_Level2_1","Random","1","3"
"Adventure_RandomReword_Equip_Level2_2","Adventure_RandomReword_Equip_Level2_2","Random","1","3"
"Adventure_RandomReword_Equip_Level2_3","Adventure_RandomReword_Equip_Level2_3","Random","1","3"
"Adventure_RandomReword_Equip_Level2_4","Adventure_RandomReword_Equip_Level2_4","Random","1","3"
"Adventure_RandomReword_Equip_Level2_5","Adventure_RandomReword_Equip_Level2_5","Random","1","3"
"Adventure_RandomReword_Equip_Level2_6","Adventure_RandomReword_Equip_Level2_6","Random","1","3"
"Adventure_RandomReword_Equip_Level2_7","Adventure_RandomReword_Equip_Level2_7","Random","1","3"
"Adventure_RandomReword_Equip_Level2_8","Adventure_RandomReword_Equip_Level2_8","Random","1","3"
"Adventure_RandomReword_Equip_Level2_9","Adventure_RandomReword_Equip_Level2_9","Random","1","3"
"Adventure_RandomReword_Equip_Level2_10","Adventure_RandomReword_Equip_Level2_10","Random","1","3"
"Adventure_RandomReword_Equip_Level2_11","Adventure_RandomReword_Equip_Level2_11","Random","1","3"
"Adventure_RandomReword_Equip_Level2_12","Adventure_RandomReword_Equip_Level2_12","Random","1","3"
"Adventure_RandomReword_Equip_Level2_13","Adventure_RandomReword_Equip_Level2_13","Random","1","3"
