id	catId	map	mapType	action	animation	random	status	line	line_zh_TW	line_en_UK	line_ja_JP	line_ko_KR	line_th_TH
10125	101	1	3	14	cat_101_map_enter_2	0	1	怎么啦？想要一位熟门熟路的好向导吗？我可以陪你一起去转转哦！	怎麼啦？想要一位熟門熟路的好嚮導嗎？我可以陪你一起去轉轉哦！	What's up? Looking for a reliable guide? I'd be more than happy to show you around!	どうかした？コンシ区を知り尽くした優秀なガイドを探しているの？私が付き合うよ！	무슨 일이야? 능력 있는 가이드가 필요해? 함께 가주지!	เป็น​อะไร​เหรอ​?​ อยากได้​ไกด์​ผู้ชำนาญ​เส้นทาง​ดี​ๆ​ สัก​คน​ไหม​ล่ะ​?​ ฉัน​ไปเป็นเพื่อน​คุณ​ได้​นะ​!​
20101	201	2	1	1	cat_102_idle_1	0	1						
20103	201	2	1	2	cat_102_map_enter_2	0	1	怎么样，咱们南港很热闹吧！不过可要小心，别一眨眼就钱包空空啦！	怎麼樣，咱們南港很熱鬧吧！不過可要小心，別一眨眼就錢包空空啦！	Southport is quite lively, isn't it? Just be careful not to empty your wallet too quickly!	どうだ、南港区は賑やかだろう？でも気をつけないと、瞬く間に財布が空っぽになっちゃうぞ！	어때, 우리 사우스포트 엄청 시끌벅적하지! 그런데 조심해야 해요, 눈 깜짝할 새 지갑이 텅텅 비어버릴 수 있으니깐!	เป็น​อย่างไรบ้าง​ ทะเล​ใต้​ของ​เรา​ครึกครื้น​สุด​ๆ​ ไป​เลย​ล่ะ​สิ​!​ แต่​ต้อง​ระวัง​ไว้​สักหน่อย​ อย่า​ปล่อย​ให้​กระเป๋า​ตังค์​ของ​คุณ​เกลี้ยง​ใน​พริบตา​ล่ะ​!​
20104	201	2	1	2	cat_102_map_enter_2	0	1	咱们南港人都这么热情！嘿，不会让你感觉不自在吧？	咱們南港人都這麼熱情！嘿，不會讓你感覺不自在吧？	All the folks in Southport are as friendly as me! It doesn't make you feel uneasy, does it?	南港区のみんな、すっげぇ親切だろう！あっ、居心地良いだろう？	우리 사우스포트 사람들은 열정적이지! 그런데 그게 불편한 건 아니지?	พวกเรา​ชาว​ทะเล​ใต้​มี​ความเร่าร้อน​กัน​ขนาด​นี้​!​ เฮ้​ นี่​คง​ไม่​ทำให้​คุณ​รู้สึก​อึดอัด​หรอก​นะ​?​
20105	201	2	1	2	cat_102_map_enter_2	0	1	南港是工业区嘛，所以空气质量是差了点……但咱这里好玩的地方还是很多的！	南港是工業區啦，所以空氣品質是差了點……但咱這裡好玩的地方還是很多的！	Southport is an industrial zone, so the air quality here isn't the best... but we have plenty of fun places to explore!	南港区は工業地帯だから、空気は少し悪いけど……でも見どころはたくさんあるんだ！	사우스포트는 공업지구야, 그래서 공기가 좀 안 좋아... 그래도 놀 곳은 많다구!	ทะเล​ใต้​เป็น​เขตอุตสาหกรรม​นี่​นา​ ก็​เลย​มี​คุณภาพ​อากาศ​ที่​ไม่ค่อย​ดี​สัก​เท่าไหร่​...​ แต่​ที่นี่​ก็​ยังมี​ที่เที่ยว​สนุก​ๆ​ เยอะแยะ​นะ​!​
20106	201	2	1	2	cat_102_map_enter_3	0	1	咱可好久没见到你了！最近活儿很多吧？有用得上咱的尽管说！	咱可好久沒見到你了！最近活兒很多吧？有用得上咱的儘管說！	It's been ages since we last saw you! Have you been busy with work? If you need any assistance, just let us know!	久しぶり！最近、仕事忙しかったのか？何か手伝えることがあったら言ってくれ！	꽤 오래간만이군! 요새 일이 많은가 봐? 필요한 게 있으면 뭐든 말 하라구!	เรา​ไม่​ได้​เจอกัน​นาน​เลย​นะ​!​ ช่วงนี้​งาน​เยอะ​ใช่ไหม​?​ ถ้า​มี​อะไร​ให้​เรา​ช่วย​ก็​บอก​มา​ได้​เลย​นะ​!​
20108	201	2	1	3	cat_102_map_standby_1	0	1	花园街有咱们南港区最大的贸易市场！想挑选食材，去那里准没错！	花園街有咱們南港區最大的貿易市場！想挑選食材，去那裡准沒錯！	Garden Street is home to Southport's largest trading market! If you're looking to buy ingredients, that's the place to go!	ガーデンストリートには南港区最大のマーケットがある！食材を手に入れたいなら、そこに行きゃ間違いない！	가든 스트리트에는 우리 사우스포트의 최대 무역시장이 있지! 식재료가 필요하면, 그리로 가봐!	ถนน​การ์​เด้​น​มี​ตลาด​การค้า​ขนาดใหญ่​ที่สุด​ใน​เขต​ทะเล​ใต้​ของ​พวกเรา​!​ ถ้า​อยาก​เลือก​ซื้อ​วัตถุดิบ​อาหาร​แล้ว​ล่ะ​ก็​ ไป​ที่นั่น​ไม่​มีทาง​ผิดหวัง​แน่นอน​!​
20109	201	2	1	3	cat_102_map_standby_1	0	1	哦哦，你说斯皮亚水库啊！那里曾经是水电站没错，现在已经变成超级有名的渔场啦！	哦哦，你說斯皮亞水庫啊！那裡曾經是水電站沒錯，現在已經變成超級有名的漁場啦！	Oh, you're referring to Spya Reservoir! It used to be a hydroelectric power plant, but now it's a well-known fishery!	ああ、スピーヤー貯水池のことだな！ 昔は水力発電所だったけど、今は絶好の釣り場になってるぞ！	아아, 스피어 저수지를 말하는 거군! 거긴 한때 수력 발전소였는데, 지금은 엄청 유명한 낚시터로 바뀌었어!	อ้อ​ๆ​ คุณ​หมายถึง​อ่างเก็บน้ำ​สเปียร์​เหรอ​!​ ที่นั่น​เคย​เป็น​สถานี​ไฟฟ้า​พลังน้ำ​มา​ก่อน​ แต่​ตอนนี้​กลายเป็น​แหล่ง​ตกปลา​ที่​มีชื่อเสียง​สุด​ๆ​ ไป​แล้ว​!​
20110	201	2	1	4	cat_102_map_enter_4	0	1	听说了吗？附近的废弃工厂在闹鬼——！哈哈，骗你的！快去看看吧，一定会有收获的！	聽說了嗎？附近的廢棄工廠在鬧鬼——！哈哈，騙你的！快去看看吧，一定會有收獲的！	Have you heard the news? The Derelict Factory nearby is rumored to be haunted! Haha, just kidding! Go take a look. You might find something interesting there!	なあ、聞いたか？近くの廃工場に幽霊が出るって！ははは、冗談だよ！見てきなよ、きっと良い収穫があるよ！	들었어? 근처에 폐공장 지대에 귀신이 나온대! 하하, 거짓말이라구! 빨리 가봐, 분명 얻을 게 있을거야!	ได้ข่าว​ไหม​?​ ที่​โรงงาน​ร้าง​แถว​นี้​กำลัง​มี​ผีหลอก​——!​ ฮ่า​ๆ​ ล้อเล่น​น่า​!​ รีบ​ไป​ดูเถอะ​ รับรอง​ว่า​จะ​ได้​อะไร​ดี​ๆ​ กลับมา​!​
20111	201	2	2	1	cat_102_idle_1	0	1						
20118	201	2	3	1	cat_102_idle_1	0	1						
20119	201	2	3	9	cat_102_shop_trigger_2	0	1	怎么啦？任务遇到困难了吗？	怎麼啦？任務遇到困難了嗎？	What's up? What's up? Having trouble with the mission?	どうした？ミッションでなんかトラブルでもあったのか？	무슨 일이야? 미션이 좀 어렵나?	ทำไม​เหรอ​?​ ภารกิจ​เกิด​ปัญหา​อะไร​ขึ้น​เหรอ​?​
20121	201	2	3	11	cat_102_shop_enter_1	0	1	物资准备得差不多了吧！需要咱陪你一起去探索不？	物資準備得差不多了吧！需要咱陪你一起去探索嗎？	Supplies should be almost ready, right? Want me to come with you on the expedition?	物資の準備はもう十分だな！おいらも一緒に探検の旅に出よっか？	물자가 거의 다 준비됐어! 같이 탐색하러 가 보지 않을래?	เตรียม​ของ​เรียบร้อย​แล้ว​สิ​นะ​!​ จะ​ให้​เรา​ไป​สำรวจ​เป็นเพื่อน​ไหม​?​
20122	201	2	3	12	cat_102_shop_enter_1	0	1	接下来准备去哪儿？咱这儿交通最方便了！	接下來準備去哪兒？咱這兒交通最方便了！	Where are you heading next? We have the best transportation options here!	次の目的地は？こっからのアクセスが一番便利だよ！	다음은 어디로 갈 거야? 교통편은 맡겨만 두라고!	ต่อไป​จะ​ไป​ไหน​เหรอ​?​ การ​เดินทาง​ที่นี่​สะดวก​ที่สุด​เลย​ล่ะ​!​
20123	201	2	3	13	cat_102_shop_trigger_1	0	1	不错不错，你现在越来越像咱们南港人了！	不錯不錯，你現在越來越像咱們南港人了！	Excellent, you're really starting to blend in as a Southport local!	なかなかいいぞ！ますます南港人らしくなってきたな！	훌륭해, 아주 훌륭해! 너 점점 우리 사우스포트 사람 다 돼가는데!	ไม่เลว​ๆ​ ตอนนี้​คุณ​เริ่ม​เหมือน​พวกเรา​ชาว​ทะเล​ใต้​มากขึ้น​แล้ว​นะ​!​
20125	201	2	3	14	cat_102_map_enter_1	0	1	别客气，咱随叫随到！	別客氣，咱隨叫隨到！	Don't be shy. I'm here whenever you need me!	遠慮すんな！いつでも声掛けろよ！	사양하지 마, 언제든지 부르라고!	ไม่ต้อง​เกรงใจ​ เรียก​เรา​ได้​ทุกเมื่อ​!​
30101	301	3	1	1	cat_103_idle_1	0	1						
30103	301	3	1	2	cat_103_map_enter_2	0	1	耀州历史悠久，物产丰饶，每一件不起眼的旧物都有它自己的故事。	耀州歷史悠久，物產豐饒，每一件不起眼的舊物都有它自己的故事。	Yaozhou is rich in history and resources, and every humble old item tells a story.	耀州の歴史は長く、物産も豊かだ。目立たない古い物にも、それぞれの物語がある。	요주 타운은 유구한 역사와 수많은 물건이 있다네. 모든 사소한 골동품에도 그만의 역사가 깃들어 있지	เหยา​โจว​มี​ประวัติศาสตร์​อัน​ยาวนาน​ ทรัพยากร​อุดมสมบูรณ์​ สิ่งของ​เก่าๆ​ ทุก​ชิ้น​ที่​ดู​ไม่​มี​ความ​โดดเด่น​อะไร​ก็​ล้วน​มี​เรื่องราว​ของ​ตัวเอง​
30104	301	3	1	2	cat_103_map_enter_2	0	1	喜好古董之人，往往能在耀州顺利地满载而归——只要信守规矩。	喜好古董之人，往往能在耀州順利地滿載而歸——只要信守規矩。	Antique lovers often leave Yaozhou with their hands full—if they follow the rules, that is.	アンティークが好きな人なら、耀州で良い収穫を得られるよ――ルールさえ守ればね。	골동품 애호가들로 말할 것 같으면, 요주 타운에서 원하는 걸 잔뜩 챙길 수 있다네——규칙만 잘 지킨다면 말이네	ผู้​ที่​ชื่นชอบ​วัตถุ​โบราณ​ มักจะ​กลับ​จาก​เหยา​โจว​โดย​มี​ของ​เต็มไม้เต็มมือ​อย่าง​ราบรื่น​—​เพียงแค่​ต้อง​ปฏิบัติตาม​กฎระเบียบ​
30105	301	3	1	2	cat_103_map_enter_2	0	1	只要不违背法律与道德，耀州会包容一切的天马行空。	只要不違背法律與道德，耀州會包容一切的天馬行空。	As long as it's within legal and moral bounds, Yaozhou embraces all kinds of creativity.	法律やモラルに反しない限り、耀州はどんな絵空事にも応じてくれるよ。	법과 도덕을 어기지만 않는다면, 요주 타운에서 무엇을 하든 다 포용할 것이네	เพียงแค่​ไม่​ขัดต่อ​กฎหมาย​และ​จริยธรรม​ เหยา​โจว​ก็​ยินดี​ที่จะ​ยอมรับ​ทุก​แนวคิด​ที่​แตกต่าง​และ​ไม่​ยึด​ติดกับ​ข้อจำกัด​ใดๆ​
30106	301	3	1	2	cat_103_map_enter_3	0	1	原来没有看错啊，真的是你。要来店里坐坐吗？	原來沒有看錯啊，真的是你。要來店裡坐坐嗎？	So, I wasn't mistaken—it really is you. Want to hang out in the shop?	本当に君だったのか。人違いかと思った……店に寄っていかないか？	잘못 본 게 아니었군, 진짜 자네였구만, 들어와서 앉으시겠나?	ที่แท้​ก็​ไม่​ได้​มอง​ผิด​ ใช่​คุณ​จริง​ด้วย​ จะ​เข้ามา​นั่ง​ใน​ร้าน​ไหม​?​
30108	301	3	1	3	cat_103_map_standby_1	0	1	想要了解耀州文化，美食街就是一个很好的起点。	想要瞭解耀州文化，美食街就是一個很好的起點。	If you want to learn about Yaozhou's culture, the Food Court is a great place to start.	耀州の文化を知りたければ、屋台街に行くのがおすすめだよ。	요주 타운의 문화를 알고 싶으면, 맛남의 광장이야 말로 좋은 시작점이라네	อยาก​ทำความเข้าใจ​ใน​วัฒนธรรม​ของ​เหยา​โจว​ ถนน​เลิศ​รส​เป็น​จุดเริ่มต้น​ที่​ดีมาก​
30109	301	3	1	3	cat_103_map_standby_1	0	1	最近云霞湖岛多有罕见的鱼类出现，感兴趣的话，不妨去看一看。	最近雲霞湖島多有罕見的魚類出現，感興趣的話，不妨去看一看。	Lately, many rare fish have been spotted at Eventide Islands. You should go take a look if you're interested.	最近、雲霞湖島に珍しい魚が現れたみたいだよ、興味があるなら行ってみるといい。	최근 운하 호수에 안 보이던 물고기들이 나타났다더라고. 흥미가 생기면 한번 가보게나	ช่วงนี้​ที่​เกาะ​เมฆา​รุ้ง​มี​ปลา​หา​ยาก​มา​ปรากฏตัว​บ่อยๆ​ ถ้า​สนใจ​ จะ​ไปดู​ก็ได้​นะ​
30110	301	3	1	4	cat_103_map_enter_4	0	1	迁居此地的耀州人，对通天阙都怀有极为特殊的情感。……你看见了吗？那边……是什么？	遷居此地的耀州人，對通天闕都懷有極為特殊的情感。……你看見了嗎？那邊……是什麼？	All the folks from Yaozhou who have settled here have a special connection to Skyward Palace... Did you notice it? Over there... what is that?	光耀大陸からここに移住してきた人たちはみんな、通天街に特別な思い入れがある――今の、見えたか？さっきあそこに、何かが……	이곳으로 이사온 요주 타운 사람들은 통천궁에 특별한 이모션을 가지고 있다네…본 적이 있나? 저...저건 뭐지?	ชาว​เหยา​โจว​ที่​ย้าย​มา​อยู่​ที่นี่​ ต่าง​ก็​มีความรู้สึก​พิเศษ​ต่อ​หอคอย​เทียมฟ้า​อย่าง​มาก​ ...​คุณ​เห็น​ไหม​?​ ที่นั่น​...​มัน​คือ​อะไร​?​
30111	301	3	2	1	cat_103_idle_1	0	1						
30118	301	3	3	1	cat_103_idle_1	0	1						
30119	301	3	3	9	cat_103_shop_trigger_3	0	1	对耀州的了解越多，未知也就越多……再向更深处走走吧。	對耀州的瞭解越多，未知也就越多……再向更深處走走吧。	The more you learn about Yaozhou, the more mysteries arise... So you have to delve deeper.	耀州について知れば知るほど、未知のことが増えていく……更に深く進んでみよう。	요주 타운에 대해 많이 알수록, 모르는 것 또한 많아지네... 좀 더 깊은 곳으로 가 보지	ยิ่ง​รู้จัก​เหยา​โจว​มาก​เท่าไหร่​ ก็​ยิ่ง​พบ​ว่า​มี​สิ่ง​ที่​ยัง​ไม่​รู้มาก​เท่านั้น​...​ เดิน​ลึก​เข้าไป​มากกว่า​นี้​อีก​เถอะ​
30121	301	3	3	11	cat_103_map_enter_1	0	1	既然行囊已经备好，那么，是时候翻开耀州区的下一页了。	既然行囊已經備好，那麼，是時候翻開耀州區的下一頁了。	With your bags packed, it's time to venture into the next part of Yaozhou.	支度を整えたことだし、耀州というページをめくる時がきたみたいだな。	행낭도 다 꾸렸군. 자, 요주 타운의 다음 페이지로 넘어갈 때라네	ใน​เมื่อ​สัมภาระ​ก็​เตรียม​เสร็จ​แล้ว​ ถ้าอย่างนั้น​ ก็​ถึง​เวลา​ที่จะ​เปิด​หน้า​ถัดไป​ของ​เขต​เหยา​โจว​แล้ว​
30122	301	3	3	12	cat_103_shop_trigger_4	0	1	远方会有更有趣的故事吧？下次再见，请一定要讲给我听。	遠方會有更有趣的故事吧？下次再見，請一定要講給我聽。	Do you think there are amazing stories waiting in far-off places? When we meet again, you must share what you've seen with me.	土産話、まだまだありそうよね？今度会ったら、教えてね。	먼 곳엔 더욱더 재밌는 이야기가 있겠지? 다음에 만나면, 꼭 얘기해 줘야 하네	ใน​สถานที่​ห่างไกล​คงจะ​มี​เรื่องราว​ที่​น่าสนใจ​กว่า​นี้​ใช่ไหม​?​ ไว้​เจอกัน​ครั้งหน้า​ โปรด​เล่า​ให้​ฉัน​ฟัง​ด้วย​นะ​
30123	301	3	3	13	cat_103_shop_trigger_3	0	1	真好，你又拥有了精彩的经历。	真好，你又擁有了精彩的經歷。	That's fantastic! You've had yet another incredible adventure.	また素敵なことを経験したみたいね、よかった。	잘됐군, 자넨 또 훌륭한 경험을 했어.	ดี​จัง​เลย​ คุณ​ได้​สัมผัส​กับ​ประสบการณ์​ที่​น่าทึ่ง​อีกแล้ว​
30125	301	3	3	14	cat_103_map_enter_3	0	1	如果有机会，我也想成为你的旅伴。	如果有機會，我也想成為你的旅伴。	If I get the chance, I'd love to tag along with you.	機会があれば、君と一緒に旅に出たいな。	기회가 된다면, 나도 자네의 여행 동반자가 되고 싶다네	ถ้า​มีโอกาส​ ฉัน​ก็​อยาก​จะ​เป็น​เพื่อนร่วมทาง​ของ​คุณ​
40101	401	4	1	1	cat_104_idle_1	0	1						
40103	401	4	1	2	cat_104_map_enter_2	0	1	旧城区、利兹丹姆、利兹城……随便怎么称呼吧~客人为上，吉拉娜不在意这些哦？	舊城區、利茲丹姆、利茲城……隨便怎麼稱呼吧~客人為上，吉拉娜不在意這些哦？	Oldtown, Leidsdam, or Leids Town... call it what you want. The customer always comes first, and I'm here to serve.	オールドタウン…リーズダム…リーズタウン…好きに呼んだらいいわ。ギラナは細かいことを気にしない派なの。お客様が一番なんだから。	구시가지, 리즈덤, 리즈 시티... 어떻게 부르든 상관없어요~ 손님은 왕이니까요, 질라나는 그런 거 신경 쓰지 않는답니다.	เขตเมือง​โบราณ​ ลิ​ซแดนม์​ เมือง​ลิ​ซ​ เรียก​ตาม​สะดวก​เถอะ​นะ​~​ ลูกค้า​คือ​พระเจ้า​ จิ​ลา​น่า​ไม่​สนใจ​อะไร​พวก​นี้​หรอก​?​
40104	401	4	1	2	cat_104_map_enter_2	0	1	感受到了吗？历史在这里书写的陈腐与衰颓，就和生锈零件一样，拥有「残破」的魅力。	感受到了嗎？歷史在這裡書寫的陳腐與衰頹，就和生銹零件一樣，擁有「殘破」的魅力。	Do you feel it? The ancient history here, like rusty parts, has a certain "wrecked" charm.	感じた？歴史が書き留めた陳腐と廃頽には、錆ついた部品のように、「不完全」ならではの魅力があるのよ。	느끼셨어요? 역사에 쓰여진 이 진부함과 쇠퇴는 녹슨 부품과 같이 「빈티지」의 매력이 있답니다.	รู้สึก​ได้​แล้ว​ใช่ไหม​?​ ประวัติศาสตร์​ของ​ที่นี่​ถูก​เขียน​ด้วย​ความเน่า​เฟะ​และ​ความเสื่อมโทรม​ เหมือนกับ​อะไหล่​ที่​ขึ้นสนิม​ มีเสน่ห์​ของ​การ​ "​บุบสลาย​"​
40105	401	4	1	2	cat_104_map_enter_2	0	1	墓园似乎又传出了几个新奇的鬼怪传闻……哎呀，吉拉娜都被吓到啦~	墓園似乎又傳出了幾個新奇的鬼怪傳聞……哎呀，吉拉娜都被嚇到啦~	There are new spooky rumors from the graveyard... Oh my, I'm almost terrified!	墓地からまた幽霊が出たらしいよ。もう～ギラナ、こういうの苦手なのにぃ～	묘지에서 또 몇 가지 신비한 유령에 관한 소문이 들려오는군요... 아아, 질라나도 놀랐어요	ที่​สุสาน​ดูเหมือน​จะ​มี​ข่าวลือ​แปลก​ๆ​เกี่ยวกับ​ภูตผี​วิญญาณ​ออกมา​หลาย​เรื่อง​เลย​นะ​...​ โธ่​เอ้ย​ จิ​ลา​น่า​ ตกใจ​หมด​เลย​~​
40106	401	4	1	2	cat_104_map_enter_3	0	1	哎呀~ 这么久才来，不会是把吉拉娜忘了吧？	哎呀~ 這麼久才來，不會是把吉拉娜忘了吧？	Oh wow, you took your sweet time coming back. Did you forget about me?	あら、ようやく来たわね。まさかギラナのことを忘れたんじゃないよね？	이야~ 이렇게 오랜만에 오다니, 질라나를 잊지는 않았죠?	โธ่​เอ้ย​~​ นาน​ขนาด​นี้​แล้ว​เพิ่งจะ​มา​ คง​ไม่​ได้​ลืม​จิ​ลา​น่า​ไป​แล้ว​หรอก​นะ​?​
