id	regionId	level	isMax	levelUpCost	levelUpNum	rewardGoods	goodsNum	levelUpExplain	status	lable	lable_zh_TW	lable_en_UK	lable_ja_JP	lable_ko_KR	lable_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
204	2	4		0	0	4190001;4110001;5100014	50;20;2	204	1	南港区区域调查等级4	南港區區域調查等級4	Southport Investigation Lv.4	南港区調査レベル4	사우스포트 지역 조사 레벨 4	ระดับ​การสำรวจ​เขต​ทะเล​ใต้​ เล​เวล​ 4​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
205	2	5		0	0	4190001;4110001;6220002	50;25;1	205	1	南港区区域调查等级5	南港區區域調查等級5	Southport Investigation Lv.5	南港区調査レベル5	사우스포트 지역 조사 레벨 5	ระดับ​การสำรวจ​เขต​ทะเล​ใต้​ เล​เวล​ 5​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
206	2	6	1	0	0			206	1	南港区区域调查等级6	南港區區域調查等級6	Southport Investigation Lv.6	南港区調査レベル6	사우스포트 지역 조사 레벨 6	ระดับ​การสำรวจ​เขต​ทะเล​ใต้​ เล​เวล​ 6​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
301	3	1		0	0	4190001;4110001;5100013	50;5;1	301	1	耀州区区域调查等级1	耀州區區域調查等級1	Yaozhou Investigation Lv.1	耀州区調査レベル1	요주 타운 지역 조사 레벨 1	ระดับ​การสำรวจ​เขต​เหยา​โจว​ เล​เวล​ 1​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
302	3	2		0	0	4190001;4110001;6230003	50;10;1	302	1	耀州区区域调查等级2	耀州區區域調查等級2	Yaozhou Investigation Lv.2	耀州区調査レベル2	요주 타운 지역 조사 레벨 2	ระดับ​การสำรวจ​เขต​เหยา​โจว​ เล​เวล​ 2​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
303	3	3		0	0	4190001;4110001;5100014	50;15;1	303	1	耀州区区域调查等级3	耀州區區域調查等級3	Yaozhou Investigation Lv.3	耀州区調査レベル3	요주 타운 지역 조사 레벨 3	ระดับ​การสำรวจ​เขต​เหยา​โจว​ เล​เวล​ 3​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
304	3	4		0	0	4190001;4110001;5100014	50;20;2	304	1	耀州区区域调查等级4	耀州區區域調查等級4	Yaozhou Investigation Lv.4	耀州区調査レベル4	요주 타운 지역 조사 레벨 4	ระดับ​การสำรวจ​เขต​เหยา​โจว​ เล​เวล​ 4​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
305	3	5		0	0	4190001;4110001;6220003	50;25;1	305	1	耀州区区域调查等级5	耀州區區域調查等級5	Yaozhou Investigation Lv.5	耀州区調査レベル5	요주 타운 지역 조사 레벨 5	ระดับ​การสำรวจ​เขต​เหยา​โจว​ เล​เวล​ 5​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
306	3	6	1	0	0			306	1	耀州区区域调查等级6	耀州區區域調查等級6	Yaozhou Investigation Lv.6	耀州区調査レベル6	요주 타운 지역 조사 레벨 6	ระดับ​การสำรวจ​เขต​เหยา​โจว​ เล​เวล​ 6​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
401	4	1		0	0	4190001;4110001;5100013	50;5;1	401	1	旧城区区域调查等级1	舊城區區域調查等級1	Oldtown Investigation Lv.1	オールドタウン調査レベル1	구시가지 지역 조사 레벨 1	ระดับ​การสำรวจ​เขตเมือง​โบราณ​ เล​เวล​ 1​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
402	4	2		0	0	4190001;4110001;6230004	50;10;1	402	1	旧城区区域调查等级2	舊城區區域調查等級2	Oldtown Investigation Lv.2	オールドタウン調査レベル2	구시가지 지역 조사 레벨 2	ระดับ​การสำรวจ​เขตเมือง​โบราณ​ เล​เวล​ 2​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
403	4	3		0	0	4190001;4110001;5100014	50;15;1	403	1	旧城区区域调查等级3	舊城區區域調查等級3	Oldtown Investigation Lv.3	オールドタウン調査レベル3	구시가지 지역 조사 레벨 3	ระดับ​การสำรวจ​เขตเมือง​โบราณ​ เล​เวล​ 3​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
404	4	4		0	0	4190001;4110001;5100014	50;20;2	404	1	旧城区区域调查等级4	舊城區區域調查等級4	Oldtown Investigation Lv.4	オールドタウン調査レベル4	구시가지 지역 조사 레벨 4	ระดับ​การสำรวจ​เขตเมือง​โบราณ​ เล​เวล​ 4​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
405	4	5		0	0	4190001;4110001;6220004	50;25;1	405	1	旧城区区域调查等级5	舊城區區域調查等級5	Oldtown Investigation Lv.5	オールドタウン調査レベル5	구시가지 지역 조사 레벨 5	ระดับ​การสำรวจ​เขตเมือง​โบราณ​ เล​เวล​ 5​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
406	4	6	1	0	0			406	1	旧城区区域调查等级6	舊城區區域調查等級6	Oldtown Investigation Lv.6	オールドタウン調査レベル6	구시가지 지역 조사 레벨 6	ระดับ​การสำรวจ​เขตเมือง​โบราณ​ เล​เวล​ 6​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
501	5	1		0	0	4190001;4110001;5100013	50;5;1	501	1	中心区区域调查等级1	中心區區域調查等級1	Central District Invstg. Lv.1	中央区調査レベル1	센트럴 타운 지역 조사 레벨 1	ระดับ​การสำรวจ​เขต​เขต​ศูนย์กลาง​ เล​เวล​ 1​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
502	5	2		0	0	4190001;4110001;6230005	50;10;1	502	1	中心区区域调查等级2	中心區區域調查等級2	Central District Invstg. Lv.2	中央区調査レベル2	센트럴 타운 지역 조사 레벨 2	ระดับ​การสำรวจ​เขต​เขต​ศูนย์กลาง​ เล​เวล​ 2​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
503	5	3		0	0	4190001;4110001;5100014	50;15;1	503	1	中心区区域调查等级3	中心區區域調查等級3	Central District Invstg. Lv.3	中央区調査レベル3	센트럴 타운 지역 조사 레벨 3	ระดับ​การสำรวจ​เขต​เขต​ศูนย์กลาง​ เล​เวล​ 3​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
504	5	4		0	0	4190001;4110001;5100014	50;20;2	504	1	中心区区域调查等级4	中心區區域調查等級4	Central District Invstg. Lv.4	中央区調査レベル4	센트럴 타운 지역 조사 레벨 4	ระดับ​การสำรวจ​เขต​เขต​ศูนย์กลาง​ เล​เวล​ 4​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
505	5	5		0	0	4190001;4110001;6220005	50;25;1	505	1	中心区区域调查等级5	中心區區域調查等級5	Central District Invstg. Lv.5	中央区調査レベル5	센트럴 타운 지역 조사 레벨 5	ระดับ​การสำรวจ​เขต​เขต​ศูนย์กลาง​ เล​เวล​ 5​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
506	5	6	1	0	0			506	1	中心区区域调查等级6	中心區區域調查等級6	Central District Invstg. Lv.6	中央区調査レベル6	센트럴 타운 지역 조사 레벨 6	ระดับ​การสำรวจ​เขต​เขต​ศูนย์กลาง​ เล​เวล​ 6​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
601	6	1		0	0	4190001;4110001;5100013	50;5;1	601	1	凛北区区域调查等级1	凜北區區域調查等級1	Boreala Investigation Lv.1	凛北区調査レベル1	노스 타운 지역 조사 레벨 1	ระดับ​การสำรวจ​เขต​เขต​โบ​เรีย​ร่า​ เล​เวล​ 1​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
602	6	2		0	0	4190001;4110001;6230006	50;10;1	602	1	凛北区区域调查等级2	凜北區區域調查等級2	Boreala Investigation Lv.2	凛北区調査レベル2	노스 타운 지역 조사 레벨 2	ระดับ​การสำรวจ​เขต​เขต​โบ​เรีย​ร่า​ เล​เวล​ 2​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
603	6	3		0	0	4190001;4110001;5100014	50;15;1	603	1	凛北区区域调查等级3	凜北區區域調查等級3	Boreala Investigation Lv.3	凛北区調査レベル3	노스 타운 지역 조사 레벨 3	ระดับ​การสำรวจ​เขต​เขต​โบ​เรีย​ร่า​ เล​เวล​ 3​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
604	6	4		0	0	4190001;4110001;5100014	50;20;2	604	1	凛北区区域调查等级4	凜北區區域調查等級4	Boreala Investigation Lv.4	凛北区調査レベル4	노스 타운 지역 조사 레벨 4	ระดับ​การสำรวจ​เขต​เขต​โบ​เรีย​ร่า​ เล​เวล​ 4​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
605	6	5		0	0	4190001;4110001;6220006	50;25;1	605	1	凛北区区域调查等级5	凜北區區域調查等級5	Boreala Investigation Lv.5	凛北区調査レベル5	노스 타운 지역 조사 레벨 5	ระดับ​การสำรวจ​เขต​เขต​โบ​เรีย​ร่า​ เล​เวล​ 5​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
606	6	6	1	0	0			606	1	凛北区区域调查等级6	凜北區區域調查等級6	Boreala Investigation Lv.6	凛北区調査レベル6	노스 타운 지역 조사 레벨 6	ระดับ​การสำรวจ​เขต​เขต​โบ​เรีย​ร่า​ เล​เวล​ 6​	升级奖励	升級獎勵	Upgrade Rewards	レベルアップ報酬	레벨업 보상	รางวัลอัปเลเวล
