id	showItem	showItemNum	showItemTag	fristRewards	fristRewardsNum	regularReward	regularRewardNum	rewardID	rewardNum	totalWeight	rewardWeight	basicExp	basicRoleExp	currencyID	currencyNum	raidRewardID	raidRewardNum	status	boxNumRand	rewardRandom	gRewardItem	gRewardNum	gRewardItemRandom	sRewardItem	sRewardNum	sRewardItemRandom	cRewardItem	cRewardNum	cRewardItemRandom
2010104	4101002;4101002;4101001	1;6;4	3;1;6	4101002	1	4101002	6					10	200	3000003	600	4101001	4	1	4;6	10000;0;0	0	0	0	0	0	0	5600041;5600043	1;1	5000;5000
2010105	4101002;4101002;4101001	2;8;5	3;1;6	4101002	2	4101002	8					12	240	3000003	720	4101001	5	1	4;6	10000;0;0	0	0	0	0	0	0	5600008;5600069;5600077	1;1;1	4000;3000;3000
2010106	4101002;4101002;4101001	3;12;6	3;1;6	4101002	3	4101002	12					15	300	3000003	900	4101001	6	1	4;6	10000;0;0	0	0	0	0	0	0	5600072;5600085;5600061	1;1;1	4000;3000;3000
2015001	4102011;4102011;4102011;4102011;4102011;4101001	3;2;5;4;3;4	3;1;2;2;2;6	4102011	3	4102011	2	4102011,4102011,4102011	3,4,5	3000	1000,1000,1000	10	200	3000003	600	4101001	4	1	4;6	10000;0;0	0	0	0	0	0	0	5600011;5600049	1;1	5000;5000
2015002	4102011;4102011;4102021;4102021;4102011;4102011;4101001	5;5;2;1;6;4;5	3;1;2;2;2;2;6	4102011	5	4102011	5	4102011,4102011,4102021,4102021	4,6,1,2	7000	2000,2000,1000,2000	12	240	3000003	720	4101001	5	1	4;6	10000;0;0	0	0	0	0	0	0	5600008;5600022	1;1	5000;5000
2015003	4102021;4102011;4102021;4102021;4102021;4102011;4102011;4101001	1;10;3;2;1;15;10;6	3;1;2;2;2;2;2;6	4102021	1	4102011	10	4102011,4102011,4102021,4102021,4102021	10,15,1,2,3	8000	1000,2000,1000,1000,3000	14	280	3000003	840	4101001	6	1	4;6	10000;0;0	0	0	0	0	0	0	5600017;5600005;5600044	1;1;1	4000;3000;3000
2015004	4102021;4102021;4102031;4102031;4102021;4102021;4102011;4101001	2;1;2;1;3;2;10;7	3;1;2;2;2;2;2;6	4102021	2	4102021	1	4102011,4102021,4102021,4102031,4102031	10,2,3,1,2	11000	3000,3000,3000,1000,1000	16	320	3000003	960	4101001	7	1	4;6	10000;0;0	0	0	0	0	0	0	5600025;5600083	1;1	5000;5000
2015005	4102021;4102021;4102031;4102031;4102021;4102021;4102011;4101001	3;4;2;1;3;2;10;8	3;1;2;2;2;2;2;6	4102021	3	4102021	4	4102011,4102021,4102021,4102031,4102031	10,2,3,1,2	11000	3000,3000,3000,1000,1000	18	360	3000003	1080	4101001	8	1	4;6	10000;0;0	0	0	0	0	0	0	5600079;5600043	1;1	5000;5000
2015006	4102021;4102031;4102031;4102031;4102021;4102021;4102011;4101001	4;1;2;1;3;2;10;8	3;1;2;2;2;2;2;6	4102021	4	4102031	1	4102011,4102021,4102021,4102031,4102031	10,2,3,1,2	11000	3000,3000,3000,1000,1000	20	400	3000003	1200	4101001	8	1	4;6	10000;0;0	0	0	0	0	0	0	5600005;5600078	1;1	5000;5000
2020101	5510004;5600002;5600002;5600002;4101001	1;10;5;10;2	3;1;2;2;6	5510004	1	5600002	10	5600002,5600002	5,10	10000	7000,3000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600005	1	10000
2020102	5510005;5600019;5600002;5600019;4101001	1;5;5;5;2	3;1;2;2;6	5510005	1	5600019	5	5600002,5600019	5,5	10000	5000,5000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600011;5600040	1;1	5000;5000
2020103	5510006;5600050;5600002;5600019;5600050;4101001	1;5;5;5;5;2	3;1;2;2;2;6	5510006	1	5600050	5	5600002,5600019,5600050	5,5,5	10000	4000,3000,3000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600079;5600037	1;1	5000;5000
2020104	5520004;5600094;5600094;5600094;4101001	1;10;5;10;2	3;1;2;2;6	5520004	1	5600094	10	5600094,5600094	5,10	10000	7000,3000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600037;5600090	1;1	5000;5000
2020105	5520005;5600030;5600094;5600030;4101001	1;5;5;5;2	3;1;2;2;6	5520005	1	5600030	5	5600094,5600030	5,5	10000	5000,5000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600025;5600078	1;1	5000;5000
2020106	5520006;5600031;5600094;5600030;5600031;4101001	1;5;5;5;5;2	3;1;2;2;2;6	5520006	1	5600031	5	5600094,5600030,5600031	5,5,5	10000	4000,3000,3000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600011;5600017;5600044	1;1;1	4000;3000;3000
2020107	5540004;5600095;5600095;5600095;4101001	1;10;5;10;2	3;1;2;2;6	5540004	1	5600095	10	5600095,5600095	5,10	10000	7000,3000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600050;5600040	1;1	5000;5000
2020108	5540005;5600088;5600095;5600088;4101001	1;5;5;5;2	3;1;2;2;6	5540005	1	5600088	5	5600095,5600088	5,5	10000	5000,5000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600029;5600049;5600030	1;1;1	4000;3000;3000
2020109	5540006;5600096;5600095;5600088;5600096;4101001	1;5;5;5;5;2	3;1;2;2;2;6	5540006	1	5600096	5	5600095,5600088,5600096	5,5,5	10000	4000,3000,3000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600002;5600050;5600075	1;1;1	4000;3000;3000
2015101	4100032;5011042;5011041;4101001	1;1;1;6	2;2;2;6	5011042	1			4100032;5011041,5011042;5011041,5011042;5011041,5011042;5011041,5011042	1;1,1;1,1;1,1;1,1	10000;10000;15000;15000;15000	2000;5000,5000;5000,5000;5000,5000;5000,5000	10	200	3000003	600	4101001	4	1	4;6	10000;0;0	0	0	0	0	0	0	5600003;5600086	1;1	5000;5000
2015102	4100032;5011043;5011042;5011041;4101001	1;1;1;1;6	2;2;2;2;6	5011043	1			4100032;5011041,5011042,5011043;5011041,5011042,5011043;5011041,5011042,5011043;5011041,5011042,5011043	1;1,1,1;1,1,1;1,1,1;1,1,1	10000;10000;15000;15000;15000	2000;2000,6000,2000;3000,9000,3000;3000,9000,3000;3000,9000,3000	12	240	3000003	720	4101001	5	1	4;6	10000;0;0	0	0	0	0	0	0	5600039;5600089	1;1	5000;5000
2015103	4100032;5011043;5011042;4101001	1;1;1;6	2;2;2;6	5011043	1			4100032;5011042,5011043;5011042,5011043;5011042,5011043;5011042,5011043	1;1,1;1,1;1,1;1,1	10000;10000;15000;15000;15000	2000;5000,5000;7500,7500;7500,7500;7500,7500	14	280	3000003	840	4101001	6	1	4;6	10000;0;0	0	0	0	0	0	0	5600011;5600015;5600022	1;1;1	4000;3000;3000
2015104	4100032;5011044;5011043;5011044;4101001	1;1;1;1;6	2;2;2;2;6	5011044	1			4100032;5011042,5011043,5011044;5011042,5011043,5011044;5011042,5011043,5011044;5011042,5011043,5011044	1;1,1,1;1,1,1;1,1,1;1,1,1	10000;10000;15000;15000;15000	2000;2000,6000,2000;3000,9000,3000;3000,9000,3000;3000,9000,3000	16	320	3000003	960	4101001	7	1	4;6	10000;0;0	0	0	0	0	0	0	5600003;5600022	1;1	5000;5000
2015105	4100032;5011044;5011043;4101001	1;1;1;6	2;2;2;6	5011044	1			4100032;5011043,5011044;5011043,5011044;5011043,5011044;5011043,5011044	1;1,1;1,1;1,1;1,1	10000;10000;15000;15000;15000	2000;5000,5000;7500,7500;7500,7500;7500,7500	18	360	3000003	1080	4101001	8	1	4;6	10000;0;0	0	0	0	0	0	0	5600007;5600076;5600086	1;1;1	4000;3000;3000
2015106	4100032;5011045;5011044;4101001	1;1;1;6	2;2;2;6	5011045	1			4100032;5011044,5011045;5011044,5011045;5011044,5011045;5011044,5011045	1;1,1;1,1;1,1;1,1	10000;10000;15000;15000;15000	2000;9000,1000;13500,1500;13500,1500;13500,1500	20	400	3000003	1200	4101001	8	1	4;6	10000;0;0	0	0	0	0	0	0	5600032;5600090	1;1	5000;5000
2030501	5510007;5600001;5600001;5600001;4101001	1;10;5;10;2	3;1;2;2;6	5510007	1	5600001	10	5600001,5600001	5,10	10000	7000,3000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600039;5600030	1;1	5000;5000
2030502	5510008;5600019;5600001;5600019;4101001	1;5;5;5;2	3;1;2;2;6	5510008	1	5600019	5	5600001,5600019	5,5	10000	5000,5000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600004;5600021	1;1	5000;5000
2030503	5510009;5600097;5600001;5600019;5600097;4101001	1;5;5;5;5;2	3;1;2;2;2;6	5510009	1	5600097	5	5600001,5600019,5600097	5,5,5	10000	4000,3000,3000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600023;5600061;5600083	1;1;1	4000;3000;3000
2030504	5520007;5600082;5600082;5600082;4101001	1;10;5;10;2	3;1;2;2;6	5520007	1	5600082	10	5600082,5600082	5,10	10000	7000,3000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600021;5600086	1;1	5000;5000
2030505	5520008;5600037;5600082;5600037;4101001	1;5;5;5;2	3;1;2;2;6	5520008	1	5600037	5	5600082,5600037	5,5	10000	5000,5000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600032;5600080;5600074	1;1;1	4000;3000;3000
2030506	5520009;5600098;5600082;5600037;5600098;4101001	1;5;5;5;5;2	3;1;2;2;2;6	5520009	1	5600098	5	5600082,5600037,5600098	5,5,5	10000	4000,3000,3000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600004;5600018;5600069	1;1;1	4000;3000;3000
2030507	5540007;5600017;5600017;5600017;4101001	1;10;5;10;2	3;1;2;2;6	5540007	1	5600017	10	5600017,5600017	5,10	10000	7000,3000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600007;5600077	1;1	5000;5000
2030508	5540008;5600099;5600017;5600099;4101001	1;5;5;5;2	3;1;2;2;6	5540008	1	5600099	5	5600017,5600099	5,5	10000	5000,5000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600039;5600061	1;1	5000;5000
2030509	5540009;5600100;5600017;5600099;5600100;4101001	1;5;5;5;5;2	3;1;2;2;2;6	5540009	1	5600100	5	5600017,5600099,5600100	5,5,5	10000	4000,3000,3000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600032;5600084	1;1	5000;5000
2015201	4100032;5011082;5011081;4101001	1;1;1;6	2;2;2;6	5011082	1			4100032;5011081,5011082;5011081,5011082;5011081,5011082;5011081,5011082	1;1,1;1,1;1,1;1,1	10000;10000;15000;15000;15000	2000;5000,5000;5000,5000;5000,5000;5000,5000	10	200	3000003	600	4101001	4	1	4;6	10000;0;0	0	0	0	0	0	0	5600012;5600019	1;1	5000;5000
2015202	4100032;5011083;5011082;5011081;4101001	1;1;1;1;6	2;2;2;2;6	5011083	1			4100032;5011081,5011082,5011083;5011081,5011082,5011083;5011081,5011082,5011083;5011081,5011082,5011083	1;1,1,1;1,1,1;1,1,1;1,1,1	10000;10000;15000;15000;15000	2000;2000,6000,2000;3000,9000,3000;3000,9000,3000;3000,9000,3000	12	240	3000003	720	4101001	5	1	4;6	10000;0;0	0	0	0	0	0	0	5600023;5600017	1;1	5000;5000
2015203	4100032;5011083;5011082;4101001	1;1;1;6	2;2;2;6	5011083	1			4100032;5011082,5011083;5011082,5011083;5011082,5011083;5011082,5011083	1;1,1;1,1;1,1;1,1	10000;10000;15000;15000;15000	2000;5000,5000;7500,7500;7500,7500;7500,7500	14	280	3000003	840	4101001	6	1	4;6	10000;0;0	0	0	0	0	0	0	5600041;5600031;5600046	1;1;1	4000;3000;3000
2015204	4100032;5011084;5011083;5011082;4101001	1;1;1;1;6	2;2;2;2;6	5011084	1			4100032;5011082,5011083,5011084;5011082,5011083,5011084;5011082,5011083,5011084;5011082,5011083,5011084	1;1,1,1;1,1,1;1,1,1;1,1,1	10000;10000;15000;15000;15000	2000;2000,6000,2000;3000,9000,3000;3000,9000,3000;3000,9000,3000	16	320	3000003	960	4101001	7	1	4;6	10000;0;0	0	0	0	0	0	0	5600042;5600005;5600046	1;1;1	4000;3000;3000
2015205	4100032;5011084;5011083;4101001	1;1;1;6	2;2;2;6	5011084	1			4100032;5011083,5011084;5011083,5011084;5011083,5011084;5011083,5011084	1;1,1;1,1;1,1;1,1	10000;10000;15000;15000;15000	2000;5000,5000;7500,7500;7500,7500;7500,7500	18	360	3000003	1080	4101001	8	1	4;6	10000;0;0	0	0	0	0	0	0	5600067;5600012	1;1	5000;5000
2015206	4100032;5011085;5011084;4101001	1;1;1;6	2;2;2;6	5011085	1			4100032;5011084,5011085;5011084,5011085;5011084,5011085;5011084,5011085	1;1,1;1,1;1,1;1,1	10000;10000;15000;15000;15000	2000;9000,1000;13500,1500;13500,1500;13500,1500	20	400	3000003	1200	4101001	8	1	4;6	10000;0;0	0	0	0	0	0	0	5600066;5600040	1;1	5000;5000
2040501	5510010;5600004;5600004;5600004;4101001	1;10;5;10;2	3;1;2;2;6	5510010	1	5600004	10	5600004,5600004	5,10	10000	7000,3000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600012;5600072	1;1	5000;5000
2040502	5510011;5600021;5600004;5600021;4101001	1;5;5;5;2	3;1;2;2;6	5510011	1	5600021	5	5600004,5600021	5,5	10000	5000,5000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600006;5600081;5600046	1;1;1	4000;3000;3000
2040503	5510012;5600101;5600004;5600021;5600101;4101001	1;5;5;5;5;2	3;1;2;2;2;6	5510012	1	5600101	5	5600004,5600021,5600101	5,5,5	10000	4000,3000,3000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600006;5600071;5600020	1;1;1	4000;3000;3000
2040504	5520010;5600041;5600041;5600041;4101001	1;10;5;10;2	3;1;2;2;6	5520010	1	5600041	10	5600041,5600041	5,10	10000	7000,3000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600012;5600073;5600075	1;1;1	4000;3000;3000
2040505	5520011;5600102;5600041;5600102;4101001	1;5;5;5;2	3;1;2;2;6	5520011	1	5600102	5	5600041,5600102	5,5	10000	5000,5000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600042;5600013;5600008	1;1;1	4000;3000;3000
2040506	5520012;5600103;5600041;5600102;5600103;4101001	1;5;5;5;5;2	3;1;2;2;2;6	5520012	1	5600103	5	5600041,5600102,5600103	5,5,5	10000	4000,3000,3000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600029;5600080;5600031	1;1;1	4000;3000;3000
2040507	5540010;5600083;5600083;5600083;4101001	1;10;5;10;2	3;1;2;2;6	5540010	1	5600083	10	5600083,5600083	5,10	10000	7000,3000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600006;5600041;5600044	1;1;1	4000;3000;3000
2040508	5540011;5600104;5600083;5600104;4101001	1;5;5;5;2	3;1;2;2;6	5540011	1	5600104	5	5600083,5600104	5,5	10000	5000,5000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600002;5600023	1;1	5000;5000
2040509	5540012;5600044;5600083;5600104;5600044;4101001	1;5;5;5;5;2	3;1;2;2;2;6	5540012	1	5600044	5	5600083,5600104,5600044	5,5,5	10000	4000,3000,3000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600062;5600061;5600082	1;1;1	4000;3000;3000
2015301	4100032;5011062;5011061;4101001	1;1;1;6	2;2;2;6	5011062	1			4100032;5011061,5011062;5011061,5011062;5011061,5011062;5011061,5011062	1;1,1;1,1;1,1;1,1	10000;10000;15000;15000;15000	2000;5000,5000;5000,5000;5000,5000;5000,5000	10	200	3000003	600	4101001	4	1	4;6	10000;0;0	0	0	0	0	0	0	5600063;5600090	1;1	5000;5000
2015302	4100032;5011063;5011062;5011061;4101001	1;1;1;1;6	2;2;2;2;6	5011063	1			4100032;5011061,5011062,5011063;5011061,5011062,5011063;5011061,5011062,5011063;5011061,5011062,5011063	1;1,1,1;1,1,1;1,1,1;1,1,1	10000;10000;15000;15000;15000	2000;2000,6000,2000;3000,9000,3000;3000,9000,3000;3000,9000,3000	12	240	3000003	720	4101001	5	1	4;6	10000;0;0	0	0	0	0	0	0	5600016;5600009;5600008	1;1;1	4000;3000;3000
2015303	4100032;5011063;5011062;4101001	1;1;1;6	2;2;2;6	5011063	1			4100032;5011062,5011063;5011062,5011063;5011062,5011063;5011062,5011063	1;1,1;1,1;1,1;1,1	10000;10000;15000;15000;15000	2000;5000,5000;7500,7500;7500,7500;7500,7500	14	280	3000003	840	4101001	6	1	4;6	10000;0;0	0	0	0	0	0	0	5600025;5600085;5600013	1;1;1	4000;3000;3000
2015304	4100032;5011064;5011063;5011062;4101001	1;1;1;1;6	2;2;2;2;6	5011064	1			4100032;5011062,5011063,5011064;5011062,5011063,5011064;5011062,5011063,5011064;5011062,5011063,5011064	1;1,1,1;1,1,1;1,1,1;1,1,1	10000;10000;15000;15000;15000	2000;2000,6000,2000;3000,9000,3000;3000,9000,3000;3000,9000,3000	16	320	3000003	960	4101001	7	1	4;6	10000;0;0	0	0	0	0	0	0	5600048;5600076;5600086	1;1;1	4000;3000;3000
2015305	4100032;5011064;5011063;4101001	1;1;1;6	2;2;2;6	5011064	1			4100032;5011063,5011064;5011063,5011064;5011063,5011064;5011063,5011064	1;1,1;1,1;1,1;1,1	10000;10000;15000;15000;15000	2000;5000,5000;7500,7500;7500,7500;7500,7500	18	360	3000003	1080	4101001	8	1	4;6	10000;0;0	0	0	0	0	0	0	5600045;5600090	1;1	5000;5000
2015306	4100032;5011065;5011064;4101001	1;1;1;6	2;2;2;6	5011065	1			4100032;5011064,5011065;5011064,5011065;5011064,5011065;5011064,5011065	1;1,1;1,1;1,1;1,1	10000;10000;15000;15000;15000	2000;9000,1000;13500,1500;13500,1500;13500,1500	20	400	3000003	1200	4101001	8	1	4;6	10000;0;0	0	0	0	0	0	0	5600010;5600015;5600022	1;1;1	4000;3000;3000
2050501	5510013;5600105;5600105;5600105;4101001	1;10;5;10;2	3;1;2;2;6	5510013	1	5600105	10	5600105,5600105	5,10	10000	7000,3000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600047;5600013;5600078	1;1;1	4000;3000;3000
2050502	5510014;5600106;5600105;5600106;4101001	1;5;5;5;2	3;1;2;2;6	5510014	1	5600106	5	5600105,5600106	5,5	10000	5000,5000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600013;5600059;5600019	1;1;1	4000;3000;3000
2050503	5510015;5600107;5600105;5600106;5600107;4101001	1;5;5;5;5;2	3;1;2;2;2;6	5510015	1	5600107	5	5600105,5600106,5600107	5,5,5	10000	4000,3000,3000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600033;5600034;5600032	1;1;1	4000;3000;3000
2050504	5520013;5600108;5600108;5600108;4101001	1;10;5;10;2	3;1;2;2;6	5520013	1	5600108	10	5600108,5600108	5,10	10000	7000,3000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600045;5600080;5600046	1;1;1	4000;3000;3000
2050505	5520014;5600024;5600108;5600024;4101001	1;5;5;5;2	3;1;2;2;6	5520014	1	5600024	5	5600108,5600024	5,5	10000	5000,5000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600009;5600015;5600077	1;1;1	4000;3000;3000
2050506	5520015;5600104;5600108;5600024;5600104;4101001	1;5;5;5;5;2	3;1;2;2;2;6	5520015	1	5600104	5	5600108,5600024,5600104	5,5,5	10000	4000,3000,3000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600083;5600019;5600016	1;1;1	4000;3000;3000
2050507	5540013;5600109;5600109;5600109;4101001	1;10;5;10;2	3;1;2;2;6	5540013	1	5600109	10	5600109,5600109	5,10	10000	7000,3000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600047;5600027;5600078	1;1;1	4000;3000;3000
2050508	5540014;5600110;5600109;5600110;4101001	1;5;5;5;2	3;1;2;2;6	5540014	1	5600110	5	5600109,5600110	5,5	10000	5000,5000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600037;5600038;5600033	1;1;1	4000;3000;3000
2050509	5540015;5600111;5600109;5600110;5600111;4101001	1;5;5;5;5;2	3;1;2;2;2;6	5540015	1	5600111	5	5600109,5600110,5600111	5,5,5	10000	4000,3000,3000	5	100	3000003	200	4101001	2	1	4;6	10000;0;0	0	0	0	0	0	0	5600004;5600016;5600019	1;1;1	4000;3000;3000
2015401	4100032;5011072;5011071;4101001	1;1;1;6	2;2;2;6	5011072	1			4100032;5011071,5011072;5011071,5011072;5011071,5011072;5011071,5011072	1;1,1;1,1;1,1;1,1	10000;10000;15000;15000;15000	2000;5000,5000;5000,5000;5000,5000;5000,5000	10	200	3000003	600	4101001	4	1	4;6	10000;0;0	0	0	0	0	0	0	5600072;5600026;5600082	1;1;1	4000;3000;3000
2015402	4100032;5011073;5011072;5011071;4101001	1;1;1;1;6	2;2;2;2;6	5011073	1			4100032;5011071,5011072,5011073;5011071,5011072,5011073;5011071,5011072,5011073;5011071,5011072,5011073	1;1,1,1;1,1,1;1,1,1;1,1,1	10000;10000;15000;15000;15000	2000;2000,6000,2000;3000,9000,3000;3000,9000,3000;3000,9000,3000	12	240	3000003	720	4101001	5	1	4;6	10000;0;0	0	0	0	0	0	0	5600035;5600088;5600034	1;1;1	4000;3000;3000
2015403	4100032;5011073;5011072;4101001	1;1;1;6	2;2;2;6	5011073	1			4100032;5011072,5011073;5011072,5011073;5011072,5011073;5011072,5011073	1;1,1;1,1;1,1;1,1	10000;10000;15000;15000;15000	2000;5000,5000;7500,7500;7500,7500;7500,7500	14	280	3000003	840	4101001	6	1	4;6	10000;0;0	0	0	0	0	0	0	5600024;5600011;5600015	1;1;1	4000;3000;3000
2015404	4100032;5011074;5011073;5011072;4101001	1;1;1;1;6	2;2;2;2;6	5011074	1			4100032;5011072,5011073,5011074;5011072,5011073,5011074;5011072,5011073,5011074;5011072,5011073,5011074	1;1,1,1;1,1,1;1,1,1;1,1,1	10000;10000;15000;15000;15000	2000;2000,6000,2000;3000,9000,3000;3000,9000,3000;3000,9000,3000	16	320	3000003	960	4101001	7	1	4;6	10000;0;0	0	0	0	0	0	0	5600027;5600028;5600005	1;1;1	4000;3000;3000
2015405	4100032;5011074;5011073;4101001	1;1;1;6	2;2;2;6	5011074	1			4100032;5011073,5011074;5011073,5011074;5011073,5011074;5011073,5011074	1;1,1;1,1;1,1;1,1	10000;10000;15000;15000;15000	2000;5000,5000;7500,7500;7500,7500;7500,7500	18	360	3000003	1080	4101001	8	1	4;6	10000;0;0	0	0	0	0	0	0	5600024;5600017;5600044	1;1;1	4000;3000;3000
2015406	4100032;5011075;5011074;4101001	1;1;1;6	2;2;2;6	5011075	1			4100032;5011074,5011075;5011074,5011075;5011074,5011075;5011074,5011075	1;1,1;1,1;1,1;1,1	10000;10000;15000;15000;15000	2000;9000,1000;13500,1500;13500,1500;13500,1500	20	400	3000003	1200	4101001	8	1	4;6	10000;0;0	0	0	0	0	0	0	5600065;5600029;5600041	1;1;1	4000;3000;3000
