id	group	unlockType1	parameter	unlockType2	status	describe	describe_zh_TW	describe_en_UK	describe_ja_JP	describe_ko_KR	describe_th_TH
119	401	3			1	开启旧城区外卖订单	開啟舊城區外賣訂單	Unlocks delivery in Oldtown	オールドタウン出前解放	구시가지 배달 주문 개시	เปิดรับ​ออเดอร์​เขตเมือง​โบราณ​
120	402	3			1	旧城区每日可配送外卖上限+1	舊城區每日可配送外賣上限+1	Daily delivery limit in Oldtown +1	オールドタウン毎日出前上限＋1	구시가지 매일 배달 가능 상한 +1	ขีดจำกัด​การ​ส่ง​อาหาร​ราย​วันที่​เขตเมือง​โบราณ​ +1​
121	403	3			1	旧城区每日可配送外卖上限+1	舊城區每日可配送外賣上限+1	Daily delivery limit in Oldtown +1	オールドタウン毎日出前上限＋1	구시가지 매일 배달 가능 상한 +1	ขีดจำกัด​การ​ส่ง​อาหาร​ราย​วันที่​เขตเมือง​โบราณ​ +1​
122	404	3		1	1	旧城区每日可配送外卖上限+1	舊城區每日可配送外賣上限+1	Daily delivery limit in Oldtown +1	オールドタウン毎日出前上限＋1	구시가지 매일 배달 가능 상한 +1	ขีดจำกัด​การ​ส่ง​อาหาร​ราย​วันที่​เขตเมือง​โบราณ​ +1​
123	405	3			1	旧城区每日可配送外卖上限+1	舊城區每日可配送外賣上限+1	Daily delivery limit in Oldtown +1	オールドタウン毎日出前上限＋1	구시가지 매일 배달 가능 상한 +1	ขีดจำกัด​การ​ส่ง​อาหาร​ราย​วันที่​เขตเมือง​โบราณ​ +1​
124	406	3			1	旧城区每日可配送外卖上限+1	舊城區每日可配送外賣上限+1	Daily delivery limit in Oldtown +1	オールドタウン毎日出前上限＋1	구시가지 매일 배달 가능 상한 +1	ขีดจำกัด​การ​ส่ง​อาหาร​ราย​วันที่​เขตเมือง​โบราณ​ +1​
125	501	3			1	开启中心区外卖订单	開啟中心區外賣訂單	Unlocks delivery in Central District	中央区出前解放	센트럴 타운 배달 주문 개시	เปิดรับ​ออเดอร์​เขต​ศูนย์กลาง​
126	502	3			1	中心区每日可配送外卖上限+1	中心區每日可配送外賣上限+1	Daily delivery limit in Central District +1	中央区毎日出前上限＋1	센트럴 타운 매일 배달 가능 상한 +1	ขีดจำกัด​การ​ส่ง​อาหาร​ราย​วันที่​เขต​ศูนย์กลาง​ +1​
127	503	3			1	中心区每日可配送外卖上限+1	中心區每日可配送外賣上限+1	Daily delivery limit in Central District +1	中央区毎日出前上限＋1	센트럴 타운 매일 배달 가능 상한 +1	ขีดจำกัด​การ​ส่ง​อาหาร​ราย​วันที่​เขต​ศูนย์กลาง​ +1​
128	504	3		1	1	中心区每日可配送外卖上限+1	中心區每日可配送外賣上限+1	Daily delivery limit in Central District +1	中央区毎日出前上限＋1	센트럴 타운 매일 배달 가능 상한 +1	ขีดจำกัด​การ​ส่ง​อาหาร​ราย​วันที่​เขต​ศูนย์กลาง​ +1​
129	505	3			1	中心区每日可配送外卖上限+1	中心區每日可配送外賣上限+1	Daily delivery limit in Central District +1	中央区毎日出前上限＋1	센트럴 타운 매일 배달 가능 상한 +1	ขีดจำกัด​การ​ส่ง​อาหาร​ราย​วันที่​เขต​ศูนย์กลาง​ +1​
130	506	3			1	中心区每日可配送外卖上限+1	中心區每日可配送外賣上限+1	Daily delivery limit in Central District +1	中央区毎日出前上限＋1	센트럴 타운 매일 배달 가능 상한 +1	ขีดจำกัด​การ​ส่ง​อาหาร​ราย​วันที่​เขต​ศูนย์กลาง​ +1​
131	601	3			1	开启凛北区外卖订单	開啟凜北區外賣訂單	Unlocks delivery in Boreala	凛北区出前解放	노스 타운 배달 주문 개시	เปิดรับ​ออเดอร์​เขต​โบ​เรีย​ร่า​
132	602	3			1	凛北区每日可配送外卖上限+1	凜北區每日可配送外賣上限+1	Daily delivery limit in Boreala +1	凛北区毎日出前上限＋1	노스 타운 매일 배달 가능 상한 +1	ขีดจำกัด​การ​ส่ง​อาหาร​ราย​วันที่​เขต​โบ​เรีย​ร่า​ +1​
133	603	3			1	凛北区每日可配送外卖上限+1	凜北區每日可配送外賣上限+1	Daily delivery limit in Boreala +1	凛北区毎日出前上限＋1	노스 타운 매일 배달 가능 상한 +1	ขีดจำกัด​การ​ส่ง​อาหาร​ราย​วันที่​เขต​โบ​เรีย​ร่า​ +1​
134	604	3		1	1	凛北区每日可配送外卖上限+1	凜北區每日可配送外賣上限+1	Daily delivery limit in Boreala +1	凛北区毎日出前上限＋1	노스 타운 매일 배달 가능 상한 +1	ขีดจำกัด​การ​ส่ง​อาหาร​ราย​วันที่​เขต​โบ​เรีย​ร่า​ +1​
135	605	3			1	凛北区每日可配送外卖上限+1	凜北區每日可配送外賣上限+1	Daily delivery limit in Boreala +1	凛北区毎日出前上限＋1	노스 타운 매일 배달 가능 상한 +1	ขีดจำกัด​การ​ส่ง​อาหาร​ราย​วันที่​เขต​โบ​เรีย​ร่า​ +1​
136	606	3			1	凛北区每日可配送外卖上限+1	凜北區每日可配送外賣上限+1	Daily delivery limit in Boreala +1	凛北区毎日出前上限＋1	노스 타운 매일 배달 가능 상한 +1	ขีดจำกัด​การ​ส่ง​อาหาร​ราย​วันที่​เขต​โบ​เรีย​ร่า​ +1​
