id	regionBelong	camera	type	content	reward	rewardCoordinate	mainEquipType	showIcon1	showIcon2	showBG	unlockType	unlockId	unlockNum	specialUnlock	changeNum	status	label	label_zh_TW	label_en_UK	label_ja_JP	label_ko_KR	label_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
210	2	-0.1;0.24	5	2	0	-20;202;0					25	0	102161			1	区域2渔场点位	區域2漁場點位	District 2 Fishery Point	エリア2漁場ポイント	지역 2 낚시터 지점	เขตที่ 2 จุดบ่อตกปลา	【钓鱼】斯皮亚水库	【釣魚】斯皮亞水庫	[Fishing] Spya Reservoir	【釣り】スピーヤー貯水池	[낚시] 스피어 저수지	[​ตกปลา​]​ อ่างเก็บน้ำ​สเปียร์​						
217	2		11								25	0	102161			1	区域任务	區域任務	District Mission	エリア6漁場ポイント	지역 미션	ภารกิจเขต	调查南港区	調查南港區	Investigate	地域調査	사우스포트 조사	ตรวจสอบเขตทะเลใต้						
303	3	-0.4;0.2	2	2015201;2015202;2015203;2015204;2015205;2015206	5011083;5011084;5011085	-75;366;0					25	0	106030			1	通天阙	通天闕	Skyward Palace	通天街	통천궁	หอคอยเทียมฟ้า	【装备】通天阙	【裝備】通天闕	[Equipment] Skyward Palace	【装備】通天街	[장비] 통천궁	[​อุปกรณ์​]​ หอคอย​เทียมฟ้า​	该区域可获得[防守套]	該區域可獲得[防守套]	You can get [Defense Set] in this district.	このエリアで【防御装飾】を獲得できる	해당 지역에서 [방어 세트] 획득 가능	เขต​พื้นที่​ดังกล่าว​สามารถ​ได้รับ​ [​เช็ต​ป้องกัน​]​
304	3		15			-20;256;0					25	0	105030			1	区域3普通战斗点位1	區域3普通戰鬥點位1	District 3 Normal Battle Point 1	エリア3普通戦闘ポイント1	지역 3 일반 전투 지점 1	เขต​ที่​ 3​ จุด​ต่อสู้​ทั่วไป​ 1​	【PVP】幻影特训场	【PVP】幻影特訓場	[PvP] Master Duel	【PVP】ファントム特訓場	[PVP] 팬텀 특훈장	[PVP]​ สนาม​ซ้อม​แฟน​ธอม​						
308	3	-0.1;0.25	3	2030501;2030502;2030503;2030504;2030505;2030506;2030507;2030508;2030509	5600001;5600019;5600097;5600082;5600037;5600098;5600017;5600099;5600100	-20;256;0					4	0	105010			1	区域3普通战斗点位5	區域3普通戰鬥點位5	District 3 Normal Battle Point 5	エリア3普通戦闘ポイント5	지역 3 일반 전투 지점 5	เขต​ที่​ 3​ จุด​ต่อสู้​ทั่วไป​ 5​	【食材】美食街	【食材】美食街	[Ingredient] Food Court	【食材】屋台街	[식재료] 맛남의 거리	[​วัตถุดิบ​อาหาร​]​ ถนน​เลิศ​รส​						
309	3		8		0	-75;366;0					25	0	106070			1	区域3特殊玩法点位	區域3特殊玩法點位	District 3 Special Feature Point	エリア3特殊モードポイント	지역 3 특수 플레이 지점	เขต​ที่​ 3​ จุด​รูปแบบ​การ​เล่น​พิเศษ​	【PVP】天梯斗技场	【PVP】天梯鬥技場	[PvP] The Arena	【PVP】アリーナランク戦	[PVP] 래더 투기장	[PVP] สกายอารีน่า						
310	3	-0.1;0.24	5	3	0	-20;202;0					25	0	105010			1	区域3渔场点位	區域3漁場點位	District 3 Fishery Point	エリア3漁場ポイント	지역 3 낚시터 지점	เขตที่ 3 จุดบ่อตกปลา	【钓鱼】云霞湖岛	【釣魚】雲霞湖島	[Fishing] Eventide Islands	【釣り】雲霞湖島	[낚시] 운하 호수	[ตกปลา] เกาะเมฆารุ้ง						
317	3		11								25	0	105010			1	区域任务	區域任務	District Mission	エリア6漁場ポイント	지역 미션	ภารกิจเขต	调查耀州区	調查耀州區	Investigate	地域調査	요주 타운 조사	ตรวจสอบเขตเหยาโจว						
403	4	-0.4;0.2	2	2015301;2015302;2015303;2015304;2015305;2015306	5011063;5011064;5011065	-75;366;0					25	0	108060			1	噩梦回收站	噩夢回收站	Nightmare Recycle Station	悪夢回収所	악몽 회수역	สถานีรีไซเคิลฝันร้าย	【装备】利兹大道	【裝備】利茲大道	[Equipment] Leids Avenue	【装備】リーズストリート	[장비] 리즈 에비뉴	[​อุปกรณ์​]​ ถนนสายหลัก​ลิ​ซ​	该区域可获得[生命套]	該區域可獲得[生命套]	You can get [Health Set] in this district.	このエリアで【最大HP装飾】を獲得できる	해당 지역에서 [HP 세트] 획득 가능	เขต​พื้นที่​ดังกล่าว​สามารถ​ได้รับ​ [​เช็ต​พลัง​ชีวิต​]​
408	4	-0.1;0.25	3	2040501;2040502;2040503;2040504;2040505;2040506;2040507;2040508;2040509	5600004;5600021;5600101;5600041;5600102;5600103;5600083;5600104;5600044	-20;256;0					4	0	107010			1	区域4普通战斗点位5	區域4普通戰鬥點位5	District 4 Normal Battle Point 5	エリア4普通戦闘ポイント5	지역 4 일반 전투 지점 5	เขต​ที่​ 4​ จุด​ต่อสู้​ทั่วไป​ 5​	【食材】乌鸦巷	【食材】烏鴉巷	[Ingredient] Ravens Alley	【食材】カラス横丁	[식재료] 크로우로드	[​วัตถุดิบ​อาหาร​]​ ตรอก​เร​เวน​						
409	4	-0.1;0.3	9		0	-75;366;0					25	0	107120			1	区域4特殊玩法点位	區域4特殊玩法點位	District 4 Special Feature Point	エリア4特殊モードポイント	지역 4 특수 플레이 지점	เขต​ที่​ 4​ จุด​รูปแบบ​การ​เล่น​พิเศษ​	【特殊】世界首领	【特殊】世界首領	[Special] World Boss	【特殊】ワールドBOSS	[특수] 월드 보스	[พิเศษ] เวิลด์บอส						
410	4	-0.1;0.24	5	4	0	-20;202;0					25	0	107010			1	区域4渔场点位	區域4漁場點位	District 4 Fishery Point	エリア4漁場ポイント	지역 4 낚시터 지점	เขตที่ 4 จุดบ่อตกปลา	【钓鱼】牧森湖	【釣魚】牧森湖	[Fishing] Mussen Banks	【釣り】森の湖	[낚시] 마키모리 호수	[​ตกปลา​]​ ทะเลสาบ​วินเซอร์​						
417	4		11								4	0	107010			1	区域任务	區域任務	District Mission	エリア6漁場ポイント	지역 미션	ภารกิจเขต	调查旧城区	調查舊城區	Investigate	地域調査	구시가지 조사	ตรวจสอบเขตเมืองโบราณ						
503	5	-0.4;0.2	2	2015401;2015402;2015403;2015404;2015405;2015406	5011073;5011074;5011075	-75;366;0					25	0	110060			1	白塔	白塔	Ivorus	ホワイトタワー	브라이트 타워	ไวท์ทาวเวอร์	【装备】白塔	【裝備】白塔	[Equipment] Ivorus	【装備】ホワイトタワー	[장비] 브라이트 타워	[​อุปกรณ์​]​ ไวท์​ทาวเวอร์​	该区域可获得[暴击套]	該區域可獲得[爆擊套]	You can get [Critical Set] in this district.	このエリアで【会心装飾】を獲得できる	해당 지역에서 [크리티컬 세트] 획득 가능	เขต​พื้นที่​ดังกล่าว​สามารถ​ได้รับ​ [​เช็ตค​ริ​ติ​คอ​ล​]​
506	5	-0.22;0.22	7			-20;256;0	105				25	0	109210			1	区域5普通战斗点位3	區域5普通戰鬥點位3	District 5 Normal Battle Point 3	エリア5普通戦闘ポイント2	지역 5 일반 전투 지점 3	เขต​ที่​ 5​ จุด​ต่อสู้​ทั่วไป​ 3​	【PVP】幻影斗技场	【PVP】幻影鬥技場	[PvP] Phantom Clash	【PVP】ファントム闘技場	[PVP] 팬텀 투기장	[PVP] แฟนธอมอารีน่า						
508	5	-0.1;0.25	3	2050501;2050502;2050503;2050504;2050505;2050506;2050507;2050508;2050509	5600105;5600106;5600107;5600108;5600024;5600104;5600109;5600110;5600111	-20;256;0					4	0	109010			1	区域5普通战斗点位5	區域5普通戰鬥點位5	District 5 Normal Battle Point 5	エリア5普通戦闘ポイント5	지역 5 일반 전투 지점 5	เขต​ที่​ 5​ จุด​ต่อสู้​ทั่วไป​ 5​	【食材】宴会馆	【食材】宴會館	[Ingredient] Banquet Hall	【食材】宴の館	[식재료] 파티홀	[​วัตถุดิบ​อาหาร​]​ สถาน​จัด​เลี้ยง​						
510	5	-0.1;0.24	5	5	0	-20;202;0					25	0	109010			1	区域5渔场点位	區域5漁場點位	District 5 Fishery Point	エリア5漁場ポイント	지역 5 낚시터 지점	เขตที่ 5 จุดบ่อตกปลา	【钓鱼】湖湾公园	【釣魚】湖灣公園	[Fishing] Lakecurve Park	【釣り】レークパーク	[낚시] 레이크베이 공원	[​ตกปลา​]​ สวนสาธารณะ​เลค​เบย์​						
517	5		11								4	0	109010			1	区域任务	區域任務	District Mission	エリア6漁場ポイント	지역 미션	ภารกิจเขต	调查中心区	調查中心區	Investigate	地域調査	센트럴 타운 조사	ตรวจสอบเขตศูนย์กลาง						
603	6	-0.4;0.2	2	2015501;2015502;2015503;2015504;2015505;2015506	5011093;5011094;5011095	-75;366;0					25	0	111080			1	雪将军广场	雪將軍廣場	Snowhawk Square	雪将軍広場	제네럴 스노우 프라자	จัตุรัสสโนว์	【装备】雪将军广场	【裝備】雪將軍廣場	[Equipment] Snowhawk Square	【装備】雪将軍広場	[장비] 제네럴 스노우 프라자	[อุปกรณ์] จัตุรัสสโนว์	该区域可获得[坚韧套]	該區域可獲得[堅韌套]	You can get [Resilience Set] in this district.	このエリアで【強靱装飾】を獲得できる	해당 지역에서 [강인 세트] 획득 가능	เขต​พื้นที่​ดังกล่าว​สามารถ​ได้รับ​ [​เซ็ต​ทนทาน​]​
607	6	-0.24;0.24	3	2060401;2060402;2060403;2060404;2060405;2060406;2060407;2060408;2060409	5600112;5600015;5600113;5600114;5600115;5600090;5600116;5600044;5600024	-20;256;0					4	0	110113			1	区域6普通战斗点位4	區域6普通戰鬥點位4	District 6 Normal Battle Point 4	エリア6普通戦闘ポイント5	지역 6 일반 전투 지점 4	เขต​ที่​ 6​ จุด​ต่อสู้​ทั่วไป​ 4​	【食材】新边森林	【食材】新邊森林	[Ingredient] Edgewoods	【食材】新辺の森	[식재료] 뉴엣지 숲	[​วัตถุดิบ​อาหาร​]​ ป่า​นิวเอดจ์​						
610	6	-0.1;0.24	5	6	0	-20;202;0					25	0	110113			1	区域6渔场点位	區域6漁場點位	District 6 Fishery Point	エリア6特殊モードポイント	지역 6 낚시터 지점	เขตที่ 6 จุดบ่อตกปลา	【钓鱼】维克多酒店	【釣魚】維克多酒店	[Fishing] Victor Hotel	【釣り】ホテルヴィクトル	[낚시] 빅터 호텔	[​ตกปลา​]​ โรงแรม​วิคเตอร์​						
617	6		11								4	0	110113			1	区域任务	區域任務	District Mission	エリア6漁場ポイント	지역 미션	ภารกิจเขต	调查凛北区	調查凜北區	Investigate	地域調査	노스 타운 조사	ตรวจสอบเขตโบเรียร่า						
