id	uid	equipICon	equipShadowICon	unlockType	unlockId	unlockNum	status	equipName	equipName_zh_TW	equipName_en_UK	equipName_ja_JP	equipName_ko_KR	equipName_th_TH	equipJumpName	equipJumpName_zh_TW	equipJumpName_en_UK	equipJumpName_ja_JP	equipJumpName_ko_KR	equipJumpName_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
34	253	7:goods_icon_4010614	132:equipment_icon_4	25	0	108060	1	暴伤.尾饰	爆傷.尾飾	CRIT DMG - Tailpiece	会心ダメージ装飾・尻尾	크리티컬 대미지.꼬리 장식	ดาเมจคริ.ประดับหาง	利兹大道	利茲大道	Leids Avenue	リーズストリート	리즈 에비뉴	ถนนสายหลักลิซ	【暴伤.尾饰】主属性提供较低防御值的部位	【爆傷.尾飾】主屬性提供較低防禦值的部位	[CRIT DMG - Tailpiece] Provides lower DEF as its primary stat.	「会心ダメージ装飾・尻尾」メインステータスが防御力をやや高める部位。	[크리티컬 대미지.꼬리 장식] 메인 속성이 다른 부위보다 낮은 방어력을 제공	[​ดา​เม​จค​ริ​.​ประดับ​หาง​]​ ตำแหน่ง​ที่​ให้​ค่า​ DEF​ สูง​จาก​คุณสมบัติ​หลัก​
35	253	7:goods_icon_4010615	132:equipment_icon_5	25	0	108060	1	暴伤.嘴套	爆傷.嘴套	CRIT DMG - Mouthpiece	会心ダメージ装飾・顔	크리티컬 대미지.마스크	ดาเมจคริ.ส่วนปาก	利兹大道	利茲大道	Leids Avenue	リーズストリート	리즈 에비뉴	ถนนสายหลักลิซ	【暴伤.嘴套】主属性提供较高攻击值的部位	【爆傷.嘴套】主屬性提供較高攻擊值的部位	[CRIT DMG - Mouthpiece] Provides high ATK as its primary stat.	「会心ダメージ装飾・顔」メインステータスが攻撃力を高める部位。	[크리티컬 대미지.마스크] 메인 속성이 다른 부위보다 높은 공격력을 제공	[​ดา​เม​จค​ริ​.​ส่วน​ปาก​]​ ตำแหน่ง​ที่​ให้​ค่า​ ATK​ สูง​จาก​คุณสมบัติ​หลัก​
36	253	7:goods_icon_4010616	132:equipment_icon_6	25	0	108060	1	暴伤.爪饰	爆傷.爪飾	CRIT DMG - Claws	会心ダメージ装飾・爪	크리티컬 대미지.장갑	ดาเมจคริ.กรงเล็บ	利兹大道	利茲大道	Leids Avenue	リーズストリート	리즈 에비뉴	ถนนสายหลักลิซ	【暴伤.爪饰】主属性提供较低攻击值的部位	【爆傷.爪飾】主屬性提供較低攻擊值的部位	[CRIT DMG - Claws] Provides lower ATK as its primary stat.	「会心ダメージ装飾・爪」メインステータスが攻撃力をやや高める部位。	[크리티컬 대미지.장갑] 메인 속성이 다른 부위보다 낮은 공격력을 제공	[​ดา​เม​จค​ริ​.​กรงเล็บ​]​ ตำแหน่ง​ที่​ให้​ค่า​ ATK​ ต่ำ​จาก​คุณสมบัติ​หลัก​
37	263	7:goods_icon_4010711	132:equipment_icon_1	25	0	110060	1	不屈.头饰	不屈.頭飾	Undaunted - Headpiece	不屈装飾・頭部	불굴.머리 장식	ความอึด.ประดับหัว	白塔	白塔	Ivorus	ホワイトタワー	브라이트 타워	ไวท์ทาวเวอร์	【不屈.头饰】主属性提供较高生命值的部位	【不屈.頭飾】主屬性提供較高生命值的部位	[Undaunted - Headpiece] Provides high HP as its primary stat.	「不屈装飾・頭部」メインステータスが最大HPを高める部位。	[불굴.머리 장식] 메인 속성이 다른 부위보다 높은 HP를 제공	[​ความ​อึด​.​ประดับ​หัว​]​ ตำแหน่ง​ที่​ให้​ค่า​ HP​ สูง​จาก​คุณสมบัติ​หลัก​
38	263	7:goods_icon_4010712	132:equipment_icon_2	25	0	110060	1	不屈.耳饰	不屈.耳飾	Undaunted - Earrings	不屈装飾・耳	불굴.귀 장식	ความอึด.ต่างหู	白塔	白塔	Ivorus	ホワイトタワー	브라이트 타워	ไวท์ทาวเวอร์	【不屈.耳饰】主属性提供较低生命值的部位	【不屈.耳飾】主屬性提供較低生命值的部位	[Undaunted - Earrings] Provides lower HP as its primary stat.	「不屈装飾・耳」メインステータスが最大HPをやや高める部位。	[불굴.귀 장식] 메인 속성이 다른 부위보다 낮은 HP를 제공	[​ความ​อึด​.​ต่างหู​]​ ตำแหน่ง​ที่​ให้​ค่า​ HP​ ต่ำ​จาก​คุณสมบัติ​หลัก​
39	263	7:goods_icon_4010713	132:equipment_icon_3	25	0	110060	1	不屈.颈环	不屈.頸環	Undaunted - Necklace	不屈装飾・首	불굴.목걸이	ความอึด.ปลอกคอ	白塔	白塔	Ivorus	ホワイトタワー	브라이트 타워	ไวท์ทาวเวอร์	【不屈.颈环】主属性提供较高防御值的部位	【不屈.頸環】主屬性提供較高防禦值的部位	[Undaunted - Necklace] Provides high DEF as its primary stat.	「不屈装飾・首」メインステータスが防御力を高める部位。	[불굴.목걸이] 메인 속성이 다른 부위보다 높은 방어력을 제공	[​ความ​อึด​.​ปลอกคอ​]​ ตำแหน่ง​ที่​ให้​ค่า​ DEF​ สูง​จาก​คุณสมบัติ​หลัก​
40	263	7:goods_icon_4010715	132:equipment_icon_4	25	0	110060	1	不屈.嘴套	不屈.嘴套	Undaunted - Mouthpiece	不屈装飾・顔	불굴.마스크	ความอึด.ส่วนปาก	白塔	白塔	Ivorus	ホワイトタワー	브라이트 타워	ไวท์ทาวเวอร์	【不屈.嘴套】主属性提供较低防御值的部位	【不屈.嘴套】主屬性提供較低防禦值的部位	[Undaunted - Mouthpiece] Provides lower DEF as its primary stat.	「不屈装飾・顔」メインステータスが防御力をやや高める部位。	[불굴.마스크] 메인 속성이 다른 부위보다 낮은 방어력을 제공	[​ความ​อึด​.​ส่วน​ปาก​]​ ตำแหน่ง​ที่​ให้​ค่า​ DEF​ ต่ำ​จาก​คุณสมบัติ​หลัก​
41	263	7:goods_icon_4010714	132:equipment_icon_5	25	0	110060	1	不屈.尾饰	不屈.尾飾	Undaunted - Tailpiece	不屈装飾・尻尾	불굴.꼬리 장식	ความอึด.ประดับหาง	白塔	白塔	Ivorus	ホワイトタワー	브라이트 타워	ไวท์ทาวเวอร์	【不屈.尾饰】主属性提供较高攻击值的部位	【不屈.尾飾】主屬性提供較高攻擊值的部位	[Undaunted - Tailpiece] Provides high ATK as its primary stat.	「不屈装飾・尻尾」メインステータスが攻撃力を高める部位。	[불굴.꼬리 장식] 메인 속성이 다른 부위보다 높은 공격력을 제공	[​ความ​อึด​.​ประดับ​หาง​]​ ตำแหน่ง​ที่​ให้​ค่า​ ATK​ สูง​จาก​คุณสมบัติ​หลัก​
42	263	7:goods_icon_4010716	132:equipment_icon_6	25	0	110060	1	不屈.爪饰	不屈.爪飾	Undaunted - Claws	不屈装飾・爪	불굴.장갑	ความอึด.กรงเล็บ	白塔	白塔	Ivorus	ホワイトタワー	브라이트 타워	ไวท์ทาวเวอร์	【不屈.爪饰】主属性提供较低攻击值的部位	【不屈.爪飾】主屬性提供較低攻擊值的部位	[Undaunted - Claws] Provides lower ATK as its primary stat.	「不屈装飾・爪」メインステータスが攻撃力をやや高める部位。	[불굴.장갑] 메인 속성이 다른 부위보다 낮은 공격력을 제공	[​ความ​อึด​.​กรงเล็บ​]​ ตำแหน่ง​ที่​ให้​ค่า​ ATK​ ต่ำ​จาก​คุณสมบัติ​หลัก​
43	243	7:goods_icon_4010811	132:equipment_icon_1	25	0	106030	1	援护.头饰	援護.頭飾	Support - Headpiece	援護装飾・頭部	엄호.머리 장식	ซัพพอร์ต.ประดับหัว	通天阙	通天闕	Skyward Palace	通天街	통천궁	หอคอยเทียมฟ้า	【援护.头饰】主属性提供较高生命值的部位	【援護.頭飾】主屬性提供較高生命值的部位	[Support - Headpiece] Provides high HP as its primary stat.	「援護装飾・頭部」メインステータスが最大HPを高める部位。	[엄호.머리 장식] 메인 속성이 다른 부위보다 높은 HP를 제공	[​ซัพพอร์ต​.​ประดับ​หัว​]​ ตำแหน่ง​ที่​ให้​ค่า​ HP​ สูง​จาก​คุณสมบัติ​หลัก​
44	243	7:goods_icon_4010812	132:equipment_icon_2	25	0	106030	1	援护.耳饰	援護.耳飾	Support - Earrings	援護装飾・耳	엄호.귀 장식	ซัพพอร์ต.ต่างหู	通天阙	通天闕	Skyward Palace	通天街	통천궁	หอคอยเทียมฟ้า	【援护.耳饰】主属性提供较低生命值的部位	【援護.耳飾】主屬性提供較低生命值的部位	[Support - Earrings] Provides lower HP as its primary stat.	「援護装飾・耳」メインステータスが最大HPをやや高める部位。	[엄호.귀 장식] 메인 속성이 다른 부위보다 낮은 HP를 제공	[​ซัพพอร์ต​.​ต่างหู​]​ ตำแหน่ง​ที่​ให้​ค่า​ HP​ ต่ำ​จาก​คุณสมบัติ​หลัก​
45	243	7:goods_icon_4010813	132:equipment_icon_3	25	0	106030	1	援护.颈环	援護.頸環	Support - Necklace	援護装飾・首	엄호.목걸이	ซัพพอร์ต.ปลอกคอ	通天阙	通天闕	Skyward Palace	通天街	통천궁	หอคอยเทียมฟ้า	【援护.颈环】主属性提供较高防御值的部位	【援護.頸環】主屬性提供較高防禦值的部位	[Support - Necklace] Provides high DEF as its primary stat.	「援護装飾・首」メインステータスが防御力を高める部位。	[엄호.목걸이] 메인 속성이 다른 부위보다 높은 방어력을 제공	[​ซัพพอร์ต​.​ปลอกคอ​]​ ตำแหน่ง​ที่​ให้​ค่า​ DEF​ สูง​จาก​คุณสมบัติ​หลัก​
46	243	7:goods_icon_4010814	132:equipment_icon_4	25	0	106030	1	援护.尾饰	援護.尾飾	Support - Tailpiece	援護装飾・尻尾	엄호.꼬리 장식	ซัพพอร์ต.ประดับหาง	通天阙	通天闕	Skyward Palace	通天街	통천궁	หอคอยเทียมฟ้า	【援护.尾饰】主属性提供较低防御值的部位	【援護.尾飾】主屬性提供較低防禦值的部位	[Support - Tailpiece] Provides lower DEF as its primary stat.	「援護装飾・尻尾」メインステータスが防御力をやや高める部位。	[엄호.꼬리 장식] 메인 속성이 다른 부위보다 낮은 방어력을 제공	[​ซัพพอร์ต​.​ประดับ​หาง​]​ ตำแหน่ง​ที่​ให้​ค่า​ DEF​ สูง​จาก​คุณสมบัติ​หลัก​
47	243	7:goods_icon_4010815	132:equipment_icon_5	25	0	106030	1	援护.嘴套	援護.嘴套	Support - Mouthpiece	援護装飾・顔	엄호.마스크	ซัพพอร์ต.ส่วนปาก	通天阙	通天闕	Skyward Palace	通天街	통천궁	หอคอยเทียมฟ้า	【援护.嘴套】主属性提供较高攻击值的部位	【援護.嘴套】主屬性提供較高攻擊值的部位	[Support - Mouthpiece] Provides high ATK as its primary stat.	「援護装飾・顔」メインステータスが攻撃力を高める部位。	[엄호.마스크] 메인 속성이 다른 부위보다 높은 공격력을 제공	[​ซัพพอร์ต​.​ส่วน​ปาก​]​ ตำแหน่ง​ที่​ให้​ค่า​ ATK​ สูง​จาก​คุณสมบัติ​หลัก​
48	243	7:goods_icon_4010816	132:equipment_icon_6	25	0	106030	1	援护.爪饰	援護.爪飾	Support - Claws	援護装飾・爪	엄호.장갑	ซัพพอร์ต.กรงเล็บ	通天阙	通天闕	Skyward Palace	通天街	통천궁	หอคอยเทียมฟ้า	【援护.爪饰】主属性提供较低攻击值的部位	【援護.爪飾】主屬性提供較低攻擊值的部位	[Support - Claws] Provides lower ATK as its primary stat.	「援護装飾・爪」メインステータスが攻撃力をやや高める部位。	[엄호.장갑] 메인 속성이 다른 부위보다 낮은 공격력을 제공	[​ซัพพอร์ต​.​กรงเล็บ​]​ ตำแหน่ง​ที่​ให้​ค่า​ ATK​ ต่ำ​จาก​คุณสมบัติ​หลัก​
49	273	7:goods_icon_4010911	132:equipment_icon_1	25	0	111080	1	精通.头饰	精通.頭飾	Mastery - Headpiece	精通装飾・頭部	건강.머리 장식	ชำนาญ.ประดับหัว	雪将军广场	雪將軍廣場	Snowhawk Square	雪将軍広場	제네럴 스노우 프라자	จัตุรัสสโนว์	【精通.头饰】主属性提供较高生命值的部位	【精通.頭飾】主屬性提供較高生命值的部位	[Mastery - Headpiece] Provides high HP as its primary stat.	「精通装飾・頭部」メインステータスが最大HPを高める部位。	[건강.머리 장식] 메인 속성이 다른 부위보다 높은 HP를 제공	[​ชำนาญ​.​ประดับ​หัว​]​ ตำแหน่ง​ที่​ให้​ค่า​ HP​ สูง​จาก​คุณสมบัติ​หลัก​
50	273	7:goods_icon_4010912	132:equipment_icon_2	25	0	111080	1	精通.耳饰	精通.耳飾	Mastery - Earrings	精通装飾・耳	건강.귀 장식	ชำนาญ.ต่างหู	雪将军广场	雪將軍廣場	Snowhawk Square	雪将軍広場	제네럴 스노우 프라자	จัตุรัสสโนว์	【精通.耳饰】主属性提供较低生命值的部位	【精通.耳飾】主屬性提供較低生命值的部位	[Mastery - Earrings] Provides lower HP as its primary stat.	「精通装飾・耳」メインステータスが最大HPをやや高める部位。	[건강.귀 장식] 메인 속성이 다른 부위보다 낮은 HP를 제공	[​ชำนาญ​.​ต่างหู​]​ ตำแหน่ง​ที่​ให้​ค่า​ HP​ ต่ำ​จาก​คุณสมบัติ​หลัก​
51	273	7:goods_icon_4010913	132:equipment_icon_3	25	0	111080	1	精通.颈环	精通.頸環	Mastery - Necklace	精通装飾・首	건강.목걸이	ชำนาญ.ปลอกคอ	雪将军广场	雪將軍廣場	Snowhawk Square	雪将軍広場	제네럴 스노우 프라자	จัตุรัสสโนว์	【精通.颈环】主属性提供较高防御值的部位	【精通.頸環】主屬性提供較高防禦值的部位	[Mastery - Necklace] Provides high DEF as its primary stat.	「精通装飾・首」メインステータスが防御力を高める部位。	[건강.목걸이] 메인 속성이 다른 부위보다 높은 방어력을 제공	[​ชำนาญ​.​ปลอกคอ​]​ ตำแหน่ง​ที่​ให้​ค่า​ DEF​ สูง​จาก​คุณสมบัติ​หลัก​
52	273	7:goods_icon_4010914	132:equipment_icon_4	25	0	111080	1	精通.尾饰	精通.尾飾	Mastery - Tailpiece	精通装飾・尻尾	건강.꼬리 장식	เชี่ยวชาญ.ประดับหาง	雪将军广场	雪將軍廣場	Snowhawk Square	雪将軍広場	제네럴 스노우 프라자	จัตุรัสสโนว์	【精通.尾饰】主属性提供较低防御值的部位	【精通.尾飾】主屬性提供較低防禦值的部位	[Mastery - Tailpiece] Provides lower DEF as its primary stat.	「精通装飾・尻尾」メインステータスが防御力をやや高める部位。	[건강.꼬리 장식] 메인 속성이 다른 부위보다 낮은 방어력을 제공	[​ชำนาญ​.​ประดับ​หาง​]​ ตำแหน่ง​ที่​ให้​ค่า​ DEF​ ต่ำ​จาก​คุณสมบัติ​หลัก​
53	273	7:goods_icon_4010915	132:equipment_icon_5	25	0	111080	1	精通.嘴套	精通.嘴套	Mastery - Mouthpiece	精通装飾・顔	건강.마스크	เชี่ยวชาญ.ส่วนปาก	雪将军广场	雪將軍廣場	Snowhawk Square	雪将軍広場	제네럴 스노우 프라자	จัตุรัสสโนว์	【精通.嘴套】主属性提供较高攻击值的部位	【精通.嘴套】主屬性提供較高攻擊值的部位	[Mastery - Mouthpiece] Provides high ATK as its primary stat.	「精通装飾・顔」メインステータスが攻撃力を高める部位。	[건강.마스크] 메인 속성이 다른 부위보다 높은 공격력을 제공	[​ชำนาญ​.​ส่วน​ปาก​]​ ตำแหน่ง​ที่​ให้​ค่า​ ATK​ สูง​จาก​คุณสมบัติ​หลัก​
54	273	7:goods_icon_4010916	132:equipment_icon_6	25	0	111080	1	精通.爪饰	精通.爪飾	Mastery - Claws	精通装飾・爪	건강.장갑	เชี่ยวชาญ.กรงเล็บ	雪将军广场	雪將軍廣場	Snowhawk Square	雪将軍広場	제네럴 스노우 프라자	จัตุรัสสโนว์	【精通.爪饰】主属性提供较低攻击值的部位	【精通.爪飾】主屬性提供較低攻擊值的部位	[Mastery - Claws] Provides lower ATK as its primary stat.	「精通装飾・爪」メインステータスが攻撃力をやや高める部位。	[건강.장갑] 메인 속성이 다른 부위보다 낮은 공격력을 제공	[​ชำนาญ​.​กรงเล็บ​]​ ตำแหน่ง​ที่​ให้​ค่า​ ATK​ ต่ำ​จาก​คุณสมบัติ​หลัก​
55	625	7:goods_icon_4010111	132:equipment_icon_1	25	0	106070	1	幸运.头饰	幸運.頭飾	Lucky - Headpiece	幸運装飾・頭部	행운.머리 장식	โชค.ประดับหัว	【天梯商店】	【天梯商店】	[Arena Shop]	【アリーナショップ】	[래더 상점]	[ร้านค้าสกาย]	【幸运.头饰】主属性提供较高生命值的部位	【幸運.頭飾】主屬性提供較高生命值的部位	[Lucky - Headpiece] Provides high HP as its primary stat.	「幸運装飾・頭部」メインステータスが最大HPを高める部位。	[행운.머리 장식] 메인 속성이 다른 부위보다 높은 HP를 제공	[Luck.​ประดับ​หัว​]​ ตำแหน่ง​ที่​ให้​ค่า​ HP​ สูง​จาก​คุณสมบัติ​หลัก​
56	625	7:goods_icon_4010112	132:equipment_icon_2	25	0	106070	1	幸运.耳饰	幸運.耳飾	Lucky - Earrings	幸運装飾・耳	행운.귀 장식	โชค.ต่างหู	【天梯商店】	【天梯商店】	[Arena Shop]	【アリーナショップ】	[래더 상점]	[ร้านค้าสกาย]	【幸运.耳饰】主属性提供较低生命值的部位	【幸運.耳飾】主屬性提供較低生命值的部位	[Lucky - Earrings] Provides lower HP as its primary stat.	「幸運装飾・耳」メインステータスが最大HPをやや高める部位。	[행운.귀 장식] 메인 속성이 다른 부위보다 낮은 HP를 제공	[Luck.​ต่างหู​]​ ตำแหน่ง​ที่​ให้​ค่า​ HP​ ต่ำ​จาก​คุณสมบัติ​หลัก​
57	625	7:goods_icon_4010113	132:equipment_icon_3	25	0	106070	1	幸运.颈环	幸運.頸環	Lucky - Necklace	幸運装飾・首	행운.목걸이	โชค.ปลอกคอ	【天梯商店】	【天梯商店】	[Arena Shop]	【アリーナショップ】	[래더 상점]	[ร้านค้าสกาย]	【幸运.颈环】主属性提供较高防御值的部位	【幸運.頸環】主屬性提供較高防禦值的部位	[Lucky - Necklace] Provides high DEF as its primary stat.	「幸運装飾・首」メインステータスが防御力を高める部位。	[행운.목걸이] 메인 속성이 다른 부위보다 높은 방어력을 제공	[Luck.​ปลอกคอ​]​ ตำแหน่ง​ที่​ให้​ค่า​ DEF​ สูง​จาก​คุณสมบัติ​หลัก​
58	625	7:goods_icon_4010114	132:equipment_icon_4	25	0	106070	1	幸运.尾饰	幸運.尾飾	Lucky - Tailpiece	幸運装飾・尻尾	행운.꼬리 장식	โชค.ประดับหาง	【天梯商店】	【天梯商店】	[Arena Shop]	【アリーナショップ】	[래더 상점]	[ร้านค้าสกาย]	【幸运.尾饰】主属性提供较低防御值的部位	【幸運.尾飾】主屬性提供較低防禦值的部位	[Lucky - Tailpiece] Provides lower DEF as its primary stat.	「幸運装飾・尻尾」メインステータスが防御力をやや高める部位。	[행운.꼬리 장식] 메인 속성이 다른 부위보다 낮은 방어력을 제공	[Luck.​ประดับ​หาง​]​ ตำแหน่ง​ที่​ให้​ค่า​ DEF​ ต่ำ​จาก​คุณสมบัติ​หลัก​
59	625	7:goods_icon_4010115	132:equipment_icon_5	25	0	106070	1	幸运.嘴套	幸運.嘴套	Lucky - Mouthpiece	幸運装飾・顔	행운.마스크	โชค.ส่วนปาก	【天梯商店】	【天梯商店】	[Arena Shop]	【アリーナショップ】	[래더 상점]	[ร้านค้าสกาย]	【幸运.嘴套】主属性提供较高攻击值的部位	【幸運.嘴套】主屬性提供較高攻擊值的部位	[Lucky - Mouthpiece] Provides high ATK as its primary stat.	「幸運装飾・顔」メインステータスが攻撃力を高める部位。	[행운.마스크] 메인 속성이 다른 부위보다 높은 공격력을 제공	[Luck.​ส่วน​ปาก​]​ ตำแหน่ง​ที่​ให้​ค่า​ ATK​ สูง​จาก​คุณสมบัติ​หลัก​
