id	type	diff	enterIcon	regionLevel	Exp	cardExp	unlockNum	proposalLevel	powerMin	powerTeamMin	frequency	costItem	costNum	costNumLose	SceneId	monsterShow	repeatButton	location	rounds	battleRules	status
21306	3	306	129:rapidrescue_goods_3	6	30	0	305	84000	8400	64680		411001	30	0	10701	33030001	1	0;0	20	1	1
21307	3	307	129:rapidrescue_goods_3	7	35	0	306	108000	10800	83160		411001	35	0	10701	33030001	1	0;0	20	1	1
21308	3	308	129:rapidrescue_goods_4	8	40	0	307	138000	13800	106260		411001	40	0	10701	33030001	1	0;0	20	1	1
21309	3	309	129:rapidrescue_goods_4	9	45	0	308	178000	17800	137060		411001	45	0	10701	33030001	1	0;0	20	1	1
21310	3	310	129:rapidrescue_goods_4	10	50	0	309	229000	22900	176330		411001	50	0	10701	33030001	1	0;0	20	1	1
21311	3	311	129:rapidrescue_goods_4	11	100	0	310	245000	24500	188650		411001	100	0	10701	33030001	1	0;0	20	1	1
21401	4	401	129:rapidrescue_goods_1	1	20	0	0	29000	2900	22330		411001	20	0	20401	33040001;33040002;33040002	1	0;0	20	1	1
21402	4	402	129:rapidrescue_goods_2	2	22	0	401	34000	3400	26180		411001	22	0	20401	33040001;33040002;33040002	1	0;0	20	1	1
21403	4	403	129:rapidrescue_goods_2	3	24	0	402	41000	4100	31570		411001	24	0	20401	33040001;33040002;33040002	1	0;0	20	1	1
21404	4	404	129:rapidrescue_goods_3	4	26	0	403	52000	5200	40040		411001	26	0	20401	33040001;33040002;33040002	1	0;0	20	1	1
21405	4	405	129:rapidrescue_goods_3	5	28	0	404	66000	6600	50820		411001	28	0	20401	33040001;33040002;33040002	1	0;0	20	1	1
21406	4	406	129:rapidrescue_goods_3	6	30	0	405	84000	8400	64680		411001	30	0	20401	33040001;33040002;33040002	1	0;0	20	1	1
21407	4	407	129:rapidrescue_goods_3	7	35	0	406	108000	10800	83160		411001	35	0	20401	33040001;33040002;33040002	1	0;0	20	1	1
21408	4	408	129:rapidrescue_goods_4	8	40	0	407	138000	13800	106260		411001	40	0	20401	33040001;33040002;33040002	1	0;0	20	1	1
21409	4	409	129:rapidrescue_goods_4	9	45	0	408	178000	17800	137060		411001	45	0	20401	33040001;33040002;33040002	1	0;0	20	1	1
21410	4	410	129:rapidrescue_goods_4	10	50	0	409	229000	22900	176330		411001	50	0	20401	33040001;33040002;33040002	1	0;0	20	1	1
21411	4	411	129:rapidrescue_goods_4	11	100	0	410	245000	24500	188650		411001	100	0	20401	33040001;33040002;33040002	1	0;0	20	1	1
