id	regularReward	regularRewardNum	rareReward	rareRewardRandom	rareRewardMinNum	rareRewardMaxNum	rareRewardShow	rareRewardShowNum	fristRewards	fristRewardsNum	starRewardId	starRewardNum	showItem	showItemTag	showItemNum	status
20303	419003	3	500033;500023;500013;419002;419003;419003	2;5;1;1;0.7;0.3	1;1;1;45;2;1	1;1;1;75;2;1	419002;419003;419003;500033;400133;400233;400333;400433;400533;400633;400733;400833;500023;400123;400223;400323;400423;400523;400623;400723;400823;500013;400113;400213;400313;400413;400513;400613;400713;400813	45;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	1600	419002;419003;419002;500033;400133;400233;400333;400433;400533;400633;400733;400833;500023;400123;400223;400323;400423;400523;400623;400723;400823;500013;400113;400213;400313;400413;400513;400613;400713;400813;419003;419003	4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	1600;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;2;1	1
20304	419003	3	500043;500033;500023;419002;419003;419003	0.3;3;3;1;0.7;0.3	1;1;1;45;2;2	1;1;1;75;2;2	419002;419003;419003;500043;400143;400243;400343;400443;400543;400643;400743;400843;500033;400133;400233;400333;400433;400533;400633;400733;400833;500023;400123;400223;400323;400423;400523;400623;400723;400823;	45;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	1800	419002;419003;419002;500043;400143;400243;400343;400443;400543;400643;400743;400843;500033;400133;400233;400333;400433;400533;400633;400733;400833;500023;400123;400223;400323;400423;400523;400623;400723;400823;;419003;419003	4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	1800;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;2;2	1
20305	411001;419003	4;5	500043;500033;500023;419002;419003;419003	0.5;5;2;1;0.7;0.3	1;1;1;60;3;2	1;1;1;100;3;2	419002;419003;419003;500043;400143;400243;400343;400443;400543;400643;400743;400843;500033;400133;400233;400333;400433;400533;400633;400733;400833;500023;400123;400223;400323;400423;400523;400623;400723;400823;	60;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	2000	419002;411001;419003;419002;500043;400143;400243;400343;400443;400543;400643;400743;400843;500033;400133;400233;400333;400433;400533;400633;400733;400833;500023;400123;400223;400323;400423;400523;400623;400723;400823;;419003;419003	4;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	2000;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;3;2	1
20306	411001;419003	4;5	500043;500033;500023;419002;419003;419003	0.8;6;1;1;0.7;0.3	1;1;1;60;3;3	1;1;1;100;3;3	419002;419003;419003;500043;400143;400243;400343;400443;400543;400643;400743;400843;500033;400133;400233;400333;400433;400533;400633;400733;400833;500023;400123;400223;400323;400423;400523;400623;400723;400823;	60;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	2200	419002;411001;419003;419002;500043;400143;400243;400343;400443;400543;400643;400743;400843;500033;400133;400233;400333;400433;400533;400633;400733;400833;500023;400123;400223;400323;400423;400523;400623;400723;400823;;419003;419003	4;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	2200;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;3;3	1
20307	411001;419003	5;7	500053;500043;500033;419002;419003;419003	0.1;1.2;8;1;0.7;0.3	1;1;1;75;4;3	1;1;1;125;4;3	419002;419003;419003;500053;400153;400253;400353;400453;400553;400653;400753;400853;500043;400143;400243;400343;400443;400543;400643;400743;400843;500033;400133;400233;400333;400433;400533;400633;400733;400833;	75;4;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	2400	419002;411001;419003;419002;500053;400153;400253;400353;400453;400553;400653;400753;400853;500043;400143;400243;400343;400443;400543;400643;400743;400843;500033;400133;400233;400333;400433;400533;400633;400733;400833;;419003;419003	4;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	2400;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;4;3	1
20308	411001;419003	5;7	500053;500043;500033;419002;419003;419003	0.15;1.8;7;1;0.7;0.3	1;1;1;75;4;4	1;1;1;125;4;4	419002;419003;419003;500053;400153;400253;400353;400453;400553;400653;400753;400853;500043;400143;400243;400343;400443;400543;400643;400743;400843;500033;400133;400233;400333;400433;400533;400633;400733;400833;	75;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	2600	419002;411001;419003;419002;500053;400153;400253;400353;400453;400553;400653;400753;400853;500043;400143;400243;400343;400443;400543;400643;400743;400843;500033;400133;400233;400333;400433;400533;400633;400733;400833;;419003;419003	4;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	2600;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;4;4	1
20309	411001;419003	6;10	500053;500043;500033;419002;419003;419003	0.2;2.5;8;1;0.7;0.3	1;1;1;90;5;4	1;1;1;150;5;4	419002;419003;419003;500053;400153;400253;400353;400453;400553;400653;400753;400853;500043;400143;400243;400343;400443;400543;400643;400743;400843;500033;400133;400233;400333;400433;400533;400633;400733;400833;	90;5;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	2800	419002;411001;419003;419002;500053;400153;400253;400353;400453;400553;400653;400753;400853;500043;400143;400243;400343;400443;400543;400643;400743;400843;500033;400133;400233;400333;400433;400533;400633;400733;400833;;419003;419003	4;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	2800;6;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;5;4	1
20310	411001;419003	6;10	500053;500043;500033;419002;419003;419003	0.25;4.5;6;1;0.7;0.3	1;1;1;90;5;5	1;1;1;150;5;5	419002;419003;419003;500053;400153;400253;400353;400453;400553;400653;400753;400853;500043;400143;400243;400343;400443;400543;400643;400743;400843;500033;400133;400233;400333;400433;400533;400633;400733;400833;	90;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	3000	419002;411001;419003;419002;500053;400153;400253;400353;400453;400553;400653;400753;400853;500043;400143;400243;400343;400443;400543;400643;400743;400843;500033;400133;400233;400333;400433;400533;400633;400733;400833;;419003;419003	4;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	3000;6;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;5;5	1
20401	419003	2	500034;500024;500014;419002;419003;419003	1;2;2;1;0.7;0.3	1;1;1;30;1;1	1;1;1;50;1;1	419002;419003;419003;500034;400134;400234;400334;400434;400534;400634;400734;400834;500024;400124;400224;400324;400424;400524;400624;400724;400824;500014;400114;400214;400314;400414;400514;400614;400714;400814	30;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	1200	419002;419003;419002;500034;400134;400234;400334;400434;400534;400634;400734;400834;500024;400124;400224;400324;400424;400524;400624;400724;400824;500014;400114;400214;400314;400414;400514;400614;400714;400814;419003;419003	4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	1200;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;1;1	1
20402	419003	2	500034;500024;500014;419002;419003;419003	1.2;3;1;1;0.7;0.3	1;1;1;30;1;1	1;1;1;50;1;1	419002;419003;419003;500034;400134;400234;400334;400434;400534;400634;400734;400834;500024;400124;400224;400324;400424;400524;400624;400724;400824;500014;400114;400214;400314;400414;400514;400614;400714;400814	30;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	1400	419002;419003;419002;500034;400134;400234;400334;400434;400534;400634;400734;400834;500024;400124;400224;400324;400424;400524;400624;400724;400824;500014;400114;400214;400314;400414;400514;400614;400714;400814;419003;419003	4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	1400;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;1;1	1
20403	419003	3	500034;500024;500014;419002;419003;419003	2;5;1;1;0.7;0.3	1;1;1;45;2;1	1;1;1;75;2;1	419002;419003;419003;500034;400134;400234;400334;400434;400534;400634;400734;400834;500024;400124;400224;400324;400424;400524;400624;400724;400824;500014;400114;400214;400314;400414;400514;400614;400714;400814	45;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	1600	419002;419003;419002;500034;400134;400234;400334;400434;400534;400634;400734;400834;500024;400124;400224;400324;400424;400524;400624;400724;400824;500014;400114;400214;400314;400414;400514;400614;400714;400814;419003;419003	4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	1600;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;2;1	1
20404	419003	3	500044;500034;500024;419002;419003;419003	0.3;3;3;1;0.7;0.3	1;1;1;45;2;2	1;1;1;75;2;2	419002;419003;419003;500044;400144;400244;400344;400444;400544;400644;400744;400844;500034;400134;400234;400334;400434;400534;400634;400734;400834;500024;400124;400224;400324;400424;400524;400624;400724;400824;	45;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	1800	419002;419003;419002;500044;400144;400244;400344;400444;400544;400644;400744;400844;500034;400134;400234;400334;400434;400534;400634;400734;400834;500024;400124;400224;400324;400424;400524;400624;400724;400824;;419003;419003	4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	1800;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;2;2	1
20405	411001;419003	4;5	500044;500034;500024;419002;419003;419003	0.5;5;2;1;0.7;0.3	1;1;1;60;3;2	1;1;1;100;3;2	419002;419003;419003;500044;400144;400244;400344;400444;400544;400644;400744;400844;500034;400134;400234;400334;400434;400534;400634;400734;400834;500024;400124;400224;400324;400424;400524;400624;400724;400824;	60;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	2000	419002;411001;419003;419002;500044;400144;400244;400344;400444;400544;400644;400744;400844;500034;400134;400234;400334;400434;400534;400634;400734;400834;500024;400124;400224;400324;400424;400524;400624;400724;400824;;419003;419003	4;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	2000;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;3;2	1
20406	411001;419003	4;5	500044;500034;500024;419002;419003;419003	0.8;6;1;1;0.7;0.3	1;1;1;60;3;3	1;1;1;100;3;3	419002;419003;419003;500044;400144;400244;400344;400444;400544;400644;400744;400844;500034;400134;400234;400334;400434;400534;400634;400734;400834;500024;400124;400224;400324;400424;400524;400624;400724;400824;	60;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	2200	419002;411001;419003;419002;500044;400144;400244;400344;400444;400544;400644;400744;400844;500034;400134;400234;400334;400434;400534;400634;400734;400834;500024;400124;400224;400324;400424;400524;400624;400724;400824;;419003;419003	4;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	2200;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;3;3	1
20407	411001;419003	5;7	500054;500044;500034;419002;419003;419003	0.1;1.2;8;1;0.7;0.3	1;1;1;75;4;3	1;1;1;125;4;3	419002;419003;419003;500054;400154;400254;400354;400454;400554;400654;400754;400854;500044;400144;400244;400344;400444;400544;400644;400744;400844;500034;400134;400234;400334;400434;400534;400634;400734;400834;	75;4;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	2400	419002;411001;419003;419002;500054;400154;400254;400354;400454;400554;400654;400754;400854;500044;400144;400244;400344;400444;400544;400644;400744;400844;500034;400134;400234;400334;400434;400534;400634;400734;400834;;419003;419003	4;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	2400;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;4;3	1
20408	411001;419003	5;7	500054;500044;500034;419002;419003;419003	0.15;1.8;7;1;0.7;0.3	1;1;1;75;4;4	1;1;1;125;4;4	419002;419003;419003;500054;400154;400254;400354;400454;400554;400654;400754;400854;500044;400144;400244;400344;400444;400544;400644;400744;400844;500034;400134;400234;400334;400434;400534;400634;400734;400834;	75;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	2600	419002;411001;419003;419002;500054;400154;400254;400354;400454;400554;400654;400754;400854;500044;400144;400244;400344;400444;400544;400644;400744;400844;500034;400134;400234;400334;400434;400534;400634;400734;400834;;419003;419003	4;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	2600;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;4;4	1
20409	411001;419003	6;10	500054;500044;500034;419002;419003;419003	0.2;2.5;8;1;0.7;0.3	1;1;1;90;5;4	1;1;1;150;5;4	419002;419003;419003;500054;400154;400254;400354;400454;400554;400654;400754;400854;500044;400144;400244;400344;400444;400544;400644;400744;400844;500034;400134;400234;400334;400434;400534;400634;400734;400834;	90;5;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	2800	419002;411001;419003;419002;500054;400154;400254;400354;400454;400554;400654;400754;400854;500044;400144;400244;400344;400444;400544;400644;400744;400844;500034;400134;400234;400334;400434;400534;400634;400734;400834;;419003;419003	4;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	2800;6;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;5;4	1
20410	411001;419003	6;10	500054;500044;500034;419002;419003;419003	0.25;4.5;6;1;0.7;0.3	1;1;1;90;5;5	1;1;1;150;5;5	419002;419003;419003;500054;400154;400254;400354;400454;400554;400654;400754;400854;500044;400144;400244;400344;400444;400544;400644;400744;400844;500034;400134;400234;400334;400434;400534;400634;400734;400834;	90;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	0	0	419002	3000	419002;411001;419003;419002;500054;400154;400254;400354;400454;400554;400654;400754;400854;500044;400144;400244;400344;400444;400544;400644;400744;400844;500034;400134;400234;400334;400434;400534;400634;400734;400834;;419003;419003	4;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	3000;6;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;5;5	1
