taskAchId	before	taskContentType	taskContentId	taskContenNum	resetType	rewardId	rewardNum	openType	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
91016		1122	300	1	2	3000013;3000002	1225;500	0	1	在赛季中名次首次达到300名	在賽季中名次首次達到300名	Rank No. 300 for the first time in the season.	今シーズンで初回300位に入る	시즌 내 첫 랭킹 상위 300위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 300​ เป็นครั้งแรก​
91017		1122	200	1	2	3000013;3000002	1300;550	0	1	在赛季中名次首次达到200名	在賽季中名次首次達到200名	Rank No. 200 for the first time in the season.	今シーズンで初回200位に入る	시즌 내 첫 랭킹 상위 200위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 200​ เป็นครั้งแรก​
91018		1122	100	1	2	3000013;3000002	1375;600	0	1	在赛季中名次首次达到100名	在賽季中名次首次達到100名	Rank No. 100 for the first time in the season.	今シーズンで初回100位に入る	시즌 내 첫 랭킹 상위 100위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 100​ เป็นครั้งแรก​
91019		1122	75	1	2	3000013;4190001	1450;400	0	1	在赛季中名次首次达到75名	在賽季中名次首次達到75名	Rank No. 75 for the first time in the season.	今シーズンで初回75位に入る	시즌 내 첫 랭킹 상위 75위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 75​ เป็นครั้งแรก​
91020		1122	50	1	2	3000013;4190001	1525;400	0	1	在赛季中名次首次达到50名	在賽季中名次首次達到50名	Rank No. 50 for the first time in the season.	今シーズンで初回50位に入る	시즌 내 첫 랭킹 상위 50위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 50​ เป็นครั้งแรก​
91021		1122	40	1	2	3000013;4190001	1600;400	0	1	在赛季中名次首次达到40名	在賽季中名次首次達到40名	Rank No. 40 for the first time in the season.	今シーズンで初回40位に入る	시즌 내 첫 랭킹 상위 40위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 40​ เป็นครั้งแรก​
91022		1122	30	1	2	3000013;4190001	1675;400	0	1	在赛季中名次首次达到30名	在賽季中名次首次達到30名	Rank No. 30 for the first time in the season.	今シーズンで初回30位に入る	시즌 내 첫 랭킹 상위 30위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 30​ เป็นครั้งแรก​
91023		1122	20	1	2	3000013;4190001	1750;400	0	1	在赛季中名次首次达到20名	在賽季中名次首次達到20名	Rank No. 20 for the first time in the season.	今シーズンで初回20位に入る	시즌 내 첫 랭킹 상위 20위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 20​ เป็นครั้งแรก​
91024		1122	10	1	2	3000013;4190001	1825;400	0	1	在赛季中名次首次达到10名	在賽季中名次首次達到10名	Rank No. 10 for the first time in the season.	今シーズンで初回10位に入る	시즌 내 첫 랭킹 상위 10위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 10​ เป็นครั้งแรก​
91025		1122	5	1	2	3000013;4190001	1900;500	0	1	在赛季中名次首次达到5名	在賽季中名次首次達到5名	Rank No. 5 for the first time in the season.	今シーズンで初回5位に入る	시즌 내 첫 랭킹 상위 5위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 5​ เป็นครั้งแรก​
91026		1122	4	1	2	3000013;4190001	1975;600	0	1	在赛季中名次首次达到4名	在賽季中名次首次達到4名	Rank No. 4 for the first time in the season.	今シーズンで初回4位に入る	시즌 내 첫 랭킹 상위 4위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 4​ เป็นครั้งแรก​
91027		1122	3	1	2	3000013;4190001	2050;700	0	1	在赛季中名次首次达到3名	在賽季中名次首次達到3名	Rank No. 3 for the first time in the season.	今シーズンで初回3位に入る	시즌 내 첫 랭킹 상위 3위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 3​ เป็นครั้งแรก​
91028		1122	2	1	2	3000013;4190001	2125;800	0	1	在赛季中名次首次达到2名	在賽季中名次首次達到2名	Rank No. 2 for the first time in the season.	今シーズンで初回2位に入る	시즌 내 첫 랭킹 상위 2위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 2​ เป็นครั้งแรก​
91029		1122	1	1	2	3000013;4190001	2200;900	0	1	在赛季中名次首次达到1名	在賽季中名次首次達到1名	Rank No. 1 for the first time in the season.	今シーズンで初回1位になる	시즌 내 첫 랭킹 상위 1위 달성	ใน​ซี​ซัน​ได้​อันดับ​ 1​ เป็นครั้งแรก​
91101		1106		5	2	3000013;3000003	500;75000	0	1	累计参与5次	累計參與5次	Join the mode 5 times.	累計5回参加する	누적 5회 참여	เข้าร่วมสะสม 5 ครั้ง
91102		1106		15	2	3000013;3000003	800;150000	0	1	累计参与15次	累計參與15次	Complete 15 battles in Phantom Clash.	累計15回参加する	누적 15회 참여	เข้าร่วม​สะสม​ 15​ ครั้ง​
91103		1106		30	2	3000013;3000003	1200;300000	0	1	累计参与30次	累計參與30次	Complete 30 battles in Phantom Clash.	累計30回参加する	누적 30회 참여	เข้าร่วม​สะสม​ 30​ ครั้ง​
91104		1106		60	2	3000013;3000003	1700;450000	0	1	累计参与60次	累計參與60次	Join the mode 60 times.	累計60回参加する	누적 60회 참여	เข้าร่วม​สะสม​ 60​ ครั้ง​
91105		1106		90	2	3000013;3000003	2300;600000	0	1	累计参与90次	累計參與90次	Complete 90 battles in Phantom Clash.	累計90回参加する	누적 90회 참여	เข้าร่วม​สะสม​ 90​ ครั้ง​
91106		1106		120	2	3000013;3000003	3000;750000	0	1	累计参与120次	累計參與120次	Complete 120 battles in Phantom Clash.	累計120回参加する	누적 120회 참여	เข้าร่วม​สะสม​ 120​ ครั้ง​
91107		1106		150	2	3000013;3000003	4000;900000	0	1	累计参与150次 	累計參與150次	Complete 150 battles in Phantom Clash.	累計150回参加する	누적 150회 참여	เข้าร่วม​สะสม​ 150​ ครั้ง​
