id	stageID	monsteType	type	unlockNum1	nextQuest	unlockType	unlockNum2	unlockNum3	plotId	finale	posX	posY	opportunity	SceneId	rounds	petLineup	roleNun	extraSkill	battleRules	status
31030103	10301	1	2	31030102	31030104	0	0	0	0		1884	500	1	10801	10	9103011	4	900014	6	1
31030104	10301	1	1	31030103	31030105;31030112	0	0	0	200301040		2576	500								1
31030105	10301	1	1	31030104	31030106	0	0	20030104003	200301050		3268	500								1
31030106	10301	1	1	31030105	31030107;31030109	0	0	0	200301060		3960	500								1
31030107	10301	1	1	31030106	31030108;31030110	0	0	20030106006	200301070		4652	500								1
31030108	10301	1	1	31030107	31030111	0	0	20030107006	200301080		5344	500								1
31030109	10301	1	2	31030106	31030113	0	0	20030106005	0		4816	1104	1	10801	10	9103011	4	900014	6	1
31030110	10301	1	2	31030107	31030114	0	0	20030107005	0		5462	808	1	10801	10	9103011	4	900014	6	1
31030111	10301	1	1	31030108	31030115	0	0	0	200301090		6036	500								1
31030112	10301	1	1	31030104	0	0	0	20030104004	200301100	1	3492	808								1
31030113	10301	1	1	31030109	0	0	0	0	200301120	1	5508	1104								1
31030114	10301	1	1	31030110	0	0	0	0	200301140	1	6154	808								1
31030115	10301	1	2	31030111	0	0	0	0	0	1	6728	500	1	10101	10	9103011	4	900014	6	1
31040101	10401	1	1	0	31040121	0	0	0	200401010		500	962								1
31040102	10401	1	1	31040121	31040103;31040122	0	0	20040102002	200401030		1884	962								1
31040103	10401	1	1	31040102	31040105	0	0	20040103002	200401170		2576	1193								1
31040104	10401	1	1	31040122	31040123;31040109;31040106	0	0	0	200401050		3268	962								1
31040105	10401	1	1	31040103	31040117	0	0	0	200401180		3268	1193								1
31040106	10401	1	1	31040104	31040120	0	0	20040105002	200401160		3960	500								1
31040107	10401	1	1	31040119	0	0	0	0	200401220	1	10188	500								1
31040108	10401	1	1	31040123	31040110	0	0	0	200401070		4652	962								1
31040109	10401	1	2	31040104	31040112	0	0	20040105001			4652	731	1	10101	10	9104011	4	900014	6	1
31040110	10401	1	1	31040108	31040112	0	0	0	200401080		5344	962								1
31040111	10401	1	1	31040114	31040115	0	0	0	200401120		8112	731								1
31040112	10401	1	1	31040110;31040109;31040120	31040113	0	0	0	200401090		6036	731								1
31040113	10401	1	2	31040112	31040114	0	0	0			6728	731	1	13301	10	9104011	4	900014	6	1
31040114	10401	1	2	31040113	31040111	0	0	0			7420	731	1	13301	10	9104011	4	900014	6	1
31040115	10401	1	1	31040111	31040118;31040119	0	0	0	200401130		8804	731								1
31040116	10401	1	1	31040121	0	0	0	20040102001	200401190	1	1884	1416								1
31040117	10401	1	1	31040105	0	0	0	0	200401200	1	3960	1193								1
31040118	10401	1	1	31040115	0	0	0	20040113004	200401210	1	9496	731								1
31040119	10401	1	1	31040115	31040107	0	0	20040113003	200401140		9496	500								1
31040120	10401	1	2	31040106	31040112	0	0	0			5344	500	1	10101	10	9104011	4	900014	6	1
31040121	10401	1	1	31040101	31040116;31040102	0	0	0	200401020		1192	962								1
31040122	10401	1	1	31040102	31040104	0	0	20040103001	200401040		2576	962								1
31040123	10401	1	1	31040104	31040108	0	0	20040105003	200401060		3960	962								1
31050101	10501	1	1	0	31050102;31050103	0	0	0	200501010		500	930								1
31050102	10501	1	1	31050101	0	0	0	20050101006	200501020	1	1192	714								1
31050103	10501	1	1	31050101	31050104	0	0	20050101005	200501030		1192	1360								1
31050104	10501	1	1	31050103	31050105;31050106	0	0	0	200501040		1884	1145								1
31050105	10501	1	1	31050104	0	0	0	20050104001	200501050	1	2576	1360								1
31050106	10501	1	1	31050104	31050107	0	0	20050104002	200501060		2576	929								1
31050107	10501	1	1	31050106	31050108	0	0	0	200501070		3268	929								1
31050108	10501	1	1	31050107	31050109;31050110	0	0	0	200501080		3960	929								1
31050109	10501	1	1	31050108	0	0	0	20050108003	200501090	1	4652	1144								1
31050110	10501	1	2	31050108	31050111	0	0	20050108004			4652	714	1	10101	10	9105011	4	900014	6	1
31050111	10501	1	2	31050110	31050114	0	0	0			5344	714	1	10101	10	9105011	4	900014	6	1
31050112	10501	1	1	31050114	0	1	0	0	200501130	1	6728	928								1
31050113	10501	1	1	31050114	0	4	0	0	200501140	1	6728	500								1
31050114	10501	1	1	31050111	31050112;31050113	0	0	0	200501120		6036	714								1
31060101	10601	1	1	0	31060102	0	0	0	200601010		500	1134								1
31060102	10601	1	1	31060101	31060103	0	0	0	200601020		1192	1134								1
31060103	10601	1	1	31060102	31060104;31060105	0	0	0	200601030		1884	1134								1
31060104	10601	1	1	31060103	0	0	0	20060103008	200601040	1	2576	1145								1
31060105	10601	1	1	31060103	31060106	0	0	20060103009	200601050		2576	715								1
31060106	10601	1	1	31060105	31060107	0	0	0	200601060		3268	715								1
31060107	10601	1	2	31060106	31060108	0	0	0			3960	715	1	10101	10	9106011	4	900014	6	1
31060108	10601	1	1	31060107	31060109;31060110	0	0	0	200601080		4652	715								1
31060109	10601	1	1	31060108	0	2	100	0	200601090	1	5344	929								1
31060110	10601	1	1	31060108	0	5	100	0	200601100	1	5344	500								1
31070101	10701	1	1	0	31070102	0	0	0	200701010		500	1578								1
31070102	10701	1	1	31070101	31070103	0	0	0	200701020		1192	1578								1
31070103	10701	1	1	31070102	31070104	0	0	0	200701030		1884	1578								1
31070104	10701	1	1	31070103	31070105;31070107	0	0	0	200701040		2576	1578								1
31070105	10701	1	1	31070104	31070106	2	20	0	200701050		3268	1793								1
31070106	10701	1	1	31070105	0	0	0	0	200701060	1	3960	1793								1
31070107	10701	1	2	31070104	31070108	5	20	0			3268	1362	1	13301	10	9107011	4	900014	6	1
31070108	10701	1	1	31070107	31070109;31070111	0	0	0	200701080		3960	1362								1
31070109	10701	1	2	31070108	31070110	4	20	0			4652	1362	1	13301	10	9107011	4	900014	6	1
31070110	10701	1	1	31070109	0	0	0	0	200701100	1	5344	1362								1
31070111	10701	1	2	31070108	31070112	1	20	0			4652	931	1	13301	10	9107011	4	900014	6	1
31070112	10701	1	1	31070111	31070113;31070114	0	0	0	200701120		5344	931								1
31070113	10701	1	1	31070112	0	2	100	0	200701130	1	6036	931								1
31070114	10701	1	1	31070112	0	5	100	0	200701140	1	6036	500								1
31080101	10801	1	1	0	31080102;31080111	0	0	0	200801010		500	1212								1
31080102	10801	1	1	31080101	31080103	0	0	20080101004	200801020		1192	996								1
31080103	10801	1	2	31080102	31080104;31080113	0	0	0			1884	996	1	11401	10	9108011	4	900014	6	1
31080104	10801	1	1	31080103	31080105;31080116	0	0	20080103305	200801040		2576	716								1
31080105	10801	1	2	31080104	31080106	0	0	20080104001			3268	931	1	11401	10	9108011	4	900014	6	1
31080106	10801	1	1	31080105	31080107	0	0	0	200801060		3960	931								1
31080107	10801	1	1	31080106	31080108	0	0	0	200801070		4652	931								1
31080108	10801	1	1	31080107	31080109	0	0	0	200801080		5344	931								1
31080109	10801	1	1	31080108	31080110	0	0	0	200801090		6036	931								1
31080110	10801	1	1	31080109	0	0	0	0	200801100	1	6731	931								1
31080111	10801	1	1	31080101	31080112	0	0	20080101003	200801110		1192	1428								1
31080112	10801	1	2	31080111	0	0	0	0		1	1884	1428	1	10101	10	9108011	4	900014	6	1
31080113	10801	1	2	31080103	31080114	0	0	20080103304			2576	1212	1	11401	10	9108011	4	900014	6	1
31080114	10801	1	1	31080113	31080115	0	0	0	200801140		3268	1212								1
31080115	10801	1	1	31080114	0	0	0	0	200801150	1	3960	1212								1
31080116	10801	1	2	31080104	31080117	0	0	20080104002			3268	500	1	11401	10	9108011	4	900014	6	1
31080117	10801	1	1	31080116	31080118	0	0	0	200801170		3960	500								1
31080118	10801	1	1	31080117	31080119	0	0	0	200801180		4652	500								1
31080119	10801	1	1	31080118	0	0	0	0	200801190	1	5344	500								1
31090101	10901	1	2	0	31090102	0	0	0	200901011		500	1363	1	11501	10	9109011	4	900014	6	1
31090102	10901	1	1	31090101	31090103	0	0	0	200901020		1192	1363								1
31090103	10901	1	1	31090102	31090104	0	0	0	200901030		1884	1363								1
31090104	10901	1	1	31090103	31090105;31090107	0	0	0	200901040		2576	1363								1
31090105	10901	1	1	31090104	31090106	0	0	20090104001	200901050		3268	1578								1
31090106	10901	1	1	31090105	0	0	0	0	200901060	1	3960	1578								1
31090107	10901	1	1	31090104	31090108	0	0	20090104002	200901070		3268	1147								1
31090108	10901	1	2	31090107	31090109	0	0	0	200901081		3960	1147	1	11501	10	9109011	4	900014	6	1
31090109	10901	1	1	31090108	31090110;31090113	0	0	0	200901090		4652	1147								1
31090110	10901	1	1	31090109	31090111	0	0	20090109004	200901100		5344	1362								1
31090111	10901	1	1	31090110	31090112	0	0	0	200901110		6728	1362								1
31090112	10901	1	1	31090111;31090116	0	0	0	0	200901120	1	8112	1362								1
31090113	10901	1	1	31090109	31090114	0	0	20090109005	200901130		5344	931								1
31090114	10901	1	1	31090113	31090115	0	0	0	200901140		6036	931								1
31090115	10901	1	2	31090114	31090116;31090117	0	0	0	200901151		6728	931	1	11201	10	9109011	4	900014	6	1
31090116	10901	1	1	31090115	31090112	0	0	20090115104	200901160		7420	931								1
31090117	10901	1	1	31090115	31090118	0	0	20090115105	200901170		7420	500								1
31090118	10901	1	1	31090117	0	0	0	0	200901180	1	8112	500								1
31110101	10110	1	2	0	31011002	0	0	0			500	933	1	13301	10	9107011	4	900014	6	1
31110102	10110	1	2	31011001	31011003;31011004	0	0	0			1192	933	1	13301	10	9107011	4	900014	6	1
31110103	10110	1	1	31011002	0	2	50	0	200001030	1	1884	1148								1
31110104	10110	1	2	31011002	31011005;31011006	5	50	0			1884	717	1	13301	10	9107011	4	900014	6	1
31110105	10110	1	1	31011004	0	0	0	20000104101	200001050	1	2576	933								1
31110106	10110	1	1	31011004	0	0	0	20000104102	200001060	1	2576	500								1
31120101	10110	1	2	0	31011002	0	0	0			500	933	1	13301	10	9107011	4	900014	6	1
31120102	10110	1	2	31011001	31011003;31011004	0	0	0			1192	933	1	13301	10	9107011	4	900014	6	1
31120103	10110	1	1	31011002	0	2	50	0	200001030	1	1884	1148								1
31120104	10110	1	2	31011002	31011005;31011006	5	50	0			1884	717	1	13301	10	9107011	4	900014	6	1
31120105	10110	1	1	31011004	0	0	0	20000104101	200001050	1	2576	933								1
31120106	10110	1	1	31011004	0	0	0	20000104102	200001060	1	2576	500								1
31080201	10802	1	1	0	31080202;31080215	0	0	0	200802010		500	931								1
31080202	10802	1	1	31080201	31080203	0	0	20080201002	200802020		1192	715								1
31080203	10802	1	1	31080202	31080204	0	0	0	200802030		1884	715								1
31080204	10802	1	1	31080203	31080205	0	0	0	200802040		2576	715								1
31080205	10802	1	1	31080204	31080206	0	0	0	200802050		3268	715								1
31080206	10802	1	2	31080205	31080207	0	0	0			3960	715	1	30101	10	9108011	4	900014	6	1
31080207	10802	1	1	31080206	31080208	0	0	0	200802070		4652	715								1
31080208	10802	1	1	31080207	31080209	0	0	0	200802080		5344	715								1
31080209	10802	1	1	31080208	31080210;31080212	0	0	0	200802090		6036	715								1
31080210	10802	1	2	31080209	31080211	0	0	20080209004			6728	931	1	30101	10	9108012	4	900014	6	1
31080211	10802	1	1	31080210	0	0	0	0	200802110	1	7420	931								1
31080212	10802	1	2	31080209	31080213	0	0	20080209005			6728	500	1	30101	10	9108012	4	900014	6	1
31080213	10802	1	1	31080212	31080214	0	0	0	200802130		7420	500								1
31080214	10802	1	1	31080213	0	0	0	0	200802140	1	8112	500								1
31080215	10802	1	1	31080201	31080216	0	0	20080201001	200802150		1192	1146								1
31080216	10802	1	1	31080215	31080217	0	0	0	200802160		1884	1146								1
31080217	10802	1	2	31080216	31080218	0	0	0			2576	1146	1	20401	10	9108011	4	900014	6	1
31080218	10802	1	1	31080217	31080219	0	0	0	200802180		3268	1146								1
31080219	10802	1	1	31080218	0	0	0	0	200802190	1	3960	1146								1
