id	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	skillDesc	skillDesc_zh_TW	skillDesc_en_UK	skillDesc_ja_JP	skillDesc_ko_KR	skillDesc_th_TH
101001	1	忍耐率提升	忍耐率提升	Endurance UP	忍耐率アップ	인내율 증가	อัตราอดทนเพิ่มขึ้น	忍耐率提升_#num_percent_0_1_1_	忍耐率提升_#num_percent_0_1_1_	Increases END by _#num_percent_0_1_1_.	忍耐率＋_#num_percent_0_1_1_	인내율 +_#num_percent_0_1_1_	อัตรา​อดทน​เพิ่มขึ้น​ _#num_percent_0_1_1_​
101101	1	受到最终伤害减免	受到最終傷害減免	Final DMG Reduction	受ける最終ダメージダウン	적용되는 최종 대미지 감면	ได้รับ​ดา​เม​จ​สุดท้าย​ลดลง​	受到最终伤害减免_#num_percent_0_1_1_	受到最終傷害減免_#num_percent_0_1_1_	Reduces Final Damage taken by _#num_percent_0_1_1_.	受ける最終ダメージ−_#num_percent_0_1_1_	적용되는 최종 대미지 _#num_percent_0_1_1_ 감면	ได้รับ​ดา​เม​จ​สุดท้าย​ลดลง​ _#num_percent_0_1_1_​
101201	1	造成最终伤害提升	造成最終傷害提升	Final DMG Boost	与える最終ダメージアップ	부여하는 최종 대미지 증가	สร้าง​ดา​เม​จ​สุดท้าย​เพิ่มขึ้น​	造成最终伤害提升_#num_percent_0_1_1_	造成最終傷害提升_#num_percent_0_1_1_	Increases Final Damage dealt by _#num_percent_0_1_1_.	与える最終ダメージ＋_#num_percent_0_1_1_	부여하는 최종 대미지 +_#num_percent_0_1_1_	สร้าง​ดา​เม​จ​สุดท้าย​เพิ่มขึ้น​ _#num_percent_0_1_1_​
101301	1	造成治疗提升	造成治療提升	Healing Boost	与回復効果アップ	부여하는 치유 증가	สร้างการฟื้นฟูเพิ่มขึ้น	造成治疗提升_#num_percent_0_1_1_	造成治療提升_#num_percent_0_1_1_	Increases healing effect by _#num_percent_0_1_1_.	与回復効果＋_#num_percent_0_1_1_	부여하는 치유 +_#num_percent_0_1_1_	เอฟเฟกต์​ฟื้นฟู​เพิ่มขึ้น​ _#num_percent_0_1_1_​
101401	1	受到治疗提升	受到治療提升	Received Healing UP	被回復効果アップ	적용되는 치유 증가	ได้รับการฟื้นฟูเพิ่มขึ้น	受到治疗提升_#num_percent_0_1_1_	受到治療提升_#num_percent_0_1_1_	Increases healing received by _#num_percent_0_1_1_.	被回復効果＋_#num_percent_0_1_1_	적용되는 치유 +_#num_percent_0_1_1_	ได้รับ​การฟื้นฟู​เพิ่มขึ้น​ _#num_percent_0_1_1_​
101501	1	吸血率提升	吸血率提升	Lifesteal Rate Boost	吸血率アップ	흡혈률 증가	อัตราดูดเลือดเพิ่มขึ้น	吸血率提升_#num_percent_0_1_1_	吸血率提升_#num_percent_0_1_1_	Increases Lifesteal Rate by _#num_percent_0_1_1_.	吸血率＋_#num_percent_0_1_1_	흡혈률 +_#num_percent_0_1_1_	อัตรา​ดูด​เลือด​เพิ่มขึ้น​ _#num_percent_0_1_1_​
101601	1	反伤率提升	反傷率提升	Reflection Boost	ダメージ反射率アップ	대미지카운터율 증가	อัตรา​สะท้อน​ดา​เม​จ​เพิ่มขึ้น​	反伤率提升_#num_percent_0_1_1_	反傷率提升_#num_percent_0_1_1_	Increases Reflection Rate by _#num_percent_0_1_1_.	ダメージ反射率＋_#num_percent_0_1_1_	대미지카운터율 +_#num_percent_0_1_1_	อัตรา​สะท้อน​ดา​เม​จ​เพิ่มขึ้น​ _#num_percent_0_1_1_​
101701	1	造成护盾提升	造成護盾提升	Shield Effect UP	与シールド耐久アップ	부여하는 실드	สร้างโล่ป้องกันเพิ่มขึ้น	造成护盾提升_#num_percent_0_1_1_	造成護盾提升_#num_percent_0_1_1_	Boosts Shield Effect by _#num_percent_0_1_1_.	シールド＋_#num_percent_0_1_1_	부여하는 실드 +_#num_percent_0_1_1_	สร้าง​โล่​ป้องกัน​เพิ่มขึ้น​ _#num_percent_0_1_1_​
101801	1	受到护盾提升	受到護盾提升	Shield Gained UP	被シールド耐久アップ	적용되는 실드	ได้รับโล่ป้องกันเพิ่มขึ้น	受到护盾提升_#num_percent_0_1_1_	受到護盾提升_#num_percent_0_1_1_	Increases Shield Gained by _#num_percent_0_1_1_.	被シールド耐久＋_#num_percent_0_1_1_	적용되는 실드 +_#num_percent_0_1_1_	ได้รับ​โล่​ป้องกัน​เพิ่มขึ้น​ _#num_percent_0_1_1_​
101901	1	受到间接伤害减免	受到間接傷害減免	Indirect DMG Reduction	受ける間接ダメージダウン	적용되는 간접 대미지 감면	ได้รับ​ดา​เม​จ​ต่อเนื่อง​ลดลง​	受到间接伤害减免_#num_percent_0_1_1_	受到間接傷害減免_#num_percent_0_1_1_	Reduces Indirect DMG taken by _#num_percent_0_1_1_.	受ける間接ダメージ−_#num_percent_0_1_1_	적용되는 간접 대미지 감면 _#num_percent_0_1_1_	ได้รับ​ดา​เม​จ​ต่อเนื่อง​ลดลง​ _#num_percent_0_1_1_​
102001	1	造成间接伤害提升	造成間接傷害提升	Indirect DMG Boost	与える間接ダメージアップ	부여하는 간접 대미지 증가	สร้าง​ดา​เม​จ​ต่อเนื่อง​เพิ่มขึ้น​	造成间接伤害提升_#num_percent_0_1_1_	造成間接傷害提升_#num_percent_0_1_1_	Increases Indirect DMG dealt by _#num_percent_0_1_1_.	与える間接ダメージ＋_#num_percent_0_1_1_	부여하는 간접 대미지 +_#num_percent_0_1_1_	สร้าง​ดา​เม​จ​ต่อเนื่อง​เพิ่มขึ้น​ _#num_percent_0_1_1_​
102101	1	受到真实伤害减免	受到真實傷害減免	True DMG Reduction	受ける直撃ダメージダウン	적용되는 고정 대미지 감면	ได้รับดาเมจจริงลดลง	受到真实伤害减免_#num_percent_0_1_1_	受到真實傷害減免_#num_percent_0_1_1_	Reduces True DMG taken by _#num_percent_0_1_1_.	受ける直撃ダメージ−_#num_percent_0_1_1_	적용되는 고정 대미지 감면 _#num_percent_0_1_1_	ได้รับ​ดา​เม​จ​จริง​ลดลง​ _#num_percent_0_1_1_​
102201	1	造成真实伤害提升	造成真實傷害提升	True DMG Boost	与える直撃ダメージアップ	부여하는 고정 대미지 증가	สร้าง​ดา​เม​จ​จริง​เพิ่มขึ้น​	造成真实伤害提升_#num_percent_0_1_1_	造成真實傷害提升_#num_percent_0_1_1_	Increases True DMG dealt by _#num_percent_0_1_1_.	与える直撃ダメージ＋_#num_percent_0_1_1_	부여하는 고정 대미지 +_#num_percent_0_1_1_	สร้าง​ดา​เม​จ​จริง​เพิ่มขึ้น​ _#num_percent_0_1_1_​
102301	1	受到穿透伤害减免	受到穿透傷害減免	Piercing DMG Reduction	受ける貫通ダメージダウン	적용되는 관통 대미지 감면	ได้รับ​ดา​เม​จ​เจาะ​เกราะ​ลดลง​	受到穿透伤害减免_#num_percent_0_1_1_	受到穿透傷害減免_#num_percent_0_1_1_	Reduces Piercing DMG taken by _#num_percent_0_1_1_.	受ける貫通ダメージ−_#num_percent_0_1_1_	적용되는 관통 대미지 감면_#num_percent_0_1_1_	ได้รับ​ดา​เม​จ​เจาะ​เกราะ​ลดลง​ _#num_percent_0_1_1_​
102401	1	造成穿透伤害提升	造成穿透傷害提升	Piercing DMG Boost	与える貫通ダメージアップ	부여하는 관통 대미지 증가	สร้าง​ดา​เม​จ​เจาะ​เกราะ​เพิ่มขึ้น​	造成穿透伤害提升_#num_percent_0_1_1_	造成穿透傷害提升_#num_percent_0_1_1_	Increases Piercing DMG dealt by _#num_percent_0_1_1_.	与える貫通ダメージ＋_#num_percent_0_1_1_	부여하는 관통 대미지 +_#num_percent_0_1_1_	สร้าง​ดา​เม​จ​เจาะ​เกราะ​เพิ่มขึ้น​ _#num_percent_0_1_1_​
102501	1	受到穿刺伤害减免	受到穿刺傷害減免	Jab DMG Reduction	受ける穿刺ダメージダウン	적용되는 크리티컬 관통 대미지 감면	ได้รับดาเมจทะลวงลดลง	受到穿刺伤害减免_#num_percent_0_1_1_	受到穿刺傷害減免_#num_percent_0_1_1_	Reduces Jab DMG taken by _#num_percent_0_1_1_.	受ける穿刺ダメージ−_#num_percent_0_1_1_	적용되는 크리티컬 관통 대미지 감면_#num_percent_0_1_1_	ได้รับ​ดา​เม​จ​ทะลวง​ลดลง​ _#num_percent_0_1_1_​
102601	1	造成穿刺伤害提升	造成穿刺傷害提升	Jab DMG Boost	与える穿刺ダメージアップ	부여하는 크리티컬 관통 대미지 증가	สร้าง​ดา​เม​จ​ทะลวง​เพิ่มขึ้น​	造成穿刺伤害提升_#num_percent_0_1_1_	造成穿刺傷害提升_#num_percent_0_1_1_	Increases Jab DMG dealt by _#num_percent_0_1_1_.	与える穿刺ダメージ＋_#num_percent_0_1_1_	부여하는  크리티컬 관통 대미지 +_#num_percent_0_1_1_	สร้าง​ดา​เม​จ​ทะลวง​เพิ่มขึ้น​ _#num_percent_0_1_1_​
102701	1	受到破碎伤害减免	受到破碎傷害減免	Sunder DMG Reduction	受ける超会心ダメージダウン	적용되는 파쇄 대미지 감면	ได้รับดาเมจบดขยี้ลดลง	受到破碎伤害减免_#num_percent_0_1_1_	受到破碎傷害減免_#num_percent_0_1_1_	Reduces Sunder DMG taken by _#num_percent_0_1_1_.	受ける超会心ダメージ−_#num_percent_0_1_1_	적용되는 파쇄 대미지 감면 _#num_percent_0_1_1_	ได้รับ​ดา​เม​จบ​ด​ขยี้​ลดลง​ _#num_percent_0_1_1_​
102801	1	造成破碎伤害提升	造成破碎傷害提升	Sunder DMG Boost	与える超会心ダメージアップ	부여하는 파쇄 대미지 증가	สร้าง​ดา​เม​จบ​ด​ขยี้​เพิ่มขึ้น​	造成破碎伤害提升_#num_percent_0_1_1_	造成破碎傷害提升_#num_percent_0_1_1_	Increases Sunder DMG dealt by _#num_percent_0_1_1_.	与える超会心ダメージ＋_#num_percent_0_1_1_	부여하는 파쇄 대미지 +_#num_percent_0_1_1_	สร้าง​ดา​เม​จบ​ด​ขยี้​เพิ่มขึ้น​ _#num_percent_0_1_1_​
102901	1	受到破裂伤害减免	受到破裂傷害減免	Overload DMG Reduction	受けるバフ特攻ダメージダウン	적용되는 파열 대미지 감면	ได้รับ​ดา​เม​จ​ฉีก​กระชาก​ลดลง​	受到破裂伤害减免_#num_percent_0_1_1_	受到破裂傷害減免_#num_percent_0_1_1_	Reduces Overload DMG taken by _#num_percent_0_1_1_.	受けるバフ特攻ダメージ−_#num_percent_0_1_1_	적용되는 파열 대미지 감면 _#num_percent_0_1_1_	ได้รับ​ดา​เม​จ​ฉีก​กระชาก​ลดลง​ _#num_percent_0_1_1_​
103001	1	造成破裂伤害提升	造成破裂傷害提升	Overload DMG Boost	与えるバフ特攻ダメージアップ	파열 대미지 증가	สร้าง​ดา​เม​จ​ฉีก​กระชาก​เพิ่มขึ้น​	造成破裂伤害提升_#num_percent_0_1_1_	造成破裂傷害提升_#num_percent_0_1_1_	Increases Overload DMG dealt by _#num_percent_0_1_1_.	与えるバフ特攻ダメージ＋_#num_percent_0_1_1_	파열 대미지 +_#num_percent_0_1_1_	สร้าง​ดา​เม​จ​ฉีก​กระชาก​เพิ่มขึ้น​ _#num_percent_0_1_1_​
103101	1	受到破灭伤害减免	受到破滅傷害減免	Dire DMG Reduction	受ける弱体特攻ダメージダウン	적용되는 파멸 대미지 감면	ได้รับ​ดา​เม​จ​ทำลายล้าง​ลดลง​	受到破灭伤害减免_#num_percent_0_1_1_	受到破滅傷害減免_#num_percent_0_1_1_	Reduces Dire DMG taken by _#num_percent_0_1_1_.	受ける弱体特攻ダメージ−_#num_percent_0_1_1_	적용되는 파멸 대미지 감면_#num_percent_0_1_1_	ได้รับ​ดา​เม​จ​ทำลายล้าง​ลดลง​ _#num_percent_0_1_1_​
103201	1	造成破灭伤害提升	造成破滅傷害提升	Dire DMG Boost	与える弱体特攻ダメージアップ	파멸 대미지 증가	สร้าง​ดา​เม​จ​ทำลายล้าง​เพิ่มขึ้น​	造成破灭伤害提升_#num_percent_0_1_1_	造成破滅傷害提升_#num_percent_0_1_1_	Increases Dire DMG dealt by _#num_percent_0_1_1_.	与える弱体特攻ダメージ＋_#num_percent_0_1_1_	파멸 대미지 +_#num_percent_0_1_1_	สร้าง​ดา​เม​จ​ทำลายล้าง​เพิ่มขึ้น​ _#num_percent_0_1_1_​
103301	1	受「圆振」伤害减免	受「圓振」傷害減免	Orbis DMG Reduction	「シンクロ」の敵から受けるダメージダウン	적용되는 서클 퀘이버 대미지 감면	ได้รับ​ดา​เม​จ​ [​คลื่น​รอบตัว​]​ ลดลง​	受「圆振」伤害减免_#num_percent_0_1_1_	受「圓振」傷害減免_#num_percent_0_1_1_	Reduces damage taken from Orbis by _#num_percent_0_1_1_.	「シンクロ」の敵から受けるダメージ−_#num_percent_0_1_1_	적용되는 서클 퀘이버 대미지 감면 _#num_percent_0_1_1_	ได้รับ​ดา​เม​จ​ [​คลื่น​รอบตัว​]​ ลดลง​ _#num_percent_0_1_1_​
103401	1	对「圆振」伤害提升	對「圓振」傷害提升	DMG to Orbis Boost	「シンクロ」の敵に対するダメージアップ	서클 퀘이버에게 부여하는 대미지 증가	สร้าง​ดา​เม​จ​ [​คลื่น​รอบตัว​]​ เพิ่มขึ้น​	对「圆振」伤害提升_#num_percent_0_1_1_	對「圓振」傷害提升_#num_percent_0_1_1_	Increases damage to Orbis by _#num_percent_0_1_1_.	「シンクロ」の敵に対するダメージ＋_#num_percent_0_1_1_	서클 퀘이버에게 부여하는 대미지 +_#num_percent_0_1_1_	สร้าง​ดา​เม​จ​ [​คลื่น​รอบตัว​]​ เพิ่มขึ้น​ _#num_percent_0_1_1_​
103501	1	受「三相」伤害减免	受「三相」傷害減免	Trinity DMG Reduction	「スタック」の敵から受けるダメージダウン	적용되는 트리플 페이즈 대미지 감면	ได้รับ​ดา​เม​จ​ [​สาม​ธาตุ​]​ ลดลง​	受「三相」伤害减免_#num_percent_0_1_1_	受「三相」傷害減免_#num_percent_0_1_1_	Reduces damage taken from Trinity by _#num_percent_0_1_1_.	「スタック」の敵から受けるダメージ−_#num_percent_0_1_1_	적용되는 트리플 페이즈 대미지 감면 _#num_percent_0_1_1_	ได้รับ​ดา​เม​จ​ [​สาม​ธาตุ​]​ ลดลง​ _#num_percent_0_1_1_​
103601	1	对「三相」伤害提升	對「三相」傷害提升	DMG to Trinity Boost	「スタック」の敵に対するダメージ＋_#num_percent_0_1_1_	트리플 페이즈에게 부여하는 대미지 	สร้าง​ดา​เม​จ​ [​สาม​ธาตุ​]​ เพิ่มขึ้น​	对「三相」伤害提升_#num_percent_0_1_1_	對「三相」傷害提升_#num_percent_0_1_1_	Increases damage to Trinity by _#num_percent_0_1_1_.	「スタック」の敵に対するダメージアップ	트리플 페이즈에게 부여하는 대미지  +_#num_percent_0_1_1_	สร้าง​ดา​เม​จ​ [​สาม​ธาตุ​]​ เพิ่มขึ้น​ _#num_percent_0_1_1_​
103701	1	受「方波」伤害减免	受「方波」傷害減免	Quadris DMG Reduction	「ウェーブ」の敵から受けるダメージダウン	적용되는 스피어 웨이브 대미지 감면	ได้รับ​ดา​เม​จ​ [​คลื่น​พลัง​]​ ลดลง​	受「方波」伤害减免_#num_percent_0_1_1_	受「方波」傷害減免_#num_percent_0_1_1_	Reduces damage taken from Quadris by _#num_percent_0_1_1_.	「ウェーブ」の敵から受けるダメージ−_#num_percent_0_1_1_	적용되는 스피어 웨이브 대미지 감면 _#num_percent_0_1_1_	ได้รับ​ดา​เม​จ​ [​คลื่น​พลัง​]​ ลดลง​ _#num_percent_0_1_1_​
103801	1	对「方波」伤害提升	對「方波」傷害提升	DMG to Quadris Boost	「ウェーブ」の敵に対するダメージアップ	스피어 웨이브에게 부여하는 대미지 증가	สร้าง​ดา​เม​จ​ [​คลื่น​พลัง​]​ เพิ่มขึ้น​	对「方波」伤害提升_#num_percent_0_1_1_	對「方波」傷害提升_#num_percent_0_1_1_	Increases damage to Quadris by _#num_percent_0_1_1_.	「ウェーブ」の敵に対するダメージ＋_#num_percent_0_1_1_	스피어 웨이브에게 부여하는 대미지 +_#num_percent_0_1_1_	สร้าง​ดา​เม​จ​ [​คลื่น​พลัง​]​ เพิ่มขึ้น​ _#num_percent_0_1_1_​
103901	1	受「星流」伤害减免	受「星流」傷害減免	Astra DMG Reduction	「フロウ」の敵から受けるダメージダウン	적용되는 스타 스트림 대미지 감면	ได้รับ​ดา​เม​จ​ [​สาย​ดาว​]​ ลดลง​	受「星流」伤害减免_#num_percent_0_1_1_	受「星流」傷害減免_#num_percent_0_1_1_	Reduces damage taken from Astra by _#num_percent_0_1_1_.	「フロウ」の敵から受けるダメージ−_#num_percent_0_1_1_	적용되는 스타 스트림 대미지 감면 _#num_percent_0_1_1_	ได้รับ​ดา​เม​จ​ [​สาย​ดาว​]​ ลดลง​ _#num_percent_0_1_1_​
104001	1	对「星流」伤害提升	對「星流」傷害提升	DMG to Astra Boost	「フロウ」の敵に対するダメージアップ	스타 스트림에게 부여하는 대미지 증가	สร้าง​ดา​เม​จ​ [​สาย​ดาว​]​ เพิ่มขึ้น​	对「星流」伤害提升_#num_percent_0_1_1_	對「星流」傷害提升_#num_percent_0_1_1_	Increases damage to Astra by _#num_percent_0_1_1_.	「フロウ」の敵に対するダメージ＋_#num_percent_0_1_1_	스타 스트림에게 부여하는 대미지 +_#num_percent_0_1_1_	สร้าง​ดา​เม​จ​ [​สาย​ดาว​]​ เพิ่มขึ้น​ _#num_percent_0_1_1_​
104101	1	受「圆振」伤害减免	受「圓振」傷害減免	Orbis DMG Reduction	「シンクロ」の敵から受けるダメージダウン	적용되는 서클 퀘이버 대미지 감면	ได้รับ​ดา​เม​จ​ [​คลื่น​รอบตัว​]​ ลดลง​	受「圆振」伤害减免_#num_percent_0_1_1_	受「圓振」傷害減免_#num_percent_0_1_1_	Reduces damage taken from Orbis by _#num_percent_0_1_1_.	「シンクロ」の敵から受けるダメージ−_#num_percent_0_1_1_	적용되는 서클 퀘이버 대미지 감면 _#num_percent_0_1_1_	ได้รับ​ดา​เม​จ​ [​คลื่น​รอบตัว​]​ ลดลง​ _#num_percent_0_1_1_​
104201	1	对「圆振」伤害提升	對「圓振」傷害提升	DMG to Orbis Boost	「シンクロ」の敵に対するダメージアップ	서클 퀘이버에게 부여하는 대미지 증가	สร้าง​ดา​เม​จ​ [​คลื่น​รอบตัว​]​ เพิ่มขึ้น​	对「圆振」伤害提升_#num_percent_0_1_1_	對「圓振」傷害提升_#num_percent_0_1_1_	Increases damage to Orbis by _#num_percent_0_1_1_.	「シンクロ」の敵に対するダメージ＋_#num_percent_0_1_1_	서클 퀘이버에게 부여하는 대미지 +_#num_percent_0_1_1_	สร้าง​ดา​เม​จ​ [​คลื่น​รอบตัว​]​ เพิ่มขึ้น​ _#num_percent_0_1_1_​
104301	1	受「圆振」伤害减免	受「圓振」傷害減免	Orbis DMG Reduction	「シンクロ」の敵から受けるダメージダウン	적용되는 서클 퀘이버 대미지 감면	ได้รับ​ดา​เม​จ​ [​คลื่น​รอบตัว​]​ ลดลง​	受「圆振」伤害减免_#num_percent_0_1_1_	受「圓振」傷害減免_#num_percent_0_1_1_	Reduces damage taken from Orbis by _#num_percent_0_1_1_.	「シンクロ」の敵から受けるダメージ−_#num_percent_0_1_1_	적용되는 서클 퀘이버 대미지 감면 _#num_percent_0_1_1_	ได้รับ​ดา​เม​จ​ [​คลื่น​รอบตัว​]​ ลดลง​ _#num_percent_0_1_1_​
104401	1	对「圆振」伤害提升	對「圓振」傷害提升	DMG to Orbis Boost	「シンクロ」の敵に対するダメージアップ	서클 퀘이버에게 부여하는 대미지 증가	สร้าง​ดา​เม​จ​ [​คลื่น​รอบตัว​]​ เพิ่มขึ้น​	对「圆振」伤害提升_#num_percent_0_1_1_	對「圓振」傷害提升_#num_percent_0_1_1_	Increases damage to Orbis by _#num_percent_0_1_1_.	「シンクロ」の敵に対するダメージ＋_#num_percent_0_1_1_	서클 퀘이버에게 부여하는 대미지 +_#num_percent_0_1_1_	สร้าง​ดา​เม​จ​ [​คลื่น​รอบตัว​]​ เพิ่มขึ้น​ _#num_percent_0_1_1_​
104501	1	受克制伤害提升	受克制傷害提升	Counter DMG Boost	有利属性の敵から受けるダメージアップ	역상성이 부여하는 대미지증가	ได้รับ​ดา​เม​จ​ชนะ​ทาง​พิ่ม​ขึ้น​	受克制伤害提升_#num_percent_0_1_1_	受克制傷害提升_#num_percent_0_1_1_	Increases Counter damage by _#num_percent_0_1_1_.	有利属性の敵から受けるダメージ＋_#num_percent_0_1_1_	역상성이 부여하는 대미지 +_#num_percent_0_1_1_	ได้รับ​ดา​เม​จ​ชนะ​ทาง​เพิ่มขึ้น​ _#num_percent_0_1_1_​
110101	1	攻击相关能力提升	攻擊相關能力提升	Offensive Stats Boost	攻撃に関連する能力アップ	공격 관련 속성 증가	ทักษะ​ที่​เกี่ยวกับ​ ATK​ เพิ่มขึ้น​	攻击相关能力提升_#num_percent_0_1_1_	攻擊相關能力提升_#num_percent_0_1_1_	Increases offensive stats by _#num_percent_0_1_1_.	攻撃に関連する能力＋_#num_percent_0_1_1_	공격 관련 속성 +_#num_percent_0_1_1_	ทักษะ​ที่​เกี่ยวกับ​ ATK​ เพิ่มขึ้น​ _#num_percent_0_1_1_​
110102	1	防御相关能力提升	防禦相關能力提升	Defense Stats Boost	防御に関連する能力アップ	방어 관련 속성 증가	ทักษะ​ที่​เกี่ยวกับ​ DEF​ เพิ่มขึ้น​	防御相关能力提升_#num_percent_0_1_1_	防禦相關能力提升_#num_percent_0_1_1_	Increases defensive stats by _#num_percent_0_1_1_.	防御に関連する能力＋_#num_percent_0_1_1_	방어 관련 속성 +_#num_percent_0_1_1_	ทักษะ​ที่​เกี่ยวกับ​ DEF​ เพิ่มขึ้น​ _#num_percent_0_1_1_​
110103	1	生命相关能力提升	生命相關能力提升	HP Stats Boost	HPに関連する能力アップ	HP 관련 속성 증가	ทักษะ​ที่​เกี่ยวกับ​ HP​ เพิ่มขึ้น​	生命相关能力提升_#num_percent_0_1_1_	生命相關能力提升_#num_percent_0_1_1_	Increases HP-related stats by _#num_percent_0_1_1_.	HPに関連する能力＋_#num_percent_0_1_1_	HP 관련 속성+_#num_percent_0_1_1_	ทักษะ​ที่​เกี่ยวกับ​ HP​ เพิ่มขึ้น​ _#num_percent_0_1_1_​
110104	1	所有能力值提升	所有能力值提升	All Stats Boost	すべての能力アップ	모든 속성 증가	ค่า​ทักษะ​ทั้งหมด​เพิ่มขึ้น​	所有能力值提升_#num_percent_0_1_1_	所有能力值提升_#num_percent_0_1_1_	Increases overall stats by _#num_percent_0_1_1_.	すべての能力＋_#num_percent_0_1_1_	모든 속성 +_#num_percent_0_1_1_	ค่า​ทักษะ​ทั้งหมด​เพิ่มขึ้น​ _#num_percent_0_1_1_​
110105	1	基础能力值提升	基礎能力值提升	Base Stats Boost	ステータスアップ	기본 속성 증가	ทักษะพื้นฐานเพิ่มขึ้น	基础能力值提升_#num_percent_0_1_1_	基礎能力值提升_#num_percent_0_1_1_	Increases base stats by _#num_percent_0_1_1_.	ステータス＋_#num_percent_0_1_1_	기본 속성 +_#num_percent_0_1_1_	ทักษะ​พื้นฐาน​เพิ่มขึ้น​ _#num_percent_0_1_1_​
