index	buffId	star	crowdControl	buffConditionPara	stackTime	buffEndPara	triggerCdNum	round	stackingMax	status
102020103_18	102020103	18	-1					3	1	1
102020103_19	102020103	19	-1					3	1	1
102020103_20	102020103	20	-1					3	1	1
102020103_21	102020103	21	-1					3	1	1
102020103_22	102020103	22	-1					3	1	1
102020103_23	102020103	23	-1					3	1	1
102020103_24	102020103	24	-1					3	1	1
102020103_25	102020103	25	-1					3	1	1
102030101_1	102030101	1	-1					1	1	1
102030101_2	102030101	2	-1					2	1	1
102030101_3	102030101	3	-1					3	1	1
102030101_4	102030101	4	-1					3	1	1
102030101_5	102030101	5	-1					3	1	1
102030101_6	102030101	6	-1					3	1	1
102030101_7	102030101	7	-1					1	1	1
102030101_8	102030101	8	-1					2	1	1
102030101_9	102030101	9	-1					3	1	1
102030101_10	102030101	10	-1					3	1	1
102030101_11	102030101	11	-1					3	1	1
102030101_12	102030101	12	-1					3	1	1
102030101_13	102030101	13	-1					1	1	1
102030101_14	102030101	14	-1					2	1	1
102030101_15	102030101	15	-1					3	1	1
102030101_16	102030101	16	-1					3	1	1
102030101_17	102030101	17	-1					3	1	1
102030101_18	102030101	18	-1					3	1	1
102030101_19	102030101	19	-1					1	1	1
102030101_20	102030101	20	-1					2	1	1
102030101_21	102030101	21	-1					3	1	1
102030101_22	102030101	22	-1					3	1	1
102030101_23	102030101	23	-1					3	1	1
102030101_24	102030101	24	-1					3	1	1
102030101_25	102030101	25	-1					3	1	1
102030102_1	102030102	1	-1					1	1	1
102030102_2	102030102	2	-1					1	1	1
102030102_3	102030102	3	-1					2	1	1
102030103_1	102030103	1	-1					1	1	1
102030103_2	102030103	2	-1					1	1	1
102030103_3	102030103	3	-1					1	1	1
102040101_1	102040101	1	-1					1	1	1
102040101_2	102040101	2	-1					2	1	1
102040101_3	102040101	3	-1					3	1	1
102040101_4	102040101	4	-1					3	1	1
102040101_5	102040101	5	-1					3	1	1
102040101_6	102040101	6	-1					3	1	1
102040101_7	102040101	7	-1					1	1	1
102040101_8	102040101	8	-1					2	1	1
102040101_9	102040101	9	-1					3	1	1
102040101_10	102040101	10	-1					3	1	1
102040101_11	102040101	11	-1					3	1	1
102040101_12	102040101	12	-1					3	1	1
102040101_13	102040101	13	-1					1	1	1
102040101_14	102040101	14	-1					2	1	1
102040101_15	102040101	15	-1					3	1	1
102040101_16	102040101	16	-1					3	1	1
102040101_17	102040101	17	-1					3	1	1
102040101_18	102040101	18	-1					3	1	1
102040101_19	102040101	19	-1					1	1	1
102040101_20	102040101	20	-1					2	1	1
102040101_21	102040101	21	-1					3	1	1
102040101_22	102040101	22	-1					3	1	1
102040101_23	102040101	23	-1					3	1	1
102040101_24	102040101	24	-1					3	1	1
102040101_25	102040101	25	-1					3	1	1
102050101_1	102050101	1	-1					999	999	1
102050101_2	102050101	2	-1					999	999	1
102050101_3	102050101	3	-1					999	999	1
102050101_4	102050101	4	-1					999	999	1
102050101_5	102050101	5	-1					999	999	1
102050101_6	102050101	6	-1					999	999	1
102050101_7	102050101	7	-1					999	999	1
102050101_8	102050101	8	-1					999	999	1
102050101_9	102050101	9	-1					999	999	1
102050101_10	102050101	10	-1					999	999	1
102050101_11	102050101	11	-1					999	999	1
102050101_12	102050101	12	-1					999	999	1
102050101_13	102050101	13	-1					999	999	1
102050101_14	102050101	14	-1					999	999	1
102050101_15	102050101	15	-1					999	999	1
102050101_16	102050101	16	-1					999	999	1
102050101_17	102050101	17	-1					999	999	1
102050101_18	102050101	18	-1					999	999	1
102050101_19	102050101	19	-1					999	999	1
102050101_20	102050101	20	-1					999	999	1
102050101_21	102050101	21	-1					999	999	1
102050101_22	102050101	22	-1					999	999	1
102050101_23	102050101	23	-1					999	999	1
102050101_24	102050101	24	-1					999	999	1
102050101_25	102050101	25	-1					999	999	1
104010101_1	104010101	1	-1					10	2147483647	1
104010101_2	104010101	2	-1					10	2147483647	1
104010101_3	104010101	3	-1					10	2147483647	1
104010101_4	104010101	4	-1					10	2147483647	1
104010101_5	104010101	5	-1					10	2147483647	1
104010101_6	104010101	6	-1					10	2147483647	1
104010101_7	104010101	7	-1					10	2147483647	1
104010101_8	104010101	8	-1					10	2147483647	1
104010101_9	104010101	9	-1					10	2147483647	1
104010101_10	104010101	10	-1					10	2147483647	1
104010101_11	104010101	11	-1					10	2147483647	1
104010101_12	104010101	12	-1					10	2147483647	1
104010101_13	104010101	13	-1					10	2147483647	1
104010101_14	104010101	14	-1					10	2147483647	1
104010101_15	104010101	15	-1					10	2147483647	1
104010101_16	104010101	16	-1					10	2147483647	1
104010101_17	104010101	17	-1					10	2147483647	1
104010101_18	104010101	18	-1					10	2147483647	1
104010101_19	104010101	19	-1					10	2147483647	1
104010101_20	104010101	20	-1					10	2147483647	1
104010101_21	104010101	21	-1					10	2147483647	1
104010101_22	104010101	22	-1					10	2147483647	1
104010101_23	104010101	23	-1					10	2147483647	1
104010101_24	104010101	24	-1					10	2147483647	1
104010101_25	104010101	25	-1					10	2147483647	1
104030101_1	104030101	1	-1					10	2147483647	1
104030101_2	104030101	2	-1					10	2147483647	1
104030101_3	104030101	3	-1					10	2147483647	1
104030101_4	104030101	4	-1					10	2147483647	1
104030101_5	104030101	5	-1					10	2147483647	1
104030101_6	104030101	6	-1					10	2147483647	1
104030101_7	104030101	7	-1					10	2147483647	1
104030101_8	104030101	8	-1					10	2147483647	1
104030101_9	104030101	9	-1					10	2147483647	1
104030101_10	104030101	10	-1					10	2147483647	1
104030101_11	104030101	11	-1					10	2147483647	1
104030101_12	104030101	12	-1					10	2147483647	1
104030101_13	104030101	13	-1					10	2147483647	1
104030101_14	104030101	14	-1					10	2147483647	1
104030101_15	104030101	15	-1					10	2147483647	1
104030101_16	104030101	16	-1					10	2147483647	1
104030101_17	104030101	17	-1					10	2147483647	1
104030101_18	104030101	18	-1					10	2147483647	1
104030101_19	104030101	19	-1					10	2147483647	1
104030101_20	104030101	20	-1					10	2147483647	1
104030101_21	104030101	21	-1					10	2147483647	1
104030101_22	104030101	22	-1					10	2147483647	1
104030101_23	104030101	23	-1					10	2147483647	1
104030101_24	104030101	24	-1					10	2147483647	1
104030101_25	104030101	25	-1					10	2147483647	1
112010151_1	112010151	1						2	1	1
116030151_1	116030151	1						3	1	1
104070151_1	104070151	1						2	1	1
111020151_1	111020151	1						1	1	1
104010151_1	104010151	1						2	1	1
103010151_1	103010151	1						3	1	1
111701151_1	111701151	1						1	1	1
111701152_1	111701152	1						1	1	1
111701153_1	111701153	1						1	1	1
111701154_1	111701154	1						999	1	1
101102152_1	101102152	1						3	1	1
112010152_1	112010152	1						3	5	1
104040151_1	104040151	1						3	1	1
104030151_1	104030151	1						3	1	1
111602151_1	111602151	1						3	1	1
104060151_1	104060151	1						3	1	1
104020151_1	104020151	1						2	1	1
104020152_1	104020152	1		104020151;0	1		1	2	1	1
112010153_1	112010153	1						3	1	1
101009001_1	101009001	1						3	1	1
101104051_1	101104051	1					1	2	1	1
104010152_1	104010152	1					1	3	1	1
110101101_1	110101101	1						999	1	1
110101101_2	110101101	2						999	1	1
110101101_3	110101101	3						999	1	1
110101101_4	110101101	4						999	1	1
110101101_5	110101101	5						999	1	1
110101101_6	110101101	6						999	1	1
110101101_7	110101101	7						999	1	1
110100501_1	110100501	1						999	1	1
110100501_2	110100501	2						999	1	1
110100501_3	110100501	3						999	1	1
110100501_4	110100501	4						999	1	1
110100501_5	110100501	5						999	1	1
110100501_6	110100501	6						999	1	1
110100501_7	110100501	7						999	1	1
110100502_1	110100502	1					1	999	1	1
110100502_2	110100502	2					1	999	1	1
110100502_3	110100502	3					1	999	1	1
110100502_4	110100502	4					1	999	1	1
110100502_5	110100502	5					1	999	1	1
110100502_6	110100502	6					1	999	1	1
110100502_7	110100502	7					1	999	1	1
110100801_1	110100801	1					1	999	1	1
110100801_2	110100801	2					1	999	1	1
110100801_3	110100801	3					1	999	1	1
110100801_4	110100801	4					1	999	1	1
110100801_5	110100801	5					1	999	1	1
110100801_6	110100801	6					1	999	1	1
110100801_7	110100801	7					1	999	1	1
110100802_1	110100802	1						1	1	1
110100802_2	110100802	2						1	1	1
110100802_3	110100802	3						1	1	1
110100802_4	110100802	4						1	1	1
110100802_5	110100802	5						1	1	1
110100802_6	110100802	6						1	1	1
110100802_7	110100802	7						1	1	1
110100803_1	110100803	1		110100802,0			1	999	999	1
110100803_2	110100803	2		110100802,0			1	999	999	1
110100803_3	110100803	3		110100802,0			1	999	999	1
110100803_4	110100803	4		110100802,0			1	999	999	1
110100803_5	110100803	5		110100802,0			1	999	999	1
110100803_6	110100803	6		110100802,0			1	999	999	1
110100803_7	110100803	7		110100802,0			1	999	999	1
110100804_1	110100804	1						1	1	1
110100804_2	110100804	2						1	1	1
110100804_3	110100804	3						1	1	1
110100804_4	110100804	4						1	1	1
110100804_5	110100804	5						1	1	1
110100804_6	110100804	6						1	1	1
110100804_7	110100804	7						1	1	1
110100805_1	110100805	1						0	1	1
110100805_2	110100805	2						1	1	1
110100805_3	110100805	3						2	1	1
110100601_1	110100601	1						999	1	1
110100601_2	110100601	2						999	1	1
110100601_3	110100601	3						999	1	1
110100601_4	110100601	4						999	1	1
110100601_5	110100601	5						999	1	1
110100601_6	110100601	6						999	1	1
110100601_7	110100601	7						999	1	1
110100602_1	110100602	1					1	999	1	1
110100602_2	110100602	2					1	999	1	1
110100602_3	110100602	3					1	999	1	1
110100602_4	110100602	4					1	999	1	1
110100602_5	110100602	5					1	999	1	1
110100602_6	110100602	6					1	999	1	1
110100602_7	110100602	7					1	999	1	1
110200801_1	110200801	1						999	1	1
110200801_2	110200801	2						999	1	1
110200801_3	110200801	3						999	1	1
110200801_4	110200801	4						999	1	1
110200801_5	110200801	5						999	1	1
110200801_6	110200801	6						999	1	1
110200801_7	110200801	7						999	1	1
110200802_1	110200802	1					1	999	1	1
110200802_2	110200802	2					1	999	1	1
110200802_3	110200802	3					1	999	1	1
110200802_4	110200802	4					1	999	1	1
110200802_5	110200802	5					1	999	1	1
110200802_6	110200802	6					1	999	1	1
110200802_7	110200802	7					1	999	1	1
110200803_1	110200803	1						2	1	1
110200803_2	110200803	2						2	1	1
110200803_3	110200803	3						3	1	1
110200701_1	110200701	1						999	1	1
110200701_2	110200701	2						999	1	1
110200701_3	110200701	3						999	1	1
110200701_4	110200701	4						999	1	1
110200701_5	110200701	5						999	1	1
110200701_6	110200701	6						999	1	1
110200701_7	110200701	7						999	1	1
110200702_1	110200702	1					1	999	1	1
110200702_2	110200702	2					1	999	1	1
110200702_3	110200702	3					1	999	1	1
110200702_4	110200702	4					1	999	1	1
110200702_5	110200702	5					1	999	1	1
110200702_6	110200702	6					1	999	1	1
110200702_7	110200702	7					1	999	1	1
110200703_1	110200703	1						2	1	1
110200703_2	110200703	2						2	1	1
110200703_3	110200703	3						2	1	1
110200704_1	110200704	1		41102007;2				999	1	1
110200705_1	110200705	1						2	1	1
110201101_1	110201101	1						999	1	1
110201101_2	110201101	2						999	1	1
110201101_3	110201101	3						999	1	1
110201101_4	110201101	4						999	1	1
110201101_5	110201101	5						999	1	1
110201101_6	110201101	6						999	1	1
110201101_7	110201101	7						999	1	1
110201102_1	110201102	1					1	999	1	1
110201102_2	110201102	2					1	999	1	1
110201102_3	110201102	3					1	999	1	1
110201102_4	110201102	4					1	999	1	1
110201102_5	110201102	5					1	999	1	1
110201102_6	110201102	6					1	999	1	1
110201102_7	110201102	7					1	999	1	1
110201103_1	110201103	1						2	1	1
110201103_2	110201103	2						2	1	1
110201103_3	110201103	3						2	1	1
110201104_1	110201104	1					1	999	1	1
110201105_1	110201105	1						1	1	1
110201106_1	110201106	1						999	1	1
110200101_1	110200101	1						999	1	1
110200101_2	110200101	2						999	1	1
110200101_3	110200101	3						999	1	1
110200101_4	110200101	4						999	1	1
110200101_5	110200101	5						999	1	1
110200101_6	110200101	6						999	1	1
110200101_7	110200101	7						999	1	1
110200102_1	110200102	1					1	999	1	1
110200102_2	110200102	2					1	999	1	1
110200102_3	110200102	3					1	999	1	1
110200102_4	110200102	4					1	999	1	1
110200102_5	110200102	5					1	999	1	1
110200102_6	110200102	6					1	999	1	1
110200102_7	110200102	7					1	999	1	1
110202101_1	110202101	1					1	999	1	1
110202101_2	110202101	2					1	999	1	1
110202101_3	110202101	3					1	999	1	1
110202101_4	110202101	4					1	999	1	1
110202101_5	110202101	5					1	999	1	1
110202101_6	110202101	6					1	999	1	1
110202101_7	110202101	7					1	999	1	1
110202102_1	110202102	1						1	1	1
110202102_2	110202102	2						1	1	1
110202102_3	110202102	3						1	1	1
110202102_4	110202102	4						1	1	1
110202102_5	110202102	5						1	1	1
110202102_6	110202102	6						1	1	1
110202102_7	110202102	7						1	1	1
110202103_1	110202103	1		110202102,0			1	999	1	1
110202103_2	110202103	2		110202102,0			1	999	1	1
110202103_3	110202103	3		110202102,0			1	999	1	1
110202103_4	110202103	4		110202102,0			1	999	1	1
110202103_5	110202103	5		110202102,0			1	999	1	1
110202103_6	110202103	6		110202102,0			1	999	1	1
110202103_7	110202103	7		110202102,0			1	999	1	1
110202104_1	110202104	1						999	2	1
110202104_2	110202104	2						999	2	1
110202104_3	110202104	3						999	2	1
110202104_4	110202104	4						999	2	1
110202104_5	110202104	5						999	2	1
110202104_6	110202104	6						999	2	1
110202104_7	110202104	7						999	2	1
110202105_1	110202105	1					1	999	1	1
110202106_1	110202106	1		110202106;0			1	1	1	1
110202107_1	110202107	1						1	3	1
110300801_1	110300801	1						999	1	1
110300801_2	110300801	2						999	1	1
110300801_3	110300801	3						999	1	1
110300801_4	110300801	4						999	1	1
110300801_5	110300801	5						999	1	1
110300801_6	110300801	6						999	1	1
110300801_7	110300801	7						999	1	1
110300802_1	110300802	1					1	999	1	1
110300802_2	110300802	2					1	999	1	1
110300802_3	110300802	3					1	999	1	1
110300802_4	110300802	4					1	999	1	1
110300802_5	110300802	5					1	999	1	1
110300802_6	110300802	6					1	999	1	1
110300802_7	110300802	7					1	999	1	1
110300201_1	110300201	1						999	1	1
110300201_2	110300201	2						999	1	1
110300201_3	110300201	3						999	1	1
110300201_4	110300201	4						999	1	1
110300201_5	110300201	5						999	1	1
110300201_6	110300201	6						999	1	1
110300201_7	110300201	7						999	1	1
110300202_1	110300202	1					1	999	1	1
110300202_2	110300202	2					1	999	1	1
110300202_3	110300202	3					1	999	1	1
110300202_4	110300202	4					1	999	1	1
110300202_5	110300202	5					1	999	1	1
110300202_6	110300202	6					1	999	1	1
110300202_7	110300202	7					1	999	1	1
110300701_1	110300701	1						999	1	1
110300701_2	110300701	2						999	1	1
110300701_3	110300701	3						999	1	1
110300701_4	110300701	4						999	1	1
110300701_5	110300701	5						999	1	1
110300701_6	110300701	6						999	1	1
110300701_7	110300701	7						999	1	1
110300702_1	110300702	1					1	999	1	1
110300702_2	110300702	2					1	999	1	1
110300702_3	110300702	3					1	999	1	1
110300702_4	110300702	4					1	999	1	1
110300702_5	110300702	5					1	999	1	1
110300702_6	110300702	6					1	999	1	1
110300702_7	110300702	7					1	999	1	1
110300703_1	110300703	1						2	1	1
110300703_2	110300703	2						2	1	1
110300703_3	110300703	3						2	1	1
110300704_1	110300704	1		2;5,0,0,1,0			1	999	1	1
110300705_1	110300705	1						1	1	1
110301901_1	110301901	1						999	1	1
110301901_2	110301901	2						999	1	1
110301901_3	110301901	3						999	1	1
110301901_4	110301901	4						999	1	1
110301901_5	110301901	5						999	1	1
110301901_6	110301901	6						999	1	1
110301901_7	110301901	7						999	1	1
110301902_1	110301902	1		4			1	999	1	1
110301902_2	110301902	2		4			1	999	1	1
110301902_3	110301902	3		4			1	999	1	1
110301902_4	110301902	4		4			1	999	1	1
110301902_5	110301902	5		4			1	999	1	1
110301902_6	110301902	6		4			1	999	1	1
110301902_7	110301902	7		4			1	999	1	1
110302101_1	110302101	1						999	1	1
110302101_2	110302101	2						999	1	1
110302101_3	110302101	3						999	1	1
110302101_4	110302101	4						999	1	1
110302101_5	110302101	5						999	1	1
110302101_6	110302101	6						999	1	1
110302101_7	110302101	7						999	1	1
110302102_1	110302102	1					1	999	1	1
110302102_2	110302102	2					1	999	1	1
110302102_3	110302102	3					1	999	1	1
110302102_4	110302102	4					1	999	1	1
110302102_5	110302102	5					1	999	1	1
110302102_6	110302102	6					1	999	1	1
110302102_7	110302102	7					1	999	1	1
110302103_1	110302103	1						2	1	1
110302103_2	110302103	2						2	1	1
110302103_3	110302103	3						2	1	1
110302104_1	110302104	1						2	1	1
110302104_2	110302104	2						2	1	1
110302104_3	110302104	3						2	1	1
110302105_1	110302105	1		41103021				999	1	1
110302106_1	110302106	1		110302106;5,0,0,1,0				1	1	1
110302107_1	110302107	1						1	1	1
110400301_1	110400301	1						999	5	1
110400301_2	110400301	2						999	5	1
110400301_3	110400301	3						999	5	1
110400301_4	110400301	4						999	5	1
110400301_5	110400301	5						999	5	1
110400301_6	110400301	6						999	5	1
110400301_7	110400301	7						999	5	1
110400302_1	110400302	1					1	999	1	1
110400302_2	110400302	2					1	999	1	1
110400302_3	110400302	3					1	999	1	1
110400302_4	110400302	4					1	999	1	1
110400302_5	110400302	5					1	999	1	1
110400302_6	110400302	6					1	999	1	1
110400302_7	110400302	7					1	999	1	1
110400303_1	110400303	1						1	1	1
110400303_2	110400303	2						1	1	1
110400303_3	110400303	3						2	1	1
110400304_1	110400304	1						2	1	1
110400501_1	110400501	1					1	999	1	1
110400501_2	110400501	2					1	999	1	1
110400501_3	110400501	3					1	999	1	1
110400501_4	110400501	4					1	999	1	1
110400501_5	110400501	5					1	999	1	1
110400501_6	110400501	6					1	999	1	1
110400501_7	110400501	7					1	999	1	1
110400502_1	110400502	1						2	1	1
110400503_1	110400503	1						999	1	1
110400503_2	110400503	2						999	1	1
110400503_3	110400503	3						999	1	1
110400503_4	110400503	4						999	1	1
110400503_5	110400503	5						999	1	1
110400503_6	110400503	6						999	1	1
110400503_7	110400503	7						999	1	1
110400101_1	110400101	1					1	999	1	1
110400101_2	110400101	2					1	999	7	1
110400101_3	110400101	3					1	999	1	1
110400101_4	110400101	4					1	999	1	1
110400101_5	110400101	5					1	999	1	1
110400101_6	110400101	6					1	999	1	1
110400101_7	110400101	7					1	999	1	1
110400102_1	110400102	1						1	1	1
110400102_2	110400102	2						1	1	1
110400102_3	110400102	3						1	1	1
110400102_4	110400102	4						1	1	1
110400102_5	110400102	5						1	1	1
110400102_6	110400102	6						1	1	1
110400102_7	110400102	7						1	1	1
110400103_1	110400103	1		110400102,0			1	999	9	1
110400103_2	110400103	2		110400102,0			1	999	1	1
110400103_3	110400103	3		110400102,0			1	999	9	1
110400103_4	110400103	4		110400102,0			1	999	9	1
110400103_5	110400103	5		110400102,0			1	999	9	1
110400103_6	110400103	6		110400102,0			1	999	9	1
110400103_7	110400103	7		110400102,0			1	999	9	1
110400104_1	110400104	1						1	1	1
110400104_2	110400104	2						1	1	1
110400104_3	110400104	3						1	1	1
110400104_4	110400104	4						1	1	1
110400104_5	110400104	5						1	1	1
110400104_6	110400104	6						1	1	1
110400104_7	110400104	7						1	1	1
110400105_1	110400105	1						1	1	1
110400105_2	110400105	2						1	1	1
110400105_3	110400105	3						2	1	1
110400106_1	110400106	1						2	1	1
110400106_2	110400106	2						2	1	1
110400106_3	110400106	3						2	1	1
110400107_1	110400107	1						999	1	1
110400107_2	110400107	2						999	1	1
110400107_3	110400107	3						999	1	1
110400107_4	110400107	4						999	1	1
110400107_5	110400107	5						999	1	1
110400107_6	110400107	6						999	1	1
110400107_7	110400107	7						999	1	1
110400108_1	110400108	1						999	1	1
110400801_1	110400801	1						999	1	1
110400801_2	110400801	2						999	1	1
110400801_3	110400801	3						999	1	1
110400801_4	110400801	4						999	1	1
110400801_5	110400801	5						999	1	1
110400801_6	110400801	6						999	1	1
110400801_7	110400801	7						999	1	1
110400802_1	110400802	1						999	1	1
110400802_2	110400802	2						999	1	1
110400802_3	110400802	3						999	1	1
110400802_4	110400802	4						999	1	1
110400802_5	110400802	5						999	1	1
110400802_6	110400802	6						999	1	1
110400802_7	110400802	7						999	1	1
110400803_1	110400803	1						2	1	1
110400803_2	110400803	2						2	1	1
110400803_3	110400803	3						2	1	1
110400803_4	110400803	4						2	1	1
110400803_5	110400803	5						2	1	1
110400803_6	110400803	6						2	1	1
110400804_1	110400804	1						1	1	1
110400804_2	110400804	2						1	1	1
110400804_3	110400804	3						2	1	1
110500801_1	110500801	1						999	1	1
110500801_2	110500801	2						999	1	1
110500801_3	110500801	3						999	1	1
110500801_4	110500801	4						999	1	1
110500801_5	110500801	5						999	1	1
110500801_6	110500801	6						999	1	1
110500801_7	110500801	7						999	1	1
110500802_1	110500802	1		0			1	999	1	1
110500803_1	110500803	1						1	1	1
100500101_1	100500101	1						999	10	1
100500101_2	100500101	2						999	10	1
100500101_3	100500101	3						999	10	1
100500101_4	100500101	4						999	10	1
100500101_5	100500101	5						999	10	1
100500101_6	100500101	6						999	10	1
100500101_7	100500101	7						999	10	1
111502102_1	111502102	1						3	10	1
