4	mainEffectType	subEffectType	miniEffectType	isIgnore	showId	effectLv	dispelLv	status
301150102	1	15	1					1
301150103	1	15	1					1
301150104	1	15	1					1
201160101	1	16	1					1
201160102	1	16	1					1
201160103	1	16	1					1
201160104	1	16	1					1
201170101	1	17	1					1
201170102	1	17	1					1
201170103	1	17	1					1
201170104	1	17	1					1
201180101	1	18	1					1
201180102	1	18	1					1
201180103	1	18	1					1
201180104	1	18	1					1
301180101	1	18	1					1
301180102	1	18	1					1
301180103	1	18	1					1
301180104	1	18	1					1
201190101	1	19	1					1
201190102	1	19	1					1
201190103	1	19	1					1
201190104	1	19	1					1
301190101	1	19	1					1
301190102	1	19	1					1
301190103	1	19	1					1
301190104	1	19	1					1
201200101	1	20	1					1
201200102	1	20	1					1
201200103	1	20	1					1
201200104	1	20	1					1
201210501	1	21	5					1
201221001	1	22	10					1
202010101	2	1	1					1
202010102	2	1	1					1
202010103	2	1	1					1
202010104	2	1	1					1
302010101	2	1	1					1
302010102	2	1	1					1
302010103	2	1	1					1
302010104	2	1	1					1
202010105	2	1	1					1
202010106	2	1	1					1
202010107	2	1	1					1
202010108	2	1	1					1
202010201	2	1	2					1
202010202	2	1	2					1
202010203	2	1	2					1
202010204	2	1	2					1
202010205	2	1	2					1
202010206	2	1	2					1
202010207	2	1	2					1
202010208	2	1	2					1
202010251	2	1	2					1
202010252	2	1	2					1
202010299	2	1	2					1
202010209	2	1	2					1
206020101	6	2	1				2	1
206020102	6	2	1				2	1
206020103	6	2	1				2	1
206020104	6	2	1				2	1
206020105	6	2	1				2	1
206020111	6	2	1				2	1
206020113	6	2	1				2	1
206030101	6	3	1				2	1
206030102	6	3	1				2	1
206030103	6	3	1				2	1
206030104	6	3	1				2	1
206030105	6	3	1				2	1
206030111	6	3	1				2	1
206030113	6	3	1				2	1
206030114	6	3	1				2	1
210010101	10	1	1					1
210010102	10	1	1					1
210010103	10	1	1					1
210010104	10	1	1					1
210010105	10	1	1					1
210010106	10	1	1					1
210010107	10	1	1					1
210010108	10	1	1					1
210010109	10	1	1					1
210010110	10	1	1					1
210010111	10	1	1					1
210010112	10	1	1					1
210010113	10	1	1					1
210010114	10	1	1					1
208010102	8	1	1					1
204010101	4	1	1					1
204020101	4	5	1					1
204020102	4	5	1					1
204020103	4	5	1					1
204030101	4	3	1					1
206040101	6	4	1				4	1
206040102	6	4	1				4	1
206040103	6	4	1				4	1
206040104	6	4	1				4	1
201010167	1	1	1					1
212010351	12	1	3					1
209010151	9	1	1					1
201120551	1	21	5					1
201120552	1	21	10					1
201211051	12	1	1					1
201211052	12	1	2					1
201211053	12	1	2					1
201211059	12	1	2					1
201211054	12	1	1					1
201211057	12	1	1					1
201110051	1	1	10					1
202010451	2	1	4					1
201020151	1	2	1					1
201190151	1	19	1					1
204050151	4	5	1					1
204050152	4	5	1					1
204050153	4	5	1					1
214010301	14	1	3				999	1
214010401	14	1	4					1
201230101	1	23	1					1
219010152	19	1	1					1
209010152	9	1	1					1
209010153	6	4	1					1
209010154	6	4	1					1
209010155	6	4	1					1
215010151	15	1	1					1
215010152	15	1	1					1
215010153	15	1	1					1
40100101	1	22	1					1
40100102	1	22	1					1
40100103	1	22	1					1
40100104	1	22	1					1
40100105	1	22	1					1
40100106	1	22	1					1
40100107	1	22	1					1
40100108	1	22	1					1
40100109	1	22	1					1
40100110	1	22	1					1
40100111	1	22	1					1
40100112	1	22	1					1
40100113	1	22	1					1
40100114	1	22	1					1
40100115	1	22	1					1
40100116	1	22	1					1
40100117	1	22	1					1
40100118	1	22	1					1
40100119	1	22	1					1
40100120	1	22	1					1
40100121	1	22	1					1
40100122	1	22	1					1
40100123	1	22	1					1
40100124	1	22	1					1
40100125	1	22	1					1
40100126	1	22	1					1
40100127	1	22	1					1
40100128	1	22	1					1
40100129	1	22	1					1
40100130	1	22	1					1
40100131	1	22	1					1
40100132	1	22	1					1
40100133	1	22	1					1
40100134	1	22	1					1
40100135	1	22	1					1
40100136	1	22	1					1
40100137	1	22	1					1
40100138	1	22	1					1
40100139	1	22	1					1
40100140	1	22	1					1
40101101	1	2	1					1
40100141	1	22	12					1
40100142	1	22	12					1
40100143	1	22	12					1
40100144	1	22	12					1
40200101	2	1	1					1
40200102	2	1	1					1
40200103	2	1	1					1
40200104	2	1	1					1
40200105	2	1	1					1
40200106	2	1	1					1
40200107	2	1	1					1
40200108	2	1	1					1
40200109	2	1	1					1
40200110	2	1	1					1
40200111	2	1	1					1
40200112	2	1	1					1
40200113	2	1	1					1
40200114	2	1	1					1
40200115	2	1	1					1
40200116	2	1	1					1
40200117	2	1	1					1
40200118	2	1	1					1
40200119	2	1	1					1
40200120	2	1	1					1
40200601	10	1	1					1
40200701	2	1	2					1
208010101	8	1	1					1
214010402	14	1	4					1
201221051	1	22	10					1
206040151	6	4	1					1
206040152	6	4	1					1
206040153	6	4	1					1
201211055	12	1	1					1
201211056	12	1	1					1
201210351	12	1	3					1
201210352	12	1	3					1
206040154	6	4	1					1
201010168	1	1	1					1
216010101	16	1	1					1
202010401	2	1	2					1
201010169	1	1	1					1
201010170	1	1	1					1
514018101	1	1	1					1
524018101	1	7	1					1
534018101	1	7	1					1
514005101	1	4	1					1
534005101	1	4	1					1
544005101	1	1	1					1
514004101	1	1	1					1
524004101	1	1	1					1
518006101	1	3	1					1
528006101	1	7	1					1
568006101	1	1	1					1
511009101	1	6	1					1
521009101	1	6	1					1
531009101	1	6	1					1
514008101	1	18	1					1
524008101	1	11	1					1
534008101	1	11	1					1
511041101	1	1	1					1
521041101	1	1	1					1
531041101	1	1	1					1
514021101	1	13	1					1
524021101	1	1	1					1
534021101	1	13	1					1
206040155	6	4	1					1
206040156	6	4	1					1
201010173	1	1	1					1
201210101	1	21	1					1
201010174	1	1	1					1
201010175	1	1	1					1
201210102	1	21	14					1
201210103	1	21	14					1
211010101	11	2	1					1
206040105	6	4	1					1
201010176	1	1	1					1
201010177	1	1	1					1
212900101	1	21	1					1
212900102	1	21	1					1
212900103	1	21	1					1
212900104	1	21	1					1
301210104	1	21	14					1
211010102	11	1	1					1
41109002	1	1	1					1
42109002	1	1	1					1
43109002	1	1	1					1
44109002	2	1	7					1
45109002	2	1	3					1
46109002	6	4	1					1
47109002	6	4	1					1
48109002	11	1	1					1
49109002	2	1	7					1
50109002	2	1	7					1
51109002	2	1	7					1
52109002	2	1	7					1
53109002	2	1	7					1
54109002	6	4	1					1
410701001	1	2	1					1
410701002	1	1	1					1
410701003	1	2	1					1
411300201	1	1	1					1
411300202	1	4	1					1
411300203	1	4	1					1
411300204	14	1	4					1
411300205	14	1	4					1
411300206	14	1	4					1
411400201	1	1	1					1
411400202	14	1	6					1
413800801	1	23	1					1
413800802	1	23	1					1
413800803	8	2	1					1
413800804	8	1	1					1
411400203	1	22	15					1
401220151	1	22	1					1
413800805	16	1	1					1
301020151	1	2	1					1
9100211	10	1	1					1
9100212	10	1	1					1
9100213	10	1	1					1
9100262	1	21	13					1
9100282	11	2	1					1
9100302	1	3031	1					1
9100374	1	1501	1					1
9100375	1	1501	1					1
9100376	1	1501	1					1
9100384	1	1501	1					1
9100385	1	1501	1					1
9100386	1	1501	1					1
9100394	1	22	1					1
9100395	1	22	1					1
9100396	1	22	1					1
9100454	2	1	2					1
9100455	2	1	2					1
9100456	2	1	2					1
9100502	1	2	1					1
9100521	2	1	2					1
9100542	1	2	15					1
9100563	8	1	1					1
9100581	1	2	5					1
206040106	6	4	1				4	1
206040107	6	4	1				4	1
209010156	6	4	1					1
413800806	6	4	1				99	1
413800807	6	4	1				99	1
401221151	1	22	11					1
401221551	1	22	15					1
406040199	6	4	1					1
409040151	6	4	1					1
213500801	6	2	1				2	1
213500802	1	1	1					1
213500803	2	1	3					1
401221152	1	22	11					1
280100801	1	7	1					1
280100802	1	1	1					1
280100803	1	7	1					1
280200801	1	1	1					1
280200802	1	5	1					1
280200803	1	5	1					1
280200804	1	5	1					1
280200805	1	5	1					1
280200806	1	24	1					1
280200807	1	24	1					1
280200808	1	1	1					1
280300801	1	1	3					1
280300802	2	1	2					1
280300803	6	3	1				1	1
280300804	2	1	2					1
280300805	6	3	1				1	1
280300806	2	1	1					1
280200809	6	4	1				99	1
301210105	1	21	13					1
206030108	6	5	1				99	1
212700101	1	1	1					1
212700102	1	1	1					1
212700103	1	1	1					1
280200810	6	4	1				99	1
213600801	1	1	1					1
213600802	2	1	1					1
213600803	2	1	2					1
213600804	2	1	2					1
213600805	2	1	1					1
311010101	14	1	4					1
311010102	2	1	4					1
210401601	1	1	1					1
210401602	1	1	17					1
210300901	1	1	1					1
210300902	1	25	1					1
210300903	1	25	1					1
210101801	1	1	1					1
210101802	2	1	1					1
210101803	1	1	1					1
210101804	2	1	1					1
210101805	10	1	1					1
210201201	1	1	1					1
210201202	1	6	1					1
210101806	6	4	1	1			999	1
300212051	2	1	2					1
9100651	1	21	1					1
9100672	11	2	1					1
9100731	22	1	1					1
9100771	1	10	1					1
9100801	17	1	1					1
311010103	2	1	3					1
311010104	8	1	1					1
315020101	5	2	1					1
311010105	4	5	1					1
316040151	6	4	1					1
316040152	6	4	1					1
214400101	1	1	1					1
214400102	1	1	1					1
214400103	2	1	1					1
214400104	11	2	1					1
214400105	11	2	1					1
214400106	11	2	1					1
214400801	1	1	1					1
214400802	1	1	1					1
214400803	1	1	1					1
204020104	4	5	1					1
9100283	6	4	1					1
315020102	5	2	1					1
311410601	14	1	6					1
315020103	5	2	1					1
214100801	1	1	3					1
214100802	6	4	1				999	1
214100803	6	4	1				999	1
214100804	6	4	1				999	1
206040157	6	4	1				999	1
206040158	6	4	1				999	1
206040159	6	4	1				999	1
206040160	6	4	1				999	1
206040161	6	4	1				999	1
206040162	6	4	1				999	1
201220151	1	22	1					1
202010351	2	1	3					1
208010151	8	1	1					1
208010152	8	1	1					1
205020151	5	2	1					1
205020152	5	2	1					1
208010201	8	1	1					1
9100217	10	1	1					1
9100218	8	2	1					1
9100219	2	1	1					1
9100220	6	4	1				999	1
9100221	6	3	1				2	1
9100222	1	10	1					1
9100223	1	10	1					1
9100224	1	2	1					1
9100225	1	21	14					1
9100226	1	21	13					1
9100227	6	4	1				999	1
9100228	14	1	4					1
9100229	11	2	1					1
9100230	2	1	3					1
280400801	1	1	1					1
280400802	1	5	18					1
280400803	1	1	1					1
280400804	8	2	1					1
280400805	8	3	1					1
9100231	11	2	1					1
9100232	6	4	1				999	1
9100233	1	21	14					1
9100234	13	3	1					1
9100235	1	21	19					1
9100236	1	21	14					1
280500801	1	1	1					1
280500802	5	1	1					1
280500803	5	1	1					1
280500804	5	3	1					1
280500805	2	1	11					1
280500806	8	3	1					1
280600801	1	1	1					1
280600802	1	3	1					1
280600803	1	1	1					1
212000801	1	1	1				1	1
212000802	6	3	1				2	1
212000803	6	3	1				2	1
212500801	1	4	1					1
212500802	1	1	1					1
212500803	1	4	1					1
211900801	1	1	1					1
211900802	1	1	1					1
211900803	1	1	20					1
211900804	6	4	1				999	1
212300801	1	1	1					1
212300802	1	1	1					1
212300803	1	10	1					1
212300804	1	22	5					1
210400701	6	2	1				2	1
210400702	1	3	1					1
210400703	1	1	1					1
210400704	8	3	1					1
210400705	11	1	1					1
311410602	14	1	5					1
12015017	2	1	3					1
12015036	2	1	3					1
12015037	2	1	3					1
12015038	2	1	3					1
12015052	10	1	1					1
12015053	10	1	1					1
12015054	10	1	1					1
12015085	2	1	3					1
12015086	2	1	3					1
12015087	2	1	3					1
12015088	17	1	1					1
12015103	2	1	3					1
12015104	10	1	1					1
12015105	17	1	1					1
12015106	17	1	1					1
12015107	17	1	1					1
302011201	2	1	12					1
315010101	15	1	1					1
315010102	15	1	1					1
315010103	15	1	1					1
315010104	15	1	1					1
315010105	15	1	1					1
210300301	2	1	1					1
210300302	1	1	1					1
210300303	6	4	1				999	1
1010101	5	1	1					1
413900801	1	2	1					1
413900802	1	1	1					1
413900803	1	2	1					1
210301701	1	7	1					1
210301702	1	15	1					1
210301703	6	4	1					1
210301704	21	3	1					1
210101201	1	7	1					1
210101202	1	1	1					1
210101203	1	7	1					1
210201801	1	6	1					1
210201802	1	1	1					1
210201803	8	2	1					1
210400901	1	1	1					1
210400902	1	3	1					1
210400903	1	1	1					1
311410603	14	1	5					1
312011101	2	1	11					1
214900801	1	1	1					1
214900802	1	10	21					1
214900803	1	1	22					1
214900804	6	4	1					1
214900805	6	4	1					1
214900806	6	4	1					1
214300801	1	1	1					1
214300802	1	1	1					1
214300803	1	10	23					1
214300804	8	4	1					1
214300805	8	2	1					1
214300806	1	10	23					1
215200801	1	1	1					1
215200802	16	1	1					1
215200803	2	1	1					1
215200804	8	3	1					1
212200801	1	1	1					1
212200802	1	2	1					1
212200803	2	1	2					1
212200804	2	1	2					1
212200805	11	1	1					1
212200806	11	1	1					1
212200807	6	4	1					1
212200808	6	4	1					1
213300801	1	1	3					1
213300802	2	1	6					1
213300803	1	1	3					1
413300801	1	22	10					1
210401301	1	1	1					1
210401302	1	4	1					1
210401303	1	4	1					1
210401304	11	1	1					1
210601101	1	6	1					1
210601102	1	1	1					1
210601103	1	1	1					1
92001001	1	2	3					1
92001022	2	1	2					1
92001082	6	4	1					1
92001092	8	2	1					1
92001111	14	1	4					1
92001112	18	1	5					1
92001132	14	2	1					1
92001244	1	5	17					1
92001245	6	4	1					1
92001363	6	4	1					1
92001371	22	1	2					1
92001372	10	2	1					1
92001381	1	1	1					1
92001442	16	1	1					1
92001452	16	1	1					1
92001471	8	1	1					1
92001491	8	2	1					1
92001501	22	1	3					1
92001502	21	2	1					1
92001581	8	2	1					1
92001601	1	1	15					1
92001611	1	2	5					1
92001621	1	4	1					1
92001631	1	1	1					1
215300801	1	1	1					1
215300802	1	1	1					1
215300803	1	5	24					1
215300804	1	5	1					1
215300805	1	5	1					1
215300806	1	22	25					1
215300807	0	0	1					1
215300808	6	4	1					1
215300809	22	1	2					1
215300810	6	4	1					1
215300811	10	2	1					1
215300812	10	2	1					1
215300813	16	1	1					1
215300814	6	4	1					1
215100801	1	12	1					1
215100802	1	1	1					1
215100803	1	12	1					1
215000801	1	1	1					1
215000802	2	1	1					1
215000803	2	1	1					1
214800801	1	1	1					1
214800802	1	1	1					1
214800803	1	12	1					1
214800804	1	12	1					1
280300101	1	1	1					1
280300102	1	5	1					1
280300103	6	4	1					1
280300104	22	1	2					1
315020104	5	2	1					1
215400801	1	1	1					1
215400802	1	1	1					1
215400803	1	21	14					1
215400804	11	2	1					1
215400805	1	1	1					1
215400806	7	4	2				5	1
215400807	4	6	1					1
215400808	1	21	14					1
215400809	11	2	1					1
214600801	1	1	1					1
214600802	1	5	1					1
214600803	1	5	1					1
214600804	6	4	1					1
311020101	11	2	1					1
201250101	1	25	1					1
201250102	1	25	1					1
201250103	1	25	1					1
201250104	1	25	1					1
214020101	14	1	1					1
300212052	2	1	2					1
311410604	14	1	5					1
9200180101	6	4	1					1
92001730	10	1	1					1
92001741	1	23	1					1
92001991	22	1	2					1
92001992	6	4	1					1
201210353	12	1	1					1
201210354	12	1	1					1
213800101	1	1	1					1
213800102	2	1	2					1
214700800	4	7	1					1
214700801	1	4	1					1
214700802	2	1	1					1
214700803	6	4	1					1
214700804	6	4	1					1
215900801	1	1	1					1
215900802	1	4	1					1
215900803	1	26	28					1
215900804	1	26	27					1
215900805	2	1	6					1
210301201	1	1	1					1
210301202	1	1	1					1
210301203	1	4	1					1
210301204	14	1	4					1
210301205	1	4	1					1
210301206	23	1	15					1
210301207	1	1	26					1
210301208	15	1	1					1
210301209	15	1	1					1
210301210	10	2	1					1
210301211	10	2	1					1
210301212	6	4	1					1
210301213	6	4	1					1
210301214	18	1	5					1
212600801	1	1	1					1
212600802	1	4	1					1
212600803	1	3	1					1
212600804	1	1	29					1
213100101	1	1	1					1
213100102	1	1	1					1
213100103	1	5	1					1
213100104	1	5	8					1
213100105	6	4	1					1
213100106	8	2	1					1
213100107	8	2	1					1
213100108	1	5	8					1
212800801	1	1	1					1
212800802	1	1	1					1
212800803	1	1	1					1
212800804	21	1	1					1
212800805	8	4	1					1
212800806	8	4	1					1
212800807	8	4	1					1
212800808	8	4	1					1
212800809	2	1	2					1
212800810	8	4	1					1
216000801	1	21	1					1
216000802	1	1	1					1
216000803	1	1	1					1
216100801	1	1	1					1
216100802	2	1	1		16100821			1
216100803	1	18	1					1
216100804	24	4	1					1
216100805	24	2	1					1
216100806	11	1	1					1
216100807	2	1	13		16100821			1
216100808	24	2	1					1
216100809	5	1	1					1
216100810	11	1	1					1
216100811	1	22	30					1
3405200101	1	1	1					1
3405200102	1	22	11					1
3405200103	1	22	1					1
3405200104	1	22	1					1
3405200105	12	1	1					1
3405200106	12	1	1					1
215600801	1	1	32					1
215600802	24	5	1					1
215600803	1	22	31					1
215600804	24	2	1					1
215600805	1	22	31					1
215600806	6	4	1					1
215600807	6	4	1					1
215600808	6	4	1					1
314500801	1	1	1					1
314500802	6	4	1					1
314500803	1	1	1					1
314500804	1	1	1					1
314500805	1	1	1					1
314500806	6	4	1					1
3102700201	1	1	1					1
215700801	1	1	32					1
215700802	1	1	1					1
215700803	1	1	32					1
215700804	1	1	33					1
215700805	1	1	33					1
210200501	1	1	1					1
210200502	1	1	1					1
210200503	6	4	1					1
210200504	1	4	1					1
215800801	1	1	3					1
215800802	2	1	2					1
215800803	6	4	1					1
215800804	6	4	1					1
215800805	14	3	1					1
215800806	2	1	2					1
215800807	6	4	1					1
215800808	7	5	2				3	1
215800809	24	2	1					1
215800810	6	4	1					1
215800811	21	1	1					1
215800812	6	4	1					1
3401900201	1	1	1					1
3401900202	1	1	1					1
3401900203	1	1	1					1
3401900204	1	22	5					1
3401900205	12	1	1					1
3401900206	1	1	1					1
3401900207	6	4	1					1
216200801	1	1	1					1
216200802	1	23	1					1
216200803	1	27	17					1
216200804	1	23	1					1
216200805	1	27	17					1
216200806	6	4	1					1
216200807	6	4	1					1
216200808	6	4	1					1
216200809	6	4	1					1
216200810	6	4	1					1
216300801	1	1	1					1
216300802	1	1	1					1
216300803	1	23	34					1
216300804	8	2	1					1
216300805	24	6	1					1
216300806	24	2	1					1
216300807	24	7	1					1
216300808	1	23	34					1
210100201	1	1	1					1
210100202	1	23	1					1
210100203	14	1	3					1
210100204	2	1	2					1
210100205	6	4	1					1
213200801	1	23	1					1
213200802	1	23	1					1
213200803	2	1	7					1
213200804	10	2	1					1
292002041	6	4	1					1
299999901	1	1	1					1
216400801	1	11	1					1
216400802	20	1	2					1
216400803	9	1	1					1
3405300101	1	11	1					1
3405300102	1	11	1					1
3405300103	1	11	1					1
3405300104	1	11	1					1
3405300105	6	4	1					1
215500801	2	1	14					1
215500802	18	1	7					1
215500803	1	1	1					1
215500804	18	1	7					1
215500805	1	11	1					1
215500806	13	3	2					1
215500807	13	3	2					1
215500808	18	1	7					1
210300501	1	1	1					1
210300502	1	11	1					1
210300503	1	11	1					1
210300504	22	1	2					1
214500801	1	1	1					1
214500802	1	11	1					1
214500803	1	11	1					1
214500804	18	1	5					1
214500805	6	4	1					1
214500806	6	4	1					1
214500807	6	4	1					1
214500808	7	3	3				3	1
214500809	11	2	1					1
214500810	4	5	1					1
214500811	1	11	17					1
216500801	1	15	1					1
216500802	5	1	1					1
216500803	16	1	1					1
216500804	1	15	1					1
216500805	8	3	1					1
216500806	21	3	1					1
216500807	22	1	2					1
216500808	22	1	2					1
216500809	1	15	35					1
216500810	1	15	35					1
213500201	1	1	1					1
213500202	2	1	15					1
213500203	1	1	1					1
213500204	8	4	1					1
213500205	21	3	1					1
213500206	6	4	1					1
213500207	2	1	1					1
316500801	1	15	1					1
316500802	6	4	1					1
316500803	1	15	1					1
214400201	8	4	1					1
214400202	8	4	1					1
214400203	8	2	1					1
214400204	8	2	1					1
214400205	6	4	1					1
214400206	6	4	1					1
214400207	6	4	1					1
214400208	1	1	1					1
214400209	1	28	17					1
214400210	1	28	17					1
216600801	1	1	1					1
216600802	1	5	1					1
216600803	1	5	20					1
216600804	6	4	1				999	1
210301001	1	1	1					1
210301002	1	5	1					1
210301003	1	5	1					1
216700801	1	1	1					1
216700803	1	23	1					1
216700804	2	1	1					1
216700805	6	4	1					1
216700806	6	4	1					1
216700807	6	4	1					1
216700808	6	4	1					1
210201701	1	5	1					1
210201702	1	5	1					1
210201703	10	1	1					1
210201704	20	1	2					1
210201705	1	5	1					1
210201707	1	5	1					1
210201708	20	1	2					1
210400401	1	11	1					1
210400402	1	1	1					1
210400403	1	11	1					1
217000801	1	1	1					1
217000802	1	1	1					1
217000803	1	11	1					1
217000804	1	21	14					1
217000805	6	4	1					1
217000806	6	4	1					1
217000807	6	4	1					1
217000808	6	4	1					1
217000809	6	4	1					1
210201301	1	11	1					1
210201302	2	1	1					1
210201304	2	1	1					1
210400201	1	17	1					1
210400202	1	1	1					1
210400203	1	17	1					1
210400204	14	1	4					1
210400205	6	2	1				3	1
210400206	6	3	1				3	1
216900801	1	12	1					1
216900802	1	1	1					1
216900803	1	12	1					1
216900804	6	3	1				3	1
216900805	6	4	1				3	1
216900806	10	1	1					1
216900807	1	2	1					1
210301101	1	1	1					1
210301102	1	1	1					1
210301103	1	1	1					1
210301104	1	1	31					1
210301106	24	5	1					1
210301107	24	2	1					1
210301108	1	1	31					1
217100801	1	1	1					1
217100802	1	23	1					1
217100803	1	23	1					1
217100804	10	2	1					1
217100805	1	23	1					1
217100806	10	1	1					1
217100807	6	4	1					1
217100808	6	4	1					1
210600501	1	23	1					1
210600502	1	1	1					1
210600503	1	23	1					1
210600504	10	1	1					1
210600505	1	23	1					1
210600506	1	23	1					1
210600507	6	4	1				999	1
210600508	21	1	1					1
210600509	10	1	1					1
210600510	10	1	1					1
210600511	6	4	1				999	1
217200801	1	11	1					1
217200802	1	11	1					1
217200803	1	11	1					1
217200804	6	4	1				999	1
217200805	20	1	2					1
217200806	20	1	2					1
217200807	20	1	2					1
217200808	20	1	2					1
217200809	1	11	1					1
217200810	1	11	1					1
217200811	6	4	1				999	1
217200812	6	4	1				999	1
217300801	1	11	1					1
217300802	1	11	1					1
217300803	1	11	1					1
217300804	6	4	1				999	1
217300805	5	3	1					1
217300806	6	4	1				999	1
210201001	1	1	1					1
210201002	1	1	1					1
210201003	1	23	1					1
210201004	1	23	1					1
210201005	6	4	1					1
210201006	6	4	1					1
210201007	10	1	1					1
210201008	10	1	1					1
210201009	10	1	1					1
