bulletId	effectId	bonName	bulletType	bulleForward	forwardCurve	bulleRegression	regressionCurve	frame	bulletPos	status
106008241	106008231	0	1	15	1	0	0	15	0;0;0	1
106008242	106008232	0	1	15	1	0	0	15	0;0;0	1
106008243	106008233	0	1	20	1	0	0	20	0;0;0	1
800214	800213	0	1	4	1	0	0	4	0;0;0	1
800224	800223	0	1	5	1	0	0	5	0;0;0	1
800264	800263	0	2	45	1	53	0	61	0;0;0	1
401914	401913	0	1	7	1	0	0	7	0;0;0	1
401934	401933	0	1	10	1	0	0	10	0;0;0	1
110314	110313	0	1	5	1	0	0	5	0;0;0	1
110324	110323	0	1	25	1	0	0	25	0;0;0	1
1103341	1103331	0	1	9	1	0	0	9	0;0;0	1
1103342	1103332	0	1	7	1	0	0	7	0;0;0	1
1103343	1103333	0	1	9	1	0	0	9	0;0;0	1
402514	0	weapon_1_move_jnt	2	6	1	8	0	18	0;0;0	1
402614	402613	0	1	10	1	0	0	10	0;0;0	1
104214	0	Bip001 Prop1	2	3	1	15	0	17	0;0;0	1
104524	0	BallA0	1	20	1	41	0	30	0;0;0	1
104534	0	BallA0	1	30	1	50	0	30	0;0;0	1
403014	0	BBone01	2	7	1	33	0	34	0;0;0.5	1
10401714	0	papermanA0_M	2	25	1	28	0	33	0;0;1	1
10401724	0	papermanB0_M	2	5	1	39	0	38	0;0;-1.5	1
10401744	0	papermanB0_M	2	24	1	25	0	24	0;0;-1.5	1
403064	403063	0	1	10	1	0	0	10	0;0;0	1
10201814	10201813	0	1	6	1	0	0	6	0;0;0	1
10101414	0	Vehicle_Jnt01	2	2	1	5	0	6	0;0;0	1
10400924	10400923	0	1	10	1	0	0	10	0;0;0	1
10600914	10600913	0	1	18	1	0	0	37	0;0;0	1
10701024	10701023	0	1	4	1	0	0	4	0;0;0	1
10701054	10701053	0	1	4	1	0	0	4	0;0;0	1
4036141	403613	0	1	14	1	0	0	14	0;0;0	1
4036142	403613	0	1	14	1	0	0	14	0;0;0	1
4036143	403613	0	1	14	1	0	0	14	0;0;0	1
4036144	403613	0	1	14	1	0	0	14	0;0;0	1
105114	105113	0	2	12	1	30	0	45	0;0;0	1
105134	105133	0	2	12	1	30	0	45	0;0;0	1
1046341	104633	0	1	6	1	0	0	6	0;0;0	1
1046342	104633	0	1	6	1	0	0	6	0;0;0	1
1046343	104633	0	1	6	1	0	0	6	0;0;0	1
1046344	104633	0	1	6	1	0	0	6	0;0;0	1
1046345	104633	0	1	6	1	0	0	6	0;0;0	1
1046346	104633	0	1	6	1	0	0	6	0;0;0	1
105324	105323	0	1	20	1	0	0	20	0;0;0	1
403714	0	bullet	2	15	1	15	0	30	0;0;0	1
403314	403313	0	1	5	1	0	0	5	0;0;0	1
403324	403323	0	1	6	1	0	0	6	0;0;0	1
403334	403333	0	1	30	1	0	0	30	0;0;0	1
403344	403343	0	1	9	1	0	0	9	0;0;0	1
10800624	10800623	0	1	12	1	0	0	28	0;0;1	1
10800654	10800653	0	1	12	1	0	0	40	0;0;0	1
10601124	0	weapon_2_move_jnt	2	16	1	27	0	43	0;0;2	1
10800714	10800713	0	1	12	1	0	0	12	0;0;0	1
10800724	10800723	0	1	8	1	0	0	8	0;0;0	1
10800744	10800743	0	1	12	1	0	0	12	0;0;0	1
10900814	0	weapon_4_move_jnt	2	4	1	81	0	105	0;0;2	1
10900824	10900823	0	1	11	1	0	0	11	0;0;0	1
11100814	11100813	0	1	50	1	0	0	50	0;0;0	1
10900214	0	weapon_2_move_jnt	2	12	1	13	0	41	0;0;0	1
10900224	0	weapon_2_move_jnt	2	19	1	21	0	23	0;0;2	1
10700524	0	weapon_move_jnt	2	2	1	37	0	57	0;0;0	1
111002441	11100243	0	1	10	1	0	0	10	0;0;0	1
111002442	11100243	0	1	10	1	0	0	10	0;0;0	1
111002443	11100243	0	1	10	1	0	0	10	0;0;0	1
111002444	11100243	0	1	10	1	0	0	10	0;0;0	1
11300824	11300823	0	1	12	1	0	0	12	0;0;0	1
11400114	0	weapon_01_Jnt1	2	10	1	28	0	44	0;0;0	1
11400124	0	weapon_01_Jnt1	2	7	1	20	0	44	0;0;0	1
105006241	105006231	0	1	8	1	0	0	8	0;0;0	1
105006242	105006232	0	1	8	1	0	0	8	0;0;0	1
105006243	105006233	0	1	8	1	0	0	8	0;0;0	1
10500644	10500643	0	1	8	1	0	0	8	0;0;0	1
10700114	0	weapon_1_move_jnt	2	7	1	50	0	52	0;0;2	1
4041141	4041131	0	1	12	1	0	0	12	0;0;0	1
4041142	4041132	0	1	12	1	0	0	12	0;0;0	1
10601014	10601013	0	1	5	1	0	0	5	0;0;0	1
10800414	10800413	0	1	30	1	0	0	30	0;0;0	1
117008141	0	Bip002	2	16	1	17	0	32	0;0;0	1
117008142	0	Bip003	2	16	1	17	0	32	0;0;0	1
404014	404013	0	1	10	1	0	0	10	0;0;0	1
404024	404023	0	1	30	1	0	0	30	0;0;0	1
105934	105933	0	1	8	1	0	0	8	0;0;0	1
110614	110613	0	1	5	1	0	0	5	0;0;0	1
127008241	0	weapon_1_Grp	2	12	1	14	0	30	0;0;0	1
127008242	0	weapon_2_Grp	2	12	1	14	0	30	0;0;0	1
13100824	13100823	0	1	7	1	0	0	7	0;0;0	1
402314	402313	0	1	3	1	0	0	7	0;0;0	1
105414	105413	0	1	10	1	0	0	10	0;0;0	1
105514	105513	0	1	7	1	0	0	7	0;0;0	1
13700824	13700823	0	1	5	1	0	0	5	0;0;0	1
11600814	0	Bip001 Prop1	2	9	1	15	0	14	0;0;0	1
11400214	11400213	0	1	10	1	0	0	15	0;0;0	1
80300814	80300813	0	1	12	1	0	0	12	0;0;0	1
12700114	0	weapon_1_Grp	2	16	1	18	0	20	0;0;0	1
12700124	0	weapon_2_Grp	2	1	1	39	0	40	0;0;0	1
404614	0	weapon_1_Grp	2	12	1	17	0	18	0;0;0	1
801114	801113	0	1	10	1	0	0	10	0;0;0	1
13600814	13600813	0	1	10	1	0	0	10	0;0;0	1
13600824	13600823	0	1	10	1	0	0	10	0;0;0	1
136008614	136008613	0	1	10	1	0	0	10	0;0;0	1
136008624	136008623	0	1	10	1	0	0	10	0;0;0	1
12300814	12300813	0	1	8	1	0	0	8	0;0;0	1
14400814	0	weapon_1_Grp	2	24	1	25	0	26	0;0;0	1
805008141	805008131	0	1	12	1	0	0	12	0;0;0	1
805008142	805008132	0	1	12	1	0	0	12	0;0;0	1
106914	106913	0	1	8	1	0	0	20	0;0;0	1
106934	106933	0	1	6	1	0	0	20	0;0;0	1
1070241	1070231	0	1	10	1	0	0	10	0.5;0;0	1
1070242	1070232	0	1	10	1	0	0	10	0;0.5;0	1
1070243	1070233	0	1	10	1	0	0	10	-0.5;0;0	1
1070244	1070234	0	1	10	1	0	0	10	0;-0.5;0	1
106724	106723	0	1	10	1	0	0	20	0;0;0	1
107034	107033	0	1	8	1	0	0	20	0;0;0	1
143008141	0	weapon_1_Grp	2	7	1	71	0	80	0;0;2	1
143008142	0	weapon_2_Grp	2	14	1	64	0	73	0;0;2	1
14300824	0	weapon_2_Grp	2	30	1	108	0	109	0;0;2	1
13300814	13300813	0	1	10	1	0	0	10	0;0;0	1
13300844	13300843	0	1	10	1	0	0	10	0;0;0	1
14100814	0	Weapon_1_move	2	10	1	67	0	81	0;0;1	1
14100824	0	Weapon_1_move	2	14	1	60	0	75	0;0;0	1
150008141	0	weapon_1_Grp	2	8	1	27	0	44	0;0;2	1
153008441	0	weapon_1_Grp	2	8	1	30	0	49	0;0;2	1
153008541	0	weapon_1_Grp	2	30	1	88	0	98	0;0;2	1
1081301	108133	0	1	9	1	0	0	9	0;0;1	1
4050101	405013	0	1	10	1	0	0	10	0;0.4;0	1
8014101	801413	0	1	10	1	0	0	10	0;0;0	1
107801	0	weapon_1_Grp	2	7	1	23	0	24	0;0;2	1
107802	0	weapon_1_Grp	2	15	1	44	0	45	0;0;2.5	1
1330085001	1330085013	0	1	10	1	0	0	10	0;0;0	1
1330085002	1330085043	0	1	10	1	0	0	10	0;0;0	1
12600822	12600822	0	1	35	1	0	0	10	0;0;0	1
14700812	14700812	0	1	15	1	0	0	15	0;0;0	1
16100811	16100811	0	1	12	1	0	0	12	0;0;0	1
16100812	16100812	0	1	12	1	0	0	12	0;0;0	1
16000811	16000811	0	1	18	1	0	0	18	0;0;0	1
405212	405212	0	1	17	1	0	0	17	0;0;0	1
405213	405213	0	1	14	1	0	0	14	0;0;0	1
405214	405214	0	1	13	1	0	0	13	0;0;0	1
15600812	0	Root_M Prop1	2	4	1	35	0	50	0;0;0	1
15600821	0	Root_M Prop1	2	9	1	35	0	47	0;0;0	1
10200513	10200513	0	1	6	1	0	1	9	0;1;0	1
16300811	16300811	0	1	9	1	0	1	9	0;0;0	1
16400812	16400812	0	1	22	1	0	0	22	0;0;0	1
405322	405322	0	1	6	1	0	0	6	0;0;0	1
107623	107623	0	1	6	1	0	0	6	0;0;0	1
14400221	14400221	0	1	39	1	0	0	6	0;0;0	1
16600812	16600812	0	1	10	1	0	0	6	0;0;0	1
16700812	16700812	0	1	30	1	0	0	30	0;-0.5;0	1
10600512	0	shuitong_jnt	2	5	1	35	1	45	0;0;0	1
405412	405412	0	1	15	1	0	0	15	0;0;0	1
17200812	17200812	0	1	9	1	0	0	9	0;0;0	1
