index	buffId	star	effectNum1	status
412101101_7	412101101	7	0.12	1
411010101_1	411010101	1	0.03	1
411010101_2	411010101	2	0.06	1
411010101_3	411010101	3	0.09	1
411010101_4	411010101	4	0.09	1
411010101_5	411010101	5	0.09	1
411010101_6	411010101	6	0.09	1
411020101_1	411020101	1	0.07	1
411020101_2	411020101	2	0.087	1
411020101_3	411020101	3	0.103	1
411020101_4	411020101	4	0.12	1
411020101_5	411020101	5	0.103	1
411020101_6	411020101	6	0.112	1
411020101_7	411020101	7	0.12	1
411020102_1	411020102	1	0.06	1
411020102_2	411020102	2	0.073	1
411020102_3	411020102	3	0.087	1
411020102_4	411020102	4	0.1	1
411020102_5	411020102	5	0.087	1
411020102_6	411020102	6	0.093	1
411020102_7	411020102	7	0.1	1
412020102_1	412020102	1	0.06	1
412020102_2	412020102	2	0.073	1
412020102_3	412020102	3	0.087	1
412020102_4	412020102	4	0.1	1
412020102_5	412020102	5	0.087	1
412020102_6	412020102	6	0.093	1
412020102_7	412020102	7	0.1	1
413020101_1	413020101	1	0.06	1
413020101_2	413020101	2	0.073	1
413020101_3	413020101	3	0.087	1
413020101_4	413020101	4	0.1	1
413020101_5	413020101	5	0.087	1
413020101_6	413020101	6	0.093	1
413020101_7	413020101	7	0.1	1
413020102_1	413020102	1	0.15	1
413020102_2	413020102	2	0.183	1
413020102_3	413020102	3	0.217	1
413020102_4	413020102	4	0.25	1
413020102_5	413020102	5	0.217	1
413020102_6	413020102	6	0.233	1
413020102_7	413020102	7	0.25	1
416030802_1	416030802	1	0.5;10;1;21	1
416030802_2	416030802	2	0.583;10;1;21	1
416030802_3	416030802	3	0.667;10;1;21	1
416030802_4	416030802	4	0.75;10;1;21	1
416030802_5	416030802	5	0.667;10;1;21	1
416030802_6	416030802	6	0.708;10;1;21	1
416030802_7	416030802	7	0.75;10;1;21	1
412020103_1	412020103	1	0.1	1
412020103_2	412020103	2	0.117	1
412020103_3	412020103	3	0.133	1
412020103_4	412020103	4	0.15	1
412020103_5	412020103	5	0.14	1
412020103_6	412020103	6	0.15	1
412020103_7	412020103	7	0.16	1
418030101_1	418030101	1	0.1	1
418030101_2	418030101	2	0.117	1
418030101_3	418030101	3	0.133	1
418030101_4	418030101	4	0.15	1
418030101_5	418030101	5	0.14	1
418030101_6	418030101	6	0.15	1
418030101_7	418030101	7	0.16	1
418030105_1	418030105	1	0.09	1
418030105_2	418030105	2	0.1	1
418030105_3	418030105	3	0.11	1
418030105_4	418030105	4	0.12	1
418030105_5	418030105	5	0.11	1
418030105_6	418030105	6	0.115	1
418030105_7	418030105	7	0.12	1
419030101_1	419030101	1	0.1	1
419030101_2	419030101	2	0.117	1
419030101_3	419030101	3	0.133	1
419030101_4	419030101	4	0.15	1
419030101_5	419030101	5	0.14	1
419030101_6	419030101	6	0.15	1
419030101_7	419030101	7	0.16	1
419030104_1	419030104	1	0.09	1
419030104_2	419030104	1	0.1	1
419030104_3	419030104	1	0.11	1
419030104_4	419030104	1	0.12	1
419030104_5	419030104	1	0.11	1
419030104_6	419030104	1	0.115	1
419030104_7	419030104	1	0.12	1
419030114_1	419030114	1	0.1	1
419030114_2	419030114	2	0.117	1
419030114_3	419030114	3	0.133	1
419030114_4	419030114	4	0.15	1
419030115_1	419030115	1	-0.2	1
419030115_2	419030115	2	-0.2	1
419030115_3	419030115	3	-0.2	1
419030115_4	419030115	4	-0.2	1
411303101_1	411303101	1	0.1	1
411303101_2	411303101	2	0.117	1
411303101_3	411303101	3	0.133	1
411303101_4	411303101	4	0.15	1
411303101_5	411303101	5	0.14	1
411303101_6	411303101	6	0.15	1
411303101_7	411303101	7	0.16	1
411303108_1	411303108	1	0.09	1
411303108_2	411303108	2	0.1	1
411303108_3	411303108	3	0.11	1
411303108_4	411303108	4	0.12	1
411303108_5	411303108	5	0.11	1
411303108_6	411303108	6	0.115	1
411303108_7	411303108	7	0.12	1
417030101_1	417030101	1	0.09	1
417030101_2	417030101	2	0.1	1
417030101_3	417030101	3	0.11	1
417030101_4	417030101	4	0.12	1
417030101_5	417030101	5	0.13	1
417030101_6	417030101	6	0.14	1
417030101_7	417030101	7	0.15	1
411203101_1	411203101	1	0.06	1
411203101_2	411203101	2	0.073	1
411203101_3	411203101	3	0.087	1
411203101_4	411203101	4	0.1	1
411203101_5	411203101	5	0.087	1
411203101_6	411203101	6	0.093	1
411203101_7	411203101	7	0.1	1
416031001_1	416031001	1	0.03	1
416031001_2	416031001	2	0.035	1
416031001_3	416031001	3	0.04	1
416031001_4	416031001	4	0.045	1
416031001_5	416031001	5	0.05	1
416031001_6	416031001	6	0.055	1
416031001_7	416031001	7	0.06	1
411020103_1	411020103	1	-0.09	1
411020103_2	411020103	2	-0.1	1
411020103_3	411020103	3	-0.11	1
411020103_4	411020103	4	-0.12	1
411020103_5	411020103	5	-0.13	1
411020103_6	411020103	6	-0.14	1
411020103_7	411020103	7	-0.15	1
416030103_1	416030103	1	-0.09	1
416030103_2	416030103	2	-0.1	1
416030103_3	416030103	3	-0.11	1
416030103_4	416030103	4	-0.12	1
416030103_5	416030103	5	-0.13	1
416030103_6	416030103	6	-0.14	1
416030103_7	416030103	7	-0.15	1
417030102_1	417030102	1	-0.09	1
417030102_2	417030102	2	-0.1	1
417030102_3	417030102	3	-0.11	1
417030102_4	417030102	4	-0.12	1
417030102_5	417030102	5	-0.13	1
417030102_6	417030102	6	-0.14	1
417030102_7	417030102	7	-0.15	1
411203102_1	411203102	1	-0.09	1
411203102_2	411203102	2	-0.1	1
411203102_3	411203102	3	-0.11	1
411203102_4	411203102	4	-0.12	1
411203102_5	411203102	5	-0.13	1
411203102_6	411203102	6	-0.14	1
411203102_7	411203102	7	-0.15	1
411701101_1	411701101	1	0.18	1
411701101_2	411701101	2	0.2	1
411701101_3	411701101	3	0.22	1
411701101_4	411701101	4	0.24	1
411701101_5	411701101	5	0.26	1
411701101_6	411701101	6	0.28	1
411701101_7	411701101	7	0.3	1
417030103_1	417030103	1	0.25	1
417030103_2	417030103	2	0.32	1
417030103_3	417030103	3	0.38	1
417030103_4	417030103	4	0.45	1
417030103_5	417030103	5	0.383	1
417030103_6	417030103	6	0.417	1
417030103_7	417030103	7	0.45	1
416030104_1	416030104	1	0.025	1
416030104_2	416030104	2	0.0367	1
416030104_3	416030104	3	0.0483	1
416030104_4	416030104	4	0.06	1
416030104_5	416030104	5	0.048	1
416030104_6	416030104	6	0.054	1
416030104_7	416030104	7	0.06	1
416030113_1	416030113	1	0.035	1
416030113_2	416030113	2	0.042	1
416030113_3	416030113	3	0.048	1
416030113_4	416030113	4	0.055	1
416030113_5	416030113	5	0.048	1
416030113_6	416030113	6	0.052	1
416030113_7	416030113	7	0.055	1
411501101_1	411501101	1	0.09	1
411501101_2	411501101	2	0.105	1
411501101_3	411501101	3	0.12	1
411501101_4	411501101	4	0.135	1
411501101_5	411501101	5	0.13	1
411501101_6	411501101	6	0.14	1
411501101_7	411501101	7	0.15	1
411203103_1	411203103	1	0.02	1
411203103_2	411203103	2	0.034	1
411203103_3	411203103	3	0.048	1
411203103_4	411203103	4	0.062	1
411203103_5	411203103	5	0.26	1
411203103_6	411203103	6	0.28	1
411203103_7	411203103	7	0.3	1
411303102_1	411303102	1	0.2	1
411303102_2	411303102	2	0.3	1
411303103_1	411303103	1	0.1	1
411303103_2	411303103	2	0.15	1
401301801_1	401301801	1	-1.5;999;3;2	1
401301801_2	401301801	2	-2.5;999;3;2	1
411501102_1	411501102	1	0.2	1
411501102_2	411501102	2	0.233	1
411501102_3	411501102	3	0.267	1
411501102_4	411501102	4	0.3	1
411501102_5	411501102	5	0.267	1
411501102_6	411501102	6	0.283	1
411501102_7	411501102	7	0.3	1
413020103_1	413020103	1	0.09	1
413020103_2	413020103	2	0.11	1
413020103_3	413020103	3	0.13	1
413020103_4	413020103	4	0.15	1
413020103_5	413020103	5	0.13	1
413020103_6	413020103	6	0.14	1
413020103_7	413020103	7	0.15	1
411601101_1	411601101	1	0.09	1
411601101_2	411601101	2	0.11	1
411601101_3	411601101	3	0.13	1
411601101_4	411601101	4	0.15	1
411601101_5	411601101	5	0.13	1
411601101_6	411601101	6	0.14	1
411601101_7	411601101	7	0.15	1
411601201_1	411601201	1	0.09	1
411601201_2	411601201	2	0.11	1
411601201_3	411601201	3	0.13	1
411601201_4	411601201	4	0.15	1
411601201_5	411601201	5	0.13	1
411601201_6	411601201	6	0.14	1
411601201_7	411601201	7	0.15	1
412101102_1	412101102	1	0.09	1
412101102_2	412101102	2	0.11	1
412101102_3	412101102	3	0.13	1
412101102_4	412101102	4	0.15	1
412101102_5	412101102	5	0.13	1
412101102_6	412101102	6	0.14	1
412101102_7	412101102	7	0.15	1
412101104_1	412101104	1	0.04	1
412101104_2	412101104	2	0.06	1
412101105_1	412101105	1	0.035	1
412101105_2	412101105	2	0.042	1
412101105_3	412101105	3	0.048	1
412101105_4	412101105	4	0.055	1
412101105_5	412101105	5	0.048	1
412101105_6	412101105	6	0.052	1
412101105_7	412101105	7	0.055	1
412101106_1	412101106	1	0.15	1
412101109_1	412101109	1	0.25	1
412102101_1	412102101	1	0.09	1
412102101_2	412102101	2	0.11	1
412102101_3	412102101	3	0.13	1
412102101_4	412102101	4	0.15	1
412102101_5	412102101	5	0.13	1
412102101_6	412102101	6	0.14	1
412102101_7	412102101	7	0.15	1
412102103_1	412102103	1	0.04	1
412102103_2	412102103	2	0.06	1
412102104_1	412102104	1	0.035	1
412102104_2	412102104	2	0.042	1
412102104_3	412102104	3	0.048	1
412102104_4	412102104	4	0.055	1
412102104_5	412102104	5	0.048	1
412102104_6	412102104	6	0.052	1
412102104_7	412102104	7	0.055	1
412102105_1	412102105	1	0.15	1
412601101_1	412601101	1	2.5	1
412201101_1	412201101	1	0.1	1
412201101_2	412201101	2	0.117	1
412201101_3	412201101	3	0.133	1
412201101_4	412201101	4	0.15	1
412201101_5	412201101	5	0.13	1
412201101_6	412201101	6	0.14	1
412201101_7	412201101	7	0.15	1
410001101_1	410001101	1	0	1
410001101_2	410001101	2	0	1
410001101_3	410001101	3	0	1
410001101_4	410001101	4	0	1
410001101_5	410001101	5	0	1
410001101_6	410001101	6	0	1
410001101_7	410001101	7	0	1
411501103_1	411501103	1	-0.12	1
411501103_2	411501103	2	-0.13	1
411501103_3	411501103	3	-0.14	1
411501103_4	411501103	4	-0.15	1
411501103_5	411501103	5	-0.16	1
411501103_6	411501103	6	-0.17	1
411501103_7	411501103	7	-0.18	1
411203104_1	411203104	1	0.02	1
411203104_2	411203104	2	0.03	1
411020104_1	411020104	1	0.12	1
411020104_2	411020104	2	0.14	1
411020104_3	411020104	3	0.16	1
411020104_4	411020104	4	0.18	1
411020104_5	411020104	5	0.16	1
411020104_6	411020104	6	0.17	1
411020104_7	411020104	7	0.18	1
411020105_1	411020105	1	0.16	1
411020105_2	411020105	2	0.19	1
411020105_3	411020105	3	0.22	1
411020105_4	411020105	4	0.25	1
411020105_5	411020105	5	0.22	1
411020105_6	411020105	6	0.235	1
411020105_7	411020105	7	0.25	1
417030104_1	417030104	1	0.4	1
417030104_2	417030104	2	0.6	1
401010901_1	401010901	1	0.02;999;1;3	1
401010901_2	401010901	2	0.022;999;1;3	1
401010901_3	401010901	3	0.026;999;1;3	1
401010901_4	401010901	4	0.03;999;1;3	1
401010901_5	401010901	5	0.013;999;1;3	1
401010901_6	401010901	6	0.014;999;1;3	1
401010901_7	401010901	7	0.015;999;1;3	1
411501104_1	411501104	1	0.08	1
411501104_2	411501104	2	0.093	1
411501104_3	411501104	3	0.107	1
411501104_4	411501104	4	0.12	1
411501104_5	411501104	5	0.107	1
411501104_6	411501104	6	0.113	1
411501104_7	411501104	7	0.12	1
411501105_1	411501105	1	0.2	1
411501105_2	411501105	2	0.25	1
411501105_3	411501105	3	0.3	1
411501105_4	411501105	4	0.35	1
411501105_5	411501105	5	0.35	1
411501105_6	411501105	6	0.35	1
411501105_7	411501105	7	0.4	1
411501107_1	411501107	1	0.07	1
411501108_1	411501108	1	0.1	1
411501108_2	411501108	2	0.117	1
411501108_3	411501108	3	0.133	1
411501108_4	411501108	4	0.15	1
411501109_1	411501109	1	0.18	1
411501109_2	411501109	2	0.22	1
411501109_3	411501109	3	0.26	1
411501109_4	411501109	4	0.3	1
411501110_1	411501110	1	0.04	1
411501110_2	411501110	2	0.053	1
411501110_3	411501110	3	0.067	1
411501110_4	411501110	4	0.08	1
411501111_1	411501111	1	0.08	1
411501111_2	411501111	2	0.12	1
411501111_3	411501111	3	0.12	1
411501111_4	411501111	4	0.15	1
411501112_1	411501112	1	0.15	1
411502101_1	411502101	1	-0.06	1
411502101_2	411502101	2	-0.07	1
411502101_3	411502101	3	-0.08	1
411502101_4	411502101	4	-0.09	1
411502101_5	411502101	5	-0.22	1
411502101_6	411502101	6	-0.23	1
411502101_7	411502101	7	-0.24	1
411502105_1	411502105	1	-0.008	1
411203105_1	411203105	1	0.112	1
411203105_2	411203105	2	0.135	1
411203105_3	411203105	3	0.159	1
411203105_4	411203105	4	0.182	1
411203105_5	411203105	5	0.16	1
411203105_6	411203105	6	0.17	1
411203105_7	411203105	7	0.18	1
411203112_1	411203112	1	0.04	1
411203112_2	411203112	2	0.06	1
411203113_1	411203113	1	0.035	1
411203113_2	411203113	2	0.042	1
411203113_3	411203113	3	0.048	1
411203113_4	411203113	4	0.055	1
411203113_5	411203113	5	0.048	1
411203113_6	411203113	6	0.052	1
411203113_7	411203113	7	0.055	1
411203114_1	411203114	1	0.2	1
411203115_1	411203115	1	0.12	1
411203116_1	411203116	1	0.15	1
411203117_1	411203117	1	0.25	1
411203118_1	411203118	1	0.4	1
411601202_1	411601202	1	-0.008	1
411601202_2	411601202	2	-0.012	1
411601203_1	411601203	1	0.04	1
411601203_2	411601203	2	0.06	1
411601204_1	411601204	1	0.035	1
411601204_2	411601204	2	0.042	1
411601204_3	411601204	3	0.048	1
411601204_4	411601204	4	0.055	1
411601204_5	411601204	5	0.048	1
411601204_6	411601204	6	0.052	1
411601204_7	411601204	7	0.055	1
416030105_1	416030105	1	0.4	1
416030105_2	416030105	2	0.6	1
401201901_1	401201901	1	0.09;999;3;1	1
401201901_2	401201901	2	0.11;999;3;1	1
401201901_3	401201901	3	0.13;999;3;1	1
401201901_4	401201901	4	0.15;999;3;1	1
401201901_5	401201901	5	0.13;999;3;1	1
401201901_6	401201901	6	0.14;999;3;1	1
401201901_7	401201901	7	0.15;999;3;1	1
412020104_1	412020104	1	0.09	1
412020104_2	412020104	2	0.1	1
412020104_3	412020104	3	0.11	1
412020104_4	412020104	4	0.12	1
412020104_5	412020104	5	0.11	1
412020104_6	412020104	6	0.115	1
412020104_7	412020104	7	0.12	1
417030105_1	417030105	1	0.1	1
417030105_2	417030105	2	0.12	1
412020105_1	412020105	1	-0.09	1
412020105_2	412020105	2	-0.11	1
412020105_3	412020105	3	-0.13	1
412020105_4	412020105	4	-0.15	1
412020105_5	412020105	5	-0.13	1
412020105_6	412020105	6	-0.14	1
412020105_7	412020105	7	-0.15	1
412020114_1	412020114	1	0.04	1
412020114_2	412020114	2	0.06	1
412020119_1	412020119	1	0.035	1
412020119_2	412020119	2	0.042	1
412020119_3	412020119	3	0.048	1
412020119_4	412020119	4	0.055	1
412020119_5	412020119	5	0.048	1
412020119_6	412020119	6	0.052	1
412020119_7	412020119	7	0.055	1
412020115_1	412020115	1	0.06	1
412020115_2	412020115	2	0.09	1
412020122_1	412020122	1	-0.2	1
412020123_1	412020123	1	0.09	1
412020123_2	412020123	2	0.105	1
412020123_3	412020123	3	0.12	1
412020123_4	412020123	4	0.135	1
412020124_1	412020124	1	0.09	1
412020124_2	412020124	2	0.11	1
412020124_3	412020124	3	0.13	1
412020124_4	412020124	4	0.15	1
412020128_1	412020128	1	0.1	1
412020128_2	412020128	2	0.117	1
412020128_3	412020128	3	0.133	1
412020128_4	412020128	4	0.15	1
413020104_1	413020104	1	0.04	1
413020104_2	413020104	2	0.06	1
413020109_1	413020109	1	0.035	1
413020109_2	413020109	2	0.042	1
413020109_3	413020109	3	0.048	1
413020109_4	413020109	4	0.055	1
413020109_5	413020109	5	0.048	1
413020109_6	413020109	6	0.052	1
413020109_7	413020109	7	0.055	1
413020107_1	413020107	1	0.06	1
413020107_2	413020107	2	0.09	1
413020110_1	413020110	1	0	1
413020110_2	413020110	2	0.05	1
413020110_3	413020110	3	0.09	1
413020110_4	413020110	4	0.15	1
413020110_5	413020110	5	0.15	1
413020110_6	413020110	6	0.15	1
413020110_7	413020110	7	0.15	1
413020113_1	413020113	1	0.15	1
411303104_1	411303104	1	0.015	1
411303104_2	411303104	2	0.02	1
411303104_3	411303104	3	0.025	1
411303104_4	411303104	4	0.03	1
411303104_5	411303104	5	0.035	1
411303104_6	411303104	6	0.04	1
411303104_7	411303104	7	0.045	1
411020106_1	411020106	1	0.16	1
411020106_2	411020106	2	0.24	1
411020107_1	411020107	1	0.035	1
411020107_2	411020107	2	0.041	1
411020107_3	411020107	3	0.047	1
411020107_4	411020107	4	0.053	1
411020107_5	411020107	5	0.052	1
411020107_6	411020107	6	0.056	1
411020107_7	411020107	7	0.06	1
411020117_1	411020117	1	0.035	1
411020117_2	411020117	2	0.042	1
411020117_3	411020117	3	0.048	1
411020117_4	411020117	4	0.055	1
411020117_5	411020117	5	0.048	1
411020117_6	411020117	6	0.052	1
411020117_7	411020117	7	0.055	1
411701102_1	411701102	1	0.004	1
411701102_2	411701102	2	0.006	1
401603701_1	401603701	1	0.054	1
401603701_2	401603701	2	0.068	1
401603701_3	401603701	3	0.081	1
401603701_4	401603701	4	0.095	1
401603701_5	401603701	5	0.081	1
401603701_6	401603701	6	0.088	1
401603701_7	401603701	7	0.095	1
416030106_1	416030106	1	0.5	1
416030106_2	416030106	2	0.75	1
416030115_1	416030115	1	0.5	1
416030116_1	416030116	1	0.15	1
416030117_1	416030117	1	0.25	1
411303701_1	411303701	1	0.066	1
411303701_2	411303701	2	0.074	1
411303701_3	411303701	3	0.082	1
411303701_4	411303701	4	0.09	1
411303701_5	411303701	5	0.082	1
411303701_6	411303701	6	0.086	1
411303701_7	411303701	7	0.09	1
411602101_1	411602101	1	-0.006	1
411602101_2	411602101	2	-0.007	1
411602101_3	411602101	3	-0.008	1
411602101_4	411602101	4	-0.009	1
411602101_5	411602101	5	-0.01	1
411602101_6	411602101	6	-0.011	1
411602101_7	411602101	7	-0.012	1
411602105_1	411602105	1	0.15	1
411602105_2	411602105	2	0.167	1
411602105_3	411602105	3	0.183	1
411602105_4	411602105	4	0.2	1
417030106_1	417030106	1	0.06	1
417030106_2	417030106	2	0.07	1
417030106_3	417030106	3	0.08	1
417030106_4	417030106	4	0.09	1
417030106_5	417030106	5	0.1	1
417030106_6	417030106	6	0.11	1
417030106_7	417030106	7	0.12	1
417030114_1	417030114	1	0.04	1
417030114_2	417030114	2	0.06	1
417030115_1	417030115	1	0.035	1
417030115_2	417030115	2	0.042	1
417030115_3	417030115	3	0.048	1
417030115_4	417030115	4	0.055	1
417030115_5	417030115	5	0.048	1
417030115_6	417030115	6	0.052	1
417030115_7	417030115	7	0.055	1
418030102_1	418030102	1	-0.09	1
418030102_2	418030102	2	-0.11	1
418030102_3	418030102	3	-0.13	1
418030102_4	418030102	4	-0.15	1
418030102_5	418030102	5	-0.13	1
418030102_6	418030102	6	-0.14	1
418030102_7	418030102	7	-0.15	1
418030106_1	418030106	1	0.04	1
418030106_2	418030106	2	0.06	1
418030109_1	418030109	1	0.035	1
418030109_2	418030109	2	0.042	1
418030109_3	418030109	3	0.048	1
418030109_4	418030109	4	0.055	1
418030109_5	418030109	5	0.048	1
418030109_6	418030109	6	0.052	1
418030109_7	418030109	7	0.055	1
418030114_1	418030114	1	0.1	1
418030114_2	418030114	2	0.117	1
418030114_3	418030114	3	0.133	1
418030114_4	418030114	4	0.15	1
418030115_1	418030115	1	-0.2	1
418030115_2	418030115	2	-0.2	1
418030115_3	418030115	3	-0.2	1
418030115_4	418030115	4	-0.2	1
419030102_1	419030102	1	-0.09	1
419030102_2	419030102	2	-0.11	1
419030102_3	419030102	3	-0.13	1
419030102_4	419030102	4	-0.15	1
419030102_5	419030102	5	-0.13	1
419030102_6	419030102	6	-0.14	1
419030102_7	419030102	7	-0.15	1
419030105_1	419030105	1	0.04	1
419030105_2	419030105	2	0.06	1
419030108_1	419030108	1	0.035	1
419030108_2	419030108	2	0.042	1
419030108_3	419030108	3	0.048	1
419030108_4	419030108	4	0.055	1
419030108_5	419030108	5	0.048	1
419030108_6	419030108	6	0.052	1
419030108_7	419030108	7	0.055	1
416030112_1	416030112	1	0.03	1
416030112_2	416030112	2	0.05	1
416030112_3	416030112	3	0.07	1
416030112_4	416030112	4	0.09	1
416030112_5	416030112	5	0.11	1
416030112_6	416030112	6	0.13	1
416030112_7	416030112	7	0.15	1
411303105_1	411303105	1	-0.09	1
411303105_2	411303105	2	-0.11	1
411303105_3	411303105	3	-0.13	1
411303105_4	411303105	4	-0.15	1
411303105_5	411303105	5	-0.13	1
411303105_6	411303105	6	-0.14	1
411303105_7	411303105	7	-0.15	1
411303109_1	411303109	1	0.04	1
411303109_2	411303109	2	0.06	1
411303112_1	411303112	1	0.035	1
411303112_2	411303112	2	0.042	1
411303112_3	411303112	3	0.048	1
411303112_4	411303112	4	0.055	1
411303112_5	411303112	5	0.048	1
411303112_6	411303112	6	0.052	1
411303112_7	411303112	7	0.055	1
411303114_1	411303114	1	-0.12	1
411303115_1	411303115	1	0.06	1
411303801_1	411303801	1	-0.25;999;210;210	1
401030701_1	401030701	1	0.072	1
