index	skillId	star	effectConditionPara1	effectConditionPara2	effectConditionPara3	effectConditionPara4	effectConditionPara5	effectConditionPara6	effectConditionPara7	stackTime1	stackTime2	stackTime3	stackTime4	stackTime5	stackTime6	stackTime7	cd	disAtkNum	status
521046002_1	521046002	1								1	1	1	1	1	1	1			1
521046003_1	521046003	1								1	1	1	1	1	1	1			1
571046001_1	571046001	1								1	1	1	1	1	1	1			1
511050001_1	511050001	1								1	1	1	1	1	1	1			1
521050001_1	521050001	1								1	1	1	1	1	1	1			1
571050001_1	571050001	1								1	1	1	1	1	1	1			1
521050003_1	521050003	1								1	1	1	1	1	1	1			1
511050002_1	511050002	1								1	1	1	1	1	1	1			1
521050002_1	521050002	1								1	1	1	1	1	1	1			1
571050002_1	571050002	1								1	1	1	1	1	1	1			1
571050003_1	571050003	1								1	1	1	1	1	1	1			1
511051001_1	511051001	1								1	1	1	1	1	1	1			1
521051001_1	521051001	1								1	1	1	1	1	1	1			1
571051001_1	571051001	1								1	1	1	1	1	1	1			1
511051002_1	511051002	1								1	1	1	1	1	1	1			1
521051002_1	521051002	1								1	1	1	1	1	1	1			1
571051002_1	571051002	1								1	1	1	1	1	1	1			1
571051003_1	571051003	1								1	1	1	1	1	1	1			1
511052001_1	511052001	1								1	1	1	1	1	1	1			1
571052001_1	571052001	1								1	1	1	1	1	1	1			1
571052003_1	571052003	1								1	1	1	1	1	1	1			1
511052002_1	511052002	1								1	1	1	1	1	1	1			1
521052002_1	521052002	1								1	1	1	1	1	1	1			1
571052002_1	571052002	1								1	1	1	1	1	1	1			1
511053001_1	511053001	1								1	1	1	1	1	1	1			1
571053001_1	571053001	1								1	1	1	1	1	1	1			1
511053002_1	511053002	1								1	1	1	1	1	1	1			1
521053002_1	521053002	1								1	1	1	1	1	1	1			1
571053002_1	571053002	1								1	1	1	1	1	1	1			1
511056001_1	511056001	1								1	1	1	1	1	1	1			1
521056001_1	521056001	1								1	1	1	1	1	1	1			1
571056001_1	571056001	1								1	1	1	1	1	1	1			1
571056002_1	571056002	1								1	1	1	1	1	1	1			1
511058001_1	511058001	1								1	1	1	1	1	1	1			1
521058001_1	521058001	1								1	1	1	1	1	1	1			1
571058001_1	571058001	1								1	1	1	1	1	1	1			1
511059001_1	511059001	1								1	1	1	1	1	1	1			1
521059001_1	521059001	1								1	1	1	1	1	1	1			1
571059001_1	571059001	1								1	1	1	1	1	1	1			1
511059003_1	511059003	1								1	1	1	1	1	1	1			1
511059002_1	511059002	1								1	1	1	1	1	1	1			1
511060001_1	511060001	1								1	1	1	1	1	1	1			1
521060001_1	521060001	1								1	1	1	1	1	1	1			1
571060001_1	571060001	1								1	1	1	1	1	1	1			1
511060003_1	511060003	1								1	1	1	1	1	1	1			1
521060003_1	521060003	1								1	1	1	1	1	1	1			1
511060002_1	511060002	1								1	1	1	1	1	1	1			1
521060002_1	521060002	1								1	1	1	1	1	1	1			1
571060002_1	571060002	1								1	1	1	1	1	1	1			1
571060003_1	571060003	1								1	1	1	1	1	1	1			1
511102001_1	511102001	1								1	1	1	1	1	1	1			1
521102001_1	521102001	1								1	1	1	1	1	1	1			1
571102001_1	571102001	1								1	1	1	1	1	1	1			1
571102002_1	571102002	1								1	1	1	1	1	1	1			1
511103001_1	511103001	1								1	1	1	1	1	1	1			1
521103001_1	521103001	1								1	1	1	1	1	1	1			1
571103001_1	571103001	1								1	1	1	1	1	1	1			1
521103002_1	521103002	1								1	1	1	1	1	1	1			1
511104001_1	511104001	1								1	1	1	1	1	1	1			1
521104001_1	521104001	1								1	1	1	1	1	1	1			1
571104001_1	571104001	1								1	1	1	1	1	1	1			1
514001001_1	514001001	1								1	1	1	1	1	1	1			1
524001001_1	524001001	1								1	1	1	1	1	1	1			1
534001001_1	534001001	1								1	1	1	1	1	1	1			1
544001001_1	544001001	1								1	1	1	1	1	1	1			1
574001001_1	574001001	1								1	1	1	1	1	1	1			1
574001002_1	574001002	1								1	1	1	1	1	1	1			1
514002001_1	514002001	1								1	1	1	1	1	1	1			1
524002001_1	524002001	1								1	1	1	1	1	1	1			1
534002001_1	534002001	1								1	1	1	1	1	1	1			1
544002001_1	544002001	1								1	1	1	1	1	1	1			1
574002001_1	574002001	1								1	1	1	1	1	1	1			1
514002002_1	514002002	1								1	1	1	1	1	1	1			1
534002002_1	534002002	1								1	1	1	1	1	1	1			1
514003001_1	514003001	1								1	1	1	1	1	1	1			1
524003001_1	524003001	1								1	1	1	1	1	1	1			1
534003001_1	534003001	1								1	1	1	1	1	1	1			1
534003002_1	534003002	1								1	1	1	1	1	1	1			1
534003003_1	534003003	1								1	1	1	1	1	1	1			1
544003001_1	544003001	1								1	1	1	1	1	1	1			1
574003001_1	574003001	1								1	1	1	1	1	1	1			1
514004001_1	514004001	1								1	1	1	1	1	1	1			1
524004001_1	524004001	1								1	1	1	1	1	1	1			1
534004001_1	534004001	1								1	1	1	1	1	1	1			1
574004001_1	574004001	1								1	1	1	1	1	1	1			1
514004002_1	514004002	1								1	1	1	1	1	1	1			1
524004002_1	524004002	1								1	1	1	1	1	1	1			1
534004002_1	534004002	1								1	1	1	1	1	1	1			1
574004002_1	574004002	1								1	1	2	1	1	1	1			1
584004002_1	584004002	1								1	1	1	1	1	1	1			1
514005001_1	514005001	1								1	1	1	1	1	1	1			1
524005001_1	524005001	1								1	1	1	1	1	1	1			1
534005001_1	534005001	1								1	1	1	1	1	1	1			1
544005001_1	544005001	1								1	1	1	1	1	1	1			1
554005001_1	554005001	1								1	1	1	1	1	1	1			1
564005001_1	564005001	1								1	1	1	1	1	1	1			1
574005001_1	574005001	1								1	1	1	1	1	1	1			1
524005002_1	524005002	1								1	1	1	1	1	1	1			1
514005002_1	514005002	1								1	1	1	1	1	1	1			1
514006001_1	514006001	1								1	1	1	1	1	1	1			1
524006001_1	524006001	1								1	1	1	1	1	1	1			1
534006001_1	534006001	1								1	1	1	1	1	1	1			1
574006001_1	574006001	1								1	1	1	1	1	1	1			1
514007001_1	514007001	1								1	1	1	1	1	1	1			1
524007001_1	524007001	1								1	1	1	1	1	1	1			1
534007001_1	534007001	1								1	1	1	1	1	1	1			1
574007001_1	574007001	1								1	1	1	1	1	1	1			1
514008001_1	514008001	1								1	1	1	1	1	1	1			1
524008001_1	524008001	1								1	1	1	1	1	1	1			1
534008001_1	534008001	1								1	1	1	1	1	1	1			1
544008001_1	544008001	1								1	1	1	1	1	1	1			1
554008001_1	554008001	1								1	1	1	1	1	1	1			1
564008001_1	564008001	1								1	1	1	1	1	1	1			1
574008001_1	574008001	1								1	1	1	1	1	1	1			1
534008002_1	534008002	1								1	1	1	1	1	1	1			1
514009001_1	514009001	1								1	1	1	1	1	1	1			1
524009001_1	524009001	1								1	1	1	1	1	1	1			1
534009001_1	534009001	1								1	1	1	1	1	1	1			1
544009001_1	544009001	1								1	1	1	1	1	1	1			1
554009001_1	554009001	1								1	1	1	1	1	1	1			1
564009001_1	564009001	1								1	1	1	1	1	1	1			1
574009001_1	574009001	1								1	1	1	1	1	1	1			1
514010001_1	514010001	1								1	1	1	1	1	1	1			1
524010001_1	524010001	1								1	1	1	1	1	1	1			1
534010001_1	534010001	1								1	1	1	1	1	1	1			1
574010001_1	574010001	1								1	1	1	1	1	1	1			1
514014001_1	514014001	1								1	1	1	1	1	1	1			1
524014001_1	524014001	1								1	1	1	1	1	1	1			1
574014001_1	574014001	1								1	1	1	1	1	1	1			1
514014002_1	514014002	1								1	1	1	1	1	1	1			1
524014002_1	524014002	1								1	1	1	1	1	1	1			1
574014002_1	574014002	1								1	1	1	1	1	1	1			1
514015001_1	514015001	1								1	1	1	1	1	1	1			1
524015001_1	524015001	1								1	1	1	1	1	1	1			1
574015001_1	574015001	1								1	1	1	1	1	1	1			1
524015002_1	524015002	1								1	1	1	1	1	1	1			1
514015002_1	514015002	1								1	1	1	1	1	1	1			1
524015003_1	524015003	1								1	1	1	1	1	1	1			1
574015002_1	574015002	1								1	1	1	1	1	1	1			1
514016001_1	514016001	1								1	1	2	1	1	1	1			1
524016001_1	524016001	1								1	1	1	1	1	1	1			1
534016001_1	534016001	1								1	1	1	1	1	1	1			1
574016001_1	574016001	1								1	1	1	1	1	1	1			1
524016002_1	524016002	1								1	1	1	1	1	1	1			1
534016002_1	534016002	1								1	1	1	1	1	1	1			1
574016002_1	574016002	1								1	1	1	1	1	1	1			1
514017001_1	514017001	1								1	1	3	1	1	1	1			1
524017001_1	524017001	1								1	1	1	1	1	1	1			1
534017001_1	534017001	1								1	1	1	1	1	1	1			1
574017001_1	574017001	1								1	1	1	1	1	1	1			1
534017003_1	534017003	1								1	1	1	1	1	1	1			1
514017002_1	514017002	1								1	1	3	1	1	1	1			1
524017002_1	524017002	1								1	1	1	1	1	1	1			1
534017002_1	534017002	1			99999995;5					1	1	1	1	1	1	1			1
574017002_1	574017002	1								1	1	1	1	1	1	1			1
584017002_1	584017002	1								1	1	1	1	1	1	1			1
514018001_1	514018001	1								1	1	2	1	1	1	1			1
524018001_1	524018001	1								1	1	2	1	1	1	1			1
534018001_1	534018001	1								1	1	1	1	1	1	1			1
574018001_1	574018001	1								1	1	1	1	1	1	1			1
534018002_1	534018002	1								1	1	1	1	1	1	1			1
574018002_1	574018002	1								1	1	1	1	1	1	1			1
514020001_1	514020001	1								1	1	1	1	1	1	1			1
524020001_1	524020001	1								1	1	1	1	1	1	1			1
534020001_1	534020001	1								1	1	1	1	1	1	1			1
574020001_1	574020001	1								1	1	1	1	1	1	1			1
514020003_1	514020003	1								1	1	1	1	1	1	1			1
514021001_1	514021001	1								1	1	1	1	1	1	1			1
524021001_1	524021001	1								1	1	1	1	1	1	1			1
534021001_1	534021001	1								1	1	1	1	1	1	1			1
544021001_1	544021001	1								1	1	1	1	1	1	1			1
554021001_1	554021001	1								1	1	1	1	1	1	1			1
574021001_1	574021001	1								1	1	1	1	1	1	1			1
514025001_1	514025001	1								1	1	1	1	1	1	1			1
524025001_1	524025001	1								1	1	1	1	1	1	1			1
534025001_1	534025001	1								1	1	1	1	1	1	1			1
544025001_1	544025001	1								1	1	1	1	1	1	1			1
574025001_1	574025001	1								1	1	1	1	1	1	1			1
574025002_1	574025002	1								1	1	1	1	1	1	1			1
514025002_1	514025002	1								1	1	1	1	1	1	1			1
514026001_1	514026001	1								1	1	1	1	1	1	1			1
524026001_1	524026001	1								1	1	1	1	1	1	1			1
534026001_1	534026001	1								1	1	1	1	1	1	1			1
574026001_1	574026001	1								1	1	1	1	1	1	1			1
524026002_1	524026002	1								1	1	1	1	1	1	1			1
41101008_1	41101008	1								1	1	1	1	1	1	1			1
41101008_2	41101008	2								1	1	1	1	1	1	1			1
41101008_3	41101008	3								1	1	1	1	1	1	1			1
42101008_1	42101008	1								1	1	1	1	1	1	1			1
42101008_2	42101008	2								1	1	1	1	1	1	1			1
42101008_3	42101008	3								1	1	1	1	1	1	1			1
43101008_1	43101008	1								1	1	1	1	1	1	1			1
43101008_2	43101008	2								1	1	1	1	1	1	1			1
43101008_3	43101008	3								1	1	1	1	1	1	1			1
43101008_4	43101008	4								1	1	1	1	1	1	1			1
43101008_5	43101008	5								1	1	1	1	1	1	1			1
43101008_6	43101008	6								1	1	1	1	1	1	1			1
41101011_1	41101011	1								1	1	1	1	1	1	1			1
41101011_2	41101011	2								1	1	1	1	1	1	1			1
41101011_3	41101011	3								1	1	1	1	1	1	1			1
42101011_1	42101011	1								1	1	1	1	1	1	1			1
42101011_2	42101011	2								1	1	1	1	1	1	1			1
42101011_3	42101011	3								1	1	1	1	1	1	1			1
43101011_1	43101011	1								1	1	1	1	1	1	1			1
43101011_2	43101011	2								1	1	1	1	1	1	1			1
43101011_3	43101011	3								1	1	1	1	1	1	1			1
43101011_4	43101011	4								1	1	1	1	1	1	1			1
43101011_5	43101011	5								1	1	1	1	1	1	1			1
43101011_6	43101011	6								1	1	1	1	1	1	1			1
41101005_1	41101005	1								1	1	1	1	1	1	1			1
41101005_2	41101005	2								1	1	1	1	1	1	1			1
41101005_3	41101005	3								1	1	1	1	1	1	1			1
42101005_1	42101005	1								1	1	1	1	1	1	1			1
42101005_2	42101005	2								1	1	1	1	1	1	1			1
42101005_3	42101005	3								1	1	1	1	1	1	1			1
43101005_1	43101005	1								1	1	1	1	1	1	1			1
43101005_2	43101005	2								1	1	1	1	1	1	1			1
43101005_3	43101005	3								1	1	1	1	1	1	1			1
43101005_4	43101005	4								1	1	1	1	1	1	1			1
43101005_5	43101005	5								1	1	1	1	1	1	1			1
43101005_6	43101005	6								1	1	1	1	1	1	1			1
41101006_1	41101006	1								1	1	1	1	1	1	1			1
41101006_2	41101006	2								1	1	1	1	1	1	1			1
41101006_3	41101006	3								1	1	1	1	1	1	1			1
42101006_1	42101006	1								1	1	1	1	1	1	1			1
42101006_2	42101006	2								1	1	1	1	1	1	1			1
42101006_3	42101006	3								1	1	1	1	1	1	1			1
43101006_1	43101006	1								1	1	1	1	1	1	1			1
43101006_2	43101006	2								1	1	1	1	1	1	1			1
43101006_3	43101006	3								1	1	1	1	1	1	1			1
43101006_4	43101006	4								1	1	1	1	1	1	1			1
43101006_5	43101006	5								1	1	1	1	1	1	1			1
43101006_6	43101006	6								1	1	1	1	1	1	1			1
41102008_1	41102008	1								1	1	1	1	1	1	1			1
41102008_2	41102008	2								1	1	1	1	1	1	1			1
41102008_3	41102008	3								1	1	1	1	1	1	1			1
42102008_1	42102008	1								1	1	1	1	1	1	1			1
42102008_2	42102008	2								1	1	1	1	1	1	1			1
42102008_3	42102008	3								1	1	1	1	1	1	1			1
43102008_1	43102008	1								1	1	1	1	1	1	1			1
43102008_2	43102008	2								1	1	1	1	1	1	1			1
43102008_3	43102008	3								1	1	1	1	1	1	1			1
43102008_4	43102008	4								1	1	1	1	1	1	1			1
43102008_5	43102008	5								1	1	1	1	1	1	1			1
43102008_6	43102008	6								1	1	1	1	1	1	1			1
41102007_1	41102007	1								1	1	1	1	1	1	1			1
41102007_2	41102007	2								1	1	1	1	1	1	1			1
41102007_3	41102007	3								1	1	1	1	1	1	1			1
42102007_1	42102007	1			310200701,0	310200705,0				1	1	1	1	1	1	1			1
42102007_2	42102007	2			310200701,0	310200705,0				1	1	1	1	1	1	1			1
42102007_3	42102007	3			310200701,0	310200705,0				1	1	1	1	1	1	1			1
43102007_1	43102007	1								1	1	1	1	1	1	1			1
43102007_2	43102007	2								1	1	1	1	1	1	1			1
43102007_3	43102007	3								1	1	1	1	1	1	1			1
43102007_4	43102007	4								1	1	1	1	1	1	1			1
43102007_5	43102007	5								1	1	1	1	1	1	1			1
43102007_6	43102007	6								1	1	1	1	1	1	1			1
41102011_1	41102011	1								1	1	1	1	1	1	1			1
41102011_2	41102011	2								1	1	1	1	1	1	1			1
41102011_3	41102011	3								1	1	1	1	1	1	1			1
42102011_1	42102011	1								1	1	1	1	1	1	1			1
42102011_2	42102011	2								1	1	1	1	1	1	1			1
42102011_3	42102011	3								1	1	1	1	1	1	1			1
43102011_1	43102011	1								1	1	1	1	1	1	1			1
43102011_2	43102011	2								1	1	1	1	1	1	1			1
43102011_3	43102011	3								1	1	1	1	1	1	1			1
43102011_4	43102011	4								1	1	1	1	1	1	1			1
43102011_5	43102011	5								1	1	1	1	1	1	1			1
43102011_6	43102011	6								1	1	1	1	1	1	1			1
44102011_1	44102011	1								1	1	1	1	1	1	1			1
44102011_2	44102011	2								1	1	1	1	1	1	1			1
44102011_3	44102011	3								1	1	1	1	1	1	1			1
41102001_1	41102001	1								1	1	1	1	1	1	1			1
41102001_2	41102001	2								1	1	1	1	1	1	1			1
41102001_3	41102001	3								1	1	1	1	1	1	1			1
42102001_1	42102001	1								1	1	1	1	1	1	1			1
42102001_2	42102001	2								1	1	1	1	1	1	1			1
42102001_3	42102001	3								1	1	1	1	1	1	1			1
43102001_1	43102001	1								1	1	1	1	1	1	1			1
43102001_2	43102001	2								1	1	1	1	1	1	1			1
43102001_3	43102001	3								1	1	1	1	1	1	1			1
43102001_4	43102001	4								1	1	1	1	1	1	1			1
43102001_5	43102001	5								1	1	1	1	1	1	1			1
43102001_6	43102001	6								1	1	1	1	1	1	1			1
41102021_1	41102021	1								1	1	1	1	1	1	1			1
41102021_2	41102021	2								1	1	1	1	1	1	1			1
41102021_3	41102021	3								1	1	1	1	1	1	1			1
42102021_1	42102021	1								1	1	1	1	1	1	1			1
42102021_2	42102021	2								1	1	1	1	1	1	1			1
42102021_3	42102021	3								1	1	1	1	1	1	1			1
43102021_1	43102021	1								1	1	1	1	1	1	1			1
43102021_2	43102021	2								1	1	1	1	1	1	1			1
43102021_3	43102021	3								1	1	1	1	1	1	1			1
43102021_4	43102021	4								1	1	1	1	1	1	1			1
43102021_5	43102021	5								1	1	1	1	1	1	1			1
43102021_6	43102021	6								1	1	1	1	1	1	1			1
41103008_1	41103008	1								1	1	1	1	1	1	1			1
41103008_2	41103008	2								1	1	1	1	1	1	1			1
41103008_3	41103008	3								1	1	1	1	1	1	1			1
42103008_1	42103008	1								1	1	1	1	1	1	1			1
42103008_2	42103008	2								1	1	1	1	1	1	1			1
42103008_3	42103008	3								1	1	1	1	1	1	1			1
43103008_1	43103008	1								1	1	1	1	1	1	1			1
