Id	remark	catalogue	voiceId	type	voiceTime	voiceTime_zh_CN	status
bgm_universal_songforyou	bgm_universal_songforyou	Audio/bgm_universal_songforyou	bgm_universal_songforyou	2	-1	-1	1
bgm_universal_survey01	bgm_universal_survey01	Audio/bgm_universal_survey01	bgm_universal_survey01	2	-1	-1	1
bgm_universal_triss01	bgm_universal_triss01	Audio/bgm_universal_triss01	bgm_universal_triss01	2	-1	-1	1
bgm_universal_triss_lead01	bgm_universal_triss_lead01	Audio/bgm_universal_triss_lead01	bgm_universal_triss_lead01	2	-1	-1	1
bgm_universal_triss_lead02	bgm_universal_triss_lead02	Audio/bgm_universal_triss_lead02	bgm_universal_triss_lead02	2	-1	-1	1
bgm_univesal_battle_prelude	bgm_univesal_battle_prelude	Audio/bgm_univesal_battle_prelude	bgm_univesal_battle_prelude	2	-1	-1	1
bgm_winter_211	bgm_winter_211	Audio/bgm_winter_2_1	bgm_winter_211	2	-1	-1	1
bgm_winter_221	bgm_winter_221	Audio/bgm_winter_2_2	bgm_winter_221	2	-1	-1	1
bgm_world_boss	bgm_world_boss	Audio/bgm_world_boss	bgm_world_boss	2	-1	-1	1
bgm_zw_mainstreet01	bgm_zw_mainstreet01	Audio/bgm_zw_mainstreet01	bgm_zw_mainstreet01	2	-1	-1	1
eb_1106_atk_skill_00	eb_1106_atk_skill_00	Audio/eb_1106	eb_1106_atk_skill_00	1	3956	3956	1
eb_1106_atk_skill_01	eb_1106_atk_skill_01	Audio/eb_1106	eb_1106_atk_skill_01	1	3121	3121	1
eb_1106_hit_skill_01	eb_1106_hit_skill_01	Audio/eb_1106	eb_1106_hit_skill_01	1	1274	1274	1
eb_418006_atk_skill_00	eb_418006_atk_skill_00	Audio/eb_418006	eb_418006_atk_skill_00	1	9078	9078	1
eb_418006_atk_skill_01	eb_418006_atk_skill_01	Audio/eb_418006	eb_418006_atk_skill_01	1	3997	3997	1
eb_418006_atk_skill_03	eb_418006_atk_skill_03	Audio/eb_418006	eb_418006_atk_skill_03	1	5418	5418	1
eb_418006_hit_skill_00	eb_418006_hit_skill_00	Audio/eb_418006	eb_418006_hit_skill_00	1	2477	2477	1
eb_8001_atk_skill_01	eb_8001_atk_skill_01	Audio/eb_8001	eb_8001_atk_skill_01	1	2756	2756	1
eb_8001_atk_skill_02	eb_8001_atk_skill_02	Audio/eb_8001	eb_8001_atk_skill_02	1	3856	3856	1
eb_8001_atk_skill_03	eb_8001_atk_skill_03	Audio/eb_8001	eb_8001_atk_skill_03	1	5259	5259	1
eb_8001_atk_skill_04	eb_8001_atk_skill_04	Audio/eb_8001	eb_8001_atk_skill_04	1	3571	3571	1
eb_8001_atk_skill_05	eb_8001_atk_skill_05	Audio/eb_8001	eb_8001_atk_skill_05	1	3493	3493	1
eb_8001_atk_skill_06	eb_8001_atk_skill_06	Audio/eb_8001	eb_8001_atk_skill_06	1	2904	2904	1
eb_8001_atk_skill_07	eb_8001_atk_skill_07	Audio/eb_8001	eb_8001_atk_skill_07	1	4199	4199	1
eb_8001_hit_skill_00	eb_8001_hit_skill_00	Audio/eb_8001	eb_8001_hit_skill_00	1	2821	2821	1
eb_8001_atk_skill_00	eb_8001_atk_skill_00	Audio/eb_8001	eb_8001_atk_skill_00	1	4587	4587	1
eb_8002_atk_skill_01	eb_8002_atk_skill_01	Audio/eb_8002	eb_8002_atk_skill_01	1	1849	1849	1
eb_8002_atk_skill_02	eb_8002_atk_skill_02	Audio/eb_8002	eb_8002_atk_skill_02	1	2833	2833	1
eb_8002_atk_skill_03	eb_8002_atk_skill_03	Audio/eb_8002	eb_8002_atk_skill_03	1	3166	3166	1
eb_8002_atk_skill_04	eb_8002_atk_skill_04	Audio/eb_8002	eb_8002_atk_skill_04	1	2400	2400	1
eb_8002_atk_skill_05	eb_8002_atk_skill_05	Audio/eb_8002	eb_8002_atk_skill_05	1	3233	3233	1
eb_8002_atk_skill_06	eb_8002_atk_skill_06	Audio/eb_8002	eb_8002_atk_skill_06	1	4766	4766	1
eb_8002_atk_skill_00	eb_8002_atk_skill_00	Audio/eb_8002	eb_8002_atk_skill_00	1	9287	9287	1
eb_8002_hit_skill_02	eb_8002_hit_skill_02	Audio/eb_8002	eb_8002_hit_skill_02	1	660	660	1
eb_8002_hit_skill_00	eb_8002_hit_skill_00	Audio/eb_8002	eb_8002_hit_skill_00	1	2133	2133	1
8003_enter_tl	8003_enter_tl	Audio/eb_8003	8003_enter_tl	1	6817	6817	1
eb_8003_atk_skill_00	eb_8003_atk_skill_00	Audio/eb_8003	eb_8003_atk_skill_00	1	15139	15139	1
eb_8003_atk_skill_01	eb_8003_atk_skill_01	Audio/eb_8003	eb_8003_atk_skill_01	1	6663	6663	1
eb_8003_atk_skill_02	eb_8003_atk_skill_02	Audio/eb_8003	eb_8003_atk_skill_02	1	4740	4740	1
eb_8003_atk_skill_03	eb_8003_atk_skill_03	Audio/eb_8003	eb_8003_atk_skill_03	1	7890	7890	1
eb_8003_atk_skill_04	eb_8003_atk_skill_04	Audio/eb_8003	eb_8003_atk_skill_04	1	6658	6658	1
eb_8003_hit_skill_00	eb_8003_hit_skill_00	Audio/eb_8003	eb_8003_hit_skill_00	1	1539	1539	1
eb_8004_atk_skill_01	eb_8004_atk_skill_01	Audio/eb_8004	eb_8004_atk_skill_01	1	4864	4864	1
eb_8004_atk_skill_02	eb_8004_atk_skill_02	Audio/eb_8004	eb_8004_atk_skill_02	1	3415	3415	1
eb_8004_atk_skill_03	eb_8004_atk_skill_03	Audio/eb_8004	eb_8004_atk_skill_03	1	12525	12525	1
eb_8004_hit_skill_02	eb_8004_hit_skill_02	Audio/eb_8004	eb_8004_hit_skill_02	1	1221	1221	1
eb_8004_hit_skill_03	eb_8004_hit_skill_03	Audio/eb_8004	eb_8004_hit_skill_03	1	2085	2085	1
eb_8004_atk_skill_00	eb_8004_atk_skill_00	Audio/eb_8004	eb_8004_atk_skill_00	1	9795	9795	1
eb_8010_atk_skill_01	eb_8010_atk_skill_01	Audio/eb_8010	eb_8010_atk_skill_01	1	4839	4839	1
eb_8010_atk_skill_02	eb_8010_atk_skill_02	Audio/eb_8010	eb_8010_atk_skill_02	1	2546	2546	1
eb_8010_atk_skill_03	eb_8010_atk_skill_03	Audio/eb_8010	eb_8010_atk_skill_03	1	3339	3339	1
eb_8010_atk_skill_04	eb_8010_atk_skill_04	Audio/eb_8010	eb_8010_atk_skill_04	1	3121	3121	1
eb_8010_atk_skill_05	eb_8010_atk_skill_05	Audio/eb_8010	eb_8010_atk_skill_05	1	5454	5454	1
eb_8010_hit_skill_05	eb_8010_hit_skill_05	Audio/eb_8010	eb_8010_hit_skill_05	1	1233	1233	1
ee_4001_atk_skill_01	ee_4001_atk_skill_01	Audio/ee_4001	ee_4001_atk_skill_01	1	2346	2346	1
ee_4001_atk_skill_02	ee_4001_atk_skill_02	Audio/ee_4001	ee_4001_atk_skill_02	1	4967	4967	1
ee_4001_atk_skill_03	ee_4001_atk_skill_03	Audio/ee_4001	ee_4001_atk_skill_03	1	10079	10079	1
ee_4001_atk_skill_04	ee_4001_atk_skill_04	Audio/ee_4001	ee_4001_atk_skill_04	1	3346	3346	1
ee_4001_atk_skill_05	ee_4001_atk_skill_05	Audio/ee_4001	ee_4001_atk_skill_05	1	3383	3383	1
ee_4001_atk_skill_06	ee_4001_atk_skill_06	Audio/ee_4001	ee_4001_atk_skill_06	1	4350	4350	1
ee_4001_atk_skill_00	ee_4001_atk_skill_00	Audio/ee_4001	ee_4001_atk_skill_00	1	6460	6460	1
ee_4001_hit_skill_00	ee_4001_hit_skill_00	Audio/ee_4001	ee_4001_hit_skill_00	1	2545	2545	1
ee_4002_atk_skill_01	ee_4002_atk_skill_01	Audio/ee_4002	ee_4002_atk_skill_01	1	2980	2980	1
ee_4002_atk_skill_02	ee_4002_atk_skill_02	Audio/ee_4002	ee_4002_atk_skill_02	1	3032	3032	1
ee_4002_atk_skill_03	ee_4002_atk_skill_03	Audio/ee_4002	ee_4002_atk_skill_03	1	4703	4703	1
ee_4002_atk_skill_04	ee_4002_atk_skill_04	Audio/ee_4002	ee_4002_atk_skill_04	1	2444	2444	1
ee_4002_atk_skill_05	ee_4002_atk_skill_05	Audio/ee_4002	ee_4002_atk_skill_05	1	2465	2465	1
ee_4002_atk_skill_06	ee_4002_atk_skill_06	Audio/ee_4002	ee_4002_atk_skill_06	1	3675	3675	1
ee_4002_atk_skill_00	ee_4002_atk_skill_00	Audio/ee_4002	ee_4002_atk_skill_00	1	8628	8628	1
ee_4002_hit_skill_00	ee_4002_hit_skill_00	Audio/ee_4002	ee_4002_hit_skill_00	1	1222	1222	1
ee_4003_atk_skill_01	ee_4003_atk_skill_01	Audio/ee_4003	ee_4003_atk_skill_01	1	3200	3200	1
ee_4003_atk_skill_02	ee_4003_atk_skill_02	Audio/ee_4003	ee_4003_atk_skill_02	1	4380	4380	1
ee_4003_atk_skill_03	ee_4003_atk_skill_03	Audio/ee_4003	ee_4003_atk_skill_03	1	6722	6722	1
ee_4003_atk_skill_04	ee_4003_atk_skill_04	Audio/ee_4003	ee_4003_atk_skill_04	1	2383	2383	1
ee_4003_atk_skill_05	ee_4003_atk_skill_05	Audio/ee_4003	ee_4003_atk_skill_05	1	3625	3625	1
ee_4003_atk_skill_06	ee_4003_atk_skill_06	Audio/ee_4003	ee_4003_atk_skill_06	1	3764	3764	1
ee_4003_hit_skill_01	ee_4003_hit_skill_01	Audio/ee_4003	ee_4003_hit_skill_01	1	1050	1050	1
ee_4003_atk_skill_00	ee_4003_atk_skill_00	Audio/ee_4003	ee_4003_atk_skill_00	1	6233	6233	1
ee_4004_atk_skill_01	ee_4004_atk_skill_01	Audio/ee_4004	ee_4004_atk_skill_01	1	2633	2633	1
ee_4004_atk_skill_02	ee_4004_atk_skill_02	Audio/ee_4004	ee_4004_atk_skill_02	1	3792	3792	1
ee_4004_atk_skill_03	ee_4004_atk_skill_03	Audio/ee_4004	ee_4004_atk_skill_03	1	3466	3466	1
ee_4004_atk_skill_00	ee_4004_atk_skill_00	Audio/ee_4004	ee_4004_atk_skill_00	1	11585	11585	1
ee_4004_hit_skill_00	ee_4004_hit_skill_00	Audio/ee_4004	ee_4004_hit_skill_00	1	1733	1733	1
ee_4005_atk_skill_00	ee_4005_atk_skill_00	Audio/ee_4005	ee_4005_atk_skill_00	1	12061	12061	1
ee_4005_atk_skill_01	ee_4005_atk_skill_01	Audio/ee_4005	ee_4005_atk_skill_01	1	3224	3224	1
ee_4005_atk_skill_02	ee_4005_atk_skill_02	Audio/ee_4005	ee_4005_atk_skill_02	1	4504	4504	1
ee_4005_atk_skill_03	ee_4005_atk_skill_03	Audio/ee_4005	ee_4005_atk_skill_03	1	1944	1944	1
ee_4005_atk_skill_04	ee_4005_atk_skill_04	Audio/ee_4005	ee_4005_atk_skill_04	1	5178	5178	1
ee_4005_atk_skill_05	ee_4005_atk_skill_05	Audio/ee_4005	ee_4005_atk_skill_05	1	2652	2652	1
ee_4005_atk_skill_06	ee_4005_atk_skill_06	Audio/ee_4005	ee_4005_atk_skill_06	1	2474	2474	1
ee_4005_hit_skill_00	ee_4005_hit_skill_00	Audio/ee_4005	ee_4005_hit_skill_00	1	742	742	1
ee_4005_hit_skill_03	ee_4005_hit_skill_03	Audio/ee_4005	ee_4005_hit_skill_03	1	742	742	1
ee_4005_hit_skill_06	ee_4005_hit_skill_06	Audio/ee_4005	ee_4005_hit_skill_06	1	1325	1325	1
ee_4006_atk_skill_01	ee_4006_atk_skill_01	Audio/ee_4006	ee_4006_atk_skill_01	1	3333	3333	1
ee_4006_atk_skill_02	ee_4006_atk_skill_02	Audio/ee_4006	ee_4006_atk_skill_02	1	5800	5800	1
ee_4006_atk_skill_03	ee_4006_atk_skill_03	Audio/ee_4006	ee_4006_atk_skill_03	1	8766	8766	1
ee_4006_atk_skill_00	ee_4006_atk_skill_00	Audio/ee_4006	ee_4006_atk_skill_00	1	11493	11493	1
ee_4006_hit_skill_00	ee_4006_hit_skill_00	Audio/ee_4006	ee_4006_hit_skill_00	1	1933	1933	1
ee_4007_atk_skill_01	ee_4007_atk_skill_01	Audio/ee_4007	ee_4007_atk_skill_01	1	3233	3233	1
ee_4007_atk_skill_02	ee_4007_atk_skill_02	Audio/ee_4007	ee_4007_atk_skill_02	1	3600	3600	1
ee_4007_atk_skill_03	ee_4007_atk_skill_03	Audio/ee_4007	ee_4007_atk_skill_03	1	3300	3300	1
ee_4007_atk_skill_00	ee_4007_atk_skill_00	Audio/ee_4007	ee_4007_atk_skill_00	1	10266	10266	1
ee_4007_hit_skill_03	ee_4007_hit_skill_03	Audio/ee_4007	ee_4007_hit_skill_03	1	1619	1619	1
ee_4007_hit_skill_00	ee_4007_hit_skill_00	Audio/ee_4007	ee_4007_hit_skill_00	1	1800	1800	1
ee_4008_atk_skill_01	ee_4008_atk_skill_01	Audio/ee_4008	ee_4008_atk_skill_01	1	5752	5752	1
ee_4008_atk_skill_02	ee_4008_atk_skill_02	Audio/ee_4008	ee_4008_atk_skill_02	1	5000	5000	1
ee_4008_atk_skill_03	ee_4008_atk_skill_03	Audio/ee_4008	ee_4008_atk_skill_03	1	6000	6000	1
ee_4008_atk_skill_04	ee_4008_atk_skill_04	Audio/ee_4008	ee_4008_atk_skill_04	1	4500	4500	1
ee_4008_atk_skill_05	ee_4008_atk_skill_05	Audio/ee_4008	ee_4008_atk_skill_05	1	6000	6000	1
ee_4008_atk_skill_06	ee_4008_atk_skill_06	Audio/ee_4008	ee_4008_atk_skill_06	1	5500	5500	1
ee_4008_atk_skill_07	ee_4008_atk_skill_07	Audio/ee_4008	ee_4008_atk_skill_07	1	5000	5000	1
ee_4008_hit_skill_03	ee_4008_hit_skill_03	Audio/ee_4008	ee_4008_hit_skill_03	1	1619	1619	1
ee_4008_atk_skill_00	ee_4008_atk_skill_00	Audio/ee_4008	ee_4008_atk_skill_00	1	6303	6303	1
ee_4009_atk_skill_01	ee_4009_atk_skill_01	Audio/ee_4009	ee_4009_atk_skill_01	1	3532	3532	1
ee_4009_atk_skill_02	ee_4009_atk_skill_02	Audio/ee_4009	ee_4009_atk_skill_02	1	4456	4456	1
ee_4009_atk_skill_03	ee_4009_atk_skill_03	Audio/ee_4009	ee_4009_atk_skill_03	1	3576	3576	1
ee_4009_atk_skill_04	ee_4009_atk_skill_04	Audio/ee_4009	ee_4009_atk_skill_04	1	6500	6500	1
ee_4009_atk_skill_05	ee_4009_atk_skill_05	Audio/ee_4009	ee_4009_atk_skill_05	1	3462	3462	1
ee_4009_atk_skill_06	ee_4009_atk_skill_06	Audio/ee_4009	ee_4009_atk_skill_06	1	7000	7000	1
ee_4009_atk_skill_07	ee_4009_atk_skill_07	Audio/ee_4009	ee_4009_atk_skill_07	1	18353	18353	1
ee_4009_hit_skill_01	ee_4009_hit_skill_01	Audio/ee_4009	ee_4009_hit_skill_01	1	1548	1548	1
ee_4009_hit_skill_03	ee_4009_hit_skill_03	Audio/ee_4009	ee_4009_hit_skill_03	1	742	742	1
ee_4009_hit_skill_04	ee_4009_hit_skill_04	Audio/ee_4009	ee_4009_hit_skill_04	1	2649	2649	1
ee_4009_hit_skill_06	ee_4009_hit_skill_06	Audio/ee_4009	ee_4009_hit_skill_06	1	2221	2221	1
ee_4009_hit_skill_07	ee_4009_hit_skill_07	Audio/ee_4009	ee_4009_hit_skill_07	1	1961	1961	1
ee_4009_atk_skill_00	ee_4009_atk_skill_00	Audio/ee_4009	ee_4009_atk_skill_00	1	20881	20881	1
ee_4010_atk_skill_01	ee_4010_atk_skill_01	Audio/ee_4010	ee_4010_atk_skill_01	1	3966	3966	1
ee_4010_atk_skill_02	ee_4010_atk_skill_02	Audio/ee_4010	ee_4010_atk_skill_02	1	3877	3877	1
ee_4010_atk_skill_03	ee_4010_atk_skill_03	Audio/ee_4010	ee_4010_atk_skill_03	1	3966	3966	1
ee_4010_atk_skill_00	ee_4010_atk_skill_00	Audio/ee_4010	ee_4010_atk_skill_00	1	12849	12849	1
ee_4010_hit_skill_03	ee_4010_hit_skill_03	Audio/ee_4010	ee_4010_hit_skill_03	1	1100	1100	1
ee_4010_hit_skill_00	ee_4010_hit_skill_00	Audio/ee_4010	ee_4010_hit_skill_00	1	2166	2166	1
ee_4014_atk_skill_01	ee_4014_atk_skill_01	Audio/ee_4014	ee_4014_atk_skill_01	1	2838	2838	1
ee_4014_atk_skill_02	ee_4014_atk_skill_02	Audio/ee_4014	ee_4014_atk_skill_02	1	2974	2974	1
ee_4014_atk_skill_03	ee_4014_atk_skill_03	Audio/ee_4014	ee_4014_atk_skill_03	1	4028	4028	1
ee_4014_atk_skill_04	ee_4014_atk_skill_04	Audio/ee_4014	ee_4014_atk_skill_04	1	8430	8430	1
ee_4014_hit_skill_01	ee_4014_hit_skill_01	Audio/ee_4014	ee_4014_hit_skill_01	1	854	854	1
ee_4014_hit_skill_04	ee_4014_hit_skill_04	Audio/ee_4014	ee_4014_hit_skill_04	1	1931	1931	1
ee_4014_atk_skill_00	ee_4014_atk_skill_00	Audio/ee_4014	ee_4014_atk_skill_00	1	6766	6766	1
ee_4015_atk_skill_01	ee_4015_atk_skill_01	Audio/ee_4015	ee_4015_atk_skill_01	1	7459	7459	1
ee_4015_atk_skill_02	ee_4015_atk_skill_02	Audio/ee_4015	ee_4015_atk_skill_02	1	9786	9786	1
ee_4015_atk_skill_03	ee_4015_atk_skill_03	Audio/ee_4015	ee_4015_atk_skill_03	1	22753	22753	1
ee_4015_hit_skill_03	ee_4015_hit_skill_03	Audio/ee_4015	ee_4015_hit_skill_03	1	2545	2545	1
ee_4015_atk_skill_00	ee_4015_atk_skill_00	Audio/ee_4015	ee_4015_atk_skill_00	1	16369	16369	1
ee_4016_atk_skill_01	ee_4016_atk_skill_01	Audio/ee_4016	ee_4016_atk_skill_01	1	3533	3533	1
ee_4016_atk_skill_02	ee_4016_atk_skill_02	Audio/ee_4016	ee_4016_atk_skill_02	1	3500	3500	1
ee_4016_atk_skill_03	ee_4016_atk_skill_03	Audio/ee_4016	ee_4016_atk_skill_03	1	3450	3450	1
ee_4016_atk_skill_00	ee_4016_atk_skill_00	Audio/ee_4016	ee_4016_atk_skill_00	1	11934	11934	1
ee_4016_hit_skill_00	ee_4016_hit_skill_00	Audio/ee_4016	ee_4016_hit_skill_00	1	2300	2300	1
ee_4017_atk_skill_01	ee_4017_atk_skill_01	Audio/ee_4017	ee_4017_atk_skill_01	1	4983	4983	1
ee_4017_atk_skill_02	ee_4017_atk_skill_02	Audio/ee_4017	ee_4017_atk_skill_02	1	3666	3666	1
ee_4017_atk_skill_03	ee_4017_atk_skill_03	Audio/ee_4017	ee_4017_atk_skill_03	1	4916	4916	1
ee_4017_atk_skill_00	ee_4017_atk_skill_00	Audio/ee_4017	ee_4017_atk_skill_00	1	11374	11374	1
ee_4017_hit_skill_00	ee_4017_hit_skill_00	Audio/ee_4017	ee_4017_hit_skill_00	1	2016	2016	1
ee_4018_atk_skill_01	ee_4018_atk_skill_01	Audio/ee_4018	ee_4018_atk_skill_01	1	4400	4400	1
ee_4018_atk_skill_02	ee_4018_atk_skill_02	Audio/ee_4018	ee_4018_atk_skill_02	1	4166	4166	1
ee_4018_atk_skill_03	ee_4018_atk_skill_03	Audio/ee_4018	ee_4018_atk_skill_03	1	4033	4033	1
ee_4018_atk_skill_04	ee_4018_atk_skill_04	Audio/ee_4018	ee_4018_atk_skill_04	1	3466	3466	1
ee_4018_atk_skill_05	ee_4018_atk_skill_05	Audio/ee_4018	ee_4018_atk_skill_05	1	3500	3500	1
ee_4018_atk_skill_00	ee_4018_atk_skill_00	Audio/ee_4018	ee_4018_atk_skill_00	1	10167	10167	1
ee_4018_hit_skill_00	ee_4018_hit_skill_00	Audio/ee_4018	ee_4018_hit_skill_00	1	1900	1900	1
ee_4019_atk_skill_00	ee_4019_atk_skill_00	Audio/ee_4019	ee_4019_atk_skill_00	1	9861	9861	1
ee_4019_atk_skill_01	ee_4019_atk_skill_01	Audio/ee_4019	ee_4019_atk_skill_01	1	2614	2614	1
ee_4019_atk_skill_02	ee_4019_atk_skill_02	Audio/ee_4019	ee_4019_atk_skill_02	1	3493	3493	1
ee_4019_atk_skill_03	ee_4019_atk_skill_03	Audio/ee_4019	ee_4019_atk_skill_03	1	2826	2826	1
ee_4019_atk_skill_04	ee_4019_atk_skill_04	Audio/ee_4019	ee_4019_atk_skill_04	1	3173	3173	1
ee_4019_hit_skill_00	ee_4019_hit_skill_00	Audio/ee_4019	ee_4019_hit_skill_00	1	2520	2520	1
ee_4019_hit_skill_01	ee_4019_hit_skill_01	Audio/ee_4019	ee_4019_hit_skill_01	1	237	237	1
ee_4019_hit_skill_03	ee_4019_hit_skill_03	Audio/ee_4019	ee_4019_hit_skill_03	1	302	302	1
ee_4020_atk_skill_01	ee_4020_atk_skill_01	Audio/ee_4020	ee_4020_atk_skill_01	1	2666	2666	1
ee_4020_atk_skill_02	ee_4020_atk_skill_02	Audio/ee_4020	ee_4020_atk_skill_02	1	1966	1966	1
ee_4020_atk_skill_03	ee_4020_atk_skill_03	Audio/ee_4020	ee_4020_atk_skill_03	1	3600	3600	1
ee_4020_atk_skill_04	ee_4020_atk_skill_04	Audio/ee_4020	ee_4020_atk_skill_04	1	3333	3333	1
ee_4020_atk_skill_00	ee_4020_atk_skill_00	Audio/ee_4020	ee_4020_atk_skill_00	1	6036	6036	1
