id	skillId	starSkill	skillClass	triggerRule	skillType	label	skillStarMax	skillLvMax	isAoe	starEffect1	effectCondition1	effectTarget1	effect1	effectType1	starEffect2	effectCondition2	effectTarget2	effect2	effectType2	damageTarget	damageEffect	scriptType	scriptNum	damageEffectType	starEffect3	effectCondition3	effectTarget3	effect3	effectType3	starEffect4	effectCondition4	effectTarget4	effect4	effectType4	starEffect5	effectCondition5	effectTarget5	effect5	effectType5	starEffect6	effectCondition6	effectTarget6	effect6	effectType6	starEffect7	effectCondition7	effectTarget7	effect7	effectType7	hitRatio	skillTags	action	intensive	status
41109008	41109008	7	1		1	2	3	3	0											101	201030101			2																										0.2;0.2;0.2;0.2;0.2		1	1	1
42109008	42109008	7	1		2	2	3	3	0											101	201010171			2	6	1	-1	110900806	1																					1		2	1	1
43109008	43109008	33554431	1		3	2	25	25	0											101	201010172			2	33554431	1	-1	110900807	1																					1		0	1	1
41110008	41110008	7	1		1	2	3	3	0											101	201010139			2	7	1	-1	204020103	2																					0.25;0.25;0.25;0.25		1	1	1
42110008	42110008	7	1		2	1	3	3	0											301	111000803			1	7	2018	301	311000804	1	7	2018	301	311000808	1																1		2	1	1
43110008	43110008	33554431	1		3	2	25	25	0											101	201010141			2	33554431	1	-1	204020103	2																					1		0	1	1
41111008	41111008	7	1		1	2	3	3	0											101	201010101			2																										1		1	1	1
42111008	42111008	7	1		2	4	3	3	0											201	202010201			2																										1		2	1	1
43111008	43111008	33554431	1		3	2	25	25	0											101	201050103			2																										1		0	1	1
41111002	41111002	7	1		1	2	3	3	0											101	201010109			2	6	1	-1	111100203	1																					0.25;0.25;0.25;0.25		1	1	1
42111002	42111002	7	1		2	1	3	3	0											201	111100213			1	7	1	-1	111100214	1																					1		2	1	1
43111002	43111002	33554431	1		3	1	25	25	0											301	111100212			1	33554431	1	251	111100210	1	33554431	1	-1	111100211	1																1		0	1	1
44111002	44111002	33554431	2		4	1	25	25	0											102					33554431	1	-1	201210501	2	33554431	1	-1	206040101	2																1		0	1	1
45111002	45111002	7	1		1	2	3	3	0											101	201010109			2	6	1	-1	111100203	1																					0.25;0.25;0.25;0.25		4	1	1
46111002	46111002	7	1		2	1	3	3	0											202	111100213			1																										1		2	1	1
41112008	41112008	7	1		1	1	3	3	0											201	111200803			1																										1		1	1	1
42112008	42112008	7	1		2	1	3	3	0											201	111200804			1																										1		2	1	1
43112008	43112008	33554431	1		3	1	25	25	1											202	111200805			1																										1		0	1	1
41112002	41112002	7	1		1	2	3	3	0											101	201090101			2																										1		1	1	1
42112002	42112002	7	1		2	4	3	3	1											202	202010102			2																										1		2	1	1
43112002	43112002	33554431	1		3	1	25	25	1											202	111200204			1																										1		0	1	1
41113008	41113008	7	1		1	2	3	3	0											101	201060101			2																										1		1	1	1
42113008	42113008	7	1		2	2	3	3	0											101	201010101			2																										1		2	1	1
43113008	43113008	33554431	1		3	2	25	25	0											101	201060103			2																										1		0	1	1
41113001	41113001	7	1		1	2	3	3	0											101	201070101			2																										1		1	1	1
42113001	42113001	7	1		2	3	3	3	1											102	102030101			1																										1		2	1	1
43113001	43113001	33554431	1		3	2	25	25	0											101	201060103			2																										1		0	1	1
41114008	41114008	7	1		1	4	3	3	1											202	111400803			1																										1		1	1	1
42114008	42114008	7	1		2	1	3	3	1											201	111400804			1																										1		2	1	1
43114008	43114008	33554431	1		3	1	25	25	1											201	111400805			1																										1		0	1	1
41114001	41114001	7	1		1	2	3	3	1											102	201010170			2	7	1	-1	111400105	1	7	2018	-1	311400102	1	7	2018	-1	311400106	1											0.3;0.3;0.4		1	1	1
42114001	42114001	7	1		2	2	3	3	0											101	201030101			2																										0.25;0.25;0.25;0.25		2	1	1
43114001	43114001	33554431	1		3	2	25	25	0											101	201030103			2																										0.167;0.167;0.167;0.167;0.167;0.167		0	1	1
414001	414001	7	1		1	2	3	3	0											101	201010143			2	7	1	-1	102010101	1																					0.5;0.5		1	1	1
424001	424001	7	1		2	2	3	3	0											101	201010101			2																										1		2	1	1
434001	434001	33554431	1		3	2	25	25	0											101	201100103			2																										1		0	1	1
414002	414002	7	1		1	2	3	3	0											101	201070101			2																										1		1	1	1
424002	424002	7	1		2	2	3	3	0											101	201010101			2																										1		2	1	1
434002	434002	33554431	1		3	2	25	25	1											102	201010104			2																										0.25;0.25;0.25;0.25		0	1	1
414005	414005	7	1		1	2	3	3	0											101	201040101			2																										0.3;0.3;0.4		1	1	1
424005	424005	7	1		2	2	3	3	0											101	201010101			2																										0.3;0.3;0.4		2	1	1
434005	434005	33554431	1		3	2	25	25	0											101	201010113			2	33554431	1	-1	206020103	2																					0.25;0.25;0.25;0.25		0	1	1
414006	414006	7	1		1	2	3	3	0											101	201010101			2																										1		1	1	1
424006	424006	7	1		2	2	3	3	0											101	201020101			2																										1		2	1	1
434006	434006	33554431	1		3	2	25	25	1											102	201010104			2																										0.3;0.3;0.4		0	1	1
41121008	41121008	7	1		1	2	3	3	0											101	201040101			2																										1		1	1	1
42121008	42121008	7	1		2	2	3	3	0											101	201010101			2																										1		2	1	1
43121008	43121008	33554431	1		3	2	25	25	1											102	201040104			2																										1		0	1	1
414009	414009	7	1		1	2	3	3	0											101	201010135			2	7	1	-1	204020102	2																					1		1	1	1
424009	424009	7	1		2	2	3	3	0											101	201010101			2																										1		2	1	1
434009	434009	33554431	1		3	2	25	25	0											101	201010137			2	33554431	1	-1	204020102	2																					1		0	1	1
414010	414010	7	1		1	2	3	3	0											101	201050101			2																										1		1	1	1
424010	424010	7	1		2	2	3	3	0											101	201010101			2																										1		2	1	1
434010	434010	33554431	1		3	2	25	25	1											102	201010138			2	33554431	1	-1	204020102	2																					1		0	1	1
414014	414014	7	1		1	2	3	3	0											101	201010109			2	6	1	-1	10401404	1																					0.5;0.5		1	1	1
424014	424014	7	1		2	1	3	3	1											202	10401403			1																										1		2	1	1
434014	434014	33554431	1		3	2	25	25	0											101	201010129			2	33554431	1	-1	10401405	1																					1		0	1	1
414015	414015	7	1		1	2	3	3	1											102	201010102			2																										1		1	1	1
424015	424015	7	1		2	2	3	3	1											102	201060102			2																										1		2	1	1
434015	434015	33554431	1		3	2	25	25	0											101	201010141			2	33554431	1	-1	204020103	2																					1		0	1	1
414020	414020	7	1		1	2	3	3	0											101	201090101			2																										1		1	1	1
424020	424020	7	1		2	1	3	3	0											301	10402003			1																										1		2	1	1
434020	434020	33554431	1		3	2	25	25	0											101	201010129			2	33554431	1	-1	10402004	1																					1		0	1	1
414022	414022	7	1		1	2	3	3	0											101	201010109			2	6	1	-1	10402203	1																					1		1	1	1
424022	424022	7	1		2	2	3	3	1											102	201010102			2																										1		2	1	1
434022	434022	33554431	1		3	2	25	25	1											102	201040104			2																										1		0	1	1
414025	414025	7	1		1	2	3	3	0											101	201010101			2																										1		1	1	1
424025	424025	7	1		2	1	3	3	0											201	10402502			1																										1		2	1	1
434025	434025	33554431	1		3	1	25	25	1											202	10402503			1																										1		0	1	1
414026	414026	7	1		1	2	3	3	0											101	201010101			2																										1		1	1	1
424026	424026	7	1		2	4	3	3	1											202	202010202			2																										1		2	1	1
434026	434026	33554431	1		3	4	25	25	1											202	202010204			2																										1		0	1	1
414031	414031	7	1		1	2	3	3	0											101	201010101			2																										1		1	1	1
424031	424031	7	1		2	1	3	3	0											301	10403103			1																										1		2	1	1
434031	434031	33554431	1		3	1	25	25	0											301	10403106			1	33554431	1	251	10403104	1	33554431	1	-1	10403105	1																1		0	1	1
414033	414033	7	1		1	2	3	3	0											101	201010101			2																										1		1	1	1
424033	424033	7	1		2	3	3	3	0						7	1	-1	10403303	1	101	10403302			1																										1		2	1	1
434033	434033	33554431	1		3	2	25	25	0											101	201010129			2	33554431	1	-1	10403305	1																					1		0	1	1
414034	414034	7	1		1	2	3	3	0											101	201020101			2																										1		1	1	1
424034	424034	7	1		2	1	3	3	0											201	10403403			1																										1		2	1	1
434034	434034	33554431	1		3	2	25	25	1											102	201010104			2																										0.25;0.25;0.25;0.25		0	1	1
414041	414041	7	1		1	2	3	3	0											101	201010101			2																										0.5;0.5		1	1	1
424041	424041	7	1		2	2	3	3	0						7	1	301	10404103	1	101	201010149			2																										0.5;0.5		2	1	1
434041	434041	33554431	1		3	2	25	25	0						33554431	1	301	10404104	1	101	201010151			2																										1		0	1	1
414043	414043	7	1		1	2	3	3	0											101	201040101			2																										1		1	1	1
424043	424043	7	1		2	2	3	3	0											101	201010101			2																										0.5;0.5		2	1	1
434043	434043	33554431	1		3	2	25	25	0											101	201040103			2																										1		0	1	1
418002	418002	7	1		1	2	3	3	0											101	201030101			2																										1		1	1	1
428002	428002	7	1		2	2	3	3	0											101	201020101			2																										0.3;0.3;0.4		2	1	1
438002	438002	33554431	1		3	2	25	25	0											101	201010103			2																										1		0	1	1
41115008	41115008	7	1		1	2	3	3	0											101	201010101			2																										1		1	1	1
42115008	42115008	7	1		2	2	3	3	0											101	201010111			2	7	1	-1	206020111	2																					1		2	1	1
43115008	43115008	33554431	1		3	2	25	25	0											101	201030103			2																										1		0	1	1
44115008	44115008	33554431	1		3	2	25	25	0											101	201030103			2	33554431	1	-1	206020104	2																					1		0	1	1
41127008	41127008	7	1		1	2	3	3	0											101	201010109			2	6	1	-1	12700801	1																					1		1	1	1
42127008	42127008	7	1		2	2	3	3	0											101	201070101			2																										0.5;0.5		2	1	1
43127008	43127008	33554431	1		3	2	25	25	0						33554431	1	-1	12700802	1	101	201010121			2	33554431	1	-1	12700804	1																					1		0	1	1
41130008	41130008	7	1		1	2	3	3	0											101	201010101			2																										0.3;0.3;0.4		1	1	1
42130008	42130008	7	1		2	2	3	3	0											101	201040101			2																										0.2;0.2;0.2;0.2;0.2		2	1	1
43130008	43130008	33554431	1		3	2	25	25	0											101	201100103			2																										1		0	1	1
44130008	44130008	7	1		1	2	3	3	0											101	201010101			2	7	1	-1	13000801	1																					0.3;0.3;0.4		1	1	1
41131008	41131008	7	1		1	2	3	3	0											101	201050101			2																										1		1	1	1
42131008	42131008	7	1		2	3	3	3	1											102	13100801			1	6	1	-1	13100802	1																					1		2	1	1
43131008	43131008	33554431	1		3	2	25	25	0											101	201050103			2																										1		0	1	1
41117008	41117008	7	1		1	2	3	3	0						7	1	301	11700801	1	101	201010149			2																										0.5;0.5		1	1	1
42117008	42117008	7	1		2	2	3	3	0											101	201020101			2																										0.25;0.25;0.25;0.25		2	1	1
43117008	43117008	33554431	1		3	2	25	25	1											102	201010134			2	33554431	1	-1	204020101	2																					1		0	1	1
44117008	44117008	33554431	1		3	2	25	25	1											102	201010134			2	33554431	1	-1	204020101	2																					1		7	1	1
41103006	41103006	7	1		1	2	3	3	0											101	201010165			2	6	1	301	210010114	2																					0.16;0.16;0.16;0.16;0.16;0.2		1	1	1
42103006	42103006	7	1		2	2	3	3	0											101	201170101			2																										0.16;0.16;0.16;0.16;0.16;0.2		2	1	1
43103006	43103006	33554431	1		3	2	25	25	0						33554431	1	301	214010401	2	101	201010167			2																										0.16;0.16;0.16;0.16;0.16;0.2		0	1	1
41105004	41105004	7	1		1	2	3	3	0											101	201010101			2																										0.3;0.3;0.4		1	1	1
42105004	42105004	7	1		2	2	3	3	0											101	201070101			2																										0.5;0.5		2	1	1
43105004	43105004	33554431	1		3	2	25	25	0											101	201100103			2																										1		0	1	1
41106009	41106009	7	1		1	2	3	3	1											102	201020102			2																										1		4	1	1
42106009	42106009	7	1		2	1	3	3	0											201	10600903			1	7	2018	-1	310600904	1	7	2018	-1	310600908	1																1		2	1	1
43106009	43106009	33554431	1		3	2	25	25	0											101	201010168			2	33554431	1	102	10600904	1	33554431	1	-1	10600905	1																1		0	1	1
44106009	44106009	33554431	1		3	2	25	25	0											101	201010168			2	33554431	1	102	10600907	1	33554431	1	-1	10600908	1																1		0	1	1
41107010	41107010	7	1		1	2	3	3	0											101	410701002			2	7	1	301	10701014	1																					1		1	1	1
42107010	42107010	7	1		2	2	3	3	0											101	201020101			2																										0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125		2	1	1
43107010	43107010	33554431	1		3	2	25	25	0											101	410701003			2																										1		0	1	1
44107010	44107010	7	1		1	2	3	3	1											102	201090102			2																										1		4	1	1
45107010	45107010	7	1		2	2	3	3	0						7	2018	301	10701016	1	101	201020101			2																										0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125	1	2	1	1
46107010	46107010	7	1		2	2	3	3	0											101	410701001			2																										0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125	1	2	1	1
41101013	41101013	7	1		1	2	3	3	0											101	201050101			2																										1		1	1	1
42101013	42101013	7	1		2	2	3	3	0											101	201010119			2	7	1	-1	111502102	1																					1		2	1	1
43101013	43101013	33554431	1		3	2	25	25	0											101	201050103			2																										1		0	1	1
41129008	41129008	7	1		1	2	3	3	0											101	201020101			2																										0.16;0.16;0.16;0.16;0.16;0.2		1	1	1
42129008	42129008	7	1		2	2	3	3	0											101	201010165			2	7	1	301	210010114	2																					0.14;0.14;0.14;0.14;0.14;0.14;0.16		2	1	1
43129008	43129008	33554431	1		3	2	25	25	0						33554431	1	-1	206020105	2	101	201010113			2																										1		0	1	1
41123008	41123008	7	1		1	2	3	3	1											102	212300801			2	7	1	-1	112300801	1																					1		1	1	1
42123008	42123008	7	1		2	2	3	3	0											101	212300802			2	7	1	-1	112300803	1																					0.3;0.3;0.4		2	1	1
43123008	43123008	33554431	1		3	2	25	25	0											101	212300803			2																										1		0	1	1
41116001	41116001	7	1		1	2	3	3	0											101	201010101			2																										0.16;0.16;0.16;0.16;0.16;0.2		1	1	1
42116001	42116001	7	1		2	1	3	3	0											301	111600101			1	7	1	301	111600106	1	7	2018	301	311600104	1	7	2018	301	311600108	1											1		2	1	1
43116001	43116001	33554431	1		3	2	25	25	0											101	201010169			2	33554431	1	301	202010401	2																					1		0	1	1
41137008	41137008	7	1		1	2	3	3	1											102	201030102			2																										1		1	1	1
42137008	42137008	7	1		2	2	3	3	0											101	201010135			2	7	1	-1	204020102	2																					1		2	1	1
43137008	43137008	33554431	1		3	2	25	25	0											101	201030103			2																										1		0	1	1
44137008	44137008	7	1		1	2	3	3	1											102	201030102			2	7	1	-1	204020102	2																					1		1	1	1
41129001	41129001	7	1		1	2	3	3	0											101	201010165			2	6	1	301	210010114	2																					0.16;0.16;0.16;0.16;0.16;0.2		1	1	1
42129001	42129001	7	1		2	2	3	3	0											101	201010176			2	7	2025	-1	102030101	1	7	1	-1	112900101	1																0.2;0.2;0.2;0.2;0.2		2	1	1
43129001	43129001	33554431	1		3	2	25	25	0											101	201010177			2	33554431	2013	-1	212900101	2	33554431	2013	-1	212900102	2	33554431	2013	-1	212900103	2	3072	2013	-1	212900104	2						1		0	1	1
44129001	44129001	33554431	1		3	2	25	25	0	33554431	1	-1	112900113	1	33554431	1	-1	112900114	1	101	201010177			2	33554431	2013	-1	212900101	2	33554431	2013	-1	212900102	2	33554431	2013	-1	212900103	2	3072	2013	-1	212900104	2						1		0	1	1
41140008	41140008	7	1		1	2	3	3	0											101	201210101			2																										1		1	1	1
42140008	42140008	7	1		2	2	3	3	1											102	201010174			2	7	1	-1	102030101	1																					0.5;0.5		2	1	1
43140008	43140008	33554431	1		3	2	25	25	1											102	201010175			2	33554431	1	145	201210102	2	1911	1	102	211010101	2																1		0	1	1
44140008	44140008	33554431	1		3	2	25	25	1											102	201010175			2	33554431	1	145	201210102	2	33554431	1	145	201210103	2																1		0	1	1
41109002	41109002	7	1		1	2	3	3	1											102	41109002			2	7	1	-1	110900201	1																					0.2;0.2;0.2;0.2;0.2		1	1	1
42109002	42109002	7	1		2	2	3	3	0											101	42109002			2	7	1	230	110900202	1																					0.25;0.25;0.25;0.25		2	1	1
43109002	43109002	33554431	1		3	2	25	25	1											102	43109002			2	33554431	1	202	110900203	1	33554431	1	301	110900204	1	33554431	1	202	110900223	1											1		0	1	1
44109002	44109002	33554431	2		4	1	25	25	1											301	45109002			2	33554431	1	202	46109002	2	33554431	1	202	47109002	2	33554431	1	310	110900205	1	33554431	2018	310	110900216	1	33554431	1	202	54109002	2	1		1	1	1
45109002	45109002	7	1		2	2	3	3	0											101	42109002			2	7	1	202	110900202	1																					1		2	1	1
511002001	511002001	1	1		1	2	1	1												101	201010101			2																										1		1	0	1
521002001	521002001	1	1		2	2	1	1												101	201010119			2	1	1	-1	112010151	1																					1		2	0	1
571002001	571002001	1	1		3	2	1	1												101	301090101			2																										1		0	0	1
521002002	521002002	1	1		2	2	1	1												101	201010119			2	1	1	-1	1100251	1																					1		2	0	1
511003001	511003001	1	1		1	2	1	1												101	201010101			2																										1		1	0	1
521003001	521003001	1	1		1	2	1	1												230	202010101			2																										1		2	0	1
571003001	571003001	1	1		3	2	1	1												101	301090101			2																										1		0	0	1
511004001	511004001	1	1		1	2	1	1												101	201010101			2																										1		1	0	1
521004001	521004001	1	1		2	1	1	1												102	102121101			1																										1		2	0	1
571004001	571004001	1	1		3	2	1	1												102	301090102			2																										1		0	0	1
511005001	511005001	1	1		1	2	1	1												101	201010135			2	1	1	-1	204050152	2																					1		1	0	1
521005001	521005001	1	1		1	2	1	1												102	201010102			2																										1		2	0	1
571005001	571005001	1	1		3	2	1	1												101	201070103			2																										1		0	0	1
511005003	511005003	1	1		1	2	1	1												101	201010101			2																										1		1	0	1
