taskAchId	before	taskContentType	taskContentId	taskContenNum	resetType	rewardId	rewardNum	openType	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
91704		1121	6000	1	2	3000013;3000002	250;125	0	1	在赛季中名次首次达到6000名	在賽季中名次首次達到6000名	Rank No. 6000 for the first time in the season.	今シーズンで初回6000位に入る	시즌 내 첫 랭킹 상위 6000위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 6,000​ เป็นครั้งแรก​
91705		1121	5000	1	2	3000013;3000002	300;150	0	1	在赛季中名次首次达到5000名	在賽季中名次首次達到5000名	Rank No. 5000 for the first time in the season.	今シーズンで初回5000位に入る	시즌 내 첫 랭킹 상위 5000위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 5,000​ เป็นครั้งแรก​
91706		1121	4000	1	2	3000013;3000002	350;175	0	1	在赛季中名次首次达到4000名	在賽季中名次首次達到4000名	Rank No. 4000 for the first time in the season.	今シーズンで初回4000位に入る	시즌 내 첫 랭킹 상위 4000위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 4,000​ เป็นครั้งแรก​
91707		1121	3000	1	2	3000013;3000002	400;200	0	1	在赛季中名次首次达到3000名	在賽季中名次首次達到3000名	Rank No. 3000 for the first time in the season.	今シーズンで初回3000位に入る	시즌 내 첫 랭킹 상위 3000위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 3,000​ เป็นครั้งแรก​
91708		1121	2000	1	2	3000013;3000002	450;225	0	1	在赛季中名次首次达到2000名	在賽季中名次首次達到2000名	Rank No. 2000 for the first time in the season.	今シーズンで初回2000位に入る	시즌 내 첫 랭킹 상위 2000위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 2,000​ เป็นครั้งแรก​
91709		1121	1000	1	2	3000013;3000002	500;250	0	1	在赛季中名次首次达到1000名	在賽季中名次首次達到1000名	Rank No. 1000 for the first time in the season.	今シーズンで初回1000位に入る	시즌 내 첫 랭킹 상위 1000위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 1,000​ เป็นครั้งแรก​
91710		1121	900	1	2	3000013;3000002	550;275	0	1	在赛季中名次首次达到900名	在賽季中名次首次達到900名	Rank No. 900 for the first time in the season.	今シーズンで初回900位に入る	시즌 내 첫 랭킹 상위 900위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 900​ เป็นครั้งแรก​
91711		1121	800	1	2	3000013;3000002	600;300	0	1	在赛季中名次首次达到800名	在賽季中名次首次達到800名	Rank No. 800 for the first time in the season.	今シーズンで初回800位に入る	시즌 내 첫 랭킹 상위 800위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 800​ เป็นครั้งแรก​
91712		1121	700	1	2	3000013;3000002	650;325	0	1	在赛季中名次首次达到700名	在賽季中名次首次達到700名	Rank No. 700 for the first time in the season.	今シーズンで初回700位に入る	시즌 내 첫 랭킹 상위 700위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 700​ เป็นครั้งแรก​
91713		1121	600	1	2	3000013;3000002	700;350	0	1	在赛季中名次首次达到600名	在賽季中名次首次達到600名	Rank No. 600 for the first time in the season.	今シーズンで初回600位に入る	시즌 내 첫 랭킹 상위 600위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 600​ เป็นครั้งแรก​
91714		1121	500	1	2	3000013;3000002	750;400	0	1	在赛季中名次首次达到500名	在賽季中名次首次達到500名	Rank No. 500 for the first time in the season.	今シーズンで初回500位に入る	시즌 내 첫 랭킹 상위 500위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 500​ เป็นครั้งแรก​
91715		1121	400	1	2	3000013;3000002	800;450	0	1	在赛季中名次首次达到400名	在賽季中名次首次達到400名	Rank No. 400 for the first time in the season.	今シーズンで初回400位に入る	시즌 내 첫 랭킹 상위 400위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 400​ เป็นครั้งแรก​
91716		1121	300	1	2	3000013;3000002	850;500	0	1	在赛季中名次首次达到300名	在賽季中名次首次達到300名	Rank No. 300 for the first time in the season.	今シーズンで初回300位に入る	시즌 내 첫 랭킹 상위 300위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 300​ เป็นครั้งแรก​
91717		1121	200	1	2	3000013;3000002	900;550	0	1	在赛季中名次首次达到200名	在賽季中名次首次達到200名	Rank No. 200 for the first time in the season.	今シーズンで初回200位に入る	시즌 내 첫 랭킹 상위 200위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 200​ เป็นครั้งแรก​
91718		1121	100	1	2	3000013;3000002	950;600	0	1	在赛季中名次首次达到100名	在賽季中名次首次達到100名	Rank No. 100 for the first time in the season.	今シーズンで初回100位に入る	시즌 내 첫 랭킹 상위 100위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 100​ เป็นครั้งแรก​
91719		1121	75	1	2	3000013;4190001	1000;400	0	1	在赛季中名次首次达到75名	在賽季中名次首次達到75名	Rank No. 75 for the first time in the season.	今シーズンで初回75位に入る	시즌 내 첫 랭킹 상위 75위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 75​ เป็นครั้งแรก​
91720		1121	50	1	2	3000013;4190001	1050;400	0	1	在赛季中名次首次达到50名	在賽季中名次首次達到50名	Rank No. 50 for the first time in the season.	今シーズンで初回50位に入る	시즌 내 첫 랭킹 상위 50위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 50​ เป็นครั้งแรก​
91721		1121	40	1	2	3000013;4190001	1100;400	0	1	在赛季中名次首次达到40名	在賽季中名次首次達到40名	Rank No. 40 for the first time in the season.	今シーズンで初回40位に入る	시즌 내 첫 랭킹 상위 40위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 40​ เป็นครั้งแรก​
91722		1121	30	1	2	3000013;4190001	1150;400	0	1	在赛季中名次首次达到30名	在賽季中名次首次達到30名	Rank No. 30 for the first time in the season.	今シーズンで初回30位に入る	시즌 내 첫 랭킹 상위 30위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 30​ เป็นครั้งแรก​
91723		1121	20	1	2	3000013;4190001	1200;400	0	1	在赛季中名次首次达到20名	在賽季中名次首次達到20名	Rank No. 20 for the first time in the season.	今シーズンで初回20位に入る	시즌 내 첫 랭킹 상위 20위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 20​ เป็นครั้งแรก​
91724		1121	10	1	2	3000013;4190001	1250;400	0	1	在赛季中名次首次达到10名	在賽季中名次首次達到10名	Rank No. 10 for the first time in the season.	今シーズンで初回10位に入る	시즌 내 첫 랭킹 상위 10위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 10​ เป็นครั้งแรก​
91725		1121	5	1	2	3000013;4190001	1300;500	0	1	在赛季中名次首次达到5名	在賽季中名次首次達到5名	Rank No. 5 for the first time in the season.	今シーズンで初回5位に入る	시즌 내 첫 랭킹 상위 5위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 5​ เป็นครั้งแรก​
91726		1121	4	1	2	3000013;4190001	1350;600	0	1	在赛季中名次首次达到4名	在賽季中名次首次達到4名	Rank No. 4 for the first time in the season.	今シーズンで初回4位に入る	시즌 내 첫 랭킹 상위 4위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 4​ เป็นครั้งแรก​
91727		1121	3	1	2	3000013;4190001	1400;700	0	1	在赛季中名次首次达到3名	在賽季中名次首次達到3名	Rank No. 3 for the first time in the season.	今シーズンで初回3位に入る	시즌 내 첫 랭킹 상위 3위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 3​ เป็นครั้งแรก​
91728		1121	2	1	2	3000013;4190001	1450;800	0	1	在赛季中名次首次达到2名	在賽季中名次首次達到2名	Rank No. 2 for the first time in the season.	今シーズンで初回2位に入る	시즌 내 첫 랭킹 상위 2위 달성	ใน​ซี​ซัน​มี​อันดับ​ถึง​ 2​ เป็นครั้งแรก​
91729		1121	1	1	2	3000013;4190001	1500;900	0	1	在赛季中名次首次达到1名	在賽季中名次首次達到1名	Rank No. 1 for the first time in the season.	今シーズンで初回1位になる	시즌 내 첫 랭킹 상위 1위 달성	ใน​ซี​ซัน​ได้​อันดับ​ 1​ เป็นครั้งแรก​
