id	openDay	isMainTask	Numtype	taskContentType	taskContentId	taskContenNum	rewardId	rewardNum	openType	openParameter	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	descr	descr_zh_TW	descr_en_UK	descr_ja_JP	descr_ko_KR	descr_th_TH
403	4		30	1116	1	35	4190001;3000003	50;10000	411		1	通关训练中枢35层	通關訓練中樞35層	Clear 35 Floors in Training Hub.	訓練中枢第35層をクリアする	훈련 허브 35층 클리어	ผ่าน​ศูนย์​การ​ฝึก​ชั้น​ที่​ 35​	通关训练中枢35层	通關訓練中樞35層	Clear 35 Floors in Training Hub.	訓練中枢第35層をクリアする	훈련 허브 35층 클리어	ผ่าน​ศูนย์​การ​ฝึก​ชั้น​ที่​ 35​
503	5		30	1116	1	40	4190001;3000003	50;10000	411		1	通关训练中枢40层	通關訓練中樞40層	Clear 40 Floors in Training Hub.	訓練中枢第40層をクリアする	훈련 허브 40층 클리어	ผ่าน​ศูนย์​การ​ฝึก​ชั้น​ที่​ 40​	通关训练中枢40层	通關訓練中樞40層	Clear 40 Floors in Training Hub.	訓練中枢第40層をクリアする	훈련 허브 40층 클리어	ผ่าน​ศูนย์​การ​ฝึก​ชั้น​ที่​ 40​
603	6		30	1116	1	45	4190001;3000003	50;10000	411		1	通关训练中枢45层	通關訓練中樞45層	Clear 45 Floors in Training Hub.	訓練中枢第45層をクリアする	훈련 허브 45층 클리어	ผ่าน​ศูนย์​การ​ฝึก​ชั้น​ที่​ 45​	通关训练中枢45层	通關訓練中樞45層	Clear 45 Floors in Training Hub.	訓練中枢第45層をクリアする	훈련 허브 45층 클리어	ผ่าน​ศูนย์​การ​ฝึก​ชั้น​ที่​ 45​
703	7		30	1116	1	50	4190001;3000003	50;10000	411		1	通关训练中枢50层	通關訓練中樞50層	Clear 50 Floors in Training Hub.	訓練中枢第50層をクリアする	훈련 허브 50층 클리어	ผ่าน​ศูนย์​การ​ฝึก​ชั้น​ที่​ 50​	通关训练中枢50层	通關訓練中樞50層	Clear 50 Floors in Training Hub.	訓練中枢第50層をクリアする	훈련 허브 50층 클리어	ผ่าน​ศูนย์​การ​ฝึก​ชั้น​ที่​ 50​
104	1		40	7	3000004	500	4101001;3000003	5;6000	0		1	累计消耗500情绪	累計消耗500情緒	Consume 500 Pathos in total.	エモーションを合計500消費する	이모션 누적 500 소모	ใช้พาโธส 500 หน่วย	累计消耗500情绪	累計消耗500情緒	Consume 500 Pathos in total.	エモーションを合計500消費する	이모션 누적 500 소모	ใช้พาโธส 500 หน่วย
204	2		40	7	3000004	1000	4101001;3000003	10;6000	0		1	累计消耗1000情绪	累計消耗1000情緒	Consume 1,000 Pathos in total.	エモーションを合計1000消費する	이모션 누적 1000 소모	ใช้​พา​โธส​ 1,000​ หน่วย​	累计消耗1000情绪	累計消耗1000情緒	Consume 1,000 Pathos in total.	エモーションを合計1000消費する	이모션 누적 1000 소모	ใช้​พา​โธส​ 1,000​ หน่วย​
304	3		40	7	3000004	1500	4101001;3000003	15;6000	0		1	累计消耗1500情绪	累計消耗1500情緒	Consume 1,500 Pathos in total.	エモーションを合計1500消費する	이모션 누적 1500 소모	ใช้​พา​โธส​ 1,500​ หน่วย​	累计消耗1500情绪	累計消耗1500情緒	Consume 1,500 Pathos in total.	エモーションを合計1500消費する	이모션 누적 1500 소모	ใช้​พา​โธส​ 1,500​ หน่วย​
404	4		40	7	3000004	2000	4101002;3000003	5;6000	0		1	累计消耗2000情绪	累計消耗2000情緒	Consume 2,000 Pathos in total.	エモーションを合計2000消費する	이모션 누적 2000 소모	ใช้​พา​โธส​ 2,000​ หน่วย​	累计消耗2000情绪	累計消耗2000情緒	Consume 2,000 Pathos in total.	エモーションを合計2000消費する	이모션 누적 2000 소모	ใช้​พา​โธส​ 2,000​ หน่วย​
504	5		40	7	3000004	2500	4101002;3000003	10;6000	0		1	累计消耗2500情绪	累計消耗2500情緒	Consume 2,500 Pathos in total.	エモーションを合計2500消費する	이모션 누적 2500 소모	ใช้​พา​โธส​ 2,500​ หน่วย​	累计消耗2500情绪	累計消耗2500情緒	Consume 2,500 Pathos in total.	エモーションを合計2500消費する	이모션 누적 2500 소모	ใช้​พา​โธส​ 2,500​ หน่วย​
604	6		40	7	3000004	3000	4101002;3000003	15;6000	0		1	累计消耗3000情绪	累計消耗3000情緒	Consume 3,000 Pathos in total.	エモーションを合計3000消費する	이모션 누적 3000 소모	ใช้​พา​โธส​ 3,000​ หน่วย​	累计消耗3000情绪	累計消耗3000情緒	Consume 3,000 Pathos in total.	エモーションを合計3000消費する	이모션 누적 3000 소모	ใช้​พา​โธส​ 3,000​ หน่วย​
704	7		40	7	3000004	3500	4101003;3000003	5;6000	0		1	累计消耗3500情绪	累計消耗3500情緒	Consume 3,500 Pathos in total.	エモーションを合計3500消費する	이모션 누적 3500 소모	ใช้​พา​โธส​ 3,500​ หน่วย​	累计消耗3500情绪	累計消耗3500情緒	Consume 3,500 Pathos in total.	エモーションを合計3500消費する	이모션 누적 3500 소모	ใช้​พา​โธส​ 3,500​ หน่วย​
105	1		50	1403	0	5	3000016;4199001	100;5	517		1	累计配送5个外卖订单	累計配送5個外賣訂單	Complete 5 delivery orders in total.	出前を5回完了する	배달 주문 누적 5건	ส่งอาหาร 5 ออเดอร์	累计配送5个外卖订单	累計配送5個外賣訂單	Complete 5 delivery orders in total.	出前を5回完了する	배달 주문 누적 5건	ส่งอาหาร 5 ออเดอร์
205	2		50	1403	0	10	3000016;4199001	100;10	517		1	累计配送10个外卖订单	累計配送10個外賣訂單	Complete 10 delivery orders in total.	出前を10回完了する	배달 주문 누적 10건	ส่งอาหาร 10 ออเดอร์	累计配送10个外卖订单	累計配送10個外賣訂單	Complete 10 delivery orders in total.	出前を10回完了する	배달 주문 누적 10건	ส่งอาหาร 10 ออเดอร์
305	3		50	1403	0	15	3000016;4199001	100;15	517		1	累计配送15个外卖订单	累計配送15個外賣訂單	Complete 15 delivery orders in total.	出前を15回完了する	배달 주문 누적 15건	ส่งอาหาร 15 ออเดอร์	累计配送15个外卖订单	累計配送15個外賣訂單	Complete 15 delivery orders in total.	出前を15回完了する	배달 주문 누적 15건	ส่งอาหาร 15 ออเดอร์
405	4		50	1403	0	20	3000016;4199001	100;20	517		1	累计配送20个外卖订单	累計配送20個外賣訂單	Complete 20 delivery orders in total.	出前を20回完了する	배달 주문 누적 20건	ส่งอาหาร 20 ออเดอร์	累计配送20个外卖订单	累計配送20個外賣訂單	Complete 20 delivery orders in total.	出前を20回完了する	배달 주문 누적 20건	ส่งอาหาร 20 ออเดอร์
505	5		50	1403	0	25	3000016;4199001	200;25	517		1	累计配送25个外卖订单	累計配送25個外賣訂單	Complete 25 delivery orders in total.	出前を25回完了する	배달 주문 누적 25건	ส่งอาหาร 25 ออเดอร์	累计配送25个外卖订单	累計配送25個外賣訂單	Complete 25 delivery orders in total.	出前を25回完了する	배달 주문 누적 25건	ส่งอาหาร 25 ออเดอร์
605	6		50	1403	0	30	3000016;4199001	200;30	517		1	累计配送30个外卖订单	累計配送30個外賣訂單	Complete 30 delivery orders in total.	出前を30回完了する	배달 주문 누적 30건	ส่งอาหาร 30 ออเดอร์	累计配送30个外卖订单	累計配送30個外賣訂單	Complete 30 delivery orders in total.	出前を30回完了する	배달 주문 누적 30건	ส่งอาหาร 30 ออเดอร์
705	7		50	1403	0	35	3000016;4199001	200;40	517		1	累计配送35个外卖订单	累計配送35個外賣訂單	Complete 35 delivery orders in total.	出前を35回完了する	배달 주문 누적 35건	ส่งอาหาร 35 ออเดอร์	累计配送35个外卖订单	累計配送35個外賣訂單	Complete 35 delivery orders in total.	出前を35回完了する	배달 주문 누적 35건	ส่งอาหาร 35 ออเดอร์
306	3		60	1405	0	3	3000016	1500	518		1	累计配送3次离岛空运	累計配送3次離島空運	Complete 3 Air Express deliveries in total.	離島空便を3回完了する	항공 운송 누적 3회	ขนส่ง​ทางอากาศ​ครบ​ 3​ ครั้ง​	累计配送3次离岛空运	累計配送3次離島空運	Complete 3 Air Express deliveries in total.	離島空便を3回完了する	항공 운송 누적 3회	ขนส่ง​ทางอากาศ​ครบ​ 3​ ครั้ง​
506	5		60	1405	0	5	3000016	2300	518		1	累计配送5次离岛空运	累計配送5次離島空運	Complete 5 Air Express deliveries in total.	離島空便を5回完了する	항공 운송 누적 5회	ขนส่ง​ทางอากาศ​ครบ​ 5​ ครั้ง​	累计配送5次离岛空运	累計配送5次離島空運	Complete 5 Air Express deliveries in total.	離島空便を5回完了する	항공 운송 누적 5회	ขนส่ง​ทางอากาศ​ครบ​ 5​ ครั้ง​
706	7		60	1405	0	7	3000016	3200	518		1	累计配送7次离岛空运	累計配送7次離島空運	Complete 7 Air Express deliveries in total.	離島空便を7回完了する	항공 운송 누적 7회	ขนส่ง​ทางอากาศ​ครบ​ 7​ ครั้ง​	累计配送7次离岛空运	累計配送7次離島空運	Complete 7 Air Express deliveries in total.	離島空便を7回完了する	항공 운송 누적 7회	ขนส่ง​ทางอากาศ​ครบ​ 7​ ครั้ง​
207	2		70	1701	2	1	4100011;4110001	10;5	701		1	累计将任意1件装备升至2星	累計將任意1件裝備升至2星	Upgrade 1 piece of equipment to 2★.	1個の装備を★2に昇格する	임의의 장비 누적 1개를 2★까지 승급	อัปเกรด​อุปกรณ์​ 1​ ชิ้น​ ให้​ถึง​ 2★​	累计将任意1件装备升至2星	累計將任意1件裝備升至2星	Upgrade 1 piece of equipment to 2★.	1個の装備を★2に昇格する	임의의 장비 누적 1개를 2★까지 승급	อัปเกรด​อุปกรณ์​ 1​ ชิ้น​ ให้​ถึง​ 2★​
307	3		71	1701	3	1	4100011;4110001	10;5	701		1	累计将任意1件装备升至3星	累計將任意1件裝備升至3星	Upgrade 1 piece of equipment to 3★.	1個の装備を★3に昇格する	임의의 장비 누적 1개를 3★까지 승급	อัปเกรด​อุปกรณ์​ 1​ ชิ้น​ ให้​ถึง​ 3★​	累计将任意1件装备升至3星	累計將任意1件裝備升至3星	Upgrade 1 piece of equipment to 3★.	1個の装備を★3に昇格する	임의의 장비 누적 1개를 3★까지 승급	อัปเกรด​อุปกรณ์​ 1​ ชิ้น​ ให้​ถึง​ 3★​
407	4		71	1701	3	3	4100011;4110001	10;5	701		1	累计将任意3件装备升至3星	累計將任意3件裝備升至3星	Upgrade any 3 pieces of equipment to 3★.	3個の装備を★3に昇格する	임의 장비 3개  3★까지 승급	อัปเกรด​อุปกรณ์​ 3​ ชิ้น​ ให้​ถึง​ 3★​	累计将任意3件装备升至3星	累計將任意3件裝備升至3星	Upgrade any 3 pieces of equipment to 3★.	3個の装備を★3に昇格する	임의 장비 3개  3★까지 승급	อัปเกรด​อุปกรณ์​ 3​ ชิ้น​ ให้​ถึง​ 3★​
507	5		71	1701	3	6	4100011;4110001	30;10	701		1	累计将任意6件装备升至3星	累計將任意6件裝備升至3星	Upgrade 6 pieces of equipment to 3★.	6個の装備を★3に昇格する	임의의 장비 누적 6개를 3★까지 승급	อัปเกรด​อุปกรณ์​ 6​ ชิ้น​ ให้​ถึง​ 3★​	累计将任意6件装备升至3星	累計將任意6件裝備升至3星	Upgrade 6 pieces of equipment to 3★.	6個の装備を★3に昇格する	임의의 장비 누적 6개를 3★까지 승급	อัปเกรด​อุปกรณ์​ 6​ ชิ้น​ ให้​ถึง​ 3★​
607	6		71	1701	3	9	4100011;4110001	30;10	701		1	累计将任意9件装备升至3星	累計將任意9件裝備升至3星	Upgrade any 9 pieces of equipment to 3★.	9個の装備を★3に昇格する	임의 장비 9개  3★까지 승급	อัปเกรด​อุปกรณ์​ 9​ ชิ้น​ ให้​ถึง​ 3★​	累计将任意9件装备升至3星	累計將任意9件裝備升至3星	Upgrade any 9 pieces of equipment to 3★.	9個の装備を★3に昇格する	임의 장비 9개  3★까지 승급	อัปเกรด​อุปกรณ์​ 9​ ชิ้น​ ให้​ถึง​ 3★​
707	7		71	1701	3	12	4100011;4110001	30;10	701		1	累计将任意12件装备升至3星	累計將任意12件裝備升至3星	Upgrade 12 pieces of equipment to 3★.	12個の装備を★3に昇格する	임의의 장비 누적 12개를 3★까지 승급	อัปเกรด​อุปกรณ์​ 12​ ชิ้น​ ให้​ถึง​ 3★​	累计将任意12件装备升至3星	累計將任意12件裝備升至3星	Upgrade 12 pieces of equipment to 3★.	12個の装備を★3に昇格する	임의의 장비 누적 12개를 3★까지 승급	อัปเกรด​อุปกรณ์​ 12​ ชิ้น​ ให้​ถึง​ 3★​
308	3		80	1103	0	1	4102021;3000003	1;20000	236		1	累计通关1场协力战	累計通關1場協力戰	Complete 1 Invasion battle.	協同作戦を1回クリアする	협력전 누적 1회 클리어	เคลียร์ผนึกกำลัง 1 รอบ	累计通关1场协力战	累計通關1場協力戰	Complete 1 Invasion battle.	協同作戦を1回クリアする	협력전 누적 1회 클리어	เคลียร์ผนึกกำลัง 1 รอบ
408	4		80	1103	0	3	4102021;3000003	2;30000	236		1	累计通关3场协力战	累計通關3場協力戰	Complete 3 Invasion battles.	協同作戦を3回クリアする	협력전 누적 3회 클리어	เคลียร์ผนึกกำลัง 3 รอบ	累计通关3场协力战	累計通關3場協力戰	Complete 3 Invasion battles.	協同作戦を3回クリアする	협력전 누적 3회 클리어	เคลียร์ผนึกกำลัง 3 รอบ
508	5		80	1103	0	5	4102021;3000003	3;40000	236		1	累计通关5场协力战	累計通關5場協力戰	Complete 5 Invasion battles.	協同作戦を5回クリアする	협력전 누적 5회 클리어	เคลียร์ผนึกกำลัง 5 รอบ	累计通关5场协力战	累計通關5場協力戰	Complete 5 Invasion battles.	協同作戦を5回クリアする	협력전 누적 5회 클리어	เคลียร์ผนึกกำลัง 5 รอบ
608	6		80	1103	0	7	4102021;3000003	4;50000	236		1	累计通关7场协力战	累計通關7場協力戰	Complete 7 Invasion battles.	協同作戦を7回クリアする	협력전 누적 7회 클리어	เคลียร์ผนึกกำลัง 7 รอบ	累计通关7场协力战	累計通關7場協力戰	Complete 7 Invasion battles.	協同作戦を7回クリアする	협력전 누적 7회 클리어	เคลียร์ผนึกกำลัง 7 รอบ
708	7		80	1103	0	10	4102021;3000003	5;60000	236		1	累计通关10场协力战	累計通關10場協力戰	Complete 10 Invasion battles.	協同作戦を10回クリアする	협력전 누적 10회 클리어	เคลียร์​ผนึก​กำลัง​ 10​ รอบ​	累计通关10场协力战	累計通關10場協力戰	Complete 10 Invasion battles.	協同作戦を10回クリアする	협력전 누적 10회 클리어	เคลียร์​ผนึก​กำลัง​ 10​ รอบ​
309	3		90	252		1	3000011;4110001	100;2	721		1	累计参与1场天梯竞技场	累計參與1場天梯競技場	Complete 1 battle in the Arena.	アリーナランク戦に1回出場する	래더 아레나 누적 1회 참여	เข้าร่วม​สกาย​อารี​น่า​ 1​ รอบ​	累计参与1场天梯竞技场	累計參與1場天梯競技場	Complete 1 battle in the Arena.	アリーナランク戦に1回出場する	래더 아레나 누적 1회 참여	เข้าร่วม​สกาย​อารี​น่า​ 1​ รอบ​
409	4		90	252		2	3000011;4110001	200;2	721		1	累计参与2场天梯竞技场	累計參與2場天梯競技場	Complete 2 battles in the Arena.	アリーナランク戦に2回出場する	래더 아레나 누적 2회 참여	เข้าร่วม​สกาย​อารี​น่า​ 2​ รอบ​	累计参与2场天梯竞技场	累計參與2場天梯競技場	Complete 2 battles in the Arena.	アリーナランク戦に2回出場する	래더 아레나 누적 2회 참여	เข้าร่วม​สกาย​อารี​น่า​ 2​ รอบ​
509	5		90	252		3	3000011;4110001	300;2	721		1	累计参与3场天梯竞技场	累計參與3場天梯競技場	Complete 3 battles in the Arena.	アリーナランク戦に3回出場する	래더 아레나 누적 3회 참여	เข้าร่วม​สกาย​อารี​น่า​ 3​ รอบ​	累计参与3场天梯竞技场	累計參與3場天梯競技場	Complete 3 battles in the Arena.	アリーナランク戦に3回出場する	래더 아레나 누적 3회 참여	เข้าร่วม​สกาย​อารี​น่า​ 3​ รอบ​
609	6		90	252		4	3000011;4110001	400;2	721		1	累计参与4场天梯竞技场	累計參與4場天梯競技場	Complete 4 battles in the Arena.	アリーナランク戦に4回出場する	래더 아레나 누적 4회 참여	เข้าร่วม​สกาย​อารี​น่า​ 4​ รอบ​	累计参与4场天梯竞技场	累計參與4場天梯競技場	Complete 4 battles in the Arena.	アリーナランク戦に4回出場する	래더 아레나 누적 4회 참여	เข้าร่วม​สกาย​อารี​น่า​ 4​ รอบ​
709	7		90	252		5	3000011;4110001	500;2	721		1	累计参与5场天梯竞技场	累計參與5場天梯競技場	Complete 5 battles in the Arena.	アリーナランク戦に5回出場する	래더 아레나 누적 5회 참여	เข้าร่วม​สกาย​อารี​น่า​ 5​ รอบ​	累计参与5场天梯竞技场	累計參與5場天梯競技場	Complete 5 battles in the Arena.	アリーナランク戦に5回出場する	래더 아레나 누적 5회 참여	เข้าร่วม​สกาย​อารี​น่า​ 5​ รอบ​
610	6		100	1106		2	3000013;4110001	200;2	722		1	累计参与2场幻影斗技场	累計參與2場幻影鬥技場	Complete 2 battles in Phantom Clash.	ファントム闘技場に2回出場する	팬텀 투기장 누적 2회 참여	เข้าร่วม​แฟน​ธอม​อารี​น่า​สะสม​ 2​ ครั้ง​	累计参与2场幻影斗技场	累計參與2場幻影鬥技場	Complete 2 battles in Phantom Clash.	ファントム闘技場に2回出場する	팬텀 투기장 누적 2회 참여	เข้าร่วม​แฟน​ธอม​อารี​น่า​สะสม​ 2​ ครั้ง​
710	7		100	1106		5	3000013;4110001	500;2	722		1	累计参与5场幻影斗技场	累計參與5場幻影鬥技場	Complete 5 battles in Phantom Clash.	ファントム闘技場に5回出場する	팬텀 투기장 누적 5회 참여	เข้าร่วม​แฟน​ธอม​อารี​น่า​สะสม​ 5​ ครั้ง​	累计参与5场幻影斗技场	累計參與5場幻影鬥技場	Complete 5 battles in Phantom Clash.	ファントム闘技場に5回出場する	팬텀 투기장 누적 5회 참여	เข้าร่วม​แฟน​ธอม​อารี​น่า​สะสม​ 5​ ครั้ง​
211	2		110	1602		10	3000018;3000003	60;1000	522		1	累计召唤10次猫球	累計召喚10次貓球	Summon Catos 10 times in total.	ガトガチャを10回引く	냥냥볼 누적 10회 소환	จุ่ม​แค​ทบ​อล​สะสม​ 10​ ครั้ง​	累计召唤10次猫球	累計召喚10次貓球	Summon Catos 10 times in total.	ガトガチャを10回引く	냥냥볼 누적 10회 소환	จุ่ม​แค​ทบ​อล​สะสม​ 10​ ครั้ง​
311	3		110	1602		15	3000018;3000003	120;1500	522		1	累计召唤15次猫球	累計召喚15次貓球	Summon Catos 15 times in total.	ガトガチャを15回引く	냥냥볼 누적 15회 소환	จุ่ม​แค​ทบ​อล​สะสม​ 15​ ครั้ง​	累计召唤15次猫球	累計召喚15次貓球	Summon Catos 15 times in total.	ガトガチャを15回引く	냥냥볼 누적 15회 소환	จุ่ม​แค​ทบ​อล​สะสม​ 15​ ครั้ง​
411	4		110	1602		20	3000018;3000003	180;2000	522		1	累计召唤20次猫球	累計召喚20次貓球	Summon Catos 20 times in total.	ガトガチャを20回引く	냥냥볼 누적 20회 소환	จุ่ม​แค​ทบ​อล​สะสม​ 20​ ครั้ง​	累计召唤20次猫球	累計召喚20次貓球	Summon Catos 20 times in total.	ガトガチャを20回引く	냥냥볼 누적 20회 소환	จุ่ม​แค​ทบ​อล​สะสม​ 20​ ครั้ง​
511	5		110	1602		25	3000018;3000003	240;2500	522		1	累计召唤25次猫球	累計召喚25次貓球	Summon Catos 25 times in total.	ガトガチャを25回引く	냥냥볼 누적 25회 소환	จุ่ม​แค​ทบ​อล​สะสม​ 25​ ครั้ง​	累计召唤25次猫球	累計召喚25次貓球	Summon Catos 25 times in total.	ガトガチャを25回引く	냥냥볼 누적 25회 소환	จุ่ม​แค​ทบ​อล​สะสม​ 25​ ครั้ง​
611	6		110	1602		30	3000018;3000003	300;3000	522		1	累计召唤30次猫球	累計召喚30次貓球	Summon Catos 30 times in total.	ガトガチャを30回引く	냥냥볼 누적 30회 소환	จุ่ม​แค​ทบ​อล​สะสม​ 30​ ครั้ง​	累计召唤30次猫球	累計召喚30次貓球	Summon Catos 30 times in total.	ガトガチャを30回引く	냥냥볼 누적 30회 소환	จุ่ม​แค​ทบ​อล​สะสม​ 30​ ครั้ง​
711	7		110	1602		35	3000018;3000003	300;3500	522		1	累计召唤35次猫球	累計召喚35次貓球	Summon Catos 35 times in total.	ガトガチャを35回引く	냥냥볼 누적 35회 소환	จุ่ม​แค​ทบ​อล​สะสม​ 35​ ครั้ง​	累计召唤35次猫球	累計召喚35次貓球	Summon Catos 35 times in total.	ガトガチャを35回引く	냥냥볼 누적 35회 소환	จุ่ม​แค​ทบ​อล​สะสม​ 35​ ครั้ง​
