id	unlockId	taskContentType	taskContentId	taskContenNum	rewardId	rewardNum	openType	openParameter	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
10	0	104	5	8	4190004;3000002	200;200			1	将<color=#ff4dc0>8</color>个战斗员星级提升到<color=#ff4dc0>5</color>星	將<color=#ff4dc0>8</color>個戰鬥員星級提升到<color=#ff4dc0>5</color>星	Upgrade <color=#ff4dc0>8</color> Combatants to <color=#ff4dc0>5</color>★.	任意の戦闘員<color=#ff4dc0>8</color>名を<color=#ff4dc0>5</color>回突破する	전투원 <color=#ff4dc0>8</color>명의 별 등급 <color=#ff4dc0>5</color>★ 달성	เพิ่มดาวตัวละครใดก็ได้ <color=#ff4dc0>8</color> คน ให้เป็น <color=#ff4dc0>5</color>★
11		1202	101008	5	5200010;4102011;3000003	300;100;500000			1	自由轮滑突破至UR	自由輪滑突破至UR	Ascend Freestyle Skater to UR.	「フリースケーティング」UR突破	프리 스케이팅 UR까지 돌파 완료	ปลดลิมิต​โรลเลอร์เบลด​ถึงระดับ​ UR​
12		1201	101008	45	5200010;4102011;4102901;4101001	300;150;4;900			1	自由轮滑升级至45	自由輪滑升級至45	Raise Freestyle Skater to Level 45.	「フリースケーティング」レベルアップ・Lv.45	프리 스케이팅 45까지 레벨업 완료	อัปโรลเลอร์เบลดถึง Lv.45
13		110	101008	1	4103002;3000003	100;20000			1	自由轮滑升至1星	自由輪滑升至1星	Upgrade Freestyle Skater to 1★.	「フリースケーティング」昇格・1	프리 스케이팅 별 등급 1★ 달성	อัปโรลเลอร์เบลดเป็น 1★
14		110	101008	2	4103002;3000003	100;40000			1	自由轮滑升至2星	自由輪滑升至2星	Upgrade Freestyle Skater to 2★.	「フリースケーティング」昇格・2	프리 스케이팅 별 등급 2★ 달성	อัปโรลเลอร์เบลดเป็น 2★
15		110	101008	3	4103002;3000003	100;60000			1	自由轮滑升至3星	自由輪滑升至3星	Upgrade Freestyle Skater to 3★.	「フリースケーティング」昇格・3	프리 스케이팅 별 등급 3★ 달성	อัปโรลเลอร์เบลดเป็น 3★
16		110	101008	4	4103002;3000003	200;80000			1	自由轮滑升至4星	自由輪滑升至4星	Upgrade Freestyle Skater to 4★.	「フリースケーティング」昇格・4	프리 스케이팅 별 등급 4★ 달성	อัปโรลเลอร์เบลดเป็น 4★
17		110	101008	5	4103002;3000003	200;100000			1	自由轮滑升至5星	自由輪滑升至5星	Upgrade Freestyle Skater to 5★.	「フリースケーティング」昇格・5	프리 스케이팅 별 등급 5★ 달성	อัปโรลเลอร์เบลดเป็น 5★
18		110	101008	6	4103002;3000003	200;120000			1	自由轮滑升至6星	自由輪滑升至6星	Upgrade Freestyle Skater to 6★.	「フリースケーティング」昇格・6	프리 스케이팅 별 등급 6★ 달성	อัปโรลเลอร์เบลดเป็น 6★
19		1219	101008	20	5200011;3000003	500;100000			1	自由轮滑任意时装强化至20级	自由輪滑任意時裝強化至20級	Upgrade any outfit of Freestyle Skater to Level 20.	「フリースケーティング」外観強化・Lv.20	프리 스케이팅의 임의 스킨 20레벨까지 강화 완료	ตีบวกคอสตูมใดก็ได้ของโรลเลอร์เบลดถึง Lv.20
20		1219	101008	40	5200011;3000003	1000;150000			1	自由轮滑任意时装强化至40级	自由輪滑任意時裝強化至40級	Upgrade any outfit of Freestyle Skater to Level 40.	「フリースケーティング」外観強化・Lv.60	프리 스케이팅의 임의 스킨 40레벨까지 강화 완료	ตีบวกคอสตูมใดก็ได้ของโรลเลอร์เบลดถึง Lv.40
