id	activetyId	chapter	type	unlockItem	unlockNum	unlockPlot	endFlag	regionId	plotImage	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	plotDesc	plotDesc_zh_TW	plotDesc_en_UK	plotDesc_ja_JP	plotDesc_ko_KR	plotDesc_th_TH
1033	1	103	1	9000006	100	1032	0	12060110	102:nightcat_plot_img_cover103	1	暗夜猫线3-3	暗夜貓線3-3	Night Cat Story 3-3	ダークキャットルート3-3	다크나이트 캣 스토리 3-3	เส้นทางไนต์แคท 3-3	任何事物都有可能成为下一个线索……	任何事物都有可能成為下一個線索……	Anything can potentially become the next clue...	どんなものも次の手がかりになる可能性がある。	어떠한 것도 다음 단서가 될 수 있어…	ทุกสิ่ง​ล้วน​มีโอกาส​กลายเป็น​เบาะแส​ชิ้น​ต่อไป​ได้​ทั้งนั้น​...​
1034	1	103	1	9000006	100	1033	1	12060111	102:nightcat_plot_img_cover103	1	暗夜猫线3-4	暗夜貓線3-4	Night Cat Story 3-4	ダークキャットルート3-4	다크나이트 캣 스토리 3-4	เส้นทางไนต์แคท 3-4	在证据面前，哪怕事实再荒谬，那都是真相。	在證據面前，哪怕事實再荒謬，那都是真相。	In the face of evidence, even if the facts seem absurd, they still hold the truth.	証拠の前では、事実がどれほど荒唐無稽でも、それは真実だ。	진실이 아무리 황당하다고 해도, 증거 앞에서는 그것이 바로 진실을 인정할 수밖에 없어	ต่อให้​ความจริง​จะ​น่า​เหลือเชื่อ​สัก​แค่​ไหน​ แต่​ใน​เมื่อ​มี​หลักฐาน​อยู่​ตรงหน้า​แล้ว​ นั่น​ก็​คือ​ความจริง​
1111	1	111	1	9000006	100	0	0	12060112	102:nightcat_plot_img_cover111	1	贝克猫线1-1	貝克貓線1-1	Baker's Cafe Story 1-1	ベイカーキャットルート1-1	베이커캣 스토리 1-1	เส้นทางเบเกอร์แคท 1-1	特莉丝不见了？！我们快去找她吧！	特莉絲不見了？！我們快去找她吧！	Triss is missing? Let's go find her!	トリスがいなくなった？！早く探しに行こう！	트리스가 보이지 않는데?! 어서 가서 찾아보자!	ท​ริ​สหาย​ตัว​ไป​งั้น​เหรอ​?!​ รีบ​ไป​ตามหา​เธอ​กัน​เถอะ​!​
1112	1	111	1	9000006	100	1111	0	12060113	102:nightcat_plot_img_cover111	1	贝克猫线1-2	貝克貓線1-2	Baker's Cafe Story 1-2	ベイカーキャットルート1-2	베이커캣 스토리 1-2	เส้นทางเบเกอร์แคท 1-2	来到贵族学校？受邀出席茶会？这怎么能错过呢！	來到貴族學校？受邀出席茶會？這怎麼能錯過呢！	Attending a prestigious school? Invited to a tea party? We can't miss out on those!	目が覚めると、貴族学校の生徒に？！しかも生徒会長にお茶会に誘われた？そんなの見逃す訳にはいかない！	귀족학교에 왔다고? 티타임에 초대받았다고? 이 기회를 놓칠 순 없잖아!	ได้มา​ที่​โรงเรียน​ของ​เหล่า​คุณหนู​คุณชาย​ แถม​ยัง​ได้​รับเชิญ​ไป​งานเลี้ยง​น้ำชา​อีก​ แบบนี้​จะ​พลาด​ได้​ยังไง​กัน​ล่ะ​!​
1113	1	111	2	9000006	100	1112	0	12060114	102:nightcat_plot_img_cover111	1	贝克猫线1-3	貝克貓線1-3	Baker's Cafe Story 1-3	ベイカーキャットルート1-3	베이커캣 스토리 1-3	เส้นทางเบเกอร์แคท 1-3	终于找到特莉丝了，不过看来我们陷入了麻烦之中呢……	終於找到特莉絲了，不過看來我們陷入了麻煩之中呢……	Finally found Triss, but it seems like we've gotten ourselves into trouble...	やっとトリスを見つけた！でも、どうやら私たちは厄介な状況に陥ったね…	드디어 트리스를 만났는데, 우리가 조금 귀찮은 일에 얽힌 것 아닐까…	ในที่สุด​ก็ได้​เจอ​กับ​ท​ริ​ส​แล้ว​ แต่​ดูท่า​พวกเรา​คงจะ​ตก​อยู่​ใน​สถานการณ์​ลำบาก​ซะ​แล้ว​สิ​...​
1114	1	111	1	9000006	100	1113	1	12060115	102:nightcat_plot_img_cover111	1	贝克猫线1-4	貝克貓線1-4	Baker's Cafe Story 1-4	ベイカーキャットルート1-4	베이커캣 스토리 1-4	เส้นทางเบเกอร์แคท 1-4	糟糕，这个世界远比我们想的要复杂……	糟糕，這個世界遠比我們想的要複雜……	Oh no! The world is more complicated than we thought...	しまった、この世界は想像したより遥かに複雑かもしれない。	큰일이야. 이 세계는 우리가 생각하는 것보다 복잡할지도 몰라	แย่​แล้ว​...​ โลก​นี้​มัน​ซับซ้อน​กว่า​ที่​พวกเรา​คิด​ไว้​ซะ​อี​ก.​..​
1121	1	112	1	9000006	100	0	0	12060116	102:nightcat_plot_img_cover112	1	贝克猫线2-1	貝克貓線2-1	Baker's Cafe Story 2-1	ベイカーキャットルート2-1	베이커캣 스토리 2-1	เส้นทางเบเกอร์แคท 2-1	那个“怪盗”真正想要盗取的是什么？	那個“怪盜”真正想要盜取的是什麼？	What is the true target of the elusive "Phantom Thief"?	「怪盗」が本当に盗みたいのは…？	그 '괴도'가 정말로 훔치려고 했던 건 뭘까?	สิ่ง​ที่​ "​จอม​โจร​"​ คน​นั้น​ต้อง​การขโมย​มัน​คือ​อะไร​กัน​แน่​นะ​?​
1122	1	112	1	9000006	100	1121	0	12060117	102:nightcat_plot_img_cover112	1	贝克猫线2-2	貝克貓線2-2	Baker's Cafe Story 2-2	ベイカーキャットルート2-2	베이커캣 스토리 2-2	เส้นทางเบเกอร์แคท 2-2	少女漫画的主角竟然会有这种烦恼……	少女漫畫的主角竟然會有這種煩惱……	The protagonist of a shojo manga actually has these worries...	少女漫画のヒロインがこんな悩みを抱えているとは…	순정 만화의 주인공한테 이런 고민이 있을 줄이야...	นางเอก​การ์ตูน​โชโจ​เอง​ก็​มีเรื่อง​ให้​กลุ้มใจ​แบบนี้​เหมือนกัน​สิ​นะ​...​
1123	1	112	1	9000006	100	1122	1	12060118	102:nightcat_plot_img_cover112	1	贝克猫线2-3	貝克貓線2-3	Baker's Cafe Story 2-3	ベイカーキャットルート2-3	베이커캣 스토리 2-3	เส้นทางเบเกอร์แคท 2-3	偶尔也需要这样敞开心扉，不过……	偶爾也需要這樣敞開心扉，不過……	It's nice to open up once in a while, but...	たまにはこうして心を開くことも重要だ。でも…	가끔은 이렇게 속 시원하게 털어놔야 해. 하지만...	บางครั้ง​การ​เปิดใจ​แบบนี้​ก็ดี​เหมือนกัน​นะ​ แต่ว่า​...​
1211	1	121	1	9000006	150	0	0	12060119	102:nightcat_plot_img_cover121	1	共通线-1	共通線-1	Shared Story 1	共通ルート-1	공통 스토리-1	เส้นทางร่วม 1	这次的修学旅行看来也不平静呢……	這次的修學旅行看來也不平靜呢……	This school trip doesn't seem to be peaceful either...	平穏な修学旅行にはならなさそうね…	보아하니 이번 수학여행은 순조롭게 끝날 것 같지 않네요…	ดูเหมือน​ทัศนศึกษา​ครั้งนี้​จะ​ไม่​เงียบสงบ​เท่าไหร่​เลย​นะ​...​
1212	1	121	2	9000006	150	1211	0	12060120	102:nightcat_plot_img_cover121	1	共通线-2	共通線-2	Shared Story 2	共通ルート-2	공통 스토리-2	เส้นทางร่วม 2	没想到居然会出现这样的意外。	沒想到居然會出現這樣的意外。	Didn't expect such an unexpected event to occur.	こんなことが起こるとは思わなかった。	이런 사고가 일어날 줄을 몰랐습니다	ไม่​คิด​เลย​ว่า​จะ​เกิดเหตุ​ไม่​คาดฝัน​แบบนี้​ขึ้น​มา​ซะ​ได้​
1213	1	121	1	9000006	150	1212	0	12060121	102:nightcat_plot_img_cover121	1	共通线-3	共通線-3	Shared Story 3	共通ルート-3	공통 스토리-3	เส้นทางร่วม 3	说到修学旅行，果然少不了“那个”呢……	說到修學旅行，果然少不了“那個”呢……	When it comes to school trips, there's always "something" involved...	修学旅行といえば、やっぱり「アレ」が欠かせないよね…	수학여행이라면, '그것'이 없으면 안돼죠…	พอ​พูดถึง​ทัศนศึกษา​แล้ว​ จะ​ขาด​ "​สิ่ง​นั้น​"​ ไป​ได้​ยังไง​ล่ะ​!​
1214	1	121	2	9000006	150	1213	1	12060122	102:nightcat_plot_img_cover121	1	共通线-4	共通線-4	Shared Story 4	共通ルート-4	공통 스토리-4	เส้นทางร่วม 4	深夜来访的“客人”究竟是谁呢？	深夜來訪的“客人”究竟是誰呢？	Who is the mysterious "guest" who pays a late-night visit?	深夜に来訪する「客」の正体は…？！	이 야심한 밤에 방문한 '손님'은 대체 누구실까요?	"​แขก​"​ ที่มา​เยือน​ใน​ยามดึก​คน​นั้น​...​ แท้จริง​แล้ว​คือ​ใคร​กัน​แน่​?​
1221	1	122	2	9000006	200	0	0	12060123	102:nightcat_plot_img_cover122	1	结局-1	結局-1	Ending 1	END-1	엔딩-1	จุดจบ 1	面对残酷的真相，我们只能学着接受吗？	面對殘酷的真相，我們只能學著接受嗎？	Faced with the harsh truth, can we only learn to accept it?	やはり残酷な真実を受け入れるしかないのか？	참혹한 진실을 마주한 우리는 그저 받아들일 수밖에 없는 걸까?	เมื่อ​ต้อง​เผชิญหน้า​กับ​ความจริง​อัน​โหดร้าย​ พวกเรา​ทำได้​แค่​เรียนรู้​ที่จะ​ยอมรับ​มัน​เท่านั้นเอง​งั้น​เหรอ​?​
1222	1	122	1	9000006	200	1221	0	12060124	102:nightcat_plot_img_cover122	1	结局-2	結局-2	Ending 2	END-2	엔딩-2	จุดจบ 2	所有的偶然都是必然……	所有的偶然都是必然……	All happenstance is inevitable...	全ての偶然は必然だ…	모든 우연은 필연이야…	ความบังเอิญ​ทั้งหมด​ ต่าง​ก็​เป็น​สิ่ง​ที่​ถูก​กำหนด​ไว้​อยู่​ก่อน​แล้ว​ทั้งนั้น​...​
1223	1	122	2	9000006	200	1222	0	12060125	102:nightcat_plot_img_cover122	1	结局-3	結局-3	Ending 3	END-3	엔딩-3	จุดจบ 3	原来……他们是同一个人……	原來……他們是同一個人……	Turns out... they are the same person...	Yukiと佑希は…同一人物なんだ…	그들은… 같은 사람이었어…	ที่แท้​...​ พวกเขา​ก็​คือ​คน​คน​เดียวกัน​...​
1224	1	122	2	9000006	200	1223	0	12060126	102:nightcat_plot_img_cover122	1	结局-4	結局-4	Ending 4	END-4	엔딩-4	จุดจบ 4	梦想无罪，但犯错的后果，终归需要自己来承担。	夢想無罪，但犯錯的後果，終歸需要自己來承擔。	Dreams are innocent, but the consequences of mistakes will always be borne by oneself.	夢には罪が無いが、過ちを犯した代償は自分で背負うべきだ。	꿈을 꾸는 건 죄가 없지만, 잘못을 한 대가는 스스로 치러야 해	การ​ใฝ่ฝัน​ไม่​ใช่​ความผิด​ แต่​สุดท้าย​แล้ว​ ก็​ต้อง​แบกรับ​ผล​ของ​ความผิดพลาด​ด้วยตัวเอง​
1225	1	122	1	9000006	200	1224	1	12060127	102:nightcat_plot_img_cover122	1	结局-5	結局-5	Ending 5	END-5	엔딩-5	จุดจบ 5	平静之下，掩埋着正义的代价……	平靜之下，掩埋著正義的代價……	Beneath the facade of tranquility lies the cost of upholding justice...	平穏の裏には正義の対価が隠されている。	고요함 속에 정의의 대가를 묻어뒀어…	ภายใต้​ความสงบ​เรียบ​เฉย​นั้น​ ซุกซ่อน​รา​คาที่​ต้อง​จ่าย​เพื่อ​ความยุติธรรม​เอาไว้​...​
