id	type	exp	fristRewards	fristRewardsNum	regularReward	regularRewardNum	showItem	showItemTag	showItemNum	status
12065033	1	0	9000006;4190001;3000003	100;150;116000	9000005	100	9000006;4190001;3000003;9000005	3;3;3;1	100;150;116000;100	1
12065034	1	0	9000006;4110001;3000003	100;5;118000	9000005	100	9000006;4110001;3000003;9000005	3;3;3;1	100;5;118000;100	1
12065035	1	0	4190004;9000006;3000003	100;100;120000	9000005	100	4190004;9000006;3000003;9000005	3;3;3;1	100;100;120000;100	1
12065036	1	0	9000006;4190001;3000003	100;150;122000	9000005	100	9000006;4190001;3000003;9000005	3;3;3;1	100;150;122000;100	1
12065037	1	0	9000006;4110001;3000003	100;5;124000	9000005	100	9000006;4110001;3000003;9000005	3;3;3;1	100;5;124000;100	1
12065038	1	0	9000006;4190001;3000003	100;150;126000	9000005	100	9000006;4190001;3000003;9000005	3;3;3;1	100;150;126000;100	1
12065039	1	0	9000006;4110001;3000003	100;5;128000	9000005	100	9000006;4110001;3000003;9000005	3;3;3;1	100;5;128000;100	1
12065040	1	0	4190004;7105004;3000003	200;100;130000	9000005	100	4190004;7105004;3000003;9000005	3;3;3;1	200;100;130000;100	1
12065041	1	0	9000006;4190001;3000003	100;150;132000	9000005	100	9000006;4190001;3000003;9000005	3;3;3;1	100;150;132000;100	1
12065042	1	0	9000006;4110001;3000003	100;5;134000	9000005	100	9000006;4110001;3000003;9000005	3;3;3;1	100;5;134000;100	1
12065043	1	0	9000006;4190001;3000003	100;150;136000	9000005	100	9000006;4190001;3000003;9000005	3;3;3;1	100;150;136000;100	1
12065044	1	0	9000006;4110001;3000003	100;5;138000	9000005	100	9000006;4110001;3000003;9000005	3;3;3;1	100;5;138000;100	1
12065045	1	0	4190004;9000006;3000003	100;100;140000	9000005	100	4190004;9000006;3000003;9000005	3;3;3;1	100;100;140000;100	1
12065046	1	0	9000006;4190001;3000003	100;150;142000	9000005	100	9000006;4190001;3000003;9000005	3;3;3;1	100;150;142000;100	1
12065047	1	0	9000006;4110001;3000003	100;5;144000	9000005	100	9000006;4110001;3000003;9000005	3;3;3;1	100;5;144000;100	1
12065048	1	0	9000006;4190001;3000003	100;150;146000	9000005	100	9000006;4190001;3000003;9000005	3;3;3;1	100;150;146000;100	1
12065049	1	0	9000006;4110001;3000003	100;5;148000	9000005	100	9000006;4110001;3000003;9000005	3;3;3;1	100;5;148000;100	1
12065050	1	0	4190004;7105004;3000003	200;100;150000	9000005	100	4190004;7105004;3000003;9000005	3;3;3;1	200;100;150000;100	1
