id	maxLevel	activeId	plotId	photoId	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
12060110	6	1	1211	123:nightcat_buff_icon_12060110	1	名画	名畫	Famous Painting	名画	명화	ภาพวาดที่มีชื่อเสียง	这是一幅挂在别墅的风景画，据说是百年前的写实派画家所绘。	這是一幅掛在別墅的風景畫，據說是百年前的寫實派畫家所繪。	This is a landscape painting adorning the villa, supposedly created by a realistic painter a hundred years ago.	別荘に飾られている風景画。100年前に写実主義の画家によって描かれたと言われている。	이건 별장에 걸린 풍경화로, 백 년 전에 사실주의 화가가 그린 것이라 한다.	ภาพวาด​ทิวทัศน์​ที่​แขวน​อยู่​ภายใน​คฤหาสน์​ ว่า​กัน​ว่า​เป็น​ผลงาน​ของ​จิตรกร​สาย​สัจนิยม​เมื่อ​กว่า​หนึ่งร้อย​ปีก่อน​
12060111	6	1	1212	123:nightcat_buff_icon_12060111	1	树叶	樹葉	Leaf	木の葉	나뭇잎	ใบไม้	被风从树枝上吹落的树叶还来不及为自己的命运而感到哀伤，就被一颗毒蘑菇狠狠地践踏了尊严。	被風從樹枝上吹落的樹葉還來不及為自己的命運而感到哀傷，就被一顆毒蘑菇狠狠地踐踏了尊嚴。	The leaves blown off the branches by the wind didn't even have time to mourn their fate before being ruthlessly trampled upon by a poisonous mushroom, crushing their dignity.	風で枝から吹き飛ばされた葉は、その運命を嘆く間もなく、毒キノコにその尊厳を激しく踏みにじられた。	바람에 나뭇가지에서 떨어진 나뭇잎은 자신의 운명을 채 슬퍼하기도 전에 독버섯에게 그 존재를 무참히 짓밟혔다.	ใบไม้​ที่​เพิ่ง​ถู​กลม​พัด​ร่วง​จาก​กิ่ง​ ยัง​ไม่​ทัน​ได้​เศร้าใจ​กับ​ชะตากรรม​ของ​ตัวเอง​ ก็​ถูก​เห็ด​พิษ​ดอก​หนึ่ง​เหยียบย่ำ​ศักดิ์ศรี​เสียแล้ว​
12060112	6	1	1213	123:nightcat_buff_icon_12060112	1	枕头	枕頭	Pillow	枕	베개	หมอน	经历了不知几轮枕头大战，被丢弃在一旁的枕头暗自伤心：为什么受伤的总是我。	經歷了不知幾輪枕頭大戰，被丟棄在一旁的枕頭暗自傷心：為什麼受傷的總是我。	After countless pillow fights, the discarded pillow on the side silently mourned, wondering why it was always the one getting hurt.	部屋の隅っこに放置された枕。数え切れないほどのマクラ大戦を経験した。	수많은 베개 싸움을 겪은 베개는 한 쪽에 버려진 후 혼자서 슬퍼했다. 왜 항상 나만 가지고 그러는 거지	หลัง​ผ่าน​สงคราม​หมอน​มา​นับไม่ถ้วน​ หมอน​ที่​ถูก​โยนทิ้ง​ไว้​ด้าน​ข้าง​จึง​ได้​แต่​แอบ​น้อยใจ​ว่า​ "​ทำไม​คน​ที่​เจ็บตัว​ต้อง​เป็น​ฉัน​ทุกที​เลย​..."​
12060113	6	1	1214	123:nightcat_buff_icon_12060113	1	碎玻璃	碎玻璃	Glass Shard	ガラスの破片	깨진 유리	กระจกที่แตกหัก	本来只想安安静静作为一扇窗户度过一生，没想到被深夜到访的“不速之客”结束了自己的使命。	本來只想安安靜靜作為一扇窗戶度過一生，沒想到被深夜到訪的“不速之客”結束了自己的使命。	Originally hoping for a peaceful existence as a window, but unexpectedly, the "uninvited guest" who arrived late at night brought an end to its mission.	窓ガラスとしてで静かに過ごしたかったが、深夜にやってきた招かれざる客によって使命は終わった。	그저 조용히 창문으로써 일생을 보내고자 했지만, 깊은 밤 '불청객'의 방문으로 자신의 사명을 다해버리고 말았다.	เดิมที​แค่​อยาก​ใช้ชีวิต​อย่าง​สงบ​ใน​ฐานะ​หน้าต่าง​บาน​หนึ่ง​ไป​ตลอด​ แต่กลับ​ถูก​ "​แขกไม่ได้รับเชิญ​"​ ที่มา​เยือน​ยามดึก​ทำลาย​หน้าที่​ของ​มัน​จน​สิ้น​
12060114	6	1	1121	123:nightcat_buff_icon_12060114	1	笔记本电脑	筆記型電腦	Laptop	ノートパソコン	노트북 컴퓨터	แล็ปท็อป	由依经常使用的轻薄款笔记本电脑，里面存满了由依日积月累创作的小说文稿。	由依經常使用的輕薄款筆記型電腦，裡面存滿了由依日積月累創作的小說文稿。	Yui's frequently used, slim and lightweight laptop, filled with the novels and manuscripts she has accumulated over time.	由衣がよく使うノートパソコン。由衣が時間をかけて書き上げた小説の原稿が詰まっている。	유이가 항상 사용하는 초경량 노트북은 그녀가 긴 세월 동안 심혈을 기울인 소설들로 가득했다.	แล็ปท็อป​น้ำหนัก​เบา​ที่​ยู​อิ​ใช้งาน​เป็นประจำ​ ภายใน​บันทึก​ต้นฉบับ​นิยาย​ที่​เธอ​ค่อยๆ​ สร้างสรรค์​ขึ้น​มา​เป็นเวลา​นาน​
12060115	6	1	1122	123:nightcat_buff_icon_12060115	1	全家福	全家福	Family Photo	家族写真	가족사진	ภาพครอบครัว	摆在别墅客厅角落的相框，画面中幸福的一家三口却很少再回到这里了。	擺在別墅客廳角落的相框，畫面中幸福的一家三口卻很少再回到這裡了。	The picture frame placed in the corner of the villa's living room, depicting a joyful family of three, rarely sees a return visit these days.	リビングルームの片隅に置かれた写真立てには、めったに戻ってこない3人家族の幸せな姿が描かれている。	별장 한구석에 놓인 가족사진 액자 안의 행복해 보이는 세 식구는 좀처럼 집에 돌아오지 않았다.	กรอบรูป​ที่​ตั้งอยู่​มุม​หนึ่ง​ของ​ห้องรับแขก​ภายใน​คฤหาสน์​ ภาพ​ของ​ครอบครัว​สาม​คน​ที่​เคย​เปี่ยม​ไป​ด้วย​ความสุข​ แต่​พวกเขา​กลับ​ไม่ค่อย​ได้​หวนกลับ​มายัง​สถานที่​แห่ง​นี้​อีกแล้ว​
12060116	6	1	1123	123:nightcat_buff_icon_12060116	1	沙发	沙發	Couch	ソファ	소파	โซฟา	这是位在别墅兢兢业业工作了十多年的“老人”，它的身上承载着时间的秘密。	這是位在別墅兢兢業業工作了十多年的“老人”，它的身上承載著時間的秘密。	This "old man" has diligently served in the villa for over a decade, carrying the secrets of time.	10年以上も別荘で働き、時の秘密をその身に宿す「老人」である。	빌라에서 무려 십 년간 부지런히 일한 '노인'이 있는데, 그 물건에는 세월의 비밀이 담겨 있다.	นี่​คือ​ "​ผู้เฒ่า​"​ ผู้ทำงาน​อยู่​ใน​คฤหาสน์​แห่ง​นี้​อย่าง​ขยันขันแข็ง​มา​นาน​กว่า​สิบ​ปี​ บน​ตัว​ของ​มัน​ซุกซ่อน​ความลับ​ที่​กาลเวลา​ได้​เหลือ​ทิ้ง​เอาไว้​
12060117	6	1	1031	123:nightcat_buff_icon_12060117	1	机器人	機器人	Robot	ロボット	로봇	หุ่นยนต์	灵活穿梭于“离境”之中的小机器人，可以帮助异能者快速解决许多日常问题，是大家的好助手。	靈活穿梭於“離境”之中的小機器人，可以幫助異能者快速解決許多日常問題，是大家的好助手。	A small robot that moves with agility in the "Departure" and can assist espers in swiftly resolving daily problems, a valuable assistant for everyone.	「離境」を軽快に飛び回る小型ロボット。異能者たちが直面する様々な問題を素早く解決する手助けをし、皆の良きアシスタントである。	어나더 월드'를 자유롭게 넘나드는 로봇은 이능력자들을 도와 일상적인 문제들을 빠르게 해결하는 모두의 파트너다.	หุ่นยนต์​ตัว​น้อย​ที่​เคลื่อนไหว​ได้​อย่าง​คล่องแคล่ว​ภายใน​ "​ดิ​พาร์​เชอร์​"​ สามารถ​ช่วย​ผู้​มีพลัง​พิเศษ​จัดการ​เรื่อง​ต่างๆ​ ใน​ชีวิตประจำวัน​ได้​อย่าง​รวดเร็ว​ จึง​เป็น​ผู้ช่วย​คนสำคัญ​ของ​ทุกคน​
12060118	6	1	1032	123:nightcat_buff_icon_12060118	1	推车	推車	Cart	荷車	카트	รถเข็น	清洁人员必备的打扫搭档，扫帚、拖把、垃圾箱等打扫工具应有尽有，让打扫变得更轻松。	清潔人員必備的打掃搭檔，掃把、拖把、垃圾箱等打掃工具應有盡有，讓打掃變得更輕鬆。	The essential cleaning tools for janitors, brooms, mops, trash cans, and more, are all readily available, making cleaning a breeze.	ホウキ、モップ、ゴミ箱など、掃除を楽にする道具が揃った、掃除人にとって欠かせない掃除のパートナー。	청소부의 필수 파트너인 빗자루, 걸레, 쓰레기통 등 청소 도구 덕분에 더 쉽게 청소를 할 수 있다.	ชุด​อุปกรณ์​ทำความสะอาด​คู่ใจ​ของ​พนักงาน​ ไม่​ว่า​จะ​เป็น​ไม้กวาด​ ไม้ถูพื้น​ หรือ​ถังขยะ​ มี​ครบ​ทุกอย่าง​เพื่อให้​งาน​ทำความสะอาด​เป็นเรื่อง​ง่าย​ยิ่งขึ้น​
12060119	6	1	1033	123:nightcat_buff_icon_12060119	1	日历	日曆	Calendar	カレンダー	달력	ปฏิทิน	总编辑桌子上摆放着的日历，上面圈圈画画了很多记号，而今天也同样是被标上了记号的一天。	總編輯桌子上擺放著的日曆，上面圈圈畫畫了很多記號，而今天也同樣是被標上了記號的一天。	The calendar on the editor-in-chief's desk, with multiple marks circled on it, and today is also marked as a special day.	編集長の机の上に置かれたカレンダーには丸と印が付けられている。今日も同じように印が付けられた日だった。	편집장 책상 위에 있는 수많은 동그라미 기호가 그려진 달력에는 오늘 날짜에도 똑같은 기호가 그려져 있다.	ปฏิทิน​บน​โต๊ะ​ของ​บรรณาธิการบริหาร​เต็มไปด้วย​วงกลม​และ​เครื่องหมาย​ต่างๆ​ และ​วันนี้​เอง​ก็​เป็น​อีก​วันที่​ถูก​ทำเครื่องหมาย​เอาไว้​เช่นกัน​
12060120	6	1	1034	123:nightcat_buff_icon_12060120	1	垃圾桶	垃圾桶	Trash Can	ゴミ箱	쓰레기통	ถังขยะ	鲜少有人经过的走道旁放置着一个垃圾箱，里面残留着一些没能被放进档案室归档的废稿。	鮮少有人經過的走道旁放置著一個垃圾箱，裡面殘留著一些沒能被放進檔案室歸檔的廢稿。	A trash can placed next to a seldom-visited corridor, filled with drafts that couldn't find their place in the archives.	ほとんど人が通らない通路の片隅にゴミ箱が置かれている。中にはアーカイブルームに回収されなかった廃棄原稿が残っている。	지나다니는 사람이 거의 없는 거리 옆에 쓰레기통이 방치되어 있고, 그 안에는 서류실에 들어가지 못한 폐기 원고가 남겨져 있다.	ถังขยะ​ที่​ตั้งอยู่​ริม​ทางเดิน​ซึ่ง​แทบ​ไม่​มี​ใคร​ผ่าน​ ภายใน​ยัง​เหลือ​ร่าง​ต้นฉบับ​ที่​ถูก​ทิ้ง​ไว้​ เพราะ​ไม่​อาจ​นำ​ไป​จัดเก็บ​ใน​ห้อง​เก็บ​เอกสาร​ได้​
12060121	6	1	1221	123:nightcat_buff_icon_12060121	1	台灯	檯燈	Desk Lamp	ランプ	전기스탠드	โคมไฟ	与众人一同等待着“怪盗”来访的台灯一直都没敢放松警惕，整整亮了一夜。	與眾人一同等待著“怪盜”來訪的檯燈一直都沒敢放鬆警惕，整整亮了一夜。	The desk lamp, alongside everyone, has been waiting for the "Phantom Thief" to visit, never letting its guard down, remaining bright throughout the night.	みんなとともに「怪盗」の来訪を待っていたランプは、油断することなく一晩中点灯していた。	사람들과 함께 '괴도'의 방문을 기다리는 스탠드는 감히 단 한 순간도 경계를 늦추지 않고, 온 밤을 밝게 비춘다.	โคมไฟตั้งโต๊ะ​ที่​เฝ้ารอ​การ​มา​ของ​ "​จอม​โจร​"​ ร่วมกับ​ทุกคน​ ไม่​เคย​ลด​ความระมัดระวัง​เลย​แม้แต่น้อย​ มัน​ส่องสว่าง​อยู่​ตลอด​ทั้งคืน​
12060122	6	1	1222	123:nightcat_buff_icon_12060122	1	树	樹	Tree	木	나무	ต้นไม้	生活在密林里的树爷爷总是很早休息，可这两天晚上却迟迟都睡不好觉，因为总有人在他放松警惕的时候狠狠踩他一脚。	生活在密林裡的樹爺爺總是很早休息，可這兩天晚上卻遲遲都睡不好覺，因為總有人在他放鬆警惕的時候狠狠踩他一腳。	The old tree residing in the dense forest always used to rest early, but these past few nights, it couldn't sleep well due to someone ruthlessly stepping on it when it let its guard down.	鬱蒼とした森に住む木のお爺さんは、いつも早めに休んでいたが、ここ数日は油断するといつも誰かに強く踏まれ、なかなか寝付けなかった。	밀림에 사는 나무 할아버지는 항상 일찍 주무시는데, 어쩐 일인지 요 이틀 동안은 좀처럼 잠에 들지 못하셨다. 왜냐하면 자꾸 어떤 사람이 할아버지가 경계를 풀 때마다 할아버지의 발을 콱 밟았기 때문이다.	คุณตา​ต้นไม้​ผู้​ใช้ชีวิต​อยู่​ใน​ป่าทึบ​มัก​เข้านอน​แต่​หัวค่ำ​เสมอ​ แต่​สอง​คืน​มา​นี้​กลับ​นอน​ไม่ค่อย​หลับ​ เพราะ​มี​คน​แอบ​มา​เหยียบ​เขา​อย่าง​แรง​ทุกครั้งที่​เผลอ​คลาย​ความระวัง​
12060123	6	1	1223	123:nightcat_buff_icon_12060123	1	漫画稿	漫畫稿	Manga Draft	漫画原稿	만화 원고	ต้นฉบับมังงะ	飘散在异空间内的各种漫画原稿，每一张都可能是一个新世界的开始。	飄散在異空間內的各種漫畫原稿，每一張都可能是一個新世界的開始。	Various comic manuscripts scattered in the alternate space, each one holding the potential to be the beginning of a new world.	異次元に漂うさまざまな漫画の原稿、そのひとつひとつが新しい世界の始まりかもしれない。	이공간에서 흩날리는 각종 만화원고 한 장 한 장은 모두 새로운 세계의 시작일지도 모른다.	ต้นฉบับ​มัง​งะ​มากมาย​ที่​ลอย​กระจัดกระจาย​อยู่​ใน​มิติ​ต่าง​ห้วง​ ทุก​แผ่น​ล้วน​มีโอกาส​เป็น​จุดเริ่มต้น​ของ​โลก​ใบ​ใหม่​
12060124	6	1	1224	123:nightcat_buff_icon_12060124	1	原稿	原稿	Original Draft	原稿	원고	ต้นฉบับ	被木框精心装裱的黑白漫画原稿，选取的画面都是漫画中最为精彩的片段。	被木框精心裝裱的黑白漫畫原稿，選取的畫面都是漫畫中最為精彩的片段。	Black and white comic manuscripts carefully framed in wooden frames, capturing the most thrilling moments from the comics.	木製のフレームに丁寧に額装された漫画の原稿は、最高の場面から選ばれている。	나무 선반에 정성스레 진열된 만화 원고들 중에서도 엄선된 페이지들은 만화에서 가장 멋진 장면일 것이다.	ต้นฉบับ​มัง​งะ​ขาว​ดำ​ที่​ถูก​ใส่​กรอบ​ไม้​อย่าง​ประณีต​ ทุก​หน้าที่​นำมา​จัดแสดง​ล้วน​เป็น​ฉาก​ที่​ยอดเยี่ยม​ที่สุด​ของ​เรื่อง​
12060125	6	1	1225	123:nightcat_buff_icon_12060125	1	少年漫画	少年漫畫	Shonen Manga	少年漫画	소년만화	มังงะโชเน็น	被小心安置在“夏日绵绵甜品店”书架上的漫画书，依旧留存着内特追更时的狂热记忆。	被小心安置在“夏日綿綿甜品店”書架上的漫畫書，依舊留存著內特追更時的狂熱記憶。	The comic book carefully placed on the bookshelf of the "Summer Fluffy" still holds memories of Nate's excitement while catching up with the updates.	デザート・サマーメモリーの棚に丁寧に並べられた漫画。ネイトが夢中になって追っかけてた頃の思い出が残っている。	섬머 디저트 가게' 안의 책장에 조심스럽게 꽂힌 만화책에는 여전히 네이트가 연재를 기다리던 열정적인 기억이 남아있다.	หนังสือ​มัง​งะ​ที่​ถูก​จัดวาง​ไว้​อย่าง​ทะนุถนอม​บน​ชั้น​หนังสือ​ของ​ "​ร้าน​ขนมหวาน​ซัมเมอร์​ฟลัฟ​ฟี​"​ ยังคง​เก็บรักษา​ความทรงจำ​ใน​ช่วง​ที่​เนท​เคย​เฝ้า​ติดตาม​รอ​อ่าน​อย่าง​เร้า​ร้อน​เอาไว้​
