id	itemId	level	addType	buffId	costItem	costItemNum	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
120601024	12060102	4	0	120601024	9000005	2000	1	茶杯	茶杯	Tea Cup	カップ	찻잔	ถ้วยชา	基础防御力+50%	基礎防禦力+50%	Base DEF +50%	基本防御力＋50%	기본 방어력 +50%	DEF พื้นฐาน +50%
120601025	12060102	5	0	120601025	9000005	2500	1	茶杯	茶杯	Tea Cup	カップ	찻잔	ถ้วยชา	基础防御力+60%	基礎防禦力+60%	Base DEF +60%	基本防御力＋60%	기본 방어력 +60%	DEF พื้นฐาน +60%
120601026	12060102	6	0	120601026	9000005	3500	1	茶杯	茶杯	Tea Cup	カップ	찻잔	ถ้วยชา	基础防御力+80%	基礎防禦力+80%	Base DEF +80%	基本防御力＋80%	기본 방어력 +80%	DEF พื้นฐาน +80%
120601031	12060103	1	0	120601031	9000005	0	1	日记本	日記本	Diary	日記	일기장	สมุดบันทึก	基础生命值+20%	基礎生命值+20%	Base HP +20%	基本最大HP＋20%	기본 HP +20%	HP พื้นฐาน +20%
120601032	12060103	2	0	120601032	9000005	1000	1	日记本	日記本	Diary	日記	일기장	สมุดบันทึก	基础生命值+30%	基礎生命值+30%	Base HP +30%	基本最大HP＋30%	기본 HP +30%	HP พื้นฐาน +30%
120601033	12060103	3	0	120601033	9000005	1500	1	日记本	日記本	Diary	日記	일기장	สมุดบันทึก	基础生命值+40%	基礎生命值+40%	Base HP +40%	基本最大HP＋40%	기본 HP +40%	HP พื้นฐาน +40%
120601034	12060103	4	0	120601034	9000005	2000	1	日记本	日記本	Diary	日記	일기장	สมุดบันทึก	基础生命值+50%	基礎生命值+50%	Base HP +50%	基本最大HP＋50%	기본 HP +50%	HP พื้นฐาน +50%
120601035	12060103	5	0	120601035	9000005	2500	1	日记本	日記本	Diary	日記	일기장	สมุดบันทึก	基础生命值+60%	基礎生命值+60%	Base HP +60%	基本最大HP＋60%	기본 HP +60%	HP พื้นฐาน +60%
120601036	12060103	6	0	120601036	9000005	3500	1	日记本	日記本	Diary	日記	일기장	สมุดบันทึก	基础生命值+80%	基礎生命值+80%	Base HP +80%	基本最大HP＋80%	기본 HP +80%	HP พื้นฐาน +80%
120601041	12060104	1	0	120601041	9000005	0	1	蛋糕	蛋糕	Cake	ケーキ	케이크	เค้ก	基础攻击力+200	基礎攻擊力+200	Base ATK +200	基本攻撃力＋200	기본 공격력 +200	ATK พื้นฐาน +200
120601042	12060104	2	0	120601042	9000005	1000	1	蛋糕	蛋糕	Cake	ケーキ	케이크	เค้ก	基础攻击力+420	基礎攻擊力+420	Base ATK +420	基本攻撃力＋420	기본 공격력 +420	ATK พื้นฐาน +420
120601043	12060104	3	0	120601043	9000005	1500	1	蛋糕	蛋糕	Cake	ケーキ	케이크	เค้ก	基础攻击力+640	基礎攻擊力+640	Base ATK +640	基本攻撃力＋640	기본 공격력 +640	ATK พื้นฐาน +640
120601044	12060104	4	0	120601044	9000005	2000	1	蛋糕	蛋糕	Cake	ケーキ	케이크	เค้ก	基础攻击力+860	基礎攻擊力+860	Base ATK +860	基本攻撃力＋860	기본 공격력 +860	ATK พื้นฐาน +860
120601045	12060104	5	0	120601045	9000005	2500	1	蛋糕	蛋糕	Cake	ケーキ	케이크	เค้ก	基础攻击力+1080	基礎攻擊力+1080	Base ATK +1080	基本攻撃力＋1080	기본 공격력 +1080	ATK พื้นฐาน +1,080
120601046	12060104	6	0	120601046	9000005	3500	1	蛋糕	蛋糕	Cake	ケーキ	케이크	เค้ก	基础攻击力+1500	基礎攻擊力+1500	Base ATK +1500	基本攻撃力＋1500	기본 공격력 +1500	ATK พื้นฐาน +1,500
120601051	12060105	1	0	120601051	9000005	0	1	黑猫	黑貓	Darkpaw	黒猫	블랙 펠리니언	แมวพาโธซิส	基础防御力+300	基礎防禦力+300	Base DEF +300	基本防御力＋300	기본 방어력 +300	DEF พื้นฐาน +300
120601052	12060105	2	0	120601052	9000005	1000	1	黑猫	黑貓	Darkpaw	黒猫	블랙 펠리니언	แมวพาโธซิส	基础防御力+550	基礎防禦力+550	Base DEF +550	基本防御力＋550	기본 방어력 +550	DEF พื้นฐาน +550
120601053	12060105	3	0	120601053	9000005	1500	1	黑猫	黑貓	Darkpaw	黒猫	블랙 펠리니언	แมวพาโธซิส	基础防御力+800	基礎防禦力+800	Base DEF +800	基本防御力＋800	기본 방어력 +800	DEF พื้นฐาน +800
120601054	12060105	4	0	120601054	9000005	2000	1	黑猫	黑貓	Darkpaw	黒猫	블랙 펠리니언	แมวพาโธซิส	基础防御力+1050	基礎防禦力+1050	Base DEF +1050	基本防御力＋1050	기본 방어력 +1050	DEF พื้นฐาน +1,050
120601055	12060105	5	0	120601055	9000005	2500	1	黑猫	黑貓	Darkpaw	黒猫	블랙 펠리니언	แมวพาโธซิส	基础防御力+1300	基礎防禦力+1300	Base DEF +1300	基本防御力＋1300	기본 방어력 +1300	DEF พื้นฐาน +1,300
120601056	12060105	6	0	120601056	9000005	3500	1	黑猫	黑貓	Darkpaw	黒猫	블랙 펠리니언	แมวพาโธซิส	基础防御力+1800	基礎防禦力+1800	Base DEF +1800	基本防御力＋1800	기본 방어력 +1800	DEF พื้นฐาน +1,800
120601061	12060106	1	0	120601061	9000005	0	1	报纸	報紙	Newspaper	新聞	신문	หนังสือพิมพ์	穿透率+10%	穿透率+10%	Armor PEN +10%	貫通率＋10%	관통률 +10%	อัตราเจาะเกราะ +10%
120601062	12060106	2	0	120601062	9000005	1000	1	报纸	報紙	Newspaper	新聞	신문	หนังสือพิมพ์	穿透率+18%	穿透率+18%	Armor PEN +18%	貫通率＋18%	관통률 +18%	อัตราเจาะเกราะ +18%
120601063	12060106	3	0	120601063	9000005	1500	1	报纸	報紙	Newspaper	新聞	신문	หนังสือพิมพ์	穿透率+26%	穿透率+26%	Armor PEN +26%	貫通率＋26%	관통률 +26%	อัตราเจาะเกราะ +26%
120601064	12060106	4	0	120601064	9000005	2000	1	报纸	報紙	Newspaper	新聞	신문	หนังสือพิมพ์	穿透率+35%	穿透率+35%	Armor PEN +35%	貫通率＋35%	관통률 +35%	อัตราเจาะเกราะ +35%
120601065	12060106	5	0	120601065	9000005	2500	1	报纸	報紙	Newspaper	新聞	신문	หนังสือพิมพ์	穿透率+43%	穿透率+43%	Armor PEN +43%	貫通率＋43%	관통률 +43%	อัตราเจาะเกราะ +43%
120601066	12060106	6	0	120601066	9000005	3500	1	报纸	報紙	Newspaper	新聞	신문	หนังสือพิมพ์	穿透率+60%	穿透率+60%	Armor PEN +60%	貫通率＋60%	관통률 +60%	อัตราเจาะเกราะ +60%
120601071	12060107	1	0	120601071	9000005	0	1	废弃文件	廢棄文件	Abandoned File	廃棄書類	폐기문건	เอกสารที่ถูกทิ้ง	忍耐率+15%	忍耐率+15%	Endurance +15%	忍耐率＋15%	인내율 +15%	อัตราอดทน +15%
120601072	12060107	2	0	120601072	9000005	1000	1	废弃文件	廢棄文件	Abandoned File	廃棄書類	폐기문건	เอกสารที่ถูกทิ้ง	忍耐率+24%	忍耐率+24%	Endurance +24%	忍耐率＋24%	인내율 +24%	อัตราอดทน +24%
120601073	12060107	3	0	120601073	9000005	1500	1	废弃文件	廢棄文件	Abandoned File	廃棄書類	폐기문건	เอกสารที่ถูกทิ้ง	忍耐率+33%	忍耐率+33%	Endurance +33%	忍耐率＋33%	인내율 +33%	อัตราอดทน +33%
120601074	12060107	4	0	120601074	9000005	2000	1	废弃文件	廢棄文件	Abandoned File	廃棄書類	폐기문건	เอกสารที่ถูกทิ้ง	忍耐率+42%	忍耐率+42%	Endurance +42%	忍耐率＋42%	인내율 +42%	อัตราอดทน +42%
120601075	12060107	5	0	120601075	9000005	2500	1	废弃文件	廢棄文件	Abandoned File	廃棄書類	폐기문건	เอกสารที่ถูกทิ้ง	忍耐率+51%	忍耐率+51%	Endurance +51%	忍耐率＋51%	인내율 +51%	อัตราอดทน +51%
120601076	12060107	6	0	120601076	9000005	3500	1	废弃文件	廢棄文件	Abandoned File	廃棄書類	폐기문건	เอกสารที่ถูกทิ้ง	忍耐率+70%	忍耐率+70%	Endurance +70%	忍耐率＋70%	인내율 +70%	อัตราอดทน +70%
120601081	12060108	1	0	120601081	9000005	0	1	挂牌	掛牌	List	下げ札	개업	ป้ายแขวน	暴击率+15%	爆擊率+15%	CRIT Rate +15%	会心率＋15%	크리티컬율 +15%	อัตราคริติคอล +15%
120601082	12060108	2	0	120601082	9000005	1000	1	挂牌	掛牌	List	下げ札	개업	ป้ายแขวน	暴击率+24%	爆擊率+24%	CRIT Rate +24%	会心率＋24%	크리티컬율 +24%	อัตราคริติคอล +24%
120601083	12060108	3	0	120601083	9000005	1500	1	挂牌	掛牌	List	下げ札	개업	ป้ายแขวน	暴击率+33%	爆擊率+33%	CRIT Rate +33%	会心率＋33%	크리티컬율 +33%	อัตราคริติคอล +33%
120601084	12060108	4	0	120601084	9000005	2000	1	挂牌	掛牌	List	下げ札	개업	ป้ายแขวน	暴击率+42%	爆擊率+42%	CRIT Rate +42%	会心率＋42%	크리티컬율 +42%	อัตราคริติคอล +42%
120601085	12060108	5	0	120601085	9000005	2500	1	挂牌	掛牌	List	下げ札	개업	ป้ายแขวน	暴击率+51%	爆擊率+51%	CRIT Rate +51%	会心率＋51%	크리티컬율 +51%	อัตราคริติคอล +51%
120601086	12060108	6	0	120601086	9000005	3500	1	挂牌	掛牌	List	下げ札	개업	ป้ายแขวน	暴击率+70%	爆擊率+70%	CRIT Rate +70%	会心率＋70%	크리티컬율 +70%	อัตราคริติคอล +70%
120601091	12060109	1	0	120601091	9000005	0	1	纸箱	紙箱	Paper Box	段ボール	종이상자	กล่องกระดาษ	暴击伤害+20%	爆擊傷害+20%	CRIT DMG +20%	会心ダメージ＋20%	크리티컬 대미지 +20%	ดาเมจคริติคอล +20%
120601092	12060109	2	0	120601092	9000005	1000	1	纸箱	紙箱	Paper Box	段ボール	종이상자	กล่องกระดาษ	暴击伤害+31%	爆擊傷害+31%	CRIT DMG +31%	会心ダメージ＋31%	크리티컬 대미지 +31%	ดาเมจคริติคอล +31%
120601093	12060109	3	0	120601093	9000005	1500	1	纸箱	紙箱	Paper Box	段ボール	종이상자	กล่องกระดาษ	暴击伤害+43%	爆擊傷害+43%	CRIT DMG +43%	会心ダメージ＋43%	크리티컬 대미지 +43%	ดาเมจคริติคอล +43%
120601094	12060109	4	0	120601094	9000005	2000	1	纸箱	紙箱	Paper Box	段ボール	종이상자	กล่องกระดาษ	暴击伤害+55%	爆擊傷害+55%	CRIT DMG +55%	会心ダメージ＋55%	크리티컬 대미지 +55%	ดาเมจคริติคอล +55%
120601095	12060109	5	0	120601095	9000005	2500	1	纸箱	紙箱	Paper Box	段ボール	종이상자	กล่องกระดาษ	暴击伤害+66%	爆擊傷害+66%	CRIT DMG +66%	会心ダメージ＋66%	크리티컬 대미지 +66%	ดาเมจคริติคอล +66%
120601096	12060109	6	0	120601096	9000005	3500	1	纸箱	紙箱	Paper Box	段ボール	종이상자	กล่องกระดาษ	暴击伤害+90%	爆擊傷害+90%	CRIT DMG +90%	会心ダメージ＋90%	크리티컬 대미지 +90%	ดาเมจคริติคอล +90%
120601101	12060110	1	0	120601101	9000005	0	1	名画	名畫	Famous Painting	名画	명화	ภาพวาดที่มีชื่อเสียง	造成真实伤害+15%	造成真實傷害+15%	True DMG Dealt +15%	与える直撃ダメージ＋15% 	부여하는 고정 대미지 +15%	ดา​เม​จ​จริง​ที่​สร้าง​ +15%​
120601102	12060110	2	0	120601102	9000005	1000	1	名画	名畫	Famous Painting	名画	명화	ภาพวาดที่มีชื่อเสียง	造成真实伤害+24%	造成真實傷害+24%	True DMG Dealt +24%	与える直撃ダメージ＋24%	부여하는 고정 대미지 +24%	ดา​เม​จ​จริง​ที่​สร้าง​ +24%​
120601103	12060110	3	0	120601103	9000005	1500	1	名画	名畫	Famous Painting	名画	명화	ภาพวาดที่มีชื่อเสียง	造成真实伤害+33%	造成真實傷害+33%	True DMG Dealt +33%	与える直撃ダメージ＋33%	부여하는 고정 대미지 +33%	ดา​เม​จ​จริง​ที่​สร้าง​ +33%​
120601104	12060110	4	0	120601104	9000005	2000	1	名画	名畫	Famous Painting	名画	명화	ภาพวาดที่มีชื่อเสียง	造成真实伤害+42%	造成真實傷害+42%	True DMG Dealt +42%	与える直撃ダメージ＋42%	부여하는 고정 대미지 +42%	ดา​เม​จ​จริง​ที่​สร้าง​ +42%​
120601105	12060110	5	0	120601105	9000005	2500	1	名画	名畫	Famous Painting	名画	명화	ภาพวาดที่มีชื่อเสียง	造成真实伤害+51%	造成真實傷害+51%	True DMG Dealt +51%	与える直撃ダメージ＋51%	부여하는 고정 대미지 +51%	ดา​เม​จ​จริง​ที่​สร้าง​ +51%​
120601106	12060110	6	0	120601106	9000005	3500	1	名画	名畫	Famous Painting	名画	명화	ภาพวาดที่มีชื่อเสียง	造成真实伤害+70%	造成真實傷害+70%	True DMG Dealt +70%	与える直撃ダメージ＋70%	부여하는 고정 대미지 +70%	ดา​เม​จ​จริง​ที่​สร้าง​ +70%​
120601111	12060111	1	0	120601111	9000005	0	1	树叶	樹葉	Leaf	木の葉	나뭇잎	ใบไม้	造成穿透伤害+15%	造成穿透傷害+15%	Piercing DMG Dealt +15%	与える貫通ダメージ＋15%	부여하는 관통 대미지 +15%	ดา​เม​จ​เจาะ​เกราะ​ที่​สร้าง​ +15%​
120601112	12060111	2	0	120601112	9000005	1000	1	树叶	樹葉	Leaf	木の葉	나뭇잎	ใบไม้	造成穿透伤害+24%	造成穿透傷害+24%	Piercing DMG Dealt +24%	与える貫通ダメージ＋24%	부여하는 관통 대미지 +24%	ดา​เม​จ​เจาะ​เกราะ​ที่​สร้าง​ +24%​
120601113	12060111	3	0	120601113	9000005	1500	1	树叶	樹葉	Leaf	木の葉	나뭇잎	ใบไม้	造成穿透伤害+33%	造成穿透傷害+33%	Piercing DMG Dealt +33%	与える貫通ダメージ＋33%	부여하는 관통 대미지 +33%	ดา​เม​จ​เจาะ​เกราะ​ที่​สร้าง​ +33%​
120601114	12060111	4	0	120601114	9000005	2000	1	树叶	樹葉	Leaf	木の葉	나뭇잎	ใบไม้	造成穿透伤害+42%	造成穿透傷害+42%	Piercing DMG Dealt +42%	与える貫通ダメージ＋42%	부여하는 관통 대미지 +42%	ดา​เม​จ​เจาะ​เกราะ​ที่​สร้าง​ +42%​
120601115	12060111	5	0	120601115	9000005	2500	1	树叶	樹葉	Leaf	木の葉	나뭇잎	ใบไม้	造成穿透伤害+51%	造成穿透傷害+51%	Piercing DMG Dealt +51%	与える貫通ダメージ＋51%	부여하는 관통 대미지 +51%	ดา​เม​จ​เจาะ​เกราะ​ที่​สร้าง​ +51%​
120601116	12060111	6	0	120601116	9000005	3500	1	树叶	樹葉	Leaf	木の葉	나뭇잎	ใบไม้	造成穿透伤害+70%	造成穿透傷害+70%	Piercing DMG Dealt +70%	与える貫通ダメージ＋70%	부여하는 관통 대미지 +70%	ดา​เม​จ​เจาะ​เกราะ​ที่​สร้าง​ +70%​
120601121	12060112	1	0	120601121	9000005	0	1	枕头	枕頭	Pillow	枕	베개	หมอน	造成穿刺伤害+15%	造成穿刺傷害+15%	Jab DMG Dealt +15%	与える穿刺ダメージ＋15%	부여하는 크리티컬 관통 대미지 +15%	ดา​เม​จ​ทะลวง​ที่​สร้าง​ +15%​
120601122	12060112	2	0	120601122	9000005	1000	1	枕头	枕頭	Pillow	枕	베개	หมอน	造成穿刺伤害+24%	造成穿刺傷害+24%	Jab DMG Dealt +24%	与える穿刺ダメージ＋24%	부여하는 크리티컬 관통 대미지 +24%	ดา​เม​จ​ทะลวง​ที่​สร้าง​ +24%​
120601123	12060112	3	0	120601123	9000005	1500	1	枕头	枕頭	Pillow	枕	베개	หมอน	造成穿刺伤害+33%	造成穿刺傷害+33%	Jab DMG Dealt +33%	与える穿刺ダメージ＋33%	부여하는 크리티컬 관통 대미지 +33%	ดา​เม​จ​ทะลวง​ที่​สร้าง​ +33%​
120601124	12060112	4	0	120601124	9000005	2000	1	枕头	枕頭	Pillow	枕	베개	หมอน	造成穿刺伤害+42%	造成穿刺傷害+42%	Jab DMG Dealt +42%	与える穿刺ダメージ＋42%	부여하는 크리티컬 관통 대미지 +42%	ดา​เม​จ​ทะลวง​ที่​สร้าง​ +42%​
120601125	12060112	5	0	120601125	9000005	2500	1	枕头	枕頭	Pillow	枕	베개	หมอน	造成穿刺伤害+51%	造成穿刺傷害+51%	Jab DMG Dealt +51%	与える穿刺ダメージ＋51%	부여하는 크리티컬 관통 대미지 +51%	ดา​เม​จ​ทะลวง​ที่​สร้าง​ +51%​
120601126	12060112	6	0	120601126	9000005	3500	1	枕头	枕頭	Pillow	枕	베개	หมอน	造成穿刺伤害+70%	造成穿刺傷害+70%	Jab DMG Dealt +70%	与える穿刺ダメージ＋70%	부여하는 크리티컬 관통 대미지 +70%	ดา​เม​จ​ทะลวง​ที่​สร้าง​ +70%​
120601131	12060113	1	0	120601131	9000005	0	1	碎玻璃	碎玻璃	Glass Shard	ガラスの破片	깨진 유리	กระจกที่แตกหัก	造成破碎伤害+15%	造成破碎傷害+15%	Sunder DMG Dealt +15%	与える超会心ダメージ＋15%	부여하는 파쇄 대미지 +15%	ดา​เม​จบ​ด​ขยี้​ที่​สร้าง​ +15%​
120601132	12060113	2	0	120601132	9000005	1000	1	碎玻璃	碎玻璃	Glass Shard	ガラスの破片	깨진 유리	กระจกที่แตกหัก	造成破碎伤害+24%	造成破碎傷害+24%	Sunder DMG Dealt +24%	与える超会心ダメージ＋24%	부여하는 파쇄 대미지 +24%	ดา​เม​จบ​ด​ขยี้​ที่​สร้าง​ +24%​
120601133	12060113	3	0	120601133	9000005	1500	1	碎玻璃	碎玻璃	Glass Shard	ガラスの破片	깨진 유리	กระจกที่แตกหัก	造成破碎伤害+33%	造成破碎傷害+33%	Sunder DMG Dealt +33%	与える超会心ダメージ＋33%	부여하는 파쇄 대미지 +33%	ดา​เม​จบ​ด​ขยี้​ที่​สร้าง​ +33%​
120601134	12060113	4	0	120601134	9000005	2000	1	碎玻璃	碎玻璃	Glass Shard	ガラスの破片	깨진 유리	กระจกที่แตกหัก	造成破碎伤害+42%	造成破碎傷害+42%	Sunder DMG Dealt +42%	与える超会心ダメージ＋42%	부여하는 파쇄 대미지 +42%	ดา​เม​จบ​ด​ขยี้​ที่​สร้าง​ +42%​
120601135	12060113	5	0	120601135	9000005	2500	1	碎玻璃	碎玻璃	Glass Shard	ガラスの破片	깨진 유리	กระจกที่แตกหัก	造成破碎伤害+51%	造成破碎傷害+51%	Sunder DMG Dealt +51%	与える超会心ダメージ＋51%	부여하는 파쇄 대미지 +51%	ดา​เม​จบ​ด​ขยี้​ที่​สร้าง​ +51%​
120601136	12060113	6	0	120601136	9000005	3500	1	碎玻璃	碎玻璃	Glass Shard	ガラスの破片	깨진 유리	กระจกที่แตกหัก	造成破碎伤害+70%	造成破碎傷害+70%	Sunder DMG Dealt +70%	与える超会心ダメージ＋70%	부여하는 파쇄 대미지 +70%	ดา​เม​จบ​ด​ขยี้​ที่​สร้าง​ +70%​
120601141	12060114	1	0	120601141	9000005	0	1	笔记本电脑	筆記型電腦	Laptop	ノートパソコン	노트북 컴퓨터	แล็ปท็อป	造成破裂伤害+15%	造成破裂傷害+15%	Overload DMG Dealt +15%	与えるバフ特攻ダメージ＋15%	부여하는 파열 대미지 +15%	ดา​เม​จ​ฉีก​กระชาก​ที่​สร้าง​ +15%​
120601142	12060114	2	0	120601142	9000005	1000	1	笔记本电脑	筆記型電腦	Laptop	ノートパソコン	노트북 컴퓨터	แล็ปท็อป	造成破裂伤害+24%	造成破裂傷害+24%	Overload DMG Dealt +24%	与えるバフ特攻ダメージ＋24%	부여하는 파열 대미지 +24%	ดา​เม​จ​ฉีก​กระชาก​ที่​สร้าง​ +24%​
120601143	12060114	3	0	120601143	9000005	1500	1	笔记本电脑	筆記型電腦	Laptop	ノートパソコン	노트북 컴퓨터	แล็ปท็อป	造成破裂伤害+33%	造成破裂傷害+33%	Overload DMG Dealt +33%	与えるバフ特攻ダメージ＋33%	부여하는 파열 대미지 +33%	ดา​เม​จ​ฉีก​กระชาก​ที่​สร้าง​ +33%​
120601144	12060114	4	0	120601144	9000005	2000	1	笔记本电脑	筆記型電腦	Laptop	ノートパソコン	노트북 컴퓨터	แล็ปท็อป	造成破裂伤害+42%	造成破裂傷害+42%	Overload DMG Dealt +42%	与えるバフ特攻ダメージ＋42%	부여하는 파열 대미지 +42%	ดา​เม​จ​ฉีก​กระชาก​ที่​สร้าง​ +42%​
120601145	12060114	5	0	120601145	9000005	2500	1	笔记本电脑	筆記型電腦	Laptop	ノートパソコン	노트북 컴퓨터	แล็ปท็อป	造成破裂伤害+51%	造成破裂傷害+51%	Overload DMG Dealt +51%	与えるバフ特攻ダメージ＋51%	부여하는 파열 대미지 +51%	ดา​เม​จ​ฉีก​กระชาก​ที่​สร้าง​ +51%​
120601146	12060114	6	0	120601146	9000005	3500	1	笔记本电脑	筆記型電腦	Laptop	ノートパソコン	노트북 컴퓨터	แล็ปท็อป	造成破裂伤害+70%	造成破裂傷害+70%	Overload DMG Dealt +70%	与えるバフ特攻ダメージ＋70%	부여하는 파열 대미지 +70%	ดา​เม​จ​ฉีก​กระชาก​ที่​สร้าง​ +70%​
120601151	12060115	1	0	120601151	9000005	0	1	全家福	全家福	Family Photo	家族写真	가족사진	ภาพครอบครัว	造成破灭伤害+15%	造成破滅傷害+15%	Dire DMG Dealt +15%	与える弱体特攻ダメージ＋15%	부여하는 파멸 대미지 +15%	ดา​เม​จ​ทำลายล้าง​ที่​สร้าง​ +15%​
120601152	12060115	2	0	120601152	9000005	1000	1	全家福	全家福	Family Photo	家族写真	가족사진	ภาพครอบครัว	造成破灭伤害+24%	造成破滅傷害+24%	Dire DMG Dealt +24%	与える弱体特攻ダメージ＋24%	부여하는 파멸 대미지 +24%	ดา​เม​จ​ทำลายล้าง​ที่​สร้าง​ +24%​
120601153	12060115	3	0	120601153	9000005	1500	1	全家福	全家福	Family Photo	家族写真	가족사진	ภาพครอบครัว	造成破灭伤害+33%	造成破滅傷害+33%	Dire DMG Dealt +33%	与える弱体特攻ダメージ＋33%	부여하는 파멸 대미지 +33%	ดา​เม​จ​ทำลายล้าง​ที่​สร้าง​ +33%​
120601154	12060115	4	0	120601154	9000005	2000	1	全家福	全家福	Family Photo	家族写真	가족사진	ภาพครอบครัว	造成破灭伤害+42%	造成破滅傷害+42%	Dire DMG Dealt +42%	与える弱体特攻ダメージ＋42%	부여하는 파멸 대미지 +42%	ดา​เม​จ​ทำลายล้าง​ที่​สร้าง​ +42%​
120601155	12060115	5	0	120601155	9000005	2500	1	全家福	全家福	Family Photo	家族写真	가족사진	ภาพครอบครัว	造成破灭伤害+51%	造成破滅傷害+51%	Dire DMG Dealt +51%	与える弱体特攻ダメージ＋51%	부여하는 파멸 대미지 +51%	ดา​เม​จ​ทำลายล้าง​ที่​สร้าง​ +51%​
120601156	12060115	6	0	120601156	9000005	3500	1	全家福	全家福	Family Photo	家族写真	가족사진	ภาพครอบครัว	造成破灭伤害+70%	造成破滅傷害+70%	Dire DMG Dealt +70%	与える弱体特攻ダメージ＋70%	부여하는 파멸 대미지 +70%	ดา​เม​จ​ทำลายล้าง​ที่​สร้าง​ +70%​
120601161	12060116	1	0	120601161	9000005	0	1	沙发	沙發	Couch	ソファ	소파	โซฟา	造成最终伤害+10%	造成最終傷害+10%	Final DMG Dealt +10%	与える最終ダメージ＋10%	부여하는 최종 대미지 +10%	ดา​เม​จ​สุดท้าย​ที่​สร้าง​ +10%​
120601162	12060116	2	0	120601162	9000005	1000	1	沙发	沙發	Couch	ソファ	소파	โซฟา	造成最终伤害+18%	造成最終傷害+18%	Final DMG +18%	与える最終ダメージ＋18%	부여하는 최종 대미지 +18%	ดา​เม​จ​สุดท้าย​ที่​สร้าง​ +18%​
120601163	12060116	3	0	120601163	9000005	1500	1	沙发	沙發	Couch	ソファ	소파	โซฟา	造成最终伤害+26%	造成最終傷害+26%	Final DMG Dealt +26%	与える最終ダメージ＋26%	부여하는 최종 대미지 +26%	ดา​เม​จ​สุดท้าย​ที่​สร้าง​ +26%​
120601164	12060116	4	0	120601164	9000005	2000	1	沙发	沙發	Couch	ソファ	소파	โซฟา	造成最终伤害+35%	造成最終傷害+35%	Final DMG Dealt +35%	与える最終ダメージ＋35%	부여하는 최종 대미지 +35%	ดา​เม​จ​สุดท้าย​ที่​สร้าง​ +35%​
120601165	12060116	5	0	120601165	9000005	2500	1	沙发	沙發	Couch	ソファ	소파	โซฟา	造成最终伤害+43%	造成最終傷害+43%	Final DMG Dealt +43%	与える最終ダメージ＋43%	부여하는 최종 대미지 +43%	ดา​เม​จ​สุดท้าย​ที่​สร้าง​ +43%​
