id	activeId	storey	monsteType	nextLevel	unlockNum	exp	cardExp	costItem	costNum	costNumLose	proposalLevel	SceneId	rounds	roleNun	battleRules	powerMin	powerTeamMin	showMonster	powerRatioTeamID	status	label	label_zh_TW	label_en_UK	label_ja_JP	label_ko_KR	label_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
12065015	1	15	3	12065016	12065014	0	0	3000004	0	0	368400	14901	7	4		2930	130500	31012004	20	1	AYM-015	AYM-015	AYM-015	AYM-015	AYM-015	AYM-015	暗夜猫第15层	暗夜貓第15層	Night Cat Floor 15	ダークキャット第15層	다크나이트 캣 제15층	ไนต์แคทชั้นที่ 15
12065016	1	16	1	12065017	12065015	0	0	3000004	0	0	391500	14901	7	4		3050	143000	31021004	20	1	AYM-016	AYM-016	AYM-016	AYM-016	AYM-016	AYM-016	暗夜猫第16层	暗夜貓第16層	Night Cat Floor 16	ダークキャット第16層	다크나이트 캣 제16층	ไนต์แคทชั้นที่ 16
12065017	1	17	1	12065018	12065016	0	0	3000004	0	0	414600	14901	7	4		3170	148000	31022004	20	1	AYM-017	AYM-017	AYM-017	AYM-017	AYM-017	AYM-017	暗夜猫第17层	暗夜貓第17層	Night Cat Floor 17	ダークキャット第17層	다크나이트 캣 제17층	ไนต์แคทชั้นที่ 17
12065018	1	18	1	12065019	12065017	0	0	3000004	0	0	437700	14901	7	4		3290	157000	31023004	20	1	AYM-018	AYM-018	AYM-018	AYM-018	AYM-018	AYM-018	暗夜猫第18层	暗夜貓第18層	Night Cat Floor 18	ダークキャット第18層	다크나이트 캣 제18층	ไนต์แคทชั้นที่ 18
12065019	1	19	1	12065020	12065018	0	0	3000004	0	0	460800	14901	7	4		3410	169400	31024004	20	1	AYM-019	AYM-019	AYM-019	AYM-019	AYM-019	AYM-019	暗夜猫第19层	暗夜貓第19層	Night Cat Floor 19	ダークキャット第19層	다크나이트 캣 제19층	ไนต์แคทชั้นที่ 19
12065020	1	20	2	12065021	12065019	0	0	3000004	0	0	483900	14901	9	4		3650	179000	30108114	20	1	AYM-020	AYM-020	AYM-020	AYM-020	AYM-020	AYM-020	暗夜猫第20层	暗夜貓第20層	Night Cat Floor 20	ダークキャット第20層	다크나이트 캣 제20층	ไนต์แคทชั้นที่ 20
12065021	1	21	1	12065022	12065020	0	0	3000004	0	0	507000	14901	5	4		2000	193000	31026004	20	1	AYM-021	AYM-021	AYM-021	AYM-021	AYM-021	AYM-021	暗夜猫第21层	暗夜貓第21層	Night Cat Floor 21	ダークキャット第21層	다크나이트 캣 제21층	ไนต์แคทชั้นที่ 21
12065022	1	22	1	12065023	12065021	0	0	3000004	0	0	530100	14901	5	4		2000	198500	31030004	20	1	AYM-022	AYM-022	AYM-022	AYM-022	AYM-022	AYM-022	暗夜猫第22层	暗夜貓第22層	Night Cat Floor 22	ダークキャット第22層	다크나이트 캣 제22층	ไนต์แคทชั้นที่ 22
12065023	1	23	1	12065024	12065022	0	0	3000004	0	0	553200	14901	5	4		2000	204000	31031004	20	1	AYM-023	AYM-023	AYM-023	AYM-023	AYM-023	AYM-023	暗夜猫第23层	暗夜貓第23層	Night Cat Floor 23	ダークキャット第23層	다크나이트 캣 제23층	ไนต์แคทชั้นที่ 23
12065024	1	24	1	12065025	12065023	0	0	3000004	0	0	576300	14901	5	4		2000	214000	31040004	20	1	AYM-024	AYM-024	AYM-024	AYM-024	AYM-024	AYM-024	暗夜猫第24层	暗夜貓第24層	Night Cat Floor 24	ダークキャット第24層	다크나이트 캣 제24층	ไนต์แคทชั้นที่ 24
12065025	1	25	3	12065026	12065024	0	0	3000004	0	0	599400	14901	5	4		3770	219500	31041004	20	1	AYM-025	AYM-025	AYM-025	AYM-025	AYM-025	AYM-025	暗夜猫第25层	暗夜貓第25層	Night Cat Floor 25	ダークキャット第25層	다크나이트 캣 제25층	ไนต์แคทชั้นที่ 25
12065026	1	26	1	12065027	12065025	0	0	3000004	0	0	622500	14901	5	4		2000	228000	31042004	20	1	AYM-026	AYM-026	AYM-026	AYM-026	AYM-026	AYM-026	暗夜猫第26层	暗夜貓第26層	Night Cat Floor 26	ダークキャット第26層	다크나이트 캣 제26층	ไนต์แคทชั้นที่ 26
12065027	1	27	1	12065028	12065026	0	0	3000004	0	0	645600	14901	5	4		2000	232000	31043004	20	1	AYM-027	AYM-027	AYM-027	AYM-027	AYM-027	AYM-027	暗夜猫第27层	暗夜貓第27層	Night Cat Floor 27	ダークキャット第27層	다크나이트 캣 제27층	ไนต์แคทชั้นที่ 27
12065028	1	28	1	12065029	12065027	0	0	3000004	0	0	668700	14901	5	4		2000	236000	31044004	20	1	AYM-028	AYM-028	AYM-028	AYM-028	AYM-028	AYM-028	暗夜猫第28层	暗夜貓第28層	Night Cat Floor 28	ダークキャット第28層	다크나이트 캣 제28층	ไนต์แคทชั้นที่ 28
12065029	1	29	1	12065030	12065028	0	0	3000004	0	0	691800	14901	5	4		2000	242900	31045004	20	1	AYM-029	AYM-029	AYM-029	AYM-029	AYM-029	AYM-029	暗夜猫第29层	暗夜貓第29層	Night Cat Floor 29	ダークキャット第29層	다크나이트 캣 제29층	ไนต์แคทชั้นที่ 29
12065030	1	30	2	12065031	12065029	0	0	3000004	0	0	714900	14901	7	4		4130	246200	30108115	20	1	AYM-030	AYM-030	AYM-030	AYM-030	AYM-030	AYM-030	暗夜猫第30层	暗夜貓第30層	Night Cat Floor 30	ダークキャット第30層	다크나이트 캣 제30층	ไนต์แคทชั้นที่ 30
12065031	1	31	1	12065032	12065030	0	0	3000004	0	0	738000	14901	5	4		4250	253800	31046004	20	1	AYM-031	AYM-031	AYM-031	AYM-031	AYM-031	AYM-031	暗夜猫第31层	暗夜貓第31層	Night Cat Floor 31	ダークキャット第31層	다크나이트 캣 제31층	ไนต์แคทชั้นที่ 31
12065032	1	32	1	12065033	12065031	0	0	3000004	0	0	761100	14901	5	4		4370	256400	31050004	20	1	AYM-032	AYM-032	AYM-032	AYM-032	AYM-032	AYM-032	暗夜猫第32层	暗夜貓第32層	Night Cat Floor 32	ダークキャット第32層	다크나이트 캣 제32층	ไนต์แคทชั้นที่ 32
12065033	1	33	1	12065034	12065032	0	0	3000004	0	0	784200	14901	5	4		4430	259700	31051004	20	1	AYM-033	AYM-033	AYM-033	AYM-033	AYM-033	AYM-033	暗夜猫第33层	暗夜貓第33層	Night Cat Floor 33	ダークキャット第33層	다크나이트 캣 제33층	ไนต์แคทชั้นที่ 33
12065034	1	34	1	12065035	12065033	0	0	3000004	0	0	807300	14901	5	4		4550	266600	31052004	20	1	AYM-034	AYM-034	AYM-034	AYM-034	AYM-034	AYM-034	暗夜猫第34层	暗夜貓第34層	Night Cat Floor 34	ダークキャット第34層	다크나이트 캣 제34층	ไนต์แคทชั้นที่ 34
12065035	1	35	3	12065036	12065034	0	0	3000004	0	0	830400	14901	5	4		4670	269900	31053004	20	1	AYM-035	AYM-035	AYM-035	AYM-035	AYM-035	AYM-035	暗夜猫第35层	暗夜貓第35層	Night Cat Floor 35	ダークキャット第35層	다크나이트 캣 제35층	ไนต์แคทชั้นที่ 35
12065036	1	36	1	12065037	12065035	0	0	3000004	0	0	853500	14901	5	4		4790	277500	31056004	20	1	AYM-036	AYM-036	AYM-036	AYM-036	AYM-036	AYM-036	暗夜猫第36层	暗夜貓第36層	Night Cat Floor 36	ダークキャット第36層	다크나이트 캣 제36층	ไนต์แคทชั้นที่ 36
12065037	1	37	1	12065038	12065036	0	0	3000004	0	0	876600	14901	5	4		4910	280100	31102004	20	1	AYM-037	AYM-037	AYM-037	AYM-037	AYM-037	AYM-037	暗夜猫第37层	暗夜貓第37層	Night Cat Floor 37	ダークキャット第37層	다크나이트 캣 제37층	ไนต์แคทชั้นที่ 37
12065038	1	38	1	12065039	12065037	0	0	3000004	0	0	899700	14901	5	4		5030	283900	31103004	20	1	AYM-038	AYM-038	AYM-038	AYM-038	AYM-038	AYM-038	暗夜猫第38层	暗夜貓第38層	Night Cat Floor 38	ダークキャット第38層	다크나이트 캣 제38층	ไนต์แคทชั้นที่ 38
12065039	1	39	1	12065040	12065038	0	0	3000004	0	0	922800	14901	5	4		5150	290500	31104004	20	1	AYM-039	AYM-039	AYM-039	AYM-039	AYM-039	AYM-039	暗夜猫第39层	暗夜貓第39層	Night Cat Floor 39	ダークキャット第39層	다크나이트 캣 제39층	ไนต์แคทชั้นที่ 39
12065040	1	40	2	12065041	12065039	0	0	3000004	0	0	945900	14901	7	4		5330	294200	30108116	20	1	AYM-040	AYM-040	AYM-040	AYM-040	AYM-040	AYM-040	暗夜猫第40层	暗夜貓第40層	Night Cat Floor 40	ダークキャット第40層	다크나이트 캣 제40층	ไนต์แคทชั้นที่ 40
12065041	1	41	1	12065042	12065040	0	0	3000004	0	0	969000	14901	5	4		4250	253800	31046004	20	1												
12065042	1	42	1	12065043	12065041	0	0	3000004	0	0	992100	14901	5	4		4370	256400	31050004	20	1												
12065043	1	43	1	12065044	12065042	0	0	3000004	0	0	1015200	14901	5	4		4430	259700	31051004	20	1												
12065044	1	44	1	12065045	12065043	0	0	3000004	0	0	1038300	14901	5	4		4550	266600	31052004	20	1												
12065045	1	45	3	12065046	12065044	0	0	3000004	0	0	1061400	14901	5	4		4670	269900	31053004	20	1												
12065046	1	46	1	12065047	12065045	0	0	3000004	0	0	1084500	14901	5	4		4790	277500	31056004	20	1												
12065047	1	47	1	12065048	12065046	0	0	3000004	0	0	1107600	14901	5	4		4910	280100	31102004	20	1												
12065048	1	48	1	12065049	12065047	0	0	3000004	0	0	1130700	14901	5	4		5030	283900	31103004	20	1												
12065049	1	49	1	12065050	12065048	0	0	3000004	0	0	1153800	14901	5	4		5150	290500	31104004	20	1												
12065050	1	50	2	0	12065049	0	0	3000004	0	0	1200000	14901	7	4		5330	294200	30108116	20	1												
