Id	close	mid	closeZoom	midZoom	mix	mixZoom	status
802008	-0.02;0.10;0	0;0.058;0	1;1;1	1;1;1	0;-0.16;0	1;1;1	1
128008	-0.02;0.10;0	0;0.058;0	1;1;1	1;1;1	0;-0.16;0	1;1;1	1
144008	-0.02;0.10;0	0;0;0	1;1;1	1;1;1	0;-0.2;-0.2	1;1;1	1
144001	-0.02;0.10;0	0;0;0	1;1;1	1;1;1	0;-0.2;-0.2	1;1;1	1
120008	0;0.27;0	0;0.16;0	1;1;1	1;1;1	0;-0.03;0	1;1;1	1
20034	-0.02;0.10;0	0;0.058;0	1;1;1	1;1;1	0;-0.2;0	1;1;1	1
804008	0;0;0	0;0;0	1;1;1	1;1;1	0;0;0	1;1;1	1
805008	0;0;0	0;0;0	1;1;1	1;1;1	0;0;0	1;1;1	1
806008	0;0.75;0	0;0.4;0	0.7;0.7;0.7	0.8;0.8;0.8	0;0.15;0	0.85;0.85;0.85	1
122008	-0.02;0.10;0	0;0;0	1;1;1	1;1;1	0;-0.2;-0.2	1;1;1	1
153008	-0.02;0.10;0	0;0;0	1;1;1	1;1;1	0;-0.2;-0.2	1;1;1	1
149008	0;-0.2;0	0;0;0	1;1;1	1;1;1	0;-0.3;0	1;1;1	1
749008	0;0;0	0;0;0	1;1;1	1;1;1	-0.2;0.7;1.4	1;1;1	1
152008	-0.02;0.10;0	0;0;0	1;1;1	1;1;1	0;-0.05;-0.2	1;1;1	1
134008	-0.02;0.10;0	0;0.058;0	1;1;1	1;1;1	0;-0.16;0	1;1;1	1
109002	0;0.05;0	0;0;0	1;1;1	1;1;1	0;-0.2;0	1;1;1	1
133008	-0.02;0.10;0	0;0.058;0	1;1;1	1;1;1	0;-0.2;0	1;1;1	1
4024	-0.02;0.10;0	0;0.058;0	1;1;1	1;1;1	0;-0.23;0	1;1;1	1
119008	-0.02;0.10;0	0;0.058;0	1;1;1	1;1;1	0;-0.16;0	1;1;1	1
139008	0;0;0	0;0;0	1;1;1	1;1;1	0;0.1;0	1;1;1	1
137008	-0.02;0.10;0	0;0.058;0	1;1;1	1;1;1	0;-0.16;0	1;1;1	1
148008	-0.02;0.10;0	0;0.058;0	1;1;1	1;1;1	0;-0.19;0	1;1;1	1
151008	-0.02;0.10;0	0;0.058;0	1;1;1	1;1;1	0;-0.21;0	1;1;1	1
150008	0;0.28;0	0;0.178;0	1;1;1	1;1;1	0;-0.04;0	1;1;1	1
15100850	-0.02;0.10;0	0;0.058;0	1;1;1	1;1;1	0;-0.21;0	1;1;1	1
154008	-0.02;0.10;0	0;0.058;0	1;1;1	1;1;1	0;-0.2;0	1;1;1	1
10101304	-0.02;0.10;0	0;0;0	1;1;1	1;1;1	0;-0.29;0	1;1;1	1
12800802	-0.02;0.10;0	0;0.058;0	1;1;1	1;1;1	0;-0.16;0	1;1;1	1
131001	0;0.28;0	0;0.178;0	1;1;1	1;1;1	0;0.1;0	0.9;0.9;0.9	1
161008	-0.02;0.10;0	0;0.058;0	1;1;1	1;1;1	0;-0.16;0	1;1;1	1
155008	0;0;0	0;0;0	1;1;1	1;1;1	0;-0.12;0	1;1;1	1
162008	0;0.28;0	0;0.178;0	1;1;1	1;1;1	0;-0.03;0	1;1;1	1
163008	-0.02;0.10;0	0;0.058;0	1;1;1	1;1;1	0;-0.16;0	1;1;1	1
164008	0;0;0	0;0;0	1;1;1	1;1;1	0;-0.12;0	1;1;1	1
146008	-0.02;0.10;0	0;0.058;0	1;1;1	1;1;1	0;-0.16;0	1;1;1	1
165008	-0.02;0.10;0	0;0.058;0	1;1;1	1;1;1	0;-0.16;0	1;1;1	1
135002	-0.02;0.10;0	0;0.058;0	1;1;1	1;1;1	0;-0.16;0	1;1;1	1
144002	-0.02;0.10;0	0;0;0	1;1;1	1;1;1	0;-0.2;-0.2	1;1;1	1
739008	0;0;0	0;0;0	1;1;1	1;1;1	0;0.1;0	1;1;1	1
170008	0;0.35;0	0;0.178;0	1;1;1	1;1;1	0;-0.03;0	1;1;1	1
172008	-0.02;0.10;0	0;0.058;0	1;1;1	1;1;1	0;-0.16;0	1;1;1	1
173008	0;0;0	0;0;0	1;1;1	1;1;1	0;-0.12;0	1;1;1	1
171008	0;0;0	0;0;0	1;1;1	1;1;1	0;-0.12;0	1;1;1	1
169008	0;0.35;0	0;0.178;0	1;1;1	1;1;1	0;-0.03;0	1;1;1	1
4054	-0.02;0.10;0	0;0.058;0	1;1;1	1;1;1	0;-0.16;0	1;1;1	1
4055	-0.02;0.10;0	0;0.058;0	1;1;1	1;1;1	0;-0.16;0	1;1;1	1
