groupId	prechangeId	postchangeId	hour	status	hash	location	location_zh_TW	location_en_UK	location_ja_JP	location_ko_KR	location_th_TH	day	day_zh_TW	day_en_UK	day_ja_JP	day_ko_KR	day_th_TH
countdown_19			1:20	1	d9470e2693f4e165e9afe3c4b7a3bbff	贝克猫餐厅 一楼	貝克貓餐廳 一樓	1st Floor, Baker's Cafe	ベイカーキャットレストラン　1階	베이커캣 카페테리아 1층	เบเกอร์คาเฟ่ ชั้น 1	2217/8/31	2217/8/31	August 31, 2217	2217/8/31	2217년 8월 31일	31/08/2217  
countdown_20			1:20	1	836e82ebc3920056779638890b4f2f66	贝克猫餐厅 一楼	貝克貓餐廳 一樓	1st Floor, Baker's Cafe	ベイカーキャットレストラン　1階	베이커캣 카페테리아 1층	เบเกอร์คาเฟ่ ชั้น 1	2217/8/31	2217/8/31	August 31, 2217	2217/8/31	2217년 8월 31일	31/08/2217  
countdown_21			2:17	1	528f5f14a040277ab9daef2804101a17	贝克猫餐厅 二楼	貝克貓餐廳 二樓	2nd Floor, Baker's Cafe	ベイカーキャットレストラン　2階	베이커캣 카페테리아 2층	เบเกอร์คาเฟ่ ชั้น 2	2217/8/31	2217/8/31	August 31, 2217	2217/8/31	2217년 8월 31일	31/08/2217  
countdown_22			2:30	1	eb76746f97c407dcf3bd5c85aad59ea3	贝克猫餐厅 主卧室	貝克貓餐廳 主臥室	Master Bedroom, Baker's Cafe	ベイカーキャットレストラン　寝室	베이커캣 카페테리아 메인 침실	ห้องนอนใหญ่เบเกอร์คาเฟ่	2217/8/31	2217/8/31	August 31, 2217	2217/8/31	2217년 8월 31일	31/08/2217  
countdown_23			4:00	1	41089822ccc5bf847ea5dfb4438c6ebc	贝克猫餐厅 主卧室	貝克貓餐廳 主臥室	Master Bedroom, Baker's Cafe	ベイカーキャットレストラン　寝室	베이커캣 카페테리아 메인 침실	ห้องนอนใหญ่เบเกอร์คาเฟ่	2217/8/31	2217/8/31	August 31, 2217	2217/8/31	2217년 8월 31일	31/08/2217  
countdown_24			13:02	1	5f0bb0d697fabd00577251f1f5d4872d	暴风眼 办公室	暴風眼 辦公室	The Office, StormEye	ストームアイ　オフィス	스톰아이 사무실	สำนักงาน สตอร์มอาย	2217/7/11	2217/7/11	August 31, 2217	2217/7/11	2217년 7월 11일	11-07-17
countdown_25			6:21	1	595dc441fd09f3c5e78340f2d5790d74	贝克猫餐厅 主卧室	貝克貓餐廳 主臥室	Master Bedroom, Baker's Cafe	ベイカーキャットレストラン　寝室	베이커캣 카페테리아 메인 침실	ห้องนอนใหญ่เบเกอร์คาเฟ่	2217/8/31	2217/8/31	August 31, 2217	2217/8/31	2217년 8월 31일	31/08/2217  
countdown_26			8:03	1	c76e02d55bf626d7d473032f5e054167	贝克猫餐厅 一楼	貝克貓餐廳 一樓	1st Floor, Baker's Cafe	ベイカーキャットレストラン　1階	베이커캣 카페테리아 1층	เบเกอร์คาเฟ่ ชั้น 1	2217/8/31	2217/8/31	August 31, 2217	2217/8/31	2217년 8월 31일	31/08/2217  
countdown_27			9:15	1	a94d0359c961118a3771021ea2623084	贝克猫餐厅 二楼	貝克貓餐廳 二樓	2nd Floor, Baker's Cafe	ベイカーキャットレストラン　2階	베이커캣 카페테리아 2층	เบเกอร์คาเฟ่ ชั้น 2	2217/8/31	2217/8/31	August 31, 2217	2217/8/31	2217년 8월 31일	31/08/2217  
countdown_28			10:35	1	e71f4f4e3f40f888dd639cf667743a06	柴郡猫乐园	柴郡貓樂園	Cheshire Cat Park	チェシャ猫ランド	체셔 캣 랜드	สวนสนุกเชสเชียร์	2217/8/31	2217/8/31	August 31, 2217	2217/8/31	2217년 8월 31일	31/08/2217  
countdown_29			11:09	1	16565bd0b6eac00b03fc09bb50c3ace1	柴郡猫乐园周边	柴郡貓樂園周邊	Outskirts, Cheshire Cat Park	チェシャ猫ランド　周辺	체셔 캣 랜드 주변	บริเวณรอบสวนสนุกเชสเชียร์	2217/8/31	2217/8/31	August 31, 2217	2217/8/31	2217년 8월 31일	31/08/2217  
countdown_30			11:09	1	66af925ba75a851d085aebccddeeb2e0	柴郡猫乐园 摩天轮	柴郡貓樂園 摩天輪	Ferris Wheel, Cheshire Cat Park	チェシャ猫ランド　観覧車	체셔 캣 랜드 관람차	ชิงช้าสวรรค์ สวนสนุกเชสเชียร์	2217/8/31	2217/8/31	August 31, 2217	2217/8/31	2217년 8월 31일	31/08/2217  
countdown_31			11:23	1	071ed621fa097ba1c4a2428f59fa893e	柴郡猫乐园 摩天轮	柴郡貓樂園 摩天輪	Ferris Wheel, Cheshire Cat Park	チェシャ猫ランド　観覧車	체셔 캣 랜드 관람차	ชิงช้าสวรรค์ สวนสนุกเชสเชียร์	2217/8/31	2217/8/31	August 31, 2217	2217/8/31	2217년 8월 31일	31/08/2217  
countdown_32			12:09	1	728304dcc8a10ba78db5005fd7561e76	柴郡猫乐园 办公大楼	柴郡貓樂園 辦公大樓	Office Building, Cheshire Cat Park	チェシャ猫ランド　観覧車	체셔 캣 랜드 사무실	ตึกสำนักงาน สวนสนุกเชสเชียร์	2217/8/31	2217/8/31	August 31, 2217	2217/8/31	2217년 8월 31일	31/08/2217  
countdown_33			12:17	1	f283019933e7e4e1b0fc426447bac707	柴郡猫乐园 控制室	柴郡貓樂園 控制室	Control Room, Cheshire Cat Park	チェシャ猫ランド　コントロール室	체셔 캣 랜드 통제실	ห้องควบคุม สวนสนุกเชสเชียร์	2217/8/31	2217/8/31	August 31, 2217	2217/8/31	2217년 8월 31일	31/08/2217  
countdown_34			12:41	1	03e1846f1acca216a16f05b8450ac3a5	柴郡猫乐园 ???	柴郡貓樂園 ???	Cheshire Cat Park ???	チェシャ猫ランド　観覧車	체셔 캣 랜드 ???	??? สวนสนุกเชสเชียร์	2217/8/31	2217/8/31	August 31, 2217	2217/8/31	2217년 8월 31일	31/08/2217  
countdown_35			13:05	1	247db1824f39c56af8d79c8ab1cecf09	柴郡猫乐园	柴郡貓樂園	Cheshire Cat Park	チェシャ猫ランド	체셔 캣 랜드	สวนสนุกเชสเชียร์	2217/8/31	2217/8/31	August 31, 2217	2217/8/31	2217년 8월 31일	31/08/2217  
countdown_36			13:37	1	0fc3b4f8bdb309e36b99af3939bbee61	柴郡猫乐园 大门	柴郡貓樂園 大門	Main Gate, Cheshire Cat Park	チェシャ猫ランド　正門	체셔 캣 랜드 정문	ประตูใหญ่ สวนสนุกเชสเชียร์	2217/8/31	2217/8/31	August 31, 2217	2217/8/31	2217년 8월 31일	31/08/2217  
countdown_37	135	134		1	1738a55b2924c391304a12101a2379f6												
countdown_38			7:01	1	8a296ac9c3cbf4c94c43443706a7314d	贝克猫餐厅 一楼	貝克貓餐廳 一樓	1st Floor, Baker's Cafe	ベイカーキャットレストラン　1階	베이커캣 카페테리아 1층	เบเกอร์คาเฟ่ ชั้น 1	2217/9/1	2217/9/1	September 1, 2217	2217/9/1	2217년 9월 1일	01-09-17
countdown_39			7:37	1	44c3d45e366ee9413c0b42b20e941b72	贝克猫餐厅 二楼	貝克貓餐廳 二樓	2nd Floor, Baker's Cafe	ベイカーキャットレストラン　2階	베이커캣 카페테리아 2층	เบเกอร์คาเฟ่ ชั้น 2	2217/9/1	2217/9/1	September 1, 2217	2217/9/1	2217년 9월 1일	01-09-17
countdown_40			8:09	1	243b959c36602e91cc26f5eb842c7d6a	贝克猫餐厅 一楼	貝克貓餐廳 一樓	1st Floor, Baker's Cafe	ベイカーキャットレストラン　1階	베이커캣 카페테리아 1층	เบเกอร์คาเฟ่ ชั้น 1	2217/9/1	2217/9/1	September 1, 2217	2217/9/1	2217년 9월 1일	01-09-17
countdown_41	134	133		1	23aa648b904bb0caa3566a04b67b685d												
countdown_42			2:31	1	54048bd6553984ef960f1db27f6eb531	贝克猫餐厅 二楼	貝克貓餐廳 二樓	2nd Floor, Baker's Cafe	ベイカーキャットレストラン　2階	베이커캣 카페테리아 2층	เบเกอร์คาเฟ่ ชั้น 2	2217/9/2	2217/9/2	September 2, 2217	2217/9/2	2217년 9월 2일	02-09-17
countdown_43			10:47	1	e1b895823383fb4c01296653fe486ee7	情绪干预中心 监护病房	情緒干預中心 監護病房	Intensive Care Unit, ERC	ERC　看護室	이모션 컨트롤 센터 보호 병동	ห้องดูแลผู้ป่วย ศูนย์เยียวยาพาโธซิส	2217/9/2	2217/9/2	September 2, 2217	2217/9/2	2217년 9월 2일	02-09-17
countdown_44			11:29	1	d4dd4d506b064e4d91fabdefaa02d16b	情绪干预中心 重症3区	情緒干預中心 重症3區	ICU, Ward 3, ERC	ERC　集中治療室3区	이모션 컨트롤 센터 중환자실 3병동	แผนกผู้ป่วยหนักที่ 3 ศูนย์เยียวยาพาโธซิส	2217/9/2	2217/9/2	September 2, 2217	2217/9/2	2217년 9월 2일	02-09-17
countdown_45			11:42	1	27c2aeb0488f5c4975240cf544bb20aa	情绪干预中心 重症3区	情緒干預中心 重症3區	ICU, Ward 3, ERC	ERC　集中治療室3区	이모션 컨트롤 센터 중환자실 3병동	แผนกผู้ป่วยหนักที่ 3 ศูนย์เยียวยาพาโธซิส	2217/9/2	2217/9/2	September 2, 2217	2217/9/2	2217년 9월 2일	02-09-17
countdown_46			12:41	1	083e48a8ce9bbee76d86c78affad8b17	情绪干预中心 重症3区	情緒干預中心 重症3區	ICU, Ward 3, ERC	ERC　集中治療室3区	이모션 컨트롤 센터 중환자실 3병동	แผนกผู้ป่วยหนักที่ 3 ศูนย์เยียวยาพาโธซิส	2217/9/2	2217/9/2	September 2, 2217	2217/9/2	2217년 9월 2일	02-09-17
countdown_47			13:02	1	36dbefb1b2397365e57f971bac89bf97	情绪干预中心 中心花园	情緒干預中心 中心花園	Central Garden, ERC	ERC　中央ガーデン	이모션 컨트롤 센터 중앙 정원	สวนกลาง ศูนย์เยียวยาพาโธซิส	2217/9/2	2217/9/2	September 2, 2217	2217/9/2	2217년 9월 2일	02-09-17
countdown_48	133	132		1	f943fb33d4101ce315f7c58f34d91f69												
countdown_49			3:20	1	c39ee6f4d85b1db6b96dc5c5ecde871f	贝克猫餐厅 主卧室	貝克貓餐廳 主臥室	Master Bedroom, Baker's Cafe	ベイカーキャットレストラン　寝室	베이커캣 카페테리아 메인 침실	ห้องนอนใหญ่เบเกอร์คาเฟ่	2217/9/3	2217/9/3	September 3, 2217	2217/9/3	2217년 9월 3일	03-09-17
countdown_50			5:41	1	ebc0e27648a0f934987d4eb02148ba05	贝克猫餐厅 主卧室	貝克貓餐廳 主臥室	Master Bedroom, Baker's Cafe	ベイカーキャットレストラン　寝室	베이커캣 카페테리아 메인 침실	ห้องนอนใหญ่เบเกอร์คาเฟ่	2217/9/3	2217/9/3	September 3, 2217	2217/9/3	2217년 9월 3일	03-09-17
countdown_51			6:37	1	76a5af0bc14bff7d2947944c504dd7be	贝克猫餐厅 一楼	貝克貓餐廳 一樓	1st Floor, Baker's Cafe	ベイカーキャットレストラン　1階	베이커캣 카페테리아 1층	เบเกอร์คาเฟ่ ชั้น 1	2217/9/3	2217/9/3	September 3, 2217	2217/9/3	2217년 9월 3일	03-09-17
countdown_52			7:41	1	38acf6094c40547238cf0322fe999f15	贝克猫餐厅 二楼	貝克貓餐廳 二樓	2nd Floor, Baker's Cafe	ベイカーキャットレストラン　2階	베이커캣 카페테리아 2층	เบเกอร์คาเฟ่ ชั้น 2	2217/9/3	2217/9/3	September 3, 2217	2217/9/3	2217년 9월 3일	03-09-17
countdown_53			9:47	1	2e9c4dcd924fdf454d37c3efd82b5941	南港区 花园街	南港區 花園街	Garden Street, Southport	南港区　ガーデンストリート	사우스포트 가든 스트리트	ถนนการ์เด้น เขตทะเลใต้	2217/9/3	2217/9/3	September 3, 2217	2217/9/3	2217년 9월 3일	03-09-17
countdown_54			10:03	1	da6b3799c60100851d62f5a14da21d33	南港区 花园街	南港區 花園街	Garden Street, Southport	南港区　ガーデンストリート	사우스포트 가든 스트리트	ถนนการ์เด้น เขตทะเลใต้	2217/9/3	2217/9/3	September 3, 2217	2217/9/3	2217년 9월 3일	03-09-17
countdown_55			17:21	1	4d01801af91c3f21599641ec350ebe68	南港区 花园街	南港區 花園街	Garden Street, Southport	南港区　ガーデンストリート	사우스포트 가든 스트리트	ถนนการ์เด้น เขตทะเลใต้	2217/9/3	2217/9/3	September 3, 2217	2217/9/3	2217년 9월 3일	03-09-17
countdown_56			18:00	1	3700b5de44ce130b743dd82791bc099c	南港区 花园街	南港區 花園街	Garden Street, Southport	南港区　ガーデンストリート	사우스포트 가든 스트리트	ถนนการ์เด้น เขตทะเลใต้	2217/9/3	2217/9/3	September 3, 2217	2217/9/3	2217년 9월 3일	03-09-17
countdown_57	132	131		1	0ef337a5bc63043aabc6f0b833a519e0												
countdown_58			8:51	1	fd3afe3240123c3faea7a5921f77180e	南港区 白猫侦探社 走廊	南港區 白貓偵探社 走廊	Hallway, Furrmeow Detectives	南港区　白猫探偵社　廊下	사우스포트 화이트캣 탐정 사무소 복도	ระเบียง สำนักงานนักสืบไวท์แคท เขตทะเลใต้	2217/9/4	2217/9/4	September 4, 2217	2217/9/4	2217년 9월 4일	04-09-17
countdown_59			8:51	1	8602a6e131b9380b395b250ada20e498	南港区 白猫侦探社 客厅	南港區 白貓偵探社 客廳	Living Room, Furrmeow Detectives	南港区　白猫探偵社　リビング	사우스포트 화이트캣 탐정 사무소 응접실	ห้องนั่งเล่น สำนักงานนักสืบไวท์แคท เขตทะเลใต้	2217/9/4	2217/9/4	September 4, 2217	2217/9/4	2217년 9월 4일	04-09-17
countdown_60				1	e23c58ae9f303017e5bf95c37e787b99	？？？	？？？	???	？？？	???	???	未知时间	未知时间	Unknown	????	알 수 없음	？？？
countdown_61			11:19	1	d3c2e4561e0fed0aa7bc9a24c851b73d	南港区 白猫侦探社 客厅	南港區 白貓偵探社 客廳	Living Room, Furrmeow Detectives	南港区　白猫探偵社　リビング	사우스포트 화이트캣 탐정 사무소 응접실	ห้องนั่งเล่น สำนักงานนักสืบไวท์แคท เขตทะเลใต้	2217/9/4	2217/9/4	September 4, 2217	2217/9/4	2217년 9월 4일	04-09-17
countdown_62			11:19	1	1106f3ff077c9e90759ff1b901188d64	昆士区 商业街	昆士區 商業街	Commercial Street, Quince	コンシ区　商店街	퀸즈 타운 상점가	ถนนการค้า เขตควินซ์	2217/9/4	2217/9/4	September 4, 2217	2217/9/4	2217년 9월 4일	04-09-17
countdown_63			11:55	1	95f2c3f62a5d1a856d55a0284f1f664f	贝克猫餐厅 二楼	貝克貓餐廳 二樓	2nd Floor, Baker's Cafe	ベイカーキャットレストラン　2階	베이커캣 카페테리아 2층	เบเกอร์คาเฟ่ ชั้น 2	2217/9/4	2217/9/4	September 4, 2217	2217/9/4	2217년 9월 4일	04-09-17
countdown_64			12:17	1	f671856aefc6b5b8c4f48b47a8e38a66	昆士区 五城广场	昆士區 五城廣場	Quintupolis Plaza, Quince	コンシ区　五城広場	퀸즈 타운 펜타폴리스	จัตุรัสควินซ์ เขตควินซ์	2217/9/4	2217/9/4	September 4, 2217	2217/9/4	2217년 9월 4일	04-09-17
countdown_65			15:23	1	e6467ce0739f7247578320c714c21cde	贝克猫餐厅 二楼	貝克貓餐廳 二樓	2nd Floor, Baker's Cafe	ベイカーキャットレストラン　2階	베이커캣 카페테리아 2층	เบเกอร์คาเฟ่ ชั้น 2	2217/9/4	2217/9/4	September 4, 2217	2217/9/4	2217년 9월 4일	04-09-17
countdown_66			19:56	1	32fe1ca2e49272f34b21798523aa56aa	南港区 工业园区	南港區 工業園區	Industrial District, Southport	南港区　工場区	사우스포트 공업단지	เขตอุตสาหกรรม เขตทะเลใต้	2217/9/4	2217/9/4	September 4, 2217	2217/9/4	2217년 9월 4일	04-09-17
countdown_67			20:11	1	4754007659cf1cb4984c595ba3bae5d8	织巢纺织厂 门口	織巢紡織廠 門口	Entrance, Nestweave's Textiles	織巣織物工場　工場前	베뉴 방직공장 정문	หน้าโรงงานทอผ้าวีฟวิง	2217/9/4	2217/9/4	September 4, 2217	2217/9/4	2217년 9월 4일	04-09-17
countdown_68			22:05	1	b93f120c75363d3931756c84d922b7d5	贝克街餐厅 一楼	貝克街餐廳 一樓	1st Floor, Baker's Cafe	ベイカーキャットレストラン　1階	베이커캣 카페테리아 1층	ร้านอาหารถนนเบเกอร์ ชั้น 1	2217/9/4	2217/9/4	September 4, 2217	2217/9/4	2217년 9월 4일	04-09-17
countdown_69			22:41	1	d3fdb5e6f4ffb559db39e1dce93902d9	贝克街餐厅 天台	貝克街餐廳 天台	Rooftop, Baker's Cafe	ベイカーキャットレストラン　屋上	베이커캣 카페테리아 발코니	ร้านอาหารถนนเบเกอร์ ดาดฟ้า	2217/9/4	2217/9/4	September 4, 2217	2217/9/4	2217년 9월 4일	04-09-17
countdown_70	131	130		1	d117f28d1e38d401ff68759dd7e3801f												
countdown_71			7:11	1	658de2526cc1ef4b30f0ede501f94de6	贝克街 四时花门口	貝克街 四時花門口	Entrance, Four Seasons, Baker Street	ベイカーストリート　四時花前	베이커 가 포시즌 플라워 입구	หน้าร้านดอกไม้สี่ฤดู ถนนเบเกอร์	2217/9/5	2217/9/5	September 5, 2217	2217/9/5	2217년 9월 5일	05-09-17
countdown_72			7:23	1	cdde0ddbb4586b74b3bde1dd98f3b403	南港区	南港區	Southport	南港区	사우스포트	เขตทะเลใต้	2217/9/5	2217/9/5	September 5, 2217	2217/9/5	2217년 9월 5일	05-09-17
countdown_73			9:32	1	67005e1e622ab89323601dde7d42286a	南港区 星光福利院	南港區 星光福利院	Starlight Orphanage, Southport	南港区　スターライト院	사우스포트 스타라이트 복지 센터	สถานสงเคราะห์สตาร์ไชน์ เขตทะเลใต้	2217/9/5	2217/9/5	September 5, 2217	2217/9/5	2217년 9월 5일	05-09-17
countdown_74			11:24	1	aa91e33f4ad15ac0bc05f7024947201e	南港区 星光福利院	南港區 星光福利院	Starlight Orphanage, Southport	南港区　スターライト院	사우스포트 스타라이트 복지 센터	สถานสงเคราะห์สตาร์ไชน์ เขตทะเลใต้	2217/9/5	2217/9/5	September 5, 2217	2217/9/5	2217년 9월 5일	05-09-17
countdown_75			14:57	1	b47fc0ff85c675e8809d9e75c4348f28	南港区 白猫侦探社	南港區 白貓偵探社	Furrmeow Detectives, Southport	南港区　白猫探偵社	사우스포트 화이트캣 탐정 사무소	สำนักงานนักสืบไวท์แคท เขตทะเลใต้	2217/9/5	2217/9/5	September 5, 2217	2217/9/5	2217년 9월 5일	05-09-17
countdown_76	130	129		1	f022f5724ef4116e938f525b2f95b039												
countdown_77			0:01	1	f5829c64c348d2d860448ab817e244dd	南港区 织巢纺织厂	南港區 織巢紡織廠	Nestweave's Textiles, Southport	南港区　織巣織物工場	사우스포트 베뉴 방직공장	โรงงานทอผ้าวีฟวิง เขตทะเลใต้	2217/9/6	2217/9/6	September 6, 2217	2217/9/6	2217년 9월 6일	06-09-17
countdown_78			0:37	1	05b326ebae8a9e2243e48d34ece58ad6	南港区 工业园区	南港區 工業園區	Industrial District, Southport	南港区　工場区	사우스포트 공업단지	เขตอุตสาหกรรม เขตทะเลใต้	2217/9/6	2217/9/6	September 6, 2217	2217/9/6	2217년 9월 6일	06-09-17
countdown_79			1:59	1	bcf24c5284585f28d611bcef8b18b519	昆士区 贝克猫餐厅一楼	昆士區 貝克貓餐廳一樓	1st Floor, Baker's Cafe	コンシ区　ベイカーキャットレストラン　1階	퀸즈 타운 베이커캣 카페테리아 1층	ชั้น 1 เบเกอร์คาเฟ่ เขตควินซ์	2217/9/6	2217/9/6	September 6, 2217	2217/9/6	2217년 9월 6일	06-09-17
countdown_80			7:31	1	c90d7d53605b0630d55183789af73c17	昆士区 贝克猫餐厅一楼	昆士區 貝克貓餐廳一樓	1st Floor, Baker's Cafe	コンシ区　ベイカーキャットレストラン　1階	퀸즈 타운 베이커캣 카페테리아 1층	ชั้น 1 เบเกอร์คาเฟ่ เขตควินซ์	2217/9/6	2217/9/6	September 6, 2217	2217/9/6	2217년 9월 6일	06-09-17
countdown_81			10:09	1	2c8ded1d5701bc11e0fe1d4e24f3b324	昆士区 贝克猫餐厅二楼	昆士區 貝克貓餐廳二樓	2nd Floor, Baker's Cafe	コンシ区　ベイカーキャットレストラン　2階	퀸즈 타운 베이커캣 카페테리아 2층	ชั้น 2 เบเกอร์คาเฟ่ เขตควินซ์	2217/9/6	2217/9/6	September 6, 2217	2217/9/6	2217년 9월 6일	06-09-17
countdown_82			10:41	1	e43f55a0c7d4e7212528a8916e94defa	南港区 无名小路	南港區 無名小路	Unnamed Path, Southport	南港区　名もない道	사우스포트 이름 모를 길	ถนนไร้ชื่อ เขตทะเลใต้	2217/9/6	2217/9/6	September 6, 2217	2217/9/6	2217년 9월 6일	06-09-17
countdown_83			10:50	1	cbbe472f919abc7aaabf874a32f5a44c	南港区 星光福利院	南港區 星光福利院	Starlight Orphanage, Southport	南港区　スターライト院	사우스포트 스타라이트 복지 센터	สถานสงเคราะห์สตาร์ไชน์ เขตทะเลใต้	2217/9/6	2217/9/6	September 6, 2217	2217/9/6	2217년 9월 6일	06-09-17
countdown_84			11:02	1	641105ef45ffa0fb9239908af3b1088b	南港区 星光福利院	南港區 星光福利院	Starlight Orphanage, Southport	南港区　スターライト院	사우스포트 스타라이트 복지 센터	สถานสงเคราะห์สตาร์ไชน์ เขตทะเลใต้	2217/9/6	2217/9/6	September 6, 2217	2217/9/6	2217년 9월 6일	06-09-17
countdown_85			13:29	1	20d144c589f49a8685eb112eb8511ac0	南港区 星光福利院	南港區 星光福利院	Starlight Orphanage, Southport	南港区　スターライト院	사우스포트 스타라이트 복지 센터	สถานสงเคราะห์สตาร์ไชน์ เขตทะเลใต้	2217/9/6	2217/9/6	September 6, 2217	2217/9/6	2217년 9월 6일	06-09-17
countdown_86			21:51	1	9f8aec874860a4e9dcc44e506201c4fc	昆士区 贝克猫餐厅一楼	昆士區 貝克貓餐廳一樓	1st Floor, Baker's Cafe	コンシ区　ベイカーキャットレストラン　1階	퀸즈 타운 베이커캣 카페테리아 1층	ชั้น 1 เบเกอร์คาเฟ่ เขตควินซ์	2217/9/6	2217/9/6	September 6, 2217	2217/9/6	2217년 9월 6일	06-09-17
