id	desc	next	skinId	skinName	condition	delay	duration	param	triggerTimes	voice	moodId	pos	status
110130401	为什么…荣光之戒，不要离开啊		18:m_icon_4020_1	杰克皇	5			34020101;1402006	1	0	4	1	1
1041101	都…来…陪我玩吧！	104110101	18:m_icon_8003_1	噩梦·兔子先生	3			1	1	0	2	1	1
104110101	傀化聚合体，没想到…竟然在这里出现了…大家小心	0	18:card_icon_104003_3	南弥生	0			0	1	0	1	0	1
1041102	调查官，让我来治愈大家的伤痛吧，大家请放心战斗	0	18:card_icon_103008_1	特莉丝	3			2	1	0	3	0	1
1041103	…不要跑…继续玩！	0	18:m_icon_8003_1	噩梦·兔子先生	3			5	1	0	2	1	1
1041105	小心！它开始无差别攻击，现在已经是必须全力以赴的时刻了。	104110501	18:card_icon_104003_3	南弥生	3			6	1	0	2	0	1
104110501	非天…姐姐…对不起…	104110502	18:m_icon_4014_1	依琳	0			0	1	0	4	1	1
104110502	啊！快看巨傀的心脏位置—是，是依琳？！	104110503	18:card_icon_102008_1	艾可	0			0	1	0	4	0	1
104110503	依琳…我…	104110504	18:card_icon_101008_8	非天	0			0	1	0	3	0	1
104110504	非天姐姐一定会救你回来的		18:card_icon_101008_19	非天	0			0	1	0	2	0	1
1021001	切,小看你们了，接下来我要动真格了	0	18:m_icon_4006_1	？？？	3			1	1	0	2	1	1
1130501	游戏开始		18:m_icon_4037_1	躁狂游戏机	3			1	1	0	2	1	1
1130502	上上下下左右左右baba，第二条命	1130503	18:m_icon_4037_1	躁狂游戏机	3			3	1	0	2	1	1
1130503	分身！！！！		18:m_icon_4037_1	躁狂游戏机	0			0	1	0	2	1	1
1130504	哼，我来打输出	1130505	18:m_icon_4036_1	怒哀游戏机	3			4	1	0	2	1	1
1130505	哈，我来当辅助		18:m_icon_4035_1	喜乐游戏机	0			0	1	0	3	1	1
120601261	他居然召唤了分身。哼，小音可不是好欺负的，罪念湮灭！	120601262	18:card_icon_106009_1	小音	3			2	1	0	1	0	1
120601262	还没结束呢，雷霆跃冲！	120601263	18:card_icon_105004_1	内特	0			0	1	0	1	0	1
120601263	收尾就交给我吧		18:card_icon_107010_1	伊德	0			0	1	0	1	0	1
120601264	梦不会就此止步的	120601261	18:m_icon_4044_1	佑希	5			34044003;14000154	1	0	2	1	1
120601201	哇啊啊啊——看招，我可不是好欺负的		18:card_icon_105004_1	内特	3			1	1	0	3	0	1
120601202	哇啊啊啊，为什么越打越多了，为什么都朝我来了	120601203	18:card_icon_105004_1	内特	4	0	0	2	1	0	3	0	1
120601203	交给我们吧	120601204	18:card_icon_106009_1	小音	4			2	1	0	1	0	1
120601204	内特，你小心点		18:card_icon_107010_1	伊德	0	0	0	0	1	0	1	0	1
120601061	敌人要释放sp技能了，小心一点	120601062	18:card_icon_107010_1	伊德	3	0	0	2	1	0	1	0	1
120601062	看我的…嘿嘿，我已经偷取了他的sp点，这套武装意外的好用		18:card_icon_105004_1	内特	0	0	0	0	1	0	1	0	1
120601221	（脚步声…是小贝克猫小队）	120601222	18:card_icon_107010_1	伊德	5	0	0	34009008;14000168	1	0	1	0	1
120601222	哈哈哈，有空隙…大爷我润了		18:m_icon_4009_1	怪盗	0			0	1	0	1	0	1
131080206	我们，不是敌人。		18:m_icon_4025_1	兔子先生	3			2	1	0	4	1	1
10102	你们是什么人？		18:m_icon_4025_1	兔子先生	3			2	1	0	4	1	1
1010301	依依！	1010302	18:m_icon_1029_1	依依母亲	3		0	2	1	0	1	1	1
1010302	依依！		18:m_icon_1028_1	依依父亲	0			0	1	0	1	1	1
1030701	我的奥义可以回复生命，你们无法战胜我		18:m_icon_4026_1	兔子淑女	3			2	1	0	1	1	1
1031501	求求你们，不要去		18:m_icon_4014_1	依依	3			1	1	0	1	1	1
1041301	对不起，对不起……对不……	1041302	18:m_icon_4014_1	依琳	3		3	1	1	0	1	1	1
1041302	吼……		18:m_icon_8003_1	巨型兔子傀	0			0	1	0	1	1	1
1041303	依琳不要放弃，妈妈还在等你	1041304	18:card_icon_101008_4	非天	3			3	1	0	1	0	1
1041304	妈妈……		18:m_icon_4014_1	依琳	0			0	1	0	1	1	1
1041305	好痛苦……		18:m_icon_4014_1	依琳	3			2	1	0	1	1	1
1041306	好痛苦…好难受		18:m_icon_4014_1	依琳	3			4	1	0	1	1	1
1041307	不要……妈妈不要离开我		18:m_icon_4014_1	依琳	3			5	1	0	1	1	1
1041401	叛徒……受死吧		18:m_icon_4026_1	兔子淑女	3			1	1	0	1	1	1
1111601	戒骄勿躁，他们打的是消耗战。	1111602	18:npc_icon_187_5	豪威尔	3			1	1	0	1	1	1
1111602	治疗也不是难事，重点在于下次注意。		18:npc_icon_187_6	豪威尔	3			2	1	0	1	1	1
1111701	干得漂亮！继续寻找对方的弱点吧！		18:npc_icon_187_4	豪威尔	2			34010001;0.6	1	0	1	1	1
1111801	咳……别被他吊起情绪，冷静。		18:npc_icon_187_4	豪威尔	3			2	1	0	1	1	1
1111901	哦？调查长就是这样支援的吗。	1111902	18:npc_icon_187_4	南弥生	3			1	1	0	1	1	1
1111902	体力消耗变慢了……	1111903	18:npc_icon_605_7	红月	3			2	1	0	1	1	1
1111903	就这样直取胜利吧，让布莱·莫瑞把所有的事都交代清楚。	1111904	18:npc_icon_187_4	豪威尔	0			0	1	0	1	1	1
1111904	……	1111905	18:npc_icon_187_5	豪威尔	0			0	1	0	1	1	1
1111905	调查长？！调查长你怎么——		18:npc_icon_605_4	红月	2			34009001;0.1	1	0	1	1	1
10612	切，居然有杂鱼想混进来		18:m_icon_400105_1	憎恶斗者	4			2	1	0	1	1	1
10616	真是烦死了，我要认真了		18:m_icon_400105_1	阿嘘	3			1	1	0	1	1	1
