id	nextId	sameTime	type	characterName	desc	fedesc	sceneType	sceneId	scenePivot	sceneScale	flashBackTime	screenAnim	screenTime	characterId	characterRes	faceId	action	loop	position	rotation	eyes	effect	enter	avatar	exist	music	sound	soundtime	loopSE	voice	fevoice	speaker	displayItem	itemAction	option	jumpId	durationTime	transientNum	battleGroupId	function	vague	lookAt	moveCamera	headEffect	feOption	feCharacterName	effectRootId	messageId	sceneBgId	EntryTip	bgEffectPos	status
43	44			#playerName	（看来雅波伦和贝斯特之间的误会暂时是无法解开了啊……）				8	1.5				803008;801008		200801;200601	0;101001		14;26		1																					1;1	46;1									1
44	45			安妮	本来还以为我和她已经是很好的朋友了呢，结果并不是啊……真让人伤心……				8	1.5				803008;801008		200801;200601	0;101001		14;26		1			18:npc_icon_708_5	1																	1;1	46;1									1
45	46			#playerName	我想，萝丝小姐……也有不得不这么做的理由吧……				8	1.5				803008;801008		200801;200601	0;101001		14;26		1																					1;1	46;1									1
46	48			安妮	是啊，你说得对。而且我今天认识了大家，也是新的收获呀。				8	1.5				803008;801008		0;200601	0;101001		14;26		1			18:npc_icon_708_1	1																	1;1	46;1									1
48	50			安妮	好了好了，既然都结束了，我们回去吧！\n总有机会继续了解彼此的，不是吗？				8	1.5				803008;801008			0;101001		14;26		1			18:npc_icon_708_4	1																	1;1	1;1									1
50	51		11				1	57:dialg_bg_100			1										1					-1																										1
51	52				<color=#d8d8d8>就像是一场盛大的闹剧终于落幕，众人决定一起回咖啡花店再想办法。</color>		1	57:dialg_bg_33				17	-1								1																															1
52	53				<color=#d8d8d8>因为梦境耽搁了太久，大家都以为需要花很多力气才能再次锁定暴饮位置——</color>																1																															1
53	54				<color=#d8d8d8>然而，刚一走到咖啡花店门口，就看到了那个熟悉的身影。</color>																1																															1
54	55			暴饮	这个酒以前可没喝过呢，口感还不错，就是不够烈啊……																1			18:npc_icon_661_6	1	bgm_prologue_ditu																										1
55	56				<color=#d8d8d8>暴饮独自坐在餐桌前，手里的酒瓶摇摇晃晃，脚边也早已堆积了数个空瓶子。</color>																1																															1
56	57		12	米饭	啊！他手里的酒是刚刚安妮小姐在商场买的那瓶……				8	1.1				803008;801008		201201;200302	101301;0		14;26		1																					1;1	1;0									1
57	58			#playerName	……什么时候被他偷走的啊，这家伙是有什么偷酒的天赋技能吗？				8	1.1				803008;801008		0;200302	101301;0		14;26		1																					1;1	1;0									1
58	59			暴饮	好酒，好酒！				8	1.1				803008;801008		201201;200301	101301;0		14;26		1			18:npc_icon_661_6	1																	1;1	46;1									1
59	60				<color=#d8d8d8>暴饮喝酒的动作十分豪放，更像是在灌酒，仰头时，酒液从嘴角顺着喉咙流淌而下。</color>				8	1.1				803008;801008		200801;200301			14;26		1																					1;1	46;1									1
60	61				<color=#d8d8d8>看着他那副惬意的模样，仿佛早已将自己被追捕的事情抛诸脑后。</color>				8	1.1				803008;801008		200801;200301			14;26		1																					1;1	46;1									1
61	62			#playerName	（这个家伙应该和我们一样都坠入了梦境啊，居然这个时候也在偷酒！我绝对饶不了他！）				8	1.1				803008;801008		200801;200301			14;26		1																					1;1	46;1									1
62			3						8	1.1				803008;801008		200801;200301			14;26		1														可恶的家伙！;我是还没清醒过来吗？	63;67						1;1	46;1									1
63	64			#playerName	看来在这喝了不少啊……				8	1.1				803008;801008		201201;0			14;26		1																					1;1	46;1									1
64	65			米饭	调、调查官大人生气了？				8	1.1				803008;801008		0;200301	100201;0		14;26		1																					1;1	46;1									1
65	66			红茶	不只是调查官，我也很不爽。				8	1.1				803008;801008		0;200302	100201;0		14;26		1																					1;1	45;1									1
66	71				<color=#d8d8d8>红茶拔出了燧发枪，瞄准了暴饮的方向，扣动了扳机。</color>				8	1.1				803008;801008		0;200302	100201;0		14;26		1					-1	sfx_story_03_qiangxiang															1;1	45;1									1
67	68			#playerName	如果不是幻觉的话，为什么安妮小姐特意买的红酒会在他的手上？				8	1.1				803008;801008		200801;200301			14;26		1																					1;1	46;1									1
68	69		12	红茶	真是死性不改！				8	1.1				803008;801008		200801;200302	0;101301		14;26		1																					1;1	45;1									1
69	70		12	安妮	随便碰我的东西，可是要付出代价的！				8	1.1				803008;801008		200801;200301	0;101301		14;26		1			18:npc_icon_708_2	1	-1																1;1	45;1									1
70	71				<color=#d8d8d8>依旧保持着微笑的安妮二话没说，立刻对暴饮发动了攻击。</color>				8	1.1				803008;801008		200801;200301	0;101301		14;26		1						sfx_story_03_shuaidao															1;1	45;1									1
71	72				<color=#d8d8d8>而暴饮似乎早就注意到了这一点，躲开了这凌厉的进攻。</color>				8	1.1				803008;801008		200801;200302	0;101301		14;26		1					bgm_battle_BF04	sfx_chapter1_pokong															1;1	1;1									1
72	73			暴饮	你们终于来啦！				8	1.1				803008;801008		200801;200302	0;101301		14;26		1			18:npc_icon_661_6	1																	1;1	1;1									1
73	74				<color=#d8d8d8>不知为何，受到攻击的暴饮像是看见了许久未见的老友一样，露出了笑容。</color>				8	1.1				803008;801008		200801;200302	0;101301		14;26		1																					1;1	1;1									1
74	0				<color=#d8d8d8>也点燃了战斗的导火索。</color>				8	1.1				803008;801008		200801;200302	0;101301		14;26		1																					1;1	1;1									1
