<?xml version="1.0" encoding="utf-8" standalone="yes"?>
<root>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial id="1008" tutorial_type="連續型" tutorial_group="角色劇情" tutorial_hero_pic="2036" expression="face01" pic_side="左" voice="tutorial/223" comment_frame_x="180" comment_frame_y="300" comment="分かったわ、今日もお疲れ様。&#xA;お休みなさい。&#xA;後で呼びに行くわ。" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="1009" tutorial_type="連續型" tutorial_group="角色劇情" adjust_frame_pos_by_screen_size_x="X右" adjust_frame_pos_by_screen_size_y="Y下" frame_posx="235" frame_posy="-171" frame_scalew="200" frame_scaleh="90" arrow_side="上" black_block="true" other_start="false" h_only="true"/>
	<tutorial id="1010" tutorial_type="連續型" tutorial_group="角色劇情" frame_posx="-320" frame_posy="250" frame_scalew="640" frame_scaleh="150" arrow_side="上" black_block="true" other_start="false" h_only="true"/>
	<tutorial id="1011" tutorial_type="連續型" tutorial_group="角色劇情" adjust_frame_pos_by_screen_size_y="Y下" frame_posx="-600" frame_posy="-232" frame_scalew="170" frame_scaleh="130" arrow_side="上" black_block="true" other_start="false" h_only="true"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial id="1101" tutorial_type="連續型" tutorial_group="關卡" tutorial_hero_pic="2036" expression="face01" pic_side="左" voice="tutorial/282" comment_frame_x="180" comment_frame_y="300" comment="おはよう、よく眠れたかしら？" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="1102" tutorial_type="連續型" tutorial_group="關卡" tutorial_hero_pic="2036" expression="face03" pic_side="左" voice="tutorial/283" comment_frame_x="180" comment_frame_y="300" comment="救援の要請があったわ、&#xA;「獣」が再び現れた。" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="1103" tutorial_type="連續型" tutorial_group="關卡" tutorial_hero_pic="2036" expression="face01" pic_side="左" voice="tutorial/284" comment_frame_x="180" comment_frame_y="300" comment="チームに組んだ魔女たちも活躍で&#xA;きるチャンスね。" black_block="false" other_start="false" h_only="false"/>
	<tutorial id="1104" tutorial_type="連續型" tutorial_group="關卡" tutorial_hero_pic="2036" expression="face01" pic_side="左" voice="tutorial/285" comment_frame_x="180" comment_frame_y="300" comment="「世界」に向かいましょう。" adjust_frame_pos_by_screen_size_y="Y下" frame_posx="350" frame_posy="-232" frame_scalew="170" frame_scaleh="130" arrow_side="上" black_block="true" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial id="1201" tutorial_type="連續型" tutorial_group="結束" tutorial_hero_pic="2036" expression="face01" pic_side="左" voice="tutorial/288" comment_frame_x="180" comment_frame_y="300" comment="「メインクエスト」を選択しなさい。" frame_posx="-10" frame_posy="270" frame_scalew="500" frame_scaleh="500" arrow_side="上" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="1202" tutorial_type="連續型" tutorial_group="結束" tutorial_hero_pic="2036" expression="face03" pic_side="左" voice="tutorial/291" comment_frame_x="180" comment_frame_y="300" comment="なぜか、ここに来たあの日を思い出す。" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="1203" tutorial_type="連續型" tutorial_group="結束" tutorial_hero_pic="2036" expression="face03" pic_side="左" voice="tutorial/292" comment_frame_x="180" comment_frame_y="300" comment="少し前の出来事なのに、&#xA;とても長い時間が経ったように感じる。" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="1204" tutorial_type="連續型" tutorial_group="結束" tutorial_hero_pic="2036" expression="face03" pic_side="左" voice="tutorial/293" comment_frame_x="180" comment_frame_y="300" comment="ん？その日に何が起こったか知りたい？" black_block="true" other_start="false" h_only="false"/>
	<tutorial id="1205" tutorial_type="連續型" tutorial_group="結束" tutorial_hero_pic="2036" expression="face03" pic_side="左" voice="tutorial/294" comment_frame_x="180" comment_frame_y="300" comment="それなら、&#xA;行く途中でゆっくり話してあげる。" black_block="true" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial id="10101" tutorial_type="分散型" tutorial_group="素材回收" tutorial_hero_pic="2036" expression="face01" pic_side="左" comment_frame_x="180" comment_frame_y="300" comment="「ワールド」に進みなさい。" adjust_frame_pos_by_screen_size_y="Y下" frame_posx="350" frame_posy="-232" frame_scalew="170" frame_scaleh="130" arrow_side="上" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="10102" tutorial_type="分散型" tutorial_group="素材回收" tutorial_hero_pic="2036" expression="face01" pic_side="左" comment_frame_x="180" comment_frame_y="300" comment="「輸送任務」を選択しなさい。" frame_posx="-160" frame_posy="280" frame_scalew="250" frame_scaleh="250" arrow_side="上" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="10103" tutorial_type="分散型" tutorial_group="素材回收" tutorial_hero_pic="2036" expression="face01" pic_side="左" comment_frame_x="180" comment_frame_y="300" comment="クエストをクリアすると、&#xA;代金証票や逸聞記録を獲得できるわ。" frame_posx="50" frame_posy="313" frame_scalew="550" frame_scaleh="600" arrow_side="無" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="10104" tutorial_type="分散型" tutorial_group="素材回收" tutorial_hero_pic="2036" expression="face01" pic_side="右" comment_frame_x="0" comment_frame_y="180" comment="1日あたりの挑戦回数には上限があるわ。&#xA;早速、挑戦しましょう！" frame_posx="-490" frame_posy="-110" frame_scalew="500" frame_scaleh="156" arrow_side="無" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial id="10201" tutorial_type="分散型" tutorial_group="遺跡關卡" tutorial_hero_pic="2036" expression="face01" pic_side="左" comment_frame_x="180" comment_frame_y="300" comment="「ワールド」に進みなさい。" adjust_frame_pos_by_screen_size_y="Y下" frame_posx="350" frame_posy="-232" frame_scalew="170" frame_scaleh="130" arrow_side="上" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="10202" tutorial_type="分散型" tutorial_group="遺跡關卡" tutorial_hero_pic="2036" expression="face01" pic_side="右" comment_frame_x="0" comment_frame_y="180" comment="「辺境貿易」を選択しなさい。" frame_posx="-160" frame_posy="10" frame_scalew="250" frame_scaleh="250" arrow_side="上" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="10203" tutorial_type="分散型" tutorial_group="遺跡關卡" tutorial_hero_pic="2036" expression="face01" pic_side="右" comment_frame_x="0" comment_frame_y="180" comment="クエストをクリアすると、&#xA;報酬を獲得できるわ。" frame_posx="-628" frame_posy="310" frame_scalew="1246" frame_scaleh="564" arrow_side="無" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="10204" tutorial_type="分散型" tutorial_group="遺跡關卡" tutorial_hero_pic="2036" expression="face01" pic_side="右" comment_frame_x="0" comment_frame_y="180" comment="「図書館」に進みなさい。" frame_posx="-340" frame_posy="290" frame_scalew="300" frame_scaleh="280" arrow_side="上" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="10205" tutorial_type="分散型" tutorial_group="遺跡關卡" tutorial_hero_pic="2036" expression="face01" pic_side="右" comment_frame_x="0" comment_frame_y="180" comment="「図書館（星辰）」を選択しなさい。" frame_posx="-286" frame_posy="262" frame_scalew="572" frame_scaleh="152" arrow_side="上" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="10206" tutorial_type="分散型" tutorial_group="遺跡關卡" tutorial_hero_pic="2036" expression="face01" pic_side="左" comment_frame_x="180" comment_frame_y="300" comment="早速、挑戦しましょう！" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
