relationId	cardId	cardname	relationCard	cardname2	buff	effectId	property	status	relationName	relationName_zh_TW	relationName_en_UK	relationName_ja_JP	relationName_ko_KR	relationName_th_TH
10200102	102001	星之愿	101005	涂鸦战争	19000011	10000008	1203;0.045	1	绘星者	繪星者	Star Artist	星を描く者	스타 게이저	ผู้วาดดาว
10200103	102001	星之愿	101011	棒球龙魂	19000024	10000021	1203;0.05	1	破星者	破星者	Star Destroyer	星を砕く者	스타 브레이커	ผู้ทำลายดาว
10200104	102001	星之愿	108001	战略潜艇	19000033	10000030	603;0.07	1	领航之星	領航之星	Guiding Star	ナビゲーター	스타 파일럿	ดาวผู้นำทาง
10200105	102001	星之愿	108008	AI助理	19000007	10000004	603;0.045	1	精准星图	精準星圖	Star Chart	スターマップ	스타 맵	แผนที่ดาวที่แม่นยำ
10200106	102001	星之愿	108004	棋盘游戏	19000020	10000017	603;0.05	1	星愿棋局	星愿棋局	Starwish Board	スターチェス	스타 체스	หมากรุกดวงดาว
10200701	102007	电音骑士	103021	心动疗愈	19000032	10000029	302;0.09	1	音乐疗法	音樂療法	Music Therapy	音楽療法	뮤직 테라피	ดนตรีบำบัด
10200702	102007	电音骑士	103019	枕边童话	19000006	10000003	301;150	1	音乐童话	音樂童話	Melody Fairytale	音楽童話	뮤직 페어리테일	ดนตรีนิทาน
10200703	102007	电音骑士	103002	纯真拜访者	19000019	10000016	301;200	1	纯真节奏	純真節奏	Rhythm of Purity	純真リズム	이노센스 리듬	ท่วงทำนองบริสุทธิ์
10200704	102007	电音骑士	104001	绯红武士	19000037	10000034	1203;0.07	1	武士乐队	武士樂隊	Warrior's Ensemble	武士バンド	나이트 밴드	วงดนตรีนักรบ
10200705	102007	电音骑士	104003	封面女郎	19000024	10000021	1203;0.05	1	潮流曲风	潮流曲風	Trendy Tunes	トレンドソング	트렌디 뮤직	แนวเพลงตามกระแส
10200706	102007	电音骑士	104005	高级特工	19000011	10000008	1203;0.045	1	隐秘进行曲	隱秘進行曲	Secret Symphony	シークレットマーチ	은밀한 행진곡	เพลงมาร์ชลับ
10200801	102008	机械助理	101008	自由轮滑	19000024	10000021	1203;0.05	1	精准轨迹	精準軌跡	Accurate Trajectory	精密トラック	정밀 궤적	เส้นทางที่แม่นยำ
10200802	102008	机械助理	101013	森林守护者	19000037	10000034	1203;0.07	1	森林助手	森林助手	Sylvan Helper	森のアシスタント	숲의 도움	ผู้ช่วยแห่งป่า
10200803	102008	机械助理	101011	棒球龙魂	19000024	10000021	1203;0.05	1	机械球棒	機械球棒	Mech Bat	メカバット	기계 배트	ไม้เบสบอลจักรกล
10200804	102008	机械助理	103007	浮世谣	19000030	10000027	102;0.06	1	精准调音	精準調音	Melodic Precision	精密調律	정밀 튜닝	จูนเสียงอย่างแม่นยำ
10200805	102008	机械助理	103008	恬静时刻	19000017	10000014	101;50	1	钢铁柔情	鋼鐵柔情	Iron Sentiment	鋼鉄の優しさ	부드러운 강철	ความอ่อนโยน​ที่​เข้มแข็ง​
10200806	102008	机械助理	103019	枕边童话	19000004	10000001	101;20	1	童话朗读家	童話朗讀家	Fairytale Narrator	童話朗読者	동화 낭독가	นักอ่านนิทาน
10201101	102011	鳐摇心情	104008	夜间执勤	19000019	10000016	301;200	1	动物护工	動物護工	Animal Caretaker	動物看護師	동물 보호원	ผู้ดูแลสัตว์
10201102	102011	鳐摇心情	104003	封面女郎	19000019	10000016	301;200	1	街拍伙伴	街拍夥伴	Snapshot Partner	街頭写真パートナー	길거리 사진사	คู่หูถ่ายภาพสตรีท
10201103	102011	鳐摇心情	104001	绯红武士	19000032	10000029	302;0.09	1	武装伙伴	武裝夥伴	Armed Buddy	武装パートナー	아머드 파트너	คู่หูเอเจนต์
10201104	102011	鳐摇心情	108001	战略潜艇	19000038	10000035	1303;0.11	1	海洋伙伴	海洋夥伴	Marine Buddy	海洋パートナー	오션 파트너	คู่หูมหาสมุทร
10201105	102011	鳐摇心情	108008	AI助理	19000012	10000009	1303;0.08	1	机械伙伴	機械夥伴	Mech Buddy	機械パートナー	머시너리 파트너	คู่หูจักรกล
10201106	102011	鳐摇心情	108004	棋盘游戏	19000025	10000022	1303;0.09	1	游戏伙伴	遊戲夥伴	Game Buddy	ゲームパートナー	게이밍 파트너	คู่หูเล่นเกม
10202101	102021	完美效劳	110008	秘密调查	19000030	10000027	102;0.06	1	便衣女仆	便衣女僕	Undercover Maid	私服メイド	사복 메이드	เมดนอกเครื่องแบบ
10202102	102021	完美效劳	101008	自由轮滑	19000024	10000021	1203;0.05	1	运动女仆	運動女僕	Sporty Maid	スポーツメイド	스포츠 메이드	เมดสายกีฬา
10202103	102021	完美效劳	101011	棒球龙魂	19000024	10000021	1203;0.05	1	女仆啦啦队	女僕啦啦隊	Cheerleader Maids	チアメイド	메이드 치어리더	เมดกองเชียร์
10202104	102021	完美效劳	101013	森林守护者	19000037	10000034	1203;0.07	1	完美守护	完美守護	Perfect Guard	完璧なガーディアン	완전한 보호	การคุ้มกันสมบูรณ์แบบ
10202105	102021	完美效劳	101005	涂鸦战争	19000011	10000008	1203;0.045	1	缤纷女仆	繽紛女僕	Vibrant Maid	カラフルメイド	화려한 메이드	เมดแฟนตาซี
10202106	102021	完美效劳	109008	致命音符	19000030	10000027	102;0.06	1	便衣女仆	便衣女僕	Undercover Maid	私服メイド	사복 메이드	เมดนอกเครื่องแบบ
10300201	103002	纯真拜访者	104008	夜间执勤	19000019	10000016	301;200	1	纯真看护	純真看護	Innocent Caregiver	純真なる看護師	순수한 간호	การดูแลที่จริงใจ
10300202	103002	纯真拜访者	104003	封面女郎	19000019	10000016	301;200	1	纯真年代	純真年代	Age of Innocence	純真時代	순수의 시대	ยุคสมัยอันบริสุทธิ์
10300203	103002	纯真拜访者	104001	绯红武士	19000032	10000029	302;0.09	1	纯真守护者	純真守護者	Innocent Guardian	純真なる守護者	결백의 수호자	ผู้พิทักษ์ที่จริงใจ
10300204	103002	纯真拜访者	108001	战略潜艇	19000035	10000032	803;0.07	1	花与枪	花與槍	Bloom and Gun	花と拳銃	꽃과 총	ดอกไม้และปืน
10300205	103002	纯真拜访者	108008	AI助理	19000009	10000006	803;0.045	1	纯真助力	純真助力	Pure Assist	純真無垢な想い	순수한 도움	การช่วยเหลือที่จริงใจ
10300206	103002	纯真拜访者	108004	棋盘游戏	19000022	10000019	803;0.05	1	纯真游戏	純真遊戲	Innocent Fun	純真なるゲーム	순진한 놀이	เกมที่จริงใจ
10300601	103006	疯人院	102001	星之愿	19000004	10000001	101;20	1	群星归位时	群星歸位時	When Stars Align	星の帰り道	별이 돌아올 때	ยามดาราคืนตำแหน่ง
10300602	103006	疯人院	102007	电音骑士	19000030	10000027	102;0.06	1	狂想曲	狂想曲	Rhapsody	ラプソディ	광상곡	ท่วงทำนองอันบ้าคลั่ง
10300603	103006	疯人院	102021	完美效劳	19000030	10000027	102;0.06	1	狂热之心	狂熱之心	Zealous Heart	狂熱の心	열광의 마음	หัวใจแห่งความบ้าคลั่ง
10300604	103006	疯人院	104001	绯红武士	19000034	10000031	703;0.15	1	杀戮之心	殺戮之心	Bloodthirsty Heart	殺意の心	살인적인 마음	หัวใจแห่งการฆ่าฟัน
10300605	103006	疯人院	104003	封面女郎	19000021	10000018	703;0.1	1	暗黑时尚	暗黑時尚	Dark Fashion	ダークファッション	다크 스타일	แฟชั่นดำมืด
10300606	103006	疯人院	104008	夜间执勤	19000021	10000018	703;0.1	1	狂乱之夜	狂亂之夜	Frenzied Night	狂乱な夜	광란의 밤	ค่ำคืนอันวุ่นวาย
10300701	103007	浮世谣	109008	致命音符	19000030	10000027	102;0.06	1	伴奏家	伴奏家	Accompanist	伴奏者	반주가	นักเล่นดนตรีประกอบ
10300702	103007	浮世谣	102001	星之愿	19000006	10000003	301;150	1	星之歌	星之歌	Star Anthem	星の歌	별의 노래	บทเพลงแห่งดวงดาว
10300703	103007	浮世谣	102007	电音骑士	19000032	10000029	302;0.09	1	电音伴奏	電音伴奏	Electro Accompaniment	エレクトロニック伴奏	신스 반주	ดนตรีอีดีเอ็ม
10300704	103007	浮世谣	102008	机械助理	19000019	10000016	301;200	1	机械歌谣	機械歌謠	Mechanical Ballad	機械の歌	메커니컬 발라드	บทเพลงจักรกล
10300705	103007	浮世谣	102011	鳐摇心情	19000032	10000029	302;0.09	1	海之歌	海之歌	Ocean Anthem	海の歌	바다의 노래	บทเพลงแห่งท้องทะเล
10300706	103007	浮世谣	102021	完美效劳	19000032	10000029	302;0.09	1	伴舞女仆	伴舞女僕	Maid Dancer	バックダンサー	댄싱 메이드	เมดคู่เต้น
10300801	103008	恬静时刻	102011	鳐摇心情	19000039	10000036	1601;0.11	1	雨中漫步	雨中漫步	Rainwalk	雨の中の散歩	우중만보	เดินเล่นกลางสายฝน
10300802	103008	恬静时刻	102007	电音骑士	19000039	10000036	1601;0.11	1	雨中序曲	雨中序曲	Rain Overture	雨のプロローグ	우중서곡	เพลงกลางสายฝน
10300803	103008	恬静时刻	102008	机械助理	19000026	10000023	1601;0.09	1	雨中休憩	雨中休憩	Rainfall Rest	癒しの雨	우중휴식	พักผ่อนกลางสายฝน
10300804	103008	恬静时刻	104008	夜间执勤	19000019	10000016	301;200	1	恬静守护	恬靜守護	Serene Guardian	淑女の品格	평온한 수호	พิทักษ์สันติราษฎร์
10300805	103008	恬静时刻	104005	高级特工	19000006	10000003	301;150	1	便衣贵族	便衣貴族	Casual Noble	私服貴族	사복 귀족	ขุนนางในชุดลำลอง
10300806	103008	恬静时刻	104001	绯红武士	19000032	10000029	302;0.09	1	优雅武士	優雅武士	Graceful Samurai	優雅なる武士	엘레강스 나이트	อัศวินผู้สง่างาม
10302101	103021	心动疗愈	108006	涤荡者	19000036	10000033	903;0.15	1	灵魂净化	靈魂淨化	Soul Cleanse	魂の浄化	영혼 정화	ชำระล้างวิญญาณ
10302102	103021	心动疗愈	108004	棋盘游戏	19000023	10000020	903;0.1	1	治愈游戏	治癒遊戲	Healing Game	癒し系ゲーム	힐링 게임	เกมบำบัด
10302103	103021	心动疗愈	108008	AI助理	19000010	10000007	903;0.09	1	心动助理	心動助理	Heartfelt Assistant	ときめくアシスタント	심쿵 서포트	ผู้ช่วยชวนใจเต้น
10302104	103021	心动疗愈	102001	星之愿	19000006	10000003	301;150	1	星空告白	星空告白	Starry Confession	星空の告白	별의 고백	สารภาพในคืนดาวเต็มฟ้า
10302105	103021	心动疗愈	102008	机械助理	19000019	10000016	301;200	1	情感协奏	情感協奏	Emotional Concerto	アンサンブル	이모션 협주	ประสานอารมณ์
10302106	103021	心动疗愈	102021	零度调和	19000032	10000029	302;0.09	1	完美女仆	完美女僕	Perfect Maid	パーフェクトメイド	완벽한 메이드	เมดที่สมบูรณ์แบบ
10301901	103019	枕边童话	104008	夜间执勤	19000021	10000018	703;0.1	1	睡前故事	睡前故事	Bedtime Story	寝かしつけ絵本	베드 타임 스토리	นิทานก่อนนอน
10301902	103019	枕边童话	104005	高级特工	19000008	10000005	703;0.09	1	推理故事	推理故事	Detective Story	推理劇	미스터리 스토리	เรื่องราวสันนิษฐาน
10301903	103019	枕边童话	104001	绯红武士	19000034	10000031	703;0.15	1	英雄故事	英雄故事	Heroic Story	英雄の物語	히어로 스토리	เรื่องราววีรชน
10301904	103019	枕边童话	104003	封面女郎	19000021	10000018	703;0.1	1	人物故事	人物故事	Persona Story	キャラストーリー	휴먼 스토리	เรื่องราวบุคคล
10301905	103019	枕边童话	109008	致命音符	19000030	10000027	102;0.06	1	梦境对垒	夢境對壘	Dreamscape Duel	夢での対決	꿈나라 대전	เผชิญหน้าในแดนฝัน
10400301	104003	封面女郎	101008	自由轮滑	19000018	10000015	201;60	1	运动街拍	運動街拍	Sporty Snapshot	スポーツ街頭写真	스포츠 촬영	ถ่ายภาพสตรีทกีฬา
10400302	104003	封面女郎	101013	森林守护者	19000031	10000028	202;0.09	1	森林留影	森林留影	Woodland Snap	森林記念写真	숲 속 촬영	ภาพที่ระลึกในป่า
10400303	104003	封面女郎	101011	棒球龙魂	19000018	10000015	201;60	1	魅力飞扬	魅力飛揚	Charm Unleashed	魅力たっぷり	넘치는 매력	เสน่ห์ที่แผ่ซ่าน
10400304	104003	封面女郎	102021	完美效劳	19000038	10000035	1303;0.11	1	星途相伴	星途相伴	Astral Companion	スターへの道	별이 빛나는 길	เส้นทางแห่งดวงดาว
10400305	104003	封面女郎	102011	鳐摇心情	19000038	10000035	1303;0.11	1	水族馆留影	水族館留影	Aquarium Snap	水族館記念写真	수족관 촬영	ภาพ​แห่ง​พิพิธภัณฑ์สัตว์น้ำ​
10400306	104003	封面女郎	102008	机械助理	19000025	10000022	1303;0.09	1	摄影助理	攝影助理	Snapshot Assistant	撮影アシスタント	촬영 보조	ผู้ช่วยถ่ายภาพ
10400501	104005	高级特工	101008	自由轮滑	19000018	10000015	201;60	1	极速潜行	極速潛行	Swift Stealth	全速潜行	스피드 스텔스	ดำดิ่งอย่างรวดเร็ว
10400502	104005	高级特工	101005	涂鸦战争	19000005	10000002	201;30	1	街头策略	街頭策略	Urban Strategy	路上の謀略	스트리트 택틱	กลยุทธ์ริมถนน
10400503	104005	高级特工	101011	棒球龙魂	19000018	10000015	201;60	1	火力全开	火力全開	Full Firepower	火力全開	화력 전개	ปล่อยพลังเต็มแรง
10400504	104005	高级特工	103008	恬静时刻	19000027	10000024	1602;0.09	1	宁静疗伤	寧靜療傷	Tranquil Therapy	絶対安静	평온한 힐링	ความสงบเยียวยา
10400505	104005	高级特工	103002	纯真拜访者	19000027	10000024	1602;0.09	1	天使守护	天使守護	Angelic Guard	守護天使	천사의 수호	เทวทูตผู้พิทักษ์
10400506	104005	高级特工	103021	心动疗愈	19000040	10000037	1602;0.11	1	心灵港湾	心靈港灣	Harbor of Souls	心が帰る場所	영혼의 항구	อ่าวจิตวิญญาณ
10400801	104008	夜间执勤	108006	涤荡者	19000032	10000029	302;0.09	1	夜间扫除	夜間掃除	Nocturnal Clean-Up	夜間掃除	나이트 스윕	เก็บกวาดยามราตรี
10400802	104008	夜间执勤	108004	棋盘游戏	19000019	10000016	301;200	1	暗色棋局	暗色棋局	Dark Chessboard	闇色の一局	어둠의 바둑	หมากรุกสีดำ
10400803	104008	夜间执勤	108001	战略潜艇	19000032	10000029	302;0.09	1	深海救助	深海救助	Deep Sea Rescue	深海レスキュー	심해 구조	กู้ภัยกลางทะเลลึก
10400804	104008	夜间执勤	102007	电音骑士	19000038	10000035	1303;0.11	1	急速救助	急速救助	Swift Rescue	急速レスキュー	긴급 구조	การกู้ภัยเร่งด่วน
10400805	104008	夜间执勤	102008	机械助理	19000025	10000022	1303;0.09	1	救护助理	救護助理	Rescue Assistant	救急助手	구조 어시스턴트	ผู้ช่วยพยาบาล
10400806	104008	夜间执勤	102021	完美效劳	19000038	10000035	1303;0.11	1	完美救助	完美救助	Perfect Rescue	パーフェクトレスキュー	완벽한 구조	การกู้ภัยที่สมบูรณ์แบบ
10400101	104001	绯红武士	103007	浮世谣	19000040	10000037	1602;0.11	1	战武乱歌	戰武亂歌	War Chant	戦武乱歌	전쟁의 노래	เพลงสงครามที่วุ่นวาย
10400102	104001	绯红武士	103021	心动疗愈	19000040	10000037	1602;0.11	1	悸动之红	悸動之紅	Crimson Thrill	レッドハートビート	격분의 빨강	ความตื่นเต้นสีชาด
10400103	104001	绯红武士	103019	枕边童话	19000014	10000011	1602;0.08	1	护梦武士	護夢武士	Dream Sentinel	夢見る武士	드림 나이트	อัศวินพิทักษ์ฝัน
10400104	104001	绯红武士	108001	战略潜艇	19000032	10000029	302;0.09	1	深海武士	深海武士	Deepsea Warrior	深海武士	오션 나이트	อัศวินทะเลลึก
10400105	104001	绯红武士	108004	棋盘游戏	19000019	10000016	301;200	1	战场棋谋	戰場棋謀	War Strategist	チェス盤の戦場	전장 기략	กระดานกลยุทธ์
10400106	104001	绯红武士	108008	AI助理	19000006	10000003	301;150	1	智能作战	智慧作戰	Intelligent Combat	知能化作戦	지능적 작전	สู้ด้วยปัญญา
10500101	105001	障碍破坏	106001	搬运工	19000005	10000002	201;30	1	力量协作	力量協作	Strength Synergy	力合わせ	역량 협력	การรวมพลัง
10500102	105001	障碍破坏	106002	幽灵社团	19000031	10000028	202;0.09	1	破障之灵	破障之靈	Barrier Breaker	障害破壊の霊	극복하는 정신	จิตพิชิตอุปสรรค
10500103	105001	障碍破坏	106008	橘色纯真	19000018	10000015	201;60	1	纯真破坏者	純真破壞者	Innocent Wrecker	純真なるブレイカー	순수한 파괴자	ผู้ทำลายความบริสุทธิ์
10500104	105001	障碍破坏	107001	烈火战线	19000030	10000027	102;0.06	1	破火者	破火者	Firebreaker	ファイヤーブレイカー	파이어 브레이커	ผู้ทำลายเพลิง
10500105	105001	障碍破坏	107005	雪地飞驰	19000017	10000014	101;50	1	破冰前行	破冰前行	Icebreak Pioneer	アイスブレイカー	쇄빙전진	เดินหน้าฝ่าน้ำแข็ง
10500106	105001	障碍破坏	107008	继承者	19000017	10000014	101;50	1	破旧立新	破舊立新	Renew and Rebuild	破船にも三綱あり	파구입신	ล้มเก่าสร้างใหม่
10500201	105002	纪律监督	106001	搬运工	19000005	10000002	201;30	1	工地监督	工地監督	Construction Foreman	工事監督	현장 감독	ผู้คุมไซต์ก่อสร้าง
10500202	105002	纪律监督	106002	幽灵社团	19000031	10000028	202;0.09	1	幽灵监督	幽靈監督	Phantom Overseer	幽霊監督	유령 감독	ผู้คุมวิญญาณ
10500203	105002	纪律监督	106010	不思议鸭鸭	19000017	10000014	101;50	1	鸭鸭监督	鴨鴨監督	Duck Supervisor	アヒル監督	오리 감독	ผู้คุมเป็ด
10500204	105002	纪律监督	107001	烈火战线	19000030	10000027	102;0.06	1	火线监督	火線監督	Fireline Overseer	火線監督	전선 감독	ผู้คุมแนวหน้า
10500205	105002	纪律监督	107005	雪地飞驰	19000017	10000014	101;50	1	冰锋秩序	冰鋒秩序	Frostline Discipline	氷の秩序	빙산의 질서	ลำดับคมเยือกแข็ง
10500206	105002	纪律监督	107008	继承者	19000017	10000014	101;50	1	秩序传承	秩序傳承	Legacy of Order	秩序伝承	질서의 전승	ถ่ายทอดลำดับ
10500601	105006	泳装竞速	106008	橘色纯真	19000018	10000015	201;60	1	橘色海滩	橘色海灘	Tangerine Coast	オレンジビーチ	오렌지 비치	ชายหาดสีส้ม
10500602	105006	泳装竞速	106002	幽灵社团	19000031	10000028	202;0.09	1	海滩幽灵	海灘幽靈	Coastal Wraith	ビーチゴースト	해변의 유령	วิญญาณชายหาด
10500603	105006	泳装竞速	106010	不思议鸭鸭	19000018	10000015	201;60	1	海上浮鸭	海上浮鴨	Buoyant Quacker	マリンダック	바다 오리	เป็ดลอยน้ำทะเล
10500604	105006	泳装竞速	107001	烈火战线	19000030	10000027	102;0.06	1	海与火	海與火	Sea and Fire	海と焰	바다와 불	ทะเลกับไฟ
10500605	105006	泳装竞速	107005	雪地飞驰	19000017	10000014	101;50	1	冰海同舟	冰海同舟	Icebound Voyage	氷と海	빙해동주	ลงเรือลำเดียวกัน
10500606	105006	泳装竞速	107008	继承者	19000017	10000014	101;50	1	遗迹探寻	遺跡探尋	Ruins Explorer	遺跡探検	유적 탐사	การสำรวจซากโบราณ
10500801	105008	英雄憧憬	106008	橘色纯真	19000021	10000018	703;0.1	1	纯洁英雄	純潔英雄	Pure Hero	純粋なヒーロー	이노센스 히어로	วีรบุรุษผู้บริสุทธิ์
10500802	105008	英雄憧憬	106002	幽灵社团	19000034	10000031	703;0.15	1	英魂不灭	英魂不滅	Undying Valor	不滅なヒーロー	영혼 불멸	วิญญาณผู้กล้าอมตะ
10500803	105008	英雄憧憬	106001	搬运工	19000008	10000005	703;0.09	1	打工英雄	打工英雄	Labor Hero	バイトヒーロー	워킹 히어로	วีรบุรุษรับจ้าง
10500804	105008	英雄憧憬	107001	烈火战线	19000030	10000027	102;0.06	1	正义战线	正義戰線	Justice Frontline	正義戦線	정의의 전선	แนวรบที่เที่ยงธรรม
10500805	105008	英雄憧憬	107005	雪地飞驰	19000017	10000014	101;50	1	雪域英豪	雪域英豪	Snowland Hero	雪国の英雄	스노우 히어로	วีรบุรุษแดนหิมะ
10500806	105008	英雄憧憬	107008	继承者	19000017	10000014	101;50	1	暗夜英雄	暗夜英雄	Nocturnal Hero	闇夜のヒーロー	다크 히어로	วีรบุรุษราตรี
10600101	106001	搬运工	105001	障碍破坏	19000027	10000024	1602;0.09	1	清路先锋	清路先鋒	Pathfinder	道を開く者	개척자	แนวหน้าเคลียร์ถนน
10600102	106001	搬运工	105002	纪律监督	19000014	10000011	1602;0.08	1	工地监督	工地監督	Construction Foreman	工事監督	현장 감독	ผู้คุมไซต์ก่อสร้าง
10600103	106001	搬运工	105006	海滩冒险	19000040	10000037	1602;0.11	1	海岸快运	海岸快運	Coastal Express	海岸急便	해안 퀵배송	ส่งด่วนริมฝั่งทะเล
10600104	106001	搬运工	107001	烈火战线	19000031	10000028	202;0.09	1	火速搬运	火速搬運	Fiery Haul	急速搬送	총알 배송	ขนย้ายเร่งด่วน
10600105	106001	搬运工	107005	雪地飞驰	19000018	10000015	201;60	1	疾行搬运	疾行搬運	Speedy Haul	疾走搬送	퀵 배송	ขนย้ายอย่างรวดเร็ว
10600106	106001	搬运工	107008	继承者	19000018	10000015	201;60	1	暗影传递	暗影傳遞	Shadow Transfer	シャドー伝送	섀도우 패스	ส่งต่อเงามืด
10600107	106001	搬运工	102007	电音骑士	19000027	10000024	202;0.09	1	工间律动	工間律動	Factory Rhythm	ポップグルーヴ	휴식 시간 율동	จังหวะการทำงาน
10600108	106001	搬运工	111008	镜光旖梦	19000014	10000011	1602;0.08	1	搬运梦境	搬運夢境	Dreamporters	夢の運び屋	드림랜드 운반	เคลื่อนย้ายแดนฝัน
10600109	106001	搬运工	112008	爱心妆点	19000040	10000037	1602;0.11	1	爱心传递	愛心傳遞	Love Passage	愛情リレー	사랑의 전달	ส่งต่อความรัก
10600110	106001	搬运工	114008	墨蕴寻真	19000031	10000028	1602;0.09	1	墨宝速运	墨寶速運	Ink Express	墨韻運輸	보물 배송	การส่งจากน้ำหมึก
10600111	106001	搬运工	904026	落寞淑女	19000018	10000015	201;60	1	重工丽影	重工麗影	Robust Grace	レディ重工	중공업 번역	ภาพความงามอุตสาหกรรม
10600112	106001	搬运工	103019	枕边童话	19000018	10000015	201;60	1	小小搬运匠	小小搬運匠	Little Hauler	ちんちくりん宅配	스몰 포터	ผู้ชำนาญการขนย้าย
10600201	106002	幽灵社团	105008	英雄憧憬	19000031	10000028	202;0.09	1	英魂不灭	英魂不滅	Undying Valor	不滅なヒーロー	영혼 불멸	วิญญาณผู้กล้าอมตะ
10600202	106002	幽灵社团	105002	纪律监督	19000005	10000002	201;30	1	幽灵监督	幽靈監督	Phantom Overseer	幽霊監督	유령 감독	ผู้คุมวิญญาณ
