growId	property	status
5204	101:6.89;201:3.6;301:810	1
1205	101:4.59;201:2.88;301:6.48	1
2205	101:4.59;201:2.88;301:12.96	1
3205	101:4.59;201:2.88;301:19.44	1
4205	101:4.59;201:2.88;301:38.88	1
5205	101:4.59;201:2.88;301:129.6	1
1206	101:0.92;201:0.18;301:810	1
2206	101:0.92;201:0.18;301:1620	1
3206	101:0.92;201:0.18;301:2430	1
4206	101:0.92;201:0.18;301:4860	1
5206	101:0.92;201:0.18;301:16200	1
1207	101:5.51;201:4;301:6.48	1
2207	101:5.51;201:4;301:12.96	1
3207	101:5.51;201:4;301:21	1
4207	101:5.51;201:4;301:38.88	1
5207	101:5.51;201:4;301:129.6	1
1301	101:3.67;201:1.35;301:8.64	1
2301	101:3.67;201:1.35;301:17.28	1
3301	101:3.67;201:1.35;301:25.92	1
4301	101:3.67;201:1.35;301:51.84	1
5301	101:3.67;201:1.35;301:172.8	1
1302	101:4.59;201:1.35;301:6.48	1
2302	101:4.59;201:1.35;301:12.96	1
3302	101:4.59;201:1.35;301:19.44	1
4302	101:4.59;201:1.35;301:38.88	1
5302	101:4.59;201:1.35;301:129.6	1
1303	101:5.51;201:2.7;301:12.96	1
2303	101:5.51;201:2.7;301:25.92	1
3303	101:5.51;201:2.7;301:38.88	1
4303	101:5.51;201:2.7;301:77.76	1
5303	101:5.51;201:2.7;301:259.2	1
1304	101:6.89;201:2.7;301:54	1
2304	101:6.89;201:2.7;301:108	1
3304	101:6.89;201:2.7;301:162	1
4304	101:6.89;201:2.7;301:324	1
5304	101:6.89;201:2.7;301:1080	1
1305	101:4.59;201:2.16;301:8.64	1
2305	101:4.59;201:2.16;301:17.28	1
3305	101:4.59;201:2.16;301:25.92	1
4305	101:4.59;201:2.16;301:51.84	1
5305	101:4.59;201:2.16;301:172.8	1
1306	101:0.92;201:0.135;301:1080	1
2306	101:0.92;201:0.135;301:2160	1
3306	101:0.92;201:0.135;301:3240	1
4306	101:0.92;201:0.135;301:6480	1
5306	101:0.09;201:0.01;301:35000	1
1307	101:5.51;201:4.05;301:8.64	1
2307	101:5.51;201:4.05;301:17.28	1
3307	101:5.51;201:4.05;301:25.92	1
4307	101:5.51;201:4.05;301:51.84	1
5307	101:5.51;201:4.05;301:172.8	1
1401	101:3.26;201:1.65;301:7.92	1
2401	101:3.26;201:1.65;301:15.84	1
3401	101:3.26;201:1.65;301:23.76	1
4401	101:3.26;201:1.65;301:47.52	1
5401	101:3.26;201:1.65;301:158.4	1
1402	101:4.08;201:1.65;301:5.94	1
2402	101:4.08;201:1.65;301:11.88	1
3402	101:4.08;201:1.65;301:17.82	1
4402	101:4.08;201:1.65;301:35.64	1
5402	101:4.08;201:1.65;301:118.8	1
1403	101:4.9;201:3.3;301:11.88	1
2403	101:4.9;201:3.3;301:23.76	1
3403	101:4.9;201:3.3;301:35.64	1
4403	101:4.9;201:3.3;301:71.28	1
5403	101:4.9;201:3.3;301:237.6	1
1404	101:6.12;201:3.3;301:49.5	1
2404	101:6.12;201:3.3;301:99	1
3404	101:6.12;201:3.3;301:148.5	1
4404	101:6.12;201:3.3;301:297	1
5404	101:6.12;201:3.3;301:990	1
1405	101:4.08;201:2.64;301:7.92	1
2405	101:4.08;201:2.64;301:15.84	1
3405	101:4.08;201:2.64;301:23.76	1
4405	101:4.08;201:2.64;301:47.52	1
5405	101:4.08;201:2.64;301:158.4	1
1406	101:0.82;201:0.165;301:990	1
2406	101:0.82;201:0.165;301:1980	1
3406	101:0.82;201:0.165;301:2970	1
4406	101:0.82;201:0.165;301:5940	1
5406	101:0.82;201:0.165;301:19800	1
1407	101:4.9;201:4.95;301:7.92	1
2407	101:4.9;201:4.95;301:15.84	1
3407	101:4.9;201:4.95;301:23.76	1
4407	101:4.9;201:4.95;301:47.52	1
5407	101:4.9;201:4.95;301:158.4	1
1501	101:4.49;201:1.2;301:7.92	1
2501	101:4.49;201:1.2;301:15.84	1
3501	101:4.49;201:1.2;301:23.76	1
4501	101:4.49;201:1.2;301:47.52	1
5501	101:4.49;201:1.2;301:158.4	1
1502	101:5.61;201:1.2;301:5.94	1
2502	101:5.61;201:1.2;301:11.88	1
3502	101:5.61;201:1.2;301:17.82	1
4502	101:5.61;201:1.2;301:35.64	1
5502	101:5.61;201:1.2;301:118.8	1
1503	101:6.73;201:2.4;301:11.88	1
2503	101:6.73;201:2.4;301:23.76	1
3503	101:6.73;201:2.4;301:35.64	1
4503	101:6.73;201:2.4;301:71.28	1
5503	101:6.73;201:2.4;301:237.6	1
1504	101:8.42;201:2.4;301:49.5	1
2504	101:8.42;201:2.4;301:99	1
3504	101:8.42;201:2.4;301:148.5	1
4504	101:8.42;201:2.4;301:297	1
5504	101:8.42;201:2.4;301:990	1
1505	101:5.61;201:1.92;301:7.92	1
2505	101:5.61;201:1.92;301:15.84	1
3505	101:5.61;201:1.92;301:23.76	1
4505	101:5.61;201:1.92;301:47.52	1
5505	101:5.61;201:1.92;301:158.4	1
1506	101:1.12;201:0.12;301:990	1
2506	101:1.12;201:0.12;301:1980	1
3506	101:1.12;201:0.12;301:2970	1
4506	101:1.12;201:0.12;301:5940	1
5506	101:1.12;201:0.12;301:19800	1
1507	101:6.73;201:3.6;301:7.92	1
2507	101:6.73;201:3.6;301:15.84	1
3507	101:6.73;201:3.6;301:23.76	1
4507	101:6.73;201:3.6;301:47.52	1
5507	101:6.73;201:3.6;301:158.4	1
1601	101:4.49;201:1.65;301:5.76	1
2601	101:4.49;201:1.65;301:11.52	1
3601	101:4.49;201:1.65;301:17.28	1
4601	101:4.49;201:1.65;301:34.56	1
5601	101:4.49;201:1.65;301:115.2	1
1602	101:5.61;201:1.65;301:4.32	1
2602	101:5.61;201:1.65;301:8.64	1
3602	101:5.61;201:1.65;301:12.96	1
4602	101:5.61;201:1.65;301:25.92	1
5602	101:5.61;201:1.65;301:86.4	1
1603	101:6.73;201:3.3;301:8.64	1
2603	101:6.73;201:3.3;301:17.28	1
3603	101:6.73;201:3.3;301:25.92	1
4603	101:6.73;201:3.3;301:51.84	1
5603	101:6.73;201:3.3;301:172.8	1
1604	101:8.42;201:3.3;301:36	1
2604	101:8.42;201:3.3;301:72	1
3604	101:8.42;201:3.3;301:108	1
4604	101:8.42;201:3.3;301:216	1
5604	101:8.42;201:3.3;301:720	1
1605	101:5.61;201:2.64;301:5.76	1
2605	101:5.61;201:2.64;301:11.52	1
3605	101:5.61;201:2.64;301:17.28	1
4605	101:5.61;201:2.64;301:34.56	1
5605	101:5.61;201:2.64;301:115.2	1
1606	101:1.12;201:0.165;301:720	1
2606	101:1.12;201:0.165;301:1440	1
3606	101:1.12;201:0.165;301:2160	1
4606	101:1.12;201:0.165;301:4320	1
5606	101:1.12;201:0.165;301:14400	1
1607	101:6.73;201:4.95;301:5.76	1
2607	101:6.73;201:4.95;301:11.52	1
3607	101:6.73;201:4.95;301:17.28	1
4607	101:6.73;201:4.95;301:34.56	1
5607	101:6.73;201:4.95;301:115.2	1
1708	101:9;201:4;301:36	1
2708	101:11;201:5;301:49.5	1
3708	101:14;201:6;301:70	1
1109	101:6;201:6;301:1440000	1
1110	101:1.5;201:0.5;301:2100	1
1210	101:1.5;201:0.5;301:2300	1
1111	101:6;201:2;301:24	1
2111	101:6;201:2.5;301:36	1
3111	101:6;201:3;301:60	1
1112	101:5;201:2;301:20	1
2112	101:5.4;201:2.5;301:30	1
3112	101:5.8;201:3;301:40	1
1211	101:4.5;201:3;301:26	1
2211	101:4.5;201:4;301:38	1
3211	101:4.5;201:5;301:62	1
3113	101:0.82;201:0.165;301:6000	1
1114	101:14;201:7;301:56	1
2114	101:16.8;201:8.4;301:84	1
6101	101:0;201:0;301:0	1
