mainId	roleId	level	cardLevel	upProperty	upqualityItem	upqualityItemNum	breakProperty	status
10201115	102011	15	95	101:38.6;201:23.4;301:140.3	4102031;4102405;4102902;4102903;3000003	15;3;9;3;500000	101:198;201:117;301:711	1
10200101	102001	1	15	101:8.5;201:3.5;301:20.5				1
10200102	102001	2	25	101:9.7;201:3.9;301:23.3	4102101;3000003	1;30000	101:18;201:6;301:42	1
10200103	102001	3	35	101:10.8;201:4.4;301:26.1	4102011;4102101;4102102;3000003	5;3;3;50000	101:27.5;201:12.5;301:70	1
10200104	102001	4	40	101:12;201:4.9;301:28.9	4102021;4102102;4102103;4102901;3000003	10;1;3;1;100000	101:42;201:17.5;301:98	1
10200105	102001	5	45	101:13.1;201:5.3;301:31.7	4102021;4102103;4102104;4102901;3000003	10;5;3;3;200000	101:44;201:16;301:112	1
10200106	102001	6	50	101:14.3;201:5.8;301:34.5	4102031;4102103;4102104;4102901;3000003	5;3;5;6;300000	101:54;201:22.5;301:126	1
10200107	102001	7	55	101:15.4;201:6.2;301:37.2	4102031;4102104;4102105;4102901;3000003	10;5;1;9;400000	101:55.1;201:20;301:135	1
10200108	102001	8	60	101:16.6;201:6.7;301:40.1	4102031;4102105;4102901;4102902;3000003	15;3;9;3;500000	101:66.1;201:27.5;301:159.5	1
10200109	102001	9	65	101:17.9;201:7.2;301:43.1	4102031;4102105;4102901;4102902;3000003	15;3;3;9;500000	101:78;201:30;301:180	1
10200110	102001	10	70	101:19.1;201:7.7;301:46.2	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:78;201:32.5;301:201.5	1
10200111	102001	11	75	101:20.5;201:8.3;301:49.3	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:98;201:42;301:217	1
10200112	102001	12	80	101:21.8;201:8.8;301:52.6	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:97.6;201:37.5;301:247.5	1
10200113	102001	13	85	101:23.2;201:9.4;301:55.9	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:112;201:48.1;301:264	1
10200114	102001	14	90	101:24.6;201:9.9;301:59.4	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:119;201:42.5;301:297.5	1
10200115	102001	15	95	101:26.1;201:10.5;301:62.9	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:135;201:54;301:315	1
10202101	102021	1	15	101:14.5;201:6;301:37				1
10202102	102021	2	25	101:16.4;201:6.8;301:42	4102201;3000003	1;30000	101:28.5;201:12;301:75	1
10202103	102021	3	35	101:18.4;201:7.6;301:47.1	4102011;4102201;4102202;3000003	5;3;3;50000	101:50;201:20;301:127.5	1
10202104	102021	4	40	101:20.4;201:8.4;301:52.1	4102021;4102202;4102203;4102901;3000003	10;1;3;1;100000	101:70;201:28;301:175	1
10202105	102021	5	45	101:22.3;201:9.2;301:57.2	4102021;4102203;4102204;4102901;3000003	10;5;3;3;200000	101:76;201:32;301:204	1
10202106	102021	6	50	101:24.3;201:10;301:62.2	4102031;4102203;4102204;4102901;3000003	5;3;5;6;300000	101:90;201:36;301:225	1
10202107	102021	7	55	101:26.2;201:10.8;301:67.2	4102031;4102204;4102205;4102901;3000003	10;5;1;9;400000	101:95;201:40;301:250	1
10202108	102021	8	60	101:28.3;201:11.7;301:72.5	4102031;4102205;4102901;4102902;3000003	15;3;9;3;500000	101:115.5;201:49.5;301:291.5	1
10202109	102021	9	65	101:30.4;201:12.6;301:77.8	4102031;4102205;4102901;4102902;3000003	15;3;3;9;500000	101:126;201:54;301:318	1
10202110	102021	10	70	101:32.5;201:13.4;301:83.4	4102031;4102205;4102902;4102903;3000003	15;3;9;3;500000	101:136.5;201:52;301:364	1
10202111	102021	11	75	101:34.8;201:14.4;301:89.1	4102031;4102205;4102902;4102903;3000003	15;3;9;3;500000	101:161;201:70;301:399	1
10202112	102021	12	80	101:37.1;201:15.3;301:95	4102031;4102205;4102902;4102903;3000003	15;3;9;3;500000	101:172.5;201:67.5;301:442.5	1
10202113	102021	13	85	101:39.4;201:16.3;301:101	4102031;4102205;4102902;4102903;3000003	15;3;9;3;500000	101:184;201:80.1;301:480	1
10202114	102021	14	90	101:41.8;201:17.3;301:107.2	4102031;4102205;4102902;4102903;3000003	15;3;9;3;500000	101:204;201:85;301:527	1
10202115	102021	15	95	101:44.3;201:18.3;301:113.6	4102031;4102205;4102902;4102903;3000003	15;3;9;3;500000	101:225;201:90;301:576	1
10300801	103008	1	15	101:9.4;201:5;301:34.5				1
10300802	103008	2	25	101:10.7;201:5.7;301:39.2	4102301;3000003	1;30000	101:19.5;201:10.5;301:70.5	1
10300803	103008	3	35	101:11.9;201:6.3;301:43.9	4102011;4102301;4102302;3000003	5;3;3;50000	101:30;201:15;301:117.5	1
10300804	103008	4	40	101:13.2;201:7;301:48.6	4102021;4102302;4102303;4102901;3000003	10;1;3;1;100000	101:45.5;201:24.5;301:164.5	1
10300805	103008	5	45	101:14.5;201:7.7;301:53.3	4102021;4102303;4102304;4102901;3000003	10;5;3;3;200000	101:52;201:28;301:188	1
10300806	103008	6	50	101:15.8;201:8.4;301:58	4102031;4102303;4102304;4102901;3000003	5;3;5;6;300000	101:58.5;201:31.5;301:211.5	1
10300807	103008	7	55	101:17;201:9;301:62.6	4102031;4102304;4102305;4102901;3000003	10;5;1;9;400000	101:60.1;201:30;301:230	1
10300808	103008	8	60	101:18.4;201:9.7;301:67.5	4102031;4102305;4102901;4102902;3000003	15;3;9;3;500000	101:77.1;201:38.5;301:269.5	1
10300809	103008	9	65	101:19.7;201:10.5;301:72.5	4102031;4102305;4102901;4102902;3000003	15;3;3;9;500000	101:78;201:48;301:300	1
10300810	103008	10	70	101:21.1;201:11.2;301:77.7	4102031;4102305;4102902;4102903;3000003	15;3;9;3;500000	101:91;201:45.5;301:338	1
10300811	103008	11	75	101:22.6;201:12;301:83	4102031;4102305;4102902;4102903;3000003	15;3;9;3;500000	101:105;201:56;301:371.1	1
10300812	103008	12	80	101:24.1;201:12.8;301:88.5	4102031;4102305;4102902;4102903;3000003	15;3;9;3;500000	101:112.5;201:60;301:412.5	1
10300813	103008	13	85	101:25.6;201:13.6;301:94.1	4102031;4102305;4102902;4102903;3000003	15;3;9;3;500000	101:120;201:64.1;301:448	1
10300814	103008	14	90	101:27.2;201:14.4;301:99.9	4102031;4102305;4102902;4102903;3000003	15;3;9;3;500000	101:136;201:68.1;301:493	1
10300815	103008	15	95	101:28.8;201:15.3;301:105.8	4102031;4102305;4102902;4102903;3000003	15;3;9;3;500000	101:144;201:81;301:531	1
10300201	103002	1	15	101:10.9;201:4.2;301:31				1
10300202	103002	2	25	101:12.4;201:4.8;301:35.2	4102201;3000003	1;30000	101:22.5;201:9.1;301:63	1
10300203	103002	3	35	101:13.9;201:5.4;301:39.4	4102011;4102201;4102202;3000003	5;3;3;50000	101:37.5;201:15;301:105	1
10300204	103002	4	40	101:15.4;201:5.9;301:43.6	4102021;4102202;4102203;4102901;3000003	10;1;3;1;100000	101:52.5;201:17.5;301:147	1
10300205	103002	5	45	101:16.9;201:6.5;301:47.8	4102021;4102203;4102204;4102901;3000003	10;5;3;3;200000	101:60.1;201:24;301:168	1
10300206	103002	6	50	101:18.4;201:7.1;301:52	4102031;4102203;4102204;4102901;3000003	5;3;5;6;300000	101:67.5;201:27;301:189	1
10300207	103002	7	55	101:19.8;201:7.6;301:56.2	4102031;4102204;4102205;4102901;3000003	10;5;1;9;400000	101:70;201:25;301:210	1
10300208	103002	8	60	101:21.4;201:8.2;301:60.6	4102031;4102205;4102901;4102902;3000003	15;3;9;3;500000	101:88.1;201:33;301:242	1
10300209	103002	9	65	101:23;201:8.8;301:65.1	4102031;4102205;4102901;4102902;3000003	15;3;3;9;500000	101:96;201:36;301:270	1
10300210	103002	10	70	101:24.6;201:9.5;301:69.7	4102031;4102205;4102902;4102903;3000003	15;3;9;3;500000	101:104;201:45.6;301:299	1
10300211	103002	11	75	101:26.3;201:10.1;301:74.5	4102031;4102205;4102902;4102903;3000003	15;3;9;3;500000	101:119;201:42;301:336.1	1
10300212	103002	12	80	101:28;201:10.8;301:79.4	4102031;4102205;4102902;4102903;3000003	15;3;9;3;500000	101:127.5;201:52.5;301:367.5	1
10300213	103002	13	85	101:29.8;201:11.5;301:84.5	4102031;4102205;4102902;4102903;3000003	15;3;9;3;500000	101:144;201:56.1;301:408.1	1
10300214	103002	14	90	101:31.6;201:12.2;301:89.7	4102031;4102205;4102902;4102903;3000003	15;3;9;3;500000	101:153;201:59.5;301:442	1
10300215	103002	15	95	101:33.5;201:12.9;301:95	4102031;4102205;4102902;4102903;3000003	15;3;9;3;500000	101:171;201:63.1;301:477.1	1
10300701	103007	1	15	101:15.7;201:5.7;301:43.4				1
10300702	103007	2	25	101:17.8;201:6.4;301:49.3	4102101;3000003	1;30000	101:31.5;201:10.5;301:88.6	1
10300703	103007	3	35	101:19.9;201:7.2;301:55.2	4102011;4102101;4102102;3000003	5;3;3;50000	101:52.5;201:20;301:147.5	1
10300704	103007	4	40	101:22.1;201:8;301:61.1	4102021;4102102;4102103;4102901;3000003	10;1;3;1;100000	101:77;201:28;301:206.5	1
10300705	103007	5	45	101:24.2;201:8.7;301:67	4102021;4102103;4102104;4102901;3000003	10;5;3;3;200000	101:84.1;201:28;301:236	1
10300706	103007	6	50	101:26.3;201:9.5;301:72.9	4102031;4102103;4102104;4102901;3000003	5;3;5;6;300000	101:94.5;201:36;301:265.5	1
10300707	103007	7	55	101:28.4;201:10.2;301:78.8	4102031;4102104;4102105;4102901;3000003	10;5;1;9;400000	101:105;201:35;301:295	1
10300708	103007	8	60	101:30.7;201:11;301:85	4102031;4102105;4102901;4102902;3000003	15;3;9;3;500000	101:126.5;201:44;301:341	1
10300709	103007	9	65	101:32.9;201:11.9;301:91.3	4102031;4102105;4102901;4102902;3000003	15;3;3;9;500000	101:132;201:54;301:378	1
10300710	103007	10	70	101:35.3;201:12.7;301:97.8	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:156;201:52;301:422.5	1
10300711	103007	11	75	101:37.7;201:13.6;301:104.5	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:168;201:63;301:469	1
10300712	103007	12	80	101:40.2;201:14.5;301:111.4	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:187.5;201:67.5;301:517.5	1
10300713	103007	13	85	101:42.7;201:15.4;301:118.4	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:200;201:72;301:560	1
10300714	103007	14	90	101:45.3;201:16.3;301:125.7	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:221;201:76.5;301:620.5	1
10300715	103007	15	95	101:48;201:17.3;301:133.2	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:243;201:90;301:675	1
10301901	103019	1	15	101:6.9;201:4.1;301:30.3				1
10301902	103019	2	25	101:7.8;201:4.7;301:34.4	4102101;3000003	1;30000	101:13.5;201:9;301:61.5	1
10301903	103019	3	35	101:8.7;201:5.2;301:38.5	4102011;4102101;4102102;3000003	5;3;3;50000	101:22.5;201:12.5;301:102.5	1
10301904	103019	4	40	101:9.7;201:5.8;301:42.7	4102021;4102102;4102103;4102901;3000003	10;1;3;1;100000	101:35;201:21;301:147	1
10301905	103019	5	45	101:10.6;201:6.3;301:46.8	4102021;4102103;4102104;4102901;3000003	10;5;3;3;200000	101:36;201:20;301:164	1
10301906	103019	6	50	101:11.5;201:6.9;301:50.9	4102031;4102103;4102104;4102901;3000003	5;3;5;6;300000	101:40.5;201:27;301:184.5	1
10301907	103019	7	55	101:12.4;201:7.4;301:55	4102031;4102104;4102105;4102901;3000003	10;5;1;9;400000	101:45;201:25;301:205	1
10301908	103019	8	60	101:13.4;201:8;301:59.3	4102031;4102105;4102901;4102902;3000003	15;3;9;3;500000	101:55;201:33;301:236.5	1
10301909	103019	9	65	101:14.4;201:8.6;301:63.7	4102031;4102105;4102901;4102902;3000003	15;3;3;9;500000	101:60;201:36;301:264	1
10301910	103019	10	70	101:15.4;201:9.2;301:68.2	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:65;201:39;301:292.5	1
10301911	103019	11	75	101:16.5;201:9.9;301:72.9	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:77;201:49.1;301:329	1
10301912	103019	12	80	101:17.6;201:10.5;301:77.7	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:82.6;201:45;301:360	1
10301913	103019	13	85	101:18.7;201:11.2;301:82.7	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:88.1;201:56;301:400	1
10301914	103019	14	90	101:19.8;201:11.9;301:87.8	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:93.5;201:59.6;301:433.6	1
10301915	103019	15	95	101:21;201:12.6;301:93	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:108;201:63;301:468	1
10302101	103021	1	15	101:14.3;201:6.3;301:47.3				1
