attributeId	attributeColumn	type	isConversion	combatEff	order	icon	status	attributeName	attributeName_zh_TW	attributeName_en_UK	attributeName_ja_JP	attributeName_ko_KR	attributeName_th_TH	attributeDesc	attributeDesc_zh_TW	attributeDesc_en_UK	attributeDesc_ja_JP	attributeDesc_ko_KR	attributeDesc_th_TH
24	damageReduce	0	1	0			1	伤害减免	傷害減免	DMG Reduction	ダメージダウン	대미지 감면	ลดดาเมจ	抵御最终受到的伤害量	抵禦最終受到的傷害量	Resists the final DMG received.	最終ダメージを抵抗する	방어력 계산 후, 최종적으로 들어가는 대미지입니다.	ป้องกัน​ปริมาณ​ดา​เม​จ​สุดท้าย​ที​ได้รับ​
37	hitPoint	0	0	0			1	精准	精準	Accuracy	精確	정밀도	แม่นยำ	能造成技能伤害的基础命中率的基础值	能造成技能傷害的基礎命中率的基礎值	A base stat that can affect the basic hit rate of skill damage.	Pending能造成技能伤害的基础命中率的基础值	스킬 대미지를 입힐 수 있는 기초 명중률의 기본 값	ค่า​โอกาส​พื้นฐาน​ของ​การ​สร้าง​ดา​เม​จ​โดน​ จาก​การ​โจมตี​
7	hit	0	1	0			1	精准	精準	Accuracy	精確	정밀도	แม่นยำ	能造成技能伤害的基础命中率	能造成技能傷害的基礎命中率	A base stat that can affect the basic hit rate of skill damage.	Pending能造成技能伤害的基础命中率	스킬 대미지를 입힐 수 있는 기본 명중률	ค่า​โอกาส​ของ​การ​สร้าง​ดา​เม​จ​โดน​ จาก​สกิล​
40	evadePoint	0	0	0			1	格挡	格擋	Block	ブロック	블록	บล็อก	抵御命中效果的能力,但无法免受伤害的基础值	抵禦命中效果的能力,但無法免受傷害的基礎值	The basic stat that can resist hit effects but cannot nullify damage.	Pending抵御命中效果的能力,但无法免受伤害的基础值	명중 효과를 막는 능력이지만, 기초 대미지를 막진 못합니다.	ความสามารถ​ใน​การ​หลบ​ดา​เม​จ​แม่นยำ​ แต่​ยัง​โดน​ดา​เม​จ​พื้นฐาน​อยู่ดี​
10	evade	0	1	0			1	格挡	格擋	Block	ブロック	블록	บล็อก	抵御命中效果的能力,但无法免受伤害	抵禦命中效果的能力,但無法免受傷害	Resists hit effects but cannot nullify damage.	命中効果を抵抗するステータス、基本ダメージを免除できない	명중 효과를 막는 능력이지만, 대미지를 막진 못합니다.	ความสามารถ​ใน​การ​หลบ​ดา​เม​จ​แม่นยำ​ แต่​ไม่​สามารถ​หลบ​ดา​เม​จ​ทั้งหมด​ได้​
35	critPoint	0	0	0			1	暴击	爆擊	CRIT Rate	会心率	크리티컬	คริติคอล	触发暴击伤害的概率基础值	觸發爆擊傷害的機率基礎值	Base probability of inflicting CRIT DMG	会心ダメージの発動率に影響を与えるパラメータ	크리티컬 대미지가 발동하는 기본 확률	ค่า​โอกาส​พื้นฐาน​ใน​การ​สร้าง​ดา​เม​จค​ริ​ติ​คอ​ล​
5	critical	0	1	1200	6	58:icon_6	1	暴击率	爆擊率	CRIT Rate	会心率	크리티컬율	อัตราคริติคอล	触发暴击伤害的概率	觸發爆擊傷害的機率	Probability of inflicting CRIT DMG	会心ダメージを発動する確率	크리티컬 대미지가 발동하는 확률	โอกาส​ใน​การ​สร้าง​ดา​เม​จค​ริ​ติ​คอ​ล​
41	antiCritPoint	0	0	0			1	暴击抵抗	爆擊抵抗	CRIT RES	会心回避率	크리티컬 저항	ต้านทานคริติคอล	抵御被暴击伤害的概率的基础值	抵禦被爆擊傷害的機率的基礎值	Base probability of resisting CRIT DMG	被ダメージ時の会心発生率をダウンさせるパラメータ	적용되는 크리티컬 대미지를 막는 확률 기본 값	ค่า​โอกาส​พื้นฐาน​ใน​การป้องกัน​การ​โดน​ดา​เม​จค​ริ​ติ​คอ​ล​
21	antiCritical	0	1	1200	8	58:icon_8	1	暴击率抵抗	爆擊率抵抗	CRIT RES	会心回避率	크리티컬율 저항	ต้านทานอัตราคริ	抵御被暴击伤害的概率	抵禦被爆擊傷害的機率	Probability of resisting CRIT DMG	被ダメージ時の会心発生率をダウンさせる	적용되는 크리티컬 대미지를 막는 확률	โอกาส​ใน​การป้องกัน​การ​โดน​ดา​เม​จค​ริ​ติ​คอ​ล​
36	critDamagePoint	0	0	0			1	暴伤	爆傷	CRIT DMG	会心ダメージ	크리티컬 대미지	ดาเมจคริ	触发暴击伤害时的输出效果的基础值	觸發爆擊傷害時的輸出效果的基礎值	Base amount of DMG when inflicting CRIT DMG	会心発生時の与ダメージに影響を与えるパラメータ	크리티컬 대미지 시전 시 출력 효과의 기본 값	ค่า​ดา​เม​จ​พื้นฐาน​ของ​การ​โจมตี​เมื่อ​สร้าง​ดา​เม​จค​ริ​ติ​คอ​ล​
6	criticalDamage	0	1	575	7	58:icon_7	1	暴击伤害	爆擊傷害	CRIT DMG	会心ダメージ	크리티컬 대미지	ดาเมจคริติคอล	触发暴击伤害时的输出效果	觸發爆擊傷害時的輸出效果	Amount of DMG when inflicting CRIT DMG	会心発生時の与ダメージ効果	크리티컬 대미지 시전 시 출력 효과	ค่า​ดา​เม​จ​ของ​การ​โจมตี​เมื่อ​สร้าง​ดา​เม​จค​ริ​ติ​คอ​ล​
32	antiCritDamagePoint	0	0	0			1	暴伤抵抗	爆傷抵抗	CRIT DMG RES	会心ダメージ抵抗率	크리티컬 대미지 저항	ต้านทานดาเมจคริ	降低被暴击时的伤害的基础值	降低被爆擊時的傷害的基礎值	Reduces the base amount of DMG from critical hits.	受ける会心ダメージを軽減させるパラメータ	크리티컬을 받을 때 대미지가 감소하는 기본 수치	ค่า​พื้นฐาน​ของ​การ​ลด​ดา​เม​จ​เมื่อ​โด​นค​ริ​ติ​คอ​ล​
22	antiCriticalDam	0	1	575	9	58:icon_9	1	暴击伤害抵抗	爆擊傷害抵抗	CRIT DMG RES	会心ダメージ抵抗率	크리티컬 대미지 저항	ต้านทานดาเมจคริ	降低被暴击时的伤害	降低被爆擊時的傷害	Reduces the amount of DMG from critical hits.	受ける会心ダメージを軽減させる	크리티컬을 받을 때 대미지 감소	ลด​ดา​เม​จ​ที่​ได้รับ​เมื่อ​โดน​โจมตี​ค​ริ​ติ​คอ​ล​
20	lucky	0	1	600	14	58:icon_14	1	幸运	幸運	LUCK	幸運値	행운	โชค	提升战斗中抽到两星技能牌的概率值	提升戰鬥中抽到兩星技能牌的機率值	Increases probability of summoning 2★ skill cards in battle.	戦闘中、★2スキルカードの出現率をアップさせる	전투 중 2★ 스킬 카드 드로우 확률 증가	เพิ่ม​โอกาส​ได้รับ​การ์ด​สกิล​สอง​ดาว​ระหว่าง​ต่อสู้​
100	currentHealth	0	0	0			1	当前血量值	當前血量值	Current HP	残りHP	현재 HP	ค่าพลังชีวิตปัจจุบัน	当前生命值	當前生命值	Current HP	残りHP	현재 HP	ค่า HP ปัจจุบัน
201	hurt	0	1	0			1	伤害变化	傷害變化	DMG Variation	ダメージ変化	대미지 변화	การเปลี่ยนแปลง​ของ​ดา​เม​จ​						
202	attHurt	0	1	0			1	易伤	易傷	Vulnerability	被ダメージ増加	취약	เปราะบาง						
204	thorns	0	0	0			1	荆棘（固定值反弹）											
205	rebound	0	1	0			1	反弹（百分比反弹伤害）											
206	treatmentEffect	0	1	780	10	58:icon_10	1	受到治疗提升	受到治療提升	Received Healing UP	被回復効果アップ	적용되는 치유 증가	ได้รับการฟื้นฟูเพิ่มขึ้น	提升受到的治疗效果	提升受到的治療效果	Increases healing effect received.	受ける回復効果をアップさせる	적용되는 치유 효과 증가	เพิ่ม​เอฟเฟกต์​ฟื้นฟู​ที่​ได้รับ​
207	damageIncrease	0	1	0			1	造成的伤害变化	造成的傷害變化	Variation of DMG dealt	与ダメージの変化	부여하는 대미지 변화	การเปลี่ยนแปลง​ของ​ดา​เม​จ​ที่​สร้าง​ได้​						
208	vampire	0	1	0			1	吸血（填写小数，根据最终实际造成的伤害来吸血）	吸血（填寫小數，根據最終實際造成的傷害來吸血）	Lifesteal (calculated based on the actual damage dealt)	吸血	흡혈 (소수점 기입, 마지막에 실제로 부여하는 대미지에 따라 흡혈)	ดูด​เลือด​ (​ใช้​ค่า​ทศนิยม​ อิง​ตาม​ดา​เม​จ​ที่​ทำได้​จริง​)​						
211		0	1	780	12	58:icon_11	1	造成治疗提升	造成治療提升	Healing Boost	与回復効果アップ	부여하는 치유 증가	สร้างการฟื้นฟูเพิ่มขึ้น	提升施加的治疗效果	提升施加的治療效果	Increases healing effect applied.	与える回復効果をアップさせる	시전하는 치유 효과 증가	เพิ่ม​เอฟเฟกต์​ฟื้นฟู​ที่​ทำได้​
212		0	1	0			1	溅射值	濺射值	Splash	スプラッシュ値	확산 대미지 수치	ค่ากระจายดาเมจ						
213		1	0	0			1	sp点	SP點	SP	SP	SP 포인트	แต้ม sp	触发技能的需求点数	觸發技能的需求點數	Points required to activate skills.	スキル発動時に必要とするポイント	스킬 발동에 필요한 점수	พลังงาน​ที่​ต้องการ​ใน​การ​ใช้​สกิล​
214		0	1	780	13	58:icon_13	1	造成护盾提升	造成護盾提升	Shield Effect UP	与シールド耐久アップ	부여하는 실드	สร้างโล่ป้องกันเพิ่มขึ้น	提升施加的护盾效果	提升施加的護盾效果	Increases Shield Effect applied.	与えるシールドの耐久を増加させる	시전하는 실드 효과 증가	เพิ่ม​เอฟเฟ็กต์​โล่​ป้อง​กันที่​ทำได้​
215		0	1	780	11	58:icon_12	1	受到护盾提升	受到護盾提升	Shield Gained UP	被シールド耐久アップ	적용되는 실드	ได้รับโล่ป้องกันเพิ่มขึ้น	提升受到的护盾效果	提升受到的護盾效果	Increases Shield Effect received.	受けるシールドの耐久を増加させる	적용되는 실드 효과 증가	เพิ่ม​เอฟเฟกต์​โล่​ป้อง​กันที่​ได้รับ​
216		0	1	0		0	1	间接伤害提升	間接傷害提升	Increases Indirect DMG.	間接ダメージアップ	간접 대미지 증가	เพิ่มดาเมจต่อเนื่อง						
217		0	1	0		0	1	间接伤害减免	間接傷害減免	Indirect DMG Red.	間接ダメージ軽減	간접 대미지 감면	ลดดาเมจต่อเนื่อง						
218		0	1	0		0	1	溢出治疗转护盾	溢出治療轉護盾	Converts excess healing to Shield.	最大HPを超えた回復値はシールドに変換される	버프 치유가 실드로 전환	โล่​ป้องกัน​ที่เกิด​จาก​ค่า​ฟื้นฟู​ที่​เกิน​มา​						
219		0	1	0		0	1	溢出治疗转伤害	溢出治療轉傷害	Converts excess healing to DMG.	最大HPを超えた回復値はダメージに変換される	버프 치유가 대미지로 전환	ดา​เม​จ​ที่เกิด​จาก​ค่า​ฟื้นฟู​ที่​เกิน​มา​						
220		0	1	0			1	控制增幅	控制增幅	Control Boost	行動制限強化	제어 증폭	เสริมการควบคุม	提升施加控制的概率	提升施加控制的機率	Increases probability of inflicting Control effects.	行動制限効果を付与する確率をアップさせる	제어 시전 확률 증가	เพิ่ม​โอกาส​ใน​การ​ติด​เอฟเฟกต์​ควบคุม​
221		0	1	0			1	控制抵抗	控制抵抗	Control RES	行動制限抵抗	제어 저항	ต่อต้านการควบคุม	降低被控制的概率	降低被控制的機率	Reduces probability of being Controlled.	行動制限効果を受ける確率をダウンさせる	제어 당하는 확률 감소	ลด​โอกาส​ใน​การ​ติด​เอฟเฟกต์​ควบคุม​
222		0	1	0			1	暴击溢出修正值	爆擊溢出修正值	CRIT Overflow Modifier	Pending暴击溢出修正值	크리티컬 버프 보정	ค่า​การ​ปรับ​ค​ริ​ติ​คอ​ล​ที่​เกิน​มา​						
301		0	1	0		0	1												
302		0	1	0		0	1												
303		0	1	0		0	1												
304		0	1	0		0	1												
305		0	1	0		0	1												
306		0	1	0		0	1												
307		0	1	0		0	1												
308		0	1	0		0	1												
309		0	1	0		0	1												
310		0	1	0		0	1												
311		0	1	0		0	1												
312		0	1	0		0	1												
313		0	1	0		0	1												
314		0	1	0		0	1												
401		0	1	0		0	1												
402		0	1	0		0	1												
403		0	1	0		0	1												
404		0	1	0		0	1												
405		0	1	0		0	1												
406		0	1	0		0	1												
407		0	1	0		0	1												
408		0	1	0		0	1												
409		0	1	0		0	1												
410		0	1	0		0	1												
411		0	1	0		0	1												
412		0	1	0		0	1												
