id	pos	type	roleId	attAddTypeId	attAddNum	exId	addBuffId	star	exBuffId	exStar	icon	groupId	costItem	costNum	status
10101019	19	1	101010	101;301	142;1896						88:talent_ico_740002	1	300022;300003	2400;24000	1
10101020	20	3	101010				91005	1			88:talent_ico_81101010	1	417200;300022;300003	12;5400;54000	1
10101021	21	1	101010	101;301	228;3034						88:talent_ico_740003	1	300022;300003	3600;36000	1
10101022	22	1	101010	301;201	3034;106						88:talent_ico_740003	1	300022;300003	3600;36000	1
10101023	23	1	101010	201;101	106;228						88:talent_ico_740003	1	300022;300003	3600;36000	1
10101024	24	2	101010	201;101;301;1601	159;341;4550;0.07						88:talent_ico_740003	1	417200;300022;300003	12;5400;54000	1
10101025	25	1	101010	301;201	3034;106						88:talent_ico_740003	1	300022;300003	3600;36000	1
10101026	26	1	101010	201;101	106;228						88:talent_ico_740003	1	300022;300003	3600;36000	1
10101027	27	1	101010	101;301	228;3034						88:talent_ico_740003	1	300022;300003	3600;36000	1
10101028	28	3	101010			10101020	92005	1	91005	1	88:talent_ico_82101010	1	417300;300022;300003	12;9000;90000	1
10300801	1	1	103008	201;101	42;90						88:talent_ico_740001	1	300022;300003	1600;16000	1
10300802	2	1	103008	101;301	90;1198						88:talent_ico_740001	1	300022;300003	2000;20000	1
10300803	3	1	103008	301;201	1198;42						88:talent_ico_740001	1	300022;300003	2000;20000	1
10300804	4	2	103008	201;101;301;1601	84;180;2395;0.03						88:talent_ico_740001	1	417100;300022;300003	16;4000;40000	1
10300805	5	1	103008	201;101	70;150						88:talent_ico_740002	1	300022;300003	2400;24000	1
10300806	6	1	103008	101;301	150;1996						88:talent_ico_740002	1	300022;300003	3200;32000	1
10300807	7	1	103008	301;201	1996;70						88:talent_ico_740002	1	300022;300003	3200;32000	1
10300808	8	2	103008	201;101;301;1601	140;299;3992;0.05						88:talent_ico_740002	1	417100;300022;300003	24;4800;48000	1
10300809	9	1	103008	101;301	150;1996						88:talent_ico_740002	1	300022;300003	3200;32000	1
10300810	10	1	103008	301;201	1996;70						88:talent_ico_740002	1	300022;300003	3200;32000	1
10300811	11	1	103008	201;101	70;150						88:talent_ico_740002	1	300022;300003	2400;24000	1
10300812	12	3	103008				91011	1			88:talent_ico_71103008	1	417200;300022;300003	16;7200;72000	1
10300813	13	1	103008	201;101	112;240						88:talent_ico_740003	1	300022;300003	4800;48000	1
10300814	14	1	103008	101;301	240;3194						88:talent_ico_740003	1	300022;300003	4800;48000	1
10300815	15	1	103008	301;201	3194;112						88:talent_ico_740003	1	300022;300003	4800;48000	1
10300816	16	3	103008			10300812	92011	1	91011	1	88:talent_ico_72103008	1	417300;300022;300003	16;12000;120000	1
10300817	17	1	103008	301;201	1996;70						88:talent_ico_740002	1	300022;300003	3200;32000	1
10300818	18	1	103008	201;101	70;150						88:talent_ico_740002	1	300022;300003	2400;24000	1
10300819	19	1	103008	101;301	150;1996						88:talent_ico_740002	1	300022;300003	3200;32000	1
10300820	20	3	103008				91005	1			88:talent_ico_81103008	1	417200;300022;300003	16;7200;72000	1
10300821	21	1	103008	101;301	240;3194						88:talent_ico_740003	1	300022;300003	4800;48000	1
10300822	22	1	103008	301;201	3194;112						88:talent_ico_740003	1	300022;300003	4800;48000	1
10300823	23	1	103008	201;101	112;240						88:talent_ico_740003	1	300022;300003	4800;48000	1
10300824	24	2	103008	201;101;301;1601	168;359;4790;0.07						88:talent_ico_740003	1	417200;300022;300003	16;7200;72000	1
10300825	25	1	103008	301;201	3194;112						88:talent_ico_740003	1	300022;300003	4800;48000	1
10300826	26	1	103008	201;101	112;240						88:talent_ico_740003	1	300022;300003	4800;48000	1
10300827	27	1	103008	101;301	240;3194						88:talent_ico_740003	1	300022;300003	4800;48000	1
10300828	28	3	103008			10300820	92005	1	91005	1	88:talent_ico_82103008	1	417300;300022;300003	16;12000;120000	1
10101801	1	1	101018	201;101	47;104						88:talent_ico_740001	1	300022;300003	2000;20000	1
10101802	2	1	101018	101;301	104;1100						88:talent_ico_740001	1	300022;300003	2500;25000	1
10101803	3	1	101018	301;201	1100;47						88:talent_ico_740001	1	300022;300003	2500;25000	1
10101804	4	2	101018	201;101;301;2502	94;208;2201;0.02						88:talent_ico_740001	1	417100;300022;300003	20;5000;50000	1
10101805	5	1	101018	201;101	79;173						88:talent_ico_740002	1	300022;300003	3000;30000	1
10101806	6	1	101018	101;301	173;1834						88:talent_ico_740002	1	300022;300003	4000;40000	1
10101807	7	1	101018	301;201	1834;79						88:talent_ico_740002	1	300022;300003	4000;40000	1
10101808	8	2	101018	201;101;301;401	157;346;3668;200						88:talent_ico_740002	1	417100;300022;300003	30;6000;60000	1
10101809	9	1	101018	101;301	173;1834						88:talent_ico_740002	1	300022;300003	4000;40000	1
10101810	10	1	101018	301;201	1834;79						88:talent_ico_740002	1	300022;300003	4000;40000	1
10101811	11	1	101018	201;101	79;173						88:talent_ico_740002	1	300022;300003	3000;30000	1
10101812	12	3	101018				91011	1			88:talent_ico_71101018	1	417200;300022;300003	20;9000;90000	1
10101813	13	1	101018	201;101	126;277						88:talent_ico_740003	1	300022;300003	6000;60000	1
10101814	14	1	101018	101;301	277;2934						88:talent_ico_740003	1	300022;300003	6000;60000	1
10101815	15	1	101018	301;201	2934;126						88:talent_ico_740003	1	300022;300003	6000;60000	1
10101816	16	3	101018			10101812	92011	1	91011	1	88:talent_ico_72101018	1	417300;300022;300003	20;15000;150000	1
10101817	17	1	101018	301;201	1834;79						88:talent_ico_740002	1	300022;300003	4000;40000	1
10101818	18	1	101018	201;101	79;173						88:talent_ico_740002	1	300022;300003	3000;30000	1
10101819	19	1	101018	101;301	173;1834						88:talent_ico_740002	1	300022;300003	4000;40000	1
10101820	20	3	101018				91020	1			88:talent_ico_81101018	1	417200;300022;300003	20;9000;90000	1
10101821	21	1	101018	101;301	277;2934						88:talent_ico_740003	1	300022;300003	6000;60000	1
10101822	22	1	101018	301;201	2934;126						88:talent_ico_740003	1	300022;300003	6000;60000	1
10101823	23	1	101018	201;101	126;277						88:talent_ico_740003	1	300022;300003	6000;60000	1
10101824	24	2	101018	201;101;301;2502	189;415;4402;0.04						88:talent_ico_740003	1	417200;300022;300003	20;9000;90000	1
10101825	25	1	101018	301;201	2934;126						88:talent_ico_740003	1	300022;300003	6000;60000	1
10101826	26	1	101018	201;101	126;277						88:talent_ico_740003	1	300022;300003	6000;60000	1
10101827	27	1	101018	101;301	277;2934						88:talent_ico_740003	1	300022;300003	6000;60000	1
10101828	28	3	101018			10101820	92020	1	91020	1	88:talent_ico_82101018	1	417300;300022;300003	20;15000;150000	1
10100901	1	1	101009	301;201	928;46						88:talent_ico_720001	1	300022;300003	1600;16000	1
10100902	2	1	101009	201;101	46;102						88:talent_ico_720001	1	300022;300003	2000;20000	1
10100903	3	1	101009	101;301	102;928						88:talent_ico_720001	1	300022;300003	2000;20000	1
10100904	4	2	101009	301;201;101;2502	1856;93;102;0.04						88:talent_ico_720001	1	417100;300022;300003	16;4000;40000	1
10100905	5	1	101009	301;201	1547;77						88:talent_ico_720002	1	300022;300003	2400;24000	1
10100906	6	1	101009	201;101	77;170						88:talent_ico_720002	1	300022;300003	3200;32000	1
10100907	7	1	101009	101;301	170;1547						88:talent_ico_720002	1	300022;300003	3200;32000	1
10100908	8	2	101009	301;201;101;401	3094;155;170;200						88:talent_ico_720002	1	417100;300022;300003	24;4800;48000	1
10100909	9	1	101009	201;101	77;170						88:talent_ico_720002	1	300022;300003	3200;32000	1
10100910	10	1	101009	101;301	170;1547						88:talent_ico_720002	1	300022;300003	3200;32000	1
10100911	11	1	101009	301;201	1547;77						88:talent_ico_720002	1	300022;300003	2400;24000	1
10100912	12	3	101009				93001	1			88:talent_ico_71101009	1	417200;300022;300003	16;7200;72000	1
10100913	13	1	101009	301;201	2475;124						88:talent_ico_720003	1	300022;300003	4800;48000	1
10100914	14	1	101009	201;101	124;271						88:talent_ico_720003	1	300022;300003	4800;48000	1
10100915	15	1	101009	101;301	271;2475						88:talent_ico_720003	1	300022;300003	4800;48000	1
10100916	16	3	101009			10100912	93002	1	93001	1	88:talent_ico_72101009	1	417300;300022;300003	16;12000;120000	1
10100917	17	1	101009	101;301	170;1547						88:talent_ico_720002	1	300022;300003	3200;32000	1
10100918	18	1	101009	301;201	1547;77						88:talent_ico_720002	1	300022;300003	2400;24000	1
10100919	19	1	101009	201;101	77;170						88:talent_ico_720002	1	300022;300003	3200;32000	1
10100920	20	3	101009				91107008	1			88:talent_ico_81101009	1	417200;300022;300003	16;7200;72000	1
10100921	21	1	101009	201;101	124;271						88:talent_ico_720003	1	300022;300003	4800;48000	1
10100922	22	1	101009	101;301	271;2475						88:talent_ico_720003	1	300022;300003	4800;48000	1
10100923	23	1	101009	301;201	2475;124						88:talent_ico_720003	1	300022;300003	4800;48000	1
10100924	24	2	101009	301;201;101;2502	3713;186;204;0.06						88:talent_ico_720003	1	417200;300022;300003	16;7200;72000	1
10100925	25	1	101009	101;301	271;2475						88:talent_ico_720003	1	300022;300003	4800;48000	1
10100926	26	1	101009	301;201	2475;124						88:talent_ico_720003	1	300022;300003	4800;48000	1
10100927	27	1	101009	201;101	124;271						88:talent_ico_720003	1	300022;300003	4800;48000	1
10100928	28	3	101009			10100920	92107008	1	91107008	1	88:talent_ico_82101009	1	417300;300022;300003	16;12000;120000	1
10200401	1	1	102004	301;201	928;46						88:talent_ico_720001	1	300022;300003	1600;16000	1
10200402	2	1	102004	201;101	46;102						88:talent_ico_720001	1	300022;300003	2000;20000	1
10200403	3	1	102004	101;301	102;928						88:talent_ico_720001	1	300022;300003	2000;20000	1
10200404	4	2	102004	301;201;101;2502	1856;93;102;0.04						88:talent_ico_720001	1	417100;300022;300003	16;4000;40000	1
10200405	5	1	102004	301;201	1547;77						88:talent_ico_720002	1	300022;300003	2400;24000	1
10200406	6	1	102004	201;101	77;170						88:talent_ico_720002	1	300022;300003	3200;32000	1
10200407	7	1	102004	101;301	170;1547						88:talent_ico_720002	1	300022;300003	3200;32000	1
10200408	8	2	102004	301;201;101;401	3094;155;170;200						88:talent_ico_720002	1	417100;300022;300003	24;4800;48000	1
10200409	9	1	102004	201;101	77;170						88:talent_ico_720002	1	300022;300003	3200;32000	1
10200410	10	1	102004	101;301	170;1547						88:talent_ico_720002	1	300022;300003	3200;32000	1
10200411	11	1	102004	301;201	1547;77						88:talent_ico_720002	1	300022;300003	2400;24000	1
10200412	12	3	102004				91016	1			88:talent_ico_71102004	1	417200;300022;300003	16;7200;72000	1
10200413	13	1	102004	301;201	2475;124						88:talent_ico_720003	1	300022;300003	4800;48000	1
10200414	14	1	102004	201;101	124;271						88:talent_ico_720003	1	300022;300003	4800;48000	1
10200415	15	1	102004	101;301	271;2475						88:talent_ico_720003	1	300022;300003	4800;48000	1
10200416	16	3	102004			10200412	92016	1	91016	1	88:talent_ico_72102004	1	417300;300022;300003	16;12000;120000	1
10200417	17	1	102004	101;301	170;1547						88:talent_ico_720002	1	300022;300003	3200;32000	1
10200418	18	1	102004	301;201	1547;77						88:talent_ico_720002	1	300022;300003	2400;24000	1
10200419	19	1	102004	201;101	77;170						88:talent_ico_720002	1	300022;300003	3200;32000	1
10200420	20	3	102004				91006	1			88:talent_ico_81102004	1	417200;300022;300003	16;7200;72000	1
10200421	21	1	102004	201;101	124;271						88:talent_ico_720003	1	300022;300003	4800;48000	1
10200422	22	1	102004	101;301	271;2475						88:talent_ico_720003	1	300022;300003	4800;48000	1
10200423	23	1	102004	301;201	2475;124						88:talent_ico_720003	1	300022;300003	4800;48000	1
10200424	24	2	102004	301;201;101;2502	3713;186;204;0.06						88:talent_ico_720003	1	417200;300022;300003	16;7200;72000	1
10200425	25	1	102004	101;301	271;2475						88:talent_ico_720003	1	300022;300003	4800;48000	1
10200426	26	1	102004	301;201	2475;124						88:talent_ico_720003	1	300022;300003	4800;48000	1
10200427	27	1	102004	201;101	124;271						88:talent_ico_720003	1	300022;300003	4800;48000	1
10200428	28	3	102004			10200420	92006	1	91006	1	88:talent_ico_82102004	1	417300;300022;300003	16;12000;120000	1
10201601	1	1	102016	301;201	928;46						88:talent_ico_720001	1	300022;300003	1600;16000	1
10201602	2	1	102016	201;101	46;102						88:talent_ico_720001	1	300022;300003	2000;20000	1
10201603	3	1	102016	101;301	102;928						88:talent_ico_720001	1	300022;300003	2000;20000	1
10201604	4	2	102016	301;201;101;2502	1856;93;102;0.04						88:talent_ico_720001	1	417100;300022;300003	16;4000;40000	1
10201605	5	1	102016	301;201	1547;77						88:talent_ico_720002	1	300022;300003	2400;24000	1
10201606	6	1	102016	201;101	77;170						88:talent_ico_720002	1	300022;300003	3200;32000	1
10201607	7	1	102016	101;301	170;1547						88:talent_ico_720002	1	300022;300003	3200;32000	1
10201608	8	2	102016	301;201;101;401	3094;155;170;200						88:talent_ico_720002	1	417100;300022;300003	24;4800;48000	1
10201609	9	1	102016	201;101	77;170						88:talent_ico_720002	1	300022;300003	3200;32000	1
10201610	10	1	102016	101;301	170;1547						88:talent_ico_720002	1	300022;300003	3200;32000	1
10201611	11	1	102016	301;201	1547;77						88:talent_ico_720002	1	300022;300003	2400;24000	1
10201612	12	3	102016				91023	1			88:talent_ico_71102016	1	417200;300022;300003	16;7200;72000	1
10201613	13	1	102016	301;201	2475;124						88:talent_ico_720003	1	300022;300003	4800;48000	1
10201614	14	1	102016	201;101	124;271						88:talent_ico_720003	1	300022;300003	4800;48000	1
10201615	15	1	102016	101;301	271;2475						88:talent_ico_720003	1	300022;300003	4800;48000	1
10201616	16	3	102016			10201612	92023	1	91023	1	88:talent_ico_72102016	1	417300;300022;300003	16;12000;120000	1
10201617	17	1	102016	101;301	170;1547						88:talent_ico_720002	1	300022;300003	3200;32000	1
10201618	18	1	102016	301;201	1547;77						88:talent_ico_720002	1	300022;300003	2400;24000	1
10201619	19	1	102016	201;101	77;170						88:talent_ico_720002	1	300022;300003	3200;32000	1
10201620	20	3	102016				91006	1			88:talent_ico_81102016	1	417200;300022;300003	16;7200;72000	1
10201621	21	1	102016	201;101	124;271						88:talent_ico_720003	1	300022;300003	4800;48000	1
10201622	22	1	102016	101;301	271;2475						88:talent_ico_720003	1	300022;300003	4800;48000	1
10201623	23	1	102016	301;201	2475;124						88:talent_ico_720003	1	300022;300003	4800;48000	1
10201624	24	2	102016	301;201;101;2502	3713;186;204;0.06						88:talent_ico_720003	1	417200;300022;300003	16;7200;72000	1
10201625	25	1	102016	101;301	271;2475						88:talent_ico_720003	1	300022;300003	4800;48000	1
10201626	26	1	102016	301;201	2475;124						88:talent_ico_720003	1	300022;300003	4800;48000	1
10201627	27	1	102016	201;101	124;271						88:talent_ico_720003	1	300022;300003	4800;48000	1
10201628	28	3	102016			10201620	92006	1	91006	1	88:talent_ico_82102016	1	417300;300022;300003	16;12000;120000	1
10300101	1	1	103001	301;201	882;44						88:talent_ico_720001	1	300022;300003	1200;12000	1
10300102	2	1	103001	201;101	44;97						88:talent_ico_720001	1	300022;300003	1500;15000	1
10300103	3	1	103001	101;301	97;882						88:talent_ico_720001	1	300022;300003	1500;15000	1
10300104	4	2	103001	301;201;101;2502	1763;88;97;0.04						88:talent_ico_720001	1	417100;300022;300003	12;3000;30000	1
10300105	5	1	103001	301;201	1469;73						88:talent_ico_720002	1	300022;300003	1800;18000	1
10300106	6	1	103001	201;101	73;161						88:talent_ico_720002	1	300022;300003	2400;24000	1
10300107	7	1	103001	101;301	161;1469						88:talent_ico_720002	1	300022;300003	2400;24000	1
10300108	8	2	103001	301;201;101;401	2939;147;161;200						88:talent_ico_720002	1	417100;300022;300003	18;3600;36000	1
10300109	9	1	103001	201;101	73;161						88:talent_ico_720002	1	300022;300003	2400;24000	1
10300110	10	1	103001	101;301	161;1469						88:talent_ico_720002	1	300022;300003	2400;24000	1
10300111	11	1	103001	301;201	1469;73						88:talent_ico_720002	1	300022;300003	1800;18000	1
10300112	12	3	103001				91025	1			88:talent_ico_71103001	1	417200;300022;300003	12;5400;54000	1
10300113	13	1	103001	301;201	2351;118						88:talent_ico_720003	1	300022;300003	3600;36000	1
10300114	14	1	103001	201;101	118;258						88:talent_ico_720003	1	300022;300003	3600;36000	1
10300115	15	1	103001	101;301	258;2351						88:talent_ico_720003	1	300022;300003	3600;36000	1
10300116	16	3	103001			10300112	92025	1	91025	1	88:talent_ico_72103001	1	417300;300022;300003	12;9000;90000	1
10300117	17	1	103001	101;301	161;1469						88:talent_ico_720002	1	300022;300003	2400;24000	1
10300118	18	1	103001	301;201	1469;73						88:talent_ico_720002	1	300022;300003	1800;18000	1
10300119	19	1	103001	201;101	73;161						88:talent_ico_720002	1	300022;300003	2400;24000	1
10300120	20	3	103001				93001	1			88:talent_ico_81103001	1	417200;300022;300003	12;5400;54000	1
10300121	21	1	103001	201;101	118;258						88:talent_ico_720003	1	300022;300003	3600;36000	1
10300122	22	1	103001	101;301	258;2351						88:talent_ico_720003	1	300022;300003	3600;36000	1
10300123	23	1	103001	301;201	2351;118						88:talent_ico_720003	1	300022;300003	3600;36000	1
10300124	24	2	103001	301;201;101;2502	3527;176;193;0.06						88:talent_ico_720003	1	417200;300022;300003	12;5400;54000	1
10300125	25	1	103001	101;301	258;2351						88:talent_ico_720003	1	300022;300003	3600;36000	1
10300126	26	1	103001	301;201	2351;118						88:talent_ico_720003	1	300022;300003	3600;36000	1
10300127	27	1	103001	201;101	118;258						88:talent_ico_720003	1	300022;300003	3600;36000	1
10300128	28	3	103001			10300120	93002	1	93001	1	88:talent_ico_82103001	1	417300;300022;300003	12;9000;90000	1
10301001	1	1	103010	301;201	975;49						88:talent_ico_720001	1	300022;300003	2000;20000	1
10301002	2	1	103010	201;101	49;119						88:talent_ico_720001	1	300022;300003	2500;25000	1
10301003	3	1	103010	101;301	119;975						88:talent_ico_720001	1	300022;300003	2500;25000	1
10301004	4	2	103010	301;201;101;1501	1949;97;119;0.02						88:talent_ico_720001	1	417100;300022;300003	20;5000;50000	1
10301005	5	1	103010	301;201	1624;81						88:talent_ico_720002	1	300022;300003	3000;30000	1
10301006	6	1	103010	201;101	81;199						88:talent_ico_720002	1	300022;300003	4000;40000	1
10301007	7	1	103010	101;301	199;1624						88:talent_ico_720002	1	300022;300003	4000;40000	1
10301008	8	2	103010	301;201;101;1501	3249;162;199;0.04						88:talent_ico_720002	1	417100;300022;300003	30;6000;60000	1
10301009	9	1	103010	201;101	81;199						88:talent_ico_720002	1	300022;300003	4000;40000	1
10301010	10	1	103010	101;301	199;1624						88:talent_ico_720002	1	300022;300003	4000;40000	1
10301011	11	1	103010	301;201	1624;81						88:talent_ico_720002	1	300022;300003	3000;30000	1
10301012	12	3	103010				91030	1			88:talent_ico_71103010	1	417200;300022;300003	20;9000;90000	1
10301013	13	1	103010	301;201	2599;130						88:talent_ico_720003	1	300022;300003	6000;60000	1
10301014	14	1	103010	201;101	130;319						88:talent_ico_720003	1	300022;300003	6000;60000	1
10301015	15	1	103010	101;301	319;2599						88:talent_ico_720003	1	300022;300003	6000;60000	1
10301016	16	3	103010			10301012	91030	2	91030	1	88:talent_ico_72103010	1	417300;300022;300003	20;15000;150000	1
10301017	17	1	103010	101;301	199;1624						88:talent_ico_720002	1	300022;300003	4000;40000	1
10301018	18	1	103010	301;201	1624;81						88:talent_ico_720002	1	300022;300003	3000;30000	1
10301019	19	1	103010	201;101	81;199						88:talent_ico_720002	1	300022;300003	4000;40000	1
10301020	20	3	103010				92030	1			88:talent_ico_81103010	1	417200;300022;300003	20;9000;90000	1
10301021	21	1	103010	201;101	130;319						88:talent_ico_720003	1	300022;300003	6000;60000	1
10301022	22	1	103010	101;301	319;2599						88:talent_ico_720003	1	300022;300003	6000;60000	1
10301023	23	1	103010	301;201	2599;130						88:talent_ico_720003	1	300022;300003	6000;60000	1
10301024	24	2	103010	301;201;101;1501	3899;195;239;0.06						88:talent_ico_720003	1	417200;300022;300003	20;9000;90000	1
10301025	25	1	103010	101;301	319;2599						88:talent_ico_720003	1	300022;300003	6000;60000	1
10301026	26	1	103010	301;201	2599;130						88:talent_ico_720003	1	300022;300003	6000;60000	1
10301027	27	1	103010	201;101	130;319						88:talent_ico_720003	1	300022;300003	6000;60000	1
10301028	28	3	103010			10301020	92030	2	92030	1	88:talent_ico_82103010	1	417300;300022;300003	20;15000;150000	1
10301101	1	1	103011	301;201	778;45						88:talent_ico_730001	1	300022;300003	1600;16000	1
10301102	2	1	103011	201;101	45;126						88:talent_ico_730001	1	300022;300003	2000;20000	1
10301103	3	1	103011	101;301	126;778						88:talent_ico_730001	1	300022;300003	2000;20000	1
10301104	4	2	103011	301;201;101;603	1557;90;126;0.02						88:talent_ico_730001	1	417100;300022;300003	16;4000;40000	1
10301105	5	1	103011	301;201	1297;75						88:talent_ico_730002	1	300022;300003	2400;24000	1
10301106	6	1	103011	201;101	75;210						88:talent_ico_730002	1	300022;300003	3200;32000	1
10301107	7	1	103011	101;301	210;1297						88:talent_ico_730002	1	300022;300003	3200;32000	1
10301108	8	2	103011	301;201;101;603	2595;150;210;0.03						88:talent_ico_730002	1	417100;300022;300003	24;4800;48000	1
10301109	9	1	103011	201;101	75;210						88:talent_ico_730002	1	300022;300003	3200;32000	1
10301110	10	1	103011	101;301	210;1297						88:talent_ico_730002	1	300022;300003	3200;32000	1
10301111	11	1	103011	301;201	1297;75						88:talent_ico_730002	1	300022;300003	2400;24000	1
10301112	12	3	103011				91015	1			88:talent_ico_71103011	1	417200;300022;300003	16;7200;72000	1
10301113	13	1	103011	301;201	2076;120						88:talent_ico_730003	1	300022;300003	4800;48000	1
10301114	14	1	103011	201;101	120;335						88:talent_ico_730003	1	300022;300003	4800;48000	1
10301115	15	1	103011	101;301	335;2076						88:talent_ico_730003	1	300022;300003	4800;48000	1
10301116	16	3	103011			10301112	92015	1	91015	1	88:talent_ico_72103011	1	417300;300022;300003	16;12000;120000	1
10301117	17	1	103011	101;301	210;1297						88:talent_ico_730002	1	300022;300003	3200;32000	1
10301118	18	1	103011	301;201	1297;75						88:talent_ico_730002	1	300022;300003	2400;24000	1
10301119	19	1	103011	201;101	75;210						88:talent_ico_730002	1	300022;300003	3200;32000	1
10301120	20	3	103011				93001	1			88:talent_ico_81103011	1	417200;300022;300003	16;7200;72000	1
10301121	21	1	103011	201;101	120;335						88:talent_ico_730003	1	300022;300003	4800;48000	1
10301122	22	1	103011	101;301	335;2076						88:talent_ico_730003	1	300022;300003	4800;48000	1
10301123	23	1	103011	301;201	2076;120						88:talent_ico_730003	1	300022;300003	4800;48000	1
10301124	24	2	103011	301;201;101;603	3114;180;251;0.03						88:talent_ico_730003	1	417200;300022;300003	16;7200;72000	1
10301125	25	1	103011	101;301	335;2076						88:talent_ico_730003	1	300022;300003	4800;48000	1
10301126	26	1	103011	301;201	2076;120						88:talent_ico_730003	1	300022;300003	4800;48000	1
10301127	27	1	103011	201;101	120;335						88:talent_ico_730003	1	300022;300003	4800;48000	1
10301128	28	3	103011			10301120	93002	1	93001	1	88:talent_ico_82103011	1	417300;300022;300003	16;12000;120000	1
10400601	1	1	104006	301;201	882;44						88:talent_ico_720001	1	300022;300003	1200;12000	1
10400602	2	1	104006	201;101	44;97						88:talent_ico_720001	1	300022;300003	1500;15000	1
10400603	3	1	104006	101;301	97;882						88:talent_ico_720001	1	300022;300003	1500;15000	1
10400604	4	2	104006	301;201;101;2502	1763;88;97;0.04						88:talent_ico_720001	1	417100;300022;300003	12;3000;30000	1
10400605	5	1	104006	301;201	1469;73						88:talent_ico_720002	1	300022;300003	1800;18000	1
10400606	6	1	104006	201;101	73;161						88:talent_ico_720002	1	300022;300003	2400;24000	1
10400607	7	1	104006	101;301	161;1469						88:talent_ico_720002	1	300022;300003	2400;24000	1
10400608	8	2	104006	301;201;101;401	2939;147;161;200						88:talent_ico_720002	1	417100;300022;300003	18;3600;36000	1
10400609	9	1	104006	201;101	73;161						88:talent_ico_720002	1	300022;300003	2400;24000	1
10400610	10	1	104006	101;301	161;1469						88:talent_ico_720002	1	300022;300003	2400;24000	1
10400611	11	1	104006	301;201	1469;73						88:talent_ico_720002	1	300022;300003	1800;18000	1
10400612	12	3	104006				91031	1			88:talent_ico_71104006	1	417200;300022;300003	12;5400;54000	1
10400613	13	1	104006	301;201	2351;118						88:talent_ico_720003	1	300022;300003	3600;36000	1
10400614	14	1	104006	201;101	118;258						88:talent_ico_720003	1	300022;300003	3600;36000	1
10400615	15	1	104006	101;301	258;2351						88:talent_ico_720003	1	300022;300003	3600;36000	1
10400616	16	3	104006			10400612	91031	2	91031	1	88:talent_ico_72104006	1	417300;300022;300003	12;9000;90000	1
10400617	17	1	104006	101;301	161;1469						88:talent_ico_720002	1	300022;300003	2400;24000	1
10400618	18	1	104006	301;201	1469;73						88:talent_ico_720002	1	300022;300003	1800;18000	1
10400619	19	1	104006	201;101	73;161						88:talent_ico_720002	1	300022;300003	2400;24000	1
10400620	20	3	104006				91107008	1			88:talent_ico_81104006	1	417200;300022;300003	12;5400;54000	1
10400621	21	1	104006	201;101	118;258						88:talent_ico_720003	1	300022;300003	3600;36000	1
10400622	22	1	104006	101;301	258;2351						88:talent_ico_720003	1	300022;300003	3600;36000	1
10400623	23	1	104006	301;201	2351;118						88:talent_ico_720003	1	300022;300003	3600;36000	1
10400624	24	2	104006	301;201;101;2502	3527;176;193;0.06						88:talent_ico_720003	1	417200;300022;300003	12;5400;54000	1
10400625	25	1	104006	101;301	258;2351						88:talent_ico_720003	1	300022;300003	3600;36000	1
10400626	26	1	104006	301;201	2351;118						88:talent_ico_720003	1	300022;300003	3600;36000	1
10400627	27	1	104006	201;101	118;258						88:talent_ico_720003	1	300022;300003	3600;36000	1
10400628	28	3	104006			10400620	92107008	1	91107008	1	88:talent_ico_82104006	1	417300;300022;300003	12;9000;90000	1
