id	roleId	Type	level	consumeItem	consumeNum	status
101013104	101013	1	4	4104011;3000003	20;100000	1
101013105	101013	1	5	4104011;3000003	20;140000	1
101013106	101013	1	6	4104011;3000003	30;180000	1
101013107	101013	1	7	4104011;3000003	30;220000	1
101013108	101013	1	8	4104011;3000003	40;260000	1
101013109	101013	1	9	4104011;3000003	50;300000	1
101013110	101013	1	10			1
101013201	101013	2	1	4104011;3000003	10;10000	1
101013202	101013	2	2	4104011;3000003	20;40000	1
101013203	101013	2	3	4104011;3000003	30;90000	1
101013204	101013	2	4	4104011;3000003	40;160000	1
101013205	101013	2	5	4104011;3000003	50;250000	1
101013206	101013	2	6	4104011;3000003	60;360000	1
101013207	101013	2	7			1
102008101	102008	1	1	4104011;3000003	5;20000	1
102008102	102008	1	2	4104011;3000003	10;40000	1
102008103	102008	1	3	4104011;3000003	10;70000	1
102008104	102008	1	4	4104011;3000003	20;100000	1
102008105	102008	1	5	4104011;3000003	20;140000	1
102008106	102008	1	6	4104011;3000003	30;180000	1
102008107	102008	1	7	4104011;3000003	30;220000	1
102008108	102008	1	8	4104011;3000003	40;260000	1
102008109	102008	1	9	4104011;3000003	50;300000	1
102008110	102008	1	10			1
102008201	102008	2	1	4104011;3000003	10;10000	1
102008202	102008	2	2	4104011;3000003	20;40000	1
102008203	102008	2	3	4104011;3000003	30;90000	1
102008204	102008	2	4	4104011;3000003	40;160000	1
102008205	102008	2	5	4104011;3000003	50;250000	1
102008206	102008	2	6	4104011;3000003	60;360000	1
102008207	102008	2	7			1
102007101	102007	1	1	4104011;3000003	5;20000	1
102007102	102007	1	2	4104011;3000003	10;40000	1
102007103	102007	1	3	4104011;3000003	10;70000	1
102007104	102007	1	4	4104011;3000003	20;100000	1
102007105	102007	1	5	4104011;3000003	20;140000	1
102007106	102007	1	6	4104011;3000003	30;180000	1
102007107	102007	1	7	4104011;3000003	30;220000	1
102007108	102007	1	8	4104011;3000003	40;260000	1
102007109	102007	1	9	4104011;3000003	50;300000	1
102007110	102007	1	10			1
102007201	102007	2	1	4104011;3000003	10;10000	1
102007202	102007	2	2	4104011;3000003	20;40000	1
102007203	102007	2	3	4104011;3000003	30;90000	1
102007204	102007	2	4	4104011;3000003	40;160000	1
102007205	102007	2	5	4104011;3000003	50;250000	1
102007206	102007	2	6	4104011;3000003	60;360000	1
102007207	102007	2	7			1
102011101	102011	1	1	4104011;3000003	5;20000	1
102011102	102011	1	2	4104011;3000003	10;40000	1
102011103	102011	1	3	4104011;3000003	10;70000	1
102011104	102011	1	4	4104011;3000003	20;100000	1
102011105	102011	1	5	4104011;3000003	20;140000	1
102011106	102011	1	6	4104011;3000003	30;180000	1
102011107	102011	1	7	4104011;3000003	30;220000	1
102011108	102011	1	8	4104011;3000003	40;260000	1
102011109	102011	1	9	4104011;3000003	50;300000	1
102011110	102011	1	10			1
102011201	102011	2	1	4104011;3000003	10;10000	1
102011202	102011	2	2	4104011;3000003	20;40000	1
102011203	102011	2	3	4104011;3000003	30;90000	1
102011204	102011	2	4	4104011;3000003	40;160000	1
102011205	102011	2	5	4104011;3000003	50;250000	1
102011206	102011	2	6	4104011;3000003	60;360000	1
102011207	102011	2	7			1
102001101	102001	1	1	4104011;3000003	5;20000	1
102001102	102001	1	2	4104011;3000003	10;40000	1
102001103	102001	1	3	4104011;3000003	10;70000	1
102001104	102001	1	4	4104011;3000003	20;100000	1
102001105	102001	1	5	4104011;3000003	20;140000	1
102001106	102001	1	6	4104011;3000003	30;180000	1
102001107	102001	1	7	4104011;3000003	30;220000	1
102001108	102001	1	8	4104011;3000003	40;260000	1
102001109	102001	1	9	4104011;3000003	50;300000	1
102001110	102001	1	10			1
102001201	102001	2	1	4104011;3000003	10;10000	1
102001202	102001	2	2	4104011;3000003	20;40000	1
102001203	102001	2	3	4104011;3000003	30;90000	1
102001204	102001	2	4	4104011;3000003	40;160000	1
102001205	102001	2	5	4104011;3000003	50;250000	1
102001206	102001	2	6	4104011;3000003	60;360000	1
102001207	102001	2	7			1
102021101	102021	1	1	4104011;3000003	5;20000	1
102021102	102021	1	2	4104011;3000003	10;40000	1
102021103	102021	1	3	4104011;3000003	10;70000	1
102021104	102021	1	4	4104011;3000003	20;100000	1
102021105	102021	1	5	4104011;3000003	20;140000	1
102021106	102021	1	6	4104011;3000003	30;180000	1
102021107	102021	1	7	4104011;3000003	30;220000	1
102021108	102021	1	8	4104011;3000003	40;260000	1
102021109	102021	1	9	4104011;3000003	50;300000	1
102021110	102021	1	10			1
102021201	102021	2	1	4104011;3000003	10;10000	1
102021202	102021	2	2	4104011;3000003	20;40000	1
102021203	102021	2	3	4104011;3000003	30;90000	1
102021204	102021	2	4	4104011;3000003	40;160000	1
102021205	102021	2	5	4104011;3000003	50;250000	1
102021206	102021	2	6	4104011;3000003	60;360000	1
102021207	102021	2	7			1
103008101	103008	1	1	4104011;3000003	5;20000	1
103008102	103008	1	2	4104011;3000003	10;40000	1
103008103	103008	1	3	4104011;3000003	10;70000	1
103008104	103008	1	4	4104011;3000003	20;100000	1
103008105	103008	1	5	4104011;3000003	20;140000	1
103008106	103008	1	6	4104011;3000003	30;180000	1
103008107	103008	1	7	4104011;3000003	30;220000	1
103008108	103008	1	8	4104011;3000003	40;260000	1
103008109	103008	1	9	4104011;3000003	50;300000	1
103008110	103008	1	10			1
103008201	103008	2	1	4104011;3000003	10;10000	1
103008202	103008	2	2	4104011;3000003	20;40000	1
103008203	103008	2	3	4104011;3000003	30;90000	1
103008204	103008	2	4	4104011;3000003	40;160000	1
103008205	103008	2	5	4104011;3000003	50;250000	1
103008206	103008	2	6	4104011;3000003	60;360000	1
103008207	103008	2	7			1
103002101	103002	1	1	4104011;3000003	5;20000	1
103002102	103002	1	2	4104011;3000003	10;40000	1
103002103	103002	1	3	4104011;3000003	10;70000	1
103002104	103002	1	4	4104011;3000003	20;100000	1
103002105	103002	1	5	4104011;3000003	20;140000	1
103002106	103002	1	6	4104011;3000003	30;180000	1
103002107	103002	1	7	4104011;3000003	30;220000	1
103002108	103002	1	8	4104011;3000003	40;260000	1
103002109	103002	1	9	4104011;3000003	50;300000	1
103002110	103002	1	10			1
103002201	103002	2	1	4104011;3000003	10;10000	1
103002202	103002	2	2	4104011;3000003	20;40000	1
103002203	103002	2	3	4104011;3000003	30;90000	1
103002204	103002	2	4	4104011;3000003	40;160000	1
103002205	103002	2	5	4104011;3000003	50;250000	1
103002206	103002	2	6	4104011;3000003	60;360000	1
103002207	103002	2	7			1
103007101	103007	1	1	4104011;3000003	5;20000	1
103007102	103007	1	2	4104011;3000003	10;40000	1
103007103	103007	1	3	4104011;3000003	10;70000	1
103007104	103007	1	4	4104011;3000003	20;100000	1
103007105	103007	1	5	4104011;3000003	20;140000	1
103007106	103007	1	6	4104011;3000003	30;180000	1
103007107	103007	1	7	4104011;3000003	30;220000	1
103007108	103007	1	8	4104011;3000003	40;260000	1
103007109	103007	1	9	4104011;3000003	50;300000	1
103007110	103007	1	10			1
103007201	103007	2	1	4104011;3000003	10;10000	1
103007202	103007	2	2	4104011;3000003	20;40000	1
103007203	103007	2	3	4104011;3000003	30;90000	1
103007204	103007	2	4	4104011;3000003	40;160000	1
103007205	103007	2	5	4104011;3000003	50;250000	1
103007206	103007	2	6	4104011;3000003	60;360000	1
103007207	103007	2	7			1
103019101	103019	1	1	4104011;3000003	5;20000	1
103019102	103019	1	2	4104011;3000003	10;40000	1
103019103	103019	1	3	4104011;3000003	10;70000	1
103019104	103019	1	4	4104011;3000003	20;100000	1
103019105	103019	1	5	4104011;3000003	20;140000	1
103019106	103019	1	6	4104011;3000003	30;180000	1
103019107	103019	1	7	4104011;3000003	30;220000	1
103019108	103019	1	8	4104011;3000003	40;260000	1
103019109	103019	1	9	4104011;3000003	50;300000	1
103019110	103019	1	10			1
103019201	103019	2	1	4104011;3000003	10;10000	1
103019202	103019	2	2	4104011;3000003	20;40000	1
103019203	103019	2	3	4104011;3000003	30;90000	1
103019204	103019	2	4	4104011;3000003	40;160000	1
103019205	103019	2	5	4104011;3000003	50;250000	1
103019206	103019	2	6	4104011;3000003	60;360000	1
103019207	103019	2	7			1
103021101	103021	1	1	4104011;3000003	5;20000	1
103021102	103021	1	2	4104011;3000003	10;40000	1
103021103	103021	1	3	4104011;3000003	10;70000	1
103021104	103021	1	4	4104011;3000003	20;100000	1
103021105	103021	1	5	4104011;3000003	20;140000	1
103021106	103021	1	6	4104011;3000003	30;180000	1
103021107	103021	1	7	4104011;3000003	30;220000	1
103021108	103021	1	8	4104011;3000003	40;260000	1
103021109	103021	1	9	4104011;3000003	50;300000	1
103021110	103021	1	10			1
103021201	103021	2	1	4104011;3000003	10;10000	1
103021202	103021	2	2	4104011;3000003	20;40000	1
103021203	103021	2	3	4104011;3000003	30;90000	1
103021204	103021	2	4	4104011;3000003	40;160000	1
103021205	103021	2	5	4104011;3000003	50;250000	1
103021206	103021	2	6	4104011;3000003	60;360000	1
103021207	103021	2	7			1
104003101	104003	1	1	4104011;3000003	5;20000	1
104003102	104003	1	2	4104011;3000003	10;40000	1
104003103	104003	1	3	4104011;3000003	10;70000	1
104003104	104003	1	4	4104011;3000003	20;100000	1
104003105	104003	1	5	4104011;3000003	20;140000	1
104003106	104003	1	6	4104011;3000003	30;180000	1
104003107	104003	1	7	4104011;3000003	30;220000	1
104003108	104003	1	8	4104011;3000003	40;260000	1
104003109	104003	1	9	4104011;3000003	50;300000	1
104003110	104003	1	10			1
104003201	104003	2	1	4104011;3000003	10;10000	1
104003202	104003	2	2	4104011;3000003	20;40000	1
104003203	104003	2	3	4104011;3000003	30;90000	1
104003204	104003	2	4	4104011;3000003	40;160000	1
104003205	104003	2	5	4104011;3000003	50;250000	1
104003206	104003	2	6	4104011;3000003	60;360000	1
104003207	104003	2	7			1
104005101	104005	1	1	4104011;3000003	5;20000	1
104005102	104005	1	2	4104011;3000003	10;40000	1
104005103	104005	1	3	4104011;3000003	10;70000	1
104005104	104005	1	4	4104011;3000003	20;100000	1
104005105	104005	1	5	4104011;3000003	20;140000	1
104005106	104005	1	6	4104011;3000003	30;180000	1
104005107	104005	1	7	4104011;3000003	30;220000	1
104005108	104005	1	8	4104011;3000003	40;260000	1
104005109	104005	1	9	4104011;3000003	50;300000	1
104005110	104005	1	10			1
104005201	104005	2	1	4104011;3000003	10;10000	1
104005202	104005	2	2	4104011;3000003	20;40000	1
104005203	104005	2	3	4104011;3000003	30;90000	1
104005204	104005	2	4	4104011;3000003	40;160000	1
104005205	104005	2	5	4104011;3000003	50;250000	1
104005206	104005	2	6	4104011;3000003	60;360000	1
104005207	104005	2	7			1
104001101	104001	1	1	4104011;3000003	5;20000	1
104001102	104001	1	2	4104011;3000003	10;40000	1
104001103	104001	1	3	4104011;3000003	10;70000	1
104001104	104001	1	4	4104011;3000003	20;100000	1
104001105	104001	1	5	4104011;3000003	20;140000	1
104001106	104001	1	6	4104011;3000003	30;180000	1
104001107	104001	1	7	4104011;3000003	30;220000	1
104001108	104001	1	8	4104011;3000003	40;260000	1
104001109	104001	1	9	4104011;3000003	50;300000	1
104001110	104001	1	10			1
104001201	104001	2	1	4104011;3000003	10;10000	1
104001202	104001	2	2	4104011;3000003	20;40000	1
104001203	104001	2	3	4104011;3000003	30;90000	1
104001204	104001	2	4	4104011;3000003	40;160000	1
104001205	104001	2	5	4104011;3000003	50;250000	1
104001206	104001	2	6	4104011;3000003	60;360000	1
104001207	104001	2	7			1
104008101	104008	1	1	4104011;3000003	5;20000	1
104008102	104008	1	2	4104011;3000003	10;40000	1
104008103	104008	1	3	4104011;3000003	10;70000	1
104008104	104008	1	4	4104011;3000003	20;100000	1
104008105	104008	1	5	4104011;3000003	20;140000	1
104008106	104008	1	6	4104011;3000003	30;180000	1
104008107	104008	1	7	4104011;3000003	30;220000	1
104008108	104008	1	8	4104011;3000003	40;260000	1
104008109	104008	1	9	4104011;3000003	50;300000	1
104008110	104008	1	10			1
104008201	104008	2	1	4104011;3000003	10;10000	1
104008202	104008	2	2	4104011;3000003	20;40000	1
104008203	104008	2	3	4104011;3000003	30;90000	1
104008204	104008	2	4	4104011;3000003	40;160000	1
104008205	104008	2	5	4104011;3000003	50;250000	1
104008206	104008	2	6	4104011;3000003	60;360000	1
104008207	104008	2	7			1
105008101	105008	1	1	4104011;3000003	5;20000	1
105008102	105008	1	2	4104011;3000003	10;40000	1
105008103	105008	1	3	4104011;3000003	10;70000	1
105008104	105008	1	4	4104011;3000003	20;100000	1
105008105	105008	1	5	4104011;3000003	20;140000	1
105008106	105008	1	6	4104011;3000003	30;180000	1
105008107	105008	1	7	4104011;3000003	30;220000	1
105008108	105008	1	8	4104011;3000003	40;260000	1
105008109	105008	1	9	4104011;3000003	50;300000	1
105008110	105008	1	10			1
105008201	105008	2	1	4104011;3000003	10;10000	1
105008202	105008	2	2	4104011;3000003	20;40000	1
105008203	105008	2	3	4104011;3000003	30;90000	1
105008204	105008	2	4	4104011;3000003	40;160000	1
105008205	105008	2	5	4104011;3000003	50;250000	1
105008206	105008	2	6	4104011;3000003	60;360000	1
105008207	105008	2	7			1
105001101	105001	1	1	4104011;3000003	5;20000	1
105001102	105001	1	2	4104011;3000003	10;40000	1
105001103	105001	1	3	4104011;3000003	10;70000	1
105001104	105001	1	4	4104011;3000003	20;100000	1
105001105	105001	1	5	4104011;3000003	20;140000	1
105001106	105001	1	6	4104011;3000003	30;180000	1
105001107	105001	1	7	4104011;3000003	30;220000	1
105001108	105001	1	8	4104011;3000003	40;260000	1
105001109	105001	1	9	4104011;3000003	50;300000	1
105001110	105001	1	10			1
105001201	105001	2	1	4104011;3000003	10;10000	1
105001202	105001	2	2	4104011;3000003	20;40000	1
105001203	105001	2	3	4104011;3000003	30;90000	1
105001204	105001	2	4	4104011;3000003	40;160000	1
105001205	105001	2	5	4104011;3000003	50;250000	1
105001206	105001	2	6	4104011;3000003	60;360000	1
105001207	105001	2	7			1
105002101	105002	1	1	4104011;3000003	5;20000	1
105002102	105002	1	2	4104011;3000003	10;40000	1
105002103	105002	1	3	4104011;3000003	10;70000	1
105002104	105002	1	4	4104011;3000003	20;100000	1
105002105	105002	1	5	4104011;3000003	20;140000	1
105002106	105002	1	6	4104011;3000003	30;180000	1
105002107	105002	1	7	4104011;3000003	30;220000	1
105002108	105002	1	8	4104011;3000003	40;260000	1
105002109	105002	1	9	4104011;3000003	50;300000	1
105002110	105002	1	10			1
105002201	105002	2	1	4104011;3000003	10;10000	1
105002202	105002	2	2	4104011;3000003	20;40000	1
105002203	105002	2	3	4104011;3000003	30;90000	1
105002204	105002	2	4	4104011;3000003	40;160000	1
105002205	105002	2	5	4104011;3000003	50;250000	1
105002206	105002	2	6	4104011;3000003	60;360000	1
105002207	105002	2	7			1
105006101	105006	1	1	4104011;3000003	5;20000	1
105006102	105006	1	2	4104011;3000003	10;40000	1
105006103	105006	1	3	4104011;3000003	10;70000	1
105006104	105006	1	4	4104011;3000003	20;100000	1
105006105	105006	1	5	4104011;3000003	20;140000	1
105006106	105006	1	6	4104011;3000003	30;180000	1
105006107	105006	1	7	4104011;3000003	30;220000	1
105006108	105006	1	8	4104011;3000003	40;260000	1
105006109	105006	1	9	4104011;3000003	50;300000	1
105006110	105006	1	10			1
105006201	105006	2	1	4104011;3000003	10;10000	1
105006202	105006	2	2	4104011;3000003	20;40000	1
105006203	105006	2	3	4104011;3000003	30;90000	1
105006204	105006	2	4	4104011;3000003	40;160000	1
105006205	105006	2	5	4104011;3000003	50;250000	1
105006206	105006	2	6	4104011;3000003	60;360000	1
105006207	105006	2	7			1
106008101	106008	1	1	4104011;3000003	5;20000	1
106008102	106008	1	2	4104011;3000003	10;40000	1
106008103	106008	1	3	4104011;3000003	10;70000	1
106008104	106008	1	4	4104011;3000003	20;100000	1
106008105	106008	1	5	4104011;3000003	20;140000	1
106008106	106008	1	6	4104011;3000003	30;180000	1
106008107	106008	1	7	4104011;3000003	30;220000	1
106008108	106008	1	8	4104011;3000003	40;260000	1
106008109	106008	1	9	4104011;3000003	50;300000	1
106008110	106008	1	10			1
106008201	106008	2	1	4104011;3000003	10;10000	1
106008202	106008	2	2	4104011;3000003	20;40000	1
106008203	106008	2	3	4104011;3000003	30;90000	1
106008204	106008	2	4	4104011;3000003	40;160000	1
106008205	106008	2	5	4104011;3000003	50;250000	1
106008206	106008	2	6	4104011;3000003	60;360000	1
106008207	106008	2	7			1
106001101	106001	1	1	4104011;3000003	5;20000	1
106001102	106001	1	2	4104011;3000003	10;40000	1
106001103	106001	1	3	4104011;3000003	10;70000	1
106001104	106001	1	4	4104011;3000003	20;100000	1
106001105	106001	1	5	4104011;3000003	20;140000	1
106001106	106001	1	6	4104011;3000003	30;180000	1
106001107	106001	1	7	4104011;3000003	30;220000	1
106001108	106001	1	8	4104011;3000003	40;260000	1
106001109	106001	1	9	4104011;3000003	50;300000	1
106001110	106001	1	10			1
106001201	106001	2	1	4104011;3000003	10;10000	1
106001202	106001	2	2	4104011;3000003	20;40000	1
106001203	106001	2	3	4104011;3000003	30;90000	1
106001204	106001	2	4	4104011;3000003	40;160000	1
106001205	106001	2	5	4104011;3000003	50;250000	1
106001206	106001	2	6	4104011;3000003	60;360000	1
106001207	106001	2	7			1
106002101	106002	1	1	4104011;3000003	5;20000	1
106002102	106002	1	2	4104011;3000003	10;40000	1
106002103	106002	1	3	4104011;3000003	10;70000	1
106002104	106002	1	4	4104011;3000003	20;100000	1
106002105	106002	1	5	4104011;3000003	20;140000	1
106002106	106002	1	6	4104011;3000003	30;180000	1
106002107	106002	1	7	4104011;3000003	30;220000	1
106002108	106002	1	8	4104011;3000003	40;260000	1
106002109	106002	1	9	4104011;3000003	50;300000	1
106002110	106002	1	10			1
106002201	106002	2	1	4104011;3000003	10;10000	1
106002202	106002	2	2	4104011;3000003	20;40000	1
106002203	106002	2	3	4104011;3000003	30;90000	1
106002204	106002	2	4	4104011;3000003	40;160000	1
106002205	106002	2	5	4104011;3000003	50;250000	1
106002206	106002	2	6	4104011;3000003	60;360000	1
106002207	106002	2	7			1
106010101	106010	1	1	4104011;3000003	5;20000	1
106010102	106010	1	2	4104011;3000003	10;40000	1
106010103	106010	1	3	4104011;3000003	10;70000	1
106010104	106010	1	4	4104011;3000003	20;100000	1
106010105	106010	1	5	4104011;3000003	20;140000	1
106010106	106010	1	6	4104011;3000003	30;180000	1
106010107	106010	1	7	4104011;3000003	30;220000	1
106010108	106010	1	8	4104011;3000003	40;260000	1
106010109	106010	1	9	4104011;3000003	50;300000	1
106010110	106010	1	10			1
106010201	106010	2	1	4104011;3000003	10;10000	1
106010202	106010	2	2	4104011;3000003	20;40000	1
106010203	106010	2	3	4104011;3000003	30;90000	1
106010204	106010	2	4	4104011;3000003	40;160000	1
106010205	106010	2	5	4104011;3000003	50;250000	1
106010206	106010	2	6	4104011;3000003	60;360000	1
106010207	106010	2	7			1
107008101	107008	1	1	4104011;3000003	5;20000	1
107008102	107008	1	2	4104011;3000003	10;40000	1
107008103	107008	1	3	4104011;3000003	10;70000	1
107008104	107008	1	4	4104011;3000003	20;100000	1
107008105	107008	1	5	4104011;3000003	20;140000	1
107008106	107008	1	6	4104011;3000003	30;180000	1
107008107	107008	1	7	4104011;3000003	30;220000	1
107008108	107008	1	8	4104011;3000003	40;260000	1
107008109	107008	1	9	4104011;3000003	50;300000	1
107008110	107008	1	10			1
107008201	107008	2	1	4104011;3000003	10;10000	1
107008202	107008	2	2	4104011;3000003	20;40000	1
107008203	107008	2	3	4104011;3000003	30;90000	1
107008204	107008	2	4	4104011;3000003	40;160000	1
107008205	107008	2	5	4104011;3000003	50;250000	1
107008206	107008	2	6	4104011;3000003	60;360000	1
107008207	107008	2	7			1
107001101	107001	1	1	4104011;3000003	5;20000	1
107001102	107001	1	2	4104011;3000003	10;40000	1
107001103	107001	1	3	4104011;3000003	10;70000	1
107001104	107001	1	4	4104011;3000003	20;100000	1
107001105	107001	1	5	4104011;3000003	20;140000	1
107001106	107001	1	6	4104011;3000003	30;180000	1
107001107	107001	1	7	4104011;3000003	30;220000	1
107001108	107001	1	8	4104011;3000003	40;260000	1
107001109	107001	1	9	4104011;3000003	50;300000	1
107001110	107001	1	10			1
107001201	107001	2	1	4104011;3000003	10;10000	1
107001202	107001	2	2	4104011;3000003	20;40000	1
107001203	107001	2	3	4104011;3000003	30;90000	1
107001204	107001	2	4	4104011;3000003	40;160000	1
107001205	107001	2	5	4104011;3000003	50;250000	1
107001206	107001	2	6	4104011;3000003	60;360000	1
107001207	107001	2	7			1
107005101	107005	1	1	4104011;3000003	5;20000	1
107005102	107005	1	2	4104011;3000003	10;40000	1
107005103	107005	1	3	4104011;3000003	10;70000	1
107005104	107005	1	4	4104011;3000003	20;100000	1
107005105	107005	1	5	4104011;3000003	20;140000	1
107005106	107005	1	6	4104011;3000003	30;180000	1
107005107	107005	1	7	4104011;3000003	30;220000	1
107005108	107005	1	8	4104011;3000003	40;260000	1
107005109	107005	1	9	4104011;3000003	50;300000	1
107005110	107005	1	10			1
107005201	107005	2	1	4104011;3000003	10;10000	1
107005202	107005	2	2	4104011;3000003	20;40000	1
107005203	107005	2	3	4104011;3000003	30;90000	1
107005204	107005	2	4	4104011;3000003	40;160000	1
107005205	107005	2	5	4104011;3000003	50;250000	1
107005206	107005	2	6	4104011;3000003	60;360000	1
107005207	107005	2	7			1
108008101	108008	1	1	4104011;3000003	5;20000	1
108008102	108008	1	2	4104011;3000003	10;40000	1
108008103	108008	1	3	4104011;3000003	10;70000	1
108008104	108008	1	4	4104011;3000003	20;100000	1
108008105	108008	1	5	4104011;3000003	20;140000	1
108008106	108008	1	6	4104011;3000003	30;180000	1
108008107	108008	1	7	4104011;3000003	30;220000	1
108008108	108008	1	8	4104011;3000003	40;260000	1
108008109	108008	1	9	4104011;3000003	50;300000	1
108008110	108008	1	10			1
108008201	108008	2	1	4104011;3000003	10;10000	1
108008202	108008	2	2	4104011;3000003	20;40000	1
108008203	108008	2	3	4104011;3000003	30;90000	1
108008204	108008	2	4	4104011;3000003	40;160000	1
108008205	108008	2	5	4104011;3000003	50;250000	1
108008206	108008	2	6	4104011;3000003	60;360000	1
108008207	108008	2	7			1
108001101	108001	1	1	4104011;3000003	5;20000	1
108001102	108001	1	2	4104011;3000003	10;40000	1
108001103	108001	1	3	4104011;3000003	10;70000	1
108001104	108001	1	4	4104011;3000003	20;100000	1
108001105	108001	1	5	4104011;3000003	20;140000	1
108001106	108001	1	6	4104011;3000003	30;180000	1
108001107	108001	1	7	4104011;3000003	30;220000	1
108001108	108001	1	8	4104011;3000003	40;260000	1
108001109	108001	1	9	4104011;3000003	50;300000	1
108001110	108001	1	10			1
108001201	108001	2	1	4104011;3000003	10;10000	1
108001202	108001	2	2	4104011;3000003	20;40000	1
108001203	108001	2	3	4104011;3000003	30;90000	1
108001204	108001	2	4	4104011;3000003	40;160000	1
108001205	108001	2	5	4104011;3000003	50;250000	1
108001206	108001	2	6	4104011;3000003	60;360000	1
108001207	108001	2	7			1
108006101	108006	1	1	4104011;3000003	5;20000	1
108006102	108006	1	2	4104011;3000003	10;40000	1
108006103	108006	1	3	4104011;3000003	10;70000	1
108006104	108006	1	4	4104011;3000003	20;100000	1
108006105	108006	1	5	4104011;3000003	20;140000	1
108006106	108006	1	6	4104011;3000003	30;180000	1
108006107	108006	1	7	4104011;3000003	30;220000	1
108006108	108006	1	8	4104011;3000003	40;260000	1
108006109	108006	1	9	4104011;3000003	50;300000	1
108006110	108006	1	10			1
108006201	108006	2	1	4104011;3000003	10;10000	1
108006202	108006	2	2	4104011;3000003	20;40000	1
108006203	108006	2	3	4104011;3000003	30;90000	1
108006204	108006	2	4	4104011;3000003	40;160000	1
108006205	108006	2	5	4104011;3000003	50;250000	1
108006206	108006	2	6	4104011;3000003	60;360000	1
108006207	108006	2	7			1
108004101	108004	1	1	4104011;3000003	5;20000	1
108004102	108004	1	2	4104011;3000003	10;40000	1
108004103	108004	1	3	4104011;3000003	10;70000	1
108004104	108004	1	4	4104011;3000003	20;100000	1
108004105	108004	1	5	4104011;3000003	20;140000	1
108004106	108004	1	6	4104011;3000003	30;180000	1
108004107	108004	1	7	4104011;3000003	30;220000	1
108004108	108004	1	8	4104011;3000003	40;260000	1
108004109	108004	1	9	4104011;3000003	50;300000	1
108004110	108004	1	10			1
108004201	108004	2	1	4104011;3000003	10;10000	1
108004202	108004	2	2	4104011;3000003	20;40000	1
108004203	108004	2	3	4104011;3000003	30;90000	1
108004204	108004	2	4	4104011;3000003	40;160000	1
108004205	108004	2	5	4104011;3000003	50;250000	1
108004206	108004	2	6	4104011;3000003	60;360000	1
108004207	108004	2	7			1
109008101	109008	1	1	4104011;3000003	5;20000	1
109008102	109008	1	2	4104011;3000003	10;40000	1
109008103	109008	1	3	4104011;3000003	10;70000	1
109008104	109008	1	4	4104011;3000003	20;100000	1
109008105	109008	1	5	4104011;3000003	20;140000	1
109008106	109008	1	6	4104011;3000003	30;180000	1
109008107	109008	1	7	4104011;3000003	30;220000	1
109008108	109008	1	8	4104011;3000003	40;260000	1
